,word,type,v1
306,aproneer,VBP,Not verb
307,apteroid,VBP,Not verb
308,apterygote,VBP,  (곤충강(綱)의) 무시 아강(無翅亞綱)의.  
309,aptitude,VBP,Not verb
310,aquabelle,VBP,Not verb
311,aquifer,VBP,Not verb
312,arake,VBP,Not verb
313,archaicism,VBP,Not verb
314,archarchitect,VBP,Not verb
315,archband,VBP,Not verb
316,archdapifer,VBP,Not verb
317,archetypist,VBP,Not verb
318,archfiend,VBP,Not verb
319,archflatterer,VBP,Not verb
320,archfriend,VBP,Not verb
321,archicoele,VBP,Not verb
322,archidome,VBP,Not verb
323,archiepiscopate,VBP,Not verb
324,archimorula,VBP,Not verb
325,architrave,VBP,Not verb
326,archsee,VBP,Not verb
327,archvillain,VBP,Not verb
328,arctiid,VBP,Not verb
329,arctoid,VBP,Not verb
330,are,VBP,  (→be)  
331,arecaidine,VBP,Not verb
332,arena,VBP,Not verb
333,arend,VBP,Not verb
334,areography,VBP,Not verb
335,areroscope,VBP,Not verb
336,argel,VBP,Not verb
337,argentometry,VBP,Not verb
338,armisonant,VBP,Not verb
339,arnberry,VBP,Not verb
340,aroid,VBP,Not verb
341,aromadendrin,VBP,Not verb
342,aromatization,VBP,Not verb
343,arose,VBP,Not verb
344,arrant,VBP,"[구식]  순전한, 순(안 좋은 것을 강조할 때 씀)  "
345,arrhizal,VBP,Not verb
346,arriswise,VBP,Not verb
347,arthrodia,VBP,Not verb
348,arthroneuralgia,VBP,Not verb
349,arthrotyphoid,VBP,Not verb
350,artificialize,VBP,Not verb
351,artistry,VBP,Not verb
352,artocarpad,VBP,Not verb
353,arylate,VBP,Not verb
354,asaddle,VBP,  (말에) 안장을 얹다  
355,ascend,VBP,"[격식]  오르다, 올라가다 (↔descend)  "
356,asceticism,VBP,Not verb
357,ascry,VBP,Not verb
358,aselgeia,VBP,Not verb
359,asepticism,VBP,Not verb
360,aseptolin,VBP,Not verb
361,ashberry,VBP,Not verb
362,ashet,VBP,Not verb
363,asiphonate,VBP,Not verb
364,aslumber,VBP,Not verb
365,asmear,VBP,  (기름기가 있거나 부드러운 물질을) 마구 바르다[문지르다] (=daub)      2.    
366,asoak,VBP,  (액체 속에 푹) 담그다[담기다]      2.    
367,asomatophyte,VBP,Not verb
368,aspartate,VBP,Not verb
369,aspect,VBP,Not verb
370,asperifoliate,VBP,Not verb
371,aspermic,VBP,Not verb
372,asperse,VBP,Not verb
373,aspersive,VBP,Not verb
374,asphaltene,VBP,Not verb
375,aspiculate,VBP,Not verb
376,aspidinol,VBP,Not verb
377,assapan,VBP,Not verb
378,assay,VBP,Not verb
379,assert,VBP,  (사실임을 강하게) 주장하다      2.    
380,assever,VBP,Not verb
381,asseveration,VBP,Not verb
382,assiduity,VBP,Not verb
383,assume,VBP,  (사실일 것으로) 추정[상정]하다      2.    
384,astalk,VBP,Not verb
385,astaticism,VBP,Not verb
386,astay,VBP,"[해사]  지삭(支索)(stay)과 일직선 또는 평행의, 닻줄이 감겨 올라 올 때 지삭에 평행을 이루는.      2.    [부사][해사]  지삭(支索)(stay)과 일직선 또는 평행으로, 닻줄이 감겨 올라 올 때 지삭에 평행을 이루어.  "
387,astigmatism,VBP,Not verb
388,astrand,VBP,Not verb
389,astraphobia,VBP,Not verb
390,astrologize,VBP,Not verb
391,astronomer,VBP,Not verb
392,astronomize,VBP,Not verb
393,astroscope,VBP,Not verb
394,asynapsis,VBP,Not verb
395,asyndeton,VBP,Not verb
396,atelier,VBP,Not verb
397,atelopodia,VBP,Not verb
398,atheology,VBP,Not verb
399,athleticism,VBP,Not verb
400,athwartwise,VBP,Not verb
401,atlantite,VBP,Not verb
402,atmiatry,VBP,Not verb
403,atmospherology,VBP,Not verb
404,atomerg,VBP,Not verb
405,atour,VBP,Not verb
406,atrochal,VBP,Not verb
407,attacco,VBP,Not verb
408,attain,VBP,  (보통 많은 노력 끝에) 이루다[획득하다]      2.    
409,attend,VBP,  참석하다      2.    
410,attendant,VBP,[격식]  수반되는  
411,attender,VBP,Not verb
412,attercop,VBP,Not verb
413,attributive,VBP,[문법]  한정 용법으로 쓰인(명사 앞에서 그것을 수식하는) (→predicative)  
414,atwixt,VBP,Not verb
415,aucupate,VBP,Not verb
416,audiologist,VBP,Not verb
417,augend,VBP,Not verb
418,auletris,VBP,Not verb
419,aureomycin,VBP,Not verb
420,aurilave,VBP,Not verb
421,aurore,VBP,"[요리]  노른자위·토마토 퓌레(purée)를 넣은 화이트 소스를 곁들인, …오로르.  "
422,autechoscope,VBP,Not verb
423,autoclave,VBP,Not verb
424,autocopist,VBP,Not verb
425,autocrator,VBP,Not verb
426,autoecic,VBP,Not verb
427,autoeroticism,VBP,Not verb
428,autogauge,VBP,Not verb
429,autographism,VBP,Not verb
430,automorphism,VBP,Not verb
431,autonomize,VBP,Not verb
432,autophagia,VBP,Not verb
433,autophonoscope,VBP,Not verb
434,autophyllogeny,VBP,Not verb
435,autophytograph,VBP,Not verb
436,auxiliar,VBP,Not verb
437,ave,VBP,Not verb
438,avellane,VBP,Not verb
439,aventail,VBP,Not verb
440,aviatrix,VBP,Not verb
441,avid,VBP,Not verb
442,avifauna,VBP,Not verb
443,avizandum,VBP,Not verb
444,awabi,VBP,Not verb
445,await,VBP,  (…을) 기다리다      2.    
446,awave,VBP,Not verb
447,awber,VBP,Not verb
448,axfetch,VBP,Not verb
449,axiomatization,VBP,Not verb
450,azimuthal,VBP,  방위각의  
451,azobenzil,VBP,Not verb
452,azorubine,VBP,Not verb
453,azotize,VBP,Not verb
454,azotorrhoea,VBP,Not verb
455,azovernine,VBP,Not verb
456,azygobranchiate,VBP,Not verb
457,azygosperm,VBP,Not verb
458,bacca,VBP,Not verb
459,backlash,VBP,Not verb
460,backlog,VBP,Not verb
461,backwash,VBP,Not verb
462,bacteriophagic,VBP,"  세균 괴원(壞原)의, 살균 바이러스에 관한.  "
463,badminton,VBP,Not verb
464,balangay,VBP,Not verb
465,balconet,VBP,Not verb
466,baldberry,VBP,Not verb
467,balinghasay,VBP,Not verb
468,balky,VBP,[美]  말을 안 듣는  
469,balneotherapia,VBP,Not verb
470,ban,VBP,  금(지)하다 (=prohibit)      2.    
471,bandstand,VBP,Not verb
472,barbarize,VBP,Not verb
473,barometrograph,VBP,Not verb
474,barrator,VBP,Not verb
475,barwise,VBP,Not verb
476,barythymia,VBP,Not verb
477,bash,VBP,"  후려치다, 세게 치다      2.    "
478,basten,VBP,Not verb
479,bathymetry,VBP,Not verb
480,bayhead,VBP,Not verb
481,beancod,VBP,Not verb
482,beastman,VBP,Not verb
483,beaten,VBP,BEAT의 과거분사      2.    
484,bebrave,VBP,Not verb
485,bedcord,VBP,Not verb
486,bedstead,VBP,Not verb
487,bedwell,VBP,Not verb
488,beechen,VBP,Not verb
489,beechy,VBP,"  너도밤나무의 , 너도밤나무로 만든.  "
490,beeswax,VBP,Not verb
491,beeve,VBP,Not verb
492,befortune,VBP,Not verb
493,begrave,VBP,Not verb
494,behave,VBP,  (특정한 방식으로) 처신[행동]하다 (=act)      2.    
495,beknave,VBP,Not verb
496,beknow,VBP,Not verb
497,beleave,VBP,Not verb
498,believe,VBP,  (무엇이나 누구의 말이 진실임을) 믿다      2.    
499,bellicose,VBP,"[격식]  호전적인, 싸우기 좋아하는 (=aggressive, warlike)  "
500,benote,VBP,Not verb
501,berake,VBP,Not verb
502,bereave,VBP,  (가족·친지와[를]) 사별하다[여의다]  
503,berkowitz,VBP,Not verb
504,berylline,VBP,"  녹주석 같은, 연한 청색의  "
505,besa,VBP,Not verb
506,beshake,VBP,Not verb
507,beslave,VBP,Not verb
508,besleeve,VBP,Not verb
509,besnow,VBP,Not verb
510,besour,VBP,Not verb
511,bestink,VBP,Not verb
512,beteem,VBP,Not verb
513,betinge,VBP,Not verb
514,betrend,VBP,Not verb
515,betwine,VBP,Not verb
516,biacid,VBP,Not verb
517,biannulate,VBP,Not verb
518,bibcock,VBP,Not verb
519,bibliographize,VBP,Not verb
520,bibliopolism,VBP,Not verb
521,bibliotist,VBP,Not verb
522,bicetyl,VBP,Not verb
523,bicondylar,VBP,Not verb
524,biconjugate,VBP,Not verb
525,bidactyle,VBP,Not verb
526,bidigitate,VBP,Not verb
527,biennium,VBP,Not verb
528,bifer,VBP,Not verb
529,bimarginate,VBP,Not verb
530,bimucronate,VBP,Not verb
531,bink,VBP,Not verb
532,binodose,VBP,Not verb
533,biochemist,VBP,Not verb
534,biodyne,VBP,Not verb
535,biolith,VBP,Not verb
536,biome,VBP,Not verb
537,biometeorology,VBP,Not verb
538,biometry,VBP,Not verb
539,bionomist,VBP,Not verb
540,biophysiography,VBP,Not verb
541,bioscope,VBP,Not verb
542,biosterin,VBP,Not verb
543,biosystematist,VBP,Not verb
544,biporose,VBP,Not verb
545,biquartz,VBP,Not verb
546,bisaccate,VBP,Not verb
547,bisectrix,VBP,Not verb
548,bismutite,VBP,Not verb
549,bispinose,VBP,Not verb
550,bisymmetry,VBP,Not verb
551,bitreadle,VBP,Not verb
552,bittersweet,VBP,Not verb
553,bituminate,VBP,Not verb
554,biune,VBP,Not verb
555,blackberry,VBP,Not verb
556,blackface,VBP,Not verb
557,blackfin,VBP,Not verb
558,blain,VBP,Not verb
559,blase,VBP,  (이미 여러 번 겪은 일이라서) 심드렁한  
560,blate,VBP,Not verb
561,bleach,VBP,"  표백하다[바래지게 하다], 표백되다[바래다]      2.    [명사]  표백제  "
562,blend,VBP,"  섞다, 혼합하다      2.    "
563,blink,VBP,  눈을[눈이] 깜박이다 (→wink)      2.    
564,blinky,VBP,Not verb
565,blooey,VBP,[미·속어]  고장 난  
566,bloomery,VBP,Not verb
567,blowlamp,VBP,Not verb
568,blubber,VBP,[비격식 못마땅함]  흐느껴[엉엉] 울다  
569,bluestem,VBP,Not verb
570,blunnen,VBP,Not verb
571,boist,VBP,"  신장시키다, 북돋우다      2.    "
572,bolography,VBP,Not verb
573,bombastry,VBP,Not verb
574,bombonne,VBP,Not verb
575,bookwise,VBP,Not verb
576,boondoggle,VBP,Not verb
577,boree,VBP,Not verb
578,borh,VBP,Not verb
579,botryomycoma,VBP,Not verb
580,bowenite,VBP,Not verb
581,bowstave,VBP,Not verb
582,boxberry,VBP,Not verb
583,brab,VBP,Not verb
584,brach,VBP,Not verb
585,brachycephalize,VBP,Not verb
586,brachypodine,VBP,Not verb
587,brainsick,VBP,"  미친, 정신에 이상이 있는  "
588,branchia,VBP,Not verb
589,brave,VBP,Not verb
590,breadthways,VBP,Not verb
591,breccia,VBP,Not verb
592,breck,VBP,Not verb
593,breechesflower,VBP,Not verb
594,breeze,VBP,  거침없이[경쾌하게] 움직이다  
595,breve,VBP,Not verb
596,bricktimber,VBP,Not verb
597,bridewell,VBP,Not verb
598,bridgework,VBP,Not verb
599,brieve,VBP,Not verb
600,brightish,VBP,  조금 밝은  
601,brink,VBP,Not verb
602,brisken,VBP,Not verb
603,broadwife,VBP,Not verb
604,bromometry,VBP,Not verb
605,bronchia,VBP,Not verb
606,brushet,VBP,Not verb
607,bubby,VBP,Not verb
608,buckberry,VBP,Not verb
609,budgeree,VBP,"[호주속어]  좋은, 훌륭한.  "
610,bulbomedullary,VBP,Not verb
611,bullpoll,VBP,Not verb
612,bunchberry,VBP,Not verb
613,bureaucratism,VBP,Not verb
614,burggrave,VBP,Not verb
615,burglarize,VBP,Not verb
616,burgrave,VBP,Not verb
617,burnt,VBP,  (불에) 덴[탄]  
618,butadiyne,VBP,Not verb
619,butterless,VBP,  버터를 바르지 않은.  
620,buttonweed,VBP,Not verb
621,byspell,VBP,Not verb
622,caballer,VBP,Not verb
623,caboceer,VBP,Not verb
624,cacodaemoniac,VBP,Not verb
625,cacodemoniac,VBP,Not verb
626,cacodontia,VBP,Not verb
627,cacogeusia,VBP,Not verb
628,cacophonize,VBP,Not verb
629,cadaverize,VBP,Not verb
630,cadre,VBP,Not verb
631,caffeol,VBP,Not verb
632,caggy,VBP,  헐렁한  
633,cake,VBP,  (마르면 딱딱해지는 것을) 두껍게 바르다      4.    
634,calaber,VBP,Not verb
635,calambour,VBP,Not verb
636,calamitoid,VBP,Not verb
637,calcareousness,VBP,Not verb
638,calcicole,VBP,Not verb
639,calciphilia,VBP,Not verb
640,caliciform,VBP,Not verb
641,caliph,VBP,Not verb
642,callose,VBP,  캘러스(callus)가 있는 ((잎사귀 따위의 상처 부분이 나아 딱딱한 조직이 생긴))      2.    [명사]  (=CALLUS)  
643,calorifier,VBP,Not verb
644,calorimetry,VBP,Not verb
645,calotermitid,VBP,Not verb
646,calve,VBP,  새끼를 낳다  
647,calvity,VBP,Not verb
648,calycoid,VBP,"[식물]  꽃받침 비슷한, 꽃받침 같은.  "
649,campward,VBP,Not verb
650,campylotropal,VBP,Not verb
651,canaliculus,VBP,Not verb
652,cancerophobia,VBP,Not verb
653,cancroid,VBP,"  게(crab) 비슷한, [병리] 암종 모양의      2.    [명사]  [병리] 피부암, [동물] 갑각류 ((게 등))  "
654,canelike,VBP,  지팡이[등나무] 같은.  
655,canephroi,VBP,Not verb
656,canjac,VBP,Not verb
657,canonicate,VBP,Not verb
658,canonist,VBP,Not verb
659,cantaloupe,VBP,Not verb
660,capeskin,VBP,  양가죽의[으로 만든]  
661,capicha,VBP,Not verb
662,caprimulgine,VBP,Not verb
663,carabin,VBP,Not verb
664,carbohydrazide,VBP,Not verb
665,carbona,VBP,Not verb
666,carbonify,VBP,Not verb
667,carbonyl,VBP,  카르보닐기를 함유한  
668,carcake,VBP,Not verb
669,cardiodynia,VBP,Not verb
670,carest,VBP,Not verb
671,cargoose,VBP,Not verb
672,carina,VBP,Not verb
673,carnalize,VBP,Not verb
674,carnotite,VBP,Not verb
675,carouse,VBP,[문예체]  술을 마시며 흥청거리다  
676,carpetweed,VBP,Not verb
677,carpogenic,VBP,  결실성(結實性)의.  
678,carposporangia,VBP,Not verb
679,carriwitchet,VBP,Not verb
680,carry,VBP,"  (이동 중에) 들고[데리고] 있다, 나르다      2.    "
681,cartilaginoid,VBP,  연골과 비슷한.  
682,cartography,VBP,Not verb
683,carve,VBP,"  조각하다, 깎아서 만들다      2.    "
684,caryopsides,VBP,Not verb
685,casave,VBP,Not verb
686,caseose,VBP,Not verb
687,castanean,VBP,Not verb
688,castellano,VBP,Not verb
689,castlewise,VBP,Not verb
690,casuistry,VBP,Not verb
691,caswellite,VBP,Not verb
692,catabasis,VBP,Not verb
693,catachresis,VBP,Not verb
694,cataclysmist,VBP,Not verb
695,catallum,VBP,Not verb
696,catalyzator,VBP,Not verb
697,catamenia,VBP,Not verb
698,catastrophism,VBP,Not verb
699,catechumenism,VBP,Not verb
700,cathedraticum,VBP,Not verb
701,catholicize,VBP,Not verb
702,caudicle,VBP,Not verb
703,cauliculus,VBP,Not verb
704,causticiser,VBP,Not verb
705,cave,VBP,Not verb
706,cavernoma,VBP,Not verb
707,cavie,VBP,Not verb
708,caxon,VBP,Not verb
709,ceilometer,VBP,Not verb
710,celeomorph,VBP,Not verb
711,cellose,VBP,Not verb
712,cellulicidal,VBP,Not verb
713,cellulitis,VBP,Not verb
714,cellulose,VBP,Not verb
715,cellulotoxic,VBP,Not verb
716,celtuce,VBP,Not verb
717,cementite,VBP,Not verb
718,cenaculum,VBP,Not verb
719,cenobitism,VBP,Not verb
720,cenospecific,VBP,Not verb
721,center,VBP,Not verb
722,centriffed,VBP,Not verb
723,centrosome,VBP,Not verb
724,centuria,VBP,Not verb
725,cephalodynia,VBP,Not verb
726,cequi,VBP,Not verb
727,ceramidium,VBP,Not verb
728,cerasein,VBP,Not verb
729,ceraunogram,VBP,Not verb
730,cerebrose,VBP,Not verb
731,certainty,VBP,Not verb
732,certitude,VBP,Not verb
733,ceruminal,VBP,Not verb
734,cetacean,VBP,  고래목의      2.    [명사]  고래목의 동물(고래돌고래 등)  
735,chaffweed,VBP,Not verb
736,chamfer,VBP,Not verb
737,champagnize,VBP,Not verb
738,champleve,VBP,  샹르베 칠보(七寶)의 ((바탕에 새겨서 에나멜을 입힌))      2.    [명사]  샹르베 칠보(cf. CLOISONNÉ)  
739,chancroidal,VBP,Not verb
740,channer,VBP,Not verb
741,chao,VBP,Not verb
742,charbon,VBP,Not verb
743,chatelain,VBP,Not verb
744,chayote,VBP,Not verb
745,checkerwise,VBP,Not verb
746,checkmate,VBP,Not verb
