,word,type,v1
98,Acanthodea,NNP,Not nouns
99,Acanthodei,NNP,Not nouns
100,Acanthodes,NNP,Not nouns
101,Acanthodidae,NNP,Not nouns
102,Acanthodii,NNP,Not nouns
103,Acanthodini,NNP,Not nouns
104,Acantholimon,NNP,"  갯길경이과(科) 아칸돌리몬속(屬) Acantholimon 상록초 몇몇 종의 총칭, 잎은 딱딱하고 가시가 있다.  "
105,Acanthomeridae,NNP,Not nouns
106,Acanthopanax,NNP,[생약학]  오가피  
107,Acanthophis,NNP,Not nouns
108,Acanthopteri,NNP,Not nouns
109,Acanthopterygii,NNP,Not nouns
110,Acanthuridae,NNP,Not nouns
111,Acanthurus,NNP,Not nouns
112,Acarapis,NNP,[농생물학]  옴 응애  
113,Acarida,NNP,Not nouns
114,Acaridea,NNP,Not nouns
115,Acarina,NNP,[농생물학]  응애목  
116,Acarus,NNP,[곤충]  진드기  
117,Acastus,NNP,"[그리스 신화]  아카스투스: 아르고선(船) 대원(Argonauts)의 한 사람, Pelias의 아들이며 Alcestis의 형제.  "
118,Accipiter,NNP,  새매속(屬)의 매 ((익더귀새매·난추니 등))      2.    
119,Aceldama,NNP,"[성서]  아겔다마, 피의 밭 ((예수를 배반한 유다가 자살한 밭))      2.    "
120,Acemetae,NNP,Not nouns
121,Acemetic,NNP,Not nouns
122,Acephala,NNP,Not nouns
123,Acephali,NNP,Not nouns
124,Acephalina,NNP,Not nouns
125,Acephalite,NNP,Not nouns
126,Acer,NNP,  (잎의 모양이나 단풍이 보기 좋아 기르는) 관상수  
127,Aceraceae,NNP,Not nouns
128,Acerae,NNP,Not nouns
129,Acerata,NNP,[생명과학]  무각류(無角類)  
130,Acerates,NNP,Not nouns
131,Aceratherium,NNP,Not nouns
132,Acerbas,NNP,  (Aeneid에서) 아케르바스: 로마 전설의 Sychaeus를 말한다.  
133,Acestes,NNP,Not nouns
134,Acetabularia,NNP,[농업]  아세타불라리아속(屬)  
135,Acetobacter,NNP,[세균]  초산균  
136,Achaean,NNP,"  아카이아 사람, 그리스 사람(Greek)  "
137,Achaemenian,NNP,Not nouns
138,Achaemenid,NNP,"  (Achaemenids, Achaemenidae, Achaemenides) 아케메네스(아카이메네스) 왕[조]: 기원전 550년경부터 기원전 331년경까지 통치한 고대 페르시아의 왕[조].  "
139,Achaemenidae,NNP,Not nouns
140,Achaemenidian,NNP,Not nouns
141,Achaenodon,NNP,Not nouns
142,Achaeta,NNP,Not nouns
143,Achagua,NNP,Not nouns
144,Achakzai,NNP,Not nouns
145,Achamoth,NNP,Not nouns
146,Achango,NNP,Not nouns
147,Achariaceae,NNP,Not nouns
148,Achariaceous,NNP,Not nouns
149,Achates,NNP,[그리스·로마신화]  아카테스 ((Virgil 작 Aeneid 중의 인물))      2.    
150,Achatina,NNP,Not nouns
151,Achatinella,NNP,Not nouns
152,Achatinidae,NNP,Not nouns
153,Achen,NNP,Not nouns
154,Achernar,NNP,[천문]  아케르나르 ((에리다누스(Eridanus)자리의 1등성))  
155,Acheronian,NNP,Not nouns
156,Acherontic,NNP,Not nouns
157,Acherontical,NNP,Not nouns
158,Achetidae,NNP,Not nouns
159,Acheulean,NNP,  아슐 문화  
160,Achillea,NNP,"  국화과(科) 톱풀속(屬) Achillea의 식물: 톱니 모양의, 또는 깊이 갈라진 잎과 위가 평평한 꽃송이가 달린다; 서양가새풀(yarrow)·자주 톱풀(sneezewort) 따위가 이에 속한다.  "
161,Achillean,NNP,Not nouns
162,Achilleid,NNP,Not nouns
163,Achillize,NNP,Not nouns
164,Achimenes,NNP,"  아키메네스: Generiaceae과(科) 아키메네스속(屬) Achimenes 초본의 총칭; 화려한 통 모양의 꽃이 피며, 관상용으로 재배된다; 열대 아메리카산(産).  "
165,Achinese,NNP,Not nouns
166,Achitophel,NNP,Not nouns
167,Achlamydeae,NNP,Not nouns
168,Achmetha,NNP,Not nouns
169,Acholoe,NNP,Not nouns
170,Achomawi,NNP,Not nouns
171,Achordata,NNP,Not nouns
172,Achorion,NNP,Not nouns
173,Achras,NNP,Not nouns
174,Achroanthes,NNP,Not nouns
175,Achromatiaceae,NNP,Not nouns
176,Achromatium,NNP,Not nouns
177,Achromobacter,NNP,"[세균]  아크로모백터, 색소 비생산균: Achromobacter속(屬) 간균(桿菌)의 총칭; 토양이나 물속에서 발견된다.  "
178,Achromobacterieae,NNP,Not nouns
179,Achuas,NNP,Not nouns
180,Achyranthes,NNP,[생약학]  우슬  
181,Achyrodes,NNP,Not nouns
182,Acidanthera,NNP,"  아프리카산(産) 붓꽃과(科)의 구근 식물의 한 속(屬); 잎은 뾰족하고, 꽃은 긴 통 모양.  "
183,Acidaspis,NNP,Not nouns
184,Acieral,NNP,Not nouns
185,Acilius,NNP,Not nouns
186,Acineta,NNP,Not nouns
187,Acinetae,NNP,Not nouns
188,Acinetaria,NNP,Not nouns
189,Acinetina,NNP,Not nouns
190,Acipenser,NNP,[수산학]  철갑상어류  
191,Acipenseres,NNP,Not nouns
192,Acipenseridae,NNP,Not nouns
193,Acipenseroidei,NNP,Not nouns
194,Acis,NNP,"[그리스 신화]  아키스: Galatea의 애인, 질투한 나머지 Polyphemus에게 살해되었다.  "
195,Aclemon,NNP,Not nouns
196,Acmaea,NNP,[지질학]  번성기(繁盛期)  
197,Acmaeidae,NNP,Not nouns
198,Acmispon,NNP,Not nouns
199,Acnida,NNP,Not nouns
200,Acocanthera,NNP,Not nouns
201,Acoela,NNP,Not nouns
202,Acoelomata,NNP,[해양과학]  무체강동물 (無體腔動物)  
203,Acoelomi,NNP,Not nouns
204,Acoemetae,NNP,Not nouns
205,Acoemeti,NNP,"[동방교회]  아코이메타이파(派): 5, 6세기의 수도사 또는 수녀의 일단(一團); 특히 주야를 가리지 않고 기도를 올린 것으로 유명.  "
206,Acoemetic,NNP,Not nouns
207,Acolapissa,NNP,Not nouns
208,Acolhua,NNP,Not nouns
209,Acolhuan,NNP,Not nouns
210,Acoma,NNP,Not nouns
211,Aconitum,NNP,"[식물]  민박꽃속(屬)(A~)의 각종의 숙근초(宿根草), 아코닛 ; 아코닛 뿌리(= ACONITE).  "
212,Acontias,NNP,Not nouns
213,Acontius,NNP,Not nouns
214,Acorus,NNP,Not nouns
215,Acousticon,NNP,  보청기 ((상표명))  
216,Acrab,NNP,Not nouns
217,Acraeinae,NNP,Not nouns
218,Acrania,NNP,[수의학]  무두개증(無頭蓋症)  
219,Acrasiaceae,NNP,Not nouns
220,Acrasiales,NNP,Not nouns
221,Acrasida,NNP,Not nouns
222,Acrasieae,NNP,[식물학]  무유주자류  
223,Acraspeda,NNP,Not nouns
224,Acredula,NNP,Not nouns
225,Acrididae,NNP,Not nouns
226,Acridiidae,NNP,Not nouns
227,Acridium,NNP,[생명과학]  아크리디움-에스테르  
228,Acrisius,NNP,"[그리스 신화]  아크리시오스: Argos의 왕, Danae의 아버지이며 Perseus의 조부, Perseus에게 살해되었다.  "
229,Acrita,NNP,Not nouns
230,Acroa,NNP,Not nouns
231,Acrobates,NNP,Not nouns
232,Acrocarpi,NNP,Not nouns
233,Acrocera,NNP,Not nouns
234,Acroceratidae,NNP,Not nouns
235,Acroceraunian,NNP,Not nouns
236,Acroceridae,NNP,Not nouns
237,Acrochordidae,NNP,"  사마귀뱀: 아크로코르두스과(科) Acrochordidae의 두 종류의 몸이 굵은, 물에서 사는 뱀; 독은 없고 비늘은 사마귀 모양; 동남 아시아에서 오스트레일리아 북부에 걸쳐 산다.  "
238,Acrochordinae,NNP,Not nouns
239,Acroclinium,NNP,Not nouns
240,Acrocomia,NNP,Not nouns
241,Acrodus,NNP,Not nouns
242,Acrogynae,NNP,Not nouns
243,Acromyodi,NNP,Not nouns
244,Acronycta,NNP,Not nouns
245,Acropora,NNP,Not nouns
246,Acrosticheae,NNP,Not nouns
247,Acrostichum,NNP,Not nouns
248,Acrothoracica,NNP,Not nouns
249,Acrotreta,NNP,Not nouns
250,Acrotretidae,NNP,Not nouns
251,Acrux,NNP,[천문]  아크룩스: 십자가좌(座)(남십자성)(Southern Cross)의 1등성.  
252,Acrydium,NNP,Not nouns
253,Actaea,NNP,Not nouns
254,Actaeaceae,NNP,Not nouns
255,Actaeon,NNP,[그리스신화]  악타이온 ((아르테미스 여신의 목욕하는 모습을 엿보았기 때문에 저주받아 사슴으로 변해 버린 사냥꾼))  
256,Actaeonidae,NNP,Not nouns
257,Actiad,NNP,Not nouns
258,Actian,NNP,"  (어떤 목적이나 문제 해결을 위한) 행동, 조치 (→direct action, industrial action)      2.    "
259,Actinia,NNP,[동물]  말미잘 무리  
260,Actiniaria,NNP,Not nouns
261,Actinidia,NNP,Not nouns
262,Actinidiaceae,NNP,Not nouns
263,Actiniomorpha,NNP,Not nouns
264,Actinistia,NNP,Not nouns
265,Actinobacillus,NNP,[생명과학]  악티노바실루스[속](~[屬])  
266,Actinocrinidae,NNP,Not nouns
267,Actinocrinus,NNP,Not nouns
268,Actinoida,NNP,Not nouns
269,Actinoidea,NNP,Not nouns
270,Actinomyces,NNP,Not nouns
271,Actinomycetaceae,NNP,Not nouns
272,Actinomycetales,NNP,[농업]  방선균목(放線菌目)  
273,Actinomyxidia,NNP,Not nouns
274,Actinomyxidiida,NNP,Not nouns
275,Actinonema,NNP,Not nouns
276,Actinophrys,NNP,Not nouns
277,Actinopoda,NNP,[생명과학]  방사판족문(放射板足門)  
278,Actinopteri,NNP,Not nouns
279,Actinopterygii,NNP,[해양과학]  조기아강 (條鰭亞綱)  
280,Actinosphaerium,NNP,Not nouns
281,Actinozoa,NNP,[지질학]  산호류(珊糊類)  
282,Actipylea,NNP,Not nouns
283,Actium,NNP,"  악티움: 고대 그리스 서북부의 곶, 기원전 31년 Antony와 Cleopatra는 이 부근의 해전에서 Octavian과 Agrippa의 함대에게 패배했다.  "
284,Acuan,NNP,Not nouns
285,Acubens,NNP,Not nouns
286,Aculeata,NNP,Not nouns
287,Acutilinguae,NNP,Not nouns
288,Ada,NNP,  여자 이름 ((애칭 Addie))      2.    
289,Adad,NNP,  자동 전화 연결 카드  
290,Adai,NNP,Not nouns
291,Adaize,NNP,Not nouns
292,Adam,NNP,  (→know v. not know from Adam)  
293,Adamastor,NNP,Not nouns
294,Adamhood,NNP,Not nouns
295,Adamic,NNP,Not nouns
296,Adamical,NNP,Not nouns
297,Adamically,NNP,Not nouns
298,Adamite,NNP,"  아담의 자손, 인간      2.    "
299,Adamitic,NNP,Not nouns
300,Adamitical,NNP,Not nouns
301,Adamitism,NNP,  나체주의  
302,Adamsia,NNP,Not nouns
303,Adansonia,NNP,Not nouns
304,Adapa,NNP,  아다파: Anu가 제공한 영생의 음식과 물을 인류를 대표해서 거절했다고 하는 고대 바빌로니아의 전설상의 현자(賢者).  
305,Adapis,NNP,Not nouns
306,Adar,NNP,  (유대력의) 12월 ((태양력의 2-3월))  
307,Adda,NNP,Not nouns
308,Addie,NNP,"  여자 이름 ((Ada, Adelaide, Adeline의 애칭))  "
309,Addisonian,NNP,  애디슨(의 작품) 연구가.  
310,Addisoniana,NNP,Not nouns
311,Addressograph,NNP,  = ADDRESSING MACHINE ((상표명))  
312,Addu,NNP,Not nouns
313,Addy,NNP,  (=Addie)  
314,Ade,NNP,"  George, 에이드(1866-1944): 미국의 유머 작가.  "
315,Adela,NNP,  여자 이름.  
316,Adelaide,NNP,  여자 이름      2.    
317,Adelarthra,NNP,Not nouns
318,Adelarthrosomata,NNP,Not nouns
319,Adelbert,NNP,  남자 이름.  
320,Adelea,NNP,Not nouns
321,Adeleidae,NNP,Not nouns
322,Adelges,NNP,Not nouns
323,Adelia,NNP,  여자 이름.  
324,Adelina,NNP,"Adelina (Adela Juana Maria Patti), 패티(1843-1919): 스페인 태생인 이탈리아의 오페라 가수(소프라노).      2.    "
325,Adeline,NNP,"  여자 이름 ((애칭은 Addie, Addy))  "
326,Adeliza,NNP,Not nouns
327,Adelochorda,NNP,Not nouns
328,Adelops,NNP,Not nouns
329,Adelphi,NNP,Not nouns
330,Adelphian,NNP,Not nouns
331,Adelphoi,NNP,Not nouns
332,Adenanthera,NNP,Not nouns
333,Adenophora,NNP,Not nouns
334,Adenostoma,NNP,"  셔미소 Adenostoma fasciculatum: 미국 California주산(産)의 장미과(科)의 관목, 밀생하여 덤불을 이룬다.  "
335,Adeodatus,NNP,  아데오다투스 2세(?-676): 로마 교황(672-676).  
336,Adeona,NNP,Not nouns
337,Adephaga,NNP,Not nouns
338,Adessenarian,NNP,Not nouns
339,Adhafera,NNP,Not nouns
340,Adhara,NNP,"  아다라 별: 큰개좌(座)(Canis Major)의 별, 지구에서 약 652광년.  "
341,Adiantum,NNP,[식물]  공작고사리속(屬)(maidenhair)  
342,Adib,NNP,Not nouns
343,Adicea,NNP,Not nouns
344,Adiel,NNP,Not nouns
345,Adigei,NNP,Not nouns
346,Adighe,NNP,Not nouns
347,Adigranth,NNP,  (=Guru Granth Sahib)  
348,Adin,NNP,  남자 이름.  
349,Adinida,NNP,Not nouns
350,Adirondack,NNP,"  [the ~(s)] 애디론댁 족, 애디론댁 족의 사람      2.    "
351,Adlai,NNP,  남자 이름.  
352,Adlumia,NNP,Not nouns
353,Adolph,NNP,  남자 이름.  
354,Adolphus,NNP,  남자 이름  
355,Adonai,NNP,"  하느님, 주(主)  "
356,Adonean,NNP,Not nouns
357,Adonia,NNP,"  아도니아, 아도니스(Adonis)의 축제: Adonis의 죽음과 부활을 기리는 제전으로 그리스·로마 및 중동 지방에서 거행되었다.  "
358,Adoniad,NNP,Not nouns
359,Adonian,NNP,Not nouns
360,Adonic,NNP,[운율]  아도니스격의 시[시행]  
361,Adoniram,NNP,Not nouns
362,Adonis,NNP,"  아도니스, 미소년  "
363,Adoretus,NNP,Not nouns
364,Adoxa,NNP,Not nouns
365,Adoxaceae,NNP,Not nouns
366,Adramelech,NNP,  고대 바빌론의 주민 Sepharvites가 숭배한 신들 중의 하나.      2.    
367,Adrammelech,NNP,Not nouns
368,Adrenalin,NNP,  아드레날린제 ((상표명))  
369,Adrian,NNP,  남자 이름  
370,Adriana,NNP,Not nouns
371,Adriatic,NNP,  [the ~] 아드리아 해 ((이탈리아와 발칸 반도 사이))  
372,Adrienne,NNP,  여자 이름.  
373,Adullam,NNP,Not nouns
374,Adullamite,NNP,[영국사]  어덜럼 당원 ((영국에서 1886년 선거법 개정안에 반대하여 자유당을 탈당한 의원))      2.    
375,Advaita,NNP,"[힌두교]  불이일원론(不二一元論): 주요한 두 Vedanta 학파 중의 하나, Brahman의 존재만을 주장하고 현상계(現象界)는 무지에 바탕을 둔 환영(幻影)이라고 주장.  "
376,Advent,NNP,"  그리스도의 강림, 강림절(크리스마스 전의 약 4주간)      2.    "
377,Adventism,NNP,  그리스도 재림설  
378,Adventist,NNP,  그리스도 재림론자( = Second ~)      2.    [형용사]  그리스도 재림설의  
379,Aeacides,NNP,"[그리스 신화]  아이아키데스: Achilles, Peleus, Telamon등, Aeacus의 자손에게 붙여진 부계(父系) 이름(patronymic).  "
380,Aeacus,NNP,"  [그리스신화] 아이아코스 ((Zeus의 아들, 저승 Hades의 재판관이 됨))  "
381,Aeaean,NNP,Not nouns
382,Aechmophorus,NNP,Not nouns
383,Aecidiaceae,NNP,Not nouns
384,Aedes,NNP,Not nouns
385,Aegean,NNP,Not nouns
386,Aegeriidae,NNP,Not nouns
387,Aegialitis,NNP,Not nouns
388,Aegina,NNP,"[그리스 신화]  아이기나: Asopus와 Metope사이의 딸, Zeus에게 유괴되어 그 아들 Aeacus를 낳았다.      2.    "
389,Aeginetan,NNP,Not nouns
390,Aeginetic,NNP,Not nouns
391,Aegipan,NNP,[그리스 신화]  아이기판: 염소의 모습을 한 Pan이라는 뜻.  
392,Aegisthus,NNP,"  [그리스신화] 아이기스토스 ((Agamemnon의 아내를 유혹하고, 귀환한 그를 살해; 나중에 그의 아들 Orestes에게 살해됨))  "
393,Aegithalos,NNP,Not nouns
394,Aegithognathae,NNP,Not nouns
395,Aegle,NNP,[그리스 신화]  Hesperides의 한 사람.      2.    
396,Aegopodium,NNP,Not nouns
397,Aeluroidea,NNP,Not nouns
398,Aeolia,NNP,Not nouns
399,Aeolian,NNP,  Aeolis 사람  
400,Aeolic,NNP,  (고대 그리스말의) Aeolis 방언  
401,Aeolicism,NNP,Not nouns
402,Aeolidae,NNP,Not nouns
403,Aeolididae,NNP,Not nouns
404,Aeolis,NNP,  아이올리스 ((소아시아 북서안의 고대 그리스 식민지))  
405,Aeolism,NNP,Not nouns
406,Aeolist,NNP,Not nouns
407,Aepyceros,NNP,Not nouns
408,Aepyornis,NNP,"  이피오르니스(Madagascar에 서식하던 타조보다 큰 주금류(走禽類)의 일종, 현재는 멸종).  "
409,Aepyornithidae,NNP,Not nouns
410,Aepyornithiformes,NNP,Not nouns
411,Aequi,NNP,Not nouns
412,Aequian,NNP,Not nouns
413,Aequiculi,NNP,Not nouns
414,Aequipalpia,NNP,Not nouns
415,Aerides,NNP,Not nouns
416,Aerobacter,NNP,  호기성(好氣性) 세균  
417,Aerobranchia,NNP,Not nouns
418,Aerocharidae,NNP,Not nouns
419,Aerope,NNP,Not nouns
420,Aerosol,NNP,"  에어로졸, 연무제  "
421,Aeschylean,NNP,Not nouns
422,Aeschynanthus,NNP,Not nouns
423,Aeschynomene,NNP,Not nouns
424,Aesculaceae,NNP,Not nouns
425,Aesculapius,NNP,[로마신화]  아이스쿨라피우스 ((의약과 의술의 신))  
426,Aesculus,NNP,Not nouns
427,Aesopian,NNP,Not nouns
428,Aesopic,NNP,Not nouns
429,Aestii,NNP,Not nouns
430,Aethionema,NNP,Not nouns
431,Aethusa,NNP,Not nouns
432,Aetian,NNP,Not nouns
433,Aetobatidae,NNP,Not nouns
434,Aetobatus,NNP,Not nouns
435,Aetolian,NNP,Not nouns
436,Aetomorphae,NNP,Not nouns
437,Aetosaurus,NNP,Not nouns
438,Afar,NNP,Not nouns
439,Afenil,NNP,Not nouns
440,Afghan,NNP,"  아프가니스탄 사람, [U] 아프가니스탄 말      3.    "
441,Afifi,NNP,Not nouns
442,Aframerican,NNP,Not nouns
443,Afrasia,NNP,  아프라시아 ((아프리카 북부와 아시아 남서부를 일괄해서 부르는 이름))  
444,Afrasian,NNP,  아프리카 인과 아시아 인의 혼혈아  
445,African,NNP,  (특히 흑인) 아프리카인  
446,Africana,NNP,"  pl. 아프리카에 관한 문헌[풍물], 아프리카지(誌)  "
447,Africanism,NNP,  아프리카 문화의 특질      2.    
448,Africanist,NNP,"  아프리카 언어[문화] 연구자, 아프리카 민족 해방주의자  "
449,Africanization,NNP,"  아프리카화, 아프리카 흑인 체제화.  "
450,Africanize,NNP,Not nouns
451,Africanoid,NNP,Not nouns
452,Africanthropus,NNP,"  아프리칸드로푸스: 동아프리카 갱신세(更新世)의 사람과(科)의 한 속(屬), 1935년 Tanganyika 지방에서 화석이 발견되었다.  "
453,Afridi,NNP,[섬유공학]  아프리디  
454,Afrikaans,NNP,  아프리칸스어(네덜란드어에서 발달한 언어로 남아프리카공화국에서 사용됨)  
455,Afrikander,NNP,  (=AFRICANDER)  
456,Afrikanderdom,NNP,Not nouns
457,Afrikanderism,NNP,  아프리카나풍(風): 아프리카나인(人) 특유의 또는 아프리카나인에게서 생겨난 언어·표현·풍습 따위.  
458,Afrikaner,NNP,"  아프리카너, 아프리칸스어 사용자 (남아프리카공화국에서 Afrikaans를 제1언어로 쓰는, 보통 네덜란드계 사람)  "
459,Afrogaea,NNP,Not nouns
460,Afrogaean,NNP,Not nouns
461,Afshah,NNP,Not nouns
462,Afshar,NNP,Not nouns
463,Afzelia,NNP,Not nouns
464,Agade,NNP,  (=Akkad)  
465,Agag,NNP,"  아각: 아말렉인(人)(Amalekite)의 왕; 한 번 잡혀 Saul에 의해 목숨이 부지되었으나, 뒤에 Samuel에 의해 살해되었다.  "
466,Agalena,NNP,Not nouns
467,Agalenidae,NNP,Not nouns
468,Agalinis,NNP,Not nouns
469,Agama,NNP,[동물]  아가마도마뱀 ((아프리카·인도산(産)))  
470,Agamae,NNP,Not nouns
471,Agamemnon,NNP,[그리스신화]  아가멤논 ((트로이 전쟁 당시 그리스군 총지휘관))  
472,Agamidae,NNP,Not nouns
473,Aganice,NNP,Not nouns
474,Aganippe,NNP,"[그리스 신화]  아가니페: 그리스의 Helicon산 기슭에 있는 Muses의 샘, 이 샘의 물을 마신 사람에게는 시(詩)의 영감이 주어졌다고 한다.  "
475,Agao,NNP,Not nouns
476,Agaonidae,NNP,Not nouns
477,Agapanthus,NNP,"[식물]  아가판투스, 자주군자란  "
478,Agapemone,NNP,"  [the ~] 사랑의 집 ((19세기 중엽 영국의 자유 연애주의자 집단)), [때로 a~] 자유연애자 집단  "
479,Agapemonian,NNP,Not nouns
480,Agapemonist,NNP,Not nouns
481,Agapemonite,NNP,"  Agapemone의 회원, 자유 연애주의자.  "
482,Agapetidae,NNP,Not nouns
483,Agapornis,NNP,[농업]  앵무새속(屬)  
484,Agaricales,NNP,Not nouns
485,Agaricus,NNP,Not nouns
486,Agaristidae,NNP,Not nouns
487,Agarum,NNP,Not nouns
488,Agastache,NNP,Not nouns
489,Agastreae,NNP,Not nouns
490,Agatha,NNP,  여자 이름 ((애칭 Aggie))  
491,Agathaea,NNP,Not nouns
492,Agathaumas,NNP,Not nouns
493,Agathis,NNP,Not nouns
494,Agathosma,NNP,Not nouns
495,Agau,NNP,Not nouns
496,Agave,NNP,Not nouns
497,Agawam,NNP,Not nouns
498,Agaz,NNP,Not nouns
499,Agdistis,NNP,Not nouns
500,Agelacrinites,NNP,Not nouns
501,Agelacrinitidae,NNP,Not nouns
502,Agelaius,NNP,Not nouns
503,Agelaus,NNP,"[그리스 신화]  Paris를 키운 Priam왕의 목동으로, 왕명에 따라 Paris를 이데 산중에 버렸다.      2.    "
504,Agena,NNP,[천문]  켄타우루스자리의 β성(星)      2.    
505,Ageratum,NNP,"[식물]  불로화, 아게라툼 ((엉거싯과(科)의 일년초))  "
506,Aggie,NNP,"  여자 이름 ((Agatha, Agnes의 애칭))  "
507,Aggregata,NNP,Not nouns
508,Aggregatae,NNP,Not nouns
509,Aghan,NNP,"[힌두曆]  9월, 아간((그레고리력(曆)의 11-12월 ; ⇨ HINDU CALENDAR)).  "
510,Aghlabite,NNP,Not nouns
511,Aghorapanthi,NNP,Not nouns
512,Aghori,NNP,Not nouns
513,Agialid,NNP,Not nouns
514,Agib,NNP,Not nouns
515,Agiel,NNP,Not nouns
516,Agkistrodon,NNP,Not nouns
517,Aglaia,NNP,[그리스신화]  아글라이아 ((미(美)의 3여신(three Graces)의 하나))  
518,Aglaonema,NNP,Not nouns
519,Aglaos,NNP,Not nouns
520,Aglaspis,NNP,Not nouns
521,Aglauros,NNP,Not nouns
522,Aglipayan,NNP,  아글리파이파(派)의 신도.  
523,Aglipayano,NNP,Not nouns
524,Aglossa,NNP,[동물]  무설류(無舌類)(A~)의 개구리(=tongueless frog)((아프리카·남미산(產))).  
