Column1,word,type,v1
119,autoboating,VBG,Not verb
120,autocamping,VBG,Not verb
121,autografting,VBG,Not verb
122,autoloading,VBG,"  <총기가> 자동 장전(식)의, [컴퓨터] 자동 로드하는  "
123,autosexing,VBG,[축산]  태어날[부화할] 때 암수 별로 각기 특징을 나타내는      2.    [명사]  오토섹싱 ((출생[부화] 때 성별이 판별될 수 있게 교배하기))  
124,autoturning,VBG,Not verb
125,avenging,VBG,"  복수의, 보복의  "
126,awakening,VBG,Not verb
127,awanting,VBG,Not verb
128,awing,VBG,[격식]  온통 경외심을 갖게 하다  
129,awning,VBG,Not verb
130,axmaking,VBG,Not verb
131,baahling,VBG,Not verb
132,babbling,VBG,"  재잘거리는, 졸졸 흐르는      2.    [명사]  [UC] 수다, 졸졸 흐르는 소리  "
133,backbearing,VBG,Not verb
134,backbreaking,VBG,  몹시 힘든[고된]  
135,backfilling,VBG,Not verb
136,backing,VBG,Not verb
137,backlashing,VBG,Not verb
138,backsetting,VBG,Not verb
139,backslapping,VBG,Not verb
140,backspringing,VBG,Not verb
141,backstring,VBG,Not verb
142,backswing,VBG,Not verb
143,backswording,VBG,Not verb
144,backwashing,VBG,Not verb
145,baffling,VBG,"  저해하는, 당황하게 하는, 이해할 수 없는  "
146,bagging,VBG,Not verb
147,bagmaking,VBG,Not verb
148,baking,VBG,  타는 듯이 더운  
149,balancing,VBG,Not verb
150,balladling,VBG,Not verb
151,balladmongering,VBG,Not verb
152,ballasting,VBG,Not verb
153,balloting,VBG,Not verb
154,balustrading,VBG,Not verb
155,banding,VBG,Not verb
156,bandstring,VBG,Not verb
157,banging,VBG,  쾅[탕]하고 치다[때리다]      2.    
158,bangling,VBG,"  ...에게 결과를 알리지 않고 기다리게 하다, ...을 애타게 (안달복달하게)하다  "
159,banning,VBG,  금(지)하다 (=prohibit)      2.    
160,banqueteering,VBG,Not verb
161,bantling,VBG,Not verb
162,banxring,VBG,Not verb
163,barding,VBG,Not verb
164,bardling,VBG,Not verb
165,baring,VBG,Not verb
166,barking,VBG,"  (잘) 짖는, 정신이 이상한      2.    [명사]  [U] 짖는 소리, 심한 기침, [구어] 호통  "
167,barkpeeling,VBG,Not verb
168,barling,VBG,Not verb
169,barnstorming,VBG,  (공연·스포츠 경기 등이) 활기 넘치는[아주 재미있는]  
170,barrelmaking,VBG,Not verb
171,barring,VBG,Not verb
172,bartending,VBG,Not verb
173,basketmaking,VBG,Not verb
174,basting,VBG,Not verb
175,batfowling,VBG,Not verb
176,bathing,VBG,Not verb
177,batikuling,VBG,Not verb
178,bating,VBG,Not verb
179,batling,VBG,Not verb
180,batswing,VBG,Not verb
181,battening,VBG,Not verb
182,batting,VBG,Not verb
183,batwing,VBG,Not verb
184,baubling,VBG,Not verb
185,beachcombing,VBG,Not verb
186,beading,VBG,Not verb
187,beagling,VBG,Not verb
188,bealing,VBG,Not verb
189,beaming,VBG,"  빛나는; 기쁨에 넘친, 희색이 만면한, 밝은  "
190,bearbaiting,VBG,Not verb
191,bearding,VBG,Not verb
192,bearing,VBG,Not verb
193,beastling,VBG,Not verb
194,beating,VBG,Not verb
195,beckoning,VBG,"  (오라고) 손짓하다, (손짓으로) 부르다 (=signal)      2.    "
196,becoming,VBG,Not verb
197,bedazzling,VBG,Not verb
198,bedding,VBG,Not verb
199,bedmaking,VBG,Not verb
200,bedspring,VBG,Not verb
201,bedstring,VBG,Not verb
202,beekeeping,VBG,Not verb
203,beermaking,VBG,Not verb
204,beeswing,VBG,Not verb
205,befitting,VBG,"  적당한; 어울리는, 알맞은(proper) ((to))  "
206,begging,VBG,  구걸하는  
207,beginning,VBG,Not verb
208,beguiling,VBG,[격식]  묘한 매력이 있는  
209,beholding,VBG,[옛글투 또는 문예체]  (바라)보다  
210,behooving,VBG,Not verb
211,being,VBG,Not verb
212,beking,VBG,Not verb
213,believing,VBG,  믿음[신앙심]을 가진  
214,bellhanging,VBG,Not verb
215,belling,VBG,Not verb
216,bellmaking,VBG,Not verb
217,bellowsmaking,VBG,Not verb
218,bellying,VBG,"  부푸는, 불룩해지는.  "
219,belonging,VBG,Not verb
220,belting,VBG,Not verb
221,beltmaking,VBG,Not verb
222,belying,VBG,  BELIE의 현재분사  
223,bemaddening,VBG,Not verb
224,bemoaning,VBG,[격식]  한탄하다  
225,benching,VBG,Not verb
226,bending,VBG,Not verb
227,benting,VBG,Not verb
228,berrypicking,VBG,Not verb
229,berthing,VBG,Not verb
230,beseeching,VBG,"[격식]  애원조의, 애원하는 듯한  "
231,beseeming,VBG,  어울리는.  
232,besetting,VBG,  끊임없이 붙어 다니는[습격하는]  
233,besieging,VBG,"  포위하다, 에워싸다 (=lay siege to)      2.    "
234,besing,VBG,Not verb
235,besotting,VBG,Not verb
236,bestowing,VBG,[격식]  (특히 존경의 뜻으로) 수여[부여]하다  
237,bettering,VBG,Not verb
238,betting,VBG,Not verb
239,bewailing,VBG,[격식 또는 유머]  비통[애통]해하다  
240,bewildering,VBG,  어리둥절하게[갈피를 못 잡게] 만드는 (=confusing)  
241,bewitching,VBG,"  넋을 빼놓는, 황홀한  "
242,bilimbing,VBG,Not verb
243,billbroking,VBG,Not verb
244,billeting,VBG,  (전시에 군인을 민간의) 임시 숙소로 보내다  
245,billheading,VBG,Not verb
246,billing,VBG,Not verb
247,billposting,VBG,Not verb
248,billsticking,VBG,Not verb
249,binding,VBG,  법적 구속력이 있는      2.    [명사]  (제본용) 표지      3.    [명사]  (천의) 가장자리 장식[가장자리에 덧댄 것]  
250,bing,VBG,Not verb
251,binning,VBG,[英 비격식]  버리다  
252,birching,VBG,"[속어]  굉장한, 아주 좋은  "
253,birdbanding,VBG,Not verb
254,birdcatching,VBG,Not verb
255,birding,VBG,Not verb
256,birdling,VBG,Not verb
257,biscuiting,VBG,Not verb
258,biscuitmaking,VBG,Not verb
259,bishopling,VBG,Not verb
260,bitewing,VBG,Not verb
261,biting,VBG,Not verb
262,bittering,VBG,Not verb
263,bitterling,VBG,Not verb
264,blackbirding,VBG,Not verb
265,blackening,VBG,Not verb
266,blackfishing,VBG,Not verb
267,blacking,VBG,Not verb
268,blacksmithing,VBG,Not verb
269,blading,VBG,Not verb
270,blaming,VBG,"  …을 탓하다, … 책임[때문]으로 보다      2.    [명사]  책임, 탓 (→credit n. (7))  "
271,blanching,VBG,Not verb
272,blandishing,VBG,Not verb
273,blanketing,VBG,Not verb
274,blanketmaking,VBG,Not verb
275,blanking,VBG,Not verb
276,blasting,VBG,Not verb
277,blazing,VBG,Not verb
278,blazoning,VBG,  (=emblazon)      2.    
279,bleaching,VBG,"  표백[마전]하는, 표백성의  "
280,bleating,VBG,Not verb
281,bleeding,VBG,[英  속어]  (=bloody)      2.    [명사]  출혈  
282,blenching,VBG,Not verb
283,blending,VBG,Not verb
284,blessing,VBG,Not verb
285,blighting,VBG,"  망치다, 엉망으로 만들다      2.    [명사]  (곡식의) 병충해      3.    [명사]  어두운 그림자(를 드리우는 것)  "
286,blimbing,VBG,Not verb
287,blinding,VBG,Not verb
288,blindling,VBG,Not verb
289,blinking,VBG,Not verb
290,blistering,VBG,Not verb
291,blithering,VBG,"[구식  英  비격식]  순전한, 완벽한  "
292,bloating,VBG,Not verb
293,blocking,VBG,Not verb
294,blockmaking,VBG,Not verb
295,bloodcurdling,VBG,"  [A] 소름이 끼치는, 등골이 오싹해지는  "
296,bloodletting,VBG,Not verb
297,bloodshedding,VBG,Not verb
298,bloodspilling,VBG,Not verb
299,bloodsucking,VBG,Not verb
300,bloodthirsting,VBG,Not verb
301,blooming,VBG,Not verb
302,blooping,VBG,[미·속어]  술에 취한(looped)  
303,blotting,VBG,  (액체를 부드러운 종이나 천으로 빨아들여) 닦아내다      2.    
304,blousing,VBG,Not verb
305,blowing,VBG,Not verb
306,blowzing,VBG,Not verb
307,blubbering,VBG,[비격식 못마땅함]  흐느껴[엉엉] 울다  
308,blueing,VBG,Not verb
309,bluestocking,VBG,Not verb
310,bluewing,VBG,Not verb
311,bluing,VBG,Not verb
312,blundering,VBG,"  실수하는, 어색한, 서투른  "
313,blushing,VBG,"  얼굴이 빨개진, 부끄럼을 잘 타는; 조심성 있는      2.    [명사]  얼굴을 붉힘, 부끄러워함  "
314,blustering,VBG,"  세차게 몰아치는; 호통치는, 뽐내는  "
315,boasting,VBG,  자랑하는  
316,boatbuilding,VBG,Not verb
317,boating,VBG,Not verb
318,boatloading,VBG,Not verb
319,bobbing,VBG,Not verb
320,bocking,VBG,Not verb
321,bodicemaking,VBG,Not verb
322,boding,VBG,"  징조의, 징조가 되는; 불길한  "
323,bodybending,VBG,Not verb
324,bodymaking,VBG,Not verb
325,bogtrotting,VBG,Not verb
326,boilermaking,VBG,Not verb
327,boiling,VBG,"  몹시 더운, 푹푹 찌는 (=baking)  "
328,boltheading,VBG,Not verb
329,bolting,VBG,Not verb
330,boltmaking,VBG,Not verb
331,bondholding,VBG,Not verb
332,bonding,VBG,Not verb
333,bonesetting,VBG,Not verb
334,bookbinding,VBG,Not verb
335,booking,VBG,Not verb
336,bookkeeping,VBG,Not verb
337,bookling,VBG,Not verb
338,bookmaking,VBG,Not verb
339,bookselling,VBG,Not verb
340,booming,VBG,Not verb
341,bootlegging,VBG,Not verb
342,bootmaking,VBG,Not verb
343,bordering,VBG,Not verb
344,boring,VBG,"  재미없는, 지루한  "
345,borning,VBG,Not verb
346,boroughmongering,VBG,Not verb
347,borrowing,VBG,Not verb
348,bossing,VBG,Not verb
349,bottlemaking,VBG,Not verb
350,bottling,VBG,Not verb
351,bouldering,VBG,Not verb
352,bouncing,VBG,"  건강한, 활발한  "
353,bounding,VBG,Not verb
354,bowing,VBG,"  인사를 하는, 절을 하는  "
355,bowmaking,VBG,Not verb
356,bowstring,VBG,Not verb
357,boxing,VBG,Not verb
358,boxmaking,VBG,Not verb
359,brachering,VBG,Not verb
360,bracing,VBG,  (차가우면서) 상쾌한  
361,bracketing,VBG,Not verb
362,bragging,VBG,[못마땅함]  (심하게) 자랑하다[떠벌리다] (=boast)      2.    [명사][못마땅함]  브래그(간단한 포커 게임)  
363,braiding,VBG,Not verb
364,brainwashing,VBG,Not verb
365,brakemaking,VBG,Not verb
366,branching,VBG,"  가지를 내뻗은, 분기한  "
367,branchling,VBG,Not verb
368,brandering,VBG,Not verb
369,brandling,VBG,Not verb
370,brangling,VBG,Not verb
371,bratling,VBG,Not verb
372,bratticing,VBG,Not verb
373,braving,VBG,Not verb
374,brawling,VBG,"  시끄러운, 떠들썩한, 요란한  "
375,breadearning,VBG,Not verb
376,breadmaking,VBG,Not verb
377,breadwinning,VBG,Not verb
378,breaking,VBG,Not verb
379,breastfeeding,VBG,Not verb
380,breasting,VBG,Not verb
381,breathing,VBG,Not verb
382,brewing,VBG,Not verb
383,bribegiving,VBG,Not verb
384,bribetaking,VBG,Not verb
385,bricking,VBG,Not verb
386,bricklaying,VBG,Not verb
387,bricklining,VBG,Not verb
388,brickmaking,VBG,Not verb
389,bridesmaiding,VBG,Not verb
390,bridgebuilding,VBG,Not verb
391,bridgemaking,VBG,Not verb
392,bridging,VBG,Not verb
393,bridling,VBG,Not verb
394,briefing,VBG,Not verb
395,brightening,VBG,Not verb
396,briming,VBG,Not verb
397,bring,VBG,"  가져오다, 데려오다      2.    "
398,brisling,VBG,Not verb
399,brittling,VBG,Not verb
400,broiling,VBG,"  타는 듯이 뜨거운[더운], 혹서(酷暑)의; 구워지는  "
401,broking,VBG,"  중개(업)의, 거간(업)의  "
402,bronzewing,VBG,Not verb
403,bronzing,VBG,Not verb
404,brooding,VBG,[문예체]  음울한  
405,broodling,VBG,Not verb
406,broommaking,VBG,Not verb
407,browning,VBG,Not verb
408,browsing,VBG,Not verb
409,bruising,VBG,  (마음이) 힘든[불편한]  
410,brushing,VBG,"  휙 스쳐 가는; 민활한, 빠른      2.    [명사]  [U] 솔질, 솔로 칠함, [pl.] 쓸어 모은 것  "
411,brushmaking,VBG,Not verb
412,bruting,VBG,Not verb
413,bubbling,VBG,"  졸졸 흐르는, 부글부글 거품이 이는.  "
414,bucketmaking,VBG,Not verb
415,bucking,VBG,Not verb
416,buckwashing,VBG,Not verb
417,budding,VBG,"  싹트기 시작하는, 신예의  "
418,buffing,VBG,Not verb
419,bullbaiting,VBG,Not verb
420,bulletmaking,VBG,Not verb
421,bullfighting,VBG,Not verb
422,bulling,VBG,Not verb
423,bullying,VBG,Not verb
424,bullyragging,VBG,Not verb
425,bumming,VBG,Not verb
426,bumping,VBG,Not verb
427,bungling,VBG,bungling incompetence      엉망인 무능력  
428,bunting,VBG,Not verb
429,burning,VBG,Not verb
430,burnishing,VBG,Not verb
431,burring,VBG,Not verb
432,burying,VBG,Not verb
433,bushfighting,VBG,Not verb
434,bushing,VBG,Not verb
435,bushmaking,VBG,Not verb
436,bushranging,VBG,Not verb
437,bushwhacking,VBG,Not verb
438,bustling,VBG,"  부산한, 북적거리는  "
439,busying,VBG,Not verb
440,butchering,VBG,Not verb
441,buttermaking,VBG,Not verb
442,buzzing,VBG,"  윙윙거리는, 와글와글거리는  "
443,byganging,VBG,Not verb
444,bygoing,VBG,Not verb
445,caaming,VBG,Not verb
446,cabdriving,VBG,Not verb
447,cabinetmaking,VBG,Not verb
448,cabinetworking,VBG,Not verb
449,cabling,VBG,Not verb
450,cageling,VBG,Not verb
451,cajoling,VBG,"  꼬드기다, 회유하다 (=coax)  "
452,cakemaking,VBG,Not verb
453,calculating,VBG,"[못마땅함]  타산적인, 계산적인  "
454,calfling,VBG,Not verb
455,calking,VBG,Not verb
456,calling,VBG,Not verb
457,campshedding,VBG,Not verb
458,campsheeting,VBG,Not verb
459,camuning,VBG,Not verb
460,canalling,VBG,Not verb
461,candlelighting,VBG,Not verb
462,candlemaking,VBG,Not verb
463,candlewasting,VBG,Not verb
464,candymaking,VBG,Not verb
465,canmaking,VBG,Not verb
466,canning,VBG,Not verb
467,cannoneering,VBG,Not verb
468,canoeing,VBG,Not verb
469,canting,VBG,"  독실한 체하는, 위선적인  "
470,capering,VBG,[격식]  (신이 나서) 뛰어다니다[깡충거리다]  
471,capmaking,VBG,Not verb
472,capping,VBG,Not verb
473,captivating,VBG,"  매혹적인, 마음을 사로잡는 (=enchanting)  "
474,carding,VBG,Not verb
475,cardmaking,VBG,Not verb
476,cardsharping,VBG,Not verb
477,careering,VBG,  (제멋대로) 달리다 (=hurtle)  
478,caressing,VBG,"  [A] 애무하는, 귀여워하는; 달래는 듯한(soothing)  "
479,caretaking,VBG,Not verb
480,carioling,VBG,Not verb
481,carking,VBG,"  [고어] 괴롭히는, 귀찮은; 마음 졸이는, 애태우는  "
482,carling,VBG,Not verb
483,carloading,VBG,Not verb
484,carousing,VBG,[문예체]  술을 마시며 흥청거리다  
485,carpentering,VBG,Not verb
486,carpeting,VBG,Not verb
487,carpetmaking,VBG,Not verb
488,carping,VBG,"  트집 잡는, 잔소리 심한      2.    [명사]  트집 잡기  "
489,carrying,VBG,"  [A] 운송[적재]의; <목소리가> 잘 들리는; [미·속어] 마약을 가진, 총을 가진  "
490,cartmaking,VBG,Not verb
491,cartwrighting,VBG,Not verb
492,carving,VBG,Not verb
493,casemaking,VBG,Not verb
494,casing,VBG,Not verb
495,casking,VBG,Not verb
496,casting,VBG,Not verb
497,castling,VBG,Not verb
498,catamiting,VBG,Not verb
499,catching,VBG,Not verb
500,caterwauling,VBG,  (고양이 소리같이) 새된 소리를 내다  
501,catfacing,VBG,Not verb
502,catharping,VBG,Not verb
503,catling,VBG,Not verb
504,catting,VBG,Not verb
505,causing,VBG,  …을 야기하다[초래하다]  
506,caviling,VBG,Not verb
507,cellaring,VBG,Not verb
508,cementmaking,VBG,Not verb
509,centering,VBG,Not verb
510,chaffing,VBG,[구식 또는 격식]  (친근하게) 놀리다[농담하다] (=tease)  
511,chainmaking,VBG,  줄담배를 피우다  
512,chairmaking,VBG,Not verb
513,chairmending,VBG,Not verb
514,chambering,VBG,Not verb
515,chandlering,VBG,Not verb
516,changeling,VBG,Not verb
517,channeling,VBG,Not verb
518,chanting,VBG,Not verb
519,chapelgoing,VBG,Not verb
520,chapping,VBG,Not verb
521,chargeling,VBG,Not verb
522,charging,VBG,Not verb
523,charming,VBG,Not verb
524,charting,VBG,  도표 작성  
525,chasing,VBG,Not verb
526,chattering,VBG,Not verb
527,chattermagging,VBG,Not verb
528,chatting,VBG,Not verb
529,cheaping,VBG,Not verb
530,cheating,VBG,Not verb
531,checkstring,VBG,Not verb
532,cheddaring,VBG,Not verb
533,cheering,VBG,Not verb
534,cheesemongering,VBG,Not verb
535,cheeseparing,VBG,  인색한(stingy)  
536,cherishing,VBG,"  소중히 여기다, 아끼다      2.    "
537,chickling,VBG,Not verb
538,chicquing,VBG,Not verb
539,chiding,VBG,"[격식]  꾸짖다, 책망하다 (=rebuke)  "
540,chiefling,VBG,Not verb
541,childbearing,VBG,Not verb
542,childcrowing,VBG,Not verb
543,childing,VBG,"  [고어] 아이를 낳는, 임신한  "
544,chilling,VBG,  으스스한  
545,chinching,VBG,Not verb
546,chinking,VBG,Not verb
547,chipling,VBG,Not verb
548,chipping,VBG,  <작은 새 등이> 짹짹 우는  
549,chirping,VBG,Not verb
550,chirpling,VBG,Not verb
551,chitterling,VBG,Not verb
552,choking,VBG,Not verb
553,chopping,VBG,Not verb
554,chrisomloosing,VBG,Not verb
555,christening,VBG,Not verb
556,chucking,VBG,Not verb
557,churchgoing,VBG,Not verb
558,churching,VBG,Not verb
559,churning,VBG,Not verb
560,circling,VBG,Not verb
561,cissing,VBG,Not verb
562,cladding,VBG,Not verb
563,clamming,VBG,Not verb
564,clanking,VBG,  철커덕하는 소리가 나다[소리를 내다]  
565,clanning,VBG,Not verb
566,clapping,VBG,  박수를 치다      2.    
567,clasping,VBG,"  잎이 줄기의 일부 또는 전부를 감싸고 있는, 포경(抱莖)의.  "
568,cleading,VBG,Not verb
569,cleaning,VBG,Not verb
570,cleansing,VBG,Not verb
571,clearwing,VBG,Not verb
572,cleaving,VBG,Not verb
573,clerking,VBG,[美]  사무원[점원]으로 일하다  
574,climbing,VBG,Not verb
575,cling,VBG,"  꼭 붙잡다, 매달리다      2.    "
576,clinking,VBG,Not verb
577,clinting,VBG,Not verb
578,clipping,VBG,Not verb
579,cloaking,VBG,Not verb
580,cloakmaking,VBG,Not verb
581,clockmaking,VBG,Not verb
582,clodhopping,VBG,"  퉁명스러운, 본데없는  "
583,clogmaking,VBG,Not verb
584,closewing,VBG,Not verb
585,clothmaking,VBG,Not verb
586,clouding,VBG,Not verb
587,cloudling,VBG,Not verb
588,clowring,VBG,  (특히 이른 새벽에) ‘꼬끼오’하고 울다      4.    
589,cloying,VBG,Not verb
590,clubbing,VBG,Not verb
591,clustering,VBG,Not verb
592,clyfaking,VBG,Not verb
593,coachbuilding,VBG,Not verb
594,coaching,VBG,Not verb
595,coachmaking,VBG,Not verb
596,coachsmithing,VBG,Not verb
597,coaming,VBG,Not verb
598,coasting,VBG,"  연안 항행의, 타성으로 나아가는      2.    [명사]  연안 항행[무역]      3.    [명사]  해안선의 지형, 해안선도(圖)  "
599,coating,VBG,Not verb
600,coaxing,VBG,Not verb
601,cobbing,VBG,Not verb
602,cobbling,VBG,[구식]  신발을 만들다[수선하다]  
603,cobwebbing,VBG,Not verb
604,cockcrowing,VBG,Not verb
605,cockfighting,VBG,Not verb
606,cocking,VBG,Not verb
607,cockling,VBG,Not verb
608,cockshying,VBG,Not verb
609,cockthrowing,VBG,Not verb
610,codding,VBG,Not verb
611,codling,VBG,Not verb
612,coffinmaking,VBG,Not verb
613,cogging,VBG,Not verb
614,coiling,VBG,Not verb
615,coindwelling,VBG,Not verb
616,coining,VBG,Not verb
617,coinmaking,VBG,Not verb
618,cointersecting,VBG,Not verb
619,coking,VBG,Not verb
620,coling,VBG,Not verb
621,colling,VBG,Not verb
622,coloring,VBG,Not verb
623,colormaking,VBG,Not verb
624,columning,VBG,Not verb
625,combing,VBG,Not verb
626,combining,VBG,Not verb
627,combmaking,VBG,Not verb
628,comeling,VBG,Not verb
629,comforting,VBG,  위로가 되는  
630,coming,VBG,"  다가오는, 다음의  "
631,commanding,VBG,Not verb
632,communicating,VBG,Not verb
633,commuting,VBG,Not verb
634,compassing,VBG,Not verb
635,compelling,VBG,Not verb
636,compensating,VBG,Not verb
637,compounding,VBG,Not verb
638,compromising,VBG,"  낯 뜨거운, 남부끄러운  "
639,concerning,VBG,Not verb
640,conciliating,VBG,"[격식]  달래다, 회유하다 (=pacify)  "
641,concluding,VBG,"  종결의, 최후의, 끝맺는  "
642,concurring,VBG,"[격식]  동의하다, 의견 일치를 보다  "
643,condemning,VBG,  (보통 도덕적인 이유로) 규탄[비난]하다      2.    
644,condescending,VBG,"  거들먹거리는, 잘난 체하는  "
645,condoling,VBG,Not verb
646,conducing,VBG,Not verb
647,coneighboring,VBG,Not verb
648,conemaking,VBG,Not verb
649,confessing,VBG,  (죄·잘못을) 자백하다      2.    
650,confiding,VBG,"  신뢰를 나타내는, 은밀한  "
651,confining,VBG,  (활동·주제·지역 등을) 국한시키다 (=restrict)      2.    
652,confirming,VBG,  (특히 증거를 들어) 사실임을 보여주다[확인해 주다]      2.    
653,conflicting,VBG,"  서로 싸우는, 모순되는, 상충[상반]되는  "
654,confounding,VBG,Not verb
655,conning,VBG,Not verb
656,conquering,VBG,  정복[극복]하는.  
657,consenting,VBG,  동의[승낙]하는.  
658,considering,VBG,Not verb
659,consoling,VBG,  위안이 되는  
660,conspiring,VBG,"  음모[모의]를 꾸미다, 공모하다      2.    "
661,constraining,VBG,  …하게 만들다[강요하다]      2.    
662,consulting,VBG,"  [A] 상담역의, 자문의, 고문(자격)의; 진찰 전문의; 진찰을 위한      2.    [명사]  자문, 조언; 진찰  "
663,consuming,VBG,"  엄청나게 강렬한, 온 마음을 사로잡는 (→time-consuming)  "
664,contemning,VBG,Not verb
665,contending,VBG,[격식]  (특히 언쟁 중에) 주장하다 (=maintain)      2.    
666,converging,VBG,Not verb
667,converting,VBG,Not verb
668,conveyancing,VBG,Not verb
669,cooing,VBG,Not verb
670,cooking,VBG,  요리용의  
671,cooling,VBG,Not verb
672,coopering,VBG,Not verb
673,copending,VBG,Not verb
674,coping,VBG,Not verb
675,coploughing,VBG,Not verb
676,coplowing,VBG,Not verb
677,coppering,VBG,Not verb
678,coppersmithing,VBG,Not verb
679,copperwing,VBG,Not verb
680,coppicing,VBG,Not verb
681,copping,VBG,Not verb
682,copsing,VBG,Not verb
683,copyholding,VBG,Not verb
684,corbeling,VBG,Not verb
