,"5. If you observe conch, the shape of conch shell is slightly different. A conch that lives in a place with strong currents has developed horns on its shell, so it is not easily washed away by water, but a conch that lives in a place where the current is not strong has no horns on its shell. What is the reason?",q60_water current ,q60_depending on the ,q60_environment
159,Because it doesn't float well in places where the current is weak,,,
160,"In order not to be swept away by the current, horns have been developed so that they can be deeply embedded in the floor. Sora in places with weak currents have little risk of drifting away, so horns would not have developed because they do not need to develop horns.",,,
161,erosion,,,
162,"To adjust to the environment,",,,
163,I don't know,,,
164,It evolved to fit the nature,,,
165,"Because conch adapts according to the environment, horns develop in places with strong currents and do not float easily.",,,
166,I don't understand.,,,
167,That's the only way we can survive,,,
168,"If the current is weak, it seems that it is because it does not easily float away without horns.",,,
169,There seems to be a slight difference in environmental performance because the location is different,,,
170,I don't know,,,
171,"This is because in places where the current is strong, the horn can be fixed to the ground to withstand the strong current, but in places where the current is weak, the current can withstand the current without the horn.",,,
172,It seems that the area where the current is strong is worn out and the horns are developed so that they do not drift away from the waves,,,
173,"This is because there is no risk of drifting away, so there is no need.",,,
174,This is because living things evolve to suit the environment in which they live to survive.,,,
175,"When the current is strong, the shells of conch are sharpened to form horns",,,
176,"If the water is strong, it is pushed away, so if it is isolated and the current is weak, it is unnecessary",,,
177,The current is calm,,,
178,"The stronger the current, the more likely the conch is to fall off, so even if the current is strong due to the development of horns, it is not allowed to drift away.",,,
179,To keep the roots in the ground and hold out even if the current is strong.,,,
180,"The reason for the horn on the back of the conch is to prevent the conch from being washed away by the water because the current is fast. If you have horns, you can cut the current better and the resulting resistance is less.",,,
181,"This is because if there is a horn in a strong current, the horn can be broken or cut.",,,
182,"This is because there is no risk of leaving because the current is not strong, so there is no need for unnecessary development of horns.",,,
183,"The place where the current is strong uses horns to withstand the force due to the water pressure, but there is no need for weak places.",,,
184,"Where the current is strong, the horn is stuck in the sand so that it does not get swept away by the current, and where the current is weak, there is no need to have a horn.",,,
185,Life is the result of adaptation to the environment.,,,
186,This is because there is no need to float well even if there is no need.,,,
187,The horns did not develop because there was no need to drop into the water.,,,
188,"In order to fix the body to the floor using horns, conch horns in places with strong currents develop, but there is no need to develop in places with weak currents.",,,
189,"The conch living in a high-flow area should have a structure (horn) that can be attached relatively well to the surroundings, as it should have a shape not to be washed away by water. However, the conch living in a place where the current is strong does not have to develop horns because it is not washed away by water without such a structure.",,,
190,"The horn of the shell is unnecessary because where the current is not strong, there is no need to be washed away by water. a thing that does not develop accordingly",,,
191,The two types of conch are naturally chosen because of its advantage in survival in places with strong currents among mutant offspring from common ancestors.,,,
192,A conch in a place with a strong current is a horn developed in the shell that can hold the conch to hold it.,,,
193,Life evolves to favor the environment in which it lives.,,,
194,Water was developed to disperse the fall of the current.,,,
195,"Since it is not a drifting environment, it has evolved to be hornless.",,,
196,natural selection,,,
197,"Sora in places with strong currents developed horns to avoid drifting away, and weak places did not develop because they did not need to develop.Each creature evolves according to the environment and has characteristics that are advantageous for survival.",,,
198,"In the conch mutation, genetic variation causes a change in the trait, and only the strongest in each environment survived along the natural selection mechanism",,,
199,"At first, there were two kinds of cows that lived in places with strong currents. However, in order to resist the current, the horned conch was chosen by nature, and for this reason, the horned conch was formed where the current was strong. There was no choice where the current was weak, so no horns were formed.",,,
200,"To survive in the environment in which one lives, one adapts and evolves.",,,
201,"In places where the current is weak, it is not washed away, so it is not necessary to have horns.",,,
202,Sound evolved and horns developed to avoid being washed away by water.,,,
203,Adapt to the habitat,,,
204,I changed as I got used to the environment,,,
205,Don't know,,,
206,Make it sharp so that it doesn't float away,,,
207,"Because if the current is strong, it hurts",,,
208,..,,,
209,I don't know,,,
210,"""My ancestors are different",,,
211,"""",,,
212,It's changed to adjust to life,,,
213,"In places where the current is strong, it seems to have horns to avoid being swept away, and if the current is weak, it doesn't go much even if it floats, so it seems to have few.",,,
214,I don't know.,,,
215,To withstand the strength of the water with horns,,,
216,"The reason why the horn is developed on the shell is that the horn of the conch is stuck in the sand, so that it can withstand the strong current well, so that it is not pushed out by the weak conch",,,
217,"I think the shape has changed because of the strong current.So, where the current is weak, it will be straight.",,,
218,"""",,,
219,"Originally, it is a creature that changes its appearance to suit its environment, so the conch in the place with strong currents is more developed than in the place where it is weak to withstand the place with strong currents. In order to adapt to the fine dust environment, humans also gradually have a lot of nose hair and turn into an appearance that prevents fine dust.",,,
220,adapted to the environment,,,
221,"This is because even if the current is strong, it does not float well.",,,
222,This is because only conch survive and reproduce in places with strong currents.,,,
223,This is because the conch in the place where the current is strong increases its resistance to the current with its pointed projection.,,,
224,"Waves are a kind of wave that has energy. If this wave hits the conch head-on, the energy can be transmitted as it is and the conch can crack. When the current is strong, the horn should be used to disperse the wave.",,,
225,I don't know.,,,
226,"The intensity of the current is dispersed through the horn, which relatively reduces the force received per part. Therefore, there are horns where the current is strong, and there are no horns where the current is weak",,,
227,"The horn developed in the shell because the passive meaning of evolution occurred according to the given environment to prevent the strong current from being washed away, but the shell does not have to because the weak current does not have to.",,,
228,It's because the current is weak and it doesn't cause much damage from the outside,,,
229,"""It is to keep the conch from being washed away by strong currents.",,,
230,"""And the conch that's not strong won't be washed away.""",,,
231,It's because it evolved to suit the environment,,,
232,Because living things develop by adapting to the living environment,,,
233,"Mutation. In places where the current is strong, not to drift away.",,,
234,"This is because if the current is strong, it has to be strong.",,,
235,"Even if you don't have horns, you don't float away",,,
236,"Because of the strong current, the shell of the conch is eroded",,,
237,"""The stronger the current, the sharper the conch's horns will be to adapt to it.",,,
238,"""On the other hand, the weaker the current, the duller the conch's horns will be.""",,,
239,It is because it has evolved to suit the environment.,,,
240,"Because of the strong current, the shell of the conch is eroded",,,
241,without erosion,,,
242,The swells in the strong current formed horns by cutting their shells in the waves,,,
243,"When the current is strong, it can be pushed out, so it allows the horn to be fixed when it sticks to the stone, but where the current is weak, the horn does not evolve.",,,
244,"Even if it's the same individual, it changes differently depending on the environment and situation",,,
245,I don't know,,,
246,"Sora likes the current, so she has thorns to call the current",,,
247,Don't get me food,,,
248,The conch has no shell,,,
249,"If the current is strong, the shell of the conch is cut more, so there are horns, and if the current is weak, the degree of cutting is weak, so the shell is not cut, so horns are not formed.",,,
250,He's adapted differently depending on the direction of the direction of the current,,,
251,"If the current is strong, it's easy to fly away, so I wanted to prevent that",,,
252,"When the current is strong, the shell of a conch is cut and mowed by the water",,,
253,"If the current is weak, there is less risk of drifting away, so the structure becomes less movable than the conch in the strong current",,,
254,not to be swept away by the water,,,
255,differences in the tastes of the Creator,,,
256,"Because the current is weak, there's no need for a horn because there's no need to float away",,,
257,"It is smooth because it is attached to places with strong waves and currents, and it is easily peeled and places with weak currents do not wear well.",,,
258,"If the current is strong, it can be easily floated away, so it can be fixed by inserting horns into the ground so that it does not have to be drifted away, and there seems to be no horn in places where the current is weak currents.",,,
259,I don't know,,,
260,I don't know,,,
261,Getting hit by the waves is very different,,,
262,"The current is not strong, so there are no horns developed to withstand strong currents.",,,
263,You can easily understand Darwin's theory of evolution.,,,
264,Sora in a place with strong currents seems to have horns attached to the ground so as not to drift away.,,,
265,This is because it is less resistant to water.,,,
266,"As I said, there is a fire to avoid drifting away, and conversely, hornless cows do not have a risk of drifting away because water is not detergent.",,,
267,"In places where the current is strong, the conch must fix its body to avoid being swept away by the current. Therefore, it can be fixed through the horns. It doesn't happen where the current is weak, so you don't have to fix it, so you don't need a horn.",,,
268,The horns are developed so that they don't get washed away,,,
269,"Because of the current, horns",,,
270,It's because the current is weak and it doesn't float well,,,
271,It is because each has evolved to suit the environment,,,
272,"The horn of the shell blocks the current, increasing the resistance of the current.",,,
273,To protect your body from foreign substances or currents that are swept away by the current,,,
274,It's to not be pushed down.,,,
275,It's delicious,,,
276,"In places with strong currents, to protect their shells,",,,
277,It is because she adapted and evolved in a form suitable for her environment according to where the conch lives,,,
278,This is because it has evolved to fit its habitat.,,,
279,This is because mutations that occurred in accordance with their environment were naturally selected and evolved.,,,
280,.,,,
281,"Since the horn can withstand the current, if the current is strong for survival, there is a horn, and there is no horn because it is not necessary where the current is weak.",,,
282,This is because it has evolved after being adapted to the environment.,,,
283,"Because where the current is weak, there is no Palyo to develop horns",,,
284,formed by erosion,,,
285,"Where the current is strong, the next sample was gnawed a lot by the strong current, and the next sample was not gnawed by the weak current.",,,
286,"""A cow with a strong current has horns because of its strong friction",,,
287,"I think it's because the cow in the place where the current is weak is weak""",,,
288,"In places where the current is strong, the conch is developed to resist to avoid being carried away, and the conch where the current is weak does not have to resist, so it has no horns",,,
289,"Because the shell of the conch is peeled off by the sea water, the conch in the place with strong currents has horns and is pointed.",,,
290,"Strong currents go into the sea, and weak currents don't do that",,,
291,Because of the strength of the current,,,
292,I don't live in a place with strong currents,,,
293,Each person adapts to the environment and changes and evolves until it becomes an environment where they can live.,,,
294,"This is because conch in the strong part of the current has developed horns to withstand the power of the current, and the weak part of the current does not.",,,
295,"Sora in places with strong currents developed horns because they were easy to float away, but Sora in places with weak currents did not develop horns because they were not well floated away due to weak currents.",,,
296,Because the current is strongIt's because it's transformed to suit your environment,,,
297,"Since the mass is pushed out as the waves hit, horns are developed to prevent them from being pushed out by putting conch in the sand.",,,
298,"Because they live by adapting to the environment, conch shells that do not need horns have no horns.",,,
299,"If the current is not strong, there is no reason to drift away, so there is no need for horns.",,,
300,We adjusted to each other's environment,,,
301,under the current,,,
302,"This is because if the web is strong, it should be fixed so that it will not be pushed.",,,
303,This is because life changes depending on the environment.,,,
304,"There are horns so that the current does not drift away in places where the current is not strong and does not drift away in places where the current is strong, so that it is attached to the rock well.",,,
305,"The strong current hits a lot, so it cuts off. The weak current is calm, so there is not much deformation",,,
306,This is because weathering erosion acts on conch where the current is strong.,,,
307,"""",,,
308,I don't need horns,,,
309,"Horns were developed in order not to drift away in places with strong currents.However, where the current is weak, there is no need to drift away, so the horns do not have to be developed",,,
310,The reason why the shell is different is because of the water rice,,,
311,"If the current is strong, the horn is shaved. If the current is weak, it's hard to peel",,,
312,"Because of the current, the conch has a horn where the current is strong, and if the current is weak, the shape is smooth",,,
313,"This is because when horns develop, they are not easily floated due to friction with the ground.",,,
314,"This is because when horns develop, they are not easily pushed by currents due to friction with the floor.",,,
315,in order to survive,,,
316,The shell of a conch in a strong current breaks and becomes sharpIndians visted,,,
317,This is because the place where the water rice has risen needs to be connected a little stronger,,,
318,"""I don't need a horn",,,
319,"""",,,
320,This is because the appearance varies depending on the environment.,,,
321,The sweltering swells have horns to drag the floor to prevent it from being swept away,,,
322,"Just as people wear different clothes and appearances depending on where they live, the shape and appearance of conch also appear differently depending on where they live, that is, where the current is strong and where the water is not strong.",,,
323,"In order to fix it well on the floor without being swept away by the current, conch has horns where the current is strong, and conversely, conch does not have to be fixed.",,,
324,"If you want to live in a place with a strong current, you should have horns. If the current is weak, you don't need horns. This is because the appearance changes depending on the environment in which you live.",,,
325,in order not to be swept away by the current,,,
326,"The horn of a conch living in a place with a strong current has changed so that it does not drift away from the current, and the conch living in a place with a weak current has no change in the horn because it does not drift away from the current. a variation of the characteristics of the horn in the living environment",,,
327,"Where the water rice is strong, it continues to collide with the waves. Therefore, the current makes the conch rough by cutting and cutting it.",,,
328,"In places where the current is strong, conch has horns to prevent it from being easily washed away by the current, and in places where the current is weak, conch does not easily descend on the current even if it does not have horns.",,,
329,"This is because the neighborhood where the water is strong has a horn means not to be washed away by rough water rice, and the place where the water is weak is rarely washed away.",,,
330,"I thought that there are horns in places with strong currents so that they don't drift away easily, and there is no need to make horns in places with weak currents",,,
331,prepared to survive in the natural environment,,,
332,This is because conch has changed to suit the environment in which he lives.,,,
333,The shape doesn't change because of the water,,,
334,This is because the shell of a conch is peeled off by the current.,,,
335,"A conch in a place with a strong current prevents it from being washed away by its horns to avoid being washed away, but a conch in a place where the current is not strong does not have to be washed away",,,
336,"This is because the current is weak, so even if the horn is not sharp, it does not float away",,,
337,"If the current is strong, it will be easier to fly away because of the current, so the blade stands like that",,,
338,This is because it changes according to the environment in which living things live.,,,
339,"""If the current is weak, it doesn't float away, so you don't need horns.""",,,
340,"There are no horns.""",,,
341,It depends on its natural environment.,,,
342,There is a horn called a cow that lives in a place with a strong current to prevent it from being washed away by the water because the current is strong.,,,
343,"If the current is strong, the conch shell can be weathered and shaved, so there is no horn, and if the current is weak, the conch shell is old for weathering, so there is a horn.",,,
344,"Sora in places with strong currents developed horns to avoid drifting away, and conch in places with weak currents did not develop horns because they did not drift well.",,,
345,"The reason why conchs with strong currents have horns is to prevent them from being pushed out by strong currents, but if the current is weak, the conch is rarely pushed out, so it has no horns.",,,
346,It evolves into the right shape to live according to the environment,,,
347,This is because living things evolve more easily with the environment,,,
348,It is changed by environmental influences to prevent the current from being pushed from a strong cape.,,,
349,The conch was created according to the characteristics of the environment,,,
350,"If the current is weak, the shape is maintained as it is, but if the current is strong, the shape changes due to the pressure of the water.",,,
351,To support you not to be swept away by a strong current,,,
352,"Because the horn developed to stay in one place because the conch is constantly moving around by the current, and the conch in the place where the current is weak does not move around and float easily, so the horn does not seem to develop.",,,
353,It is to support with horns so as not to be swept away by strong currents.,,,
354,Because the waves are stronger,,,
355,"Because we live in different places, how we developed is different",,,
356,It is because it is stuck in the ground and does not move.,,,
357,It's because I've become resistant.,,,
358,There's no reason to drift away where the current is weak,,,
359,Strong water seems to have become spiky because of the conch,,,
360,I don't know.,,,
361,"Since the current intensity is different, the shape is bound to be different",,,
362,"When you protect yourself, you create horns. When you're safe, you don't create horns",,,
363,"The place where the current is strong is cut by the current, and the place where the current is weak is not cut because the current is weak.",,,
364,"""Sora, who lives in a place with strong currents,",,,
365,I'll stick my horns in the ground,,,
366,"Sora, who live in places where the current is weak, has no horns because the current is strong.""",,,
367,That's how he adapted to protect his body where the current is strong,,,
368,To be fixed to the floor,,,
369,There is no horn because strong water is not dangerous because there is a horn and weak water is weak,,,
370,The horn divides the water and disperses the power,,,
371,"Because the environment in which the sound lives is different, the adaptation is different.",,,
372,"Because if the current is strong, the conch can break down",,,
373,This is because the current is weak and does not float easily.,,,
374,"""To protect yourself",,,
375,"I'm going to support you on the ocean.""",,,
376,I adapt to the environment,,,
377,It was changed to withstand the rapid current with its horns,,,
378,Don't drift away,,,
379,I don't know,,,
380,The conch in the place where the current is strong cuts through the current,,,
381,It is because the environment of living is different and the conch that lives in a place where the current is weak is not swept away by the current even if it does not have horns,,,
382,"""Depending on where you grew up,",,,
383,"It evolves, and the shape, the food, or the living environment",,,
384,"It's different.""",,,
385,"In order to avoid drifting easily, conchs in places with strong currents need to develop horns, but conch shells in places with weak currents are slightly different in shape when they do not drift easily without horns.",,,
386,"Sora live by sticking to rocks, but in places with strong currents, there are more other life forms than in places with weaker currents, so they are not swept away by them.",,,
387,"Sora, which is located in a place where the current is strong, develops horns because the current cuts the conch and weathering occurs. Therefore, it does not float easily in the water, but if the current is weak, the weathering effect occurs weakly, so it is round.",,,
388,"The horned conch has many sides that touch it, so it becomes resistant. The area of conch in the place where the current is weak is smaller than that of conch in the place where the current is strong. Therefore, the shell of a conch has horns to suit the environment because of its more frictional force.",,,
389,"Sora, which lives in a place with strong currents, must have developed horns to put them on the floor or around it and not drift away by strong currents. Sora in places with weak currents have not developed horns because there is little danger of being washed away. Depending on the difference in the environment, they are adapting to different shapes and living.",,,
390,The place where the current is weak seems to have no horns because the conch flows comfortably without much interference from the water,,,
391,"Just as people live by adapting to a new environment, Sora also changed her body to adapt to her environment. The shape of each other is different because strong currents are easy to float away in water, so that horns are developed and resistant to water so that they do not drift well, and weak currents do not have to develop horns because they are not strong.",,,
392,"If the current is not strong, it is less resistant, so the conch does not need to have a horn, so it will degenerate even if it does not have or has. However, the conch in the place where the current is strong is resistant to the current a lot, so it is to settle in one place (stop) as much as possible with horns on the shell of the conch.",,,
393,Sora's survival instinct?,,,
394,It is to adapt to where each person lives and live better.,,,
395,"Sora living in high-flow areas should be prevented from being pushed away by increasing their resistance to water, but Sora living in uncounted areas do not have to, so they exist in a form suitable for the environment.It's because it's transformed to suit your environment",,,
396,"Since the mass is pushed out as the waves hit, horns are developed to prevent them from being pushed out by putting conch in the sand.",,,
397,"Because they live by adapting to the environment, conch shells that do not need horns have no horns.",,,
398,"If the current is not strong, there is no reason to drift away, so there is no need for horns.",,,
399,We adjusted to each other's environment,,,
400,under the current,,,
401,"This is because if the web is strong, it should be fixed so that it will not be pushed.",,,
402,This is because life changes depending on the environment.,,,
403,"There are horns so that the current does not drift away in places where the current is not strong and does not drift away in places where the current is strong, so that it is attached to the rock well.",,,
404,"The strong current hits a lot, so it cuts off. The weak current is calm, so there is not much deformation",,,
405,This is because weathering erosion acts on conch where the current is strong.,,,
406,"""",,,
407,I don't need horns,,,
408,"Horns were developed in order not to drift away in places with strong currents.However, where the current is weak, there is no need to drift away, so the horns do not have to be developed",,,
409,The reason why the shell is different is because of the water rice,,,
410,"If the current is strong, the horn is shaved. If the current is weak, it's hard to peel",,,
411,"Because of the current, the conch has a horn where the current is strong, and if the current is weak, the shape is smooth",,,
412,"This is because when horns develop, they are not easily floated due to friction with the ground.",,,
413,"This is because when horns develop, they are not easily pushed by currents due to friction with the floor.",,,
414,in order to survive,,,
415,The shell of a conch in a strong current breaks and becomes sharpIndians visted,,,
416,This is because the place where the water rice has risen needs to be connected a little stronger,,,
417,"""I don't need a horn",,,
418,"""",,,
419,This is because the appearance varies depending on the environment.,,,
420,The sweltering swells have horns to drag the floor to prevent it from being swept away,,,
421,"Just as people wear different clothes and appearances depending on where they live, the shape and appearance of conch also appear differently depending on where they live, that is, where the current is strong and where the water is not strong.",,,
422,"In order to fix it well on the floor without being swept away by the current, conch has horns where the current is strong, and conversely, conch does not have to be fixed.",,,
423,"If you want to live in a place with a strong current, you should have horns. If the current is weak, you don't need horns. This is because the appearance changes depending on the environment in which you live.",,,
424,in order not to be swept away by the current,,,
