,24. 'Korea' was created when the word 'Goryeo' was spread abroad by Arabian merchants. Let's explain the economy of the Goryeo Dynasty that can be seen through this fact. ,q24_trade,q24_commercial development,q24_political power
138,"During the Goryeo Dynasty, Arabian merchants called Goryeo Goryeo Korea, and it was still called Korea.",,,
139,Korean language,,,
140,"In the Goryeo Dynasty, they often traded with Arabia",,,
141,"Even during the whale era, they exported and imported goods abroad",,,
142,Unknowingness,,,
143,Prices are high.,,,
144,Our country was named Goryeo,,,
145,a good economy,,,
146,It actively engaged in exchanges with other countries around it.,,,
147,"During the Goryeo Dynasty, trade and the economy developed rapidly, and it was able to develop significantly.",,,
148,"""I don't know.",,,
149,"""",,,
150,"It can be seen that during the Goryeo Dynasty, they actively traded not only with China but also with Arabian merchants far away.",,,
151,I interacted with Arabian merchants,,,
152,It can be seen that foreign merchants traded and exchanged with Korea during the Goryeo Dynasty.,,,
153,I had an exchange with other countries,,,
154,"During the Goryeo Dynasty, Arabs traded a lot with our country.",,,
155,The Goryeo Dynasty was poor,,,
156,I was poor.,,,
157,I don't know.,,,
158,There was active exchange with other countries.,,,
159,I don't know,,,
160,I have established many diplomatic relations with other countries.,,,
161,"Goryeo did not go far away, but was used as a means of distribution as Goryeo celadon and exported to nearby countries (Song) and (Why).",,,
162,Long live our country!,,,
163,I don't know.,,,
164,I don't know because I'm not human,,,
165,The best export man,,,
166,The economy was brisk the development of handicrafts,,,
167,I'm not sure.,,,
168,It can be seen that trade activities with other countries have been launched.,,,
169,"No Corea ,my country name is Korea",,,
170,They interacted with faraway countries and sold Goryeo ginseng.,,,
171,You've made a good living well,,,
172,I don't know,,,
173,"As agricultural production increased, the market developed, and commerce and handicrafts developed",,,
174,"During the Goryeo Dynasty, there was a lot of exchanges with foreign merchants.",,,
175,I actively interacted with foreign merchants,,,
176,The trade was brisk and the merchants made a good living,,,
177,I had a lot of exchanges with Arabian merchants,,,
178,Trade with merchants from various countries was brisk,,,
179,"He went beyond China and interacted with the West, including Arabia",,,
180,I had a lot of exchanges with Arabian merchants,,,
181,Arabian merchants came to Korea to trade.,,,
182,He had active exchanges with Arabia,,,
183,I actively engaged in trade activities with other countries.,,,
184,engage in diplomatic activities through exchanges with the Arab world,,,
185,"At that time, the Goryeo Dynasty traded with Arab merchants",,,
186,I did diplomatic activities with various countries,,,
187,An Arabian merchant came to Goryeo to do business,,,
188,"Even during the Goryeo Dynasty, there was an exchange of foreign countries.",,,
189,a great deal of trade at Byeokran Island,,,
190,I interacted with Eurasian merchants through Byeokran Island.,,,
191,active trading activities on Byeokran Island,,,
192,"During the Goryeo Dynasty, I also met an Arabian merchant on Byeokran Island.",,,
193,"It seems that the economy of the Goryo period was developed a lot, considering that it was passed on to Arabian merchants at a time when it was not easy to deliver.",,,
194,Those who live well live well and those who don't live well,,,
195,"During the Goryeo Dynasty, there was a marketplace where you could interact with Arabian merchants.",,,
196,Open a port and trade with foreign merchants.,,,
197,"The economy is on the good side because we have made inroads into foreign countries and actively exchangedGoryeo exchanged with Arabian merchants as well as Japan, China, and Southeast Asia, and foreign merchants exchanged on Byeokran Island, a port at the mouth of the Yeseong River, where gold, silver, paper, and ginseng were exported.",,,
198,There was a lot of exchanges,,,
199,Trade was brisk,,,
200,Trade is good!,,,
201,I exchanged with a foreign country. foreign countryã,,,
202,I exchanged with a foreign country. foreign country,,,
203,"During the Goryeo Dynasty, trade activities were carried out",,,
204,to trade,,,
205,Trade activities become more active,,,
206,I don't know.,,,
207,"During the Goryeo Dynasty, the trade range was expanded from Goryeo to the Middle East",,,
208,It had an open nature and traded through ports.,,,
209,I traded with many countries beyond China.,,,
210,It can be thought that exchanges between countries are smooth,,,
211,He traded with Arabian merchants and actively traded with various merchants.,,,
212,I would have lived well.,,,
213,"It can be seen that they exchanged with countries far away as well as China and Japan nearby, and that trade activities were active",,,
214,I don't know.,,,
215,Gathering exchange during the Goryeo Dynasty and international affairs in Korea,,,
216,It can be seen that it is a trading powerhouse while trading with various countries.,,,
217,Not my part-timer,,,
218,"""At that time, there were things that most countries didn't have",,,
219,"That has given the economy a boost.""",,,
220,Not my part-timer,,,
221,Adios,,,
222,a free-trade economy,,,
223,"At that time, it seems that Goryeo was the world's trade exporter",,,
224,"Thanks to Goryeo celadon, the economy became active",,,
225,The economy seems to have spread far into the world,,,
226,It was economically good enough for merchants from other countries to come in. This is because Goryeo interacted with the Arabian people.,,,
227,I did a lot of trade with other countries,,,
228,Goryeo did a lot of diplomacy.,,,
229,The Goryeo Dynasty did not live badly,,,
230,Is the trade going well?,,,
231,"During the Goryeo Dynasty, the port city was very developed by exchanging with various countries through China, so it was probably an industrial-oriented society",,,
232,"During the Goryeo Dynasty, he interacted with Arabian merchants.",,,
233,"It can be seen that during the Goryeo Dynasty, they interacted with Arabian merchants",,,
234,I traded a lot,,,
235,Trade was a lot with foreigners,,,
236,"In field farming, rotation method began, and in rice paddy farming, this crop began. As agricultural production increased, markets developed, commerce and handicrafts developed, and money was created.",,,
237,He has traded with many foreign countries.,,,
238,I traded with all the countries abroad,,,
239,"In field farming, rotation method began, and in rice paddy farming, this crop began. As agricultural production increased, markets developed, commerce and handicrafts developed, and money was created.",,,
240,It is because trade with other countries is brisk,,,
241,This is because economic trade was active during the Goryeo Dynasty.,,,
242,The economy during the Goryeo Dynasty was active in trade,,,
243,"At that time, the Goryeo Haram trade a lot",,,
244,"At that time, Goryeo people traded a lot.",,,
245,trade,,,
246,Because of the brisk trade,,,
247,Trade with other countries was brisk,,,
248,edew,,,
249,I don't know.,,,
250,M and D,,,
251,Unknowingness,,,
252,I don't understand.,,,
253,I don't know,,,
254,I don't know.,,,
255,I don't know.,,,
256,I don't understand.,,,
257,Unknowingness,,,
258,Trade activity was brisk,,,
259,I don't understand.,,,
260,I don't know,,,
261,Mall,,,
262,Money,,,
263,brisk trade,,,
264,This is because trade activities are active,,,
265,I don't know,,,
266,Trade was brisk.,,,
267,I interacted with Arabian merchants,,,
268,I don't understand.,,,
269,M and D,,,
270,I don't understand.,,,
271,The exchange was active,,,
272,Unknowingness,,,
273,"Considering that the Arabian people are talking about Goryeo, it seems that Goryeo has done a lot of ancient things with our country",,,
274,I don't know.,,,
275,diplomatic and exchange activities,,,
276,Even Abaria was considered and passed down,,,
277,I can see that I have had a lot of relationships with many countries,,,
278,?,,,
279,M and D,,,
280,What's this?,,,
281,Our country is good,,,
282,Oh! Our country was known more abroad in the past. I guess we traded in the past.,,,
283,yes,,,
284,"During the Goryeo Dynasty, trade with other countries was active.",,,
285,ã,,,
286,interaction with other countries,,,
287,Well.,,,
288,You can see that he has interacted with many countries like Arabia,,,
289,It's changing,,,
290,I don't know,,,
291,Arabian merchants must have used many stores in Korea,,,
292,The economy is good,,,
293,"I've never been to the past, so I don't know. The Joseon Dynasty is just a prediction",,,
294,Korea can see that diplomacy was active,,,
295,It was tough,,,
296,"It was difficult.If you're curious, go to the internet",,,
297,I had a lot of exchanges with Arabia,,,
298,I don't know.,,,
299,"During the Goryeo Dynasty, they exchanged with each other overseas",,,
300,I don't know,,,
301,I lived with many countries,,,
302,LOL,,,
303,We had an exchange.,,,
304,"During the Goryeo Dynasty, the economy seemed to have been a little unstable when many seals were sent abroad",,,
305,"Goryeo had the economic power to the point where Arabian merchants came in and out, and overseas exchanges were also active",,,
306,"At that time, Goryeo sold wild ginseng to Arabian merchants because it was famous",,,
307,Find it yourself if you're curious,,,
308,"Oh, victory. Korea",,,
309,It can be seen that they exchanged a lot with other countries during the Goryeo Dynasty.,,,
310,I had a lot of interaction with the Arabs,,,
311,I don't know.,,,
312,"In addition to China and Japan, he also interacted with Western restaurants such as Arabi.",,,
313,Very actively interacted with other countries.,,,
314,I traded with Arabia,,,
315,active trade with other countries,,,
316,a trading vessel,,,
317,I traded with a foreign country.,,,
318,An international trade port existed.,,,
319,foreign trade,,,
320,be active in exchange,,,
321,It actively interacted with outside regions and other countries.,,,
322,Foreign trade would have been brisk.,,,
323,"During the Goryeo Dynasty, active exchanges took place with foreign countries.",,,
324,It was the center of trade that not only exchanges in Korea but also overseas. Trade earned the nation's wealth.,,,
325,Unknowingness,,,
326,We actively interacted in foreign countries,,,
327,Trade has developed,,,
328,"As trade develops,",,,
329,Trade with other countries was active and culture of other countries was accepted a lot,,,
330,You're so,,,
331,Trade has developed,,,
332,Trade between merchants and our country was brisk.,,,
333,Trade was active not only in Asia but also in Europe.,,,
334,Trade was brisk,,,
335,Trade has developed,,,
336,I had a lot of trade and exchanges with other countries.,,,
337,We had a lot of exchanges,,,
338,"There are many products recognized by foreign countries, so I think the economy was not rich, but it was worth living",,,
339,"As expected, Global Korea",,,
340,There were so many items that people from other countries came.,,,
341,Economic activity was brisk,,,
342,Goryeo had a lot of exchanges with other countries.,,,
343,Trade with various countries was brisk,,,
344,It can be seen that we exchanged with many countries during the Goryeo Dynasty.,,,
345,"In this era, Korea traded goods with other countries",,,
346,"When foreign merchants came in, the word Corea came into being.""",,,
347,I had exchanges with many countries,,,
348,I had exchanges with many countries,,,
349,I can see that I have had a lot of exchanges with other countries,,,
350,"At that time, a lot of supplies came into Goryeo and a lot of material resources came from Arabia",,,
351,You can see that Goryeo interacted with many countries around the world.,,,
352,You can see that I had a lot of exchanges with foreign countries.,,,
353,I interacted with Arabia.,,,
354,I had a lot of exchanges with Arabian merchants.,,,
355,I traded with Arabian merchants,,,
356,I don't know,,,
357,"During the Goryeo Dynasty, many international trade took place, including Arabian merchants.",,,
358,"During the Goryeo Dynasty, our country was a trading power.",,,
359,"During the Goryeo Dynasty, our country traded with Arabian merchants",,,
360,"He also traded with foreigners, not only domestic economic activities.",,,
361,"During the Goryeo Dynasty, merchants interacted a lot with Arabian merchants.",,,
362,"It can be seen that Goryeo traded not only to nearby countries such as China and Japan, but also to distant regions such as Arabia.",,,
363,I traded with foreigners.,,,
364,Goryeo developed its economy by trading with Arabian merchants.,,,
365,You can see that he's doing diplomacy Byeokran-do is the best,,,
366,The economy of the Goryeo Dynasty is in its infancy,,,
367,I don't know,,,
368,"Through Byeokran Island, economic growth was achieved through many trade with various countries",,,
369,I lived in communication with foreigners,,,
370,Trade with other countries has developed.,,,
371,"During the Goryeo Dynasty, not only Arabian merchants but also around the world through Byeokrando Island, and the economy grew very much.",,,
372,The economic trade was so huge,,,
373,"During the Goryeo Dynasty, they exchanged with Arabian merchants",,,
374,"During the Goryeo Dynasty, I was influenced by other countries and followed them",,,
375,The Goryeo people interacted with foreign merchants through Byeokrando Island.,,,
376,The Goryeo people interacted with foreign merchants through Byeokrando Island.,,,
377,You can see that they traded with Arabian merchants through Byeokran-do during the Goryeo Dynasty.,,,
378,"It can be seen that during the Goryeo Dynasty, there were many exchanges with Arabai merchants.",,,
379,International trade was brisk,,,
380,Unknowingness,,,
381,"It can be seen that during the Goryeo Dynasty, he had a lot of exchanges with other countries.",,,
382,M and D,,,
383,I had an exchange with Arabian merchants,,,
384,I don't know,,,
385,I won't tell you ^^,,,
386,sorry,,,
387,It was forming a trade economy.,,,
388,"It can be seen that during the Goryeo Dynasty, they traded with Arabian merchants.",,,
389,I think you can see that I traded a lot with other countries.,,,
390,"During the Goryeo Dynasty, Goryeo would have been economically prosperous by trading a lot with other countries",,,
391,Trade is fairly advanced.,,,
392,I have done diplomacy with other countries since the Goryeo Dynasty. Our country was good at developing through exchange.,,,
393,Business has developed,,,
394,"You can also see that you interacted with the merchants of Ariba, that you communicated with the merchants of Arabia, and so on.",,,
395,Trade with foreign countries was brisk.Trade with other countries was very advanced.,,,
396,"During the Goryeo Dynasty, Korea was built through the port of Byeokrando.",,,
397,"Not only in Korea, but also in the East and the West.",,,
398,"During the Goryeo Dynasty, people spent a lot of time interacting with foreign people.",,,
399,I traded with people from other countries.,,,
400,"During the Goryeo Dynasty, trade was so active that it was traded with Arabian merchants.",,,
401,There was frequent interaction with Arabian merchants.,,,
402,"It can be seen that during the Goryeo Dynasty, they actively engaged in trade activities with foreign countries.",,,
403,"At that time, there was an exchange with foreign countries.",,,
404,I traded with many countries.,,,
405,"The economy of the Goryeo Dynasty seems to have a state-led open economy. Trade in exchange for various technologies and products would not have been possible in a feudal society without institutional support from the government. Therefore, it seems that the state took the lead in the open economy.",,,
406,The economy of the Goryeo Dynasty must have had an international character that actively traded not only with domestic and neighboring countries but also with countries on the far side of the globe.,,,
407,Trade developed and traded with Arabian merchants on Byeollando Island,,,
408,"During the Goryeo Dynasty, exchanges with foreign countries were active enough to trade with Arabia, earned foreign currency well, and the economy worked well.",,,
409,"There was a Byeokran-do in Goryeo. Through this trading port, it was opened to Arabian merchants. What can be seen from this is that trade took place very actively during the Goryeo Dynasty.",,,
410,",",,,
411,"""Koryo's pronunciation is similar to the word, so it feels like it was bad.""",,,
412,"It is very surprising that we interacted with Arabia in the context of the times.""",,,
413,Ankimchi. (Ankimchi in Korean),,,
414,I also traded with an Arabian merchant,,,
415,Trade with other countries was active and the economy was active.,,,
416,I interacted a lot with other countries.,,,
417,It can be seen that Goryeo traded with many countries at that time. ^^7,,,
418,"During the Goryeo Dynasty, exchanges with other countries were active",,,
419,I traded a lot with other countries.,,,
420,"During the Goryeo Dynasty, he interacted with Arabian merchants and communicated verbally.",,,
421,The economy seems to have been active,,,
422,i love korea,,,
423,I love korea,,,
424,Many exchanges with Arabian merchants,,,
425,There was a lot of interaction with Arabian merchants,,,
426,It can be seen that they exchanged and traded with foreign merchants in the port,,,
427,It is an economy that trades with other countries.,,,
428,I traded with many countries.,,,
429,the birth of a land system,,,
430,"During the Goryeo Dynasty, the word Korea was born, which means that Western countries pronounced Goryeo Korea because they were not good at Korean, indicating that exchanges with the West were active during the Goryeo Dynasty.",,,
431,I don't know.,,,
432,"During the Goryeo Dynasty, there were many communication and exchanges with foreign countries",,,
433,It is interesting that our country is remembered as Goryeo instead of Korea,,,
434,I experimented with antenna electricity,,,
435,Goryeo was the center of trade.,,,
436,This is because Goryeo accepted Goguryeo's cultural heritage and was actively carried out in the national economy,,,
437,"Goryeo also interacted with merchants from the West, including merchants from Arabia",,,
438,I had a lot of exchanges with foreign countries.,,,
439,"Due to the development of an international trade port called Byeokrando Island, external exchanges were active.",,,
440,A local trading port called Byeokrando was activated and even Arabian merchants traveled.,,,
441,Goryeo interacted with many countries.,,,
442,Trading with Arabian merchants.,,,
443,active foreign exchange,,,
444,"During the Goryeo Dynasty, there was active foreign exchange",,,
445,Trade flourished in Byeollando Island.,,,
446,It's because we've improved,,,
447,Overseas exports are the best,,,
448,Overseas trade was brisk,,,
449,Trade has developed.,,,
450,You can see that there was also interaction with Arabia,,,
451,I worked hard until Arabia.,,,
452,That's nice,,,
453,Alternating current activation,,,
454,It was lively.,,,
455,Trade with countries beyond the sea through Byeokran Island,,,
456,I don't know,,,
457,Trade and exchanges with foreign countries were active,,,
458,The trade has developed to the point where Arabian merchants come and go.,,,
459,It's active,,,
460,The economy of the Goryeo Dynasty seemed to have developed so much that it was widely known through many trade with other countries.,,,
461,He engaged in active trade with Arabian merchants.,,,
462,It was active in exchange with foreign countries.,,,
463,I don't know.,,,
464,They traded with faraway countries like Arabian merchants,,,
465,The beginning of Silky Boys,,,
466,It can be seen that the economy of the Goryeo Dynasty traded with foreign countries through a port called Byeokrando.,,,
467,"It can be seen that during the Goryeo Dynasty, they engaged in trade activities with Arabian merchants.",,,
468,"Many foreign merchants, including Arabia, were able to enter Goryeo",,,
469,"During the Goryeo Dynasty, trade was actively carried out with foreign countries.",,,
470,Goryeo traded with western countries such as Arabia.,,,
471,Trade has developed.,,,
472,It can be seen that trade activities were carried out with various countries through the port called Byeokrando Island.,,,
473,Trade has developed.,,,
474,"During the Goryeo Dynasty, the port of Byeokran-do was used to exchange not only with China and Japan, but also with far-flung countries. (The geographical nature of the peninsula also influenced the international exchange of Goryeo.)",,,
475,"It was an economically open country to the point of international trade on Byeokran Island, an economic society with developed commerce and a developed trade economy.",,,
476,It was an international economy that could trade with Arabian merchants.,,,
477,I had exchanges with many countries,,,
478,Unknowingness,,,
479,Goryeo had excellent trade,,,
480,Unknowingness,,,
481,Unknowingness,,,
482,There was active exchange in foreign countries,,,
483,an exchange society,,,
484,We exchanged a lot,,,
485,The economy has picked up.,,,
486,You've improved a lot,,,
487,"As famous ginseng and celadon became known around the world during the Goryeo Dynasty, Goryeo traded with many foreign countries, and Goryeo's economy would have soared.",,,
488,Korea's trade was so active.,,,
489,I interacted with Arabia.,,,
490,Goryeo also knew the existence of Arabia.,,,
491,active exchange with foreign countries,,,
492,Unknowingness,,,
493,I made a trade.,,,
494,a good situationI don't know.,,,
495,Many Arabs and foreigners came and went to our country. There were many merchants.,,,
496,I had exchanges with other countries.,,,
497,I don't know.,,,
498,I don't know,,,
499,"During the Goryeo Dynasty, the economy was developed by trading with many countries such as Arabia.",,,
500,Foreign and economic activities were active and Korea's existence was announced abroad.,,,
501,I had a lot of exchanges with Arabian merchants. The same goes for China,,,
502,Don't know,,,
503,He actively engaged in exchanges with various countries.,,,
504,very wealthy,,,
505,wealth,,,
506,Goryeo communicates a lot with neighboring countries.,,,
507,I don't know.,,,
508,You can see that they traded with Arabian merchants.,,,
509,I don't know.,,,
510,The Goryeo Dynasty was active in foreign countries and in ancient times,,,
511,Our country seems to have also traded with Arabian merchants.,,,
512,"He interacted with many countries, including Arabia.",,,
513,I don't know,,,
514,They trade with neighboring countries like Arabia.,,,
515,"""",,,
516,It can be seen that the Goryeo Dynasty actively engaged in exchanges with countries abroad.,,,
517,"During the Goryeo Dynasty, there were many exchanges with various countries and the economy was likely to be active.",,,
518,We exchanged with distant countries such as Arabia and our country was known far away.,,,
519,"Goryeo had a lot of exchanges with foreigners, and many foreigners went to Goryeo.",,,
520,Goryeo had a lot of exchanges with Arabian merchants,,,
521,They also traded with countries far away outside of China and Japan.,,,
522,boosted trade,,,
523,.,,,
524,I don't know.,,,
525,I don't know.,,,
526,the economic age of trade,,,
527,He actively engaged in exchanges with other countries,,,
528,Unknowingness,,,
529,Good at interacting?,,,
530,The exchange was active,,,
531,Unknowingness,,,
532,Unknowingness,,,
533,The exchange between our country and Arabia was active.,,,
534,an economy with a lot of interaction with other countries,,,
535,active exchange,,,
536,It can be seen that Goryeo traded a lot with many countries.,,,
537,"""If you look at the economy at that time, the people of Arabia on the other side came to trade",,,
538,"""At that time, the economic situation of Goryeo was very developed.""",,,
539,I had a lot of exchanges with other countries.,,,
540,We have a lot of exchanges,,,
541,The exchange was active and I think there would have been a lot of Arabian merchants,,,
542,I was active in trade activities.,,,
543,I don't know,,,
544,It was famous for buying and selling,,,
545,I had a lot of exchanges with merchants from other countries.,,,
546,I don't know,,,
547,I engaged in trade activities with many countries,,,
548,"The fact that Arabian merchants named them can be said to have engaged in economic activities not only in Korea's internal economy, but also outside.  And the information that our country was spread by Arabian merchants through the spread abroad would have made trade more active during the Goryeo Dynasty.",,,
549,"It can be seen that during the Goryeo Dynasty, they already exchanged with various countries. It can be seen that Goryeo's representative products were popular with Arabian merchants or there were many interesting things, so Goryeo was widely spread.",,,
550,He traded extensively with various countries.,,,
551,We had a lot of international exchanges. It served as a center of international exchange.,,,
552,"It can be seen that Goryeo did not rely solely on the internal economy to engage in economic activities, but also pioneered routes and created ports based on the domestic economy and traded with various countries around the world.",,,
553,Under the sun~~~~~~,,,
554,"Through Byeokran Island, exchanges with foreign countries were active.",,,
555,trade is brisk,,,
556,"Trade is brisk, commercial and handicraft development is developed.",,,
557,Trade is brisk.,,,
558,active communion with other countries,,,
559,"During the Goryeo Dynasty, trade centered on Byeokrando Island in the west of Kaesong developed. It mainly traded with the Song Dynasty, with the Japanese, and with Arabian merchants in the West. It also traded with the Kitan and Yeojin people through land, and trade on Japanese goods was mainly carried out in Busan. Therefore, it can be seen that Goryeo had an economy that mainly focused on trade.",,,
560,It proves that Goryeo commerce was active,,,
561,I also interacted with Middle Eastern countries through ports,,,
562,Many Arabian merchants came.,,,
563,"We achieved economic growth by trading. Unlike the Joseon Dynasty, the government implemented an open policy, not a policy of a powerhouse.",,,
564,"During the Goryeo Dynasty, it can be thought that the trade economy was activated through active exchanges with foreign countries. In particular, it can be seen that the size of the economy has increased as it exchanges with countries in southwest Asia.",,,
565,brisk trade,,,
566,Merchants come and exchange in person.,,,
567,in exchange,,,
568,Active trade created a currency for commercial and handicraft development,,,
569,They interacted with distant countries such as Arabia.,,,
570,Trade is brisk.,,,
571,Trade becomes brisk.,,,
572,"It is thought that trade activities during the Goryeo Dynasty proceeded around the world, maintaining smooth relations with foreign countries, and developing the economy.",,,
573,I had an exchange with another country.,,,
574,"""Sea trade flourished and flourished all the Arabian Sea trade flourished",,,
575,So the economy == grows on a trade basis,,,
576,"""",,,
577,Trade was active and made money.,,,
578,"During the Goryeo Dynasty, trade through the sea was activated, and ceramics and ginseng were traded to the nearby Song Dynasty, Japan, and far west regions.",,,
579,Trade,,,
580,Stay,,,
581,I had a lot of exchanges with other countries,,,
