,"2) As in the example of Hong Gil-dong, one case can be tried up to three times in our country. What is the reason for running this system?",q32_process
406,"This is because the results may differ from trial to trial, which may be unfair.",
407,in order to reduce crime,
408,It's to relieve the injustice.,
409,I don't understand.,
410,I don't know.,
411,It's the law,
412,It is to collect more active evidence or data.,
413,You want to see what the judges think and give them a chance?,
414,in order not to discriminate,
415,This is because the results may vary depending on the trial.,
416,To judge more fairly and wisely,
417,Because of the unfairness,
418,The outcome of the trial could go wrong,
419,To bring out the real truth,
420,People like Hong Gil Dong are heartbroken,
421,To make sure there's no injustice.,
422,in case of injustice,
423,for judgment,
424,This is because we can collect more definite data.,
425,To try as fairly as possible.,
426,Because humans have rights,
427,For everyone to be fair,
428,"To ask opinions about the situation from various perspectives and to punish it fairly,",
429,"In order to ensure that the material used for the trial is not accurate or that the outcome of the trial is incorrect for any other reason, the court will receive the right judgment",
430,the three-trial system,
431,the three-trial system,
432,To protect the human rights of the people,
433,in order to be fair,
434,the three-trial system,
435,For Hong Gildong,
436,Operation of the Samsim System,
437,It is operated to prevent unfair situations from occurring.,
438,It's to keep the trial from coming out,
439,It could be a bad trial,
440,Just to be equal?,
441,To avoid misjudgment and to ensure that no one is falsely accused and human rights,
442,"In order not to be falsely accused and punished by the judge's bad judgment,",
443,Because it's unfair,
444,The three-trial system allows those who are not satisfied with the results of the trial to be tried again,
445,It is to reduce the number of people who suffer from unjustly wrongful trials.,
446,a three-trial trial,
447,"Because they are human, they cannot always make the right decisions, so they have a three-trial system.",
448,"If you only do one trial, you can be punished unfairly if the result is judged incorrectly, so you can be tried up to three times to secure it.",
449,"Since judges are also private, they cannot always answer, ""This is the answer,"" so they run a three-trial system that can be tried up to three times",
450,In order to complete the trial exactly three times,
451,in order not to be falsely accused,
452,I'm afraid there might be a misjudgment,
453,There are cases where a retrial is required due to a wrong trial,
454,This is because they ignored human rights.,
455,This is because it allows individuals to be tried equally,
456,in order for a just trial to take place,
457,a violation of human rights,
458,a disability-free system,
459,I don't know,
460,I'm trying to find out in detail,
461,I don't know.,
462,This is because the first trial cannot produce accurate results.,
463,It's not fair for people with disabilities,
464,There could be a mistake in the trial,
465,I have the right to receive it up to three times,
466,You're afraid there's something wrong?,
467,Because I keep doing things that shouldn't happen,
468,The judge made the wrong decision even though it wasn't the defendant's fault.,
469,"If the guilty person is only allowed to survive the first trial.And I think it would be unfair if an innocent person was only convicted of the first trial and was falsely accused of life imprisonment, so I think it's a trial several times for accurate judgment.",
470,This is because a single trial cannot make a definite decision.,
471,"There may be an unfair trial, so it will be possible to have up to three trials.",
472,It's like giving me a chance,
473,"In case it's unfair,",
474,People with disabilities have the same human rights,
475,"If he/she may have been tried unfairly, he/she seems to be trying a few more times.",
476,I'm trying to get an accurate trial,
477,To make it more accurate,
478,To determine if it's a disability,
479,Because it's to focus on the person's opinion.,
480,To find out the truth,
481,To find out the truth,
482,for the rights of the people,
483,I think it is because the defendant may have an evil reason.,
484,To tell you what I didn't say,
485,I'm going to do well.,
486,I don't understand.,
487,I don't know,
488,I don't know,
489,I don't know,
490,I don't know,
491,I don't know,
492,I don't know,
493,I don't know,
494,I don't knowUnderstanding...,
495,by misjudgment,
496,I can find other acquaintances and evidence,
497,To be able to work even with a disability.,
498,I don't know,
499,"The first may make a mistake, the second may supplement the statement, and the third may try to determine the innocence and guilt",
500,Because I have to think about other people's opinions and listen to the opinions of the few,
501,I don't know,
502,in order to be precise,
503,I don't know,
504,I don't know...,
505,--,
506,It could be unfair,
507,M and D,
508,"I can't believe I beat Company A with a disability, so I think I'm leading it to the law Company A is, you can't believe your company lost and you can't handle it.",
509,"If I do it more than three times, I can continue",
510,I don't know,
511,It could be unfair,
512,I don't know.,
513,have no idea,
514,So that people with intestines can work,
515,"To give other people a chance,",
516,I don't know.,
517,To give you a chance to admit your mistakes?,
518,To make it fair so that one person doesn't feel wronged,
519,Three trials will help you better understand your mistakes,
520,There's still a lot of discrimination,
521,I don't know.,
522,It's against the law and it's unfair,
523,Don't do this again,
524,It's not good to do too much...,
525,I don't know.,
526,I don't know.,
527,I don't know.,
528,I don't understand.,
529,Oh my god,
530,This is to prevent problems from occurring during the trial process and causing unfair damage.,
531,It is a system to ensure that no one is unfair about the trial decision as much as possible.,
532,in order to guarantee the human rights of the people,
533,"This is because errors can occur during the trial, causing innocent victims.",
534,"The most valid conclusion can be drawn through several trials to determine whether the outcome of the trial is correct or not. If there is no three-trial system, more and more people will be sentenced unfairly and criminals will be found not guilty even after committing crimes.",
535,It is to ensure that the rights of the people are not violated and that they are secured,
536,This is to reduce situations in which a single trial cannot produce a perfect ruling and the human rights of the people can be ignored.,
537,This is to prevent misjudgments caused by the presiding judge's mistakes as much as possible.,
538,To respect human rights and make it a fair trial,
539,"Since the judge is also a person, he may make a biased trial or make mistakes. Therefore, in order to ensure human rights more accurately and without errors, a three-trial system is implemented to allow up to three trials to reduce human rights that are violated by wrong judgment.",
540,"Since a single trial may lead to unfair results, it is possible to have several trials to make a judgment that is fair.",
541,"The reason for operating the three-trial system is that there is a possibility that both sides will have unacceptable results, such as misunderstandings or corruption during the trial.",
542,"Once a trial is made, the judgment cannot always be accurate. Therefore, in order to minimize unfair people through three opportunities, a three-trial system is operated that allows up to three trials.",
543,This is to minimize the violation of the human rights of the suspect due to a misjudgment.,
544,"Since there may be cases where the results of the first and second trials are wrong and can be unfairly damaged, trials are conducted up to three times to prevent this.",
545,"Most trials are conducted fairly. However, there are factors that will be disadvantageous in trials such as lack of evidence, or political meddling. Therefore, the judiciary provides an opportunity to be tried up to three times, allowing fairness to be maintained under any circumstances.",
546,"Since judges are also human, there may be judgments, mistakes, or misjudgments based on individual emotions, so they are operated a system that allows them to be tried up to three times to minimize them so that all citizens can receive a fair trial.",
547,"The reason for having three rulings: the first judgment of the district court, the second judgment of the high court, and the third judgment of the Supreme Court is necessary for the people to make a proper judgment that is not unfair. If a judgment is found guilty or not, three chances are given to prevent damage to the defendant in advance if the judgment is wrong.",
548,"Humans cannot always be objective because they have their own subjective thoughts and feelings. Judges can sometimes make judgments biased against their emotions, which can damage the person on trial. Judges can be tried up to three times to minimize the possibility of making errors and guarantee the human rights of those on trial.",
549,"Judges are also operating a three-trial system on the premise that they can make mistakes because they are not machines, and it is also to relieve unfair victims who may arise from such mistakes.",
550,"Since judges are also human, they can make mistakes in the trial process, and they want to guarantee the basic rights of the people by eliminating situations in which those who participate in the trial cannot accept the outcome of the trial or feel unfair about the outcome.",
551,"The three-trial system is one that guarantees a fair trial. It is a system that allows people to face up to three trials for those who cannot recognize the results in a single trial, and it stems from the reason that there are no people who suffer unfairness and damage as a result of the trial.",
552,"This is for the rights of the victims. There can be people who are unfairly damaged by the wrong judgment of the court, and through three trials, such a system is operated to minimize such injustice and protect people's human rights.",
553,"This is because the person who applied for or received the trial may feel unfair. If all results are determined in a single trial, the person who has requested or received the trial there may be very disadvantageous to the person who has not yet said or said anything.",
554,I am talking about an unjustified charge,
555,for the sake of fairness,
556,the three-trial system,
557,To prevent unfairness?,
558,To reduce the number of people who have been falsely accused,
559,in order to prevent an unfair judgment,
560,a fair judgment,
561,To guarantee basic rights,
562,"This is because fairness and unfair people should not come out, and each judge has a different focus on the case, so it has to go through a fairer and more objective process",
563,So that I don't feel wronged,
564,I shouldn't be upset,
565,To relieve the injustice.,
566,To make a fairer trial.,
567,a three-seam system,
568,"To repeatedly prove the right or wrong of the trial results through three trials,",
569,in order to make a more definite trial,
570,To prevent unfair situations from occurring,
571,The reason for running the three-trial system is for a fairer trial,
572,I can't judge perfectly by one trial,
573,You can't be tried wrong,
574,I don't know.,
575,To make accurate and correct judgments,
576,a three-plate system,
577,for a trial to err on the side of judgment,
578,This is to enable it to work in the public's favor because rulings may be unfavorable in the first and second trials.,
579,This is to make the trial fairer.,
580,It's to make Hong Gil Dong feel better,
581,Yeah.,
582,"This is because after the first trial, there can be enough new facts or evidence found.",
583,It's to solve the injustice.,
584,Just to be sure,
585,In order to make a fair trial,
586,A total of three trials can be made due to the suspect's unfairness and the principle of presumption of innocence.,
587,To prevent unfair trials,
588,To avoid unfair trial results,
589,To protect the people,
590,To make sure that no one is wronged by a single trial.,
591,This is to relieve this injustice because the results of the first and second trials can be unfair.,
592,To minimize the number of people who are falsely accused,
593,the third trialTo give an accurate answer,
594,I don't know.,
595,the third edition,
596,"I think I know, but I don't know.",
597,ã,
598,I'm sleepy,
599,Don't know,
600,I'm not sure I can make a decision on a trial,
601,To ensure that a single trial is not unjustified or unjustified,
602,It is to prevent unfairness from occurring in one wrong trial.,
603,"To make a fairer trial,",
604,Maybe there's something wrong with it's wrong,
605,the three-trial system,
606,"Trial is done by a person, so you can make mistakes. Therefore, by introducing the three-trial system, it is possible to reduce the probability of unfair misjudgment.",
607,I don't know,
608,So that there is no unfair or unfortunate bias,
609,This is because it can be judged unfair.,
610,This is to prevent unfair people from appearing due to the trial.,
611,It is to prevent unfairness from happening.,
612,It's unfair,
613,To prevent a judgment against the person who filed the suit,
614,for the sake of fairness,
615,"The appeal system, for the sake of fair judgment.",
616,This is because the plate can give a wrong answer.,
617,To get rid of the injustice,
618,To get a fair trial,
619,To relieve people who are falsely accused,
620,The trial is conducted three times to prevent unfairness.,
621,It is to make a fair judgment without anyone being wronged.,
622,It is possible to avoid unfair judgments and make more legitimate judgments through three trials.,
623,in order not to be falsely accused,
624,Let's see. Sexy,
625,It's to get a fair plate.,
626,I'm trying to fit in,
627,I don't know,
628,"To be accurate and to release the victim's resentment,",
629,"People are too noble and precious to decide at once, so they give people a chance to live a little better after several opportunities.",
630,It gives a chance for a fair and just trial.,
631,The reason for operating the three-trial system is that judging a person's guilt through a single trial can be a mistake or misunderstanding by a judge.,
632,Because there could be more evidence,
633,This is to make a judgment as fair as possible to both the accused and the person who filed the lawsuit.,
634,This is because it is a matter that requires careful decision.,
635,Because all men have equal rights.,
636,Because people have equal rights,
637,To make a reasonable judgment and prevent unfair cases from occurring,
638,To give you a chance,
639,Because I respect people,
640,for the sake of the people,
641,It is to prevent unfair trials.,
642,"This is because unfair judgments can be made, and innocent people can be harmed and human rights violated",
643,Because people don't admit it,
644,It is to make a proper judgment.,
645,Trials are made three times for accurate and just judgment.,
646,"Since the judge who leads the trial and concludes is a person, there is a variable that a single trial is a mistake, so the reliability and accuracy of the judgment can be reduced. That's why we run this system",
647,Don't discriminate against people with disabilities,
648,It's because the rules of the law and privacy are uncomfortable or difficult,
649,"This is because trials are also done by humans, so they may not always be able to make the right judgment.",
650,I didn't admit it,
651,To make sure no one is wronged,
652,Because it's the law,
653,"If the trial is over, if it is unfair, the trial is made to be held again.",
654,This is because they respect the rights of the people.,
655,It's not easy to tell what's real if you do it once,
656,For more accurate results and evidence,
657,"To lose by money in the first trial, to lose by power in the second trial, and to lose by connections in the last third trial.",
658,"When the result is unfair or not true, in order to solve the unfairness,",
659,This is because it needs to be tried several times to know exactly.,
660,It's to protect an innocent person,
661,It's hard to judge once or twice,
662,Just in case the trial went wrong,
663,They are tried three times because they can live unjustly.,
664,"A single trial can lead to an unfair ruling, which allows the person on trial to try again if he or she doesn't want to",
665,Don't know,
666,Because I have to check if it goes wrong.,
667,Doctor Strange,
668,I don't want to be restrained,
669,Just in case I misjudged it,
670,in dissatisfaction with the ruling,
671,To make sure there's no one who's innocent,
672,in order to protect the rights of the people,
673,It is to prevent misjudgment.,
674,in order to make a more serious decision,
675,for the protection of the basic rights of the people,
676,I'm not sure,
677,I don't know.,
678,It's to reduce misjudgment as much as possible,
679,It could be unfair,
680,To present injustice to an unjust judgment,
681,"If the injustice is not resolved, it is to go to the appeal and make it clear.",
682,To live in a better world.,
683,You might get punished unfairly because of a misjudgment,
684,"""Because you might feel bad about it",
685,"""",
686,"in order to prevent misjudgment, etc",
687,This is because it can make a wrong decision.,
688,It's because there could be a bad decisions,
689,"It guarantees the people their right to freedom, so if they think something is wrong, they run it to fix it.",
690,in order to see exactly,
691,I don't know.,
692,To get fair treatment for your skillsThis is because only one or two trials can lead to unfairness.,
693,"""For those who feel wronged,",
694,"""I thought it would be 1 vs 1 if we had 2 trials.""",
695,I might change my mind if I wear a garage or accidentally,
696,"If the trial ends at once, it's so unfair",
697,So that humans don't feel wronged,
698,It's because one person can be misunderstood and get a wrong trial,
699,I'll try three times to make sure there's nothing wrong,
700,The reason why a case is tried up to three times is not to make it unfair.,
701,This is because there is something that can be unfair by trial as No. 1.,
702,"""If you don't do that, the wrongdoer won't get more trials, or the trial of a serious case will be",
703,"This is because once held, there can be innocent victims in the trial.""",
704,"This is because once the victim receives it, there are cases where the victim loses a single trial because he cannot talk at once. Therefore, Korea, which wants a fair trial, has a three-trial system.",
705,It's because it can be unfair,
706,"You can't end the trial unjustly, so you have to stand trial up to three times",
707,This is because there may be errors in the trial.,
708,One or two trials can lead to errors in the trial and the victim can be falsely accused.,
