,"6. When you go to the mart, there are many agricultural products produced abroad. There are many seafood such as seaweed and oysters exported to the United States. Why do we exchange goods through exchanges between different countries?",q6_resource,q6_price,q6_profit,q6_resource.1,q6_price.1,q6_profit.1
130,Because you have to buy and sell what your country doesn't have,,,,,,
131,For our country to develop.,,,,,,
132,"That way, we can eat a lot of foreign food in Korea",,,,,,
133,For each other's development,,,,,,
134,This is because Korea owns agricultural products that do not grow in other countries.For the development of our country,,,,,,
135,This is because the United States and Korea are economically close.,,,,,,
136,To sell a lot of things to your country and make up for things that you don't have and circulate the country,,,,,,
137,"This is because Uranara is not enough or not enough, but it can make up for what it needs.",,,,,,
138,"To exchange different things,",,,,,,
139,Because they are exported to each other,,,,,,
140,"This is because if only agricultural products produced in the country are sold, the amount is small and the type is small.",,,,,,
141,"If you don't exchange, the amount of imports will decrease, and there aren't many people who buy it at a high prices",,,,,,
142,It is because there are things that cannot be made in Korea and there are no fruits and vegetables,,,,,,
143,We have different relationships,,,,,,
144,We can receive agricultural products that are not produced in our country,,,,,,
145,I need other things,,,,,,
146,"In order to get the things needed in other countries and my country,",,,,,,
147,Because there is nothing in Korea that is in America,,,,,,
148,Because the price is cheaper than our country,,,,,,
149,"Because the climate of each country is different, the crops that can be grown are limited",,,,,,
150,To make up for what you need,,,,,,
151,"To fill each other's gaps,",,,,,,
152,This is because each country has different agricultural products.,,,,,,
153,"Since the natural environment is different from country to country, the types of resources (agricultural products, goods) produced are also different. Because the price varies depending on the type of resource produced",,,,,,
154,"This is because the natural environment is different from country to country, so the types of resources produced are different, so the price varies depending on the resources produced.",,,,,,
155,"This is because the natural environment is different from country to country, so the agricultural products produced are different.",,,,,,
156,The climate of each country is different. The products are different,,,,,,
157,"Since each country has a different natural environment, the types of resources produced are also different. This is because the price varies depending on the type of resource produced.",,,,,,
158,This is because the crops are different depending on the natural environment,,,,,,
159,In order to be peaceful without being able to grow or solving the shortage of manpower or war between countries,,,,,,
160,"When produced in different climates, the taste and size are different. So if you exchange it with each other, you can taste it in a variety of ways.",,,,,,
161,c??161.0,,,,,,
162,It's because countries develop through exchange,,,,,,
163,"Since each country has a different natural environment, the types of resources produced are also different. This is because the price varies depending on the type of resource produced.",,,,,,
164,This is because agricultural products are different depending on the local climate,,,,,,
165,"This is because the temperature varies depending on the latitude, so the product produced is different",,,,,,
166,This is because the price varies depending on the type of resource produced.,,,,,,
167,In order to get more,,,,,,
168,This is because agricultural products that grow depending on the climate of the region are different,,,,,,
169,"Each country has different topographical features, so the conditions for producing certain specialties are also different. Therefore, it can contribute to becoming active in the economic market while exchanging specialties of each country with private companies.",,,,,,
170,"Since the natural environment is different from country to country, the types of resources (agricultural products, goods) produced are also different. This is because the price varies depending on the type of resource produced. (Type of resource, price of resource)",,,,,,
171,"This is because there are limitations in the kind of agricultural products produced in their own countries, and they can exchange them with foreign countries, accept various agricultural products, adjust agricultural prices, and stabilize the economy.",,,,,,
172,"Each country has a different natural environment. Therefore, the agricultural products produced are different, so they exchange.",,,,,,
173,This is because the environment is different from region to region.,,,,,,
174,This is because the natural environment is different from country to country.,,,,,,
175,This is because each country has a different environment.,,,,,,
176,"Since the natural environment is different from country to country, the resources produced are also different. This is because the price varies depending on the type of resource produced.",,,,,,
177,It's to bring in products that don't come out in your country or products that don't come out,,,,,,
178,This is because Korea can revitalize its economy through international trade and promote the development of its own country while interacting with various countries in accordance with the era of globalization.,,,,,,
179,"There are so many reasons, one to achieve supply according to consumer demand and the other to activate the money cycle.",,,,,,
180,"Each country has a different natural environment, so the products are different",,,,,,
181,"""Each region's specialties or crops that cannot be grown due to the season or environment",,,,,,
182,"They interact with each other and allow us to eat what we can't eat.""",,,,,,
183,To know each other's culture.,,,,,,
184,To get a lot of stuff,,,,,,
185,I don't like things in Korea,,,,,,
186,in order to earn money,,,,,,
187,I'm going to buy it cheap,,,,,,
188,To improve each other,,,,,,
189,This is because each country needs different things.,,,,,,
190,To gain from each other,,,,,,
191,"To make money for each other, to live economically.",,,,,,
192,To eat something,,,,,,
193,I think it's because I can earn money and get the things I need.,,,,,,
194,It's because we get things that we can't get in our country and get close to each other,,,,,,
195,"If you try fruits from many countries, you can see new flavors and shapes",,,,,,
196,To buy what we need cheaply,,,,,,
197,Everything from the country is differentImporting goods that are not good for our country can be better for our body,,,,,,
198,"Korea does not have much production in other countries, so both this side and that side benefit from exchanging them.",,,,,,
199,To make our country known,,,,,,
200,in order to earn foreign currency,,,,,,
201,You can get what you don't have in your own country.,,,,,,
202,So that agricultural products that don't grow in Korea can be eaten in Korea,,,,,,
203,"I think it is because if you exchange agricultural products that are not produced in your country, you will have friendship with the country and gain from your country.",,,,,,
204,"Each country has its own specialties, and each country has its own benefits",,,,,,
205,"In Korea alone, the price goes up and it seems to be interacting with other countries.",,,,,,
206,To live well with each other,,,,,,
207,To benefit each other by sending each other things that we didn't know,,,,,,
208,There are a lot of foods that are not cultivated in Korea,,,,,,
209,Because you can buy and sell what your country doesn't have,,,,,,
210,We make things that are not in our country and export them to foreign countries to make the relationship good,,,,,,
211,"Each country has different technologies and specialties, so they try to get what they need from each other.",,,,,,
212,This is because there is a limit to the growth of living things depending on the environment of various countries.,,,,,,
213,"To taste the specialties of many countries and to develop the economy,",,,,,,
214,To make something that doesn't exist in our country,,,,,,
215,Because we can exchange with Korea and other countries and import food and agricultural malls that are not in Korea,,,,,,
216,"Let me give you an example First of all, we (except North Korea) do not have a lot of resources, but we export resources from countries with a lot of resources because of our technology, and we make and export goods with technology",,,,,,
217,"I enjoy eating Korean food, but I interact with many countries to eat food from other countries",,,,,,
218,"""",,,,,,
219,So that we can have a good exchange well,,,,,,
220,"""When we interact with our country and with other countries, we can each use different objects",,,,,,
221,"""Because our country could develop.""",,,,,,
222,"This is because each country has different resources, locations, and technologies.",,,,,,
223,There might be more good things in that country,,,,,,
224,They are produced in different countries,,,,,,
225,This is because agricultural products and marine products from each country are different.,,,,,,
226,We're going to eat a variety of food in that area,,,,,,
227,"To eat a variety of things in the area,",,,,,,
228,I'm trying to share my skills,,,,,,
229,.,,,,,,
230,It's from another country,,,,,,
231,To get food from other countries,,,,,,
232,Because we interact with things that are not in our country,,,,,,
233,We can have economic exchanges,,,,,,
234,We imported agricultural and marine products that are not in Korea,,,,,,
235,"""They sell a lot of seaweed and oysters in Korea""",,,,,,
236,"Since agricultural products exported are different depending on the environment and climate of each country, they are exchanged through exchange.",,,,,,
237,I want to share what I lack,,,,,,
238,Han didn't produce all of them,,,,,,
239,There's something that doesn't grow in Korea,,,,,,
240,I don't know,,,,,,
241,We exchanged things that we didn't have,,,,,,
242,There are different kinds of seafood and other things,,,,,,
243,This is because there is a shortage of goods to produce in our country.,,,,,,
244,To mix what we don't have,,,,,,
245,To make money,,,,,,
246,"They exchange because there are many things in their country that they don't need, and there may be things they need.",,,,,,
247,To exchange things that we don't have,,,,,,
248,The production varies from country to country,,,,,,
249,in order to gain mutual benefit each other,,,,,,
250,"To use things that we don't have each other,",,,,,,
251,"""Exchange goods that are not available in each country",,,,,,
252,"""To be ready""",,,,,,
253,Exchange coupon!!!,,,,,,
254,To have a good relationship with each other,,,,,,
255,Top Secret Only the President Knows,,,,,,
256,To interact and enjoy each other evenly because the local and national specialties are different.,,,,,,
257,I wanted to eat something more delicious,,,,,,
258,"Since there are things produced in each country and things that are not produced, many countries share and exchange what they do not have with each other for the richness of materials.",,,,,,
259,It's cheaper to trade than to raise them in their country,,,,,,
260,To be more competitive,,,,,,
261,I don't know,,,,,,
262,It is to bring in new products by exchanging products that are not well produced in the country.,,,,,,
263,the specialties of various countries,,,,,,
264,"Since each country produces different seafood, it is exchanged and changed",,,,,,
265,Because there are plants that don't grow in our country.,,,,,,
266,It's to benefit each other.,,,,,,
267,Make money,,,,,,
268,This is because each country has different products produced and needed according to the natural and human environment,,,,,,
269,Because there are things that don't grow in our country,,,,,,
270,The taste is different from country to country,,,,,,
271,Because each country has different crops that grow are different in each country,,,,,,
272,"Each country has different plants and crops that grow depending on the natural environment, so it is better to live by exchanging them",,,,,,
273,We exchange things that we don't have in our country to use.,,,,,,
274,I don't know.,,,,,,
275,"This is because the natural environment of each country is different, so the specialties are different.",,,,,,
276,"There are many things that do not exist in each other's country, and you can get what you want by exchanging them.",,,,,,
277,Wrap it up,,,,,,
278,"Because the environment and climate of each country are different, the crops grown are different",,,,,,
279,"There are different animals and plants between countries, and there are things that do not exist in that country",,,,,,
280,This is because other species of goods that cannot be obtained in a country can be obtained in many countries.,,,,,,
281,The agricultural products that are produced in different regions are different,,,,,,
282,"Good quality items from each country are all different, so they are exchanged to share.",,,,,,
283,in order to promote friendship,,,,,,
284,"Since the specialties of each region are different, they must be exchanged to be diversified.",,,,,,
285,"This is because each country has its own natural environment, and animals and plants have an environment suitable for survival, so the products produced are different.",,,,,,
286,It is for cultural exchange.,,,,,,
287,This is because it is easy to obtain goods that cannot be obtained according to the geographical and social characteristics of the country.,,,,,,
288,This is because the materials produced are different depending on the natural environment or capital of each region.,,,,,,
289,"Since the specialties from each region are different, more kinds of supplies can be obtained through exchange.",,,,,,
290,"This is because each specialized product is different, and at this time, it can generate profits through exchange.",,,,,,
291,The main products produced in each region are different,,,,,,
292,This is because there are better products produced in each country.,,,,,,
293,You can experience a variety of products,,,,,,
294,To create each other's own interests,,,,,,
295,"Each country has different specialties, so to pursue efficiency,",,,,,,
296,It is for the benefit of the country.This is because production efficiency is good.,,,,,,
297,To have what each other lacks,,,,,,
298,Because we don't have it in our country even if we don't have it abroad,,,,,,
299,"Because each country has different plants that are specialized in the natural environment,",,,,,,
300,Because each country needs different places and needs things that cannot be produced,,,,,,
301,Food from other countries is more delicious.,,,,,,
302,Because we can get crops that do not come out of our country,,,,,,
303,You can't produce everything in one country,,,,,,
304,To have things that you don't have in your own country,,,,,,
305,I want to have things that I don't have in my country,,,,,,
306,"This is because the characteristics and cultures of various countries are different, so if many countries exchange, they can experience more various cultures.",,,,,,
307,To make ends meet,,,,,,
308,"Different countries have different climates, so there are products that are produced or not",,,,,,
309,"This is because each country produces different goods, living things, and food, and the topography of the land is different from country by country And interacting with each other to make a living",,,,,,
310,"Each region has a different flight, so exchange it for economic benefits",,,,,,
311,It's because everything that comes out depends on the environment is different,,,,,,
312,"""You can buy various ingredients and items from various countries",,,,,,
313,"In Korea, you can buy something expensive at a low price in foreign countries.""",,,,,,
314,We exchange for the development of our country.,,,,,,
315,"Each country has a different natural environment and climate habitat, so they exchange",,,,,,
316,This is because agricultural products that cannot be grown due to environmental influences in Korea can be imported from other countries.,,,,,,
317,"Different countries have different climates, so there are different products that are produced",,,,,,
318,"Since each country has a different natural environment, each country uses its own natural environment characteristics to exchange its own specific natural environment products",,,,,,
319,It's to live well with each other.,,,,,,
320,"Different countries have different climates, so there are different products that are produced",,,,,,
321,"In order for our country to live well,",,,,,,
322,You can get to know each other's culture and buy necessary items.,,,,,,
323,Each country can develop by accepting objects from different cultures.,,,,,,
324,"Since there are many goods that are not produced in each country, they exchange goods to get from other countries",,,,,,
325,"This is because if you have goods that you don't have in your country in another country, or if your products are more expensive, you can benefit from exchange with other countries",,,,,,
326,This is to develop our country by accepting the culture of other countries.,,,,,,
327,Because each country has a different environmental food,,,,,,
328,"""We can get new cultural properties from different countries through exchanges",,,,,,
329,"There are many benefits to sharing knowledge or information with people in other countries.""",,,,,,
330,To know the culture of other countries,,,,,,
331,"The natural environment of each country is different, so the marine products produced are different, so they are exchanged with each other",,,,,,
332,Because you can buy agricultural products that are not produced in each country at a low price,,,,,,
333,"In country A, when a product is not available and in country B, country A receives the product from country B, and country B receives the product from country A, and with mutual trust, it increases the country's exports and imports",,,,,,
334,I don't know,,,,,,
335,h,,,,,,
336,I don't know,,,,,,
337,I don't understand.,,,,,,
338,I don't know.,,,,,,
339,To get what is hard to get by exchanging with each country?,,,,,,
340,I don't understand.,,,,,,
341,You can eat various agricultural products from other countries only if you exchange them with other countries.,,,,,,
342,M and D,,,,,,
343,for the sake of one's sake,,,,,,
344,I don't understand.,,,,,,
345,I don't understand.,,,,,,
346,I don't know,,,,,,
347,I don't know.,,,,,,
348,To help each other,,,,,,
349,"To bring many things that don't come out of our country,",,,,,,
350,You can get various things by exchanging things that cannot be produced in one area,,,,,,
351,It is to exchange things that are not with each other in order to exchange them.,,,,,,
352,It's not in Korea,,,,,,
353,I don't know.,,,,,,
354,I don't know,,,,,,
355,It's cheaper to come in from abroad,,,,,,
356,We exchange things that are lacking in our country and things that are lacking in other countries,,,,,,
357,We can bring things that we don't have and get things with better quality and cheaper prices,,,,,,
358,To have something essential that we don't have,,,,,,
359,This is because we can receive and eat food that is not in our country.,,,,,,
360,It's not in Korea,,,,,,
361,in order to easily obtain goods that are not produced in one's own country,,,,,,
362,We were able to get to know each other while interacting with each other,,,,,,
363,"Different countries have different regions, so fruits and specialties are different",,,,,,
364,"Each country produces a lot of things, and if there are less, there are things that are not produced at all, but to complement each other,",,,,,,
365,Because I have to export and sell what I can't get with other countries,,,,,,
366,This is because they are trying to obtain the maximum profit through trade between the two countries with minimal goods.,,,,,,
367,This is because the natural environment is different because the solar radiation energy received by each region is different.,,,,,,
368,"Each country has different products that are advantageous for production, so each country exports and imports through some specialization.",,,,,,
369,This is because there are benefits that can be obtained through trade between countries.,,,,,,
370,"Since each country mainly produces different products depending on the natural environment and humanities environment, they import insufficient products from other countries and export products that are produced a lot.",,,,,,
371,Because what we want is different.,,,,,,
372,This is because the natural environment or humanities environment of each country is different.,,,,,,
373,"To enjoy each other by exchanging specialties from each country. Or you can buy or sell what you don't have or what you don't have in your country through trade, so you can get a bigger profit.",,,,,,
374,"Since each region has different items that can be produced efficiently, it is necessary to exchange goods through exchange, and each country needs different goods.",,,,,,
375,"Since there are items that can be produced advantageously in each country, these items can be exchanged through exchange because they can benefit from specialized production and then exchange them with items that can be produced relatively unfavorably.",,,,,,
376,"Each country in the world has a different climate and technology, so there are limited products that can be produced in each country. However, most countries need a lot of products, so it is to profit from each other by exchanging products that each country can produce.",,,,,,
377,This is because you can get the substance by interacting with a country that has a substance that is not in your country.,,,,,,
378,"Because each country has different amounts of resources, technology, and natural environment, the cost of production for a product varies.",,,,,,
379,This is because each country can benefit more from exchanges between different countries than using things through self-sufficiency methods.,,,,,,
380,for the sake of the country's friendship,,,,,,
381,"Because there are things that are difficult to produce in Korea,",,,,,,
382,You can get more out of it,,,,,,
383,Because there's nothing to eat?,,,,,,
384,"That way, our economy will develop",,,,,,
385,It's because we share information on how to grow and process food from other countries,,,,,,
386,Because each country has a different lifestyle and environment,,,,,,
387,There are things that are not in Korea and things that are not in other countries,,,,,,
388,There are fruits and vegetables that we don't have in Korea,,,,,,
389,in order to come,,,,,,
390,It's because we need different things,,,,,,
391,"Because the natural environment is different from country to country, the food from the land is different, so they exchange it with each other.",,,,,,
392,"This is because you can import goods that are not in your country or that are hard to get from other countries. For example, seafood, which is difficult to obtain in inland countries, can be obtained through exchange.",,,,,,
393,Using different things in exchange?,,,,,,
394,Exchange to get what each other needs.,,,,,,
395,Korea and large corporations make profits by exporting and importing productsfor profit,,,,,,
396,To develop a country,,,,,,
397,It's cheap if you come in from abroad,,,,,,
398,in order for competition to develop,,,,,,
399,I don't know.,,,,,,
400,To interact with each other and get things that we don't get,,,,,,
401,I'm exchanging better place to exchange,,,,,,
402,I'm going to make a living,,,,,,
403,"To get more food,",,,,,,
404,Some grow only in other countries and some grow only in our country,,,,,,
405,"Then, you have to take a plane or a boat to eat food from different countries",,,,,,
406,"But if you export and import, you will win and win.""",,,,,,
407,"There are other fruits that are not in the country, so you have to exchange them.",,,,,,
408,This is because each country that imports scarce goods from Korea and imports goods from Korea from abroad can earn profits.,,,,,,
409,There may be no production in our country,,,,,,
410,To get the products that only come from that country,,,,,,
411,To sell or obtain goods that are not produced in their own country.,,,,,,
412,We need things that are few or none in the country,,,,,,
413,To give and receive what we need from each other,,,,,,
414,I don't know,,,,,,
415,To make a profit by exporting goods,,,,,,
416,Can't you just give it to me?,,,,,,
417,Mart,,,,,,
418,It is to exchange food from other countries,,,,,,
419,"Since more farm products are produced abroad,",,,,,,
420,"Borrowing from other countries what is lacking in their own country and handing out what we are strong and good at making In short, barter.",,,,,,
421,a necessary article,,,,,,
422,It is because I can learn and learn many things by interacting with other countries,,,,,,
423,To interact and benefit each other in the country,,,,,,
424,"Because it is convenient to eat fruits that are not available in Korea in other countries, just like we have to eat food evenly",,,,,,
425,"In order to have something better or worse because it is not produced or scarce in one's own country, or because it is better in one country.",,,,,,
426,"If you don't exchange the goods, it's not profitable for you to exchange them",,,,,,
427,To save the economy and make money.,,,,,,
428,You have to exchange the goods so that other people can benefit and give it to our country,,,,,,
429,You can have what you don't have,,,,,,
430,Because we can make friends by filling in what we lack?,,,,,,
431,You can buy and sell things that you can't get or don't have in Korea,,,,,,
432,Countries exchange with each other and live by exchanging things they don't have.,,,,,,
433,in order to live,,,,,,
434,To get what each other needs,,,,,,
435,Top Secret Only the President Knows,,,,,,
436,Because there are things that are not produced in some countries,,,,,,
437,.,,,,,,
438,This is because you can import goods that cannot be produced in your own country and make profits by exporting them to other countries.,,,,,,
439,in mutual favor,,,,,,
440,This is for liberal arts majors,,,,,,
441,They exchange goods because they need things from their respective countries.,,,,,,
442,You can get what we don't have,,,,,,
443,This is because the products that can be produced are different depending on latitude and topography,,,,,,
444,Because you can get better quality goods or have goods produced only in each country?,,,,,,
445,I don't know,,,,,,
446,Because we don't have anything in our country on our land.,,,,,,
447,"In order for countries to develop,",,,,,,
448,"The environment is different for each country, so the harvest is different for each country has a different harvest",,,,,,
449,It's because they don't grow well or make it in their own country.,,,,,,
450,There might be seafood that you don't have in your country,,,,,,
451,It is to develop by exchanging things that are not in each other's countries and to gain more profits.,,,,,,
452,I don't understand.,,,,,,
453,It is to exchange goods necessary for each other's economic growth.,,,,,,
454,"Each country has a famous one and all the well-exported marine products are different, so they are exchanged through exchange.",,,,,,
455,To make a profit by exchanging things that don't come from their own country.,,,,,,
456,"This is because each country has different natural environments and topography, so specialties are different.",,,,,,
457,It is to fill up the deficiencies in our country.,,,,,,
458,"This is because we can exchange goods with each other and know the regional characteristics of each country, and we can exchange and develop economic power",,,,,,
459,Because there are things that are not available in your own country,,,,,,
460,Because the products produced are different depending on the environment of each country.,,,,,,
461,This is because we can make efforts for the development of the country by exchanging supplies that are not available to each other to fill the country's scarce supplies.,,,,,,
462,This is because they benefit from exchanging what is not in their country for many things in their country.,,,,,,
463,You can send and receive good products through exchanges with foreign countries.,,,,,,
464,I don't know.,,,,,,
465,I don't know.,,,,,,
466,Because I signed a contract,,,,,,
467,This is because the marine products that grow well in different countries or regions are different,,,,,,
468,.,,,,,,
469,Each region's specialties are different,,,,,,
470,"A country without the sea can make up for its deficiencies, such as importing seafood",,,,,,
471,"To try the representative products of the country,",,,,,,
472,"There are things that are lacking in each country, but to make up for what is lacking,",,,,,,
473,I doubt it.,,,,,,
474,It doesn't come out of the area,,,,,,
475,It is because showing and feeding new items to people in the country is amazing and it helps a lot to know what is in our country.,,,,,,
476,Because we can accept things that cannot be harvested in our country,,,,,,
477,"In order to make money, we can't make all kinds of agricultural products in Korea",,,,,,
478,To try seafood from different countries,,,,,,
479,"To get various items,",,,,,,
480,This is because not all agricultural products can be produced in Han Agricultural products are produced according to various conditions,,,,,,
481,Specialties from many countries are different,,,,,,
482,Because each country has different specialties,,,,,,
483,This is because each country has its own specialties and can use what is not in their own country through exchanges with other countries.,,,,,,
484,"There are specialties in Korea and in other countries, so we want to exchange different products",,,,,,
485,"The reason for exchanging goods is that if you compare each country's goods and Korea's goods, there are many things that are not there and there are different creatures",,,,,,
486,I don't know.,,,,,,
487,It is to import what is not in your country and export what is not in other countries.,,,,,,
488,This is because the specialties and cultures from various countries are different.,,,,,,
489,M and D,,,,,,
490,None.,,,,,,
491,Since I don't have it,,,,,,
492,I don't know.,,,,,,
493,It's to make money for each other.,,,,,,
494,I didn't grow up in that countryIt's because I want something that we don't have,,,,,,
495,To live well with each other,,,,,,
496,This is to make profits by selling food that does not grow well in each country to other countries through exports.,,,,,,
497,Because there are products that are not produced in the country,,,,,,
498,"There is a natural environment suitable for each country, and it is to get healthy things by exchanging the best growing plants in the country.",,,,,,
499,"""Because I'm not in Korea,",,,,,,
500,"""",,,,,,
501,"In order to expand the culture by exchanging things that are not available in each country,",,,,,,
502,It's because they produce different things,,,,,,
503,I'm not sure,,,,,,
