,2) Why did the fire go out after spraying water on the lit iron?,q30_Temperature drop ,q30_Oxygen
61,The temperature went down,,
62,The temperature went down,,
63,This is because the temperature of the iron plate has been lowered by water.,,
64,This is because it lowered the burning point of an object.,,
65,This is because the high temperature was lowered using water.,,
66,This is because it is lower than the ignition point.,,
67,"Due to the constancy, the temperature dropped due to contact with water with low temperature, and the fire was extinguished.",,
68,"Oxygen is needed to catch fire, but if water is sprayed on the iron plate on fire, oxygen is temporarily blocked, so it cannot catch fire:",,
69,The fire went out because the temperature dropped and no longer reacted with oxygen,,
70,"This is because it has changed from a dry state to a moist state, and the temperature has decreased.",,
71,Because the fire is hot and the water is cold.,,
72,Because the temperature difference between the iron plate on fire and the water is big,,
73,This is because the water lowered the temperature of the iron plate.,,
74,It's water,,
75,It lowered the ignition point and blocked the oxygen,,
76,It's damp,,
77,The fire goes out when it meets water,,
78,"Because water molecules cool the fire, reducing the speed of movement of the molecules",,
79,This is because the temperature of the cloth is lower than the ignition point of the cloth by spraying water.,,
80,Because there is no oxygen in the water Fire gets bigger the more oxygen you eat,,
81,Because fire goes out when it meets water,,
82,"When water is sprayed on a lit iron plate, the water cools the fire and the temperature slowly drops, so the fire is extinguished.",,
83,Water must have caused some ingredients to extinguish the fire,,
84,The temperature went down,,
85,"The temperature of fire is considerably higher than that of water and the temperature of water is considerably lower than that of fire Therefore, when water is sprayed on a fire, the temperature decreases and thermal equilibrium is called. So the light goes out.Water has a large specific heat, which is heat to increase the temperature of water, so fire can raise the temperature of water, but it is absorbed by specific heat, so the temperature of water increases. The temperature of the fire is to raise the temperature of the water, so the temperature of the water increases. So the lights go out.",,
86,The cold water covered the hot fire and put out the fire.,,
87,This is because the temperature of the cloth falls below the temperature at which the fire can burn continuously.,,
88,"The fire was extinguished by the heat absorption of the water. However, if water absorbs heat and there is still enough heat to burn, the fire does not go out.",,
89,It's because the water turns off the fire,,
90,I don't know.,,
91,It's because I lowered my fever.,,
92,This is because a fire is suppressed by pouring water,,
93,"If you spray cold water on hot heat, the heat disappears gradually, so I think the fire will be extinguished.",,
94,"When oxygen is gone, the fire cannot last any longer",,
95,Fire can't beat water,,
96,"""+ Because the water lowered the temperature of the iron plate,",,
97,Because water blocks oxygen.,,
98,Because water is the role of extinguishing the fire,,
99,The high-temperature heat disappeared by spraying low-temperature water where there was heat.,,
100,The water is the condition to put out the fire,,
101,I lowered the heat,,
102,It's cooled down,,
103,"When water and fire meet, water wins...",,
104,Because water neutralizes fire,,
105,This is because the temperature goes down.,,
106,The temperature was lower than the ignition point and blocked from oxygen.,,
107,Because fire is extinguished by water,,
108,It's easily extinguished because it's on fire because of heat,,
109,There's more water than fire,,
110,"Steam irons are not lit, so if you spray water, the fire goes out",,
111,The water is cold,,
112,This is because water cools down and blocks oxygen.,,
113,This is because the temperature was lower than the ignition point and the oxygen supply was somewhat insufficient,,
114,This is because water has an ingredient that can extinguish the fire.,,
115,Because the fire goes out in the water,,
116,Water and fire are at opposite ends,,
117,You don't know?,,
118,There's no oxygen in the water,,
119,This is because pouring water prevents the fire from burning oxygen,,
120,Fire is gas and water is exe,,
121,"The water is cold and the fire is hot, but the water is colder",,
122,Because I cooled the hot fire with cold water,,
123,I don't know.,,
124,"It's hot, it's almost the opposite. It's cold",,
125,Fire is weak against water.,,
126,The ignition point is low,,
127,The water lowered the heat of the fire below the ignition point,,
128,The cloth goes out as soon as it is sprayed with water.,,
129,The temperature is different,,
130,"When the water catches fire, the fire gets smaller and smaller, and it becomes more frequent",,
131,It's water that turns off the lights,,
132,Since I sprayed water.,,
133,"Originally, if you spray water on a fire, the fire goes out.",,
134,Because the heat cools down when you pour water,,
135,The hot iron put the ignition on the iron plate because the ignition was cooled by water.,,
136,"This is because spraying water on a fire is opposite to each other, so the fire is extinguished.",,
137,This is because water has the property of extinguishing fire.,,
138,Fire is weak against water,,
139,It's because the water cooled the hot heat,,
140,The fire was extinguished by spraying water below the ignition point.,,
141,Because the temperature is low,,
142,It's cold,,
143,This is because the water has thrown away all the heat on the iron plate.,,
144,The water went out because it was cold,,
145,This is because water turns into an underwater machine in the air when it meets fire,,
146,This is because the temperature drops when water is sprayed.,,
147,The temperature goes down below the ignition point,,
148,This is because it went below the temperature of the ignition point.,,
149,The temperature went down because of the water,,
150,"When I sprayed water, the temperature dropped below the ignition point",,
151,The temperature drops below the ignition point,,
152,This is because the temperature is lower than the ignition point.,,
153,This is because the temperature at the ignition point has decreased.,,
154,The temperature went down below the ignition point,,
155,"This is because the temperature of the water is low, so if you spray water, the temperature decreases.",,
156,It goes down below the temperature before the fire,,
157,The heat goes out because the temperature goes down when you spray water,,
158,This is because the temperature of the fire decreases when water is sprayed.,,
159,Because you can turn off the water and fire,,
160,It blocks contact with the meat with water,,
161,"Fire burns only when there is oxygen, because water prevents oxygen from meeting fire",,
162,Because water can turn off the fire,,
163,My temperature has cooled down,,
164,"If you pour water on the fire, it will turn off",,
165,It removes the heat...,,
166,The temperature of the water overcomes the temperature of the fire,,
167,Because the carbon dioxide loss blocked oxygen,,
168,The fire goes out when you pour water,,
169,The water quenched the fire,,
170,Water makes the fire go out.,,
171,The water turned off the heat,,
172,Because the iron was separated from the iron plate,,
173,The water turned off the heat,,
174,It is because the water prevented the fire from spreading,,
175,It is because the water keeps the fire from getting hot and the water makes the fire go out,,
176,Because the water cooled down,,
177,"Since it goes out in the water,",,
178,The water put out the fire.,,
179,"Water and fire have opposite properties, and when these two meet each other, they eventually do not catch fire and the fire is extinguished.",,
180,Because carbon dioxide blocks oxygen,,
181,This is because water lowers the high temperature of the fire and does not exceed the ignition point.,,
182,Because water turns off the fire.,,
183,This is because fire can be lost by water.,,
184,The iron cooled down and stopped working,,
185,"The air, which is one of the substances that can cause a fire to burn by water, has disappeared",,
186,A liquid called water in a hot fire turns off because it heats up the fire.,,
187,"Fire and water are normal (more water and less fire, so the lights go out)",,
188,This is because water lowers the temperature.,,
189,Because water evolved the fire,,
190,I sprayed water and lowered the temperature below the ignition point,,
191,Because the fire is weak against water,,
192,I'm weak with fire,,
193,Water lowers the temperature dramatically,,
194,Because the fire goes out when you spray water.,,
195,The water turned off the heat,,
196,The fire is extinguished when the water touches it,,
197,?,,
198,"Fire is weak against water, because it is made when it is hot, and water lowers the hot temperature.",,
199,Because the cold water covered the hot fire.,,
200,"In order to catch fire, oxygen, objects to be burned, and heat are required because the heat cools when sprayed with water.",,
201,"If you spray water on the fire, it will turn off",,
202,"Since the water turns off the fire,",,
203,"This is because if you pour water on the fire, the fire is suppressed by the water and disappears.",,
204,The fire was weak against water,,
205,The temperature of the iron plate went down,,
206,The water cools down the hot iron,,
207,It evaporates,,
208,Fire can be suppressed with water because it is the opposite of water.,,
209,"It might be a strange answer, but it's because the particles in the fire, the particles in the liquid called water, get rid of the particles that burn the object",,
210,"Water can extinguish fire, and fire has the property that the size of fire decreases or disappears when it touches water.",,
211,"The temperature goes down because of the water, and the temperature is less than 100 degrees.",,
212,"Water is the opposite of fire, so if firefighters pour water like spraying it on fire, the water will soon disappear. In other words, hot fire and cool water meet and extinguish.",,
213,"This fire can be extinguished relatively easily because it is not a fire caused by electricity or gas. The cloth was already burning, but the firing point of the cloth was greatly lowered by spraying water, and at the same time, heat conduction slowed down and the medium through which the fire could burn disappeared. That way we can see the lights go out. Another inference might be that the fabric was already burned and immediately extinguished when the water was sprayed.",,
214,Water is the nature of fire,,
215,"The fire is extinguished when oxygen is lost, because oxygen disappeared at that moment as water was sprayed.",,
216,It's cold,,
217,This is basic common sense,,
218,Water blocks oxygen and lowers the temperature,,
219,This is because it blocked the heat under the conditions that caught fire.,,
220,The water seems to have been turned off by lowering the temperature of the fire because the temperature of the water is cold.,,
221,This is because oxygen or burning substances were removed or oxygen was removed with water to lower the heat.,,
222,Because the fire goes out when you put it in the water,,
223,"The fire went out because the cloth got cold, and the air was blocked while spraying water, so the fire went out.",,
224,It lowers the temperature and blocks oxygen.,,
225,I don't know,,
226,The fire is weaker than water,,
227,The water overcomes the fire,,
228,It's because water blocks oxygen,,
229,"Water and fire have opposite properties, so water put out the fire",,
230,It's because the temperature dropped dramatically,,
231,You can put out the fire with water,,
232,Because water lowers the temperature,,
233,It's because the fever has cooled down,,
234,The water is stronger than the fire,,
235,Because of digestion.,,
236,The water is cold,,
237,"If you pour cold water on the hot iron, the cold water purifies the hot fire",,
238,Pour low-temperature water over high-temperature heat,,
239,"The water was cold, so I made a blanket",,
240,I don't know.,,
241,It seems that they sprayed water because the fire is weak in water and the fire goes out.,,
242,The water is liquid,,
243,"Because water has moisture,",,
244,The heat in the fire cooled off because of the water and the fire was vaporized out.,,
245,I don't know),,
246,Water cools down,,
247,"The warm heat of the fire is transferred to the water, and when the heat of the fire disappears, the fire disappears.",,
248,Because the fire goes out well in the water?,,
249,I don't know.,,
250,The heat went out of the water,,
251,It's not oil,,
252,That's because one of the conditions under which the fire occurs disappears when water is sprayed,,
253,The heat cools down and the fire goes out,,
254,"A fire can only be ignited at a certain temperature, but it is because the temperature drops below that temperature by spraying water with high specific heat",,
255,Because the hot temperature goes down,,
256,The water seeps into the fabric and the air is blocked,,
257,Because water lowers the temperature,,
258,The temperature rises to the fire temperature and then decreases as the water rises,,
259,Because of the water,,
260,Because I lowered the temperature of the iron plate by spraying water,,
261,I don't know,,
262,It's because oxygen is blocked,,
263,It blocks oxygen for a second,,
264,It is because fire is weak in water.,,
265,Fire and water have different properties,,
266,"It was a temperature that could cause a fire, but it was because the temperature went down after spraying water",,
267,My temperature has cooled down,,
268,This is because oxygen is blocked.,,
269,This is because the temperature was not above the ignition point.,,
270,The fire was extinguished because it turned to a temperature below the ignition point by spraying water among the three conditions on fire.,,
271,Because the water extinguished the fire.,,
272,I don't know.,,
273,It's because it cooled the heat that exceeded the ignition point,,
274,It's because the fire changes the state of the water with water vapor,,
275,Because I sprayed water,,
276,The water is cold,,
277,It's because water meets fire and instantly meets water vapor to control the fire,,
278,It is because water overcomes fire.,,
279,It lowers the temperature of the iron plate by spraying water,,
280,Because it blocks oxygen,,
281,The fire is extinguished because water absorbs the heat energy of the fire and lowers the temperature below the ignition point.,,
282,Because water blocks oxygen,,
283,Because they shut off the oxygen,,
284,It's cold,,
285,Water lowers the temperatureWest,,
286,The temperature drops below the ignition point,,
287,"Among the firing conditions, the firing point is lowered and burned as it is.",,
288,This is because the temperature has gone down.,,
289,The temperature drops below the ignition point,,
290,The fire is extinguished when water is sprayed^^,,
291,?,,
292,I'll do a good job of suppressing the initials,,
293,I don't know.,,
294,I don't understand.,,
295,"This is because the temperature, dryness, and dryness of heat above the ignition point, which are the conditions under which the fire burns, disappear.",,
296,Water blocks oxygen,,
297,Lower the heat with waterWest,,
298,I lowered the ignition point,,
299,Water cools you down,,
300,Water and fire are the opposite ingredients,,
301,Because the temperature is right back to normal.,,
302,Because the water's image wins the fire's image,,
303,The temperature went down,,
304,Water lowers the temperature to extinguish the fire.,,
305,I poured water,,
306,This is because water is a property that can extinguish a fire.,,
307,Water lowers the temperature of the fire,,
308,This is because the temperature was lowered again by spraying water.,,
309,This is because water absorbed heat from the iron plate and evaporated after contacting it.,,
310,It blocks oxygen,,
311,It lowers the temperature,,
312,I don't know,,
313,This is because the oxygen needed for the fire to burn is blocked.,,
314,"Oxygen is needed for a fire to burn, but if water is sprayed, oxygen supply is blocked.",,
315,This is because spraying water lowers the temperature.,,
316,This is because the water blocked oxygen.,,
317,This is because firefighters put out the fire with water.,,
318,Because water has the power to extinguish a fire,,
319,Because the oxygen needed to keep the fire burning was blocked,,
320,The water is cold and shuts off the air to extinguish the fire,,
321,below the point of ignition point,,
322,This is because the ignition point has been lowered.,,
323,Water has a high specific heat and can extinguish a fire,,
324,"""",,
325,"Covering hot temperatures with cold temperatures?""",,
326,The fire can be extinguished because the temperature was lowered by spraying water while it was raised to a certain temperature.,,
327,The temperature dropped sharply by spraying water to extinguish the fire.,,
328,This is because the temperature of the iron plate fell below the ignition point.,,
329,Turn off the fire by cutting off contact with the air and lowering the temperature,,
330,This is because the temperature was lowered by blocking contact with the air,,
331,This is because the temperature drops by spraying water and carbon dioxide is generated instead of oxygen.,,
332,"By placing water on the fire, oxygen is blocked and the temperature on the clothes drops rapidly.",,
333,This is because the fire has disappeared among the three causes that can burn.,,
334,This is because water instantly blocks the oxygen supply of fire and takes away the temperature of fire as water evaporates.,,
335,This is because the fire is in contact with the air while meeting water.,,
336,Because the temperature is lowered ^-^,,
337,The temperature went down,,
338,Fire is weak with water,,
339,The water gets rid of the fire,,
340,I don't know,,
341,Because the hot fire cooled the hot heat by water,,
342,"If you spray water on hot heat, it could turn off",,
343,The water-heated iron lowers the temperature,,
344,"Because of the water, the air is not working",,
345,Because it cools down the temperature.,,
346,ã,,
347,"""The heat has cooled down",,
348,"""",,
349,Fire is weak against water,,
350,Water can digest fire,,
351,"Since the temperature of the fire is high and the water temperature is low, if you spray water on the fire, the temperature of the fire is also low",,
352,"Water is also heavy, so it goes out when the fire is pressed.",,
353,"When the fire and water meet each other, the fire and water are immediately extinguished, leaving only water Therefore, the water gets a little hot.",,
354,with a cold temper,,
355,I don't know,,
356,"If you spray water on a hot fire, the fire will be deprived of mislead, and if you cover it with water, the fire will come alive.",,
357,Because the heat went down when I sprayed water,,
358,The fire seems to have cooled off because of the heat,,
359,The fire goes out when the temperature is low,,
360,The fire went out in the water.,,
361,The temperature is below the ignition point,,
362,Because the fever is gone.,,
363,The temperature drops below the ignition point,,
364,Because one of the three factors is missing,,
365,One of the three elements needed to catch fire is missing,,
366,The heat goes down below the ignition point,,
367,The water is stronger than the fire,,
368,Fire and water are the opposite,,
369,It's because the temperature drops,,
370,It went below the ignition point,,
371,The water is on fire,,
372,Because I met the conditions for digestion,,
373,This is because the cold air in the water holds the heat in the rim.,,
374,Because it's not above the ignition point.,,
375,"The conditions for combustion are de-materials, temperatures above the ignition point, and oxygen, which decreases the temperature at the moment of spraying water.",,
376,"The temperature of the fire is lowered by the temperature of the water, which is why the fire is extinguished",,
377,The temperature of the iron plate drops below the ignition point,,
378,"If you spray water, the fire will turn off",,
379,It is because hot heat is controlled by water.,,
380,"The fire starts at a temperature above the ignition point, but when sprayed, the fire goes out because the temperature of the iron plate drops below the ignition point",,
381,This is because cold water lowered the temperature of the hot fire.,,
382,It's cold,,
383,This is because water is lower than the temperature of fire.,,
384,De-materials and cold substances met and the fire went out,,
385,Lower the ignition point,,
386,by lowering the temperature,,
387,Make it lower than the ignition point,,
388,The fire goes out when it hits the water,,
389,at a temperature below the ignition point,,
390,I don't know,,
391,Water lowers the temperature of the iron plateWest,,
392,"Cut off oxygen supply, lower temperature",,
393,It's because the water turns off the fire,,
394,Fire is weak with water,,
395,Since it's off,,
396,Water is weaker than fire,,
397,The fire got low,,
398,The fire went out because the water is cold when you pour it in,,
399,The heat of the iron got cold,,
400,The water is cold,,
401,Because water is cold.,,
402,The temperature went down,,
403,"It needs burning substances, oxygen, and firing temperature to catch fire, but when water is sprayed, the firing temperature decreases and the fire is extinguished.",,
404,The water is cold and the fire is hot. The fire is cold,,
405,Fire and water are at odds,,
406,Cold water and hot fire would meet and extinguish,,
407,ã,,
408,It's cold now,,
409,The water is cooler in fire and water.,,
410,Oxygen is needed to burn the fire because water blocks oxygen.,,
411,The fire is weak with water,,
412,This is because the temperature has decreased.,,
413,Because fire can be extinguished with water.,,
414,The water digests the fire,,
415,It's a scientific principle.,,
416,This is because water lowers the temperature of a hot fire.,,
417,Because the water burns the fire?,,
418,This is because water blocks oxygen in the fire.,,
419,"Fire should have oxygen, but if you spray water, oxygen disappears and the fire goes out.",,
420,"Air is needed to burn, but spraying water reduces oxygen and extinguishes the water.",,
421,I don't know.,,
422,because of the nature of fire,,
423,"When you pour water, the air in the fire disappears and the fire goes out.",,
424,I met something cold,,
425,The water blocks the fire,,
426,by cooling with water,,
427,"Fire burns well when there is air, but when you pour water, oxygen disappears.",,
428,This is because water lowers the temperature of a hot fire.,,
429,This is because the fire goes out quickly when the water touches it.,,
430,I can put out the fire with water,,
431,Because water puts out the fire.,,
432,The temperature that reached the ignition point went down,,
433,"Because when you spray water, the air disappears in the spray due to pressure",,
434,"Fire needs oxygen to catch fire, but it blocks oxygen",,
435,Use water to extinguish the fire.,,
436,Pour water over hot heat and cool it down,,
437,The fire goes out with water.,,
438,"When water is sprayed, oxygen used when it is burned is blocked, and when water is poured, the fire is extinguished.",,
439,The water killed the fire,,
440,The water makes the fire go out,,
441,Water blocks oxygen,,
442,be blocked from oxygen,,
443,Water can put out the fire,,
444,Because the water has a lower temperature?,,
445,The water caused the temperature to go down and shut off oxygen,,
446,"In order to maintain the fire, air is needed or a substance to be burned, and when water is sprayed, the air is blocked and the fire is extinguished.",,
447,be caused by one's temperature,,
448,Fire goes out without oxygen,,
449,Because it lowered the temperature.,,
450,This is because water has blocked the air needed to burn.,,
451,"When a fire catches fire, it needs temperature and oxygen above the ignition point, but when water is sprayed, the temperature decreases and oxygen is blocked, so the fire is extinguished.",,
452,"Because the iron plate is cloth, it is easily extinguished when water is sprayed when it is on fire.",,
453,It's because the temperature was lower than the ignition point where the fire started by spraying water,,
454,Of course the fire goes out when it hits the water,,
455,"This is because when water is sprayed, it goes below the ignition point.",,
456,Fire goes down in the water,,
457,Water can't hold fire,,
458,Because the fire was caused by heat.,,
459,Fire is weak with water,,
460,Because he digested BLACKP,,
461,"There was no fire-risk substance like oil around the iron, so it could quickly extinguish even if you pour water.",,
462,The water is cold,,
463,It's broken,,
464,"Since the fire is cold,",,
465,The heat went out,,
466,Because water can turn off the fire.,,
467,Since it's off,,
468,The water shut off the oxygen,,
469,"If you spray water, the fire will go out",,
470,Because they're different?,,
471,I can turn it off with water,,
472,Fire is weak against water,,
473,I turn off the fire with water,,
474,It may be because water can extinguish the fire.,,
475,as the fire was extinguished by the water,,
476,"When fire and water meet, the fire goes out",,
477,"If you spray water, the fire will go out",,
478,Because the fire goes out when it meets water,,
479,This is because fire is the opposite of water.,,
480,frictional force,,
481,Because water blocks oxygen,,
482,The water cools down when it meets cold hot water,,
483,This is because the heat subsides when you put it in water,,
484,Cold makes it worse,,
485,The cold one cools you down the hot one,,
486,Water can extinguish a fire.,,
487,Because the heat is gone out of the three necessary things.,,
488,It's cold,,
489,Pour something cold in the hot water,,
490,Because you can put out the fire with water.,,
491,I sprayed water to lower the temperature,,
492,It prevents oxygen from being supplied,,
493,The temperature went down,,
494,Oxygen doesn't come in,,
495,I lowered the temperature below the ignition point,,
496,"Because the water lowered the temperature of the fire,",,
497,The temperature went down,,
498,I lowered the temperature,,
499,..,,
500,Because the water lowers the temperature.,,
501,Water is a cold liquid,,
502,The fire goes out easily with water,,
503,I don't know,,
504,out of temperature,,
505,I have no idea.,,
506,"If you turn it off with water, it'll turn off",,
507,"""It's better than the ignition point temperature""",,
508,"""",,
509,I don't know.,,
510,I don't know...,,
511,--,,
512,I lost my temper,,
513,M and D,,
514,"It's not an oil fire, it's just a fire that goes out into the water.",,
515,I don't know.,,
516,".........water is low temperature and fire is high temperature, so as we meet each other, the temperature is warm and the bottom light is out.",,
517,Let's cool it down,,
518,Because it's cooled down.,,
519,I don't know.,,
520,The temperature got better because of the cold water,,
521,This is because the temperature was lowered by spraying water on the hot fire.,,
522,"""Because I sprayed water on the cloth,",,
523,"""",,
524,The iron plate is hot and water evaporates if you put it in,,
525,I don't know.,,
526,"Because water has the property of cooling or not sinking hot things,",,
527,It's a building that can get rid of fire,,
528,Fire can be extinguished with water.,,
529,Water has the property of extinguishing the fire,,
530,Because the temperature goes down,,
531,It's not a big fire...,,
532,You can turn off the fire with water,,
533,It's water,,
534,I don't know,,
535,It's because the water is strong.,,
536,Wow,,
537,"Oxygen is needed to catch fire, because spraying water can block oxygen.",,
538,Water lowered the temperature and blocked oxygen from entering the fire.,,
539,This is because the oxygen was blocked and the heat cooled heat.,,
540,This is because the water dropped the temperature.,,
541,"This is because the water lowered the temperature of the iron plate. When water is poured into the iron plate and cooled, the temperature of the iron plate decreases, which does not meet the heat of the three conditions of combustion. It can also serve to block oxygen gas.",,
542,Because the water extinguished the fire,,
543,This is because water blocks the oxygen supply of fire and allows the temperature to fall below the ignition point.,,
544,This is because the temperature of the iron plate was lowered due to wetting and difficulty in contact with oxygen.,,
545,"Because the fire was caused by the high temperature, the fire could be extinguished easily with water",,
546,"This is because the temperature was lowered to water under conditions of temperature (ignition point), oxygen, and de-materials that can catch fire.",,
547,"If any of the above three conditions of combustion, temperature above the ignition point, de-material, or oxygen are not satisfied, combustion does not occur, and water lowers the temperature below the ignition point or blocks oxygen to extinguish the fire.",,
548,"Oxygen is needed to catch fire, and spraying water not only lowers the temperature but also blocks oxygen.",,
549,It blocks oxygen,,
550,This is because the water lowered the temperature of the iron plate below the ignition point.,,
551,"This is because oxygen around the iron plate was temporarily blocked, and the temperature of the iron plate fell below the firing point.",,
552,"Above, there were elements that satisfied the de-matter and firing temperature. However, by spraying water on the lit iron plate, the cloth, which is a de-material, becomes wet and eventually becomes non-de-material. Therefore, the fire was extinguished because it did not satisfy the firing conditions.",,
553,"Fire can only be created and maintained when oxygen is present. If water is sprayed on the place where the fire broke out, oxygen is blocked and the fire cannot be maintained.",,
554,This is because water takes off the energy of the iron plate and cuts off the oxygen supply.,,
555,"Fire occurs when high temperatures, burning substances, and oxygen are provided. If water is sprayed, the temperature of the fire will be lowered. In addition, since oxygen is blocked, the fire is extinguished because the conditions under which the fire is generated are not satisfied.",,
556,The fire was extinguished by causing the temperature of the iron plate on which the water was lit to fall below the ignition point.,,
557,"When water is sprayed on the lit iron plate, the water evaporates by the heat of the iron plate and evaporates with the heat of the iron plate. Therefore, the fire is extinguished because the temperature of the iron plate is lower than the temperature of the burning point of the cloth.",,
558,"Oxygen is an essential factor for a fire to burn. Without oxygen, fire cannot burn, but by spraying water, oxygen can be instantly blocked and the fire can be extinguished.",,
559,"This is because the temperature of the iron plate on fire was lowered through water. The temperature of the iron plate, which was raised above the ignition point, was lowered below the ignition point to extinguish the fire.",,
560,"There is de-material, there is oxygen. However, the fire was extinguished because the temperature was lowered by spraying water.",,
561,The fire goes out in the water.,,
562,I'll lower the temperature,,
563,The water is colder,,
564,The water is unique,,
565,.,,
566,"This is because the water was covered, blocking oxygen/ or lowering the temperature of the temperature.",,
567,oxygen blocking,,
568,Because the temperature is low,,
569,There's nothing more to burn,,
570,"Since I sprayed water, the fire will turn off, right?",,
571,Since I sprayed water,,
572,I don't know.,,
573,This is because the temperature was lowered.,,
574,turn off the heat,,
575,"Because the temperature went down,",,
576,Water has hydrogen bonds in its molecular composition and takes away heat,,
577,The fire goes out with water,,
578,?,,
579,I turned off the water,,
580,The air supply is cut off,,
581,Because fire is lost to water.,,
582,Because I can put out the fire with water,,
583,below the ignition temperature,,
584,Because the water can extinguish the fire.,,
585,This is because fire and water are extreme.,,
586,It is because water has the property of extinguishing the fire,,
587,It's cold,,
588,"Since I sprayed water, it's good for digestion",,
589,This is because the heat on the iron plate was temporarily lowered by spraying cold water.,,
590,This is because carbon blocks oxygen.,,
591,taking away the heat,,
592,Because water takes away heat,,
593,Because water can extinguish a fire,,
594,"If you spray water, the fire will turn off",,
595,"Because if you spray water, the fire goes out",,
596,It's because water puts out the fire,,
597,This is because the temperature has decreased.,,
598,Because water and fire are extreme. ex)Pocket Monster Lizamong vs Turtle King,,
599,"This is because as water evaporated, it absorbed the surrounding heat energy and lowered the ambient temperature to a temperature below the ignition point.",,
600,Not to get oxygen,,
601,Water can extinguish the fire,,
602,"Since I turned off the heat,",,
603,It's off because I sprayed water,,
604,I want to go to the bathroom.,,
605,"Since I sprayed water on the fire,",,
606,Because water is stronger than fire,,
607,oxygen blocking,,
608,Water helps block oxygen,,
609,I don't understand.,,
610,Because it went down to the temperature below the point of discord,,
611,This is because pouring water blocks oxygen and lowers the temperature.,,
612,It's because water blocks oxygen,,
613,It's blocked,,
614,It's because the temperature has gone down,,
615,with a low temperature,,
616,"The temperature of the water is low, so the temperature of the cloth is lowered, so the heat is lower than the ignition point, and the fire is extinguished because the water blocks oxygen",,
617,This is because the water cut off oxygen supply from the fire.,,
618,This is because the temperature was below the ignition point and oxygen was blocked by water.,,
619,This is because the fire was not allowed to burn by lowering the temperature.,,
620,"This is because it eliminated elements that catch fire, such as lowering the burning point or blocking oxygen.",,
621,"If you spray water on the fire, it goes out",,
622,It is because the temperature was lowered.,,
623,This is because the water lowered the temperature of the iron plate.,,
624,The water turned off the heat,,
625,The water turns on the fire,,
626,Cooling digestion,,
627,Rising ignition point due to water and blocking oxygen supply,,
628,This is because the water blocks oxygen and drops the temperature.,,
629,This is because the temperature was lowered below the ignition point due to water.,,
630,This is because oxygen is blocked and heat goes down.,,
631,lowering the temperature,,
632,Let's see. Sexy,,
633,This is because water prevents the supply of oxygen that needs fire.,,
634,I think the light went out because the water went in.,,
635,Water in the hot heat will extinguish the fire,,
636,"Air is needed for a fire to burn, because water and underwater air block the air by spraying water.",,
637,This is because water lowers the temperature needed to burn,,
638,"Temperature drop, oxygen shut off",,
639,"This is because when fire and water meet, water blocks fire from meeting oxygen.",,
640,Because water can extinguish the fire,,
641,This is because the temperature of the fire is lower than the ignition point,,
642,I think it's because I cooled the hot heat of the iron.,,
643,"When you pour water, the fire usually goes out.",,
