,1. The sentences below misunderstand the meaning of 'human dignity'. So humans are not the real reason for dignity. So what is the real reason for human dignity?,q56_Features,q56_Unique
167,Human beings are dignified just because they are human.,,
168,It's because I have human rights,,
169,"Human beings are not only those above them, but everyone is dignified in their own right.",,
170,"Humans think they are the strongest, most dignified beings.",,
171,I don't know.,,
172,Because I was born as a human,,
173,Human beings are dignified only because they are human,,
174,"Humans are dignified just because they are human, and cannot infringe on other people's freedom and rights. And people are born with human rights.",,
175,This is because humans are dignified just because they are human.,,
176,"Since human dignity is human, dignity has the right to live a minimal human life.",,
177,It can be said that humans are dignified only by their existence.,,
178,Because it's human.,,
179,"On human dignity, we rely on ourselves without any specific conditions to work hard on that particular task.",,
180,Human beings are dignified because they are human.,,
181,Human beings are dignified in themselves because they are human.,,
182,Because it's human.,,
183,Human beings themselves are dignified.,,
184,"Human beings are dignified by themselves. Therefore, there is no reason.",,
185,"Human beings have natural rights, and everyone has the same dignity. Authorization is dignified in itself, and its value cannot be determined by gender, race, property level, age, appearance, power, and academic background.",,
186,Every human being is dignified. be dignified because one is human,,
187,Humans are dignified because they all have life and have thoughts and strengths in any situation.,,
188,Because humans are thinking animals.,,
189,Human beings are dignified by themselves.,,
190,Human beings are very strict in themselves,,
191,This is because he has the ability to protect and judge himself.,,
192,"Man is not dignified. However, for one's own benefit, they are subjugated by themselves under the social system and only make themselves dignified under the premise of the law.",,
193,Man is not dignified.,,
194,Human beings are dignified beings in their own right.,,
195,"All living things, matter, exist. Some animals have intelligence, such as making tools. However, only humans ask themselves why they exist. Therefore, it can be said that only humans who give meaning to their existence exist unlike other beings, and thus all humans are dignified.",,
196,Human beings are dignified because they are human. Human beings are dignified in their own.,,
197,Because humans are living creatures.Man is dignified because he was born as a human.,,
198,Because I'm a human being,,
199,be dignified because one is human,,
200,I don't understand.,,
201,It's basically a person,,
202,"Because you're human, do you need words?",,
203,We can love each other and feel joy,,
204,..,,
205,Because I'm a human being,,
206,It's alive,,
207,Human beings have a value for dignity because they are human.,,
208,"""Because this is about prejudice, man is not dignified, man is dignified in his own way",,
209,"""",,
210,I don't know.,,
211,The specs should be good,,
212,Human beings,,
213,"""Because I'm just a human being.I think I'm just a human being with dignity.",,
214,"""",,
215,"They're creatures, they're intelligent, they think for themselves, they act for themselves, they realize themselves, they live with others",,
216,Human beings are dignified as human beings,,
217,survive on human grounds,,
218,"Humans are dignified beings just by being human, regardless of race, age, or property.",,
219,"Regardless of race, nationality, or property, humans are all dignified just because they are human.",,
220,Things like freedom and equality are human dignity.,,
221,Hah!,,
222,Because it's human.,,
223,Because humans are humans. The reason for dignity is self-evident.,,
224,Because I'm a human being human,,
225,Human beings are dignified because they think and have their own opinions,,
226,Because it's worth everything,,
227,I don't know,,
228,Humans are all equal and dignified for no reason,,
229,"Human dignity is a man-made justice. We believe that human dignity should be established of course, but in fact, human dignity is contradictory because it is created by the hope that full and rich people will maintain their happiness.We are just the same creatures as all animals on Earth that cannot survive permanently.",,
230,Man is dignified because he was born as a human.,,
231,Human beings are dignified by their existence alone,,
232,the greatest creature,,
233,The reason why humans are dignified is that their existence itself is valuable.,,
234,Human beings are dignified by their existence alone,,
235,have human rights,,
236,"Since I was born, I'm breathing and living,",,
237,Human beings are dignified in their mere existence. Because every human being has dignity.,,
238,Human beings have dignity just because they are human,,
239,Because I was born,,
240,"In fact, humans are not dignified",,
241,Because I'm a human.,,
242,No.,,
243,Because he's a human being human.,,
244,Because I'm a human being,,
245,Human beings are dignified because they are human.,,
246,Human beings are dignified just because they are human and have dignity,,
247,Because people have dignity just because they are human from birth,,
248,Because I was born as a human,,
249,"In fact, humans are not dignified",,
250,Human beings are dignified just because they are human,,
251,"Everyone has human dignity, and even if gender, skin color, appearance, age, etc. are different, human dignity is essential, so human dignity is different from person to person and each person is good at different things",,
252,Moe.,,
253,Because I'm a human being human,,
254,It's a precious creature from heaven!,,
255,I don't know,,
256,Human beings are dignified in themselves because they are human,,
257,This is because humans are dignified in their existence.,,
258,Human beings are dignified simply because they are human beings.,,
259,I don't understand.,,
260,Human beings themselves are dignified.,,
261,Because there is life.,,
262,Because I'm a human being,,
263,Human beings themselves have dignity,,
264,Because I'm a human being,,
265,I don't know.,,
266,be dignified in man's own right,,
267,?,,
268,All human beings are dignified by their birth.,,
269,Dignity is nothing,,
270,All men are dignified,,
271,Human beings are dignified because they can do everything,,
272,Because humans are creatures.,,
273,"Humans are dignified just because they are human, regardless of gender, nationality, or race.",,
274,My mom made me born,,
275,It is dignified because it has human thoughts and is conscientious.,,
276,"This is because it is a life, a precious child of someone, and a person who deserves to be respected.",,
277,Because I'm thinking,,
278,"Because I'm in this world,",,
279,be dignified because one is a man.,,
280,"""Because human dignity has the right idea",,
281,"""",,
282,The reason why humans are dignified is that they have the ability to think right and make judgments.,,
283,"This is because humans are not dignified under any conditions, but because humans are dignified just because they are born.",,
284,Because they are all precious,,
285,People themselves are dignified,,
286,a person's warm heart toward others,,
287,"Humans have their own human rights, their own values, and all human rights, so humans are dignified.",,
288,Because they are all precious beings.,,
289,"A man is a man, a white man, a rich man, an old man, a good-looking man, a powerful man, and a man who does not have dignity after graduating from a good university is dignified in itself.",,
290,Go to the mountains and exercise men,,
291,Because humans deserve respect and are precious,,
292,thinking and speaking,,
293,Because humans are humans.,,
294,"For man is a precious life made by God and given by heaven, and a warrant for all things",,
295,I was able to think and talk,,
296,be dignified because one is humanBecause it's all fair.,,
297,Because humans are humans,,
298,be dignified because it is a life,,
299,"Humans have their own shortcomings and strengths, so they are different depending on the individual and everyone is precious",,
300,Because I was born with life.,,
301,It's alive,,
302,"Everyone has their own personality, strengths and weaknesses, and everyone is dignified.",,
303,It's dignity because it's a person.,,
304,Because he's alive,,
305,be dignified as a human being,,
306,Because they have lives and they all have human rights.,,
307,"""Because he has life and deserves respect",,
308,"""",,
309,"Because they're all thoughtful, emotional, and talkative lives",,
310,Human beings themselves are dignified,,
311,"Because you're considerate, respectful, and think?",,
312,It is because humans are precious creatures from heaven and have the ability to do so,,
313,It is wrong to judge a person's dignity on any condition.Because it depends on the person.,,
314,a man of moral high opinion,,
315,It is dignified because it does what it should do as a human being.,,
316,"Human dignity is not classified by human gender, race, power, and wealth.",,
317,"The meaning of human dignity I thought is ordinary to do everything in daily life that talks, eats, and wraps without treating humans.""",,
318,There is a certain possibility in human nature.,,
319,All men are dignified.,,
320,"Human dignity is not based on gender, physical difference, property, age, and power, but every human being has dignity.",,
321,"Humans cannot evaluate the high and low of dignity according to nationality, person, age, appearance, power, and property. Dignity is something that applies equally to everyone.",,
322,Because humans can share thoughts and help others,,
323,These are all visible.,,
324,"For example, ""H"" respects people."""" That's the right answer.""",,
325,be due to one's moral character,,
326,Someone who can think and respect others,,
327,"This is because humans can think with their heads and act at their disposal, not according to instinct.",,
328,Human beings live by doing good things,,
329,Because all human beings are precious.,,
330,"Since humans are worthy and deserve to be respected by themselves from birth,",,
331,It's because I can respect and be considerate of someone,,
332,"Unlike animals, they have thoughts and live according to reason",,
333,This is because humans can think differently from animals and make their own lives.,,
334,It's because it has an ego unlike animals,,
335,"Unlike animals, humans feel precious and think a lot",,
336,"The reason why humans are dignified is that unlike other animals, they have intelligence to think about.",,
337,"You can use tools and have excellent ability to solve problems. It is also because there is a language, so we can have a conversation.",,
338,This is because humans have intelligence that can think differently from other animals and reason that can translate the idea into action.,,
339,The reason why humans are dignified is that they have the intelligence to think differently from other animals and can carry out what they think.,,
340,"Unlike other creatures, humans can use tools and do things that animals cannot do.",,
341,"It is because he knows how to use tools, is more intelligent than other living things, and is more capable of knowing and solving certain problems",,
342,A man who treats people equally is dignified.,,
343,Human beings are precious lives,,
344,"Human beings have emotions, they can do what robots can't do, and they can develop many things",,
345,Man is dignified because he is born as a man,,
346,"""The reason why people are dignified is that unlike animals, they use tools, and animals live instinctively, but people live with their own ideas.",,
347,"""",,
348,Human beings are dignified because they are human,,
349,G,,
350,A man who is a living and driven man is worthy of dignity,,
351,Because I am precious myself.,,
352,It's dignified because there's only one in the world.,,
353,Because we're all the same human beings,,
354,be dignified because one is a person,,
355,Because I can think,,
356,have power and dignity,,
357,We're the same people and we live in the same world,,
358,Because I was born.,,
359,be dignified because one has power,,
360,The reason why humans are so respectful is that they can think,,
361,Each and every one of us is dignified because we have different values,,
362,Because I have power,,
363,"You can think, you can talk, you can talk to other peoples",,
364,That's because humans were born one in 4.5 billion minutes.,,
365,The reason why humans are dignified is that they can think and judge,,
366,"Because humans are all different, they have different values and different thoughts. Therefore, all human beings are dignified.",,
367,be dignified because one is a man,,
368,I don't know.,,
369,I have emotions,,
370,I don't have it's,,
371,E,,
372,Yukmingwan Middle School,,
373,F,,
374,Man is dignified because he cannot be changed by anything and is the only one in the world.,,
375,"Human dignity is not determined by standards, but there is dignity because it is human itself. Since human dignity must be equal, these sentences are not based on equality, so they are not the real reason for human dignity.",,
376,"This is because everything, such as gender, status, and age, is irrelevant and is a thinking entity.",,
377,"All human beings are dignified. So it is not right to weigh dignity by any standard. Humans live in a community while living in this world, and everyone lives equally. So all human beings are dignified.",,
378,"Human beings have dignity just by being human. Therefore, human beings are dignified.",,
379,"Humans are dignified regardless of gender, race, or ability because they are dignified in themselves.",,
380,Of course human beings are dignified because they were born as human beings,,
381,"Since all humans are equal and born with natural rights, it is impossible to judge humans on a specific basis, so all humans are dignified.",,
382,"Human dignity is gender, race, education, private property, age, appearance.It is not because of power, but because of dignity as a person himself.",,
383,There is no reason for human dignity. The reason a person is dignified is just because he is.,,
384,Because it's just human.,,
385,"Humans are not dignified only when certain conditions are satisfied, but they are dignified beings that deserve respect from their birth itself.",,
386,Human beings are dignified by themselves.,,
387,"It is dignified that it exists regardless of gender, race, property, age, appearance, power, study, etc.",,
388,"The reason why I think humans are dignified is that humans are living creatures and have a wide variety of emotions and reason at the same time. In addition, humans can control and control themselves and try to live accordingly with their values.",,
389,"Humans are dignified because they are all equal and guaranteed human rights regardless of gender, occupation, religion, race, degree of wealth, education, and class.",,
390,"Human beings have dignity by themselves. Therefore, with human rights, dignity cannot be violated in any case. If the sentences are correct in the meaning of dignity understood, humans can be dignified only in limited cases, so the rest of us do not have dignity.",,
391,Because I live in this world as a human being.,,
392,"As can be seen in the Constitution and the Universal Declaration of Human Rights, it stipulates that any human being, regardless of educational background, gender, or race, deserves dignity and should be guaranteed.",,
393,"Humans have a dignified value for the reason that any human being, regardless of gender, race, property, age, or appearance, is a human being.",,
394,"This is because humans are just a part of the world and affect many things around them. And because everything is connected like a thread, it is not an exaggeration to say that humans make up this world.",,
395,"Humans have lives that cannot be created even if science develops, and unlike other animals, they have reason, so they are dignified because they have the power to think about society or develop society or science.Because it's all fair.",,
396,Because humans are humans,,
397,be dignified because it is a life,,
398,"Humans have their own shortcomings and strengths, so they are different depending on the individual and everyone is precious",,
399,Because I was born with life.,,
400,It's alive,,
401,"Everyone has their own personality, strengths and weaknesses, and everyone is dignified.",,
402,It's dignity because it's a person.,,
403,Because he's alive,,
404,be dignified as a human being,,
405,Because they have lives and they all have human rights.,,
406,"""Because he has life and deserves respect",,
407,"""",,
408,"Because they're all thoughtful, emotional, and talkative lives",,
409,Human beings themselves are dignified,,
410,"Because you're considerate, respectful, and think?",,
411,It is because humans are precious creatures from heaven and have the ability to do so,,
412,It is wrong to judge a person's dignity on any condition.Because it depends on the person.,,
413,a man of moral high opinion,,
414,It is dignified because it does what it should do as a human being.,,
415,"Human dignity is not classified by human gender, race, power, and wealth.",,
416,"The meaning of human dignity I thought is ordinary to do everything in daily life that talks, eats, and wraps without treating humans.""",,
417,There is a certain possibility in human nature.,,
418,All men are dignified.,,
419,"Human dignity is not based on gender, physical difference, property, age, and power, but every human being has dignity.",,
420,"Humans cannot evaluate the high and low of dignity according to nationality, person, age, appearance, power, and property. Dignity is something that applies equally to everyone.",,
421,Because humans can share thoughts and help others,,
422,These are all visible.,,
423,"For example, ""H"" respects people."""" That's the right answer.""",,
424,be due to one's moral character,,
425,Someone who can think and respect others,,
426,"This is because humans can think with their heads and act at their disposal, not according to instinct.",,
427,Human beings live by doing good things,,
428,Because all human beings are precious.,,
429,"Since humans are worthy and deserve to be respected by themselves from birth,",,
430,It's because I can respect and be considerate of someone,,
431,"Unlike animals, they have thoughts and live according to reason",,
432,This is because humans can think differently from animals and make their own lives.,,
433,It's because it has an ego unlike animals,,
434,"Unlike animals, humans feel precious and think a lot",,
435,"The reason why humans are dignified is that unlike other animals, they have intelligence to think about.",,
436,"You can use tools and have excellent ability to solve problems. It is also because there is a language, so we can have a conversation.",,
437,This is because humans have intelligence that can think differently from other animals and reason that can translate the idea into action.,,
438,The reason why humans are dignified is that they have the intelligence to think differently from other animals and can carry out what they think.,,
439,"Unlike other creatures, humans can use tools and do things that animals cannot do.",,
440,"It is because he knows how to use tools, is more intelligent than other living things, and is more capable of knowing and solving certain problems",,
441,A man who treats people equally is dignified.,,
442,Human beings are precious lives,,
443,"Human beings have emotions, they can do what robots can't do, and they can develop many things",,
444,Man is dignified because he is born as a man,,
445,"""The reason why people are dignified is that unlike animals, they use tools, and animals live instinctively, but people live with their own ideas.",,
446,"""",,
447,Human beings are dignified because they are human,,
448,G,,
449,A man who is a living and driven man is worthy of dignity,,
450,Because I am precious myself.,,
451,It's dignified because there's only one in the world.,,
452,Because we're all the same human beings,,
453,be dignified because one is a person,,
454,Because I can think,,
455,have power and dignity,,
456,We're the same people and we live in the same world,,
457,Because I was born.,,
458,be dignified because one has power,,
459,The reason why humans are so respectful is that they can think,,
460,Each and every one of us is dignified because we have different values,,
461,Because I have power,,
462,"You can think, you can talk, you can talk to other peoples",,
463,That's because humans were born one in 4.5 billion minutes.,,
464,The reason why humans are dignified is that they can think and judge,,
465,"Because humans are all different, they have different values and different thoughts. Therefore, all human beings are dignified.",,
466,be dignified because one is a man,,
467,I don't know.,,
468,I have emotions,,
469,I don't have it's,,
470,E,,
471,Yukmingwan Middle School,,
472,F,,
473,Man is dignified because he cannot be changed by anything and is the only one in the world.,,
474,"Human dignity is not determined by standards, but there is dignity because it is human itself. Since human dignity must be equal, these sentences are not based on equality, so they are not the real reason for human dignity.",,
475,"This is because everything, such as gender, status, and age, is irrelevant and is a thinking entity.",,
476,"All human beings are dignified. So it is not right to weigh dignity by any standard. Humans live in a community while living in this world, and everyone lives equally. So all human beings are dignified.",,
477,"Human beings have dignity just by being human. Therefore, human beings are dignified.",,
478,"Humans are dignified regardless of gender, race, or ability because they are dignified in themselves.",,
479,Of course human beings are dignified because they were born as human beings,,
480,"Since all humans are equal and born with natural rights, it is impossible to judge humans on a specific basis, so all humans are dignified.",,
481,"Human dignity is gender, race, education, private property, age, appearance.It is not because of power, but because of dignity as a person himself.",,
482,There is no reason for human dignity. The reason a person is dignified is just because he is.,,
483,Because it's just human.,,
484,"Humans are not dignified only when certain conditions are satisfied, but they are dignified beings that deserve respect from their birth itself.",,
485,Human beings are dignified by themselves.,,
486,"It is dignified that it exists regardless of gender, race, property, age, appearance, power, study, etc.",,
487,"The reason why I think humans are dignified is that humans are living creatures and have a wide variety of emotions and reason at the same time. In addition, humans can control and control themselves and try to live accordingly with their values.",,
488,"Humans are dignified because they are all equal and guaranteed human rights regardless of gender, occupation, religion, race, degree of wealth, education, and class.",,
489,"Human beings have dignity by themselves. Therefore, with human rights, dignity cannot be violated in any case. If the sentences are correct in the meaning of dignity understood, humans can be dignified only in limited cases, so the rest of us do not have dignity.",,
490,Because I live in this world as a human being.,,
491,"As can be seen in the Constitution and the Universal Declaration of Human Rights, it stipulates that any human being, regardless of educational background, gender, or race, deserves dignity and should be guaranteed.",,
492,"Humans have a dignified value for the reason that any human being, regardless of gender, race, property, age, or appearance, is a human being.",,
493,"This is because humans are just a part of the world and affect many things around them. And because everything is connected like a thread, it is not an exaggeration to say that humans make up this world.",,
494,"Humans have lives that cannot be created even if science develops, and unlike other animals, they have reason, so they are dignified because they have the power to think about society or develop society or science.Because all men are equal.",,
495,This is because humans are dignified just because they are humans without conditions.,,
496,It's because it's,,
497,be dignified as a human being,,
498,Human beings are dignified because they are human.,,
499,745465,,
500,We are dignified because we are all the same human beings,,
501,All men are born equal and dignified,,
502,There is no reason to be discriminated against by being born as a human being.,,
503,F,,
504,Because I'm a human being,,
505,"Humans have dignity because they are just humans, regardless of gender, race, or property.",,
506,Humanity itself is dignity,,
507,He is dignified because he is a man.,,
508,Because humans have dignity unconditionally as soon as they are born,,
509,Human beings are dignified because they are life.,,
510,Because humans have dignity unconditionally as soon as they are born,,
511,Human beings are dignified because they are life,,
512,The world is a scary place,,
513,Because I was born when I was born.^^,,
514,"Humans all have personalities from birth, and humans are worth being dignified by themselves.",,
515,Human beings are not beings of dignity.,,
516,respect for human beings,,
517,Because humans can think and live by helping each other,,
518,B is dignified because he is white-eyed.,,
519,yes,,
520,Because humans are dignified.,,
521,Human beings are also dignified because everything that has life is dignified.,,
522,be dignified as a human being,,
523,Because I was born as a human.,,
524,Because it's human.,,
525,Human dignity has no particular characteristics,,
526,This is because humans were all born in the same way and each person thinks differently.,,
527,Because humans think and have morality.,,
528,This is because humans have decided at will that they are dignified.,,
529,Human beings are dignified to be alive.,,
530,I think we think humans are dignified because we are humans. All living things must be identified.,,
531,Because it's human.,,
532,I don't know.,,
533,He is dignified because he was born a human being.,,
534,I don't know.,,
535,"Man is not dignified. But not everyone is not without dignity. A dignified human being is dignified because he tried to be dignified. Therefore, people who have not tried like them are not dignified. Therefore, all humans are not dignified, but there is a dignified person among them. This means that not having dignity is not dignity, but just as all are not dignity, dignity is dignity, but not all are dignity. Dignity and non-dignity work at the same rate in everyone.",,
536,Because it's human.,,
537,I can feel the emotions,,
538,be dignified because one is human,,
539,Because all human beings have equal rights.,,
540,Because life is precious,,
541,Human beings are dignified because they are human,,
542,"I understand the meaning of ""human dignity""",,
543,"There is no reason for human dignity, just dignity.",,
544,We are dignified as a life. I don't need a condition for dignity.,,
545,Because we're all equal,,
546,"It's dignity because it's a human being, not because of what you have.",,
547,Human beings are dignified by themselves.,,
548,All men are equal,,
549,People born in the world are obligated to receive equal rights and freedom,,
550,Human beings are dignified as human beings.,,
551,be a man of property,,
552,Every human being has dignity from birth,,
553,"Human beings have life, so everyone is dignified",,
554,I'm just a person,,
555,Having a natural right by birth represents human dignity in itself,,
556,Because all men are equal,,
557,The real reason for human dignity can only be known when it comes out of prejudice.,,
558,"Since all humans are dignified, they cannot judge dignity by university, status, age, or gender.",,
559,"Human dignity refers to the ideology that a person is worthy of existence just because he or she is human, and that personality should be respected. Human dignity is an expression of the idea of natural human rights that humans are born with rights from birth, and it refers to the principle that the value of dignity should be guaranteed and respected just because it is human.",,
560,"Human beings are dignified only by their existence with life, and there is no standard for judging the position of each other's dignity in humans.",,
561,"Human beings are dignified only by their existence with life, and there is no standard for judging the position of each other's dignity in humans.",,
562,"Human dignity is worth its existence just because it is human.Therefore, A, B, C, D, E, F, and G are all wrong because they judge people by men, whites, property, age, appearance, power, and university.",,
563,There is no need for a reason for human dignity.,,
564,There is no reason for human dignity.,,
565,"Humans as humans themselves should be respected by others and should not be discriminated against by appearance, property, gender, or educational background. Human beings have dignity because they are human.",,
566,"Because humans were born, because they exist in this world, and because they exist according to the laws of nature, I think humans themselves should be dignified.",,
567,"Human beings are dignified, no matter what conditions they are, for their own reasons",,
568,"Human dignity refers to the ideology that a person is worthy of existence just because he or she is human, and that personality should be respected. Human dignity is an expression of the idea of natural human rights that humans are born with rights from birth, and it refers to the principle that the value of dignity should be guaranteed and respected just because it is human.",,
569,"Human beings are born with human rights. Humans are dignified in themselves because they have inviolability that no one can infringe on and have the natural rights granted by heaven. For thousands of years, humans have formed a society and lived as top predators. It can be said that it has made a clear distinction from animals, such as uniting and fighting to protect ourselves, and establishing laws and systems to protect our rights. Humans have the ability to think differently from animals and have lived with that ability, so humans can be said to be dignified.",,
570,"The reason for human dignity cannot be related to the reasons for the above examples. This is because humans are beings that are precious and should be respected by themselves. If one respects those people just because they are handsome and have a lot of money, this society will not operate normally. Recognizing everyone's dignity in a democratic society would be a shortcut to a desirable society.",,
571,Humans are all dignified regardless of any conditions because everyone is born equal with character.,,
572,I think humans are dignified and valuable just because they are humans.,,
573,"The reason why humans are dignified is because they are humans themselves. Not because he graduated from a good university, but because he is not a specific gender, he is the only one and should be respected. Human beings are dignified in their very existence.",,
574,"Humans are equal as humans themselves. The above examples classify humans into gender, skin color, property, age, appearance, power, and educational background. It is wrong to divide humans into specific groups and think that only that group is dignified. Humans have the right to be respected from birth, and this right cannot be violated by anyone, and is given equally to everyone. Therefore, all human beings are dignified.",,
