,1) Let's talk about the exploration process that the scientist who discovered the unexplained phenomenon decides on the inquiry problem and then goes on to the next step,q27_hypothesis,q27_Other exploration
166,"Collect data from experiments, observations, and measurements",,
167,Scientists are essential for future life,,
168,Let's begin our quest,,
169,Make an inquiry plan with prior research.,,
170,ã,,
171,planning an inquiry,,
172,I don't know.,,
173,a hypothetical,,
174,I don't know,,
175,All right.,,
176,Investigate in order,,
177,Yes.,,
178,make an inquiry plan,,
179,Determine the question of inquiry and investigate the problem.,,
180,Let's do an experiment,,
181,I don't like it.,,
182,Investigate the subject of inquiry.,,
183,Investigate the accuracy of whether the problem can be safe or appropriate and debatable.,,
184,an exploratory plan,,
185,Find and experiment with data related to the phenomenon and observe it.,,
186,"1. Make a hypothesis. 2. Test the hypothesis (if wrong, make a different hypothesis).",,
187,exploratory observation,,
188,I think I'll check it again and make an announcement.,,
189,I look for phenomena related to it,,
190,examine the subject of inquiry in detail,,
191,"Uh, collecting evidence?",,
192,data collection,,
193,to investigate the question of inquiry,,
194,I don't know.,,
195,I forgot.,,
196,Exploring,,
197,I don't know.collecting research materials,,
198,"""To investigate",,
199,"""",,
200,determine the cause of,,
201,?,,
202,Start exploring and put into knowledge.,,
203,Let's do an experiment.,,
204,To think of ways to solve an inquiry problem/collect its related materials,,
205,I don't know...,,
206,To set a topic for exploration,,
207,"If you prepare materials for inquiry, do experiments, submit reports, and find out something special, patent(?) I don't know much about it",,
208,I don't know.,,
209,Study hard.,,
210,Forgot.,,
211,?,,
212,Think about the object of inquiry.,,
213,Investigating and collecting data on inquiry problems,,
214,"After that, think more about the inquiry problem and pre-investigate and record what is necessary for the inquiry problem. We need to investigate.",,
215,Find out about the problems you're going to explore,,
216,Obtain the necessary supplies for exploration.,,
217,.,,
218,I don't know,,
219,Exploring,,
220,I'm going to ask NAVER's,,
221,It's a must-have question,,
222,I don't know.,,
223,Then I explore it.,,
224,I don't know.,,
225,planning an inquiry,,
226,Haha,,
227,"Uh, um, I don't know",,
228,planning an inquiry,,
229,I don't know,,
230,I don't know,,
231,Hypothesis setting,,
232,To gather evidence to prove the phenomenon,,
233,Hypothesis setting,,
234,I think about the way I thought of it,,
235,Hypothesis setting,,
236,hypothesis setting,,
237,make a hypothesis,,
238,I don't know,,
239,I don't know.,,
240,Research knowledge or books related to the phenomenon.,,
241,"First, I research with a computer, and secondly, I ask scientist HANTAE",,
242,I'm investigating,,
243,Observe and measure,,
244,I don't know.,,
245,Find the data on what to explore in places such as the Internet.,,
246,"Find the data or go to the site to prepare for the experiment, and when it is ready, officially start",,
247,I don't know.,,
248,"First, decide the subject to be explored, then find out the subject to be investigated, and write the contents to question the exploration.",,
249,I ponder why I cannot explain why. And they collect data from observations.,,
250,Let's explore if we can explain it,,
251,keep an eye on the problem,,
252,I observe...,,
253,I don't know.,,
254,I don't know.,,
255,collect data,,
256,I forgot...,,
257,? Do not understand the problem,,
258,establish a hypothesis about the phenomenon,,
259,Let's observe,,
260,I'm going to do an experiment,,
261,Expected experimental results,,
262,Hmm? I don't know,,
263,Establish a hypothesis,,
264,Hypothesis setting,,
265,I don't know,,
266,We expect the results of the experiment,,
267,hypothesis setting,,
268,establish a hypothesis,,
269,conduct an experiment to solve a problem,,
270,a liberal arts major,,
271,Establish a hypothesis and then conduct an experiment.,,
272,hypothesis setting,,
273,"Establishes a hypothesis about why, obtains results through experiments and inquiry, and determines the hypothesis through the results",,
274,Make a hypothesis.,,
275,Establish a hypothesis and explore it.,,
276,a deductive inquiry process,,
277,Observation,,
278,Development of a plan of inquiry activities,,
279,I don't know.,,
280,Hypothesis Deductive Exploration Method,,
281,Make a hypothesis.,,
282,Assume the phenomenon and predict the results of the inquiry.,,
283,"To modify a theory by generating principles through observation or intuition, and then empirically verifying specific results derived through deductive reasoning",,
284,devise a way to explore,,
285,Development of a plan of inquiry activities,,
286,"Design observation methods and procedures, make actual observations, and interpret observation results.",,
287,It is the design of the observation method and procedures.,,
288,I don't know,,
289,Hypothesis setting,,
290,Find a formula or experiment that can explain this phenomenon,,
291,"After considering the hypothesis, research related data.",,
292,hypothesis setting,,
293,Sorry,,
294,All right.,,
295,Collection of data,,
296,Designing an ExplorationI don't know.,,
297,I don't understand.,,
298,deductive inquiry method,,
299,Hypothesis setting,,
300,I don't know,,
301,Hypothesis setting,,
302,deductive methods of inquiry,,
303,Planning an inquiry,,
304,Hypothesis setting,,
305,Hypothesis Setting-Experiment-Conclusion Drawing,,
306,hypothesis setting,,
307,Hypothesis setting,,
308,establish a hypothesis,,
309,I don't know.,,
310,establish a hypothesis,,
311,Establish a hypothesis and proceed with the experiment.,,
312,M and D,,
313,"Make observations. Recognize problems. Establish a hypothesis. Design an exploratory experiment. Conduct an exploratory experiment. Analyze the results. Draw a conclusion. Check with the hypothesis and generalize if it is correct, reset the hypothesis if it is wrong",,
314,I don't know.,,
315,.,,
316,I don't know.,,
317,It's going to be far.,,
318,Estimate the associated phenomena by setting a hypothesis.,,
319,Make a hypothesis.,,
320,Establishing a hypothesis,,
321,find a way to prove the question of inquiry,,
322,hypothesis setting,,
323,I want to experiment more on the problem and know it in detail,,
324,Data collection,,
325,hypothesis setting,,
326,establish a hypothesis,,
327,Observation > Hypothesis > Experimental Design > Experiment > Results Analysis > Conclusions > Generalization,,
328,tentative conclusion setting,,
329,Hypothesis setting,,
330,hypothesis setting,,
331,Identifying the Problem,,
332,Hypothesis Setting - Manipulation - Observation Experience - Verification,,
333,Establish a hypothesis that is a tentative answer.,,
334,1)Hypothesis Setting Experimental Planning Experimental Exploration Conclusion,,
335,"Write down your thoughts in advance, such as hypotheses.",,
336,Establish a hypothesis,,
337,I'm going to do an experiment,,
338,Research preparation,,
339,I don't know.,,
340,ã,,
341,very well,,
342,I don't know,,
343,I don't know,,
344,I don't know,,
345,I don't know.,,
346,in a very pretty way,,
347,"Make observations, gather data to measure.",,
348,"""I don't know",,
349,"""",,
350,QUESTION,,
351,I'm experiment,,
352,It explores and observes the process of inquiry and collects data.,,
353,....,,
354,Collect ancient data from experiments.,,
355,I think scientists will do their best even if they fail.,,
356,Explore.,,
357,I don't know,,
358,explore the phenomenon,,
359,make observations,,
360,Observation and data on the problem.I think I need to collect pictures,,
361,"After the investigation, we start by exploring the suspicious areas",,
362,I don't know.,,
363,Continue to study the hypothesis outside of tax,,
364,Collecting data,,
365,Hypothesis setting,,
366,explored,,
367,1.a week 3.well,,
368,Observation,,
369,I don't know,,
370,See how it changes,,
371,I'm observing,,
372,I don't know,,
373,''',,
374,I don't know.,,
375,look up the phenomenon,,
376,"Observe it, gather data.",,
377,Make a hypothesis.,,
378,I don't know.,,
379,Regret 1,,
380,ã,,
381,ã,,
382,Collect and select various information.,,
383,I'm experiment,,
384,I don't know.,,
385,I'm planning.,,
386,Data analysis,,
387,"To learn, experiment and explore the phenomenon",,
388,Yeah.,,
389,"Hypothesis setting, inquiry design, inquiry performance, data collection and interpretation, conclusion drawing, generalization",,
390,conducting an inquiry,,
391,planning,,
392,I don't know,,
393,to study unexplained phenomena,,
394,Resting eye control,,
395,decide on a topicI'm just exploring.,,
396,I don't know.,,
397,I don't know.,,
398,I don't know,,
399,Observation,,
400,Establishing an inquiry,,
401,Plan and prepare for the experiment,,
402,I'm exploring that's all,,
403,Variable control,,
404,make an inquiry plan,,
405,Determining an inquiry plan,,
406,make observations and conduct experiments,,
407,make observations,,
408,I'm exploring,,
409,We keep looking at the phenomenon,,
410,Collect data.,,
411,Troubleshooting,,
412,Do an investigation.,,
413,investigation,,
414,an investigation into the matter,,
415,I don't know.,,
416,Decide on the question of inquiry and write down what to explore,,
417,conduct experiments in person,,
418,We look at the data measured during the experiment and learn the opinions of various scientists.,,
419,"It is to observe, measure, and investigate.",,
420,Prepare for exploration.,,
421,Collect data on the subject.,,
422,I'm studying why it happens,,
423,collecting data,,
424,study the phenomenon,,
425,I'm exploring,,
426,Observe and record.,,
427,Study hard.,,
428,Do an investigation.,,
429,Experiment. - So that you know the question of exploration,,
430,Create an exploration plan.,,
431,I'm going to do my research in detail and organize what I've explored things,,
432,Scientists begin to explore the question of inquiry,,
433,make a plan of inquiry,,
434,It seems that it is to continue to observe phenomena that cannot be explained and find characteristics.,,
435,hypothesis setting,,
436,Establish a hypothesis.,,
437,Hypothesis setting,,
438,Establish a hypothesis.,,
439,Prepare for exploration by establishing a hypothesis.,,
440,Analyze the determined inquiry problem.,,
441,establish a hypothesis,,
442,establish a hypothesis,,
443,We need to find evidence,,
444,Survey,,
445,I'm experiment,,
446,Analyze the question of inquiry,,
447,We establish a hypothesis that predicts the results that can be derived by obtaining an inquiry.,,
448,Why did this happen?,,
449,Setting up a hypothesis,,
450,Make a hypothesis.,,
451,Hypothesis setting,,
452,We will set up a hypothesis to predict the results in advance.,,
453,It is a summary of the contents to be explored on the question of inquiry.,,
454,"For the first time, a hypothesis is established based on the phenomenon. Next, I do various experiments to see if my hypothesis is correct. It would be nice if the experiment succeeded at once, but if not, we continue this process until we can explain the phenomenon by establishing another hypothesis.",,
455,I don't know the process of inquiry,,
456,Make a hypothesis.,,
457,Experimental preparation,,
458,Let's make a hypothesis,,
459,Decide whether it is right or not.,,
460,deductive inquiry experiment,,
461,Collect data from observations and measurements during the experiment,,
462,Execution of the inquiry process,,
463,Find evidence on the question of inquiry,,
464,I don't know,,
465,Evidence data,,
466,Exploration activities,,
467,Write the action and experimental conditions on the plan to be explored.,,
468,experiment,,
469,Observation,,
470,I'm exploring?,,
471,collect data,,
472,explore in more detail,,
473,Collect measured data.,,
474,Collect measured data.,,
475,Collect data observed and measured during the experiment.,,
476,likely to explore,,
477,I don't know.,,
478,make a hypothesis,,
479,write a hypothesis,,
480,ê°ì¤ì ë¨¼ì  ì¸ì°ê³  ê·¸ ê°ì¤ì ê¸°ì¤ì¼ë¡ ì´ê² ê°ì¤ì ë§ëì§ ìê°íê³  ê·¸íìì ê´ì°°íë¤. If them one by one and assumptions and assumptions and other points after writing the reasons for why that happens with different.,,
481,Make a hypothesis.,,
482,A Study on the experiment and observe.,,
483,Pass the plan inquiry,,
484,ê·¸ íìì ëí´ ê´ì°°íë¤.,,
485,Observation and experiment.,,
486,Experiment,,
487,íêµ¬ê³íì ì§ê³  ë³ì¸íµì ë íë¤ì ì¤íìíë¤.,,
488,Exploration plans.,,
489,I were at the scene to investigate them.,,
490,Experiment.,,
491,Make a hypothesis.,,
492,Explore to make a plan.,,
493,Experiment.,,
494,Test plans.Make a plan for an experiment.,,
495,Experiment.,,
496,Prepare plans and supplies to conduct the experiment.,,
497,I don't know,,
498,Experiment.,,
499,I don't understand...,,
500,I don't know.,,
501,Experiment.,,
502,I'm experiment,,
503,I don't know.,,
504,Observing,,
505,I don't know,,
506,I don't know,,
507,"""I don't know",,
508,"""",,
509,I don't know.,,
510,I don't know...,,
511,I don't know,,
512,I can let people know.,,
513,M and D,,
514,"If it's a phenomenon that you can't explain with knowledge, you can explain it with knowledge.",,
515,I don't know.,,
516,I don't know,,
517,Experiment and observe,,
518,"After completing the study, we will study why this phenomenon looks like again.",,
519,have no idea,,
520,study the phenomenon,,
521,I think I will study and study the phenomenon.,,
522,I don't know,,
523,Investigate the scene of him.,,
524,I don't know.,,
525,To investigate and study matters of inquiry,,
526,to study the phenomenon,,
527,I don't know.,,
528,You need to investigate and observe the unexplained phenomenon and know about it,,
529,Let's begin our quest,,
530,I'm sorry. I don't knowcrying,,
531,I don't know.,,
532,The answer to the question must be considered.,,
533,Survey,,
534,I don't understand.,,
535,What did you do?,,
536,We will find evidence and judge facts in an inductive way by setting inquiry problems and establishing hypotheses.,,
537,"After establishing a hypothesis, it is confirmed how consistent it is with the hypothesis through various experiments or studies according to the hypothesis.",,
538,A specific hypothesis for the inquiry problem is established.,,
539,Let's hypothesize that the problem will be solved in some way.,,
540,"Establish a hypothesis after establishing a question of inquiry. And experiment with that hypothesis. If the experiment was successful, the hypothesis was generalized through several more experiments, and if the experiment failed, a new hypothesis was made through feedback on where the problem was.",,
541,"Look for similar phenomena, plan an experiment on unexplained phenomena, and then if you find out about them through experiments, you will disconnect the results and write a report",,
542,"Make a hypothesis about the phenomenon you think. And experiment and explore according to the hypothesis. If the hypothesis is proved to be wrong in the process of exploration, it is explored again by establishing a correct hypothesis.",,
543,"Data Research - Establishing a Method of Exploration - Exploration, Experiment - Drawing Conclusions - Generalization",,
544,Think about how this happens and plan how to analyze and explore it,,
545,"After determining the inquiry problem, investigate related phenomena and investigate similar phenomena. Based on the research, find out if there are any principles or knowledge that can be applied to the inquiry questions you have set. After analyzing the inquiry problem and clearly analyzing what you know and don't know, research is conducted to know and find out what you don't know. Guess what you don't know through the commonalities or characteristics that can be found in what you know. Based on the results of the study, various hypotheses are established and proved.",,
546,"As a deductive inquiry method, a hypothesis is first established, and the hypothesis is tested to determine whether the hypothesis is true, and as an inductive inquiry method, various phenomena are first investigated and data are collected to draw common conclusions from the data.",,
547,I will think about the phenomenon first and then make a predictable hypothesis.,,
548,"First, when the inquiry problem is determined, a solution to the inquiry problem or a hypothesis about the cause of it is established, and the problem is expected and predicted. And we start working on the problem in earnest. First, the cause or background of the problem is investigated according to the scientific phenomenon, various information is obtained, and various information is organized into several branches to draw conclusions.",,
549,Make a hypothesis and conduct an experiment to prove it. Analyze the experimental results and repeat the experiment until the results match the hypothesis.,,
550,"When the inquiry problem is determined, a hypothesis that seems to be able to explain the inquiry topic is established, and an experiment is conducted to prove the hypothesis.",,
551,"To solve the inquiry problem, we first hypothesize. After establishing a hypothesis, data is collected accordingly, experimented accordingly, and evidence is collected to prove one's hypothesis. And if the conclusion and your hypothesis match, your hypothesis becomes true, and if it does not match the hypothesis, you must repeat the previous part again.",,
552,Establish a hypothesis for the set inquiry problem.,,
553,"By studying previous studies and basic knowledge related to unexplained phenomena, background knowledge on unexplained phenomena is activated. In addition, experiments are conducted in relation to unexplained phenomena and previous studies or in relation to the regularity of the phenomena, accumulated data, and then investigated based on the data.",,
554,"If a scientist finds a phenomenon, he or she should hypothesize that it occurs. In order to understand the reason for the phenomenon, experiments and observations must be conducted, because the purpose of such a process is the right or wrong of the hypothesis. If an experiment is conducted without a hypothesis, a proper experiment cannot be selected, and it is difficult to draw a conclusion.",,
555,"After determining the inquiry problem, hypothesize the problem, control various variables, design experiments, and conduct experiments. Various results obtained through experiments are synthesized and analyzed to draw common and generalizable conclusions.",,
556,"First, you establish a hypothesis for the phenomenon, design an experiment based on the hypothesis, derive statistical experimental results through many experiments under various conditions, and compare it with your hypothesis to determine whether your hypothesis is correct or wrong.",,
557,"After the scientist has decided on the question of inquiry, he will hypothesize it. After establishing a hypothesis, experiment and observe based on it and measure the data.",,
558,"After deciding on the question of inquiry, I will first accumulate background knowledge through various materials related to the topic. After accumulating background knowledge, I will make an inquiry plan related to the topic. Such an inquiry plan may include an experimental plan or an observation plan. After conducting an inquiry based on this inquiry plan, the inquiry problem can be solved by deriving the results.",,
559,"After seeing the phenomenon, investigate the environment and time in which the phenomenon occurred. And observe the phenomenon and collect data. Based on the data, the phenomenon is viewed again and the causal relationship is organized. It then presents opinions on unexplained phenomena and supplements them and draws conclusions by discussing them with other scientists.",,
560,"""I expect that.",,
561,"make a hypothesis about the question of inquiry""",,
562,"After discovering a problem, we inductively grasp and explore new knowledge through various knowledge",,
563,set a problem and hypothesize about the problem,,
564,inductive,,
565,.,,
566,Research activities such as experiments are conducted to investigate similar cases or to verify that the answer is correct by arbitrarily setting the answer.,,
567,Hypothesis setting,,
568,Phenomenon discovery-Hypothesis setting-Experiment setting-Experiment initiation-Result analysis-Result derivation...,,
569,Experiment,,
570,You'll be amazed,,
571,Deductive Exploration Method,,
572,I don't know,,
573,Make a hypothesis.,,
574,I'm going to solve the problem,,
575,I don't know.,,
576,Data research,,
577,Establishing a hypothesis,,
578,I don't know.,,
579,Observe and record,,
580,Investigate and present it in theory,,
581,I don't know.,,
582,collect data,,
583,Hypothesis setting,,
584,Experiment.,,
585,deductive inquiry process,,
586,Find another example.,,
587,I'm experiment,,
588,hypothesis setting,,
589,"Recheck whether there is any knowledge missed about the phenomenon, and if there is no knowledge, establish a hypothesis with the knowledge you know as much as possible.",,
590,Make a hypothesis.,,
591,Experiment,,
592,draw a conclusion,,
593,"You start to hypothesize why the object to be explored is so and prove the hypothesis.After establishing a hypothesis, conduct an experiment accordingly",,
594,I set up a hypothesis,,
595,`,,
596,Hypothesis setting,,
597,a scientific process of inquiry,,
598,an experimental plan,,
599,Planning,,
600,a hypothetical,,
601,Experiment,,
602,Mora,,
603,Experiment,,
604,ã,,
605,Well.,,
606,deductive inquiry,,
607,Findings,,
608,design an experiment,,
609,deductive inquiry,,
610,Hypothesis Experiment Draw conclusions,,
611,We experiment with the phenomenon under various conditions.,,
612,"""",,
613,deductive inquiry,,
614,Problem recognition -> observe many phenomena -> derive general principles,,
615,I don't know,,
616,Find the cause and effect of the phenomenon and experiment on a small scale or partial basis,,
617,Consider how to observe.,,
618,"Establish a hypothesis and conduct an experiment to verify that your hypothesis is correct, and if not, modify the hypothesis.",,
619,a hypothesis-up,,
620,It is a deductive method of inquiry.,,
621,hypothetical deductive,,
622,Make a hypothesis and conduct an experiment to explore.,,
623,hypothesis deductive inquiry,,
624,establish a hypothesis,,
625,Writing a thesis,,
626,I'm not sure.,,
627,Problem recognition,,
628,Collect data.,,
629,Make a hypothesis.,,
630,Continue to observe and find the laws or rules in them.,,
631,Hypothesis setting,,
632,Let's see. Sexy,,
633,Experiment.,,
634,Try to explore.(Observation),,
635,I'm finding out,,
636,I look for materials related to the subject.,,
637,Setting up hypotheses Planning experiments Demonstrating phenomena based on data from experiments,,
638,Set Hypothesis > Explore > Check Hypothesis > Decide,,
639,establish a hypothesis,,
640,Planning an inquiry,,
641,Establish a hypothesis based on the experimental results predicted by yourself.,,
642,I think I'll figure it out any way.,,
643,Let's look into the phenomenon in more detail.,,
644,Let's explore first.,,
645,"Make a hypothesis about the cause of the phenomenon. Experimental groups and control groups are set according to the hypothesis, experiments are designed, and experiments are conducted. Check if the hypothesis is correct based on the experimental results.",,
646,I look it up,,
647,"Deciding on topics, exploring, organizing research",,
648,gather data from observations and measurements,,
649,Hypothesis Setting-Experimental Design-Experimental Conduct-Conclusion-Generalization,,
650,A hypothesis is established by guessing the cause of the phenomenon through the situation in which the phenomenon occurred.,,
651,Let people know,,
652,Establish a hypothesis.,,
653,Hypothesis Setting-Experimental Design-Experimental Results-Generalization,,
654,Assignment research,,
655,Collect data observed and measured while exploring.,,
656,"After that, I will find the content, record it as it is, and let people know.",,
657,Hypothesis Setting-Experimental Design-Experimental Conduct-Feedback-Conclusion-Generalization,,
658,informing people about the situation,,
659,"Get your things ready, start your quest according to the process of inquiry, and organize the process of inquiry",,
660,"After deciding on the question of inquiry, we do the process of inquiry",,
661,"""Exploration Topic""",,
662,Can't people fly like birds?,,
663,1. Compare the body of a bird with the body of a person.,,
664,2. Think about why birds can fly.,,
665,"3. After installing the safety device, try following the bird's flight.""",,
666,I don't know.,,
667,Explore unexplained phenomena.,,
668,"Find data about the problem or find knowledge that would be good to know more about it, or summarize the reasons for the problem",,
669,It is taken to the Blue House to seek advice from Princess Park Geun Hye.,,
670,"You look for data on the problem, you come up with a plan to explore, and you follow the plan",,
671,To determine the necessary preparations for exploration,,
672,Make a hypothesis and experiment And make sure it matches your hypothesis and draw conclusions,,
673,Make a hypothesis and do an experiment,,
674,"Establish a hypothesis, conduct an experiment, and verify that it fits the initial hypothesis",,
675,Let's do research,,
676,"When you start an exploration, you make a hypothesis to show the phenomenon you want to seek, and you do an exploration or experiment to find out why the phenomenon occurs, draw a conclusion if it is right, or if the experiment is wrong, you re-explore the hypothesis.",,
677,Ah.,,
678,I don't like it.,,
679,Iron Man,,
680,Hypothesis setting,,
681,"Owl, owl, owl",,
682,Don't know,,
683,Exploring the Hypothesis Setting for Observation of Phenomenon Problems Drawing Conclusions,,
684,I see,,
685,deductive inquiry,,
686,Exploration design,,
687,Exploration Design Problem Recognition Hypothesis Setting Exploration Design Exploration Performance Conclusion Drawing Conclusion Analysis Generalization,,
688,Chinese zodiac sign,,
689,It's far away,,
690,hypothesis setting,,
691,establish a hypothesis,,
692,Exploration Process DesignLet's look at the object of inquiry,,
693,"Now that we've decided on a question of inquiry, we should start exploring.",,
694,Prepare for exploration,,
695,Hypothesis setting,,
696,We make several hypotheses and experiment on them,,
697,Symptom Observation > Problem Recognition > Hypothesis Settings > Exploration Design > Exploration Performance > Conclusion Drawing > Generalization,,
698,establish a hypothesis,,
699,I'm going to do an inquiry and design,,
700,various experiments,,
701,Exploring,,
702,I will write an inquiry report.,,
703,Study why that happens.,,
704,Wouldn't it be the beginning of an inquiry after seeing the question of inquiry?,,
705,It's an investigation,,
706,Organize and write it down,,
707,Exploration plan â Exploration start â Exploration memo â Exploration organization â Exploration presentation,,
708,Experiment,,
709,Find out why that is happening.,,
710,Find out why that is happening.,,
711,See why that's happening,,
712,Hypothesis Setting - The process of establishing a hypothesis in anticipation of the results of the inquiry.,,
713,Collect data that are observed and measured during experiments.,,
714,We study why that happens,,
715,I will investigate and observe the phenomenon as much as I can,,
716,"After collecting the data, analyze and interpret it.",,
717,"Data are collected, analyzed, and interpreted.",,
718,Let's start exploring.,,
719,explore to solve the inexplicable phenomenon,,
720,discover its properties and provide supporting be able to make money,,
721,"Hypothesis, exploration design, investigation performance",,
722,Observe phenomena that cannot be explained and collect measured data.,,
723,Making a theory,,
724,"Once you have decided on a problem, you should solve the problem to solve it.",,
725,discover its properties and provide supporting Because I can make money.,,
726,Making a theory,,
727,Making a theory,,
728,Let's solve the question of inquiry,,
729,"After collecting data, experiment and explore.",,
730,Design an experiment and try it.,,
731,"To solve the question of inquiry, we begin to explore",,
732,"Recognition of problems, design of observation methods and procedures, performance of observation, interpretation of observation results, and conclusion drawing",,
733,hypothesis setting,,
734,"Establish a hypothesis, solve it, and produce results",,
735,"Establish a hypothesis, solve it, and produce results",,
736,I don't know.,,
737,E,,
738,I don't know,,
739,hypothesis setting,,
740,Problem recognition,,
741,I don't know.,,
