,1) What would be good for consumers if different bakeries compete with each other?, q51_price,q51_quality,q51_diversity,q51_benefit
312,It allows consumers to have better quality products and more reasonable consumption.,,,,
313,have a wide range of choices,,,,
314,"Through competition, prices are lowered and various events are held",,,,
315,I don't know.,,,,
316,cheaper and higher quality than,,,,
317,You can get better quality products.,,,,
318,It's going to be far.,,,,
319,Consumers can buy cheaper.,,,,
320,You can get various items at a lower price.,,,,
321,Various consumption is available.,,,,
322,Various services will be implemented to attract more consumers,,,,
323,"If prices go down by competing with each other, consumers can buy bread at a lower price",,,,
324,Consumers have more choices and can taste a variety of confectionery,,,,
325,"The two will compete and the price will drop, and the service will be better to catch up with the consumer",,,,
326,You can buy confectionery at a lower price.,,,,
327,Consumers can buy better and better products because they want to sell more by offering better benefits to each other,,,,
328,You can get better products and services.,,,,
329,Cheaper prices and better quality products are available to consumers.,,,,
330,h,,,,
331,You can get better quality products.,,,,
332,It's cheap and you can get good publicity,,,,
333,lower prices to benefit each other,,,,
334,"The quality of the food sold by bakeries has improved, so you can buy better products.",,,,
335,You can receive high-quality products at low prices and have more right to know information.,,,,
336,Bakery stores offer a lot of services because they compete to sell a lot of each other.,,,,
337,"By creating a better service and sales environment to compete with each other to attract more consumers, consumers will become a fool.",,,,
338,You can buy bread at a lower price,,,,
339,More diverse services are available,,,,
340,You can get better service,,,,
341,You can make more money,,,,
342,"You can buy things cheaper, you can buy things from a nicer person.",,,,
343,"The service is good, and it's good for consumers",,,,
344,They will provide good service to each other,,,,
345,I don't know,,,,
346,"You can buy various things, food",,,,
347,Cheaper price or make bread more delicious,,,,
348,service to customers the improvement in prices,,,,
349,I don't know,,,,
350,Changed differently,,,,
351,I'll try to buy something better.,,,,
352,"If you lower prices with each other while competing, consumers can buy bread at a cheaper price",,,,
353,I don't know,,,,
354,"They sell cheaper, more bread, and better bread. back",,,,
355,Consumers can buy many things.,,,,
356,"If you compete and try to create a better service, you will find a better service for the consumer.",,,,
357,Consumers can buy from various bakeries.,,,,
358,The price goes down.,,,,
359,"You can buy as much as you want, and sometimes you get it for free",,,,
360,It is because they make better ingredients to buy in their own store and sell cheaper so that they can buy well.,,,,
361,The price is getting cheaper,,,,
362,I don't know.,,,,
363,I can buy something better,,,,
364,You can get cheaper prices and more services,,,,
365,You can get better quality products at a lower price.,,,,
366,.......,,,,
367,You can try more,,,,
368,It's getting cheaper,,,,
369,ãã´ã±ë£ããã¡ã´í¼íã,,,,
370,You can see other breads,,,,
371,I can eat more delicious bread,,,,
372,ãBbbbbbbbbbbbbbbbbb,,,,
373,The price can be cheap or the product can be improved.,,,,
374,The price goes down further.,,,,
375,h,,,,
376,h,,,,
377,You can make a better product.,,,,
378,I don't know.,,,,
379,You can buy the price cheaply,,,,
380,h,,,,
381,h,,,,
382,Consumers can buy better quality bread at a lower price.,,,,
383,There are more bakeries,,,,
384,be cheaper,,,,
385,The price could be cheaper.,,,,
386,You can eat a variety of food and sometimes you can benefit from it economically,,,,
387,The price goes down,,,,
388,a lot of things,,,,
389,The service improves. The quality of the bread improves. The price goes down.,,,,
390,Consumers can buy cheap and good products.,,,,
391,"Even if one bakery disappears, you can buy snacks at another bakery.",,,,
392,You can buy better and cheaper products.,,,,
393,"As they compete with each other, prices are lowered and there are many sales. Therefore, consumers can buy things at a low price.",,,,
394,You can eat various kinds of bread.,,,,
395,"""Bakery stores pay more attention to health and hygiene to make each other healthier and better breadlower prices to use and attract customers",,,,
396,"""Even if one bakery disappears, you can go to another bakery and buy bread.""",,,,
397,Because many people go to delicious bakery,,,,
398,You can eat various kinds of bread.,,,,
399,You can go to a bakery with more delicious snacks,,,,
400,I can buy more bread,,,,
401,Consumers can buy things at a low price because they lower the price if they compete with each other,,,,
402,You can buy things at a lower price.,,,,
403,"Bakery stores compete with each other, lowering prices, and consumers buy things at cheaper prices.",,,,
404,It's getting cheaper,,,,
405,provide good service to consumers,,,,
406,"""Many bakeries make better products to sell to consumers than other bakeries",,,,
407,"It's going to lower the price, and consumers are going to go around a lot of bakeries, quality, price",,,,
408,"You will be able to buy a low product.""",,,,
409,"Consumers can eat at many bakeries, so they can feel many drinks.",,,,
410,They compete with each other and try to develop themselves better than competing bakeries.,,,,
411,I think I can buy many things,,,,
412,You can buy good things.,,,,
413,You can buy a better one,,,,
414,Consumers can easily choose a better bakery.,,,,
415,You can buy the same thing cheaply.,,,,
416,You can buy better ingredients and cheaper prices.,,,,
417,"The price can be reduced. Also, there are many new menus.",,,,
418,You can eat better and more delicious bread.,,,,
419,Consumers can buy things at a lower price,,,,
420,to be able to eat various breads,,,,
421,Consumers can buy food cheaper and get a lot of services.,,,,
422,You can buy good products at a cheaper price than before.,,,,
423,You can buy things cheaply.,,,,
424,It is good because bakery shops compete with each other and give consumers a lot of benefit.,,,,
425,"If several bakeries compete with each other, it will be good for consumers because they try to attract consumers in many ways, such as good service in stores and lower prices.",,,,
426,You can choose the most delicious and cheaper bread.,,,,
427,You can buy better things.,,,,
428,I went to eat many kinds of food.,,,,
429,Consumers can choose a better bakery and spend better,,,,
430,"You can buy items at a better, cheaper price.",,,,
431,You can eat it at a delicious and cheaper bakery.,,,,
432,I can make other bread and eat various kinds of bread.,,,,
433,You can buy cheap food and get good services.,,,,
434,You can buy things that you need to buy at a little cheaper.,,,,
435,The two stores compete to lower the price so that they can pay less,,,,
436,The good thing about competing with each other is that more consumers will be able to walk in various ways.,,,,
437,"You can buy better quality items cheaply because you compete for prices, services, products, etc.",,,,
438,"Their bakery needs to be better in many ways than other bakeries to attract more consumers, so they will manage store facilities and menus harder and better to create a better environment for consumers.",,,,
439,It is offered to consumers with better quality and better prices,,,,
440,Better service and quality products can be consumed.,,,,
441,You can get various benefits,,,,
442,You can get better products and get cheaper.,,,,
443,"Bakery stores will compete with each other to bring in consumers by lowering prices or improving quality, which will allow consumers to make more profits at the same price.",,,,
444,Consumers can purchase cheaper and higher-quality products because they try to provide better services and are likely to sell them cheaper.,,,,
445,There's more to choose from,,,,
446,"As the service and quality of products of bakeries increase, consumers have a wider range of choices.",,,,
447,to be able to live a better life than before,,,,
448,You can choose and choose and buy the same product at a cheaper price.,,,,
449,We can compare products to each other,,,,
450,"If you compete, you can compete with higher quality and prices to make profits between bakery stores, so that consumers can get higher quality and reasonable prices",,,,
451,Bakery stores will offer better products and better services because they are trying to attract consumers competitively. It can be a good thing for consumers because it will eventually provide better services and products to consumers.,,,,
452,It can give consumers better things because different bakeries compete and try to make better things,,,,
453,Consumers can get better quality goods.,,,,
454,Consumers can get better bread or services because bakeries compete with each other and try to do better.,,,,
455,It is more cost-effective.,,,,
456,It will provide higher quality services to consumers and lower prices.,,,,
457,You can compare the prices of the two places and go to a cheaper place to buy them.,,,,
458,"In order to secure a consumer base, the two companies will try to provide better services to consumers.",,,,
459,I can see where is better and where is better,,,,
460,a decline in prices It tastes better. Can prevent a bakery's monopoly.,,,,
461,"If you compete, you will try to sell better facilities and at better prices, so consumers can enjoy better rights",,,,
462,The price of the product will be cheaper because they compete with each other,,,,
463,You can compare the price and taste.,,,,
464,Compete with each other to increase the quality of the confectionery or lower the price,,,,
465,I don't know.,,,,
466,You can get new confectionery and solutions from competition.,,,,
467,I can see the knowledge I didn't know.,,,,
468,"Near the bakery,",,,,
469,It's better to lower the price in competition,,,,
470,I can tell which place is more delicious,,,,
471,You can buy it cheaply when you lower the price to attract more customers.,,,,
472,You can eat more delicious bread,,,,
473,Cheaper and better quality,,,,
474,You can get a good one,,,,
475,You can get more variety of things you need,,,,
476,We all buy two stores,,,,
477,You can eat a lot of different foods and compare them to each other at a more delicious bakery,,,,
478,Convenient.,,,,
479,There will be more events and discounts to attract more customers.,,,,
480,You can get better products.,,,,
481,You'll think it's rude,,,,
482,"""You can eat cheaper and better things, you can get better service",,,,
483,"""",,,,
484,to be able to spend better,,,,
485,"Because we think about how to sell to consumers in a better way while competing with each other, if we compete with each other, the price can be lowered and we will try to provide better services to each other. Therefore, consumers can buy products with better service and lower prices.",,,,
486,You can spend better.,,,,
487,The price goes down,,,,
488,Consumers can get a lot of slack,,,,
489,You can find out the characteristics of the two bakeries by going to both bakery A and bakery B.,,,,
490,You can get the girl you want,,,,
491,I feel like I'm going to be harmed,,,,
492,Consumers can benefit more.,,,,
493,You can buy things cheaply by lowering the price to attract a lot of consumers from each other. And you can get new things.,,,,
494,You can get a better one.lower prices to use and attract customers,,,,
495,"""Even if one bakery disappears, you can go to another bakery and buy bread.""",,,,
496,Because many people go to delicious bakery,,,,
497,You can eat various kinds of bread.,,,,
498,You can go to a bakery with more delicious snacks,,,,
499,I can buy more bread,,,,
500,Consumers can buy things at a low price because they lower the price if they compete with each other,,,,
501,You can buy things at a lower price.,,,,
502,"Bakery stores compete with each other, lowering prices, and consumers buy things at cheaper prices.",,,,
503,It's getting cheaper,,,,
504,provide good service to consumers,,,,
505,"""Many bakeries make better products to sell to consumers than other bakeries",,,,
506,"It's going to lower the price, and consumers are going to go around a lot of bakeries, quality, price",,,,
507,"You will be able to buy a low product.""",,,,
508,"Consumers can eat at many bakeries, so they can feel many drinks.",,,,
509,They compete with each other and try to develop themselves better than competing bakeries.,,,,
510,I think I can buy many things,,,,
511,You can buy good things.,,,,
512,You can buy a better one,,,,
513,Consumers can easily choose a better bakery.,,,,
514,You can buy the same thing cheaply.,,,,
515,You can buy better ingredients and cheaper prices.,,,,
516,"The price can be reduced. Also, there are many new menus.",,,,
517,You can eat better and more delicious bread.,,,,
518,Consumers can buy things at a lower price,,,,
519,to be able to eat various breads,,,,
520,Consumers can buy food cheaper and get a lot of services.,,,,
521,You can buy good products at a cheaper price than before.,,,,
522,You can buy things cheaply.,,,,
523,It is good because bakery shops compete with each other and give consumers a lot of benefit.,,,,
524,"If several bakeries compete with each other, it will be good for consumers because they try to attract consumers in many ways, such as good service in stores and lower prices.",,,,
525,You can choose the most delicious and cheaper bread.,,,,
526,You can buy better things.,,,,
527,I went to eat many kinds of food.,,,,
528,Consumers can choose a better bakery and spend better,,,,
529,"You can buy items at a better, cheaper price.",,,,
530,You can eat it at a delicious and cheaper bakery.,,,,
531,I can make other bread and eat various kinds of bread.,,,,
532,You can buy cheap food and get good services.,,,,
533,You can buy things that you need to buy at a little cheaper.,,,,
534,The two stores compete to lower the price so that they can pay less,,,,
535,The good thing about competing with each other is that more consumers will be able to walk in various ways.,,,,
536,"You can buy better quality items cheaply because you compete for prices, services, products, etc.",,,,
537,"Their bakery needs to be better in many ways than other bakeries to attract more consumers, so they will manage store facilities and menus harder and better to create a better environment for consumers.",,,,
538,It is offered to consumers with better quality and better prices,,,,
539,Better service and quality products can be consumed.,,,,
540,You can get various benefits,,,,
541,You can get better products and get cheaper.,,,,
542,"Bakery stores will compete with each other to bring in consumers by lowering prices or improving quality, which will allow consumers to make more profits at the same price.",,,,
543,Consumers can purchase cheaper and higher-quality products because they try to provide better services and are likely to sell them cheaper.,,,,
544,There's more to choose from,,,,
545,"As the service and quality of products of bakeries increase, consumers have a wider range of choices.",,,,
546,to be able to live a better life than before,,,,
547,You can choose and choose and buy the same product at a cheaper price.,,,,
548,We can compare products to each other,,,,
549,"If you compete, you can compete with higher quality and prices to make profits between bakery stores, so that consumers can get higher quality and reasonable prices",,,,
550,Bakery stores will offer better products and better services because they are trying to attract consumers competitively. It can be a good thing for consumers because it will eventually provide better services and products to consumers.,,,,
551,It can give consumers better things because different bakeries compete and try to make better things,,,,
552,Consumers can get better quality goods.,,,,
553,Consumers can get better bread or services because bakeries compete with each other and try to do better.,,,,
554,It is more cost-effective.,,,,
555,It will provide higher quality services to consumers and lower prices.,,,,
556,You can compare the prices of the two places and go to a cheaper place to buy them.,,,,
557,"In order to secure a consumer base, the two companies will try to provide better services to consumers.",,,,
558,I can see where is better and where is better,,,,
559,a decline in prices It tastes better. Can prevent a bakery's monopoly.,,,,
560,"If you compete, you will try to sell better facilities and at better prices, so consumers can enjoy better rights",,,,
561,The price of the product will be cheaper because they compete with each other,,,,
562,You can compare the price and taste.,,,,
563,Compete with each other to increase the quality of the confectionery or lower the price,,,,
564,I don't know.,,,,
565,You can get new confectionery and solutions from competition.,,,,
566,I can see the knowledge I didn't know.,,,,
567,"Near the bakery,",,,,
568,It's better to lower the price in competition,,,,
569,I can tell which place is more delicious,,,,
570,You can buy it cheaply when you lower the price to attract more customers.,,,,
571,You can eat more delicious bread,,,,
572,Cheaper and better quality,,,,
573,You can get a good one,,,,
574,You can get more variety of things you need,,,,
575,We all buy two stores,,,,
576,You can eat a lot of different foods and compare them to each other at a more delicious bakery,,,,
577,Convenient.,,,,
578,There will be more events and discounts to attract more customers.,,,,
579,You can get better products.,,,,
580,You'll think it's rude,,,,
581,"""You can eat cheaper and better things, you can get better service",,,,
582,"""",,,,
583,to be able to spend better,,,,
584,"Because we think about how to sell to consumers in a better way while competing with each other, if we compete with each other, the price can be lowered and we will try to provide better services to each other. Therefore, consumers can buy products with better service and lower prices.",,,,
585,You can spend better.,,,,
586,The price goes down,,,,
587,Consumers can get a lot of slack,,,,
588,You can find out the characteristics of the two bakeries by going to both bakery A and bakery B.,,,,
589,You can get the girl you want,,,,
590,I feel like I'm going to be harmed,,,,
591,Consumers can benefit more.,,,,
592,You can buy things cheaply by lowering the price to attract a lot of consumers from each other. And you can get new things.,,,,
593,You can get a better one.You can buy it at a lower price,,,,
594,I think I can buy a better product,,,,
595,Consumers can use better quality items because they want to compete and create better quality.,,,,
596,Consumers will buy products with better quality and better service.,,,,
597,to be able to eat cheaply,,,,
598,You can eat bread at a more delicious and cheaper price.,,,,
599,This is because consumers can purchase better quality and cheaper bread due to competition from bakeries due to increased choices.,,,,
600,It can benefit consumers with better quality products and cheaper prices to consumers,,,,
601,Better products and lower prices are good for consumers,,,,
602,There are many kinds of bread.,,,,
603,"""Bakery stores offer quality products to attract consumers, so consumers are cheap",,,,
604,"You can buy quality goods.""",,,,
605,You can get better service.,,,,
606,"In the process of competition, the price of the product decreases and the quality increases.",,,,
607,to be able to buy at a lower price,,,,
608,It's getting cheaper,,,,
609,There are more delicious and cheaper products and they have a lot of sales,,,,
610,Knock it off.,,,,
611,You can get a lot of information.,,,,
612,There's a lot to eat,,,,
613,.,,,,
614,Don't know,,,,
615,The price is getting lower and lower and lower,,,,
616,I don't know.,,,,
617,"Several bakeries will compete to sell their products, allowing consumers to consume better products",,,,
618,The price goes down.,,,,
619,be available at a lower price,,,,
620,"By competing, we provide a better environment, service, etc. to consumers",,,,
621,The price of goods never goes up,,,,
622,the cheaper the price,,,,
623,Consumers can compare the two and choose a better bakery and the bakery wants to be better to be chosen,,,,
624,The number of choices increases,,,,
625,Consumers can eat better quality bread.,,,,
626,I can sell that quality product at a lower price.,,,,
627,The price goes down and the quality of the goods goes up.,,,,
628,I don't know.,,,,
629,It's better because the price is lower.,,,,
