,"10. The Earth is known to spin itself along its axis of rotation. This phenomenon is called the rotation of the Earth, and what are some of the natural phenomena that occur in the rotation of the Earth? Let's use our knowledge of Earth's rotation to explain it in detail. ",q10_Daytime,q10_Byulilju,q10_Season,q10_Time difference,q10_Circulation
616,"In rotation, the earth rotates once in 24 hours, creating day and night.",,,,,
617,"A day and night.If one side is day, the other side is night. In short, the time difference",,,,,
618,a circular motion,,,,,
619,the circadian movement of the sun and moon,,,,,
620,Corioli's Forward Power,,,,,
621,There are days and nights.,,,,,
622,Night and day.,,,,,
623,"Fuco pendulum motion, satellite car wash motion, etc",,,,,
624,Day and night are caused by the circadian motion of the sun.,,,,,
625,The Earth's rotation creates magnetic forces that prevent radioactive materials from the sun.,,,,,
626,"Night and day change,",,,,,
627,Day and night occur,,,,,
628,There is a circular motion of the star.,,,,,
629,The earth is actually flat,,,,,
630,"""Day and night occur.",,,,,
631,There's a difference in the morning and night.,,,,,
632,"Life became habitable.""",,,,,
633,The rotation of the earth causes a difference in performance and changes in seasons,,,,,
634,the occurrence of day and night,,,,,
635,"Day and Night Changes, Sun, Star, Moon Circular Movement, Forward Power",,,,,
636,It is rotating at a tilt of 23.5 degrees.,,,,,
637,I don't know,,,,,
638,the rising and setting of the sun,,,,,
639,"The rotation changes night and day, creates Corioli's conversion power, and also creates wind according to latitude.",,,,,
640,Day and night occur.,,,,,
641,"Due to the rotation of the earth, night and day are distinguished.",,,,,
642,Familiarity and night arise.,,,,,
643,G and O,,,,,
644,I don't know.,,,,,
645,The sun moves around the earth This is a phenomenon that occurs because the earth rotates.,,,,,
646,You can observe the circadian motion of a star.,,,,,
647,Day and night exist due to the rotation of the earth,,,,,
648,"As the Earth rotates, night and day occur, and the season changes because it is tilted 23.5 degrees.",,,,,
649,"Winds such as the western phenomenon, Corioli power, trade winds, westerlies, and ultra-western winds of extreme orbit satellites.",,,,,
650,"Earth's rotation causes circadian movements such as the sun, moon, planets, and stars. In addition, due to the difference in rotation speed by latitude due to the Earth's rotation, the atmospheric large circulation has structures such as Hadley circulation, Ferrell circulation, and polar circulation. The gravitational pull toward the center of the Earth and the centrifugal force generated by the Earth's rotation combine to create a difference in gravity by latitude.",,,,,
651,There is night and day.,,,,,
652,I don't know.,,,,,
653,The rotation of the earth changes night and day,,,,,
654,"Day and night occur, constellations change in position",,,,,
655,"Day and night occur, constellations are different, and seasons are different.",,,,,
656,"The sun rises and sets.The time also changes. Also, the season has changed",,,,,
657,Day and night change,,,,,
658,Gravity,,,,,
659,"As the earth rotates, constellations change, and as the moon and sun rotate, day and night occur.",,,,,
660,The earth rotates to create a night with others,,,,,
661,"Through the rotation of the earth, day and night change or the seasons change. (Climate change)",,,,,
662,night and day change,,,,,
663,"Night and day change, temperatures change, and seasons change.",,,,,
664,The earth continues,,,,,
665,Day and night change. There is a time difference.,,,,,
666,"As time changes and the earth turns, it changes from face to night.",,,,,
667,The world is bright when the sun is visible,,,,,
668,"There is the sun in the center and the moon behind it, and when the earth rotates once, day and night are created by the rotation of the earth",,,,,
669,The earth rotates and creates a love,,,,,
670,The bicycle makes it bright and dark.,,,,,
671,a phenomenon in which the sun rises in the east and sets in the west when the sun sets,,,,,
672,The seasons change,,,,,
673,"As the earth rotates, the time of all Ras is not the same, and the time of each country is different. The sun rises and sets again. As the earth rotates, it becomes dark and bright.",,,,,
674,"""And because it rotates, we can observe the motion around the star. The sun and the moon rise and fall because of the bicycle.The reason why solar and lunar eclipses occur is that there is a point where the ecliptic and white dimensions coincide.And it's because the Earth rotates",,,,,
675,"""",,,,,
676,the occurrence of day and night,,,,,
677,Day and night occur,,,,,
678,"Because rotation occurs, day and night occur regularly.",,,,,
679,"Each time, the amount of sunlight per unit area of each region is different, so the season changes. Various weather events occur.",,,,,
680,"Star circadian motion, Sun circadian motion, Day and Night changes",,,,,
681,"The rotation of the earth causes the sun and moon to rise and set, distinguishing day from night.",,,,,
682,A day and night.,,,,,
683,Day and night occur and seasonal changes occur.,,,,,
684,"Due to the conversion force generated by the rotation of the earth, the atmospheric circulation in the northern and southern hemispheres is divided into three, resulting in westerlies and seasonal winds. Also, day and night are divided.",,,,,
685,Seasonal changes occur because the Earth receives unbalanced solar energy from its rotation. Day and night are created by the rotation of the earth.,,,,,
686,"The Earth's axis of rotation tilts 23.5 degrees, creating a turning force. Accordingly, the wind direction of the atmospheric large circulation is determined, and accordingly, the surface ocean current circulation occurs.",,,,,
687,"The earth's rotation creates a conversion force, resulting in a large atmospheric circulation.",,,,,
688,"Because the Earth's rotation intersects day and night, the Earth's temperature is generally balanced. As the earth rotates, the atmospheric circulation forms a circulating cell of trade winds, westerlies, and Far East winds as it is now.",,,,,
689,"Due to the rotation of the earth, the area receiving sunlight changes, resulting in day and night. In addition, atmospheric circulation occurs due to the rotation of the earth, which affects the climate according to each latitude. In addition, the outer core inside the Earth is also moved by the internal heat of the Earth, and substances such as iron and nickel that can be magnetized are magnetized by the magnetic Earth, forming a vanallen zone, blocking harmful spacecraft from the outside.",,,,,
690,"Day and night are caused by the rotation of the earth. In addition, stars and stars seen on Earth for a year change.",,,,,
691,"As the Earth rotates, day and night occur, the sun moves around, and the star moves around.",,,,,
692,"First, there are days and nights. Because the Earth rotates, the surface facing the sun and the surface facing the sun repeatedly change, resulting in day and night.Because the earth rotates slightly twisted, it creates a distinction between night and day, and changes in seasons occur.",,,,,
693,"The Earth rotates, but it does not rotate standing upright, but it rotates at an inclination of about 26 degrees. Accordingly, the amount of solar radiation energy received while orbiting the sun varies depending on the latitude, and the season occurs.",,,,,
694,"""1. The atmospheric circulation such as westerlies, trade winds, and Far East winds occurs due to the generation of forward forces.""",,,,,
695,"2. Day and night occur.""",,,,,
696,"Earth's rotation rotates with its axis tilted 23.5 degrees. Jet lag occurs due to rotation, and the temperature varies according to the Earth's",,,,,
697,?,,,,,
698,Turn around,,,,,
699,I don't know.,,,,,
700,Time difference,,,,,
701,the ebb and flow of the tide,,,,,
702,"The earth moves alone, and there is a time difference",,,,,
703,a time difference,,,,,
704,There's a Far East,,,,,
705,Night and day occur,,,,,
706,yes,,,,,
707,Day and night,,,,,
708,The earth's rotation makes up the atmospheric circulation of three circulatory cells.,,,,,
709,Day and night occur,,,,,
710,Day and night occur,,,,,
711,"There's the circadian movement, the formation of a westerly style.",,,,,
712,"The sun rises and sets, and the circulation of the atmosphere is divided into three.",,,,,
713,Day and night exist.,,,,,
714,A day and night.,,,,,
715,A day and night.,,,,,
716,Day and night change.,,,,,
717,There are changes in appearance and night and the circadian movement of the celestial body,,,,,
718,Foucault Pendulum Movement,,,,,
719,Night and day.,,,,,
720,Foucault's pendulum movement takes place.,,,,,
721,Day and night occur.,,,,,
722,Day and night change.,,,,,
723,Well...,,,,,
724,A day and night.,,,,,
725,Rotating and sunny areas become daytime and vice versa.,,,,,
726,Day and night occur,,,,,
727,M and D,,,,,
728,L.,,,,,
729,Mall,,,,,
730,I don't understand.,,,,,
731,I don't understand.,,,,,
732,I don't know.,,,,,
733,Unknowingness,,,,,
734,M and D,,,,,
735,I don't understand.,,,,,
736,I don't understand.,,,,,
737,I don't understand.,,,,,
738,Day and Night Generation,,,,,
739,M and D,,,,,
740,I don't know.,,,,,
741,I don't know,,,,,
742,night and day,,,,,
743,There are days and nights.,,,,,
744,M and D,,,,,
745,Unknowingness,,,,,
746,It's an idle game,,,,,
747,.,,,,,
748,I don't understand.,,,,,
749,the change of day and night by bicycle,,,,,
750,M and D,,,,,
751,I don't know.,,,,,
752,.,,,,,
753,"Sunlight shines evenly as the earth rotates, resulting in nightlife and temperature differences at night and day",,,,,
754,have a season,,,,,
755,Change of position of the sun Change of position of the moon Change of position of the star,,,,,
756,Change of position of the sun Change of position of the moon Change of position of the star,,,,,
757,1. Change in the position of the sun 2. Change in the position of the moon 3. Change in the position of the stars,,,,,
758,"Repetition of day and night, circadian motion of the celestial body, orbit change of the satellite, and direction change of the reciprocating motion of the Foucault pendulum",,,,,
759,"""When the earth rotates, a day passes by",,,,,
760,"The earth goes around once.""",,,,,
761,"""If the earth is spinning itself along its axis,",,,,,
762,Day and night occur,,,,,
763,"""",,,,,
764,"""The reason why the sun starts to appear from the east and seems to move west is because of the Earth's rotation. In other words, the sun seems to be moving from east to west because the earth rotates from west to east.",,,,,
765,,,,,,
766,The position of the moon seems to move from east to south and west during the day by the Earth's rotation.,,,,,
767,,,,,,
768,"In the case of Orion, which is seen in March, the sun's light is not visible during the bright day, but can be seen in the southern sky in the early evening when the sun disappears, and its location gradually changes over time to the western sky. The position does not change as the moon and stars move, but because the earth rotates, the moon and stars seem to move.""",,,,,
769,"Night and day occur, and the position of the sun, the position of the moon, and the position of the star change.",,,,,
770,"The reason why the sun starts to appear from the east and seems to move west is because of the Earth's rotation. In other words, the sun seems to be moving from east to west because the earth rotates from west to east.",,,,,
771,"As the Earth rotates, it becomes day when it receives sunlight and night when it does not.",,,,,
772,"The sun rises in the east every day, passes through the southern sky, and sets in the west.",,,,,
773,"The stars do apparent exercises that go around once every day. """,,,,,
774,1. Change in the position of the sun 2. Change in the position of the moon 3. Change in the position of the stars,,,,,
775,"The reason why the sun starts to appear from the east and seems to move west is because of the Earth's rotation. In other words, the sun seems to be moving from east to west because the earth rotates from west to east.",,,,,
776,"The sun, moon, and stars disappear from east to west, and the stars and moon seem to be moving because of the rotation",,,,,
777,Night and day repeat,,,,,
778,"""As the earth rotates, there is a night and day, and there is a difference in temperature and time",,,,,
779,"And each country has a different time of night and face, temperature and time and time difference",,,,,
780,"The circadian motion of stars occurs day and night, and the Earth is an ellipsoid with a convex equator and the purification of the atmosphere. There is also a magnetic field on Earth.",,,,,
781,"The earth rotates and rotates from west to east with its rotation axis inclined 66.5Â° to the orbital plane. Earth's rotation is a phenomenon in which the Earth rotates once a day around its axis of rotation, and its rotation speed is about 15Â° per hour.",,,,,
782,"""Day and night occur.",,,,,
783,"The circadian motion of the celestial body (sun, moon, and star) occurs.",,,,,
784,A forward force is created (a hypothetical force by the Earth's rotation that causes the motion of an object to bend to the right in the Northern Hemisphere),,,,,
785,The equatorial side of the Earth is larger than the polar radius (because of centrifugal force),,,,,
786,"""The reason why the sun starts to appear from the east and seems to move west is because of the Earth's rotation. In other words, the sun seems to be moving from east to west because the earth rotates from west to east.",,,,,
787,The position of the moon seems to move from east to south and west during the day by the Earth's rotation.,,,,,
788,"In the case of Orion, which is seen in March, the sun's light is not visible during the bright day, but can be seen in the southern sky in the early evening when the sun disappears, and its location gradually changes over time to the western sky. The position does not change as the moon and stars move, but because the earth rotates, the moon and stars seem to move.",,,,,
789,,,,,,
790,"""",,,,,
791,1. Change in the position of the sun 2. Change in the position of the moon 3. Change in the position of the starsThere is a change of day and night.,,,,,
792,"""1. Four Seasons""",,,,,
793,"2. Black and white night phenomenon""",,,,,
794,Night and day happen in a day.,,,,,
795,The day and night.,,,,,
796,the change of day and night,,,,,
797,"Day and night, the circadian movement of stars",,,,,
798,"As the earth rotates, the sun rises and sets, there is a ebb and flow of tide, and four seasons are created.",,,,,
799,"Day and night exist in the rotation of the earth. Also, the circadian motion of the star appears.",,,,,
800,Day and night are distinguished by the Earth's rotation because of the time of receiving sunlight and the time of not receiving sunlight.,,,,,
801,Night and day.,,,,,
802,The day and night.,,,,,
803,The day and night.,,,,,
804,There is a change of day and night.,,,,,
805,"When the Earth rotates, it goes around once for about a day, which leads to day and night.",,,,,
806,"Corioligim, the inertial force caused by the Earth's rotation, can be easily observed as water descends through the drain. In addition, when analyzing convection phenomena, a force is applied in a vertical direction in the direction of progress, which is also coriolis force.",,,,,
807,"The sun and stars appear to rise and set as the earth rotates.""",,,,,
808,A day and night.,,,,,
809,A day and night.,,,,,
810,"the rising and setting of the sun, the westerly winds of the northern hemisphere",,,,,
811,Night and day.,,,,,
812,Day and night are caused by the rotation of the earth.,,,,,
813,Day and night are distinguished.,,,,,
814,Day and night occurrence during the day due to the Earth's rotation.,,,,,
815,Unknowingness,,,,,
816,Day and night occur and forward power occurs.,,,,,
817,The Earth's rotation causes night and day.,,,,,
818,Unknowingness,,,,,
819,"Because the Earth rotates, day and night occur due to the difference between the side facing the sun and the other side facing the sun. In addition, due to the rotation of the Earth, large air convection from the equator to the poles receives a forward force and divides directions, resulting in westerlies and trade winds.",,,,,
820,"Night and night occur (exceptions, of course)",,,,,
821,Unknowingness,,,,,
822,I don't know,,,,,
823,Day and night are created by the rotation of the earth. And then you have Coriholipos.,,,,,
824,a daily temperature difference,,,,,
825,"The earth rotates and becomes an acceleration coordinate system, which creates various inertial forces. Assuming that angular velocity is constant, the inertial force produces coriolis and centripetal force, the former prevents the bullet we shoot straight from going straight, the latter makes us feel less gravity than the actual gravity, and the equator is slightly protruding. And by rotating, the metal part of the outer core will rotate, which will help to form a magnetic field.",,,,,
826,By rotation the sun rises in the east and sets in the west.,,,,,
827,Ebb and flood tide,,,,,
828,Unknowingness,,,,,
829,Coriolis ' force day and night. The wind currents.,,,,,
830,Will have a day and night.,,,,,
831,"Day and night is generated. Tilted 23.5 degrees that revolved around its rotation, during which they a area causes day, looking at the sun at noon. On the contrary, 22 remain far from the sun at night if you get.",,,,,
832,"A day and night due to the rotation of the earth. Coriolis ' force, which result from the virtual power in the rotation of the earth, atmospheric circulation is complex due to happen. As a result, various orientation, windy and it is of the nature and currents affecting the overall energy circulation is of the Earth.",,,,,
833,Divide into day and night as the rotation.,,,,,
834,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,,,,
835,,,,,,
836,,,,,,
837,,,,,,
838,,,,,,
839,,,,,,
840,,,,,,
841,,,,,,
842,,,,,,
843,,,,,,
844,,,,,,
845,,,,,,
846,,,,,,
847,,,,,,
848,,,,,,
849,,,,,,
850,,,,,,
851,,,,,,
852,,,,,,
853,,,,,,
854,,,,,,
855,,,,,,
856,,,,,,
857,,,,,,
858,,,,,,
859,,,,,,
860,,,,,,
861,,,,,,
862,,,,,,
863,,,,,,
864,,,,,,
865,,,,,,
866,,,,,,
867,,,,,,
868,,,,,,
869,,,,,,
870,,,,,,
871,,,,,,
872,,,,,,
873,,,,,,
874,,,,,,
875,,,,,,
876,,,,,,
877,,,,,,
878,,,,,,
879,,,,,,
880,,,,,,
881,,,,,,
882,,,,,,
883,,,,,,
884,,,,,,
885,,,,,,
886,,,,,,
887,,,,,,
888,,,,,,
