,"8. Patients who have a sudden heart attack risk serious brain damage. At this time, performing CPR on the patient as shown in the picture can prevent brain damage. Why can CPR prevent brain damage? Let's focus on the circulation of blood in our bodies and explain why.",q63_blood,q63_heart,q63_oxgen
130,"The heart slows down due to a heart attack, which does not actively circulate blood in the body, so it promotes blood circulation through heart pressure through cardiopulmonary resuscitation and makes it active.",,,
131,Pressure on the heart causes blood to be supplied to the brain.,,,
132,Cardiopulmonary resuscitation can prevent brain damage because blood is supplied from the heart faster,,,
133,"Because the blood is not circulating, it puts pressure on the heart and allows the veins to flow well, so it can prevent brain damage",,,
134,It keeps pressing the heart repeatedly and sends blood to the head to prevent brain damage,,,
135,It stimulates the heart,,,
136,Heart,,,
137,"If you don't have blood circulation, the cells in your brain die. However, CPR like the stomach can prevent brain damage by causing blood circulation.",,,
138,It is to apply pressure to the heart when the heart is not beating so that it can flow through the blood.,,,
139,It allows blood to circulate from the heart to the brain,,,
140,"Since the heart has stopped, it is difficult to supply blood to the body, so simpesosynthesis is performed to squeeze blood from the heart. Then oxygen and blood are supplied to the brain to prevent brain damage.",,,
141,"""My heart pumps and supplies blood to my whole body, so if I do CPR,",,,
142,"It pumps the heart at random, so it's able to pump it all over your body",,,
143,"It's because you lose.""",,,
144,It can prevent brain damage because it helps the heart contract and relax so that blood can reach the brain.,,,
145,Maybe the heart and the brain are connected,,,
146,"Since the heart has a ventricle and atrium through which blood circulates, CPR circulates blood and prevents cerebral blood vessels from clogging.",,,
147,"Cardiopulmonary resuscitation seems to be able to supply blood to the brain by applying pressure to the heart and forcing blood circulation. Since blood comes out of the heart, circulates throughout the body, and returns to the heart, CPR will circulate blood to the brain.",,,
148,.,,,
149,"By performing CPR, the heart and lungs are stimulated and blood and oxygen are supplied to the brain to prevent brain damage.",,,
150,"If the brain is not oxygenated, brain damage can occur in a short period of time. To prevent this, cardiopulmonary resuscitation is performed because the blood circulates throughout the body, that is, to the heart, and in this process, oxygen is also transmitted. Therefore, thanks to the oxygen supplied through CPR, brain damage can be prevented.",,,
151,"The human body is made up of all organs in circulation, and when you breathe in by giving a rebound to the heart and lungs, the brain also moves, breathing small and preventing brain damage.",,,
152,It makes your heart beat. It makes your brain come alive,,,
153,This is because the heart stopped during cardiopulmonary resuscitation so that blood circulation can be improved and blood is sent to the brain,,,
154,"When a heart attack occurs, the heart fails to function properly and cannot beat, so the act of pressing with your hands helps the heart beat, which can spread blood from the heart to the whole body again. So CPR can prevent brain damage.",,,
155,I don't know.,,,
156,"If a person does not breathe, there is no air supply to the brain, which causes brain damage. CPR can reduce brain damage by supplying air to the brain",,,
157,It's supplied to the brain,,,
158,Blood needs to flow to get air,,,
159,"If oxygen does not go to the brain, brain damage occurs, but if the heart does not beat, oxygen does not go, so CPR is performed.",,,
160,This is because the brain exercises only when blood circulation occurs,,,
161,Cardiopulmonary resuscitation can prevent brain damage because it supplies blood to the brain and oxygen in the blood is also supplied to the brain.,,,
162,I don't know,,,
163,Because it won't stop my heart,,,
164,I don't know.,,,
165,"When a heart attack occurs, the heart that circulates blood cannot work, so blood does not circulate, which can cause damage to the head.",,,
166,"Hemoglobin in the blood combines with oxygen and carries oxygen to the brain and the whole body when circulating blood. Therefore, re-supplying oxygen to the brain through CPR can prevent brain damage.",,,
167,"My heart is beating, so my body is bleeding",,,
168,"Cardiopulmonary resuscitation marks the heart, making it easier for the body's blood to circulate",,,
169,"This seems to be because CPR can pressure the heart as if it were beating, which can prevent blood from being supplied to the brain by active circulation.",,,
170,Because it allows you to breathe.,,,
171,"""God's Touch""",,,
172,"""",,,
173,"The reason for brain damage is that blood circulation is poor and oxygen supplied to the brain is insufficient, so cardiopulmonary resuscitation can be performed to supply oxygen to the brain.",,,
174,"""If you press the heart, the blood will turn again, so it seems like you're doing CPR",,,
175,"""",,,
176,Cardiopulmonary resuscitation can prevent blood circulation back to the brain.,,,
177,"By pressing the heart, oxygen can be contained in the blood and carried to the brain and various organs to prevent brain damage.",,,
178,I don't know.,,,
179,"If the heart that supplies blood stops and blood circulates to the brain, it will cause brain damage, so it stimulates the heart to circulate blood",,,
180,"The heart is supposed to oxygenate the head, but the heart stops and CPR is done",,,
181,"Blood carries oxygen, and if blood is not supplied to the brain, oxygen is also not supplied to the brain, which can cause serious damage to the brain.",,,
182,"When the heart is paralyzed, blood does not circulate, so blood is not supplied to the brain, and oxygen is not supplied, causing brain damage. At this time, CPR can prevent brain damage by making the heart beat again.",,,
183,"The activity of sending blood to the whole body and then returning to the heart as the heart beats is called blood circulation, which supplies blood to the brain, but the human brain uses blood very much, so the brain is damaged first when it is in cardiac arrest.",,,
184,Cardiopulmonary resuscitation can prevent brain damage due to lack of oxygen in the brain by supplying blood to the entire body.,,,
185,"Blood circulates in our bodies and supplies our bodies with the nutrients or oxygen they need. If oxygen is not supplied to the brain during ash, brain cells are damaged. The heart acts like a pump and circulates blood through our bodies. Since the heart cannot beat on its own during a heart attack, it presses the heart from the outside and circulates the body's blood.",,,
186,"Since the heart is suddenly stopped, cardiopulmonary resuscitation is performed to connect the brain and the heart, and blood is not moved to the brain, so blood is supplied through CPR.",,,
187,It supplies oxygen by external force.,,,
188,"Cardiopulmonary resuscitation is a process that causes the stopped heart to beat passively, and it continues to supply blood to the brain by maintaining blood circulation. In other words, it supplies oxygen to the brain. Without oxygen in the brain, brain damage occurs, and CPR prevents it, which can prevent brain damage.",,,
189,It is because it sends blood to the whole body.,,,
190,It prevents brain damage by allowing blood to travel normally to the brain.,,,
191,"When the heart is pressed, the heart contracts and circulates blood to supply oxygen to the brain.",,,
192,"Cardiopulmonary resuscitation compresses the heart and damages some blood. As a result, oxygen is supplied to the brain through the blood to prevent brain damage.",,,
193,"artificially beating the heart, circulating the blood, supplying oxygen to the brain",,,
194,It circulates blood through CPR and delivers oxygen to the brain.,,,
195,"This is because CPR induces blood circulation, which also supplies oxygen to the brain.",,,
196,It delivers blood throughout the body.,,,
197,"This is because it regenerates the heartbeat through CPR, causing blood circulation to the entire body, and blood is supplied to the brain.When you have a heart attack, your heart doesn't beat and blood doesn't go to your brain, because it manually presses your heart to send blood to your brain and circulates blood",,,
198,Because I have a seizure,,,
199,I don't know.,,,
200,"The heart is the center of blood circulation, and if you have a heart attack, your blood circulation may stop and you may suffer brain damage",,,
201,"The heart needs to beat in order to circulate blood, but when a heart attack occurs, the brain becomes stiff and becomes damaged.",,,
202,"""",,,
203,My heart is beating again and my blood circulates back into my head.,,,
204,It shocks the heart and makes it beat again,,,
205,This is because blood circulation is good when the heart beats.,,,
206,Because it makes the heart beat and makes the heart beat and blood circulation.,,,
207,"Cardiopulmonary resuscitation that helps blood circulation by compressing the heart so that blood can be delivered to the brain, can prevent brain damage.",,,
208,Blood circulates well because it compresses the heart.,,,
209,in order to secure the airway,,,
210,"This is because when the heart beats, it becomes a total circulation from the heart to the brain.",,,
211,"Since blood cells enter and exit the heart, cardiopulmonary resuscitation is performed to help the movement of the gall fluid smoothly.",,,
212,"Since the center of blood circulation is the heart, if the heart is pressed to circulate, blood circulates in the brain.",,,
213,"There is a golden time after a heart attack, and after that golden time, the brain gradually begins to get damaged. Cardiopulmonary resuscitation can prevent brain damage.",,,
214,This is because blood is supplied again.,,,
215,Cardiopulmonary resuscitation can prevent brain damage by moving the body and circulating the blood widely because the blood is pushy around the heart,,,
216,Sympesosymbiosis leads to blood circulation,,,
217,The reason why it can prevent brain damage is that the brain hardens after the golden time. Cardiopulmonary resuscitation is what makes the heart beat so that the blood works Cardiopulmonary resuscitation will cause blood to flow and prevent the brain from hardening.,,,
218,"It's because if you harm cardiopulmonary resuscitation, blood circulates and transmits it to the brain",,,
219,It's because blood doesn't go to the head.,,,
220,"The heart is an important organ that supplies blood to our bodies. If this organ stops, the whole body's blood nucleus circulation stops, which can cause brain damage. However, CPR can prevent brain damage by circulating the heart's blood.",,,
221,Because it can deliver oxygen,,,
222,"Compression of the paralyzed heart by CPR does not stop the circulation of the whole body, which can deliver oxygen to the brain",,,
223,It provides air to prevent brain damage,,,
224,It makes your heart beat with your hands and makes your blood circulate,,,
225,It pumps the heart and artificially circulates the blood,,,
226,It makes my heart race,,,
227,Because it compresses the chest and sends blood to the brain,,,
228,This is because CPR allows blood in the heart to rise to the brain under the pressure of CPR.,,,
229,"The heart slows down due to a heart attack, which does not actively circulate blood in the body, so it promotes blood circulation through heart pressure through cardiopulmonary resuscitation and makes it active.",,,
230,Pressure on the heart causes blood to be supplied to the brain.,,,
231,Cardiopulmonary resuscitation can prevent brain damage because blood is supplied from the heart faster,,,
232,"Because the blood is not circulating, it puts pressure on the heart and allows the veins to flow well, so it can prevent brain damage",,,
233,It keeps pressing the heart repeatedly and sends blood to the head to prevent brain damage,,,
234,It stimulates the heart,,,
235,Heart,,,
236,"If you don't have blood circulation, the cells in your brain die. However, CPR like the stomach can prevent brain damage by causing blood circulation.",,,
237,It is to apply pressure to the heart when the heart is not beating so that it can flow through the blood.,,,
238,It allows blood to circulate from the heart to the brain,,,
239,"Since the heart has stopped, it is difficult to supply blood to the body, so simpesosynthesis is performed to squeeze blood from the heart. Then oxygen and blood are supplied to the brain to prevent brain damage.",,,
240,"""My heart pumps and supplies blood to my whole body, so if I do CPR,",,,
241,"It pumps the heart at random, so it's able to pump it all over your body",,,
242,"It's because you lose.""",,,
243,It can prevent brain damage because it helps the heart contract and relax so that blood can reach the brain.,,,
244,Maybe the heart and the brain are connected,,,
245,"Since the heart has a ventricle and atrium through which blood circulates, CPR circulates blood and prevents cerebral blood vessels from clogging.",,,
246,"Cardiopulmonary resuscitation seems to be able to supply blood to the brain by applying pressure to the heart and forcing blood circulation. Since blood comes out of the heart, circulates throughout the body, and returns to the heart, CPR will circulate blood to the brain.",,,
247,.,,,
248,"By performing CPR, the heart and lungs are stimulated and blood and oxygen are supplied to the brain to prevent brain damage.",,,
249,"If the brain is not oxygenated, brain damage can occur in a short period of time. To prevent this, cardiopulmonary resuscitation is performed because the blood circulates throughout the body, that is, to the heart, and in this process, oxygen is also transmitted. Therefore, thanks to the oxygen supplied through CPR, brain damage can be prevented.",,,
250,"The human body is made up of all organs in circulation, and when you breathe in by giving a rebound to the heart and lungs, the brain also moves, breathing small and preventing brain damage.",,,
251,It makes your heart beat. It makes your brain come alive,,,
252,This is because the heart stopped during cardiopulmonary resuscitation so that blood circulation can be improved and blood is sent to the brain,,,
253,"When a heart attack occurs, the heart fails to function properly and cannot beat, so the act of pressing with your hands helps the heart beat, which can spread blood from the heart to the whole body again. So CPR can prevent brain damage.",,,
254,I don't know.,,,
255,"If a person does not breathe, there is no air supply to the brain, which causes brain damage. CPR can reduce brain damage by supplying air to the brain",,,
256,It's supplied to the brain,,,
257,Blood needs to flow to get air,,,
258,"If oxygen does not go to the brain, brain damage occurs, but if the heart does not beat, oxygen does not go, so CPR is performed.",,,
259,This is because the brain exercises only when blood circulation occurs,,,
260,Cardiopulmonary resuscitation can prevent brain damage because it supplies blood to the brain and oxygen in the blood is also supplied to the brain.,,,
261,I don't know,,,
262,Because it won't stop my heart,,,
263,I don't know.,,,
264,"When a heart attack occurs, the heart that circulates blood cannot work, so blood does not circulate, which can cause damage to the head.",,,
265,"Hemoglobin in the blood combines with oxygen and carries oxygen to the brain and the whole body when circulating blood. Therefore, re-supplying oxygen to the brain through CPR can prevent brain damage.",,,
266,"My heart is beating, so my body is bleeding",,,
267,"Cardiopulmonary resuscitation marks the heart, making it easier for the body's blood to circulate",,,
268,"This seems to be because CPR can pressure the heart as if it were beating, which can prevent blood from being supplied to the brain by active circulation.",,,
269,Because it allows you to breathe.,,,
270,"""God's Touch""",,,
271,"""",,,
272,"The reason for brain damage is that blood circulation is poor and oxygen supplied to the brain is insufficient, so cardiopulmonary resuscitation can be performed to supply oxygen to the brain.",,,
273,"""If you press the heart, the blood will turn again, so it seems like you're doing CPR",,,
274,"""",,,
275,Cardiopulmonary resuscitation can prevent blood circulation back to the brain.,,,
276,"By pressing the heart, oxygen can be contained in the blood and carried to the brain and various organs to prevent brain damage.",,,
277,I don't know.,,,
278,"If the heart that supplies blood stops and blood circulates to the brain, it will cause brain damage, so it stimulates the heart to circulate blood",,,
279,"The heart is supposed to oxygenate the head, but the heart stops and CPR is done",,,
280,"Blood carries oxygen, and if blood is not supplied to the brain, oxygen is also not supplied to the brain, which can cause serious damage to the brain.",,,
281,"When the heart is paralyzed, blood does not circulate, so blood is not supplied to the brain, and oxygen is not supplied, causing brain damage. At this time, CPR can prevent brain damage by making the heart beat again.",,,
282,"The activity of sending blood to the whole body and then returning to the heart as the heart beats is called blood circulation, which supplies blood to the brain, but the human brain uses blood very much, so the brain is damaged first when it is in cardiac arrest.",,,
283,Cardiopulmonary resuscitation can prevent brain damage due to lack of oxygen in the brain by supplying blood to the entire body.,,,
284,"Blood circulates in our bodies and supplies our bodies with the nutrients or oxygen they need. If oxygen is not supplied to the brain during ash, brain cells are damaged. The heart acts like a pump and circulates blood through our bodies. Since the heart cannot beat on its own during a heart attack, it presses the heart from the outside and circulates the body's blood.",,,
285,"Since the heart is suddenly stopped, cardiopulmonary resuscitation is performed to connect the brain and the heart, and blood is not moved to the brain, so blood is supplied through CPR.",,,
286,It supplies oxygen by external force.,,,
287,"Cardiopulmonary resuscitation is a process that causes the stopped heart to beat passively, and it continues to supply blood to the brain by maintaining blood circulation. In other words, it supplies oxygen to the brain. Without oxygen in the brain, brain damage occurs, and CPR prevents it, which can prevent brain damage.",,,
288,It is because it sends blood to the whole body.,,,
289,It prevents brain damage by allowing blood to travel normally to the brain.,,,
290,"When the heart is pressed, the heart contracts and circulates blood to supply oxygen to the brain.",,,
291,"Cardiopulmonary resuscitation compresses the heart and damages some blood. As a result, oxygen is supplied to the brain through the blood to prevent brain damage.",,,
292,"artificially beating the heart, circulating the blood, supplying oxygen to the brain",,,
293,It circulates blood through CPR and delivers oxygen to the brain.,,,
294,"This is because CPR induces blood circulation, which also supplies oxygen to the brain.",,,
295,It delivers blood throughout the body.,,,
296,"This is because it regenerates the heartbeat through CPR, causing blood circulation to the entire body, and blood is supplied to the brain.When you have a heart attack, your heart doesn't beat and blood doesn't go to your brain, because it manually presses your heart to send blood to your brain and circulates blood",,,
297,Because I have a seizure,,,
298,I don't know.,,,
299,"The heart is the center of blood circulation, and if you have a heart attack, your blood circulation may stop and you may suffer brain damage",,,
300,"The heart needs to beat in order to circulate blood, but when a heart attack occurs, the brain becomes stiff and becomes damaged.",,,
301,"""",,,
302,My heart is beating again and my blood circulates back into my head.,,,
303,It shocks the heart and makes it beat again,,,
304,This is because blood circulation is good when the heart beats.,,,
305,Because it makes the heart beat and makes the heart beat and blood circulation.,,,
306,"Cardiopulmonary resuscitation that helps blood circulation by compressing the heart so that blood can be delivered to the brain, can prevent brain damage.",,,
307,Blood circulates well because it compresses the heart.,,,
308,in order to secure the airway,,,
309,"This is because when the heart beats, it becomes a total circulation from the heart to the brain.",,,
310,"Since blood cells enter and exit the heart, cardiopulmonary resuscitation is performed to help the movement of the gall fluid smoothly.",,,
311,"Since the center of blood circulation is the heart, if the heart is pressed to circulate, blood circulates in the brain.",,,
312,"There is a golden time after a heart attack, and after that golden time, the brain gradually begins to get damaged. Cardiopulmonary resuscitation can prevent brain damage.",,,
313,This is because blood is supplied again.,,,
314,Cardiopulmonary resuscitation can prevent brain damage by moving the body and circulating the blood widely because the blood is pushy around the heart,,,
315,Sympesosymbiosis leads to blood circulation,,,
316,The reason why it can prevent brain damage is that the brain hardens after the golden time. Cardiopulmonary resuscitation is what makes the heart beat so that the blood works Cardiopulmonary resuscitation will cause blood to flow and prevent the brain from hardening.,,,
317,"It's because if you harm cardiopulmonary resuscitation, blood circulates and transmits it to the brain",,,
318,It's because blood doesn't go to the head.,,,
319,"The heart is an important organ that supplies blood to our bodies. If this organ stops, the whole body's blood nucleus circulation stops, which can cause brain damage. However, CPR can prevent brain damage by circulating the heart's blood.",,,
320,Because it can deliver oxygen,,,
321,"Compression of the paralyzed heart by CPR does not stop the circulation of the whole body, which can deliver oxygen to the brain",,,
322,It provides air to prevent brain damage,,,
323,It makes your heart beat with your hands and makes your blood circulate,,,
324,It pumps the heart and artificially circulates the blood,,,
325,It makes my heart race,,,
326,Because it compresses the chest and sends blood to the brain,,,
327,This is because CPR allows blood in the heart to rise to the brain under the pressure of CPR.,,,
328,"The heart slows down due to a heart attack, which does not actively circulate blood in the body, so it promotes blood circulation through heart pressure through cardiopulmonary resuscitation and makes it active.",,,
329,Pressure on the heart causes blood to be supplied to the brain.,,,
330,Cardiopulmonary resuscitation can prevent brain damage because blood is supplied from the heart faster,,,
331,"Because the blood is not circulating, it puts pressure on the heart and allows the veins to flow well, so it can prevent brain damage",,,
332,It keeps pressing the heart repeatedly and sends blood to the head to prevent brain damage,,,
333,It stimulates the heart,,,
334,Heart,,,
335,"If you don't have blood circulation, the cells in your brain die. However, CPR like the stomach can prevent brain damage by causing blood circulation.",,,
336,It is to apply pressure to the heart when the heart is not beating so that it can flow through the blood.,,,
337,It allows blood to circulate from the heart to the brain,,,
338,"Since the heart has stopped, it is difficult to supply blood to the body, so simpesosynthesis is performed to squeeze blood from the heart. Then oxygen and blood are supplied to the brain to prevent brain damage.",,,
339,"""My heart pumps and supplies blood to my whole body, so if I do CPR,",,,
340,"It pumps the heart at random, so it's able to pump it all over your body",,,
341,"It's because you lose.""",,,
342,It can prevent brain damage because it helps the heart contract and relax so that blood can reach the brain.,,,
343,Maybe the heart and the brain are connected,,,
344,"Since the heart has a ventricle and atrium through which blood circulates, CPR circulates blood and prevents cerebral blood vessels from clogging.",,,
345,"Cardiopulmonary resuscitation seems to be able to supply blood to the brain by applying pressure to the heart and forcing blood circulation. Since blood comes out of the heart, circulates throughout the body, and returns to the heart, CPR will circulate blood to the brain.",,,
346,.,,,
347,"By performing CPR, the heart and lungs are stimulated and blood and oxygen are supplied to the brain to prevent brain damage.",,,
348,"If the brain is not oxygenated, brain damage can occur in a short period of time. To prevent this, cardiopulmonary resuscitation is performed because the blood circulates throughout the body, that is, to the heart, and in this process, oxygen is also transmitted. Therefore, thanks to the oxygen supplied through CPR, brain damage can be prevented.",,,
349,"The human body is made up of all organs in circulation, and when you breathe in by giving a rebound to the heart and lungs, the brain also moves, breathing small and preventing brain damage.",,,
350,It makes your heart beat. It makes your brain come alive,,,
