,1) Let's talk about what plants need to make their own starch ,q53_sun,q53_water,"q53_carbon dioxide (CO2), air",q53_soil,q53_photosynthesis,q53_quantum,q53_chloroplast
64,"Sunlight, water",,,,,,,
65,Sunlight,,,,,,,
66,Sunlight (photosynthesis),,,,,,,
67,Sunlight (photosynthesis),,,,,,,
68,I can't organize it.,,,,,,,
69,I don't know.,,,,,,,
70,"Water, carbon dioxide, light energy",,,,,,,
71,"We need light, water, and carbon dioxide",,,,,,,
72,"Water, carbon dioxide, chloroplasts, various enzymes",,,,,,,
73,"Light, water, carbon dioxide",,,,,,,
74,"Light, water, oxygen, carbon dioxide",,,,,,,
75,"Sunlight, carbon dioxide, water",,,,,,,
76,"Light, water, carbon dioxide",,,,,,,
77,"Light, carbon dioxide, water",,,,,,,
78,Photosynthesis,,,,,,,
79,"We need sunlight, water and nourishment.",,,,,,,
80,"You need nutrients in the ground, and you need solar energy when you turn them into starch.",,,,,,,
81,"A typical thing that plants make nutrients is photosynthesis. For this photosynthesis, light, water, and nutrients must be abundant. Carbon dioxide is also needed for photosynthesis.",,,,,,,
82,"In the process of plants making their own nutrients, light energy, carbon dioxide, and water are required because photosynthesis is required.",,,,,,,
83,"In order for plants to make their own nutrients, they need carbon dioxide and solar water because they get moisture and nutrients from the soil and use solar heat to photosynthesize, absorb carbon dioxide, moisture, and combine solar heat to create starch and oxygen.",,,,,,,
84,"We need sunlight, carbon dioxide, water",,,,,,,
85,Sunlight and water oxygen are needed.,,,,,,,
86,"We need carbon dioxide, light energy, and water.",,,,,,,
87,"Carbon dioxide, water, and solar energy are needed. When plants receive carbon dioxide, water, and solar energy, they turn it into glucose and oxygen in chloroplasts.",,,,,,,
88,"Water, sunlight, etc. are needed.",,,,,,,
89,.,,,,,,,
90,Plants use water and carbon dioxide as light energy to produce glucose and oxygen. This process is called photosynthesis.,,,,,,,
91,"Absorption through nature is necessary, such as photosynthesis, absorption of nutrients through land and water.",,,,,,,
92,the sun's rays,,,,,,,
93,.,,,,,,,
94,"Carbon dioxide, light (sunlight) is needed. Carbon dioxide and sunlight are used to make various chemical changes (which require sunlight) to make starch after one process or another.",,,,,,,
95,"We need carbon dioxide, water, and sunlight. This is because the elements necessary for photosynthesis in chloroplasts on plant leaves are presented above.",,,,,,,
96,We need direct sunlight and carbon dioxide and water.,,,,,,,
97,"Because plants need to photosynthesize through light, water, and carbon dioxide to make nutrients, light, water, and carbon dioxide are needed in the process of making nutrients on their own.",,,,,,,
98,"Water is sucked from the roots, the water goes through the water pipe to the leaves, carbon dioxide is introduced through breathing, and the leaves react water and carbon dioxide with sunlight to make glucose and oxygen. The glucose clumps into starch.Plants make nutrients through photosynthesis. Water molecules and carbon dioxide molecules are recombined through solar energy to produce glucose. Therefore, plants need water, carbon dioxide, and solar energy to produce their own nutrients.",,,,,,,
99,"Plants go through a photosynthesis process to make starch, which requires carbon dioxide, water, and light energy, which are necessary substances, to make nutrients through photosynthesis.",,,,,,,
100,Plants are known to produce nutrients through photosynthesis. But the factors that affect photosynthesis will be sunlight and carbon dioxide.,,,,,,,
101,"Light, nutrients, carbon dioxide",,,,,,,
102,"Need carbon dioxide, water, sunlight",,,,,,,
103,"Photosynthesis with light, water, and carbon dioxide results.",,,,,,,
104,"Carbon dioxide, water, light",,,,,,,
105,"Sunlight, Water, Carbon Dioxide",,,,,,,
106,"Sunlight, oxygen, water",,,,,,,
107,light carbon dioxide,,,,,,,
108,You'll need solar energy,,,,,,,
109,There must be sunlight and water because plants produce nutrients through photosynthesis.,,,,,,,
110,Light is needed in photosynthesis,,,,,,,
111,"Because photosynthesis is necessary, solar energy is needed and chloroplasts capable of photosynthesis are required.",,,,,,,
112,I don't know.,,,,,,,
113,Photosynthesis?,,,,,,,
114,"Light, water, carbon dioxide",,,,,,,
115,"First, we need carbon dioxide, we need water.",,,,,,,
116,Water and light energy for photosynthesis,,,,,,,
117,Sunlight and carbon dioxide,,,,,,,
118,Solar energy is needed because starch is produced by photosynthesis,,,,,,,
119,"Light, carbon dioxide, water",,,,,,,
120,"I don't think it was heat, light, or moisture.",,,,,,,
121,Sun debt,,,,,,,
122,"We need solar energy, carbon dioxide, and water",,,,,,,
123,need photosynthesis,,,,,,,
124,carbon dioxide and water,,,,,,,
125,Carbon dioxide and water are used to photosynthesize to make nutrients.,,,,,,,
126,"It's done through photosynthesis. Oxygen and glucose are made using light, carbon dioxide, and water, and glucose is accumulated to form starch.",,,,,,,
127,"Light energy, water, carbon dioxide, enzymes",,,,,,,
128,The sun needs light energy and carbon dioxide and water in the air,,,,,,,
129,"By solar energy, water and carbon dioxide from chloroplasts in plant cells produce glucose and oxygen. Because of this, glucose, a monosaccharide, makes its own starch.",,,,,,,
130,Sunlight water,,,,,,,
131,Sunlight,,,,,,,
132,Sunlight water,,,,,,,
133,water and sunlight,,,,,,,
134,Photosynthesis,,,,,,,
135,"We need to buy sunlight, water,",,,,,,,
136,I don't know.,,,,,,,
137,Photosynthesis,,,,,,,
138,"air, sunlight",,,,,,,
139,Photosynthesis.,,,,,,,
140,"Sunlight, water, air",,,,,,,
141,"Glucose, light, water",,,,,,,
142,Chlorophyll and photosynthesis,,,,,,,
143,"""To make starch, there must be sunshine and waterIf the sun comb makes the plant glow,",,,,,,,
144,"""In the process, nutrients are formed.""",,,,,,,
145,Photosynthesis is required.,,,,,,,
146,Sunlight,,,,,,,
147,I don't know,,,,,,,
148,I don't know,,,,,,,
149,photosynthesis and water ingestion,,,,,,,
150,need photosynthesis,,,,,,,
151,"Sunlight, water, manure, good land",,,,,,,
152,"Carbon dioxide, sunlight, etc",,,,,,,
153,We need sunlight.,,,,,,,
154,It's solar photosynthesis.,,,,,,,
155,Sunlight,,,,,,,
156,We need sunlight and water.,,,,,,,
157,I don't know.,,,,,,,
158,Flour,,,,,,,
159,water.sunlight,,,,,,,
160,"We need sunlight, water, and carbon dioxide",,,,,,,
161,I don't know,,,,,,,
162,need sunlight,,,,,,,
163,Water,,,,,,,
164,"""We need photosynthesis",,,,,,,
165,"""",,,,,,,
166,Are you my part-timer ????????????????????????????????????????????????????????????????????????????????????????????????,,,,,,,
167,"Sunlight, water, soil",,,,,,,
168,Photosynthesis,,,,,,,
169,I don't know.,,,,,,,
170,6CO2 +12H2O->C6H12O6 +6H20,,,,,,,
171,"carbon dioxide, oxygen",,,,,,,
172,water carbon dioxide sunlight,,,,,,,
173,Photosynthesis,,,,,,,
174,"If you photosynthesize under sunlight, you will get starch.",,,,,,,
175,"""I don't know",,,,,,,
176,"""",,,,,,,
177,"Sunlight, water, affection",,,,,,,
178,solar water,,,,,,,
179,I don't know.,,,,,,,
180,Teacher told me to stop.,,,,,,,
181,Meatchondria,,,,,,,
182,"Sunlight, Water",,,,,,,
183,It's sunlight and water.,,,,,,,
184,Sunlight,,,,,,,
185,I don't know,,,,,,,
186,"For warm sunlight, water, and soil",,,,,,,
187,Sun,,,,,,,
188,Dryer,,,,,,,
189,photosynthesize under sunlight,,,,,,,
190,Sunlight is needed for photosynthesis.,,,,,,,
191,Sunlight and carbon dioxide,,,,,,,
192,Sunlight water photosynthesis,,,,,,,
193,Water and carbon dioxide,,,,,,,
194,Photosynthesis,,,,,,,
195,Photosynthesis,,,,,,,
196,Photosynthesis,,,,,,,
197,"Sunlight, water, airWater, sunlight and air are needed.",,,,,,,
198,"water, air, sunlight",,,,,,,
199,"Sunlight, ball, soil",,,,,,,
200,"Sunlight, water, oxygen, soil",,,,,,,
201,water and sunlight,,,,,,,
202,I get the sun.,,,,,,,
203,Photosynthesis,,,,,,,
204,Photosynthesis,,,,,,,
205,I don't know.,,,,,,,
206,Photosynthesis,,,,,,,
207,Photosynthesis,,,,,,,
208,Photosynthesis,,,,,,,
209,photosynthesis,,,,,,,
210,"Sunlight, enough water, proper soil, etc",,,,,,,
211,"The leaves need to be photosynthesized, so they need to be exposed to sunlight.",,,,,,,
212,.,,,,,,,
213,need water and sunlight,,,,,,,
214,"Water, sunlight, carbon dioxide",,,,,,,
215,"We need sunlight, water, carbon dioxide",,,,,,,
216,"Biological environmental factors are needed.[Seafood, water, air, etc]",,,,,,,
217,"Light, wind, water, and so on.......................................................................................................................................................................",,,,,,,
218,Biological environmental factors such as sunlight and water are needed.,,,,,,,
219,"We need sunlight, soil, water, and chloroplasts.",,,,,,,
220,enjoy the sun,,,,,,,
221,"Sunlight, water, soil",,,,,,,
222,Could you explain it to me? I don't know...,,,,,,,
223,"We need photosynthesis, moisture and carbon dioxide",,,,,,,
224,sunlight nutrients soil water,,,,,,,
225,white,,,,,,,
226,I don't know.,,,,,,,
227,"It's water, oxygen, and ultraviolet rays.",,,,,,,
228,Sunlight,,,,,,,
229,"Sunlight, water, nutrients",,,,,,,
230,"Sunlight, moderate temperature, water, etc",,,,,,,
231,Need sunlight,,,,,,,
232,We need sunlight.,,,,,,,
233,We need sunlight to photosynthesize,,,,,,,
234,"Mitochondria, the Sun",,,,,,,
235,Sunlight,,,,,,,
236,water environmental light,,,,,,,
237,"Glucose, sunlight, water, etc",,,,,,,
238,"Water, sunlight, nutrients",,,,,,,
239,It is necessary because it is made from sunlight,,,,,,,
240,"Carbon dioxide, need sunlight",,,,,,,
241,Sunlight,,,,,,,
242,"Sunlight, glucose, water",,,,,,,
243,using photosynthesis,,,,,,,
244,"Light, carbon dioxide",,,,,,,
245,Use sunlight and water to make photosynthesis and nourishment.,,,,,,,
246,"sunlight, glucose, water",,,,,,,
247,"sunlight, water, etc",,,,,,,
248,"Sunlight, water, good soil",,,,,,,
249,I don't know,,,,,,,
250,"Sunlight, water",,,,,,,
251,photosynthetic damage,,,,,,,
252,You'll need sunlight and water,,,,,,,
253,I don't know....................,,,,,,,
254,"Sunlight, water",,,,,,,
255,"When plants grow by watering, they are made by themselves",,,,,,,
256,Sunlight,,,,,,,
257,I don't know,,,,,,,
258,We need sunlight,,,,,,,
259,"Sunlight, water, air",,,,,,,
260,"Sunlight, water, air, nutrients",,,,,,,
261,"water, sunlight, soil",,,,,,,
262,I don't know.,,,,,,,
263,"sunlight, water, various nutrients",,,,,,,
264,Sunlight,,,,,,,
265,Water Sunlight Time,,,,,,,
266,"We need water, sunlight, and air",,,,,,,
267,Sunlight,,,,,,,
268,photosynthetic sunlight water,,,,,,,
269,"Water, sunlight, air. [We need nature]",,,,,,,
270,"Sunlight, carbon dioxide, water",,,,,,,
271,"Sunlight, water, air",,,,,,,
272,a regular course,,,,,,,
273,Photosynthesis,,,,,,,
274,solar water,,,,,,,
275,"Sunlight, water, photosynthesis, soil, etc",,,,,,,
276,"Photosynthesis (water, sunlight, oxygen)",,,,,,,
277,"Water, sunlight, air",,,,,,,
278,"carbon dioxide, water",,,,,,,
279,"Photosynthesis (sunshine, water, oxygen)",,,,,,,
280,"Sunlight, water, manure, etc.",,,,,,,
281,"6H2O+6CO2+Light -> C6H12O6+6O2, C6H12O6+Heat+Enzyme->Starch",,,,,,,
282,"Photosynthesis, sunlight, water, soil, etc",,,,,,,
283,"Light, water, land",,,,,,,
284,"Sunlight, water, soil",,,,,,,
285,I don't know.,,,,,,,
286,"Sunlight, water",,,,,,,
287,"Sunlight, water",,,,,,,
288,Sunlight water,,,,,,,
289,Light and water photosynthesis or something,,,,,,,
290,Water,,,,,,,
291,"Sunlight, water",,,,,,,
292,sun-colored water soil,,,,,,,
293,"Sea, water and oxygen are needed.",,,,,,,
294,"We need sunlight, water, oxygen, etc.(photosynthesis)",,,,,,,
295,"Sunlight, need photosynthesis, water, air, etc",,,,,,,
296,"We need carbon dioxide.Water, sunlight, carbon dioxide are needed",,,,,,,
297,"Water, sunlight, etc",,,,,,,
298,"It rains and the sun shines, so plants make food by themselves",,,,,,,
299,"I need sunlight, and I drink water.",,,,,,,
300,Don't know,,,,,,,
301,"Sunlight, water, air",,,,,,,
302,We need sunlight and water.,,,,,,,
303,"water, proper temperature, sunlight, soil, air",,,,,,,
304,Sunlight land and water are needed,,,,,,,
305,"Photosynthesis, water.",,,,,,,
306,"""I Say """"I Don't No.""""""",,,,,,,
307,"Water, sunlight and soil?",,,,,,,
308,water and sunlight,,,,,,,
309,Photosynthesis,,,,,,,
310,"Water, sunlight, and air",,,,,,,
311,"Sunlight, water, air",,,,,,,
312,"Plants need water, carbon dioxide, and sunlight to make their own nutrients.",,,,,,,
313,"Water, sunlight, moderate temperature, air, soil",,,,,,,
314,Photosynthesis,,,,,,,
315,Sunlight,,,,,,,
316,"Because of the water sun, the weather",,,,,,,
317,Photosynthesis with leaves should be done to get nourishment from sun combs.,,,,,,,
318,We need the sun.,,,,,,,
319,"soil, air, sunlight, photosynthesis, water, etc.",,,,,,,
320,sunlight and water,,,,,,,
321,Sunlight,,,,,,,
322,"We need sunlight, carbon dioxide, and water.",,,,,,,
323,"Water, air,",,,,,,,
324,"Sunlight, water, moderate temperature",,,,,,,
325,"Photosynthesis occurs with sunlight, water, etc.",,,,,,,
326,"Plants must photosynthesize when they make their own nutrients. And plants need soil, water, and air to grow.",,,,,,,
327,"It sucks water into the roots, and sunlight has a great effect.",,,,,,,
328,I don't know,,,,,,,
329,"Sunlight, water, oxygen",,,,,,,
330,"There is water, air, sunlight, soil",,,,,,,
331,"Sunlight, water, air, and moderate temperature are needed.",,,,,,,
332,Sunlight,,,,,,,
333,"Photosynthesis, Water, Temperature",,,,,,,
334,"Sunlight, water, air",,,,,,,
335,Photosynthesis,,,,,,,
336,"Sunlight, water, good environment",,,,,,,
337,.,,,,,,,
338,"Water, carbon dioxide, sunlight",,,,,,,
339,"Sunlight, water, carbon dioxide",,,,,,,
340,Photosynthesis,,,,,,,
341,.,,,,,,,
342,Photosynthesis,,,,,,,
343,"Glucose, Oxygen",,,,,,,
344,"It takes light E, water, carbon dioxide to produce, organic matter to survive, water and light E",,,,,,,
345,"Carbon dioxide, water, and light energy",,,,,,,
346,"Photosynthesis converts light energy into chemical energy, carbon dioxide + water + light E -> glucose + water + heat E + ATP",,,,,,,
347,Photosynthesis,,,,,,,
348,ATP,,,,,,,
349,Water + Oxygen - Sunlight,,,,,,,
350,.,,,,,,,
351,.,,,,,,,
352,"water, carbon dioxide, sunlight",,,,,,,
353,Photosynthesis and respiration,,,,,,,
354,Photosynthesis,,,,,,,
355,Because I have to use carbs.,,,,,,,
356,Photosynthesis process required,,,,,,,
357,Sunlight water,,,,,,,
358,Light,,,,,,,
359,"Hae. Water. And ""Love"". Oh, not fertilizer",,,,,,,
360,"Light, water",,,,,,,
361,Glucose,,,,,,,
362,"Water, oxygen",,,,,,,
363,co2,,,,,,,
364,light oxygen,,,,,,,
365,"""In order to synthesize glucose by photosynthesis, light is needed in the light reaction process",,,,,,,
366,"The amount of RuBP to be used in the Calvin circuit of the cancer reaction by CO2 fixation should be sufficient.""",,,,,,,
367,You have to water it,,,,,,,
368,"Light, carbon dioxide",,,,,,,
369,"We need light, water and carbon dioxide.",,,,,,,
370,carbon dioxide water light,,,,,,,
371,"Sunlight, carbon dioxide",,,,,,,
372,"nutrients, water, sunlight, carbon dioxide, enzymes",,,,,,,
373,Sunlight,,,,,,,
374,The process of photosynthesis is necessary.,,,,,,,
375,Need light and nutrients to photosynthesize,,,,,,,
376,I don't know.,,,,,,,
377,"Plants make glucose through photosynthesis and store the remaining glucose in the form of starch. Therefore, carbon dioxide and water required for photosynthesis are needed to make starch.",,,,,,,
378,Photosynthesis,,,,,,,
379,carbon dioxide,,,,,,,
380,Photosynthesis and water,,,,,,,
381,"Water, oxygen, light energy",,,,,,,
382,Water Carbon Dioxide Light Energy,,,,,,,
383,"Light, water, carbon dioxide",,,,,,,
384,Light Energy Water Carbon Dioxide,,,,,,,
385,Sunlight,,,,,,,
386,"Water, oxygen, light energy",,,,,,,
387,"Sunlight, water and oxygen",,,,,,,
388,"Photosynthesis, water, carbon dioxide, oxygen",,,,,,,
389,water carbon dioxide sunlight,,,,,,,
390,Photosynthesis is required.,,,,,,,
391,"sunlight, water, soil",,,,,,,
392,"Water, light, energy",,,,,,,
393,need photosynthesis,,,,,,,
394,"Water, oxygen, light",,,,,,,
395,It's so hard...ããYou need to photosynthesize with the sun.,,,,,,,
396,Water and carbon dioxide,,,,,,,
397,Light energy is needed.,,,,,,,
398,Absorption photosynthesis,,,,,,,
399,Photosynthesis,,,,,,,
400,Photosynthesis,,,,,,,
401,"water, sunlight, wind",,,,,,,
402,water and sunlight,,,,,,,
403,"To make a living, too",,,,,,,
404,Water,,,,,,,
405,I don't know.,,,,,,,
406,"water, sunlight, wind",,,,,,,
407,Sunlight,,,,,,,
408,receiving the light of the sun,,,,,,,
409,I donât know well.,,,,,,,
410,Water,,,,,,,
411,Water and light,,,,,,,
412,"Sunlight, water, air time",,,,,,,
413,"Water, heat, wind",,,,,,,
414,need time,,,,,,,
415,It's a carbon dioxide water comb,,,,,,,
416,"Water, light, and soil are needed. I eat nutrients made from soil.",,,,,,,
417,I don't know.,,,,,,,
418,I need sunlight and water,,,,,,,
419,ã,,,,,,,
420,"Light, carbon dioxide, water.",,,,,,,
421,I need water.,,,,,,,
422,I need glucose.,,,,,,,
423,"In order for plants to make starch, glucose must be produced, and the necessary process is photosynthesis, which requires carbon dioxide and sunlight.",,,,,,,
424,Glucose,,,,,,,
425,Sunlight and carbon dioxide,,,,,,,
426,"We need carbon dioxide, water, and sunlight.",,,,,,,
427,Glucose and sunlight are needed.,,,,,,,
428,"We need light, water, and carbon dioxide.",,,,,,,
429,"We need carbon dioxide, water, light energy, chloroplasts",,,,,,,
430,"Photosynthesis, water, and carbon dioxide are needed.",,,,,,,
431,"Sunlight, water",,,,,,,
432,Photosynthesis is required.,,,,,,,
433,Rising SUN,,,,,,,
434,Making starch is anabolic and requires sunlight and oxygen.,,,,,,,
435,"Sunlight, carbon dioxide, water",,,,,,,
436,"We need carbon dioxide, glucose.",,,,,,,
437,"Photosynthesis is necessary for plants to produce nutrients, which require CO2, H2O, and light energy.",,,,,,,
438,"Plants need light, carbon dioxide and water to make starch.",,,,,,,
439,"Sunlight, carbon dioxide, water",,,,,,,
440,"It is light, water, carbon dioxide, chloroplasts",,,,,,,
441,"We need light energy, carbon dioxide, and water.",,,,,,,
442,"Plants need photosynthesis to make starch, which requires sunlight, water, and air.",,,,,,,
443,Sunlight,,,,,,,
444,carbon dioxide,,,,,,,
445,Photosynthesis,,,,,,,
446,Sunlight (food),,,,,,,
447,Sunlight and carbon dioxide,,,,,,,
448,"Water, carbon dioxide, and sunlight are needed.",,,,,,,
449,Don't know,,,,,,,
450,I don't know,,,,,,,
451,(wink),,,,,,,
452,I don't know.,,,,,,,
453,Photosynthesis,,,,,,,
454,I don't know.,,,,,,,
455,"Carbon dioxide, water, and solar energy",,,,,,,
456,Air,,,,,,,
457,Photosynthesis,,,,,,,
458,We need water and light for photosynthesis.,,,,,,,
459,"Oxygen, carbon dioxide, sunlight, water",,,,,,,
460,"Carbon dioxide, water",,,,,,,
461,.,,,,,,,
462,"Glucose, water, oxygen",,,,,,,
463,..,,,,,,,
464,"Water, light, oxygen",,,,,,,
465,"Water, sunlight",,,,,,,
466,Carbon Dioxide Water Solar energy,,,,,,,
467,Sunlight,,,,,,,
468,Light energy and ATP are needed.,,,,,,,
469,We need light and carbon dioxide,,,,,,,
470,"Sunlight, water",,,,,,,
471,It needs light and carbon dioxide.,,,,,,,
472,I don't know...,,,,,,,
473,sunlight and water,,,,,,,
474,There's no black cow who didn't skip Megal,,,,,,,
475,Water and glucose,,,,,,,
476,We need heat energy and water like sunlight.,,,,,,,
477,"Light, carbon dioxide, water",,,,,,,
478,Photosynthesis,,,,,,,
479,Photosynthesis,,,,,,,
480,Light energy,,,,,,,
481,Photosynthesis is needed through the sun's light.,,,,,,,
482,Plants photosynthesize to store glucose,,,,,,,
483,"sunlight, water, soil, fertilizer, etc",,,,,,,
484,Need sunlight water,,,,,,,
485,"We need sunlight, water, and carbon dioxide.",,,,,,,
486,"We need solar energy, H2O and CO2",,,,,,,
487,"Sunlight, water",,,,,,,
488,"Carbon dioxide, water, and light energy are needed.",,,,,,,
489,Photosynthesis,,,,,,,
490,"Water, carbon dioxide",,,,,,,
491,"We need light energy, carbon dioxide, and water.",,,,,,,
492,I need glucose.,,,,,,,
493,Don't know,,,,,,,
494,"Water, oxygen, and photosynthesis make starch.You need water and light to photosynthesize",,,,,,,
495,"Ultimately, glucose and oxygen are needed",,,,,,,
496,carbon dioxide and water,,,,,,,
497,need water,,,,,,,
498,assimilation,,,,,,,
499,water sunlight,,,,,,,
500,Sunlight,,,,,,,
501,Sunlight,,,,,,,
502,"Water, sunlight, etc. are needed.",,,,,,,
503,"Water, carbon dioxide, sunlight",,,,,,,
504,need water,,,,,,,
505,potassium iodide solution of iodine,,,,,,,
506,"Sun, Glucose, Water",,,,,,,
507,Photosynthesis with sunlight and many other things,,,,,,,
508,"Sun, Glucose, Water",,,,,,,
509,a light in the sun,,,,,,,
510,Water and carbon dioxide,,,,,,,
511,"Roots, stems, leaves",,,,,,,
512,Water and carbon dioxide,,,,,,,
513,"Most of the time, starch is made",,,,,,,
514,Water,,,,,,,
515,Sunlight,,,,,,,
516,I don't know.,,,,,,,
517,"sunlight, water and nutrients",,,,,,,
518,"soil, sun, water, wind",,,,,,,
519,I don't know.,,,,,,,
520,Don't know,,,,,,,
521,We need sunlight.,,,,,,,
522,"Light, water and carbon dioxide",,,,,,,
523,need photosynthesis,,,,,,,
524,the sun,,,,,,,
525,Sunlight,,,,,,,
526,need photosynthesis,,,,,,,
527,"Sunlight, water, greasy land, my love",,,,,,,
528,"We need water, soil, sunlight, carbon dioxide, etc",,,,,,,
529,photosynthetic material,,,,,,,
530,Don't know,,,,,,,
531,"Sea, water, air",,,,,,,
532,a photochemical star,,,,,,,
533,I'm sorry~,,,,,,,
534,need photosynthesis,,,,,,,
535,Sunlight water,,,,,,,
536,"Air, sunlight, water, carbon dioxide, nutrients",,,,,,,
537,"Sunlight, water, wind, etc",,,,,,,
538,photosynthetic material,,,,,,,
539,"Sunlight, water, carbon dioxide",,,,,,,
540,"Photosynthesis, sunlight, water, proper temperature",,,,,,,
541,Sunlight,,,,,,,
542,Carbon Dioxide Sunlight Water,,,,,,,
543,"water, sunlight, soil",,,,,,,
544,"Air, carbon dioxide water, sunlight, nutrients, photosynthesis",,,,,,,
545,I don't know.,,,,,,,
546,Photosynthesis is required.,,,,,,,
547,Photosynthesis,,,,,,,
548,"I think we need sunlight, soil, and so on.",,,,,,,
549,"water, sun, soil",,,,,,,
550,"Sunshine, water, nutrients",,,,,,,
551,"Sunlight, water, air",,,,,,,
552,Biological environmental factors are likely to be needed.,,,,,,,
553,I don't know.,,,,,,,
554,I need a new debt.,,,,,,,
555,"I think it's water, sunlight, solar power, etc.",,,,,,,
556,They photosynthesize.,,,,,,,
557,"When it rains, it absorbs water and grows under sunlight",,,,,,,
558,"Sunlight, air, water, etc",,,,,,,
559,You need enough water and adequate sunlight,,,,,,,
560,"Sunlight, water, soil",,,,,,,
561,I don't know,,,,,,,
562,"Light, water, sunlight, carbon dioxide",,,,,,,
563,They photosynthesize.,,,,,,,
564,watery soil,,,,,,,
565,I don't know,,,,,,,
566,"Water, sun debt, air, temperature",,,,,,,
567,"sunlight, water, soil",,,,,,,
568,"sunlight, water, appropriate temperature, and air, which are non-biological environmental factors, will be needed.",,,,,,,
569,"Sunlight, water, soil",,,,,,,
570,"Water, sunlight",,,,,,,
571,"""I don't know.",,,,,,,
572,,,,,,,,
573,,,,,,,,
574,,,,,,,,
575,"I don't know.""",,,,,,,
576,Chloroplasts photosynthesize sunlight to make nutrients.,,,,,,,
577,"sunlight, water, soil",,,,,,,
578,"Sunlight, water",,,,,,,
579,"Water, sunlight, soil, air, proper temperature",,,,,,,
580,I don't know,,,,,,,
581,"sunlight, water, etc",,,,,,,
582,I don't know.,,,,,,,
583,Sunlight water,,,,,,,
584,Photosynthesis,,,,,,,
585,"water, sunlight, and soil",,,,,,,
586,Photosynthesis,,,,,,,
587,"Sunlight, carbon dioxide, water",,,,,,,
588,"Sunlight, water, carbon dioxide",,,,,,,
589,"Carbon dioxide, water, sunlight",,,,,,,
590,"Sunlight, water, wind",,,,,,,
591,"Sunlight, water",,,,,,,
592,"Water, ground, air, sunlight",,,,,,,
593,"sunlight, water, etcPotatoes and onions",,,,,,,
594,"We need sunlight, water, and carbon dioxide.",,,,,,,
595,"Sunset, water air",,,,,,,
596,They photosynthesize,,,,,,,
597,Biological environmental therapy is required.,,,,,,,
598,"Biological environmental factors such as sunlight, water, soil, etc",,,,,,,
599,"There are leaves and stems, xylem and phyllm, which transport water to the stem and the phyllm transports food to the leaves, which are used to photosynthesize using chromosomes",,,,,,,
600,We need sunlight and water.,,,,,,,
601,"Sunlight, water, carbon dioxide",,,,,,,
602,Photosynthesis,,,,,,,
603,Photosynthesis is required.,,,,,,,
