,1) Why did the hot iron burn even though it didn't light it?,q29_Firepoint,q29_Temperature
85,It's because the iron is hot.,,
86,The temperature is very high,,
87,"The iron plate has an ignition point to catch fire, and the temperature of the hot iron does not reach the ignition point, so the plate does not catch fire, but it is close to the ignition point, so the traces remain and the plate is burned.",,
88,"The heat of the iron was so high that the fabric was not at a temperature that it could handle, so the fabric burned.",,
89,This is because the temperature of the fabric has increased above the ignition point.,,
90,"During the combustion process, fire increases the temperature between molecules so that the vibration speed can increase, thereby causing combustion.Here, the iron increases the vibration speed of the molecule to increase the temperature between the molecules of the iron plate to cause combustion.",,
91,The iron is hot,,
92,The heat from the iron heats up the fabric and generates heat,,
93,"While the iron plate was heated by high heat, it met oxygen and caught fire.",,
94,Because the cloth was burned and moved to the ironing board,,
95,"I think that as the heat of the iron is transferred to the iron plate as it is, the heat gradually rises and catches fire.",,
96,This is because heat was applied to the cloth continuously.,,
97,I don't understand.,,
98,"Because the hot iron conducted a lot of heat to the iron plate.The heat of the iron plate reacted with the cloth, causing the fire",,
99,"There was heat on the iron, so the heat collected and became hotter, forming a fire, and then the iron plate burned.",,
100,Because cloth is weak against fire,,
101,This is because the thermal conductivity is high and the thermal conductivity is increased.,,
102,"Because of the heat,",,
103,I think the heat on the iron was transferred to the cloth and the cloth caught fire.,,
104,"It gets hotter and hotter, and the heat becomes the temperature of the heat that burns and catches fire",,
105,"This is because the thermal conductivity of the hot iron is high, so the thermal conductivity is high.",,
106,It caught fire because there was temperature and substance and oxygen that reached the ignition point.,,
107,This is because the temperature of the cloth was so high that it caught fire while it was dry,,
108,It's heated up,,
109,The iron is heated,,
110,Because of the heat,,
111,The iron is hot,,
112,"This is because heat is conducted to the cloth and the heat conducted to the cloth is conducted to the iron plate, so the heat of the iron is conducted to the iron plate.",,
113,"It is necessary to catch fire because it is possible with temperatures above the ignition point, de-materials, and oxygen",,
114,The hot heat above the boiling point of the iron would have caused the iron to burn.,,
115,It's because of the heat of the iron,,
116,"Because of the heat of the iron,",,
117,Why do you ask when you know?,,
118,Because there's oxygen,,
119,Because the iron is too hot,,
120,be caught in a tropical gate,,
121,It's hard to live without it,,
122,Because the hot iron plate heated the cloth,,
123,I don't know.,,
124,The iron is hot,,
125,The iron is hot.,,
126,The ignition point went up,,
127,The hot iron went over the ignition point of the iron plate,,
128,The iron was so hot that the cloth on the board got hot and caught fire.,,
129,It's made of burning fabric,,
130,The hot heat is transferred to the plate,,
131,I put the iron in the crab's core,,
132,The iron is hot.,,
133,"Because it is a hot iron, the iron plate burns even if it is not lit.",,
134,Because the iron is hot,,
135,The hot iron put the ignition on the iron plate,,
136,"The clothes on the ironing board were burned, and the ironing board underneath was also burned.",,
137,This is because the iron plate has exceeded the temperature limit that it can withstand.,,
138,The iron is hot and it's made of cloth,,
139,"It seems that the heat transferred to the cloth and heated up at the same time, causing a fire",,
140,"When the heat on the iron rises to a temperature above the ignition point, it catches fire.",,
141,The temperature is high,,
142,in the heat of one's heart,,
143,The iron made the object burn by heating it up.,,
144,"The heat of the iron plate continued to heat up, causing a fire in the fabric.",,
145,The electricity heats up the iron,,
146,Because the iron has heat.,,
147,It's heated by high heat,,
148,This is because the high heat of the iron was transferred to the iron plate and exceeded the temperature of the ignition point.,,
149,"The heat of the iron was transferred to the cloth, and the temperature was higher than the ignition point, so it caught fire.",,
150,You need to reach the ignition point to catch fire,,
151,It goes up above the ignition point,,
152,This is because the temperature of the iron is higher than the ignition point.,,
153,It's because it's above the temperature of the ignition point,,
154,"If the temperature rises above the ignition point, it may catch fire.",,
155,This is because the temperature was originally high.,,
156,The hot iron burned to a temperature above the ignition point,,
157,"Because the hot heat of the iron moves to the iron plate, the iron plate can catch fire.",,
158,"The iron has a high heat, so the iron plate can burn even if it doesn't catch fire.",,
159,It's hot,,
160,It's heat transferred,,
161,The hot iron gave the iron a moderate amount of heat,,
162,The heat from the iron is hot,,
163,"Because of the high heat of the iron,",,
164,The iron is hot,,
165,The iron plate kept getting heated,,
166,The temperature is high enough for the iron to catch fire,,
167,Because the iron heated the cloth.,,
168,Because of the heat,,
169,Because the heat was transferred.,,
170,The iron burned with heat or an iron plate.,,
171,Because of the laws of the earth,,
172,Because the iron was placed on the ironing board,,
173,It takes time for the fever to cool off,,
174,Because heat is transferred,,
175,Because the heat of the iron was applied to the iron bullet.,,
176,It's because the heat caught fire,,
177,The iron is hot,,
178,The heat burned the iron.,,
179,This is because the hot heat of the iron moved to the iron plate.,,
180,Because the iron is hot,,
181,The iron got hot and the temperature went over the ignition point and caught fire.,,
182,The cloth on the iron plate is a material that burns easily. Cloth can burn at temperatures above the ignition point.,,
183,This is because cloth is a material that burns easily.,,
184,The iron is hot and plugged into the cord.,,
185,"The conditions that can make a fire are air, burning materials, burning materials, and the reason why the iron plate is on fire is because they're all equipped",,
186,It burns because the iron has heat.,,
187,"Heat makes fire, right?",,
188,It is because of the hot heat coming out of the iron.,,
189,The heat from the iron heats up,,
190,"The temperature of the iron was above the ignition point, and oxygen was supplied",,
191,"""The iron""",,
192,"""Because it's hot""",,
193,It's hot,,
194,The temperature went up,,
195,"The hot object kept on the iron plate, so the temperature increased and the fire started.",,
196,The iron is hot,,
197,The iron is so hot that the burning cloth seems to have burned the hot one hot?,,
198,"This is because the iron plate is hot, and the fabric is weak against fire.",,
199,The heat on the iron plate catches fire.,,
200,"""The iron is hot, but I'll put it on the iron plate and heat it up",,
201,"It's because I moved it.""",,
202,The iron was hot and the heat burned the cloth.,,
203,It's too hot,,
204,"Cloth is a fire sensitive material, so you have to turn off the iron.",,
205,Hot water or electricity. It's hot. It's burning,,
206,The temperature of the iron increases the opening point of the iron plate,,
207,A plate with a hot iron acts as a grinder.,,
208,It's a burning holy place,,
209,This is because the heat of the hot iron was transferred to the iron plate.,,
210,"First of all, the hot iron is not visible, but it is at least 50 degrees Celsius, so there is enough large heat that is not visible on the outside, so the iron plate is burned.",,
211,"Since the iron plate is very hot and the temperature of the iron is very high, heat is transferred and the iron plate is burned.If it had been a heatless and unused iron, it would not have caught fire.",,
212,"It has all the elements you need when a fire breaks out (de-materials, oxygen, temperatures above 100 degrees",,
213,"The hot iron, which still has heat, will continue to send heat while it is cooled, and the cloth that is receiving the heat will soon open and catch fire.",,
214,"Combustion (or burning) requires only oxygen, de-materials, and heat. The ignition point of the cloth is usually slightly higher than that of paper, and the wires specialized for the heat conduction of the iron plate emit tremendous heat. The contact between the two can lead to a fire if it lasts for a few minutes. The reason why it caught fire long after here was probably because the iron was cooling down or the wire was slowly turning over the electricity.",,
215,be evaporated by water,,
216,The cloth on the iron plate catches fire because of the heat.,,
217,It's hot,,
218,It's hot,,
219,Because the temperature has reached the ignition point,,
220,This is because the heat of the iron exceeded the temperature above the ignition point.,,
221,The heat of the hot iron seems to have caused a fire when the iron plate of cloth burned.,,
222,"Because heat conducts, it burns because of the hot heat.",,
223,It's because the fabric burns,,
224,The cloth on which the iron was placed became more than the ignition point and caused the fire to swell,,
225,This is because the temperature of the iron plate increased and the ignition point was reached.,,
226,This is because the iron plate is made of metal.,,
227,It's made so that the bottom of the iron can get hot quickly,,
228,The iron is hot,,
229,"Because there is enough oxygen in the air, it satisfies the conditions to catch fire",,
230,Because the heat of the iron moved to the cloth,,
231,The temperature must rise above the point of fire,,
232,Heat transfer,,
233,It's because the temperature has risen,,
234,"As the heat rises, it gets hotter and hotter and burns because there was a burning material called cloth.",,
235,It's hot under the iron,,
236,I don't know.,,
237,The hot heat of the iron was transferred to the iron plate.,,
238,"It doesn't catch fire, but if you heat the bottom of the iron, the fire is going to go down, so you heat that side",,
239,"Because the iron is hot and heated,",,
240,The heat of the iron heats up,,
241,It's because the hot iron is burning.,,
242,Because the iron was hot and moved to cloth.,,
243,Because the heat stream of the iron caught fire and spread through the radiant stream,,
244,I don't know,,
245,"There was heat on the hot iron, so the cloth burned and the heat spread to the fire.",,
246,"""The iron is very hot, so the thin fabric will burn easily without lighting it.",,
247,"I think the iron plate caught fire because the fabric was burnt.""",,
248,on a blanket of cloth,,
249,The heat of the hot iron moves to the iron plate and eventually burns.,,
250,"Cloth, cotton, and paper are easily burned by hot substances such as irons.",,
251,I don't know.,,
252,There's heat on the iron plate,,
253,The iron is hot,,
254,"Because it was close to the fire, it reached the ignition point.",,
255,It's heated,,
256,"Iron plate heat moves to cloth and many heat moves to cloth, causing fabric to burn",,
257,The fabric gets hot,,
258,"Because of the hot heat of the iron,",,
259,Because it's hot,,
260,"As the heat gathers, the temperature rises to the burning temperature, causing a fire",,
261,The iron is hot,,
262,Because the iron was hot,,
263,"The material that the iron burns easily, so keep heating it up",,
264,Because heat is transferred to the iron plate,,
265,The heat went up and the fire started,,
266,The heat left on the iron is hot.,,
267,"Because the iron plate of cloth was heated by the iron,",,
268,The fire started because it reached the temperature where the fire could break out,,
269,The iron kept heating up.,,
270,It's because I got a lot of heat.,,
271,This is because there was a temperature above the ignition point and a burning substance.,,
272,"During the burning conditions, temperatures above the de-material cloth and ignition point occurred, and oxygen caught fire because it was in the air.",,
273,"However, the iron plate has a temperature above the de-material and ignition point, but oxygen is covered with a cloth, so it does not cause a fire and is scorched.""",,
274,It is because I received it to the point where the fever burned.,,
275,I don't know.,,
276,The heat from the iron reached the ignition point of the iron plate and created a fire,,
277,The high heat on the iron caused it to burn.,,
278,I don't know.,,
279,It's hot,,
280,This is because the hot heat on the iron went up more than the point where only the part of the iron plate with the iron was burned by the very hot heat.,,
281,This is because the iron is constantly heating up.,,
282,Because hot objects stay on the easy-to-burn cloth for a long time,,
283,The temperature of the cloth that touches the iron rises and it catches fire by reaching the heating point,,
284,The high temperature heat of the iron causes it to burn.,,
285,This is because the high temperature worked in a narrow area for a long time.,,
286,The fabric catches fire because of the high temperature,,
287,It's hot,,
288,be at the point of ignition,,
289,The temperature went over the ignition point,,
290,This is because the combustion process occurs as the temperature above a certain level is heated to the fabric material.,,
291,This is because the iron is hot enough to catch fire and the fabric burns well.,,
292,The iron was hot enough to burn a cloth,,
293,It's because of the heat.,,
294,?,,
295,The temperature goes up to the point where it's burning,,
296,I don't know.The heat burned the iron plate,,
297,It is because the fever is high.,,
298,The iron plate is hot,,
299,"It's made of burning fabric, oxygen, and heat is applied heat",,
300,"As time goes by, the temperature goes up",,
301,Don't know,,
302,"This is because the temperature of the iron is hot, and the plate is getting scorched and burned.",,
303,This is because the temperature has risen above 100 degrees.,,
304,It was so hot that my clothes burned and caught fire,,
305,Because the temperature is high,,
306,in the heat of one's heart,,
307,It's hot,,
308,This is because the heat on the iron plate is still high.,,
309,"Because the temperature of the iron went up,",,
310,"This is because the heat of the iron was conducted to the cloth on the iron plate, and the temperature rose above the firing point of the cloth on the iron plate.",,
311,This is because the iron plate has reached the temperature at which it starts to burn.,,
312,"There is oxygen and heat is generated, so there is a fire",,
313,It's because it's over a certain heat temperature,,
314,I don't know,,
315,This is because the iron plate has reached the burning temperature.,,
316,"""If you put an iron on the cloth, it blocks oxygen supply",,
317,"""",,
318,The cloth covered on the iron plate becomes more than the ignition point and catches fire.,,
319,This is because the iron has exceeded a certain temperature at which the fabric burns.,,
320,The temperature is so high that it burns,,
321,The hot iron on the cloth catches fire when it exceeds a certain temperature,,
322,The temperature of the iron raised the temperature at which the fabric was fired and started to burn.,,
323,"When a hot iron is placed, it affects the iron panson and catches fire",,
324,The hot iron goes near the ignition point,,
325,The temperature is very high,,
326,"Because it is too hot, after some degree of heat is applied, the heat becomes stronger and catches fire. Also, the fabric is dry, so it can catch fire easily with just heat",,
327,at a very high temperature,,
328,This is because it supplied more than a certain temperature that could cause a change in the state of the cloth.,,
329,This is because the heat of the hot iron caught fire as it crossed the ignition point of the substance,,
330,This is because the temperature above the ignition point of the iron plate was applied.,,
331,"When the temperature reaches a certain temperature, it becomes the ignition point and catches fire",,
332,Heat becomes hotter and burns,,
333,The fire occurred due to temperature and oxygen above the ignition point.,,
334,"The reason why the iron blooms clothes is because of the large amount of heat from the iron, which I think caused the iron plate to burn. For example, if you stand around a stove in winter, you can think of an example of burning even if there is no fire.",,
335,Because there was a cloth to ride.,,
336,"Because the iron is placed on the iron plate, the supply of oxygen is not desired among the conditions that catch fire (combustion), so the fire becomes sufficient conditions for oxygen to burn long after the fire.",,
337,The heat was so strong that it spontaneously ignited.,,
338,Because it's hot ^-^,,
339,It's hot,,
340,It's hot,,
341,It's hot,,
342,I don't know,,
343,The iron kept getting hot and caught fire,,
344,"There was a hot iron on the iron plate, so it was left intact and burned",,
345,The iron is heated,,
346,I think the hot water in the iron burned me,,
347,It's because it got hot,,
348,There's a hot wind,,
349,It's been too long,,
350,Your clothes catch on fire. Your irons carry heat,,
351,"Water was boiled and the heat moved to the bottom of the iron to heat it up, causing the heat at the bottom of the iron to cause the fire.",,
352,Don't know,,
353,The hot iron caught my clothes on fire.,,
354,I don't know,,
355,Because of the heat.,,
356,It's an iron plate made of cloth,,
357,"If you just put the hot iron on it, it gets hotter and burns because of the embers.",,
358,It's because my temperature went up,,
359,This is because the iron evaporated and caused a fire due to heat.,,
360,"When heat is collected in one place, it cannot withstand heat and causes a fire",,
361,It's because there's a fever left.,,
362,Temperature above the ignition point,,
363,Because heat is applied to the point where the substance will be burned.,,
364,It goes up above the ignition point,,
365,It's because it's reached the point of ignition,,
366,Because it reached the point of ignition,,
367,The heat went over the ignition point,,
368,It goes up above the ignition point,,
369,"The heat from the iron goes to the iron plate, but if the heat continues to gather, the fire will start",,
370,The iron is hot,,
371,Go up above the ignition point,,
372,The hot heat in the iron burns the fabric.,,
373,Heat energy is transferred to the iron plate,,
374,The heat on the iron goes down and the iron plate burns.,,
375,"There was de-materialization, oxygenation, temperature above the ignition point.",,
376,This is because the temperature has increased.,,
377,The heat on the iron plate burned,,
378,The temperature of the iron plate rises above the ignition point,,
379,I don't know,,
380,The heat continues to burn.,,
381,"The fire starts when the temperature is above the ignition point, but the iron heats up and rises above the ignition point, which is why the fire started",,
382,This is because the heat generated in the iron moved to the heat plate of the iron.,,
383,It's hot,,
384,The heat in the iron is transferred to the hot plate.,,
385,There is carbon because of the fabric,,
386,at a temperature above the ignition point,,
387,It's heat transferred,,
388,Oxygen in the atmosphere decomposed by the heat of the iron meets the cloth and causes a combustion reaction.,,
389,It's dry and it's got oxygen,,
390,The temperature is above the ignition point,,
391,I don't know,,
392,above the ignition temperature,,
393,This is because the temperature has risen above the ignition point of the iron plate.,,
394,The iron was hot because the heat moved,,
395,There's a fireThe iron plate hasn't cooled down yet,,
396,I still have heat on the iron plate,,
397,Only my legs are hot,,
398,The hot heat of the iron burned the sheet of cloth,,
399,The fabric couldn't handle the heat of the iron,,
400,I'll heat,,
401,The iron plate is hot because it touches the clothes.,,
402,The temperature has risen,,
403,High temperatures destroyed the structure of the iron plate molecules,,
404,due to heat conduction,,
405,There's high temperature and oxygen,,
406,"As the hot iron and the iron plate adhere together, the iron can catch fire because it is very hot",,
407,ã,,
408,The iron was hot,,
409,Because cloth reacts to hot things.,,
410,This is because there is heat left on the iron plate.,,
411,Because of the heat,,
412,This is because the temperature has increased.,,
413,"A hot iron touches and heats up the heat, causing a fire.",,
414,My temperature is high,,
415,I don't understand.,,
416,This is because the hot iron transferred heat.,,
417,with a strong temperature,,
418,This is because the heat keeps coming out.,,
419,Because the iron is very hot.,,
420,The iron was hot and the iron plate burned.,,
421,Because of the heat,,
422,The iron was heated up,,
423,The iron gate caught fire when the heat was transferred to the iron plate.,,
424,The iron is hot,,
425,It's made of cloth.,,
426,The iron is hot,,
427,"The heat of the iron is transferred to the plate, causing a fire.",,
428,This is because the hot iron transferred heat.,,
429,This is because the fire was quickly transferred from the iron to the iron plate.,,
430,The hot iron burns when it touches the clothes,,
431,It's hot,,
432,"Because of the high temperature of the iron, it reached the ignition point",,
433,High temperatures are applied to the air,,
434,The iron plate was heated by the iron,,
435,The hot iron burned the cloth,,
436,The heat of the iron went up so fast that the fire broke out because of friction with the cloth,,
437,There is a heat transferor for heat to travel.I,,
438,"As the heat on the iron moves to the iron plate, the temperature at which the fabric is burned rises, and the iron plate is burned.",,
439,The heat of the iron seems to have caused the fire.,,
440,It's so hot that it,,
441,It's an iron that's heating up,,
442,"Too hot heat is applied and it combines with oxygen in the air, causing a fire",,
443,The iron is hot,,
444,I sprayed water and didn't catch fire. I just burned the iron plate,,
445,It's because the temperature has risen to the temperature where the fire starts,,
446,Tom when the temperature is above a certain temperature,,
447,It's because the iron plate is so hot that it's because it's hot,,
448,"The hot iron stays on the cloth, but it gets hot and burns",,
449,"This is because if the temperature exceeds a certain temperature, it catches fire.",,
450,"Because the fabric is weak against heat, it puts on an iron that has a lot of heat",,
451,Because heat is conducted,,
452,This is because the heat remaining on the iron was conducted to the iron plate.,,
453,It's because the heat is transferred,,
454,"Since the cloth is burnt, the ironing board is burnt",,
455,The hot iron causes the fabric to get hotter and burn.,,
456,Cloth catches fire easily,,
457,The heat was higher than the constant temperature and caught fire,,
458,Because the heat of the iron is too hot.,,
459,It must have caught fire because of the high temperature,,
460,I don't know.,,
461,The continuous time and friction of the hot heat of the iron,,
462,It's too hot,,
463,???????,,
464,It's hot,,
465,in a fever,,
466,The iron plate burns because of the heat as the iron heats up.,,
467,It's because of the heat,,
468,Because the iron was hot and the iron plate kept getting hot,,
469,The iron is hot,,
470,The fire is coming out,,
471,It's too hot,,
472,The iron is hot,,
473,The weather is hot and the iron is heated.,,
474,This may be because the iron is already heated.,,
475,The iron is hot.,,
476,It's so hot,,
477,"I get on the ironing board, too",,
478,Iron plates are materials that don't burn easily,,
479,The iron has enough heat,,
480,The iron burns the clothes by heating.,,
481,Iron is a gate that can move heat,,
482,"Because the iron is a steam iron, it makes water evaporate",,
483,"I got a fever, so I rode it together",,
484,The iron already has enough heat,,
485,The iron has enough heat,,
486,The temperature got too high,,
487,"It was because there was a cloth iron plate, air, and hot heat needed in case of a fire.",,
488,The heat gathered,,
489,I put a hot iron on the stream,,
490,The moisture is gone,,
491,The heat from the iron moves to the iron plate,,
492,The heat from the iron moves to the iron plate,,
493,The heat of the iron moves,,
494,The heat is shiftingThe heat is shifting,,
495,The heat moves to the ironing board,,
496,The heat of the iron moves to the cloth iron plate and catches fire.,,
497,The heat is shifting,,
498,...,,
499,"This is because the temperature of the iron is higher than the ignition point of the cloth, there is enough oxygen around it, and the cloth is a burning material.",,
500,The iron is too hot,,
501,The iron is hot,,
502,I don't know,,
503,It's too hot,,
504,Because the iron has hot heat and the iron plate is cloth,,
505,The iron is hot,,
506,"""Because of heat transfer,",,
507,"""",,
508,Because the iron is hot.,,
509,Because of the heat transfer...,,
510,--,,
511,The heat moved from the iron.,,
512,M and D,,
513,I think it's because the heat is too hot.,,
514,It's getting hot,,
515,This is because the heat on the iron moved to a cloth iron plate.,,
516,Because of the heat,,
517,I don't know.,,
518,I don't know.,,
519,"Because irons iron clothes with hot temperature,",,
520,I don't know.,,
521,"""Because the cloth was burned",,
522,"""",,
523,The iron is hot,,
524,The iron is hot,,
525,"Because the iron is hot by heating it up,",,
526,The fabric burns,,
527,"The iron is not lit, but the iron plate can burn because it is hot.",,
528,The iron is hot,,
529,"Since the heat goes up,",,
530,The fire spread,,
531,"I had to turn off the iron, but it just went away",,
532,I don't know,,
533,I don't know,,
534,I don't understand.,,
535,lol,,
536,This is because the temperature increased and heat was generated.,,
537,The hot iron kept sticking to the cloth iron plate and caught fire.,,
538,"In order to catch fire, you need oxygen, something to burn, and fire, but the fabric will burn, and the oxygen is in the air, and there was a hot iron instead of fire, so the iron plate burned.",,
539,"The conditions for fire are that the material to be burned, sufficient temperature, and oxygen, where the iron provided sufficient temperature.",,
540,"Three conditions are needed to be combustible. They are heat, oxygen, and de-materials. Oxygen was usually satisfied because it existed everywhere on Earth, and heat was satisfied because the iron was hot. Finally, the fabric could be burned, so the last conditions were met. Therefore, although it was not lit, the ironing board could be lit.",,
541,"""The heat released from the iron accumulated, causing the iron plate to burn",,
542,"""",,
543,This is because the iron itself generates high heat and the temperature rises above the ignition point.,,
544,This is because the hot iron raised the temperature of the cloth iron plate.,,
545,The temperature of the iron is so high that the temperature of the iron plate increases gradually and the iron plate burns,,
546,"When the fabric on top burned and directly contacted the fire, rapid oxidation occurred, causing the metal iron plate to change black.",,
547,"In order to catch fire, three conditions are required: temperature above the ignition point, de-material, and oxygen, and the iron plate was ignited because it met the three conditions even if it was not directly lit.",,
548,"If you keep applying hot heat to the cloth iron plate, the temperature rises and exceeds the temperature that catches fire, and it catches fire.",,
549,The fabric burns better,,
550,This is because the temperature of the iron was higher than the ignition point of the iron plate.,,
551,"This is because there is an iron plate that was oxygen and de-material, and the temperature of the iron plate became higher than the ignition point due to the iron.",,
552,"Since the de-material fabric was under the hot iron, and there was a hot iron that reached the ignition point, there was an element that satisfied the firing conditions, so it caught fire and the iron plate burned.",,
553,I'm sorry.,,
554,"Fire is caused by a lot of energy (heat), and when air is supplied, it catches fire. Therefore, since the dam is hot, heat is supplied, and air is supplied, so fire may occur.",,
555,"High heat is generated by the iron, and as a result, the temperature of the iron plate increases rapidly, thereby increasing reactivity with oxygen. Since the combustion reaction is a bond with oxygen, the use of an iron may cause combustion and fire.",,
556,"For combustion, a temperature higher than oxygen and the firing point is required, and the temperature of the iron plate rises above the firing point by the hot iron, and because there was oxygen, the combustion conditions were met and the iron plate burned.",,
557,"The temperature of the fabric iron plate increases due to the hot iron, and the temperature of the iron plate increases to the burning point of the fabric, satisfying the three conditions of fire: temperature, de-material, and oxygen.",,
558,"If the temperature of each material increases above a certain temperature, it will catch fire and burn even if it is not directly lit.",,
559,"This is because the hot iron was located in one place for a long time and raised the temperature above the ignition point of the cloth. Each substance has its own ignition point, which fires when the temperature rises above the ignition point.",,
560,"De-materials, oxygen, and sufficient temperature are required to cause a fire. The iron plate has de-materials, and oxygen around it. In conclusion, the hot iron was still on the iron plate, so it reached a sufficient temperature and the leg plate burned.",,
561,under the heat,,
562,The fire broke out at a certain temperature,,
563,There's a heat on the iron,,
564,I don't know,,
565,.,,
566,"Each material fires at a certain temperature, because the cloth reaches that temperature through the iron.",,
567,direct contact with fire,,
568,It's heated up to the heating point,,
569,"Now that you've heated it up, go",,
570,It's hot,,
571,It's hot,,
572,It's because they're different in nature.,,
573,Fire occurs when the temperature is above a certain temperature.,,
574,The iron is hot,,
575,I don't know.,,
576,Because the iron plate is made of non-burnable material,,
577,The iron heats up and reaches the ignition point,,
578,?,,
579,The temperature goes up above the ignition point,,
580,The heat keeps going,,
581,It's because of the fever.,,
582,The temperature of the iron is high,,
583,The temperature of the iron was higher than the firing temperature of the cloth and caught fire.,,
584,"There's no fire, but the temperature is high.",,
585,It's because of electricity and water vapor.,,
586,It is because of the constant heat applied.,,
587,It's hot,,
588,I'll heat. I'll heat it up,,
589,"The temperature didn't rise to the point of fire, but the iron seemed to burn with a constant supply of heat.",,
590,It is because it has high conductivity and oxygen.,,
591,heated up,,
592,Because it gets hotter as time goes by.,,
593,The iron plate hasn't been heated enough to catch fire yetIt's not hot enough to catch fire,,
594,It's not the temperature at which the iron plate catches fire,,
595,Because the iron is hot,,
596,This is because the temperature of the hot iron was higher than the ignition point of the iron sheet fabric.,,
597,It is because of the hot heat of the iron or the heat of electricity.,,
598,"This is because the hot iron supplied heat energy enough to reach a temperature above the firing point of the cloth, and there was enough oxygen.",,
599,The fabric is heat transferreduced,,
600,"Because of the heat and water in the iron,",,
601,It's hot,,
602,It's hot,,
603,yo,,
604,I'm done with a lighter,,
605,Because the iron is hot,,
606,It's hot,,
607,heat conduction,,
608,"When the noodles are heated to high temperatures, they start to burn and start to catch fire",,
609,The temperature of the hot iron exceeded the ignition point,,
610,"This is because it burns when there is de-material, oxygen, and temperature above a certain standard.",,
611,This is because the ironing board is weak at hot temperatures.,,
612,"""",,
613,The iron is hot,,
614,The hot steam raised the temperature.,,
615,It's because the temperature is high,,
