,"16. The particles that make up the material do not stay still and move constantly on their own. This is called particle motion, and what are some of the natural phenomena caused by particle motion? Let's explain it in detail using our knowledge of particle motion. ",q16_Diffusion,q16_Atmosphere,q16_Heat conduction,q16_State change
379,Muscle exercise,,,,
380,"When the frying pan is heated, the handle is also heated by the movement of the particles.",,,,
381,I don't know,,,,
382,I don't understand.,,,,
383,I'm sorry,,,,
384,fine dust,,,,
385,I don't know.,,,,
386,Spreading,,,,
387,electric power,,,,
388,photosynthesis of plants,,,,
389,"When the pan of the frying pan is heated, the handle is also heated by the movement of the particles.",,,,
390,"When the pan of the frying pan is heated, the handle is also heated by the movement of the particles.",,,,
391,Heat is generated as the particles move.,,,,
392,I don't know.,,,,
393,"Water evaporates when left at room temperature.This is because water molecules on the surface move constantly, breaking the bonds between water molecules and moving into the air.",,,,
394,Unknowingness,,,,
395,I don't knowUnknowingness,,,,
396,I don't know,,,,
397,I don't know,,,,
398,I love you ^^,,,,
399,ã± and ã,,,,
400,Balloon,,,,
401,photoelectric effect,,,,
402,Front door sensor,,,,
403,"The natural phenomenon caused by the movement of particles is the heat radiated to water by solar heat, and water evaporates and condenses into the sky to form clouds.",,,,
404,the phenomenon of water flowing,,,,
405,It can be seen that it is alive because of the movement of the particles.,,,,
406,"Lightning: On rainy days, in clouds containing a lot of electrons, an electric current is generated as electrons flow down the ground in rainwater.",,,,
407,"There are microphones, speakers, and so on. The microphone vibrates the sound, so the sound diffuses.",,,,
408,"Lightning, thunder",,,,
409,Photosynthesis,,,,
410,"There are various kinds of particle motion, such as diffusion, osmotic pressure, and photoelectric effects.",,,,
411,"Photosynthesis, in particular, is the effect of the particulate nature of light. In addition, various weather phenomena caused by convection can be seen as well.""",,,,
412,"When water is boiled, the particle movement of the water becomes active, and the temperature of the water rises.",,,,
413,"If you look at the smell moving far away rather than in one space, you can see that the particles are moving without stopping.",,,,
414,The particles in the air move and wind blows.,,,,
415,"When water is in a solid state (ice), the movement of particles is reduced, and as the movement of particles increases, the distance between the particles increases to become a liquid, and later becomes a gas.",,,,
416,Gas molecules diffuse around as they move constantly in the air.,,,,
417,"Because the particles move, when water is boiled, it evaporates and flies into the atmosphere.",,,,
418,There is a phenomenon that spreads when pigment is dropped on the water. This phenomenon is that pigment molecules move in the water and appear to spread because they move constantly without staying still.,,,,
419,Water molecules move constantly and evaporation occurs on the surface of the water.,,,,
420,"All phenomena in which the shape of an object varies, such as waves, cloud movements, etc., involve particle motion.",,,,
421,"The particles that make up the material are not stationary and move constantly, and a representative example of a natural phenomenon caused by this is smell. Smell is what is felt as the molecules, which are particles that make up a substance, are spread around by diffusion and stimulate our olfactory cells. Therefore, this can be said to be a phenomenon caused by the movement of particles.",,,,
422,"Even if you don't get close to the flower, it smells because of diffusion",,,,
423,"As the water molecules that make up water constantly move, pollen floating on the water moves around accordingly.",,,,
424,"When pollen is floated on the water, it moves irregularly.",,,,
425,There is diffusion in natural phenomena caused by particle motion.,,,,
426,"Typhoon, rainy season, drought, low birth rate and aging population",,,,
427,Ankimchi. (Ankimchi in Korean),,,,
428,"""",,,,
429,"Lightning, caused by collisions between particles",,,,
430,fine dust,,,,
431,fitness center.,,,,
432,fitness center.,,,,
433,I sweat when I work out,,,,
434,The air gets warm.,,,,
435,I think there will be fine dust.,,,,
436,"Fine dust, etc",,,,
437,fitness center,,,,
438,fitness center,,,,
439,My body gets hot when I exercise,,,,
440,The temperature changes according to the particle's momentum,,,,
441,"Particle motion has diffusion and when deodorant is sprayed in a space, the scent spreads under the influence of wind or other influences",,,,
442,There are diffusion and evaporation lights,,,,
443,There are typhoons and rainy seasons.,,,,
444,Falls,,,,
445,I don't know.,,,,
446,I don't know.,,,,
447,"Smelling molecules are constantly moving and bumping into each other, spreading into the air",,,,
448,A phenomenon in which chalk does not mix with water and ethanol,,,,
449,"As the particle passes through the metal tube at a constant speed, the step shape, the kinetic energy received as the particle accelerates is constant, and the kinetic energy is proportional to the square of the speed, so the increase in speed is gradually reduced",,,,
450,I don't know,,,,
451,Fire and flood and so on,,,,
452,It's raining.,,,,
453,Evaporation,,,,
454,I don't understand.,,,,
455,Blowing air into the balloon increases the balloon.,,,,
456,It is the movement of particles because the balloon is blowing.,,,,
457,There is a typhoon.,,,,
458,I don't understand.,,,,
459,Fire Generation,,,,
460,evaporation of water,,,,
461,Particle movement is carried out by heat transfer,,,,
462,"Of course, all natural phenomena",,,,
463,Spreading,,,,
464,the spread of fart smell,,,,
465,I don't know.,,,,
466,Junho's smell is spreading.,,,,
467,Mr,,,,
468,the conduction of heat,,,,
469,heat conduction,,,,
470,Electromagnetic waves are generated by the vibrational motion of electrons.,,,,
471,The movement of the particles allows living things to live.,,,,
472,surface tension,,,,
473,It's an adhd.,,,,
474,I don't know,,,,
475,the destruction of the ozone layer,,,,
476,"Particle movement occurs, such as the movement of electrons, such as lightning.",,,,
477,the effect of a magnet,,,,
478,I don't know,,,,
479,The water is cut off.,,,,
480,Air circulation is typical,,,,
481,Spreading,,,,
482,all phenomena,,,,
483,Lightning,,,,
484,The water keeps evaporating.,,,,
485,It's all exercise.,,,,
486,Increasing entropy,,,,
487,circulation of air,,,,
488,the law of increasing entropy,,,,
489,"An example is the process by which nuclear fission occurs. When nuclear fission occurs, neutrons constantly move and generate energy by amplifying or decreasing it.",,,,
490,"""The Waves""",,,,
491,"Wave is a natural phenomenon caused by wind, but the movement of the owner varies depending on the natural sea wave and the deep sea wave, so the particles of the deep sea wave circle, but the natural sea wave ellipses.""",,,,
492,"There's an aurora. Aurora occurs when charged particles emitted from the sun collide with the Earth's magnetic field, where they glow.",,,,
493,Earthquake,,,,
494,ã´ãã¹ã´ãã±ìºã´ã·ì¼ã ã´ã·I didn't learn it!,,,,
495,Unknowingness,,,,
496,66áá¥ããããã,,,,
497,Plant growth changes the land,,,,
498,particle motion,,,,
499,molecular cooking,,,,
500,Person?,,,,
501,Ha ha ha ha.,,,,
502,Particles work out. I have a question Is particle exercise aerobic or anaerobic exercise?,,,,
503,the growth of plants,,,,
504,Moreugesseum,,,,
505,"the rotation of the earth, seasonal changes due to revolution, etc",,,,
506,The particles are active,,,,
507,There's a fire,,,,
508,Particles move.,,,,
509,It's going to grow,,,,
510,This natural phenomenon is the act of living things.,,,,
511,Particles exercise more than I do.,,,,
512,I don't know.,,,,
513,Don't know,,,,
514,I don't know,,,,
515,A typhoon?,,,,
516,I don't know.crying,,,,
517,I don't know. I hate science. Geukyeom,,,,
518,Yes.,,,,
519,Do.,,,,
520,"The atoms or molecules that make up a solid are attracting each other with strong attractions, and because atoms or molecules are regularly arranged, they cannot move freely, so they are only vibrating in place. Continuous lowering of the temperature is expected to stop the vibration of these solid molecules, which is about -273Â°C, and this temperature is called absolute zero (0 K). On the contrary, if the temperature of the solid is increased, the vibration of molecules or atoms is accelerated and the regular molecular arrangement of the solid collapses and turns into a liquid when it reaches the melting point.",,,,
521,,,,,
522,"As a way of describing the motion of solid molecules, the set of atoms or molecules that make up a solid can be likened to a set of heavy particles connected by very light springs with little mass, and intermolecular bonds can be thought of as each spring binds adjacent particles. When an external force is applied, the entire set of particles is compressed, expanded, or distorted, just like the properties of solids we know.",,,,
523,,,,,
524,"""In the case of heating a solid, if the heated molecule vibrates more, the neighboring molecules vibrate together, explaining the conduction of heat. If the solid particles become too large to break the spring, the regular arrangement collapses and melts into a liquid.""",,,,
525,"The atoms or molecules that make up a solid are attracting each other with strong attractions, and because atoms or molecules are regularly arranged, they cannot move freely, so they are only vibrating in place. Continuous lowering of the temperature is expected to stop the vibration of these solid molecules, which is about -273Â°C, and this temperature is called absolute zero (0 K). On the contrary, if the temperature of the solid is increased, the vibration of molecules or atoms is accelerated and the regular molecular arrangement of the solid collapses and turns into a liquid when it reaches the melting point.",,,,
526,,,,,
527,"As a way of describing the motion of solid molecules, the set of atoms or molecules that make up a solid can be likened to a set of heavy particles connected by very light springs with little mass, and intermolecular bonds can be thought of as each spring binds adjacent particles. When an external force is applied, the entire set of particles is compressed, expanded, or distorted, just like the properties of solids we know.",,,,
528,,,,,
529,"In the case of heating a solid, a large vibration of a heated molecule can explain the conduction of heat because neighboring molecules vibrate together under the vibration, and if a solid particle is too large to break the spring, its regular arrangement collapses and melts into a liquid.""",,,,
530,Mushrooms,,,,
531,.,,,,
532,People let them move,,,,
533,.,,,,
534,Don't know,,,,
535,I think it makes my body sweat.,,,,
536,I've never heard of it before,,,,
537,I don't understand.,,,,
538,I don't know.,,,,
539,"The movement of the particles becomes more active when the temperature is higher, so the volume increases.",,,,
540,I don't know.,,,,
541,"For example, balloons are inflated because particles are moving in them.",,,,
542,Melt: Melt iron over fire. Sublimation: Sex occurs in winter.,,,,
543,"Just as tiny particles of air move and create wind, liquid or dough changes shape when touched. Therefore, I think wind, tsunami, and earthquake are the same principles.",,,,
544,Don't know,,,,
545,Don't know,,,,
546,?,,,,
547,You're losing weight. You're getting healthier,,,,
548,The particles must be working out hard,,,,
549,I have no idea.,,,,
550,The active movement of particles is what keeps our bodies moving and healthy,,,,
551,Don't know,,,,
552,I don't know.,,,,
553,Unknowingness,,,,
554,The wind is blowing.,,,,
555,Unknowingness,,,,
556,Unknowingness,,,,
557,I don't know.,,,,
558,Don't know,,,,
559,to be able to blow a balloon(?),,,,
560,It is said that 100 million particles move when a worm moves a meter,,,,
561,I don't know.,,,,
562,"If you change the water into another cup, the amount is the same, but the shape is different",,,,
563,I don't know I only know that it' water,,,,
564,The particles move to maintain balance with all life.,,,,
565,I don't know.,,,,
566,I don't know,,,,
567,I don't know.,,,,
568,I don't know,,,,
569,I don't understand.,,,,
570,Temperature change,,,,
571,I don't know,,,,
572,It transmits heat or electricity.,,,,
573,Diffusion occurs when the scent spreads.,,,,
574,"As the particles move, the temperature of the particles increases. As the temperature of the particles rises, various changes occur, such as changes in the state of the material.",,,,
575,The time of the flies,,,,
576,Diffusion occurs.,,,,
577,"""",,,,
578,"Evaporation, diffusion""",,,,
579,There are evaporation and diffusion lights.,,,,
580,I don't know...................................................,,,,
581,a plant grows fast,,,,
582,"Examples of particle motion are evaporation and diffusion, and as the particle moves, it changes into a gas and spreads into the air.",,,,
583,The balloon swells.,,,,
584,"There is evaporation and diffusion, evaporation rises by heat, and diffusion is driven by air",,,,
585,"""It turns into a gas as you exercise, and the gas evaporates and spreads into the air",,,,
586,,,,,
587,"""",,,,
588,"We don't really feel it because we move particles in every material, but we will always move according to the movement of particles",,,,
589,"There are phenomena in which particles become gases as they move and evaporate, and then diffuse into the air.",,,,
590,Because particles do many things,,,,
591,"Well, this, too------ã¡ã¡ã¡ã¡ã¡ã¡",,,,
592,"As the particles move, they become gases and diffuse from gases to air.",,,,
593,"Diffusion and evaporation are the biggest examplesThe wind blows, the dust flies, and the ball window breeds germs.",,,,
594,There's evaporation and diffusion.,,,,
595,There is evaporation and diffusion.,,,,
596,"Particle motion is common in the phenomenon of heat energy transfer around us. The movement of natural particles can be found in the ""conducting"" phenomenon in which the vibrations of particles of an object with more heat energy are transferred between attached solids to transfer heat energy, and the ""convection"" phenomenon in which relatively free particles move directly from fluids.",,,,
597,I don't know.,,,,
598,f,,,,
599,"Evaporation and diffusion exist. As the particles move, they become gases, evaporate, and diffuse into the air.",,,,
600,Substances are produced as particles bond to each other to achieve a stable state. Electrons move and current is generated.,,,,
601,Lightning strikes.,,,,
602,Unknowingness,,,,
603,the wind blowing,,,,
604,I don't know...,,,,
605,I don't know,,,,
606,Balloons?,,,,
607,Marathon,,,,
608,"""I don't know",,,,
609,"""",,,,
610,I have no idea.,,,,
611,"The fusion of the sun, particles moving and fusing with other particles, creates energy.",,,,
612,Unknowingness,,,,
613,Do.,,,,
614,The particles of water move and the water flows,,,,
615,It's a small particles move,,,,
616,Plants grow.,,,,
617,I don't know.,,,,
618,I don't understand.,,,,
619,Unknowingness,,,,
620,I have no idea.,,,,
621,I don't know.,,,,
