,"2) Why are the powers and roles of the state divided into the National Assembly, the government, and the courts as above?",q34_power variance,q34_efficiency
97,"This is to ensure that the human rights of the people are not damaged by a group's monopoly of power.""",,
98,"By separating the three powers, the National Assembly, the government, and the court, it is to prevent power from being concentrated on only one institution and to maintain the country while keeping the three institutions in check with each other.The move is aimed at ensuring the human rights of the people as much as possible by dividing the power of the state into the National Assembly, the government, and the court, as the power of the state can be abused by the state agency alone.",,
99,"If a government agency is empowered, it can implement policies, make laws, and trial at will, so it can be divided into three categories to help each other, and to lead the country in check",,
100,It is to disperse the power of the state so that one agency cannot violate people's human rights recklessly.,,
101,"Without each institution, the influence of other institutions could become too great. Therefore, the reason is to create a three-way separation system that divides the power of the state into three organizations to keep each other in check so that the national administration does not focus on one side.",,
102,"The National Assembly serves as legislation, the government as administrative, and the court as judicial. However, legislation, administration, and judicial law are necessary actions to run the entire country. By focusing these actions on one organization, it is like laying the foundation for anti-humanitarian acts such as the Nazis. In other words, the entire country is operated, and each power is divided into the form of separation of the three powers so that it can be kept transparent under check.",,
103,a branch of power,,
104,So that we can develop by keeping each other in check,,
105,To check each other's power by separating the three powers,,
106,"In order to play a fair role while being wary of each other,",,
107,separation of powers,,
108,"To prevent abuse of power by an organization by separating the three powers,",,
109,To prevent power from being skewed,,
110,You have to divide the roles so that things go smoothly,,
111,This is to prevent power from being skewed to one side by dividing power.,,
112,This is because it is more efficient and accurate to divide according to one's ability than to do all the work in one place,,
113,"In order to share and make sure the work is done efficiently,",,
114,I don't know.,,
115,To prevent an agency from monopolizing power.,,
116,To prevent the concentration of power,,
117,"If power is concentrated in one institution, there can be cases of abuse.",,
118,"It was done to prevent power from being concentrated on one institution, and it is called the separation of three powers.",,
119,This is to prevent abuse of power by preventing the concentration of power and to perform the proper function of each institution.,,
120,"If power is concentrated in one place, it may not be fair and the consequences of profit on one side may be met It is therefore a measure to disperse power into three to prevent such a thing from happening",,
121,To prevent power from being concentrated on one side,,
122,"This is because if the separation of the three powers is not achieved, the power of one place becomes strong, so it must be checked.",,
123,To prevent the concentration of power in one place,,
124,To divide the powers of the separating states so that either side is not strong and checks each other,,
125,It is thought that it is difficult to deal with everything in one place and that the power is concentrated in one place to prevent corruption from occurring,,
126,It is to prevent power from being concentrated in one place.,,
127,"""The power of the nation should not be tilted to one side",,
128,"To create a fair nation.""",,
129,The separation of the three powers prevents power from being concentrated into one.,,
130,"By dividing power into three parts, it serves to prevent power corruption and check each other's power.",,
131,"In order to prevent power from being taken to one side, it was separated into parliaments, governments, and courts",,
132,The separation of powers prevents power from being concentrated in one place.,,
133,To prevent the power from being concentrated in one place,,
134,Not to concentrate state power in one place,,
135,"If you lean on one side, your strength becomes too strong, so you try to prevent it",,
136,because of the laws of each country,,
137,To prevent the force from being concentrated in one place,,
138,To prevent power from being concentrated in one place,,
139,Separation of powers,,
140,"This is because if the power of the state is gathered to one side, it becomes difficult to realize democracy.",,
141,It's because it's hard to do it all at once.,,
142,To prevent an agency from monopolizing power,,
143,To prevent the concentration of power,,
144,This is to prevent the power of the state from being biased to one side and to weaken it.,,
145,It gets complicated when you're driven to Korean stations,,
146,I don't want to put too much energy on one side,,
147,"We can't focus on one side, so we should keep each other in check",,
148,"To handle things more comfortably and accurately,",,
149,To make it comfortable,,
150,There are so many roles,,
151,It's a democratic country,,
152,To prevent the force from being skewed in one place,,
153,I have no idea.,,
154,This is because dictatorship can happen if the power is concentrated on one side,,
155,This is because what the National Assembly government and the court do are different.,,
156,Don't let your power get skewed,,
157,in order to do things fairly,,
158,To keep each other in check and prevent one part from abusing its power.,,
159,I don't know.,,
160,I have a role to play a role,,
161,This is because what each administration does is different.,,
162,"With no concentration of power in one place, a stable country can be run",,
163,It's hard to do it alone,,
164,To keep each other in check and not monopolize power in one organization,,
165,I'm tired,,
166,I think we have divided it because we can have a dictatorship if we have the power of the state in one place.,,
167,"""",,
168,"I'm not a politician, so I don't know;; ;; ^ã¡^",,
169,It is to make the country better by reflecting the opinions of many people.,,
170,It's because everything you do is different.,,
171,"The National Assembly establishes laws, the courts judge and punish crimes with them, and the government governs the country with them",,
172,"This is because if the power of the state is concentrated in one place, there may be a dictatorship.",,
173,To keep power from being skewed to one place.,,
174,To prevent the separation of powers from being concentrated in one place,,
175,The President of Moon Jae In is tired,,
176,To prevent dictatorship and corruption,,
177,"""If power is brought together, dictatorship will naturally take place",,
178,"To prevent that, it's called separation of powers.""",,
179,"If one guy takes over, Korea will be ruined",,
180,It's so hard to be in one place,,
181,I'm going to split up the work,,
182,"Because presenting the law, making the law, or judging the law at once cannot be done.",,
183,The reason for dividing the three powers is that they can take the initiative and govern dictatorship in only one place.,,
184,To prevent the power from being pushed aside,,
185,It is to disperse the force.,,
186,"In order to prevent abuse of power and prevent work from being biased to one side, the roles are divided into three places and the work is carried out evenly.",,
187,I don't know.,,
188,Should we work hard in our respective places?,,
189,in order not to have the power of the state on one side,,
190,This is so that each administrative person cannot think only of his or her own interests.,,
191,"To prevent power from being skewed in one place, skewed",,
192,It is for systematic rotation.,,
193,To show that we have the same power,,
194,"If one place makes a mistake, the other place can fix it",,
195,Because we have to do too much to prevent independence and to do just one agency,,
196,To prevent an agency from dictatorship,,
197,"In order to ensure that the three organizations share the work equally so that one organization does not have powerThis is because if one place loses all of its power, it could monopolize the country.",,
198,"For example, if you only do these three things in government, then the power and role of the state are not balanced.",,
199,This is because each institution has a different job to do.,,
200,In order to make society more orderly,,
201,It's too much for one place to do it's too much,,
202,"To not give too much work to one person,",,
203,"It's hard to do it all at once, so I'll split it up",,
204,"This is because if an institution manages everything, it can exert its power at will.",,
205,"""1. It's hard when one person does everything.",,
206,"2. If one does everything, dictatorship can happen.""",,
207,To create a fair society,,
208,I have no idea.,,
209,"To accurately examine and judge each person's obligations,",,
210,"To create a fair society,",,
211,This is because it is difficult to do exactly when one is done.,,
212,It is to prevent an institution from engaging in autocratic politics,,
213,"To compete and monitor each other, to determine if they are right = To interact with each other",,
214,It is to hold power only in one place so that it does not become a dictatorship.,,
215,This is because the roles are different.,,
216,"This is because the power of either institution should not be biased, but should be kept in check with each other and rule fairly",,
217,"Because if one takes charge of everything, one can abuse its power",,
218,Manage whether different agencies are doing the right thing and the right thing,,
219,"To work more slyly,",,
220,"If you want to do too much on one side, you can do it by dividing it into one organ, just like a machine breaks down",,
221,"The same people can't do all the work, they can help each other.",,
222,The three powers are separated to prevent wrongdoings such as corruption from occurring by gathering strength in only one place.,,
223,To prevent either side from becoming more powerful,,
224,It's hard to do it alone,,
225,It's hard to do many things in one place,,
226,To prevent corruption by gathering power in one place,,
227,To prevent corruption,,
228,I'm worried about the efficiency,,
229,in order to be equal,,
230,To build a better society for the country.,,
231,I'm doing different things are different,,
232,It's hard to manage if you only smell it in one place,,
233,prevention of dictatorship,,
234,It is to prevent the power of the state from being biased to one side and abused.,,
235,It is to achieve separation of powers.,,
236,"It's hard to do everything at once, so I think I divided it",,
237,It's hard for the government to handle everything at once,,
238,for the check of power,,
239,"This is because if you work on only one side, the balance will be broken, so you can easily do it only when you divide it into individual tasks",,
240,It is to prevent power from being abused if power and role are concentrated on one side.,,
241,"Because if you lean to one side, the country won't operate",,
242,It's to keep the ears from concentrating,,
243,It is to prevent the power of the state from being skewed to one side.,,
244,"To prevent negative situations where certain forces are concentrated in one place,",,
245,"In order to prevent the regime from being concentrated on either side, the three powers were separated.",,
246,I can't do everything in one place,,
247,"One institution cannot monopolize, so a balance of power can be maintained.",,
248,It's to prevent corruption,,
249,So that the regime doesn't lean to one side,,
250,To prevent the concentration of power into one place by dividing the power of the state.,,
251,It's good for equity because several people are involved.,,
252,I don't know,,
253,Not to let all the power be concentrated in one organization,,
254,It's complicated when you do it all,,
255,"Since the National Assembly government gives opinions and the court decides,",,
256,I had so much work to do,,
257,I don't know,,
258,Sharing roles because it's hard,,
259,Everyone is good at different things,,
260,I don't know,,
261,We do different things,,
262,The roles are different,,
263,The power of the nation cannot be controlled in one place,,
264,Because of this,,
265,It's hard to do it all in one place,,
266,Everyone has different ideas,,
267,The roles are different,,
268,"If people like Park Geun-he do this, the institution will fail",,
269,We're doing different things are different things,,
270,"When you meet the wrong politician, if one agency does everything, it's ruined",,
271,"If you do your country's work alone, people like Park's, Choi Soon-sil, and Jung Yu-ra could ruin it",,
272,What you do and what you're good at are different,,
273,I don't know,,
274,It's because there's a lot of work if you do it in one place,,
275,"It's hard to manage one side of a building, it's chaotic, and the building is not well managed",,
276,"This is because if an institution takes on a lot of work, it does a lot of work for that institution.",,
277,the heart of the nation,,
278,It's hard to do everything in one place,,
279,There's too much work for one place to do,,
280,Because they keep each other in check and help each other,,
281,"It will distribute power. If the National Assembly, the government, the courts are in one place, the power becomes too strong",,
282,I can't do everything in the country,,
283,It may be because it is hard and takes a long time if you do all three things in one place.,,
284,in order to stand firm with each other and not to be driven into each other's hands,,
285,"We have different things to do, but we need each other",,
286,Because you can distribute the work,,
287,for the sake of one's country,,
288,I don't know.,,
289,Because what you do is different.,,
290,"Because if you do politics in one place, it will be a problem for society",,
291,It's hard to do many things in one place,,
292,"Since one can't do all of it, it's sharing the roles like one person and one person",,
293,I'm tired,,
294,One can't hog power,,
295,This is because it is too much to handle many tasks at once in one place.,,
296,"This is because if one side has power, it will be difficult to maintain the country due to imbalance.In order not to concentrate on one place,",,
297,Because all the things we can do different,,
298,"This is because if the power and role of the state are not divided, the state can have the country at its disposal",,
299,"This is because if one institution goes wrong, another institution replaces it.",,
300,"That way, it'll be more seasoned",,
301,It's the division of power by shaking one power,,
302,It means to monitor each other so that the world's famine is not given power to one place.,,
303,Don't know,,
304,To keep an eye on each other,,
305,"This is because if power is focused on only one place, he or she can do politics at will.",,
306,It's hard to do many things at once,,
307,It's hard and dangerous to leave everything to one role,,
308,It's because the experts in each field are different.,,
309,"""I Say """"I Don't No.""""""",,
310,Because it's convenient to divide the work,,
311,I don't know.,,
312,Everything we do is different,,
313,We can check what we've done to each other,,
314,"If you do it all at once at one institution, there might be a problem because there's too much work",,
315,To prevent power from being skewed to one place.,,
316,to keep each other in check,,
317,Because one area can't do all the work at once,,
318,in order to work fairly,,
319,in order to be equal,,
320,To enable people to trust and follow our country.,,
321,"Because no matter what goes wrong on either side, there is another side.",,
322,This is because it is more accurate to classify and handle tasks than to handle what can be done in one task.,,
323,I don't know,,
324,To do their part and monitor each other.,,
325,It may be to divide a country into three areas so that the power of the country is in charge of all of them so that it is not difficult.,,
326,I can't do everything in one place,,
327,"This is because the government, the National Assembly, and the court exchange ideas with each other and give the power and role of the state.",,
328,"If a person who breaks the law doesn't solve it, he or she can rule it somewhere else",,
329,"This is because each role and power must be evenly divided, and if divided into several places, each role to be played is accurately determined, so the work can be done more accurately.",,
330,This is because it is easier to do things that are difficult to do alone.,,
331,We need to keep each other in check so that it works well,,
332,"Parliament hears the people, the government builds laws based on them, and the courts review them and make them law",,
333,Because what you do is a little different,,
334,It is to discuss a problem together and find a solution accordingly.,,
335,This is because each professional field is different.,,
336,"Courts try, parliament makes laws and governments enforce them",,
337,"To solve the problem by gathering opinions,",,
338,To stop the tyranny of power,,
339,"I have a lot of work to do, so I want to split it up",,
340,To stop the concentration of power,,
341,It is to prevent unfair practices such as dictatorship through balanced distribution of power.,,
342,"To prevent an agency from gaining power,",,
343,To keep each other in check,,
344,.,,
345,Blocking the concentration of powers separating the three powers,,
346,Each organization has a different aptitude,,
347,Preventing a great deal of power from being concentrated on an organization,,
348,It was made to check each other instead of focusing on one side.,,
349,Separation of powers from being concentrated in one place to prevent abuse,,
350,It's an instrument that checks each other in check.,,
351,the separation of powers and the elimination of dictatorship,,
352,so that power doesn't come together,,
353,This is because politics and trials are divided.,,
354,To prevent the concentration of power,,
355,"Separation of powers, prevention of abuse of power",,
356,You know how it feels like to check the king's authority? Separation of powers? If you don't know,,
357,It's because I can do the national work efficiently,,
358,equilibrium of powers separating powers,,
359,In order for an organization not to monopolize and use its power,,
360,"""Prevention of abuse of power",,
361,"""",,
362,"""I want to see you""",,
363,"Or tired so hard is it going to be revealed to me that if there is only to be seen again or even by accident when the sun comes out this morning - Hope that's it to Earl. ah ah ah ah ah ah, Ara, what about geoeoeo eoeoeo aaaaaaa of love, to """,,
364,"On one side is not very good, anheong. Because of the dictatorship ijing",,
365,"The concentration of power in one place, abuse of power because it can happen.",,
366,Fair to,,
367,I'm going to stop power being concentrated into one place.,,
368,Separation of powers,,
369,In order to prevent the concentration of power in one entity.,,
370,Separation of powers between the three books with abuse of power is that not happen.,,
371,In one place the system is too much work to do is because they can go good andol,,
372,Separation of powers to power through a split.,,
373,In order to prevent that is monopoly power.,,
374,To err is to prevent.,,
375,The balance of power,,
376,Power is concentrated in one place abused in order to prevent the dividing it.,,
377,"Too strong, and the one.",,
378,This is to check each other and prevent one institution from monopolizing.,,
379,in order to prevent the force from being skewed,,
380,It's hard to work all at once,,
381,"By dividing the power of the state, it prevents the power from being biased to one place, and ultimately prevents the power of the state from infringing on the rights of the people.",,
382,Separation of powers,,
383,I'm afraid my power will be on one side,,
384,We all have different things to do,,
385,To check and judge each other and act correctly,,
386,To keep the force on one side,,
387,in order not to be biased in power,,
388,It's a separation of powers. So that power doesn't lean to one side,,
389,It's cleaner to share,,
390,Separation of powers,,
391,Separation of powers,,
392,"It is to divide and do justice, not to gather power in one place.",,
393,in order to prevent dictatorship,,
394,"Each person has a different job, so they can easily play their own role if they share it.",,
395,It's hard to do it in one placeTo keep the force on one side,,
396,To divide the work more efficiently,,
397,To prevent them from having all power in one place,,
398,We're going to try our best to work in our respective roles,,
399,"This is because the power should not be concentrated on either side, and each work should be divided to be done quickly.",,
400,In order to make a just decision without the balance of power being skewed to one side,,
401,The state divided up to avoid abuse of power.,,
402,"When power comes together on one side, it's up to you to stop it",,
403,The conflict between the countries diminishes,,
404,"To do that, by separating the three volumes, a stable state without being biased to either way",,
405,Because I'm doing something else,,
406,Or we can't solve it,,
407,It's because it's hard to finish work in one place and each person's work is different.,,
408,It's hard to work together,,
409,I don't know,,
410,I don't know.,,
411,I'm trying to divide the roles,,
412,We have different things to do.,,
413,"""The National Assembly has to work for the National Assembly, the Government has to work for the government, and the courts have to work for the courts",,
414,"That way, the country will return.""",,
415,I don't know.,,
416,in order to solve the problem,,
417,to make things easier in the field,,
418,"If one person does all the work there, it's hard",,
419,Because there are different things going on,,
420,Each of us has a different job to do,,
421,Each place does its own work.,,
422,"Parliament does parliamentary work, the government does government work, and the courts work.",,
423,I can't do everything at once,,
424,It's because bad people can seduce people and abuse them,,
425,This is to ensure that power is not concentrated on one side by sticking to each other.,,
426,This is to prevent the separation of powers from being biased to one side.,,
427,To solve things more efficiently.,,
428,"The reason for the separation of the three powers is that if an agency has all the authority, absurdity can occur, while dividing the authority supervises each other and reduces the probability of absurdity.",,
429,It is to separate powers so that an institution does not have excessive power,,
430,To prevent the concentration of power,,
431,"In order to prevent a state agency from monopolizing power, the three agencies divided power into three separate powers.",,
432,This is because power becomes too powerful when it is united.,,
433,It's to stop the poison.,,
434,To prevent one from monopolizing power,,
435,It is divided to prevent dictatorship of an organization.,,
436,To prevent one side from dictatorship,,
437,Because it is to prevent dictatorship.,,
438,"When united, it is more likely that one group will monopolize power and cause confusion in society, and when that group collapses, the country collapses together and there is a high risk, so it seems that they have divided it up",,
439,To prevent the concentration of power in an institution. (Separation of powers),,
440,This is to prevent power from being concentrated in one place.,,
441,"By separating what one does, one institution cannot act in its favor.",,
442,This is to prevent power from being concentrated in one place through the separation of the three powers.,,
443,This is to prevent dictatorship of an institution through the separation of three powers and to smooth politics by harmonizing.,,
444,So that power doesn't fall into one place,,
445,It is to prevent the concentration of power.,,
446,It is to prevent three agencies from interfering with each other and exercising their power arbitrarily.,,
447,"When the power and role of the state are one, there is a concern of dictatorship, and when the power and role are two, the two institutions can be woven and struck, so that the power can be divided into three directions so that it can be balanced without being biased in one direction.",,
448,Keep each other in check,,
449,Separation of powers! The power doesn't focus on one side. Hahahaha,,
450,"If power is concentrated in one place, it's monopolized",,
451,To avoid dictatorship,,
452,for effective mutual control of power,,
453,It is to check and balance each other balance.,,
454,I don't know,,
455,I don't know,,
456,To maintain proper power through separation of powers,,
457,Don't be a dictator,,
458,We make up for each other in the period of reverence,,
459,I don't understand.,,
460,This is to prevent the concentration of power by separating the three powers.,,
461,To keep each other in check,,
462,?,,
463,"This is to disperse the three powers of legislation, justice, and administration so that the power of an institution is not biased.",,
464,?,,
465,"If the force is skewed to one side, problems arise, so separate them",,
466,the prevention of power,,
467,Because power can be driven by a group,,
468,"If you do it in one place, you might not be able to do the exact process",,
469,"In order to separate the three volumes and provide stability in the operation of the state,",,
470,To prevent the dictatorship of an institution,,
471,It is to prevent power from being concentrated in one place.,,
472,This is to prevent power from being focused on one side.,,
473,This is because what they do is similar but specifically different.,,
474,"The power of an agency should not be increased, so the power should be distributed fairly by establishing a customs office",,
475,in order to prevent dictatorship,,
476,This is because an institution should not monopolize power.,,
477,I don't know...,,
478,To prevent power from being swept away in one place,,
479,Nate,,
480,prevent abuse of power,,
481,"If you lean to one side, it collapses, so to prevent abuse of power,",,
482,To divide power and prevent dictatorship,,
483,In order to supplement each other and interact with each other in order to have effective politics in three organizations,,
484,To prevent power from being skewed to one side,,
485,"When the power of the state is concentrated in one place, it becomes a dictatorship and divides it into three",,
486,It is to prevent dictatorship by uniting power.,,
487,in order to divide the work,,
488,Role sharing,,
489,To make a better country to live in,,
490,To prevent a group from occupying power.,,
491,It is to prevent the monopoly of power.,,
492,To prevent a group from monopolizing power,,
493,This is because power must be distributed to prevent excessive growth of one force and achieve a balance.,,
494,"To divide the law justly and on averageIf power is concentrated in one place, abuse of power or dictatorship can occur there. However, when power is separated, a stay of monitoring each other is established, reducing the probability of abuse of power and dictatorship.",,
495,It is to prevent the power of the state from being concentrated in one place.,,
496,"This is because if the power of the state is biased to one side, the country does not work smoothly.",,
497,Don't know,,
498,It was divided so that power would not be biased to any one of the government courts of the National Assembly.,,
499,It's to prevent corruption,,
500,"Because if an administration has full authority, there is a risk of abuse of power",,
501,"Separation of the three powers. National power and power were divided into the National Assembly, the government, and the court to create a society that checks and is clean because if the power of the state is biased to one side, inappropriate things can happen depending on the power of the power.",,
502,It's because there are many opinions,,
503,"To prevent dictatorship and corruption, to prevent power from being used carelessly, to protect the freedom and rights of the people.",,
504,"If one side is biased, the country can be shaken because if the power or role of the state is concentrated on one side, it will lead to unreasonable abuse of power or negative roles.",,
505,It's hard to do it all in one place,,
506,It's hard to handle because there's a lot of work when we're together,,
507,"This is because if one place does it, the agency can control the country.",,
508,"They follow each other, but if you stick it on, there's a fight",,
509,The work we do is different,,
510,It's good to divide the work,,
511,It's because each person has a different job to do.,,
512,We're doing different things,,
513,It's because each person has a different job to do.,,
514,Because what we do is different,,
515,It's hard if all the organizations do it,,
516,in a different way,,
517,I'm going to split it up,,
518,make it easier for the nation to gain strength,,
519,Because it's the order.,,
520,I don't know.,,
521,I can't do it all at once,,
522,in order to prevent dictatorship,,
523,To prevent the monopoly of power in an organization,,
524,We're doing different things are different things,,
525,It's because it's faster to do it,,
526,Because people's opinions vary.,,
527,"In their own words, they need an ideal justification.",,
528,"If power is concentrated on one side, we can abuse power or power, so we carried out the separation of the three powers",,
529,"""",,
530,To stop dictatorship,,
531,I'm trying to strike a balance and be good at politics,,
532,To prevent power from being driven into one place,,
533,"This is because if they are concentrated in one place, ordinary citizens can have a hard time because they make laws and make trials in their favor.",,
534,It's too hard for one organization to do everything,,
535,"If power is concentrated in one organization, there could be dictatorship",,
536,There are a lot of people,,
537,It's hard for an institution to do everything,,
538,Because the three powers affect each other,,
539,Why?,,
540,I'm trying to keep power out of one place,,
541,To keep each other in check and prevent power from being driven to either side,,
542,It's because people's human rights can be violated if they're concentrated in one place,,
543,So that power is skewed to one side and not dictatorship,,
544,""" because it is driven only one side, as a matter of will or dictatorship.",,
545,"""",,
546,To err is to one side to prevent.,,
547,"Shared mutual checks and by three separate agencies, in this balance by to protect people's rights.",,
548,A slice of power by chwi u in order to prevent sagging.,,
549,So complicated that if we try in one.,,
550,I can in one place to use the power when she is in charge of all the work.,,
551,Hold each other in check and correct to politics.,,
552,"Power of the state the action of this separate, divided into three legislative, administrative and judicial institutions to share the mutual checks and balanced governing systems to prevent the abuse and focus on principles of state power by it.",,
553,May be to each other in check.,,
554,Be fixed role to share can solve things smooth.,,
555,Have different thoughts. There is something different.,,
556,Unknowingness,,
557,In order to prevent dictatorship is president.,,
558,I'm going to decentralize power.,,
559,I don't know,,
560,In their own doing.,,
561,I think I work separately because it's hard to handle everything in one place.,,
562,"This is because if you divide it into one, it will be difficult because only one place will handle the work at once.",,
563,Because what you do is different.,,
564,There are so many things to do in one place and things are different,,
565,It's hard for one person to work alone...,,
566,"It is much more convenient to divide it into parliaments, governments, and courts because playing the power and role of the state in only one place can cause many problems",,
567,Everyone does different things,,
568,I don't know,,
569,To prevent the force from leaning on either side and doing whatever it takes,,
570,Because I can't do everything by myself.,,
571,Because one side can't do that much,,
572,I don't know,,
573,HITOMI's work is different,,
574,We're going to do a lot of different things,,
575,This is because it is more likely to make mistakes because it becomes complicated if you do it in one place.,,
576,I don't know.,,
577,It's because it's hard to do all the work in one place.,,
578,I don't know.,,
579,This is because one can play immoral politics.,,
580,"Because if you do everything in one place, you're not good at it's bad",,
581,"This is because there are many things to do in the country, so if you divide it into several parts, you can finish what you have to do faster and easier.",,
582,It's a lot of things.,,
583,I don't know,,
584,Everyone does different things,,
585,I don't know.,,
586,I wanted to be more precise,,
587,"Every place has the same purpose, but everything they do is different",,
588,Each of us has a different job,,
589,Because it's unfair.,,
590,This is because dictatorship could occur if the three powers are not separated.,,
591,To make it easy,,
592,"To be more stable in politics,",,
593,It is to solve complicated tasks easily.for one's country,,
594,Make up for each other's shortcomings and keep power from being skewed to one side,,
595,Because it takes a lot of power to deal with the power of the state.,,
596,??,,
597,It's a lot of work for the three of us to do.,,
598,"Because when you're in one place, you can do everything you want",,
599,seize control of the army,,
600,Because it's hard to do it alone.,,
601,"Since each of us has a different job,",,
602,To keep power from gathering,,
603,"This is because if you don't do that, a person can wield power wildly.",,
604,put one's strength in one place,,
605,This is because it is too dangerous for a force to deal with everything.,,
606,I'm good at different fields,,
607,"This is because if one person has too much power, one can wield power.",,
608,"This is because each role has different things to do, and each part has to be disciplined.",,
609,"If you don't do that, you'll be like a country ruled by a pig in a distant country, a neighboring country",,
610,You need to distribute the power in order for it to balance,,
611,"Because if you do it all at once, it doesn't work out completely",,
612,It's because it's hard and less accurate if you do it alone.,,
613,"Otherwise, it will be like a country ruled by a pig in a distant country or a neighboring country.",,
614,Not to put the power in one place.,,
615,To help each other and get help,,
616,"Because if a person has too much power, he or she may lose power because he or she is out of power",,
617,It's hard to do it alone.,,
618,It's because you can't force yourself into one place,,
