,"2) What happens in the future if you use a lot of fossil energy, such as coal or oil?",q44_depleted,q44_environmental pollution
91,"No matter how much coal or oil is buried in the Arctic Ocean or Antarctica, and ""a lot"" is buried in the Middle East, so there is an inevitable limit. There is also a limit to infinitely satisfying the human desire to spend 80 million barrels of oil every day. It also emits greenhouse gases such as carbon dioxide and carbon monoxide through the combustion of fossil fuels, which have a greenhouse effect on the Earth's atmosphere. And the average temperature of the Earth is bound to rise because the solar radiation energy coming in from the Earth is absorbed more and the energy released is reduced. So, as global temperatures rise, glaciers rise and water levels rise, flooding low-lying countries.",,
92,Collapse,,
93,.,,
94,"A lot of greenhouse gases are produced in the process of power generation. As a result, over time, negative things continue to occur to members of the global biological community, such as abnormal weather and global warming, making it difficult to live slowly.",,
95,"Global warming will become acute. The reason is that the greenhouse gas concentration increases due to the increase in greenhouse gas emissions along with carbon dioxide, so the greenhouse effect in the Earth's atmosphere becomes extreme, and the average temperature of the Earth gradually increases. In other words, it can bring about results that lead to ecosystem instability.",,
96,The environment is polluted and the earth is destroyed and we all die.,,
97,I'm glad to see you.,,
98,"High use of coal or oil also increases the amount of carbon dioxide produced by burning fossil fuels, accelerating the greenhouse effect, which causes acceleration of global warming. The acceleration of global warming will cause sea levels to rise, deepening abnormal weather.If coal and petroleum energy continue to be used, the price of fossil energy will increase, and then not only will it be hit hard by exhaustion or fossil energy, but carbon dioxide will increase, resulting in a greenhouse effect, deepening global warming. If global warming intensifies, various natural disasters will occur and glaciers will melt, reducing the space for humans to live. In addition, the use of fossil fuels increases fine dust, so humans may not be able to breathe freely.",,
99,"If a lot of greenhouse gases such as carbon dioxide are emitted by the use of fossil energy, a greenhouse effect occurs, accelerating global warming, which can lead to various problems such as rising sea levels.",,
100,"If fossil energy is used a lot, carbon dioxide will be emitted excessively, strengthening the greenhouse effect, which will lead to global warming. Its effects will cause glaciers to melt and sea levels to rise, resulting in flooding at lower elevations. Other than that, there will be many environmental problems. But I want to approach it from a different perspective. Using a lot of fossil energy would mean not thinking about the environment as much. So I don't think we're going to develop alternative fuels either. Therefore, when we are on the verge of depletion, we think that there may be a scramble for fossil energy and a world war may break out again.",,
101,"oil depletion, environmental pollution",,
102,"When fossil fuels run out, the source of resources disappears.",,
103,"Global warming will worsen, resulting in bad consequences such as rising sea levels.",,
104,acceleration of global warming,,
105,The energy runs out.,,
106,The earth is getting hotter,,
107,an increase in carbon dioxide,,
108,"Global warming will get worse, and it will not be used when necessary",,
109,There will be no more fossil energy to use and it will cause serious environmental pollution.,,
110,"In the future, environmental pollution will become more severe, destroying the ozone layer and making it difficult to live",,
111,The environment is greatly reduced. It's not good for people to live.,,
112,Global warming intensifies due to higher concentrations of carbon dioxide,,
113,There will be many problems caused by global warming.,,
114,sea of fire,,
115,"One day, it will be depleted and global warming will intensify",,
116,"In the future, the temperature of the earth will rise further and global warming will worsen",,
117,"A lot of carbon dioxide will be produced, leading to rapid global warming.",,
118,"If fossil energy is used constantly by releasing pollutants, it can adversely affect the Earth's environment, creating an environment where life cannot live on Earth",,
119,The earth warms up.,,
120,The human race will be lost.,,
121,Global warming can kill everyone,,
122,"If fossil energy such as coal and oil were exhausted and fossil energy was used without any countermeasures, only global warming would have accelerated when it was depleted.",,
123,"If limited resources continue to be used, resources will be depleted and available resources will disappear",,
124,"In the future, the resources to be used will be exhausted, and it will be difficult to produce the necessary goods and achieve further development. And the need for all the resources will increase and the price will go up.",,
125,"A lot of carbon dioxide and sulfur dioxide occur, which intensifies global warming.",,
126,"Not only is it depleted and unusable, but it also releases a lot of carbon dioxide from burning fossil fuels into the atmosphere, causing global warming to accelerate.",,
127,"Global warming intensifies, causing the climate to exist only in summer and winter, and sea levels to rise.",,
128,"Global warming is getting bigger, causing abnormal weather conditions and increasing average temperatures Not only will the atmosphere be polluted, but the ozone layer will be destroyed and the UV index will be higher",,
129,"Because high-quality fossil energy is used first, if it continues to be used, only poor fossil energy remains later. And because fossil energy is finite, it quickly runs out.",,
130,have no fuel for the future,,
131,resource depletion,,
132,run out of energy,,
133,It's getting hard to live,,
134,"One day, fossil energy will be depleted and unavailable",,
135,"Because it is a finite resource, energy is depleted",,
136,It's getting worse,,
137,"Problems such as environmental destruction, global warming, and resource depletion occur",,
138,Nature gets dirty.,,
139,Lack of resources,,
140,the crisis of mankind due to exhaustion,,
141,"One day it will disappear, and mankind will no longer be able to use energy",,
142,Lack of resources,,
143,Environmental pollution such as air pollution and fine dust will become worse,,
144,Bad things happen.,,
145,Resources will run out,,
146,Coal and oil will disappear and you will feel great difficulty,,
147,The future cannot use resources,,
148,Ruined,,
149,"Fossil energy is depleted, and fossil energy is no longer used, and environmental pollution becomes severe",,
150,Global warming occurs.,,
151,The global environment is polluted,,
152,A lot of carbon dioxide will be released and global warming will worsen.,,
153,The earth is ruined by global warming due to high carbon dioxide.,,
154,Global warming will get worse.,,
155,"Since fossil energy is limited and environmental pollution is severe, if used continuously, resources will be depleted in the future and it will be a difficult environment for living organisms to live in.",,
156,It's impossible for people,,
157,It causes environmental pollution.,,
158,Global warming is caused by environmental pollution.,,
159,"Environmental pollution intensifies, lack of energy",,
160,the brightening of the future,,
161,The Earth's average temperature rises and all living things die.,,
162,environmental pollution,,
163,"Coal and oil are in a fixed amount, so we can't use them at any time, which is likely to cause a great deal of confusion",,
164,You don't know how the future will be ruined,,
165,"As carbon dioxide increases, countries will be inundated with acid rain and hail, and abnormal weather will continue to appear.There is a higher chance that the Earth will die down later.",,
166,Environmental pollution occurs.,,
167,Fossil energy is depleted,,
168,"The amount of carbon dioxide in the atmosphere will increase, and air pollution and global warming will become serious, and the human race on Earth will be destroyed.",,
169,"Not only does global warming become serious as carbon dioxide increases several times more than it is now, but fossil energy is depleted and there is no more energy to use.",,
170,Environmental problems or energy depletion caused by the increase in greenhouse gases,,
171,Global Warming Happens,,
172,Resources are depleted and the environment is polluted.,,
173,I don't know,,
174,I don't know,,
175,The fossil energy was depleted and could no longer be used.,,
176,become uninhabitable,,
177,"""",,
178,,,
179,,,
180,,,
181,I don't know.,,
182,,,
183,,,
184,"""",,
185,There are no resources left.,,
186,..;.,,
187,Resources run out.,,
188,"It will quickly run out and become difficult to use again, and it will have a fatal effect on environmental pollution.",,
189,I don't know,,
190,sugar contaminated with the environment,,
191,Chemical energy is gone,,
192,Global warming may make people unable to live on Earth.,,
193,Coal and oil are all gone,,
194,The earth is destroyed.,,
195,Resources are wasted.,,
196,Coal and oil disappear and resources disappear,,
197,We don't use coal or oil any moreThe resources are likely to be abundant,,
198,We're running out of fuel for future generations,,
199,It will cause inconvenience to your life by using up coal or oil.,,
200,It is inconvenient to live because we are out of resources,,
201,"You can save money, but the natural environment will be greatly affected.",,
202,It will be a resource-poor country.,,
203,There will be a shortage of resources,,
204,No more fossil energy is available,,
205,I don't know,,
206,Fossil energy will disappear in the future,,
207,"If you continue to use coal or oil, one day coal and oil will no longer be available, and fossil energy will no longer be available.",,
208,It becomes difficult to live because of lack of resources,,
209,I have no idea.,,
210,This is because it is easy to buy using fossil energy without using a heating lamp.,,
211,It's hard to live because of the lack of resources,,
212,The air gets bad. (Air Pollution),,
213,"Resources are depleted, and resources for future generations to use are lost",,
214,"In the future, fossil energy, such as coal and oil, will be depleted and everything that operates on fossil energy will not be available.",,
215,There is a shortage of resources and environmental pollution.,,
216,There is a shortage of resources.,,
217,Resources for future use will be lost,,
218,Oil and coal are gone,,
219,There will be many destruction of nature and warming on Earth,,
220,The environment is likely to be polluted.,,
221,Resources are depleted and disappearing.,,
222,"""",,
223,Lack of resources.,,
224,"Coal or oil is finite, but it is no longer available.  So energy is scarce, and the global environment is polluted",,
225,There is a problem of coal and oil shortages,,
226,It is difficult for the future to be sustainable development.,,
227,The future is going to hurt! Don't do it!,,
228,"Later on, resources eventually run out and affect the environment",,
229,It's hard because there's no energy to replace it when it's depleted,,
230,Develop new and renewable energy to prevent environmental pollution,,
231,Global warming,,
232,natural exhaustion,,
233,It causes environmental pollution,,
234,environmental destruction,,
235,More carbon dioxide emissions and faster global warming,,
236,"Climate abnormalities, ozone depletion, air pollution, and land pollution occur due to global warming.",,
237,The exhaustion of energy creates difficulties.,,
238,Environmental pollution is getting worse and global warming occurs,,
239,The environmental pollution is getting worse and the earth is destroyed.,,
240,The environment becomes polluted and difficult for humans to live in.,,
241,Environmental pollution problems and global warming intensifies.,,
242,"Later, it will be depleted and no longer be able to use energy, and the ecosystem will be destroyed.",,
243,Fossil energy will be added and global warming will intensify,,
244,The future will be a natural environment where air pollution and land pollution are severe,,
245,The environment is polluted.,,
246,Environmental pollution becomes more serious,,
247,"Over a long period of time, it will use up all of its energy generations.",,
248,The earth is likely to become environmental pollution.,,
249,Alternative energy will be needed due to environmental pollution caused by greenhouse gas generation as well as exhaustion of fossil fuels.,,
250,Fossil energy will one day be depleted and environmental pollution will intensify.,,
251,The sea level rises,,
252,Fossil energy is depleted and becomes unusable.,,
253,Oil and coal for later use are gone.,,
254,Environmental pollution will get worse,,
255,"In the future, there will be a shortage of coal or oil, and the things that work with it cannot work.",,
256,It's air pollution and squandering resources,,
257,"In the future, coal and oil will be needed",,
258,I don't know,,
259,I don't know,,
260,I think it would have changed,,
261,Coal and oil will be exhausted and the land will be devastated,,
262,I don't know,,
263,I don't know,,
264,The natural environment is not destroyed and there is no need to worry about volunteering,,
265,There is no oil left,,
266,can protect the environment,,
267,I think the future is going to get worse And we're going to use more fossil energy,,
268,The environment gets worse,,
269,be undestroyed,,
270,It's ruined,,
271,The future develops,,
272,Fossils will disappear,,
273,global pollution,,
274,The air polluter could die,,
275,Oil lamps are limited and cannot be used for a long time,,
276,The earth will perish,,
277,environmental pollution,,
278,Fossil energy is gone.,,
279,A great deal.,,
280,"We have no resources, and the country will be ruined",,
281,It's all dried up and you won't be able to lose later.,,
282,Global warming will melt the North and South Poles and cause natural disasters.,,
283,an energy depletion phenomenon of energy depletion,,
284,Global warming will intensify and fossil fuels will run out.,,
285,It will be difficult to live.,,
286,Global warming is progressing due to increased CO2 and other bad smoke is bad for your health.,,
287,"There is a lot of coal and oil, and the environment becomes dirty, making it difficult for humans to live",,
288,to be able to protect resources,,
289,We'll all die out of coal and oil,,
290,I don't know.,,
291,The earth is coming to an end.,,
292,Someday I'll run out,,
293,The environment is polluted,,
294,It's disappearing,,
295,a good change,,
296,"The air will get worse and suffer from energy problemsThe air in the city becomes quaint because of the fumes, so people have to buy air and drink it.",,
297,Life will be difficult because the environment is polluted and resources are depleted.,,
298,Resources are depleted and environmental pollution occurs.,,
299,You can't use coal or oil when you need it,,
300,"If resources are lost in the future and air pollution becomes severe, global warming will heat up the earth and destroy it",,
301,"In the future, there will be air pollution and a bit of lack of energy",,
302,It's all gone and it's all gone,,
303,I don't know.,,
304,The air will deteriorate and it will be hard to breathe.There will be greenhouse gases.,,
305,Don't know,,
306,One day no more oil or coal will be lost,,
307,Fossil energy will run out.,,
308,A lot of energy is gone.,,
309,The environment will be polluted and coal or oil will be lost,,
310,global warming due to pollution,,
311,"2) What happens in the future if you use a lot of fossil energy, such as coal or oil? *",,
312,Environmental pollution will destroy the world,,
313,I don't know.,,
314,L.,,
315,We're running out of fossil energy,,
316,We run out of fuel.,,
317,"Most of the resources are consumed, resulting in energy shortages.",,
318,All the energy is depleted.,,
319,environmental pollution,,
320,Fossil energy such as coal and oil is lost in the future,,
321,lack of fuel,,
322,Fossil energy will be lost and you won't be able to live.,,
323,The future environment will be polluted.,,
324,"Later, such things disappear and cannot be used.",,
325,Fossil energy such as coal and oil is depleted.,,
326,The environment is polluted.,,
327,"Due to lack of fossil energy, people will not be able to use electricity.",,
328,"Environmental pollution will worsen, and if fossil energy drops while using only fossil energy, the ecosystem may be destroyed.",,
329,Resources are reduced,,
330,Cars or electronics using fossil energy are likely to come out.,,
331,It will be an earth that has been irreversibly destroyed by coal and oil pollutants.,,
332,There will be more inconveniences in life due to the lack of coal or oil.,,
333,environmental pollution,,
334,"In the future, energy will be depleted and the environment will deteriorate",,
335,"In the future, it becomes a clean earth.",,
336,Technology will develop,,
337,"Coal, oil, and fossil energy will be exhausted and gone.",,
338,Global Warming Wors,,
339,We've used it up and our descendants won't be able to use it.,,
340,Fossil energy will be depleted and the environment will be further weakened.,,
341,I think there will be a day when I get sick and use up coal oil.,,
342,.,,
343,More carbon dioxide will increase global warming and change the climate.,,
344,The end is coming,,
345,Global warming,,
346,.,,
347,the disappearance of the future,,
348,Global Warming Happens,,
349,"Land will be devastated and lost, as it has been in the past and present, and competition between countries will also grow",,
350,The atmosphere is polluted and causes damage to mankind.,,
351,"Global warming will accelerate by emitting carbon dioxide and destroying smog and ozone, and the pace of future development will slow down.",,
352,Global warming will raise the temperature of the earth very high.,,
353,Global warming is getting worse,,
354,The earth searches.,,
355,.,,
356,The environment is polluted.,,
357,the intensification of global warming,,
358,áá¡á¼Network,,
359,Fuel depletion and global warming will intensify,,
360,The greenhouse effect increases.,,
361,"If depleted, great things can happen and the environment will be destroyed if we fail to prepare",,
362,The future becomes dark.,,
363,"Global warming will continue, eventually reaching the ice age.",,
364,"Oh, I'm running out of it's hard to use.",,
365,I'm running out,,
366,environmental destruction,,
367,Global warming is accelerated by the generation of greenhouse gases such as carbon dioxide.,,
368,The earth is sick.,,
369,The air gets worse and global warming gets worse,,
370,"Later, resources become scarce.",,
371,Lack of resources,,
372,"Increased carbon content in the air, global warming, fossil energy depletion",,
373,"There will be a lot of carbon dioxide, which will accelerate global warming.",,
374,"Greenhouse gas emissions destroy the environment, including global warming",,
375,"Global warming, environmental pollution, industrial development, etc",,
376,"In the future, fossil energy such as coal and oil to be used will be depleted, and global warming will intensify due to increased greenhouse gases in the atmosphere.",,
377,a bad thing,,
378,The greenhouse effect will increase.,,
379,Resources are depleted and environmental pollution such as global warming worsens,,
380,run out of energy,,
381,"The increase in greenhouse gas emissions speeds up the progress of global warming, and because it is a finite energy resource, it will cause serious economic problems if it is depleted without developing alternative energy.",,
382,The earth is going to perish,,
383,natural exhaustion,,
384,.,,
385,.,,
386,I'm doomed.,,
387,Die.,,
388,Environmental pollution becomes severe and problems of resource depletion arise.,,
389,Fossil prices go up.,,
390,The coal is gone Global warming is severe,,
391,The amount of carbon dioxide will increase,,
392,"The demand for fossil energy will increase, and the supply will decrease, making it difficult to develop.",,
393,The earth is going to perish,,
394,The earth will perish one day.,,
395,Fossil Energy ExpensiveEnvironmental pollution becomes severe and fossils are depleted,,
396,run out of energy,,
397,resource depletion,,
398,Global warming,,
399,"It becomes more dependent on renewable energy, that is, nuclear power.",,
400,The energy runs out.,,
401,The environment will be destroyed and all life on Earth will die.,,
402,"""I can't use electricity such as cars, TVs, etc",,
403,"Destroy nature.""",,
404,"If we use the future, we don't have the resources to pass on to our descendants",,
405,lose one's footing,,
406,run out of resources,,
407,Oil is gone,,
408,"In the future, coal and oil will not be used.",,
409,h,,
410,I don't know.,,
411,"There will be a lot of smoke, air will be polluted, and animals will die",,
412,It's disappearing.,,
413,There are times when fire can't be used.,,
414,It's getting dark.,,
415,"""Life becomes uncomfortable",,
416,"Because there's no such thing as a car.""",,
417,bad environment,,
418,Oil or coal will go to waste,,
419,Nature is destroyed.,,
420,environmental pollution and the disappearance of coal and oil,,
421,You have to walk around,,
422,There's a lot of carbon dioxide.,,
423,I don't know.,,
424,There is no coal or oil in the future,,
425,ã,,
426,The earth is coming to an end.,,
427,"Global warming will accelerate and glaciers will melt, making the entire planet an ocean.",,
428,Global warming is coming.,,
429,"Later, fossil energy will eventually run out and the environment will be destroyed.",,
430,Bad things happen,,
431,It will run out,,
432,Abnormal weather such as global warming occurs.,,
433,The earth is in pain.,,
434,Environmental pollution becomes serious.,,
435,The environment will be destroyed and fossil energy will be insufficient to exhaust energy.,,
436,Global warming gets worse.,,
437,"The concentration of carbon dioxide in the air increases, accelerating global warming",,
438,Global warming accelerates.,,
439,"The climate will be very polluted in the future. And if it's all depleted, this will eventually lead to a resource war or all countries will invest a fortune in renewable energy projects.",,
440,"Coal oil is made up of carbon hydrogen, which is the main culprit of global warming. Therefore, using a lot of fossil energy will intensify global warming.",,
441,I don't know.,,
442,Coal and oil will no longer be used.,,
443,"The use of fossil energy increases greenhouse gas emissions, accelerating global warming. This makes it impossible to live on Earth.",,
444,"""If we continue to use coal and oil a lot, greenhouse gas emissions will continue to increase",,
445,"As a result, global warming is accelerated and the environment of the Earth continues to be destroyed.""",,
446,There is a lot of greenhouse gases and global warming occurs.,,
447,"Resource war, becomes a desolate nature.",,
448,"Global warming becomes more rapid, and abnormal weather occurs more frequently, leading to the end of the world.",,
449,"If you use a lot of fossil energy, it hurts the environment due to exhaust gas generated while using it, and if you continue to use it, it will run out one day and you cannot prepare for it, so you need to replace it with renewable energy as soon as possible.",,
450,"Global pollution is rapidly disappearing, and the North and South Poles are disappearing",,
451,"Carbon dioxide is a greenhouse gas, but when it's generated a lot, the greenhouse effect gets worse",,
452,run out of energy,,
453,"""In the future, we may move into space",,
454,"""I don't know""",,
455,Global warming,,
456,"More carbon emissions will worsen global warming, melting glaciers and reducing land area.",,
457,ã¹ and ã,,
458,I don't know,,
459,He he,,
460,Global warming accelerates and endangered animals become extinct.,,
461,More carbon dioxide,,
462,Global Warming Occurrence,,
463,The ozone layer is destroyed and the spacecraft enters,,
464,Global warming,,
465,?,,
466,Increased use of fossil fuels causes global warming.,,
467,Environmental pollution and no use of coal and oil,,
468,"Energy is depleted, and later fossil energy becomes unavailable and the environment is polluted",,
469,.,,
470,There will be a lot of carbon dioxide that will thicken the atmosphere and run out of fossil energy that we can use.,,
471,I don't think it's going to be good,,
472,The greenhouse effect strengthens and promotes global warming,,
473,Increased carbon monoxide destroys the ozone layer and causes global warming due to greenhouse gases,,
474,"In the process of burning coal and petroleum, a large amount of carbon dioxide is generated, which poses a great risk to the environment.",,
475,The future generation environment deteriorates.,,
476,"Although the Earth is balanced by carbon circulation, a large amount of carbon dioxide adds to the greenhouse effect, raising the average temperature of the Earth, melting glaciers, raising the sea level, flooding most islands. It also destroys the ozone layer, failing to block ultraviolet rays and becoming an uninhabitable earth.",,
477,Carbon dioxide from coal and oil accelerates global warming,,
478,"Greenhouse gases continue to be emitted, accelerating global warming, and eventually destroying the world",,
479,"Fossil energy resources may be depleted in the future, and exhaust gases from fossil energy use may be emitted, causing environmental pollution.",,
480,be contaminated,,
481,Global warming occurs due to the thickening of the ozone layer,,
482,1.23E+12,,
483,The environmental pollution will be severe difficulty breathing due to air pollution,,
484,Global warming intensifies and the atmosphere becomes dirty,,
485,The problem of global warming will be bigger because pollutants are released.,,
486,Global warming accelerates further,,
487,Global warming happens quickly,,
488,"As the CO2 content in the atmosphere increases, the greenhouse effect increases and the temperature of the atmosphere rises",,
489,.,,
490,There will be no global warming,,
491,Fossil energy runs out and becomes expensive,,
492,It's environmental pollution,,
493,The environment is destroyed,,
494,"The amount of fossil energy is insufficient. The ozone layer will be destroyed by the gas generated by fossil energy, increasing human exposure to ultraviolet rays.Global warming will become serious due to huge greenhouse gas emissions, making the Earth a nonliving environment.",,
495,"There is no future. (The average temperature of the Earth increases as carbon in the Earth moves to abstain, and the energy emitted from the Earth increases due to greenhouse gases, leaving it unable to release and remaining on Earth.) In addition, as the carbon content of abstention increases, the ozone layer will be destroyed and ultraviolet rays from the sun will not be able to be blocked, making it an environment in which living things cannot live, such as melting the surface and burning human flesh.",,
496,There is a lack of resources for power generation and the use of fossil fuels makes the environment worse.,,
497,resources run out The environment is destroyed,,
498,"The atmosphere turns into an environment unfit for human habitation, and as the atmosphere changes, soil and water resources also change in a chain. Eventually, in the future, the Earth will no longer be a suitable environment for humans to live in.",,
499,"If resources are diminished and future generations of offspring may not have enough to use, the worst-case war to take over them, or a nation-wide enterprise that already monopolizes them, can manipulate the price of resources at will and bring about economic chaos.",,
500,The environment will be polluted and resources will be lost and development will be cut off.,,
501,Don't know,,
502,"The environment will be polluted as it is, and resources will be depleted, which will be fatal to our lives.",,
503,Global warming will come sooner,,
504,"Using a lot of fossil energy releases a lot of greenhouse gases, accelerating global warming. Then, disaster disasters increase and eventually it becomes difficult to live.",,
505,The environment is polluted.,,
506,All the coal is gone,,
507,The ozone hole causes ultraviolet rays to enter,,
508,"When fossil energy is depleted, primitive times return",,
509,We're running out,,
510,The earth will come back to life when the West Yuna or coal falls,,
511,It's going to be hard to live because it's all depleted.,,
512,"There is no oil or coal, so chaos and humanity is likely to perish",,
513,The food is gone,,
514,You'll be in trouble,,
515,environmental pollution,,
516,"I can't move my car, so I stay at home, and I can't come to Korea for food, so I starve",,
517,environmental pollution,,
518,I don't think it's going to be alive,,
519,It's disappearing,,
520,"I can't ride a car, train, plane, etc. because I don't have enough oil",,
521,The world is doomed because oil is gone,,
522,It seems that coal or oil can be blown by fossil energy,,
523,Don't know,,
524,I don't know,,
525,The environment changes beautifully.,,
526,The sky will turn black and only the air will remain,,
527,The lives of future descendants become uncomfortable,,
528,The environment is polluted,,
529,Don't know,,
530,The electricity disappears. It's walking around.,,
531,Resources will become scarce faster and the maximum damage caused by environmental pollution will be accelerated.,,
532,Global warming,,
533,I'm running out of advice,,
534,That's nice,,
535,feel uncomfortable being depleted,,
536,"Fossil energy disappears, and everything that can be used as electricity or fossil energy becomes obsolete, causing damage to our lives and inconvenience.",,
537,I'm not gonna use it anymore,,
538,"Global warming becomes serious The North Pole, the South Pole, etc",,
539,h,,
540,......I don't know,,
541,I don't know.,,
542,I'm afraid I'm running out of coal or oil,,
543,Energy can be saved,,
544,"Not only will there be a lot of environmental pollution, but there will be a shortage of oil and coal, so things that we need in our lives, such as oil and electricity, will become scarce",,
545,We're running out of resources,,
546,Because global warming turns the earth into an uninhabitable environment,,
547,We can't use coal oil in the future,,
548,Resources run out.,,
549,We are doomed because of lack of resources,,
550,It will disappear and become unusable,,
551,Environmental pollution is getting worse and the world is ruined,,
552,The environment is polluted.,,
553,We won't be able to use it when we really need it,,
554,I'll study harder.,,
555,"It will be much hotter than now, and the ecosystem will change.",,
556,It will be difficult to live in the future due to lack of fossil energy.,,
557,There will be a shortage of resources.,,
558,I think the earth will change a little.,,
559,Environmental pollution is severe and exhausting.,,
560,People will be in a lot of trouble because coal and oil are gone.,,
561,"Because the amount is not constant, when it is cut off, there is little energy to replace it, which leads to confusion.",,
562,The environment will be destroyed.,,
563,I don't know.,,
564,The environment is becoming more polluted and the earth is likely to get hotter.,,
565,Coal or oil is gone and fossil energy cannot be created.,,
566,"If you rely on fossil energy, you won't be able to live if you run out of it",,
567,"In the future, fossil energy such as coal and oil will not be available",,
568,"""When fossil energy is scarce, there is not enough energy to use it",,
569,That can cause a lot of problems,,
570,The air pollution is getting worse and we need to buy oxygen,,
571,electromagnetic waves,,
572,"Earth's environment is dirty, there seems to be a war over fossil energy, and future generations will suffer from lack of energy",,
573,Fossil energy is gone,,
574,The earth could be ruined.,,
575,The air can get bad.,,
576,"In the future, the air can be bad.",,
577,The air pollution will get worse and coal and oil will gradually.,,
578,The environment and ecosystem will be destroyed and eventually even humans will be damaged.,,
579,I think it will be a hard earth for people to live in.,,
