,2) Why do plastic bottles that are left outside in the summer get crushed when they are put in the refrigerator?,q38_temperature,q38_pressure,q38_gas molecule
41,I think it's because the hot air suddenly got cold because of the summer,,,
42,This is because the temperature difference in the air in the PET bottle is getting worse.,,,
43,This is because the temperature changes a lot.,,,
44,It's because the temperature changes a lot,,,
45,I was in the middle of the heat and came to the cold,,,
46,The low temperature reduced the volume of gas in the bottle,,,
47,The plastic bottle was crushed because it was full of water,,,
48,I don't know,,,
49,It suddenly got cold,,,
50,Don't know,,,
51,The difference between the temperature outside and the temperature inside the refrigerator seems to cause dents.,,,
52,"When it's hot, the oxygen decomposes",,,
53,The temperature difference is different,,,
54,Temperature difference,,,
55,I doubt it.,,,
56,"In the summer, the air pressure gets hot and dented",,,
57,I don't know.,,,
58,It is a book because the temperature suddenly changed and the plastic was soft.,,,
59,It is moved from hot to cold and crushed,,,
60,"I know that plastic bottles are made of polyethylene (?), but polyethylene changes its shape when heated, so plastic bottles outside seem to be crushed in summer.",,,
61,"In summer, the temperature outside is high, but the refrigerator is low, so it is due to sudden temperature changes.",,,
62,"Since the temperature is high, the plastic bottle seems to have melted and been crushed.",,,
63,It may be because the temperature changes.,,,
64,The temperature difference got worse,,,
65,I don't know,,,
66,an elder brother,,,
67,"The warm air was surrounding the surface, but when the cold air suddenly touches the surface, it seems to have been crushed under pressure",,,
68,I didn't put it in the fridge,,,
69,"This is because when the temperature of the gas inside the bottle decreases, it contracts",,,
70,"Due to the increase in temperature, the air temperature in the expanded plastic bottle increases, contracts, and scratches.",,,
71,"The ambient temperature is low. Therefore, the temperature of the air inside the plastic is lowered, so that the air is contracted.",,,
72,"It's because the temperature has gone down. When the pressure is constant, the temperature and volume are proportional.",,,
73,"As the temperature goes down, the volume goes down",,,
74,"By Charles' law, the temperature decreases and the volume of the cylinder gas decreases.",,,
75,The thermal expansion of the gas contracts.,,,
76,by decreasing volume,,,
77,Because of the high atmospheric pressure,,,
78,"As the temperature inside the bottle decreases, the pressure inside the bottle decreases and the plastic bottle is crushed.",,,
79,"This is because the gas in the expanded plastic bottle is put in the refrigerator due to the hot temperature, and the temperature decreases rapidly, causing the gas in the plastic bottle to contract.",,,
80,"If the temperature is high, the volume of the gas expands, and if the temperature is lowered, the volume of the gas decreases, so if you put the plastic bottle outside in the refrigerator, the volume of the gas decreases, so the bottle is crushed.",,,
81,"The reason why the plastic bottle outside is crushed when put in the refrigerator in summer is that the temperature of the air in the refrigerator is lower, which is larger than the density of the air inside the plastic bottle, so the pressure is higher.",,,
82,"Gas in a plastic bottle has a volume suitable for a certain temperature, and when placed in a refrigerator, the temperature of the gas decreases and the volume of the gas decreases and is crushed.",,,
83,"The temperature of the plastic bottle decreases, reducing the volume of the gas in the bottle",,,
84,The ambient temperature has decreased,,,
85,"As the temperature of the air in the plastic bottle decreased, the volume of the air decreased, and the pressure decreased, and it was crushed by the surrounding pressure.",,,
86,"If a sealed plastic container is left at a high temperature, gas particles inside the plastic container receive heat energy, which activates molecular movement. Accordingly, the number of air particles hitting the inner wall of the plastic cylinder increases. On the other hand, gas particles in the refrigerator are deprived of heat energy from the surroundings due to low ambient temperature, and molecular motion is also slowed, reducing the number of gas particles hitting objects. When a heated plastic container is placed inside the refrigerator, the pressure inside the container is relative to the refrigerator (outside)",,,
87,"In summer, atoms inside plastic move actively because of the high temperature. At this time, if you put the plastic bottle in the refrigerator, the temperature suddenly decreases, so the atoms inside the plastic suddenly slow down. Therefore, if you put plastic bottles outside in the refrigerator in the summer, they will be crushed.",,,
88,"According to the gas abnormality equation, the temperature is proportional to the pressure when the volume is constant, so the plastic bottle in the refrigerator is crushed because the temperature decreases, the internal pressure decreases, and the internal pressure is relatively lower than the external pressure.",,,
89,"The higher the temperature, the more active the motion of the gas becomes. That is, when the temperature of the gas in the enclosed space is changed, the degree of motion is changed, and thus the volume is also changes. The plastic bottle outside heats up, increasing the volume of gas in the plastic bottle. Putting the bottle in a cold refrigerator reduces temperature, reducing gas motion, and reducing volume. Therefore, the bottle is crushed.",,,
90,"This is because the gas in the plastic bottle, which has increased in volume because it is warm, entered the refrigerator filled with cold air, and the air in the plastic bottle contracted, reducing the volume.",,,
91,Because of the temperature difference,,,
92,"Gas increases in volume when the temperature increases, and decreases in volume when the temperature decreases. If you put a plastic bottle in the refrigerator where the temperature is high, the temperature decreases, reducing the volume of the gas in the plastic bottle, which causes the plastic bottle to be crushed.",,,
93,"The air in the plastic bottle is heated, so the mass, or density, of air per same volume decreases. In this state, when the lid is closed and put into the refrigerator, the low-density air inside is cooled and the volume is reduced, so it is crushed.",,,
94,"The volume of the gas is related to the temperature, and the air in the plastic bottle has a high temperature, which increases the volume of the gas. However, because the temperature of the refrigerator is lower than outside, the volume of the gas decreases and becomes crushed.",,,
95,"In summer, if a plastic bottle that is heated outside and the internal pressure increases suddenly enters the refrigerator and the temperature decreases, the internal pressure decreases and the plastic bottle decreases.",,,
96,"In summer, the temperature is high and the air in the plastic bottle is active, so there are many collisions with the plastic bottle, but when placed in the refrigerator, the temperature decreases, and the air in the plastic bottle slows down, causing the plastic bottle to crush.",,,
97,"When plastic bottles are placed outside in summer, the air inside becomes active and the air pressure is lowered. As the temperature increases, the molecular motion of air increases, so the volume increases, and as the volume increases with air of the same mass, the internal air pressure increases. But when you put it in the refrigerator, the temperature drops rapidly. When the temperature decreases, the molecular motion slows down, so the volume decreases and the internal pressure decreases because of the same mass of air, so the external pressure is relatively high and the force to press the plastic bottle becomes strong and crushed.",,,
98,"The air in the plastic bottle decreases in molecular motion and volume as the temperature decreases. As the air volume of the plastic bottle decreases and the air pressure decreases, the air pressure of the outside air increases relatively, and the volume of the bottle decreases in order to make the air pressure equal.When you put a plastic bottle outside in the summer, the air inside becomes hot due to heat energy. The volume of air increases as the temperature increases, which also occurs in plastic bottles placed outside. It exists in a state in which the volume is relatively large and the pressure inside the bottle is increased. If you put a plastic bottle in this state in a refrigerator with a low temperature, the temperature of the air whose temperature has risen decreases, and the volume of the air whose temperature has decreased also decreases. The reduced volume of air causes a decrease in the pressure of pushing the PET bottle, which causes the external pressure to be relatively strong and causes the PET bottle to be crushed.",,,
99,"Gas tends to expand as the temperature increases, and contracts as the temperature decreases. Comparing the temperature of room temperature in summer with the temperature inside the refrigerator, the temperature of room temperature in summer is relatively higher. So, when the gas in the bottle, which was placed at room temperature, enters the refrigerator, it means that it moves from a high temperature to a low temperature. Therefore, the gas in the bottle will shrink and the bottle will be crushed because it means that the temperature will move to a place where it is low.",,,
100,a decrease in volume by temperature,,,
101,Decreased volume as high-yield temperatures in plastic bottles decrease,,,
102,This is because the volume contracts as the heated air cools.,,,
103,Molecular motion slows down and internal pressure decreases,,,
104,"As the temperature drops, the volume decreases",,,
105,Because of the high atmospheric pressure,,,
106,I don't know.,,,
107,"Because of the sudden change in temperature,",,,
108,It is so hot that inflation rapidly cooled and plastic bottles that had been contacted.,,,
109,Due to the temperature differential,,,
110,The temperature is lowered gas reduces the volume.,,,
111,I don't know.,,,
112,Pressure difference.,,,
113,The air is compressed to temperature changes.,,,
114,"The plastic bottle is only in the summer, temperatures rise if temperature is in the fridge to expansion and contraction nyaryeogamyeonseo Yes.",,,
115,"Keep plastic bottles outside a hot day, warmed up so the temperature in the summer because they crushed by pressure is increased by a sudden you move in a cool place.",,,
116,"The temperature is high in places, and objects in space with low temperature low temperature and barometric pressure.",,,
117,"Outside the temperature is high to low temperature while expansion is a plastic bottle of situation, because to retract.",,,
118,"The refrigerator is expanded outside because of the low temperature compared to the outside air, which is fewer.",,,
119,ë­ë¼ê³  ì¤ëªí´ì¼ í  ì§ ëª¨ë¥´ê² ë¤.,,,
120,Temperature too high.,,,
121,I don't understand.,,,
122,Will be be warm plastic bottles in the refrigerator temperature is lower.,,,
123,The barometer is high.,,,
124,"Because they have a higher pressure, temperature goes down.",,,
125,Hot air in contact with cold air and when you see the movement of air molecules by the cold air gets smaller and crushed by volume is reduced accordingly.,,,
126,"A higher temperature reduces the amount of air per unit volume. Putting plastic bottles in this state in the refrigerator lowers the temperature, increasing the amount of air per unit volume, reducing the volume of plastic bottles.",,,
127,"In the summer, the temperature of the plastic bottle increased due to the high temperature, and as soon as the temperature entered the refrigerator with the low temperature, the temperature decreased rapidly, and the volume contracted, so it was crushed",,,
128,"Gas molecules in warm air increase in volume because they move fast, but gas molecules in cold air decrease in volume because they move slowly.",,,
129,in contraction,,,
130,The steam evaporates,,,
131,"Because of the temperature difference,",,,
132,the temperature of atmospheric pressure,,,
133,Because the temperature suddenly changed,,,
134,I don't understand.,,,
135,I don't know,,,
136,Because of the temperature difference,,,
137,It is because warm air escapes from the bottle.,,,
138,The volume of air inside shrinks and shrinks,,,
139,a sudden change in temperature,,,
140,I don't know because it's suddenly,,,
141,Air contraction inside due to sudden coldness,,,
142,"""The plastic bottle outside is hot",,,
143,"If you put it in a cold refrigerator, the plastic bottle shrinks.""",,,
144,This is because the gap between the air at high temperatures was drastically narrowed due to low temperatures.,,,
145,There's a bigger difference in temperature and pressure than the pressure inside the bottle pressure,,,
146,The temperature is different,,,
147,It's hot,,,
148,I don't know,,,
149,"The plastic bottle, which had been inflated by the heat, was moved to the cold center and contracted",,,
150,This is because it contracts by hitting a cold temperature (wind) after being hot.,,,
151,Because there is a temperature difference,,,
152,It's crushed under pressure.,,,
153,I don't know,,,
154,The temperature suddenly changed,,,
155,I was in a warm place and moved to a cold place.,,,
156,I don't know.,,,
157,Because the air is cold.,,,
158,This is because the temperature is different.,,,
159,"As the hot air in the bottle escapes out, the pushing force in the bottle disappears and the bottle is crushed",,,
160,"If you put a warm plastic bottle in the cold refrigerator,",,,
161,"Outside, the temperature is higher, so the volume of the gas is larger than when the temperature is lower, but suddenly the temperature decreases, reducing the volume of the gas and crushing the bottle",,,
162,Because of the temperature,,,
163,"If you leave a plastic bottle outside in the summer, it's hot and the bottle swells, and if you put it in the refrigerator, the surroundings are cold and the bottle is crushed...",,,
164,Because it's so hot;,,,
165,"When you suddenly go from hot to cold temperatures, the volume decreases and collapses.",,,
166,The temperature suddenly changed,,,
167,The air pressure inside the bottle is different from the air pressure outside on a hot day,,,
168,"The heat temperature of the plastic bottle was high, but the temperature suddenly decreased, so the volume suddenly decreased.",,,
169,This is because the temperature was high and then lowered.,,,
170,"Refrigerator has a lower temperature than outside in summer, so the volume of gas in refrigerator is smaller than outside in summer",,,
171,with less air pressure,,,
172,This is because the volume of air and water in the plastic bottle decreases as the temperature decreases.,,,
173,It's too hot to bulk up and down,,,
174,The water is frozen,,,
175,Yeah.,,,
176,Because the temperature is cold,,,
177,This is because the volume increases when it is hot and decreases when the temperature decreases.,,,
178,The plastic bottle expands due to hot heat and suddenly contracts quickly due to cold air and is crushed.,,,
179,I don't know,,,
180,It's because of the temperature,,,
181,"If you put it in the refrigerator, the temperature will decrease, so it will be crushed as the volume decreases.",,,
182,I don't know.,,,
183,1) It is the same principle as this. ^^,,,
184,The temperature is different,,,
185,This is because the temperature changes.,,,
186,a difference in atmospheric pressure,,,
187,This is because the volume expands when the temperature decreases.,,,
188,"The temperature suddenly changed, and the plastic bottle couldn't adjust to the temperature",,,
189,"As the water inside cools, the pressure in the plastic bottle decreases",,,
190,"When it is hot, the plastic bottle expands and the cold air in the refrigerator meets and collapses.",,,
191,Because it expands,,,
192,Because the plastic bottle was at warm temperatures and hit the cold air,,,
193,This is because the plastic bottle was hot and suddenly became cold.,,,
194,This is because the temperature of the refrigerator increases and the air pressure is reduced,,,
195,"Because there is less air in the refrigerator, the air in the plastic bottle escapes",,,
196,I don't know.,,,
197,"There's a big difference in temperatureIf you suddenly put it in a hot place and put it in a cold place, it will be crushed because of a sharp temperature difference",,,
198,"The plastic bottle is hot, but when you put it in a cold refrigerator, the temperature difference is severe and it is crushed",,,
199,This is because the temperature outside the refrigerator is high and the temperature inside the refrigerator is low in summer.,,,
200,Because the temperature suddenly changed.,,,
201,"It was warm, but I went into a cold place",,,
202,I don't know.,,,
203,I was in a hot place and suddenly went into a cold place,,,
204,under a lot of pressure,,,
205,"If you put a plastic bottle in the hot air in the refrigerator, it hardens into a soft state",,,
206,It is because it is swollen because it is hot air and suddenly meets cold air,,,
207,"The plastic bottle, which became hot under the influence of sunlight, suddenly receives cold air, and hot air and cold air collide with each other, causing the plastic bottle to be crushed.",,,
208,This is because the temperature changes rapidly and the air pressure changes in the bottle.,,,
209,"This is because plastic bottles left outside in summer enter a refrigerator with a low temperature while the temperature is high, resulting in a temperature difference between the inside and outside of the bottle.",,,
210,This is because the movement of the particles became less and contracted as the temperature decreased.,,,
211,The temperature suddenly dropped,,,
212,This is because the air pressure in the plastic bottle is lower than the air pressure in the refrigerator,,,
213,The temperature inside the refrigerator is cold,,,
214,"As the temperature rises, oxygen is compressed",,,
215,"When it's hot, the air pressure is high, but when I go into the cool refrigerator, the air in the bottle decreases.",,,
216,"This is because the lower the temperature, the smaller the volume of the gas.",,,
217,It is a phenomenon that occurs because the volume of ice increases as the water freezes.,,,
218,"In summer, it receives a high temperature and suddenly becomes cold and crushed when put in the refrigerator.",,,
219,The temperature suddenly changed and the particles gathered,,,
220,"Because the pressure of the air has decreased,",,,
221,I don't know,,,
222,pressure difference,,,
223,The temperature is different,,,
224,It's because of the atmospheric pressure.,,,
225,The bonds between the molecules become narrow,,,
226,"Bottles left outside in hot summer have a high temperature, so if you put them in a refrigerator with a low temperature, the temperature difference increases and becomes crushed.",,,
227,The temperature suddenly changed (hot -- cold),,,
228,This is because of the difference in pressure outside and inside the refrigerator in the summer.,,,
229,The temperature difference between the outside and the refrigerator is so big,,,
230,It expands when the temperature is high and contracts when the temperature is low,,,
231,The temperature has risen,,,
232,There is a big difference between the water temperature in the plastic bottle and the temperature in the refrigerator,,,
233,Because it is affected by the hot temperature.,,,
234,"It is because the volume increased due to the temperature and then cooled again, so the volume decreased.",,,
235,"The room temperature was high, so it expanded, but it was crushed because the temperature decreased and contracted as it entered the refrigerator",,,
236,It's because the water has expanded,,,
237,This is because the pressure has become stronger.,,,
238,"As the temperature goes up, the pressure goes up, but as the temperature goes down, the pressure goes down, and the air in the plastic bottle decreases and becomes dented",,,
239,This is because the temperature difference occurred because the temperature moved from high to low.,,,
240,It's because there's a big difference in temperature.,,,
241,"Plastic at high temperatures expands as the distance between molecules increases as molecular activity becomes active, and when the plastic bottle is put in the refrigerator, the temperature decreases rapidly and the distance between molecules decreases rapidly and becomes crushed.",,,
242,Because the temperature of the air inside and the temperature of the air in the refrigerator are different,,,
243,"As the temperature rises, there is a difference in air pressure",,,
244,"Plastic was placed outside in the summer when the temperature was high, so the distance of air expanded, but when put into the refrigerator where the temperature was low, the distance between the air became close and the plastic was crushed.",,,
245,"Due to the sudden temperature difference,",,,
246,I don't know,,,
247,"Because the temperature went down,",,,
248,"There is warm air in it, but it is crushed in the cold place",,,
249,"It is hot outside, but the refrigerator is cold, so it must have been crushed",,,
250,The plastic gets hot and cold,,,
251,There's a lot of temperature difference,,,
252,There's a big difference in temperature,,,
253,Yeah.,,,
254,Because of the temperature,,,
255,"It was hot, but it suddenly got cold",,,
256,The temperature suddenly changed,,,
257,The plastic is exposed to hot air and suddenly meets cold air and shrinks,,,
258,under pressure,,,
259,I don't know,,,
260,Because of the temperature difference,,,
261,The temperature suddenly went down,,,
262,"""I know",,,
263,"""",,,
264,Because of the high atmospheric pressure,,,
265,crouching in the cold,,,
266,"""If you leave it outside in the summer, it gets hot, so the pressure of the air changes and the volume increases",,,
267,"It's because the volume decreases when you break up, and that's why this happens.""",,,
268,Because of the high atmospheric pressure,,,
269,The pressure is getting stronger,,,
270,"It's hot, and then it's",,,
271,There's no water,,,
272,"The air in the plastic bottle, which was at a high temperature, expanded because the air contracted as it entered the refrigerator.",,,
273,The pressure is high,,,
274,Go from hot to cold,,,
275,This is because the temperature of the plastic bottle that was at the outside temperature and the cyst inside are different.,,,
276,The temperature dropped sharply,,,
277,"Higher temperatures increase the momentum of atoms, and lower temperatures decrease the momentum of atoms",,,
278,This is because the plastic bottle at the outside temperature and the cold air of the refrigerator meet.,,,
279,It was hot on the surface and went into the middle,,,
280,"By Charles' law, the volume is directly proportional to the absolute temperature, so the volume becomes smaller in a refrigerator with a low temperature.",,,
281,It goes from a hot place to a cold place,,,
282,Because there's pressure,,,
283,Because it's hot,,,
284,This is because there is a cold temperature.,,,
285,Because it is hot in summer.,,,
286,I don't know,,,
287,The temperature dropped dramatically,,,
288,This is because the hot air in the plastic bottle suddenly cools down.,,,
289,I don't know,,,
290,The temperature goes up and down,,,
291,"Since it is hot in summer, there is heat in the plastic bottle. However, when the heat suddenly meets the cold air, the volume of air decreases and collapses.",,,
292,The air condenses and dents.,,,
293,The hot heat outside causes the expanded bottle to meet the cold air and the hot air inside to escape,,,
294,Changes in the volume of a gas,,,
295,I don't know.,,,
296,dã¹rã¹rãã¹The temperature goes up and down,,,
297,Move from hot to cold and need air,,,
298,I doubt it.,,,
299,I have no idea.,,,
300,The shape of the plastic changed due to a sudden change in temperature.,,,
301,This is because there is a sudden temperature difference.,,,
302,The volume of air has decreased,,,
303,I don't know,,,
304,This is because the air gets cold and the volume increases. That's why it's so uncomfortable because it can't withstand the amount of air.,,,
305,a change in temperature,,,
306,The plastic bottle was crushed because the temperature suddenly changed,,,
307,The temperature went up and down,,,
308,Because of the pressure?,,,
309,The plastic bottle melted and then got cold,,,
310,It's too much pressure,,,
311,This is because the refrigerator has a low temperature and the air in the plastic bottle has shrunk.,,,
312,This is because the volume of air decreases.,,,
313,Shape changes due to sudden temperature changes,,,
314,I don't know.,,,
315,"When the temperature goes up, the temperature goes down",,,
316,The temperature of the plastic bottle suddenly changed.,,,
317,This is because the temperature has dropped sharply.,,,
318,It seems to be because the temperature of the plastic bottle drops sharply when it suddenly becomes cold after being in a hot place.,,,
319,I don't know,,,
320,The temperature difference between outside and inside is huge.,,,
321,"The plastic bottle outside in the summer is warm, but it cools quickly when put in the refrigerator, so water vapor containing water enters the water again, reducing the air in the Tef bottle and crushing it.",,,
322,"The temperature of the plastic bottle is high and the temperature of the payback decreases, so the bottle is crushed.",,,
323,This is because plastic bottles in hot places meet in cold places and cause objects to be crushed.,,,
324,It's because of the pressure.,,,
325,"When put in the refrigerator, the plastic bottle expands as more air enters than when put outside.",,,
326,I think it's because of the temperature difference.,,,
327,I know...,,,
328,It seems to be crushed by sudden temperature changes,,,
329,The temperature outside and the temperature of the refrigerator are different,,,
330,It is because the temperature suddenly dropped.,,,
331,It's a gate with different temperatures.,,,
332,It's crushed by the cold air,,,
333,I was in a hot place and suddenly it got cold,,,
334,"Since the movement of atoms in a plastic bottle is more active than that of Woonerza in the refrigerator, the pressure is high because there are more molecules in the refrigerator.",,,
335,.,,,
336,.,,,
337,This is because the volume of the gas decreases when the temperature is lowered,,,
338,Is it solid or gas in a plastic bottle? Or is it liquid?,,,
339,It is because of molecular activity.,,,
340,.,,,
341,There's a difference in temperature,,,
342,"Because of the sunlight, oxygen in the plastic disappears as it gets into the refrigerator",,,
343,"Lower temperatures also reduce molecular motion, resulting in reduced volume",,,
344,"As the temperature decreases, the movement of atoms slows down and the gap between atoms decreases, so it is crushed.",,,
345,Volume increases as temperature increases,,,
346,The pressure in the bottle is lower than the atmospheric pressure,,,
347,Temperature,,,
348,Change in gas volume with temperature,,,
349,"The lower the temperature, the more it expands.",,,
350,"Because of the temperature difference, the waves change",,,
351,The temperature and volume are proportional,,,
352,"It's similar to the one above, but the opposite is obvious",,,
353,"This is because when the air in the hot bottle enters the refrigerator, the air shrinks and the volume decreases.",,,
354,adiabatic absorption,,,
355,The temperature went down,,,
356,It is because there is a nature to follow the phenomena of nature.,,,
357,Um Jeonghwa sings it. I don't know,,,
358,"The inside of the bottle is warm and the outside is cold, so it's crushed Yes, yes, yes",,,
359,This is because the volume decreases when the temperature decreases,,,
360,It's hot,,,
361,be due to a drop in temperature,,,
362,Because there was a change in pressure.,,,
363,be compressed as the temperature drops,,,
364,"Since T decreases in PV=nRT and the remainder minus V and T is constant, the volume decreases and the bottle is crushed.",,,
365,"Because of the temperature difference,",,,
366,It can be explained by the ideal gas state equation.,,,
367,This is because the volume of air has become smaller.,,,
368,This is because the gas in the plastic bottle contracts when it enters the refrigerator,,,
369,The temperature went down,,,
370,"The temperature decreases and the volume decreases, and the bottle is crushed accordingly.",,,
371,Because it's hot,,,
372,The volume decreases due to a decrease in temperature.,,,
373,"This is because the volume decreases as the temperature decreases, and the air in the bottle contracts",,,
374,The heat shrinks the expanded air,,,
375,"According to Charles' law, the temperature and volume are proportional, so when the temperature decreases, the volume decreases.",,,
376,The gas contracted,,,
377,I don't know,,,
378,a change in temperature,,,
379,It's a little hard.,,,
380,"A higher temperature increases the distance between molecules, but a lower temperature increases the distance.",,,
381,The temperature went down,,,
382,"If the temperature goes down, the volume goes down",,,
383,Someone stepped on it,,,
384,"Because of the temperature difference,",,,
385,It's because the temperature has gone down,,,
386,"Plastic bottles outside in the summer expanded due to heat, and the expansion of them by putting them in cold refrigerators decreased.",,,
387,The temperature decreases and the volume of the gas decreases,,,
388,Dented due to high temperature,,,
389,Because of the temperature difference?,,,
390,The temperature has risen,,,
391,This is because the volume decreases when the temperature decreases,,,
392,"The air inside the plastic is hot, and if you put it in the refrigerator right away, the temperature of the air decreases and the volume of the air decreases",,,
393,"If you expand and go into the cold, there's a big difference in temperature difference?",,,
394,This is because air pressure decreases when the temperature increases.,,,
395,"As the temperature increases, the distance between the gases decreases, and as the temperature decreases, the distance between the gases decreasesThe plastic bottle is crushed because the volume decreases when the temperature decreases.",,,
396,There's a big difference in temperature,,,
397,by rapid freezing,,,
398,in contraction,,,
399,The plastic melted,,,
400,Put a lot of water,,,
401,"It was in the hot air, but suddenly the cold air touched it.",,,
402,Because it's hot,,,
403,It's cold,,,
404,It's hot outside,,,
405,The pressure is low,,,
406,There's a big difference in temperature.,,,
407,It felt like the hot air was moving to a place with cold air,,,
408,Because the temperature difference is different,,,
409,The earth rotates,,,
410,The temperature suddenly dropped,,,
411,The earth rotates,,,
412,under pressure,,,
413,I have a low fever,,,
414,"The plastic gets hot and gets cold, which increases the pressure.",,,
415,It's because I was in a hot place and went to a cold place.,,,
416,Because the volume changes depending on the temperature,,,
417,.,,,
418,It's because of air pressure and water pressure,,,
419,This is because the temperature has changed dramatically.,,,
420,I don't know.,,,
421,This is because the volume decreases when the temperature decreases.,,,
422,It's hot,,,
423,The air pressure in the bottle decreases as the temperature drops,,,
424,"Since the temperature and volume are proportional, as the temperature decreases, the volume also decreases.",,,
425,This is because the volume decreased as the temperature suddenly decreased.,,,
426,This is because inflated air decreases in volume in the refrigerator.,,,
427,This is because the volume of the contents inside the plastic bottle decreases when it enters the refrigerator with a larger volume due to heat from outside.,,,
428,This is because the temperature decreases and shrinks.,,,
429,This is because the temperature suddenly changed and the air in the plastic bottle contracted.,,,
430,"This is because the gas became hot, expanded, and then cooled and contracted.",,,
431,It's because the water vapor contracts as it condenses,,,
432,It is because of the sudden temperature difference.,,,
433,It is crushed because the temperature decreases and the amount of gas in the bottle decreases.,,,
434,"This is because when the temperature decreases, the volume of the gas decreases, and the pressure of the plastic bottle decreases.",,,
435,"In summer, the temperature is relatively high, so the volume of gas expands in the plastic bottle, and when put into the refrigerator, the volume of gas decreases as the temperature of the gas decreases, so the plastic bottle is crushed.",,,
436,"The temperature is relatively high in the summer, so the gas is inflatedgo",,,
437,"When placed in a refrigerator at a lower temperature than outside, the plastic is crushed because the temperature decreases and the volume decreases.",,,
438,"""",,,
439,"The higher the temperature, the more the volume of the gas expands, because the temperature decreases when put in the refrigerator, and the volume of the gas in the plastic bottle decreases.",,,
440,The bottle is crushed due to the difference between the temperature in the bottle and the temperature outside the bottle.,,,
441,The temperature of the refrigerator is lower than outside. This is because the volume of the gas decreases as the temperature decreases.,,,
442,"Gas expands and contracts as the temperature increases, so when a plastic bottle containing hot air is put in the refrigerator, the temperature of the hot gas decreases and contracts, which causes the plastic bottle to be crushed.",,,
443,Because of the difference in air pressure,,,
444,"Han Hangyul, I love you. I love you",,,
445,Go from high temperature to low temperature,,,
446,a difference between temperature and air pressure,,,
447,This is because the volume of air inside decreases,,,
448,"This is because the molecular motion of the gas increases due to the active molecular motion at the temperature outside in summer, but since the refrigerator is at a low temperature, the molecular motion of the gas is less active and the volume decreases.",,,
449,I don't know,,,
450,I don't know,,,
451,(wink),,,
452,I don't know. I didn't even know that It's a new fact that I didn't know this time.,,,
453,I don't know.,,,
454,I don't know.,,,
455,The temperature difference between the refrigerator and the outside decreases in volume,,,
456,"Because of the temperature difference between the refrigerator and the outside,",,,
457,....?,,,
458,This is because the volume of air in the plastic bottle decreased as the temperature decreased.,,,
459,?,,,
460,The volume decreases because the temperature decreases,,,
461,I don't know.,,,
462,There's a big difference between the air inside and outside,,,
463,There's not enough air,,,
464,"Because of the air pressure difference caused by the temperature difference,",,,
465,#NAME?,,,
466,To reduce the volume of objects within the temperature and plastic bottles.,,,
467,Thermal expansion due to diseases the cooling due to contraction of the refrigerator.,,,
468,"ê¸°ì²´ë ì¨ëê° ëì¼ë©´ ìì§ìì´ ë íë°í´ì ¸ì íë¼ì¤í± ë´ ë²½ì ì¹ë©´ì ë¶í¼ê° í½ì°½ ëì´ìëë°, ëì¥ê³  ìì ë£ì¼ë©´ ì¨ëê° ë´ë ¤ê° ë¤ì ìì§ìì´ ëë ¤ì ¸ì ì°ê·¸ë¬ì§ê²ëë¤.",,,
469,There is a plastic bottle of hot air volume drop to lower the temperature inside if you put it in the fridge.,,,
470,"Higher temperatures, more active and bulky, reduce the temperature is molecular motion, molecular motion to smaller in volume have grown sluggish.",,,
471,"The increase in temperature increasing in volume, with increased by as much as pressure being applied to try to keep to its original condition is crushed plastic bottles.",,,
472,And the heat.,,,
