,"9. Recently, various problems are occurring due to global warming. Let's think about the causes of global warming and explain the scientific method to solve global warming.",q64_fossil fuel,q64_carbon dioxide
47,I'll use the fumes as I please,0,0
48,"When you ride a car, the car can get heat, but you can't get out of it, so there's too much carbon dioxide on Earth. I think we can reduce carbon dioxide even a little if we make something that allows heat to escape in the car.",0,0
49,I make a lot of electric cars and ride them.,1,1
50,There's a lot of carbon dioxide because of the smoke,0,1
51,You should not ride a car as much as possible because there is a lot of smoke coming out of the car.,0,0
52,"Because we threw a lot of trash.People, don't throw away trash.",1,0
53,I recycle,0,1
54,"Reduce greenhouse gas emissions, save energy, recycle waste, etc.",0,1
55,"Save energy, separate waste and reduce carbon dioxide as much as possible",0,0
56,It does not pollute the environment.,1,0
57,The earth hurts a lot from riding a lot of cars. This is global warming.,0,0
58,"It does not waste resources. Do not burn trees, etc. so that there is not much carbon dioxide produced.",0,0
59,It creates a device that can release carbon dioxide,1,0
60,the use of electric vehicles,1,0
61,"To reduce emissions from cars, I would like to use electric cars or public transportation",1,0
62,Take care of the waste and keep it at 26 degrees without leaving any food behind,0,0
63,It is necessary to develop or develop air conditioners that reduce plastic and do not require ventilators. Think of ways to throw away trash efficiently,1,0
64,"Because of car fumes, car use is reduced",0,0
65,Use a bicycle or walk nearby.,0,0
66,"People usually use cars or air conditioners to heat up the earth, resulting in global warming Therefore, I think we can solve short distance by walking and using a fan.",0,1
67,I cherish,1,0
68,I walk close by and don't use electricity very often,1,0
69,"Reduce plastic use, recycle, and solve global warming.",0,1
70,"Development of new energy, use of eco-friendly goods",1,0
71,"The cause of warming is carbon dioxide, which means reducing greenhouse gas emissions.",1,1
72,"I think we should change the law to change every car to an electric car, let everyone know the seriousness of warming, and encourage people to fix every little problem, starting with smoking, turning on the acorn, and windows.",1,0
73,"Global warming is a phenomenon that occurs when there is a lot of carbon dioxide. To reduce the amount of carbon dioxide, invent new energy to reduce the use of fossil fuels and use the currently developed solar panels to make buildings available to use eco-friendly energy can be used.",1,0
74,"It seems that global warming is caused by carbon dioxide that is produced when burned. In order to reduce carbon dioxide generation, we hope to prevent global warming as much as possible by using renewable energy or electricity.",0,0
75,Use electric transportation and purchase of carbon-traded goods,0,0
76,"It doesn't burn cars, oil, coal, etc. (It prevents carbon dioxide from occurring.))",0,0
77,"Reduce the number of cars used and do not burn oil, coal, etc.",0,0
78,Use electric transportation and purchase of carbon offset products,0,0
79,save water,1,0
80,without saving electricity,0,0
81,Making Air Purifiers Floating in the Sky,1,0
82,Make a job that recycles garbage,1,0
83,"It creates a machine for warming to inform the dangers of warming and to put information related to warming in the machine. The machine informs many people that it is warming and tells them how to solve it.(In conclusion, make a machine related to warming.)",0,1
84,I think it's good to walk or ride a bicycle for a short distance because I think the melons from cars cause global warming,0,0
85,I don't know.,0,0
86,Use electric transportation instead of riding a car.,0,1
87,Scientific development to save energy,0,0
88,"Reduce disposable products, plant trees, and protect Ji-kyu",0,1
89,reduce disposable products,0,1
90,Reduce garbage,0,1
91,Reduce the use of disposable products and plant trees,0,0
92,Develop green growth using nature,1,0
93,Reduce disposable products and plant trees to create a clean natural environment,0,0
94,Reduce disposable products.Plant a lot of trees.Prepare for green growth.,1,0
95,Reduce carbon dioxide emissions by reducing disposable products,0,0
96,Let's grow green,1,1
97,Use natural resources instead of fossil fuels,0,0
98,"Reduce the use of disposable itemsDon't ride your own car. Use public transportation Because if each person uses their own car, they emit too much emissions",1,1
99,I'll plant a variety of plants that I like,0,0
100,I ride an electric car to reduce carbon dioxide,0,0
101,"Disposable products rot and destroy the natural environment, so disposable products are used and discarded well in the trash can without throwing them away anywhere.",0,0
102,We use public transportation to reduce carbon dioxide.,1,1
103,Reduce energy consumption,1,0
104,Reducing energy consumption.,0,0
105,The robot picks up the trash on the road and throws it into the trash can.,0,0
106,"Carbon dioxide comes out when you ride a car, so you ride hydrogen cars and electric cars.",0,0
107,Let's overcome global warming by saving energy by walking as close as possible to global warming caused by high energy consumption.,0,1
108,"This is because people use air conditioners a lot. Therefore, it reduces the use of air conditioners.",0,0
109,Because I turn on the air conditioner too much.,1,0
110,"Turn on the air conditioner, heater, etc., and turn on the air conditioner properly.",0,0
111,"When generating electricity, rather than turning a thermal generator that generates carbon dioxide, which is the main culprit of global warming, it turns a nature-friendly generator such as a wind generator and a hydroelectric generator.",0,1
112,The country sets the temperature of using the air conditioner.,0,1
113,"The cause of global warming is that people use a lot of electricity and car fumes are causing global warming, and the solution is to save electricity and reduce global warming by using electric cars.",1,0
114,"Global warming seems to occur because we use electricity often. To prevent global warming, we need to save electricity and use it.",1,0
115,"Since global warming occurs due to the use of things such as air conditioners that produce a lot of carbon dioxide, the use of electronic devices that generate carbon dioxide is reduced and trees are planted a lot.",0,0
116,Reduce the amount of carbon dioxide,1,0
117,The reason for global warming is that it uses a lot of air conditioners and automobile fumes are causing global warming. The solution is to save electricity and walk close by.,0,1
118,Use eco-friendly fuel instead of fossil fuel,0,0
119,Reduce the use of air conditioners that emit carbon dioxide.,0,0
120,The earth heats up with carbon dioxide in the car market. So the solution is to use an electric car. Electric cars can reduce global warming a little by running on electricity without emitting plum blossoms.,0,0
121,save energy and reduce the use of environmentally problematic documents plant a lot of trees,0,0
122,Save energy and protect the environment,0,0
123,Save energy by removing unused cords.,0,1
124,Let's recycle well,0,0
125,The destruction of the ozone layer raises the temperature of the Earth,1,0
126,Plastic use Disposable item use,1,0
127,It develops components or machines that decompose carbon dioxide.,0,0
128,Research is done to reduce the causes of ozone depletion and to strengthen the ozone layer.,0,0
129,"To reduce greenhouse gases, renewable energy is used instead of fossil fuel use.",0,0
130,Develop new and renewable energy.,0,0
131,You are good.,0,0
132,It seems that the earth's temperature is getting hotter because the earth's temperature is getting higher and the water's temperature is getting higher,1,0
133,"Pull out the cord that you don't use, walk the one that's close to you, use a plastic cup instead of a paper cup",1,0
134,The increase in meat consumption has increased carbon dioxide.,0,0
135,greenhouse gases,0,0
136,"The cause of global warming is a vicious circle in society. The solution is now to stop renovating plant cars that emit harmful substances and gradually reduce them Or even from now on, it is a good way to make all products eco-friendly.",0,0
137,"Since greenhouse gas emissions are high, I think using renewable energy instead of fossil fuels to solve global warming emits less greenhouse gases.",0,1
138,Reduce greenhouse gas emissions,0,0
139,"Global warming is intensifying due to the increase in greenhouse gas emissions, and everyone's participation is needed to solve this problem. As advanced technology has developed, advanced technology to solve global warming should also be developed.",0,0
140,"""Causes: industrialization, reckless environmental destruction, human endless greed, etc",1,0
141,Workaround:...?,0,0
142,Eco-friendly products are used to reduce carbon dioxide emissions.,0,1
143,"Rubbish such as vinyl, plastic, paper, glass, etc. are made into edible things.",1,0
144,"As air is polluted by increased greenhouse gas emissions, factory installation is reduced and air purification facilities are increased.",1,0
145,I think the cause of global warming is an increase in greenhouse gas emissions. I think the scientific method to solve this problem should develop new energy that can be used indefinitely without affecting nature.,0,0
146,"Waste, environmental destruction",0,0
147,"Carbon circulates and uses carbon from the ground to increase carbon dioxide in the air, thus reducing the use of underground resources to prevent further increases in carbon in the air.",0,0
148,"I think global warming, which has already occurred, becomes serious due to various pollutants such as carbon dioxide from using fossil fuels (coal, oil, and natural gas). Therefore, I think we can prevent global warming from becoming more serious by developing renewable energy that can replace these fossil fuels.",0,0
149,I think that the cause of global warming is that people drive a lot of their own cars and emit a lot of exhaust gas rather than using public transportation.,1,1
150,"Car exhaust, unauthorized dumping of garbage, no recycling",0,0
151,Use solar panels,0,0
152,"I think global warming is caused by the garbage we throw away, and human-harmful behavior takes up the biggest scope.",0,0
153,"The problem of solving this problem is that because the state educates it and the glaciers are melting in the Arctic and Antarctic, they use technology to make ice-freeze machines or preserve it using technology.""",0,0
154,We need to reduce environmental pollution,0,1
155,"Use of underground resources such as greenhouse gas, carbon dioxide, coal and oil, automobile exhaust gas, shampoo and detergent, etc",0,1
156,environmental pollution,0,0
157,"Degradation, extinction, leaving the universe and leaving the Earth as it is",0,0
158,It eliminates half the human race.,0,1
159,Reduce greenhouse gas emissions,0,0
160,"To address global warming, there are first personal and national (social) efforts. Personally, saving energy. There are resource conservation, and national efforts include regulations on energy use, fossil fuel use, Freon gas emission regulations, and carbon dioxide emission regulations. I think social groups should also campaign or campaign to change people's perceptions and make them realize the seriousness of global warming.",0,0
161,grow a lot of trees,0,0
162,You have to use gas in moderation,1,0
163,The animal dies,1,0
164,"Because of the carbon dioxide from cars and harmful gases from factories, the government should make a profit by making a car that does not emit carbon dioxide such as electric cars",0,0
165,"""",0,0
166,Get rid of the sun,0,1
167,"""He's good at recycling""",0,1
168,"""",0,1
169,We need to alert people,0,0
170,It seems that we can use a lot of scientific eco-friendly energy to solve global warming.,0,0
171,cut down on factories,0,0
172,Let's live well on our own,0,1
173,"Global warming is mainly caused by methane gas (C+O), which is combined with methane gas to develop materials that can sink into the ground.",1,0
174,"The reason for global warming is co2, so let's reduce CO2",0,0
175,"Because there is a lot of carbon dioxide emissions, it is caused to reduce carbon dioxide emissions.",1,0
176,"The use of fossil fuels prevents carbon dioxide in the atmosphere from escaping Earth's radiation energy, which is causing temperatures to rise in the Earth. The solution to this is to plant trees. Depending on the number of people in the city, a certain number of trees must be planted unconditionally, and an international agreement to not damage forests or forests is signed to protect the Earth.",1,0
177,"Trees can solve global warming by absorbing carbon dioxide and generating oxygen.""",1,0
178,I think people are using too much plastic.,0,1
179,Upgrade to prevent greenhouse gases such as air conditioners and automobiles that emit a lot of greenhouse gases,1,0
180,People don't throw garbage on the street,0,0
181,"First, in order to prevent the emission of carbon dioxide that destroys the ozone layer, it is necessary to commercialize electricity or hydrogen vehicles, and to clean up carbon dioxide.",0,0
182,"Global warming is caused by greenhouse gas emissions such as carbon dioxide, so the use of fossil fuels should be reduced.",0,0
183,Change the way electricity is generated to be greener,1,0
184,"More renewable energy than nuclear fusion can solve global warming, which inevitably generates methane gas, which is at a disadvantage of hydrogen and carbon, so it would be good to think about using it elsewhere.",1,0
185,Reduce greenhouse gases and use eco-friendly energy,0,0
186,"In our society, there are many people who drive cars, so instead of cars that cause smoke and carbon dioxide, glaciers melt, scientifically make various energy such as hydrogen and electricity, and use natural things to prevent global warming.",0,1
187,It generates too much greenhouse gases. Develop technically adsorbing and removing carbon dioxide.,0,0
188,Reduce the use of fossil fuels.,0,0
189,"To reduce electricity consumption, such as removing greenhouse gases or reducing the use of air conditioners",1,0
190,It prevents greenhouse gas emissions.,0,0
191,Cut down on half the people by half.,1,0
192,Save energy resources and develop new alternative energy sources.,0,0
193,a low-car,1,0
194,an increase in greenhouse gases,1,0
195,There is a need for a way to reduce carbon dioxide emissions or to capture greenhouse gases distributed in the atmosphere.,0,0
196,Global warming occurs because greenhouse gases accumulate in the atmosphere and cannot release Earth's radiant energy and reflect it again. Minimize greenhouse gas emissions.,0,1
197,"Global warming is accelerating due to the increase in greenhouse gases, so energy saving methods to reduce greenhouse gases are practiced.Development of electric vehicles",0,0
198,People are the problem. Solve the population problem.,0,0
199,Reduce the use of fossil fuels.,1,0
200,It creates a huge plate of flatness that blocks the sun.,0,0
201,Reduce fossil fuels and develop alternative fuels.,0,0
202,"Global warming is caused by greenhouse gases, including carbon dioxide. This comes mainly from fossil fuels. Therefore, it looks for new energy with less greenhouse gas emissions.",0,0
203,Develop alternative fuels.,0,0
204,Try to reduce carbon dioxide emissions.,1,0
205,Save energy.,0,0
206,Reduce emissions of greenhouse gases.,0,0
207,Reduce smoke from factories and smoke from cars,0,0
208,Don't know,1,0
209,"Wait. When men are destroyed, they will recover as they did at any time after time.",1,0
210,The aesthetics of waiting. Nature will restore itself,0,0
211,"Global warming seems to intensify quickly because it uses up unnecessary electricity. When I don't use it, I think it's a scientific method to unplugging the battery cord.",0,0
212,I ride a bicycle instead of a car,1,1
213,It creates a substitute for the ozone layer.,1,0
214,Car. No,1,0
215,I think we can recycle.,0,0
216,I think we can walk for a short distance.,1,0
217,"People waste energy, so turn off the heater and save energy to solve it",1,0
218,It saves energy,0,1
219,"""I don't think you have to be scientifically determined",1,0
220,"I think we can reduce waste, use less plastic, and reduce plastic",0,1
221,"""",1,0
222,Use bicycles or walk instead of cars to prevent carbon dioxide emissions,0,0
223,Using public transportation,0,0
224,"Don't ride a car, but ride a bicycle.",1,0
225,"I think the cause of global warming is the greenhouse effect due to the increase in warm gas emissions. Therefore, I think we should reduce greenhouse gases. In addition, if the concentration of seawater decreases as glaciers melt, the speed of ocean currents slows down and global warming accelerates, so it would be good to control the concentration of seawater.",0,0
226,"People are consuming too much oil resources and this is causing carbon dioxide, so I think we can increase the amount of renewable energy.",0,0
227,The carbon dioxide emitted from cars seems to be causing the greenhouse effect.,1,1
228,"The government should make efforts to supply electric cars instead of gasoline cars.""",0,0
229,"Since carbon dioxide is the main cause, it releases gases that can decompose carbon dioxide",0,0
230,"Global warming is caused by people's reckless use of fossil energy. Therefore, the use of fossil energy such as coal and oil is reduced and relatively less polluted energy is used compared to fossil energy such as solar power, wind power, tidal power, and geothermal heat.",0,1
231,"Global warming is caused by various greenhouse gases, typically water vapor, carbon dioxide, methane, and Freon gas. This is because the Earth's atmosphere absorbs the Earth's reflective energy and releases it. At this time, water vapor is a greenhouse gas that humans cannot do anything about, and it provides an essential greenhouse effect for mankind. However, in the case of carbon dioxide, the recent industrialization has increased the greenhouse effect. So we need to reduce CO2 emissions and methane emissions, so we need to reduce greenhouse effect in a way that reduces carbon footprint.",0,0
232,"New legislation on cars' engines or emissions systems, or the kind of things that would cause warming (car, coal gas, etc.)",0,0
233,Global warming is caused by environmental pollution and excessive use of electricity,0,0
234,"This is why we need to use solar power charging.""",1,0
235,Reduce the heat energy generated by using air-conditioning appliances,0,0
236,to invent a technology that reduces the fumes of cars,0,0
237,use less shampoo,0,0
238,Let's halve the human population,0,0
239,"Since carbon dioxide is the main culprit of greenhouse gases, the use of fossil fuels is reduced to reduce carbon dioxide.",1,0
240,Reduce greenhouse gases.,1,0
241,Let's get rid of China.,0,0
242,"The cause of global warming is an increase in greenhouse gas emissions. We say that the amount of carbon dioxide in greenhouse gases is the highest except for water vapor, but in reality, the amount of water vapor is the highest. Therefore, I think the amount of water vapor in the atmosphere should be reduced by making rain through artificial rainfall.",0,1
243,Reduce greenhouse gases.,1,0
244,Don't throw away trash,0,1
245,Reduce the amount of plastic used,0,1
246,Increase the use of public transportation and reduce the use of private cars. Reduce the use of electronic devices such as air conditioners.,0,0
247,Reduce the use of disposable items,0,1
248,I don't know,0,1
249,Cause: Jjangkke/Method: Thanos' Fingersnap,1,0
250,Bring me Thanos! Thanos' Fingersnap,1,0
251,Riding a bike without a car,1,0
252,"One of the main causes of global warming is emissions from factories and cars. Therefore, you can reduce factories and cars to reduce emissions.",0,0
253,I live like a natural,0,1
254,Let's plant a tree,1,0
255,"Reduce nuclear, thermal power plants and raise the Earth's temperature by more than 1.5 degrees",1,0
256,"It uses less carbon dioxide-producing items and increases the number of cases where various eco-friendly energy is available, allowing it to conserve energy naturally",1,0
257,Plant trees and reduce air conditioning,0,0
258,Reason: Jjangkke/Method: Thanos' Fingersnap,1,1
259,"We need to reduce emissions of carbon dioxide, which is the main cause of ozone depletion",0,0
260,"Let's reduce carbon dioxide, the main culprit of global warming",0,0
261,People use their cars too much and there are too many factories,0,1
262,Reduce nuclear power plants and install eco-friendly hydro and wind power plants in large quantities,0,0
263,I don't have a car,0,1
264,Gas from coal waste,0,1
265,"Global warming is literally global warming, and to solve this problem, we can plant trees to reduce the amount of carbon dioxide distributed in the atmosphere.",0,1
266,Remove all factories in China.,0,0
267,Walk close distance or save resources. Reduce unnecessary consumption.,0,0
268,cut down on factories,1,0
269,Do not use too much factory waste water or chemicals,0,0
270,"First, we should refrain from using fossil fuels. The main components of fossil fuels are hydrocarbons, and the combustion results of these materials include carbon monoxide, carbon dioxide, nitrogen oxides, and sulfur oxides. Carbon dioxide has less heat absorption and emission than water vapor, but carbon dioxide is not saturated compared to saturated water vapor, which causes an increase in the effect of global warming.",0,0
271,"Secondly, we need to reduce the use of vehicles. Oil, a fossil fuel, is also included, which intensifies the degree of global warming by emitting carbon dioxide and nitrogen oxides.",0,0
272,"Third, install a reflector. A reflector is installed to reflect the heat energy entering the ground as much as possible. In particular, the area of glaciers that shrink as they melt reduces the Earth's reflectance, which increases the Earth's temperature and melts faster. Therefore, reflectors should be installed to compensate for the decrease in reflectance due to melting glaciers so far, and to prevent further glaciers from melting. In addition, when all glaciers melt, rapid glaciers are also caused, so the importance of reflectors can be considered high.",0,0
273,"Fourth, increase the amount of trees. Trees use carbon dioxide, which causes global warming, in photosynthesis to release oxygen, so the total amount of carbon dioxide can be reduced. The amount of trees should be increased to offset the current increase in carbon dioxide and further reduce the amount of carbon dioxide.""",0,0
274,Laws should be enacted to solve specific problems such as electricity saving and garbage problems.,1,0
275,Reduce the use of disposable items,0,0
276,Reduce carbon dioxide,0,0
277,Neutralize the smoke from the factory.,1,0
278,It further reduces state-regulated carbon emissions,1,0
279,Global warming seems to be largely due to methane and carbon dioxide. Develop products that can reduce methane and carbon dioxide as much as possible,0,0
280,Plant trees.,0,0
281,All right.,0,0
282,Reduce greenhouse gases,0,0
283,to use renewable energy,1,0
284,Find the cause of greenhouse gases and make them naturally decomposed.,0,0
285,"To reduce greenhouse gases, a greenhouse gas regulation agreement is signed and regulatory policies are implemented.",1,1
286,.,0,0
287,Reduce the temperature difference between indoor and outdoor air conditioners and save electricity consumption by unplugging unused cords.,1,0
288,"It reduces the use of disposable items and develops eco-friendly items, food, and products.",0,0
289,We can prevent global warming by developing cars that emit carbon dioxide to make environmental cars,1,0
290,I don't know,0,0
291,"The cause is to throw away trash, and the solution is not to throw away trash.",0,0
292,I think it's because of the car fumes,0,0
293,"We use electric cars, not cars that emit fumes, and electricity is used for solar energy",0,0
294,We will study how to use waste dumped in the sea to help the environment.,1,0
295,Don't throw away trash anywhere and watch out for earthquakes,0,0
296,".Glaciers melt in large amounts of electricity, so they install solar heat that can save electricity",0,0
297,"Global warming is caused by bad components from factories, cars, and various items made by Egan, which are eventually caused by human greed. In order to solve it accordingly, humans should try to reduce their greed and develop it eco-friendly, and an attitude of caring and loving the Earth is necessary.",0,0
298,Use electricity using solar heat without throwing away trash.,0,0
299,"""We don't use a lot of carbon dioxide, such as fossil fuels, to prevent carbon dioxide from occurring.",1,0
300,"2. Use eco-friendly energy.""",0,0
301,People are living together,0,0
302,"Fossil fuels produce carbon dioxide, which is the cause of global warming",0,0
303,That's why I study eco-friendly energy to avoid using fossil fuels,1,0
304,Don't throw away trash and recycle,0,0
305,We need to develop more eco-friendly energy to replace petroleum energy.,0,0
306,Classify garbage and avoid using disposable products as much as possible.,0,1
307,Cause: Throwing garbage recklessly / Method: Making AI robots that pick up garbage when they see it,0,0
308,Save electricity.,0,0
309,Do not use disposable products.,1,0
310,eco-friendly energy development,1,0
311,It is moved to the moon by improving it to a place where you can live.,0,0
312,I think global warming is caused by garbage,0,0
313,You shouldn't cut down on trash and throw it away recklessly,1,0
314,"""",0,0
315,Popularize electric cars.,1,0
316,save electricity,1,0
317,Automobile Smoke Lights - Build Eco-Friendly,0,0
318,"People pollute the environment in many ways, such as cutting trees and destroying nature It is small, but I think it would be good to exercise to protect the natural environment.",0,1
319,Let's not use the air conditioner,0,0
320,"In order to save the earth, I do not throw away trash and save electricity",0,0
321,They make a lot of electric cars.,0,0
322,"Global warming is when the Earth's ozone layer is destroyed and the average temperature of the Earth rises. To prevent this global warming, we need to reduce the number of activities that break through the ozone layer.",0,0
323,Install air hearing aids where smoke comes out,1,0
324,"Smoke from serious factories, trees that can handle carbon dioxide, have all been wiped out by humans by forest destruction, planting a lot of trees and saving on wood can somewhat prevent global warming. It creates things that can purify the air",0,0
325,We should try to reduce waste,0,0
326,"Let's make nature clean, save electricity, save water",0,0
327,Burning garbage such as car fumes and incorrect garbage landfill without environmental hormones,1,0
328,turn a windmill,0,0
329,"There are many people who throw garbage anywhere without throwing it in a fixed place, and global warming occurs due to the increase in garbage due to the use of disposable products, etc. We always throw garbage in a fixed place and reduce the use of disposable products. The scientific method is to develop robots that eat up garbage and dispose of garbage.",0,0
330,Global warming is a phenomenon created by human nature damage So reducing all that can slow down global warming and prevent major damage.,0,0
331,"I develop electric cars more and ride eco-friendly cars. Global warming uses too much electricity and the environment is polluted, so seawater becomes dirty, and the earth is polluted a lot due to smoke gas, which causes global warming.",0,0
332,The cause is typically air pollution. The solution is to reduce the use of disposable products.,0,0
333,"First, try to recycle well, not to make a lot of trash, and walk or use a bicycle for a short distance.",0,0
334,"These days, as much as you ride a car, your smoke increases, and global warming gets worse. It will reduce the amount of fumes, but it will be expensive. Therefore, making automobile fumes into ink can help real life and have a good effect on global warming.",1,0
335,"People's indiscriminate garbage causes global warming due to the accumulation of garbage on Earth, and to solve this problem, waste accumulated on Earth is first put on a spaceship and sent out of space to eliminate the waste accumulated on Earth as much as possible.",0,0
336,Alternative energy that reduces carbon dioxide should be made available.,0,0
337,"Use a silicone straw, make a plastic cup really expensive, and then take-out is to put it in your own water bottle",0,0
338,Making products that can replace the ozone layer,0,0
339,"Reduce the use of things that heat the Earth, such as air conditioners, fans, and disposable items.",0,1
340,Reduce electricity usage in everyday life,0,0
341,Walk as far as you can.,0,1
342,"Since global warming uses a lot of energy, it is possible to use eco-friendly energy, such as solar or hydro, instead of electricity or nuclear energy.",0,0
343,It filters out substances from thermal power plants with static electricity,0,1
344,Increase the average temperature of the air conditioner,1,0
345,New and renewable energy is used by building many places that make new and renewable energy.,1,0
346,"I don't use electricity that I don't need, I save water",1,0
347,Develop technologies that can reduce energy.,0,0
348,I use an air purifier,0,0
349,It increases ice in the Arctic by artificially freezing water.,0,0
350,"The cause of global warming is the use of disposable products a lot and the separation collection, so it is necessary to reduce disposable products and minimize the possibility of ensuring the separation collection.",0,0
351,Use less electricity.,0,0
352,"I think it is because of air conditioner or fan. If you use natural energy, it will help to stop global warming",0,0
353,do not pollute the environment,0,0
354,"We think that garbage is the biggest cause, so we can classify and reduce garbage.",0,0
355,"To prevent warming, we create a membrane around the Earth so that the Earth's environment is no longer polluted",0,0
356,You can save water without throwing trash anywhere.,0,0
357,emit less carbon dioxide,0,0
358,I think it would be better to reduce electricity consumption for all,0,0
359,Electric vehicles or hydrogen vehicles that emit less carbon dioxide are used.,0,0
360,I don't know,0,0
361,Plant a lot of trees and reduce waste,0,0
362,Reduce coal fuel and use transportation dansons such as buses and subways.,0,0
363,Use disposable products to a minimum and use public transportation.,0,0
364,Reduce the use of fumes and use electric cars,0,0
365,We need to reduce greenhouse gas emissions to address global warming,1,0
366,"Use water in moderation, save electricity",0,0
367,Protecting the environment and being hygienic,1,0
368,I threw away trash and didn't save energy,1,1
369,We used up our energy.,0,0
370,How to classify waste and pollutants,0,1
371,Eat garbage and make a robot that digests in the body,1,0
372,Global warming cannot be solved because humans must continue to use resources as long as they are alive,0,1
373,You pay a fine if you don't throw trash in the trash can and use a fan if it's not too hot in the summer,0,0
374,Don't know,0,1
375,Let's reduce 2 factories in each country.,1,0
376,I don't use plastic or disposable products very often,0,0
377,Let's save electricity.,0,0
378,"If you don't use electricity, it's fine",1,1
379,Use eco-friendly energy,0,0
380,Reduce greenhouse gas emissions,0,0
381,disposable savings,0,0
382,Let's not use electricity,1,0
383,Riding a bike,1,0
384,Use AI to dispose of garbage,0,1
385,"""The earth is so polluted that it is hard to recover",1,0
386,"It's a state, so we have to start with a little practice. Reduce the use of disposable items and recycle them frequently",0,1
387,Don't leave food behind and plant plants,1,0
388,These are the things we can do,0,0
389,Other governments have reduced the use of oil,0,1
390,"We need to be careful about environmental protection, and we need to make sure that desertified areas",0,1
391,"You have to try to revive it.""",0,0
392,"Global warming is caused by greenhouse gases. The main cause of greenhouse gases is carbon dioxide. Carbon dioxide is present in the fumes emitted from cars. Therefore, in order to solve global warming, we need to reduce smoke, so by using public transportation, we can reduce the use of many cars or use bicycles that do not emit smoke.",0,0
393,Disposable products such as disposable products are dismantled and discarded.,0,1
394,"Global warming has many problems with greenhouse gases. Cow farts, burps, but fossil fuels.Abuse produces a lot of greenhouse gases. To reduce greenhouse gases, trees should be planted scientifically to purify the air.",0,0
395,"Instead of fossil fuels, they continue to study hydrogen or electricity fuels. So we try to develop technology so that these fuels can be supplied to our lives. And try to discover new renewable energy with new structures and components.Glaciers melt in large amounts of electricity, so they install solar heat that can save electricity",1,0
396,"Global warming is caused by bad components from factories, cars, and various items made by Egan, which are eventually caused by human greed. In order to solve it accordingly, humans should try to reduce their greed and develop it eco-friendly, and an attitude of caring and loving the Earth is necessary.",1,0
397,Use electricity using solar heat without throwing away trash.,0,0
398,"""We don't use a lot of carbon dioxide, such as fossil fuels, to prevent carbon dioxide from occurring.",1,0
399,"2. Use eco-friendly energy.""",0,0
400,People are living together,0,0
401,"Fossil fuels produce carbon dioxide, which is the cause of global warming",1,0
402,That's why I study eco-friendly energy to avoid using fossil fuels,0,0
403,Don't throw away trash and recycle,1,0
404,We need to develop more eco-friendly energy to replace petroleum energy.,0,0
405,Classify garbage and avoid using disposable products as much as possible.,0,0
406,Cause: Throwing garbage recklessly / Method: Making AI robots that pick up garbage when they see it,0,0
407,Save electricity.,0,1
408,Do not use disposable products.,0,0
409,eco-friendly energy development,1,0
