,1) Let's imagine what happens when you collect sunlight with convex lenses,q49_temperature,q49_refractive,q49_light energy
103,Heat may rise and ignite,,,
104,The place where the sunlight gathers gets hot,,,
105,There's a fire.,,,
106,It's on fire,,,
107,The place where the sunlight is gathered is on fire,,,
108,It's on fire,,,
109,Sunlight gathers in one place.,,,
110,sunlight reflecting here and there,,,
111,The sunlight wavelengths.,,,
112,to be able to light a fire,,,
113,I don't know.,,,
114,The Earth Destroyed,,,
115,get a fever,,,
116,The place where the light is collected gets really hot,,,
117,The paper burns,,,
118,be on fire,,,
119,It's on fire,,,
120,I don't know.,,,
121,It's small and looks straightens out,,,
122,Heat is applied.,,,
123,It's on fire,,,
124,The light is about to spread,,,
125,.,,,
126,It's the Meripho,,,
127,Smoke and fire,,,
128,I can see it better,,,
129,áá³á«áá¡It's going to be different.,,,
130,A fever develops.,,,
131,There's a fire,,,
132,I don't know,,,
133,The part looks a little burnt.,,,
134,"The objects below catch fire, and you can watch the fire.",,,
135,The light is going to reflect and burn,,,
136,There's a fire,,,
137,"When sunlight is collected, it rises to a temperature above the ignition point, so it catches fire.",,,
138,The light is gathering,,,
139,The light is refracted,,,
140,be burned by light,,,
141,Light gathers in the middle and fires or shines on the gathered part.,,,
142,............,,,
143,The sun is hot because the light energy is gathered in one point. That's why there could be a fire.,,,
144,Heat is generated.,,,
145,A fire can be made at temperatures above the ignition point.,,,
146,Light gathers.,,,
147,"If it rises above the ignition point, it catches fire",,,
148,Can produce a temperature higher than the ignition point,,,
149,There's a fire.,,,
150,Put a convex lens on a piece of paper and collect the sunlight and it burns,,,
151,Sunlight shadows gather in one place.,,,
152,You'll get burned,,,
153,It is very hot because the light energy is gathered at one point,,,
154,"The light gathers in one place, so there is a fire.",,,
155,Light gathers in one place and fires.,,,
156,It's burning,,,
157,The part where the sunlight gathers becomes bright and the temperature rises. catch fire,,,
158,"If it is well gathered, there will be a fire",,,
159,It's on fire,,,
160,The teacher scolds me for the fire,,,
161,A fire breaks out.,,,
162,Sunlight ignites objects under the mat.,,,
163,ã,,,
164,The light looks bent.,,,
165,There's a fire,,,
166,It's on fire,,,
167,It's burning.,,,
168,There's a fire,,,
169,There's a lot to be seen information,,,
170,Light gathers in one place,,,
171,Light gathers in one place,,,
172,"When sunlight is collected and collected on paper, there is a fire.",,,
173,It's on fire,,,
174,There's a fire,,,
175,There's a fire.,,,
176,The edge of the lens will get hot.,,,
177,Light spreads without gathering,,,
178,"Sunlight gathers in the middle, heat gathers, and burns when there is paper.",,,
179,The convex lens will collect sunlight and concentrate sunlight in one place.,,,
180,There will be a fire.,,,
181,There's a fire.,,,
182,Sunlight gathers and becomes a fire.,,,
183,The sunlight gathers in the middle.,,,
184,"Unless the sunlight is like vibranium, it burns/melts!",,,
185,"It can catch fire, the temperature increases, and the brightness increases",,,
186,It's starting to burn,,,
187,The temperature is going up,,,
188,It burns or the sun gathers,,,
189,"of things or land, to burn",,,
190,Light gathers in one place,,,
191,"When sunlight is collected and reflected on paper, the paper burns to ashes.",,,
192,It's on fire,,,
193,Sunlight gathers and catches fire,,,
194,Light gathers and scatters in the middle,,,
195,The collection begins to burn.,,,
196,"The light is driven to the center, and the temperature of the light gradually rises.",,,
197,The place where the sunlight gathers burns or heats upThe sun is too bright to see stars with our eyes.,,,
198,It's burning,,,
199,"The other side of the lens that collects the sunlight emits light of a fiery nature, so the object on the other side burns.",,,
200,Light gathers in the middle,,,
201,a fire,,,
202,The temperature rises where sunlight gathers.,,,
203,There's a fire,,,
204,"The part gets brighter, the temperature gets higher, smoke comes out, and burns.",,,
205,It looks big and explainable.,,,
206,"If sunlight is collected with convex lenses, the light is collected in the middle because the middle part is thicker than the edge.",,,
207,Light gathers in one place,,,
208,Sunlight is collected and the material underneath burns.,,,
209,.,,,
210,Fire,,,
211,It catches fire.,,,
212,The light is spreading,,,
213,It's on fire,,,
214,The light is spreading,,,
215,"When you collect light with a turquoise stove, the light is strong.",,,
216,"If you bring a paper-like burning substance to the sunlight gathered, it will burn.",,,
217,"Things are on fire, burned, or punctured.",,,
218,be burned by the sun,,,
219,The part where sunlight is collected gets hot and causes a fire.,,,
220,It's burning!,,,
221,"It can catch fire, and in the case of paper, it creates holes.",,,
222,Paper burns if you do it on paper,,,
223,The light is spreading,,,
224,catch fire,,,
225,A fire breaks out,,,
226,The energy in the sunlight also gathers,,,
227,matter burns,,,
228,"If you collect sunlight on paper, it burns",,,
229,Light gathers and burns,,,
230,It burns on paper,,,
231,I don't know.,,,
232,It catches fire.,,,
233,the light bends,,,
234,It's burning?,,,
235,It's getting hot in the middle,,,
236,"As the shape of the keyhole appears, it burns if you collect sunlight for a long time on paper.",,,
237,The light does not refract.,,,
238,There's a rainbow,,,
239,It's burning,,,
240,"The bar is refracted by the convex lance, so the light goes to the other side.",,,
241,I think the light will be too bright because it's too bright.,,,
242,The color changes.,,,
243,The sun's light generates heat and heats up the collected part.,,,
244,I don't know,,,
245,I don't know.,,,
246,I don't know.,,,
247,It's on fire,,,
248,...,,,
249,Light gathers in one place and quickly heats up where the bar touches,,,
250,Light energy can gather in one place and burn matter,,,
251,The paper burns,,,
252,There's a white dot in the middle,,,
253,I can't gather,,,
254,There's a fire,,,
255,The light is gathering,,,
256,The temperature of the focal point where the light is gathered is increased,,,
257,Light gathers in one place and catches fire,,,
258,The light gathers to produce smoke,,,
259,"Where the light is gathered, the heat will rise",,,
260,It makes the light strong,,,
261,"Because convex lenses have the property of collecting light, collecting sunlight increases the intensity of light",,,
262,It's burning,,,
263,It catches fire.,,,
264,Gather in one place.,,,
265,The light gets stronger,,,
266,Strong heat is generated to bring light together into one place.,,,
267,Fire can be started when heat is needed to make fire.,,,
268,The light gathers in the middle and heats up,,,
269,Heat is generated,,,
270,You can light a piece of paper.,,,
271,?,,,
272,"If you collect sunlight on paper, it burns",,,
273,"Sunlight gathers, the temperature rises and smoke starts to burn.",,,
274,It can collect light.,,,
275,Only one place gets hot because of the concentration of sunlight,,,
276,I don't know.,,,
277,"The temperature at the gathering point increases, so if you hold the paper for a long time, the paper burns.",,,
278,Objects at the point where sunlight is collected can be burned by strong heat.,,,
279,Heat also gathers and the burning fibers catch fire.,,,
280,It's burning,,,
281,The prizes look different in size,,,
282,the spread of light,,,
283,A fire breaks out.,,,
284,It's on fire,,,
285,Sorry,,,
286,It's upside down,,,
287,Collected part is coveted,,,
288,Light gathers in one spot,,,
289,That part gets really hot,,,
290,Light travels in a straight line like a laser,,,
291,It gets hot and burns.,,,
292,Light gathers in one spot,,,
293,"If there's a material that catches fire, it catches fire",,,
294,"""The light gathers to one side",,,
295,"""",,,
296,I don't know.There's a fire,,,
297,"For example, if you collect sunlight on paper, it catches fire.",,,
298,"Because sunlight gathers at once, you can gather very powerful energyã",,,
299,The sun's light is concentrated at a point and the temperature becomes very high.,,,
300,The part where the sunlight is collected and fired becomes hot.,,,
301,It's hot when you collect sunlight.,,,
302,The heat gathers in one place and the heat rises.,,,
303,to be able to light a piece of paper,,,
304,"First, keep it out of contact with the skin, and if you put it on the paper, it catch on fire.",,,
305,Sunlight gathers in the middle.,,,
306,"If you gather sunlight and put it on paper, the paper burns",,,
307,I don't know.,,,
308,Fire,,,
309,It's getting hotter.,,,
310,It's on fire,,,
311,Heat is generated in the area where sunlight is collected.,,,
312,"Closer to the paper, the paper burns.",,,
313,It's burning,,,
314,"If you put a piece of paper underneath it, smoke will come out and the paper will burn",,,
315,Collecting light and shooting it in the human eye can cause blindness.,,,
316,"If you're all together and keep shining, you burn something",,,
317,The gathering is hot,,,
318,High heat is generated.,,,
319,Come to the center,,,
320,"If there is paper underneath, it will catch fire.",,,
321,Sunlight spreads as it passes through the convex lens.,,,
322,h,,,
323,Light energy becomes stronger and paper can be burned.,,,
324,Light gathers to create powerful light,,,
325,The light is gathered and it gets hot,,,
326,Sunlight gathers in one place and has a temperature enough to burn a substance.,,,
327,"Because convex lenses have the property of collecting light, when light is collected, a straight line of light is emitted to the convex part of the convex lens, which can cause paper to burn.",,,
328,Bring the light collected from sunlight to the paper and it will burn.,,,
329,The light gathers and the temperature rises,,,
330,Heat is generated where the light is gathered,,,
331,It's on fire,,,
332,I don't know.,,,
333,I think it's going to get weird,,,
334,a fire boy,,,
335,I don't know,,,
336,I don't know,,,
337,I don't know,,,
338,It's getting hot. There's a fire,,,
339,Aha.,,,
340,I don't know,,,
341,paraphrased,,,
342,Light is coming out of the water,,,
343,A fire breaks out and gathers in the middle.,,,
344,The sunlight gathered on the convex lens is likely to refract and shine like a flash,,,
345,I don't know,,,
346,It refracts light.,,,
347,I don't know,,,
348,I think the convex lens will get very hot.,,,
349,I don't know,,,
350,I don't know,,,
351,I don't know,,,
352,"It's sticking out, so it's likely to reflect sunlight.",,,
353,A fire could break out,,,
354,The object looks big.,,,
355,A substance that burns like Joy burns,,,
356,The light spreads.,,,
357,The temperature of the sun's point rises.,,,
358,There's a fire,,,
359,Light gathers in one place,,,
360,The surroundings are getting hot,,,
361,ãì°¨ããã¡ãããì7ããì,,,
362,The paper burns,,,
363,The paper burns,,,
364,C and D. 235 33,,,
365,It's on fire,,,
366,The object is getting hot,,,
367,h,,,
368,h,,,
369,The place where the sunlight gathers catches fire.,,,
370,Light can gather in one place and cause a fire,,,
371,The light intensifies and the temperature rises,,,
372,It's burning,,,
373,h,,,
374,The heat of sunlight may gather in the middle of the convex lens and cause a fire,,,
375,Sunlight gathers and a fire breaks out,,,
376,It gets hot in one place,,,
377,The spot shines more and the temperature rises.,,,
378,"If you grind paper, it burns",,,
379,One place gets brighter and hotter,,,
380,The light is so bright!,,,
381,"If light is collected at a point by a convex lens, it can burn something with the collected light.",,,
382,Light will gather in one place.,,,
383,Light refracts.,,,
384,"The longer the time, the higher the temperature.",,,
385,"When sunlight is collected, non-burning things such as soil will heat up and catch fire with watery substances such as in front of trees",,,
386,Light gathers in one place.,,,
387,Sunlight refracts.,,,
388,The black paper burns.,,,
389,Light gathers.,,,
390,The bottom part is slightly burnt,,,
391,It's going to get hot,,,
392,"When sunlight is collected with a convex lens, light is refracted in the middle of the thick sunlight, and when you put something like paper in front of the convex lens, sunlight gathers in the middle.",,,
393,Sunlight gathers in the middle and brightens up the area.,,,
394,Light gathers in one place,,,
395,There's a fire.The light gathers in the middle and the temperature rises,,,
396,"Sunlight gathers in the middle, raising the temperature in that part. That is, if you put paper on it, you will ride it.",,,
397,Collecting sunlight heats up and burns if there is paper underneath.,,,
398,It's about to catch fire.,,,
399,I think the light will reflect,,,
400,h,,,
401,I can see it better,,,
402,The convex lens is round in the middle and then becomes smaller.,,,
403,The place where the light gathers gets hot and bright.,,,
404,The light gathers in the middle.,,,
405,Light is refracted and gathered in the thick middle.,,,
406,"Sunlight gathers in one place, and the place is strongly illuminated.",,,
407,There's a fire,,,
408,There's light,,,
409,The sunlight will gather at a small point.,,,
410,There's a fire.,,,
411,"You can burn paper, etc.",,,
412,"If the sun is hot, there will be a fire.",,,
413,"If the sunlight is in the middle and there is an object in front of it, the object burns.",,,
414,It is likely to be bigger than the amount of sunlight collected.,,,
415,I think there's going to be a fire,,,
416,Light gathers in the middle.,,,
417,Paper burns,,,
418,One part burns.,,,
419,The place where the sunlight gathers gets hot.,,,
420,Something burns.,,,
421,Sunlight gathers into small dots.,,,
422,Light will gather in one place.,,,
423,"The properties of convex lenses are convex in the middle, so I think light will pass through the middle",,,
424,"When you collect sunlight with a convex lens, the light comes into one place.",,,
425,Light will gather in one place.,,,
426,I think it's going to stretch out,,,
427,Heat gathers to create a fire,,,
428,A fire breaks out.,,,
429,The light is spreading,,,
430,The light spreads.,,,
431,Sunlight gathers to form a dot.,,,
432,The sunlight is likely to gather in the middle.,,,
433,The light is refracted,,,
434,A fire breaks out,,,
435,The light is gathering,,,
436,The light is reflected off,,,
437,It's refracting,,,
438,Sunlight gathers and burns underneath,,,
439,Light will refract like the surface of the water.So the light will spread.,,,
440,Sunlight is reflected,,,
441,It's burning,,,
442,I don't understand.,,,
443,Collecting light,,,
444,"A convex lens is something that refracts light so that it can be seen, and when the light is collected, the light will be seen larger.",,,
445,Light gathers and fires.,,,
446,"If you collect sunlight on black paper, you can start a fire.",,,
447,I don't understand.,,,
448,The direction in which the sunlight gathers gets hot.,,,
449,It's getting hot,,,
450,Sunlight will be collected to generate heat,,,
451,It's going to get hot.,,,
452,There will be heat at the point where the light gathers,,,
453,Sunlight is reflected,,,
454,"The reflected sunlight is hot, so it can get hot if you bring Joy",,,
455,It's refracting,,,
456,Fire,,,
457,Reflection,,,
458,a topic comes up,,,
459,"If there is anything that can be burned, it will catch fire.",,,
460,The light is gathering,,,
461,The place with the most light is burning,,,
462,The light is gathering,,,
463,Sunlight gathers and spreads,,,
464,The light gathers and heats up,,,
465,The thing in front of the convex lens is going to burn.,,,
466,It looks big.,,,
467,The place where the sun is gathered will catch fire.,,,
468,the sun's rays set in the middle,,,
469,It's burning,,,
470,It's about to be a fire,,,
471,The light is brought together and the light becomes stronger.,,,
472,"If you collect sunlight with block lenses, the point where sunlight is collected is likely to burn.",,,
473,The light gets stronger.,,,
474,We gather in one place,,,
475,"As the light gathers in the middle of the convex land, the light becomes smaller and larger again",,,
476,The light looks round,,,
477,I expect all the light to burst,,,
478,The light keeps getting bigger,,,
479,The light is getting smaller and bigger.,,,
480,"If you do it for a long time, it will burn.",,,
481,The light becomes stronger.,,,
482,I think there's going to be a fire,,,
483,It burns over time.,,,
484,I don't know,,,
485,I don't know,,,
486,I don't know,,,
487,I don't know,,,
488,I don't know,,,
489,I don't know,,,
490,I don't know,,,
491,I don't know,,,
492,I don't understand.,,,
493,There's a fire.,,,
494,It reflects light.The edges are burning,,,
495,I don't know.,,,
496,The place where the light touches will get hot.,,,
497,Reflects the light,,,
498,I don't know,,,
499,"""There is smoke coming out of an object or picking it up",,,
500,"""",,,
501,The light is gathering in the middle...,,,
502,I don't know.,,,
503,The light is bending,,,
504,There's a fire,,,
505,I don't think the light will come to my eyes because it's refracted,,,
506,I think my eyesight will get worse.,,,
507,I don't know.,,,
508,I don't know.,,,
509,gather in one place,,,
510,It refracts upward when the sunlight of the block lens touches it.,,,
511,It's burning,,,
512,The sun gathers and heats up the spot,,,
513,The spot where the sunlight is gathered turns black.,,,
514,I think the block lens will be hot,,,
515,The convex lens gathers light in the middle.,,,
516,I don't know.,,,
517,There's smoke,,,
518,"As the sunlight gathers, the light turns white",,,
519,"If you leave the paper under the convex lens, the paper can burn.",,,
520,It gets hot in the sun.,,,
521,The sun shines in one place,,,
522,It's bending to the side by side,,,
523,It refracts light.,,,
524,Blow out the sunlight.,,,
525,"If you put paper under the convex lens, it will burn.",,,
526,There's a fire.,,,
527,Light,,,
528,Collecting sunlight with convex lenses will heat up the light collection.,,,
529,The heat is concentrated in the hot pot and the temperature rises.,,,
530,A lot of sunlight gathers in the thick middle and generates enough energy to burn paper.,,,
531,"When the sunlight of the convex lens passes, it gathers at the focal point, which is a virtual point.  Therefore, if paper is close to the place where light gathers, a large amount of heat can be generated and a fire can occur.",,,
532,"Sunlight refracts toward one focus and gathers in focus. Therefore, the thermal energy of the focus increases. If there is any combustible material, such as paper, at that point, the sun catches fire. It would be very bad for eye health if there were eyes in that part of the focus.",,,
533,"As sunlight is refracted and collected through the convex lens, the area where the light is collected and coming in will become hot",,,
534,Sunlight gathers in one spot. It can burn paper or fallen leaves.,,,
535,"Because the middle part is thicker than the edge part, it has the property of refracting light, so light can be collected in the middle.  When light is collected, the part that receives the collected light receives a large amount of light energy, so it can be heated and even lit.",,,
536,"Because the center is thicker than the edge, if the direction of the light is gathered to one side to collect sunlight, the temperature of the collected sunlight will be hotter",,,
537,"Sunlight is a very strong light. If you collect the amount of energy that can heat the entire Earth even when it is spread through a convex lens, you will be able to do things that require a lot of heat energy, such as making a fire with a strong concentration of energy or heating food.",,,
538,"Light energy is collected at the focal point of the lens, converted into thermal energy, and the temperature of the focal point where light gathers increases.",,,
539,"When sunlight passes through a convex lens, light will be able to converge into the focus and gather more solar energy in a narrow space.",,,
540,"It refracts light and brings it together into a single point, and when you focus on black paper under the sun, it's used to burn something and raise the temperature, as an example of the paper burning around that part",,,
541,"Since solar energy is concentrated in focus, higher energy can be transferred to a narrow space.",,,
542,I don't remember the knowledge of convex lenses,,,
543,"Solar radiation energy gathers in one place due to the refraction of the convex lens, and it heats up as it gathers in one place. If paper, which is a material for burning, is placed in a place where sunlight is collected with a convex lens, energy gathers and reaches the firing temperature, causing a fire.",,,
544,The sunlight refracts and gathers in one spot.,,,
545,"When you collect sunlight with convex lenses, the lenses on the receiving side refract the light and change the path outward, and the lenses on the opposite side change the path back in, eventually converging the sunlight into a single point, which can help create fire or look closely at matter.",,,
546,"Light passing through the edge of the convex lens is refracted sideways, and light passing through the center is incident in a straight line.  Therefore, it serves to collect light incident from various directions into one point. The energy of light is the same, but the energy of light per unit area is very high because the range in which it acts is reduced to one point. It can also burn other objects.",,,
547,"Light refracts to the slower side, and when light from the air enters the lens, it slows down in the middle, which is relatively thicker than at the edge, so the light refracts to the middle. Therefore, sunlight can concentrate light energy and thermal energy into one part by gathering into the middle part.",,,
548,"Convex lenses have the property of collecting light into one place. Therefore, when light is collected using a convex lens, light gathers in one place and generates heat. As heat is generated, the part where light is collected may catch fire or cause soot.",,,
549,"When sunlight is collected with convex lenses, sunlight gathers at one point.  The light passing through the top of the convex lens is refracted in a downward direction, the center is refracted in a straight line, and the bottom is refracted in an upward direction, so that light gathers at one point.",,,
550,"When sunlight is collected through a convex lens, light is collected in one focus. If you continue to shine sunlight on the convex lens, a large amount of heat will be collected in one focus. If this heat gathers more than a certain level, a fire is expected.",,,
551,"A convex lens refracts light and passes through a point, and this property can collect sunlight. Because of this, it is possible to collect brighter light than the surroundings.",,,
552,"""If you reflect light elsewhere, it heats up where it is reflected.",,,
553,"It's on fire.""",,,
554,It's hot,,,
555,The sunlight gathers in the middle,,,
556,It's getting hot,,,
557,The temperature rises at the point where the sunlight gathers,,,
558,Light and heat will come together.,,,
559,Heat generation,,,
560,It's very hot when you collect sunlight,,,
561,Gather more heat,,,
562,The sunlight is gathering,,,
563,Gather up,,,
564,Light gathers in the middle.,,,
565,Black paper catches fire,,,
566,There's a fire,,,
567,The temperature of the sunlight collection increases.,,,
568,It's burning,,,
569,"If you put it on the paper, it catches fire",,,
570,"Sunlight gathers in the middle, heat concentrates, and the temperature of the heat-burning material will rise",,,
571,The light is getting stronger,,,
572,There's a fire,,,
573,I don't know.,,,
574,There's a fire,,,
575,The sunlight is not gathering.,,,
576,It's on fire,,,
577,Light gathers in one place.,,,
578,It can burn black objects.,,,
579,The light is shining,,,
580,It's burning,,,
581,"Rather than collecting evenly as a whole, light will concentrate on the thick part in the middle.",,,
582,The temperature of the heat will rise and catch fire.,,,
583,There's a fire,,,
584,There is a danger of fire.,,,
585,The focus could be centered.,,,
586,Light gathers in one place and heats up,,,
587,It's getting hot,,,
588,There's a fire,,,
589,"Solar energy is concentrated at one point, and the temperature of the concentrated point rises.",,,
590,One part is getting hot. Burn ants with magnifying glass,,,
591,The light energy of sunlight gathers at a point and is higher than in normal conditions.,,,
592,Sunlight is gathering,,,
593,There's a fireThe light is gathering,,,
594,I don't know.,,,
595,It's getting hot,,,
596,I'm going to fart,,,
597,I don't know,,,
598,The paper burns,,,
599,fire,,,
600,I do not remember.,,,
601,Light gathers to generate heat,,,
602,to spread further,,,
603,to be able to burn many things,,,
604,be lit by the sun,,,
605,High energy is collected and paper can be burned.,,,
606,"The heat is collected and smoke is produced, creating a fire",,,
607,"""Large area heat concentrates on narrow areas or spreads to larger areas",,,
608,"When concentrated, the heat is high enough to burn paper that didn't burn",,,
609,"If it spreads to a larger area, the heat in the area where the light touches is likely to be lower than the first""",,,
610,to be able to burn matter,,,
611,"Radiation heat from sunlight is concentrated in one place, and the temperature there rises.",,,
612,Light gathers at a certain point.,,,
613,The temperature of the collection increases.,,,
614,I don't know.,,,
615,The amount of energy collected is concentrated in one point.,,,
616,Sunlight gathers and strengthens.,,,
617,I don't know,,,
618,the gathering of sunlight,,,
619,The light gathers and the place where the light gathers gets hot.,,,
620,The temperature of something in focus rises,,,
621,"If you collect sunlight with convex lenses, energy is concentrated, so you can ride black paper or ants.",,,
622,"When you put an object in focus, it catches fire.",,,
623,"A point where light gathers at a point is created, which increases the temperature.",,,
624,a fire could break out,,,
625,Let's see. Sexy,,,
626,Things look different.,,,
627,There's smoke.,,,
628,It heats up with smokeAnd there's a fire,,,
629,There will be a fire.,,,
630,Sunlight gathers well to generate heat.,,,
631,The temperature rises,,,
632,The embers are growing.,,,
633,The seat burns,,,
634,"Because light gathers at one point and heat energy gathers, it can light up.",,,
635,Paper can burn if you put it on paper.,,,
636,I think the light will be really hot.,,,
637,There's a fire,,,
638,Energy gathers in one place.,,,
639,It's about to be a fire,,,
640,It's on fire,,,
641,There's a fire,,,
642,Sunlight gathers in one place.,,,
643,"At one point, all the light that reaches the area of the convex lens is collected.",,,
644,I can see it well,,,
645,The collected part gets hot.,,,
646,Sunlight is concentrated in the middle.,,,
647,"The light is concentrated in one place and receives a lot of heat there, so the concentrated part may burn",,,
648,There's a fire.,,,
649,"When I see the sunlight, my eyes sting and I feel like I'm going to get rid of them, and I feel hot and paper-like burns",,,
650,The temperature of the part where the light is gathered increases.,,,
651,I can see it better,,,
652,The temperature of the sun's spots will rise,,,
653,The temperature rises,,,
654,The light gathers and heats up.,,,
655,"If you leave an object and reflect the sunlight as it is, the object burns.",,,
656,The sunlit part of the convex lens will burn.,,,
657,Fire or shadow,,,
658,The convex lens can burn ants if they collect sunlight weaker than the light from the Park Geun Hye princess.,,,
659,It gets hot and there's smoke and fire,,,
660,Only the middle part of the sun is likely to gather.,,,
661,Light gathers in one place,,,
662,The surroundings of the gathered light burn.,,,
663,The sunburned part burns,,,
664,Fever can cause burns.,,,
665,"When sunlight gathers, light gathers, and when sunlight gathers, heat from the sun gathers and catches fire.",,,
666,Bar,,,
667,The temperature rises at the gathering point and burns.,,,
668,heat generation,,,
669,There's a fire,,,
670,Light gathers in one place,,,
671,be gathered at one point,,,
672,the temperature rises,,,
673,It's getting hot,,,
674,The light is gathering,,,
675,It's on fire,,,
676,It's burning,,,
677,There's a fire,,,
678,I don't know.,,,
679,The intensity of the light that gathers at one point becomes stronger,,,
680,It's getting hot,,,
681,The energy is gathered in one point,,,
682,I can see it well,,,
683,There's a fire.,,,
684,Sunlight gathers in the middle and burns.,,,
685,Fireworks form,,,
686,be heated up,,,
687,Light gathers in the middle of the convex lens.,,,
688,to be able to burn something by the concentration of light,,,
689,Heat it up so it can burn.,,,
690,The collected part burns,,,
691,"The convex lens collects light into one place and generates heat, which can cause a fire if left for a long time",,,
692,Collecting light on paper catches fire.The light that passes through the convex lens will be collected and the paper-like material will burn.,,,
693,The paper burns / It gets hot,,,
694,It's on fire,,,
695,The paper burns,,,
696,Collecting light on paper catches fire.,,,
697,"If you continue to collect sunlight, you will catch fire.",,,
698,"When light passing through the convex lens gathers, materials such as paper burn.",,,
699,"When light passing through the convex lens gathers, materials such as paper burn.",,,
700,"When light passing through the convex lens gathers, materials such as paper burn.",,,
701,"Because convex lenses refract light, light is gathered to one side and the temperature of the paper will rise to the point of ignition.",,,
702,"If you put the paper under it, flames, fire, and smoke can come out of the paper.",,,
703,The light is gathered and burned,,,
704,Convex lenses can catch fire because light gathers in one place,,,
705,Smoke comes from where the light is gathered.,,,
706,"Where the light is gathered, there is smoke and then a fire",,,
707,Brightness changes and temperatures increase.,,,
708,"If you shoot a convex lens with light gathered on a white paper, the white paper burns",,,
709,"If you put it on black paper and shoot it, it'll burn. It'll take about an hour for a man to warm up",,,
710,"When the convex lens is illuminated on the white paper, the heat rises and burns on the white paper.",,,
711,"When you shoot a bullock lens with a collection of leaves on a white paper, the paper catches fire.",,,
712,Light gathers in the middle,,,
713,"By collecting light with a convex lens, the object in the middle of the convex lens burns.",,,
714,"What happens when you collect sunlight with a convex lens is that you can collect sunlight with a convex lens, so if you put it in one place and wait, the object burns",,,
715,Heat is generated,,,
716,Light gathers in the middle,,,
717,Sunlight gathers and the matter burns.,,,
718,The part where the light is gathered starts to burn.,,,
719,"Where the sunlight gathers, it catches fire.",,,
720,Sunlight gathers to generate heat,,,
721,It's on fire,,,
722,It's burning,,,
723,Sunlight is dispersed,,,
724,Sunlight is dispersed,,,
