,2) Why was it so hard to breathe after the first few breaths?,q42_oxygen,q42_carbon dioxide,q42_air
157,This is because the amount of carbon dioxide has become more than fresh air.,,,
158,This is because carbon dioxide accounts for most of the amount.,,,
159,"Because you breathe in the oxygen in the bag and exhale carbon dioxide, it reduces oxygen and makes it difficult to breathe",,,
160,"When breathing in, inhale oxygen and exhale carbon dioxide when exhaling, because the proportion of oxygen in the bag decreased and carbon dioxide increased as the process was repeated.",,,
161,I'm running out of oxygen,,,
162,It's because the air disappears,,,
163,How would I know that?;,,,
164,It's because my head lacks oxygen.,,,
165,My breathing is so fast,,,
166,"At first, there was less carbon dioxide, but later, there was more carbon dioxide",,,
167,"When breathing, 21% of oxygen in the atmosphere and 0.03% of carbon dioxide are consumed, and 16% of oxygen and 4% of carbon dioxide are emitted, making it difficult to breathe because the amount of carbon dioxide in the bag increases.",,,
168,This is because oxygen has decreased and carbon dioxide has increased.,,,
169,"Due to breathing, the concentration of oxygen is lower and the concentration of carbon dioxide is higher than that of exhalation, so the more the air in the plastic bag breathes, the less oxygen concentration decreases, making it difficult to breathe",,,
170,Breathe in with carbon dioxide,,,
171,"This is because oxygen enters the body during inhalation, but carbon dioxide is released during exhalation.",,,
172,I don't know.,,,
173,It's full of carbon dioxide,,,
174,"When you breathe out, there's only carbon dioxide left, not oxygen",,,
175,The air in the bag disappeared,,,
176,"This is because as carbon dioxide increases in plastic bags, oxygen becomes scarce.",,,
177,"Oxygen is inhaled and emitted carbon dioxide, which makes it difficult to breathe due to increased carbon dioxide.",,,
178,Because carbon can't breathe,,,
179,I think it's because of carbon dioxide.,,,
180,"Breathe in oxygen when inhaling, but breathe out carbon dioxide when exhaling, so if you breathe in and out several times, there is not much oxygen left, making it difficult to breathe.",,,
181,The air turns into carbon dioxide,,,
182,The air outside is stuffy. Because the fine dust is severe these days.,,,
183,Because it was filled with the air of exhalation,,,
184,This is because oxygen disappears and carbon dioxide is present.,,,
185,There's a lot of carbon dioxide,,,
186,It is because oxygen is gone.,,,
187,"When you breathe in, the air escapes",,,
188,The oxygen in the bag is gradually disappearing,,,
189,It's made of carbon dioxide,,,
190,I'm drinking carbon dioxide,,,
191,It's because the amount of air decreases when you inhale and exhale,,,
192,Because oxygen became carbon dioxide.,,,
193,"Even if you breathe out and breathe again, there's less air in the bag,",,,
194,This is because the air escapes by inhaling and exhaling the same air.,,,
195,"Because the air has decreased,",,,
196,It's because I drank oxygen and it decreased,,,
197,"""At first, there was only oxygen in the bag, but as I exhaled, carbon dioxide was in the bagIt's harder to breathe because it's more than oxygen """,,,
198,It is because there is less volume to breathe air,,,
199,"The first air in the plastic bag was oxygen, so I could breathe, but after a few breaths, it would have been difficult to breathe because the air in the plastic bag turned into carbon dioxide.",,,
200,Because I exhaled carbon dioxide from my mouth and inhaled it as it was.,,,
201,Because the air in the bag is gradually disappearing,,,
202,I can't breathe in and out a lot,,,
203,It reduces the air,,,
204,The air is limited,,,
205,"When inhaling, inhaling oxygen, and when exhaling, carbon dioxide comes out, so oxygen disappears, and the bag is full of carbon dioxide, making it difficult to breathe",,,
206,It's because the air decreases every time you breathe,,,
207,This is because the ratio of air has decreased and the ratio of carbon dioxide has increased.,,,
208,"At first, there was enough oxygen, but carbon dioxide increased instead of oxygen while breathing.",,,
209,This is because the air became warm while breathing in an enclosed place.,,,
210,Because there is no more oxygen to drink and only carbon dioxide exists,,,
211,Because oxygen disappears in the plastic bag,,,
212,This is because the percentage of carbon dioxide increases because carbon dioxide comes out when you inhale and exhale,,,
213,There's not enough carbon dioxide,,,
214,"The carbon dioxide that you exhaled remains in the bag, so you drink carbon dioxide, and as a result, you run out of oxygen, making it difficult.",,,
215,"People breathe oxygen, but if they breathe many times, they breathe carbon dioxide.",,,
216,This is because the oxygen in the bag gradually disappears as it breathes several times.,,,
217,"Because of the increased lung capacity,",,,
218,"Because it is contained in a bag, new air enters and the air inside does not circulate well.",,,
219,I'm running out of oxygen in the air,,,
220,All the oxygen is gone,,,
221,Oxygen is converted into carbon dioxide,,,
222,The carbon dioxide fills the bag,,,
223,The amount of air has decreased,,,
224,"This is because carbon dioxide increases, turns into hot air, and kicks with dust from the nose.",,,
225,Because there's no oxygen and only carbon dioxide,,,
226,"Since there is only carbon dioxide left after inhaling all oxygen, it is difficult to breathe due to lack of oxygen.",,,
227,There's a lot of carbon dioxide,,,
228,"The more you breathe, the less oxygen in the air",,,
229,This is because carbon dioxide has increased.,,,
230,It's because there's not enough oxygen,,,
231,I'm running low on oxygen,,,
232,"Because of the increase in carbon dioxide,",,,
233,"Because I inhale it, I only have carbon dioxide left",,,
234,"At first, there was a lot of oxygen in the bag, but because it was in close contact, there was no air coming in and out, so oxygen is less and carbon dioxide is more.",,,
235,It's because I drink carbon dioxide,,,
236,The carbon dioxide spewed out is a gas that is hard to drinkable gas,,,
237,"This is because every time you exhale, there is less oxygen and carbon dioxide is released.",,,
238,"Oxygen is needed to breathe, but as you breathe, oxygen decreases and carbon dioxide increases, reducing the amount of oxygen needed to breathe.",,,
239,"The bag, which was filled with oxygen while repeatedly inhaling and breathing, is filled with carbon dioxide that we exhaled, which is difficult to breathe due to lack of oxygen.",,,
240,I drank too much air,,,
241,It is difficult to breathe due to lack of oxygen because it inhaled oxygen in the bag and emitted carbon dioxide.,,,
242,"Since our bodies accept oxygen and exhale carbon dioxide, it becomes difficult to breathe due to the lack of oxygen in the bag.",,,
243,be due to lack of oxygen,,,
244,"At first, it was full of fresh air (oxygen), but oxygen entered through breathing and carbon dioxide was emitted, making it difficult to breathe due to more carbon dioxide in the bag.",,,
245,"This is because it is carbon dioxide, not hidden oxygen.",,,
246,"Since the amount of carbon dioxide in the bag has increased,",,,
247,It became difficult to breathe because there was a lot of carbon dioxide in plastic bags.,,,
248,"Inhaling, air disappeared and carbon dioxide was formed.",,,
249,"Since you exhaled, it will be dirty and hard to hide",,,
250,Because the air is reduced,,,
251,I don't know,,,
252,Because the air is gradually disappearing,,,
253,It's because the carbon dioxide in the body came into the plastic bag while breathing,,,
254,Because of carbon dioxide,,,
255,"Because the air is getting smaller,",,,
256,It's hard to breathe because there's no oxygen.,,,
257,Because there's not enough Gongga?,,,
258,"The vinyl has run out of air, so it's hard to breathe.",,,
259,There's a limit to the air,,,
260,It's because I almost inhaled the air and turned into carbon dioxide from my body,,,
261,It's hard because there's a lot of carbon dioxide,,,
262,Because of carbon dioxide,,,
263,I'm running low on oxygen,,,
264,The air I kicked out is sulking and not coming back,,,
265,"Oxygen comes into our bodies and carbon dioxide is exhaled, so it's frustrating that we can't drink oxygen and only drink carbon dioxide",,,
266,Oxygen disappears and becomes scarce,,,
267,"When you breathe out, carbon dioxide is released",,,
268,My face is not good,,,
269,Because it's hard to breathe?,,,
270,This is because the air inside the bag turned into carbon dioxide by inhaling the air inside the bag.,,,
271,There's no oxygen and there's carbon dioxide,,,
272,"We breathe in oxygen, we breathe out carbon dioxide, we breathe in oxygen, we breathe out carbon dioxide, we breathe out",,,
273,"We drink oxygen and exhale carbon dioxide, but the amount of oxygen is limited because the plastic bag is a sealed space. That's why it's hard to breathe.",,,
274,Because you can't breathe.,,,
275,"Most of the oxygen in the bag is converted to carbon dioxide by human breathing, and it becomes difficult to breathe as it continues to breathe with the previously rotated carbon dioxide.",,,
276,This is because the amount of carbon dioxide is higher than the amount of oxygen in the bag.,,,
277,"This may be because it enters the body while inhaling air, and air escapes to the outer surface of the plastic bag.",,,
278,This is because it is gradually exchanged for the above reasons.,,,
279,It's because the plastic bag is filled with carbon dioxide rather than oxygen,,,
280,It's because the air has decreased,,,
281,There's no air,,,
282,It's because the air has disappeared.,,,
283,It's because he breathed air and the air disappeared.,,,
284,It feels stuffy,,,
285,It's because the air is gradually disappearing,,,
286,Because there's carbon dioxide in the plastic bag that I exhaled,,,
287,Because the air is gone,,,
288,It's hard to breathe with just carbon dioxide,,,
289,"Carbon dioxide (?) comes out every time we breathe, so when we breathe air, carbon dioxide comes out and the amount of air gradually disappears.",,,
290,This is because the amount of air has decreased.,,,
291,It became difficult to breathe because the air turned into carbon dioxide.,,,
292,Because the air in the bag is getting less and less,,,
293,This is because oxygen disappeared while inhaling and carbon dioxide was formed by exhaling.,,,
294,This is because there is not enough air and only carbon dioxide.,,,
295,The air is gradually disappearing,,,
296,Carbon dioxide has made it hard to hide.This is because the plastic bag is getting full of carbon dioxide.,,,
297,"You've already taken in the oxygen in the plastic bag, and then you're going to blow up carbon dioxide and it's going to be hard to breathe",,,
298,The oxygen is gone and it's changed to carbon dioxide,,,
299,Because I exhale carbon dioxide.,,,
300,"Because I breathed several times, the air disappeared.",,,
301,Breathing makes the lungs harder,,,
302,"Because as humans breathe in, the air goes into our lungs, and it's filled with carbon dioxide that we breathe in, so there's only a little air left.",,,
303,Because there's carbon dioxide in the bag,,,
304,Breathe constantly. The air is gone. There's no oxygen. I'm suffocating,,,
305,I'm running low on oxygen,,,
306,Breathe in all the air in the bag and it's full of carbon dioxide,,,
307,There's a lot of air in my body,,,
308,I'm running out of oxygen,,,
309,This is because the oxygen in the air was gradually consumed.,,,
310,It's because we've run out of oxygen.,,,
311,This is because there is more carbon dioxide.,,,
312,Because the oxygen in the bag turned into carbon dioxide,,,
313,Oxygen is gone,,,
314,The air turns into carbon dioxide.,,,
315,This is because there is less fresh air and more carbon dioxide.,,,
316,This is because the proportion of air is less than that of me. And because there is only a certain amount of air in a small plastic bag.,,,
317,"This is because the air in the bag was initially oxygen, but after doing it several times, it turned into carbon dioxide.",,,
318,Because of the reduced air.,,,
319,It may be because there is not much oxygen and there is a lot of carbon dioxide left.,,,
320,"When you breathe in and spit out air, it turns into carbon dioxide",,,
321,"This is because there is more air than average, so it takes more time for oxygen to move.",,,
322,It was because there was a lack of oxygen.,,,
323,"When breathing in and out in a dense space, you can rest because carbon dioxide is not generated yet the first few times, but after that, carbon dioxide is generated due to inhalation and exhalation, making it difficult to breathe.",,,
324,It will be hard to breathe because the plastic bag is blocked.,,,
325,"At first, it was full of oxygen",,,
326,Breathe in the air,,,
327,The air in the bag disappeared because I breathed several times,,,
328,"This is because people breathe in oxygen, but they cannot breathe with carbon dioxide.",,,
329,That's why there's so much carbon dioxide.,,,
330,Breathe in the air,,,
331,"Because humans breathe in oxygen and exhale carbon dioxide, at first there was oxygen in the bag, so they could breathe, but after doing it many times, the bag would fill up with carbon dioxide and breathe.",,,
332,"You need oxygen to breathe, and you breathe out carbon dioxide",,,
333,It turns into the air that exhales fresh air in the bag,,,
334,because the amount of oxygen is low,,,
335,This is because there is a lack of oxygen.,,,
336,"Because the body lacks the oxygen it needs,",,,
337,It is because of carbon dioxide.,,,
338,"Since the air is limited in the bag, the amount of oxygen that can be drunk is limited, making it difficult to breathe.",,,
339,I'm running low on oxygen,,,
340,Too much oxygen goes into the body,,,
341,"The amount of oxygen required for breathing initially existed, but as you breathe repeatedly, the amount of oxygen decreased, resulting in a lack of oxygen required for oxygen required for breathing.",,,
342,This is because the amount of oxygen decreases.,,,
343,The proportion of oxygen decreases and the proportion of carbon dioxide increases,,,
344,because of the decreased amount of oxygen,,,
345,There's a lot of carbon dioxide and less oxygen,,,
346,lack of oxygen,,,
347,It is because the air is full inside.,,,
348,"My lungs are full of oxygen, and I don't have room for more",,,
349,The carbon dioxide content is increased and oxygen is decreased,,,
350,I have nothing to say because it is self-evident,,,
351,The amount of oxygen in the bag is decreasing,,,
352,thinning of oxygen,,,
353,It is because of carbon dioxide that comes out when you breathe out.,,,
354,It's because the situation is embarrassing.,,,
355,Um Jung Hwa is singing. I don't know,,,
356,It's bitter on the top,,,
357,There's a lot of carbon dioxide,,,
358,lack of oxygen,,,
359,Because the bag is full of carbon dioxide,,,
360,This is because the partial pressure of oxygen decreases.,,,
361,There's less oxygen and more carbon dioxide,,,
362,This is because the amount of oxygen has decreased.,,,
363,It's because carbon dioxide comes out when you breathe,,,
364,This is because the oxygen density in the plastic bag has decreased.,,,
365,This is because oxygen has decreased.,,,
366,Because all the oxygen is exhausted,,,
367,The oxygen ratio decreased and the carbon dioxide ratio increased.,,,
368,"Oxygen is needed to breathe, but after several breaths, oxygen decreases, making it difficult to breathe.",,,
369,"Since there's a lot of carbon dioxide,",,,
370,"This is because you breathe in air when you breathe in, but you exhale carbon dioxide when you exhale. As a result, there is less and less air to breathe.",,,
371,The body is not supplied with oxygen because it breathes with carbon dioxide.,,,
372,There's a lot of carbon dioxide,,,
373,"Oxygen is needed to breathe, because the oxygen in the bag decreased as it breathed.",,,
374,There's air in my lungs,,,
375,I'm running out of oxygen,,,
376,Increase in oxygen-deficient carbon dioxide,,,
377,I don't have enough space to breathe,,,
378,"Humans breathe with oxygen, but later it remains outside carbon dioxide, making it difficult to breathe.",,,
379,Because there's more carbon dioxide (Low oxygen,,,
380,Because we need more oxygen,,,
381,"Of course, the entrance is blocked",,,
382,I'm running out of oxygen,,,
383,"This is because oxygen goes in when you inhale and carbon dioxide comes out when you exhale, so there is more and more carbon dioxide in the air in the bag",,,
384,This is because oxygen decreases.,,,
385,Oxygen is gone,,,
386,the condition of being difficult because one's,,,
387,Because of carbon dioxide,,,
388,Oxygen is gone,,,
389,This is because a lot of carbon dioxide is produced by exhalation,,,
390,Because there's less oxygen,,,
391,Because you're running out of oxygen,,,
392,This is because there is more carbon dioxide.,,,
393,The amount of oxygen decreases because it inhales oxygen and exhales carbon dioxide.,,,
394,"The oxygen in the bag decreases, making it difficult to breathe.",,,
395,"the clean air disappearsBecause of the breathing, the air came out",,,
396,Breathe in oxygen and exhale carbon dioxide,,,
397,ã,,,
398,It's hard to blow the air,,,
399,It is because the air has entered the body.,,,
400,It's hard if you keep breathing,,,
401,Oxygen is gone,,,
402,The air in the bag is less than we breathe,,,
403,Because the air is reduced,,,
404,This is because the air that can breathe has escaped out.,,,
405,out of breath,,,
406,Because you have to breathe in the same air,,,
407,There's a lot of air. There's not enough oxygen,,,
408,There's less air in the bag,,,
409,Because of lack of oxygen.,,,
410,I breathed so fast,,,
411,Harmful air comes out,,,
412,The air is dirty and I feel tired.,,,
413,It's because there's a little air.,,,
414,Because the air is gone,,,
415,.,,,
416,This is because carbon dioxide has increased.,,,
417,This is because oxygen disappears in the bag and contains carbon dioxide.,,,
418,Because it is full of carbon dioxide.,,,
419,"The first few times, there was a lot of oxygen left in the bag, so it was easier to breathe, but as time went by, there was more carbon dioxide, less oxygen, and it would have been hard to breathe",,,
420,"As the percentage of air content in the bag increased, it would have been difficult for a person to breathe due to the lack of gas needed to breathe",,,
421,It's because oxygen has decreased,,,
422,This is because the oxygen ratio in the air has decreased.,,,
423,"During the breathing process, gas exchange between oxygen and carbon dioxide occurs in the lungs, because the amount of oxygen in the bag is limited.",,,
424,This is because there is a lot of carbon dioxide.,,,
425,"This is because oxygen has decreased and the carbon dioxide ratio has increased, resulting in a lack of substances needed for breathing.",,,
426,This is because oxygen is reduced and carbon dioxide is filled.,,,
427,This is because the amount of carbon dioxide is higher than the amount of oxygen.,,,
428,This is because oxygen has decreased and carbon dioxide has increased.,,,
429,"At first, we could slurp and drink the oxygen in the envelope, but when we exhale, we spit out some carbon dioxide, and at the same time, we spit out more oxygen than carbon dioxide, so we slurp several times, and it becomes harder to breathe as the carbon dioxide ratio increases.",,,
430,"This is because I drank the air in the bag to breathe, so the air in the bag decreased.",,,
431,"In the bag, breathing becomes difficult because the concentration of carbon dioxide is higher than the concentration of acidity due to breathing.",,,
432,This is because the proportion of oxygen in the air is getting lower.,,,
433,"The gas you want to get through breathing is oxygen. However, as the gas in the bag breathes several times, the concentration of oxygen decreases, so the amount of oxygen that can be obtained through breathing decreases, making it difficult to breathe.",,,
434,This is because the oxygen concentration in the bag decreased and the carbon dioxide concentration increased through continuous breathing.,,,
435,"""",,,
436,This is because the concentration of oxygen has decreased.,,,
437,"If you breathe in, you can't breathe because you inhale oxygen in the bag and exhale carbon dioxide when you exhale.",,,
438,"People breathe using oxygen. At first, the air contained oxygen, but as you breathe, the oxygen in the air decreases and carbon dioxide increases, making it difficult to breathe.",,,
