,2) Why is the wind direction different during the day and at night in the sea and on land?,q46_temperature difference,q46_barometric pressure
75,Non-training vehicles on land and sea,,
76,"Non-train (marine, continental)",,
77,"This is because the land has a large specific heat and the temperature difference is large, whereas the sea has a low specific heat and the temperature difference is small.",,
78,"During the day, the sandy beach with a low specific heat receives sunlight and the temperature rises rapidly, and the wind blows from the relatively low temperature sea toward the relatively high temperature sandy beach. At night, the ocean with high specific heat retains energy from sunlight, so the temperature does not change much, and the temperature of the sandy beach decreases.",,
79,"The land, which has a high specific heat, heats up faster than the sea during the day, and the air from the land rises before the air from the sea, and the wind blows from the sea to the land. High sea air rises and winds blow from land to sea.",,
80,"Seawater with high specific heat heats up slowly and cools down slowly, so the temperature is relatively lower than that of sandy beaches during the day. So the air goes down, and the sandy beach temperature rises because it's hot. Because of these currents, the wind blows from the sea to the land during the day. At night, because seawater with a high specific heat cools slowly, the air rises because the temperature is relatively higher than that of a sandy beach. So at night, the wind blows from the sandy beach to the beach.",,
81,The reason is that the higher temperature changes during the day and at night due to the specific train difference between the sea and the land.,,
82,"During the day, when the sea receives solar heat, the temperature rises slowly because the specific heat is large. However, the land temperature rises relatively quickly because the specific heat is small. Therefore, the wind blows from the sea to the land during the day because the sea is relatively colder than the land, but at night, the wind cools down quickly and the wind direction changes in the opposite direction.",,
83,"During the day, the sunlight makes the sand hotter than the water, and the air over the sand rises and the air over the water moves there.",,
84,"During the day, the temperature of the sandy beach is higher than that of the sea, so the air on the sandy beach rises and the air from the sea flows into the empty spot, so the wind blows from the sea to the land. The wind blows from the land to the sea because the air above the sandy beach flows into the empty spot.",,
85,"During the day, the sand heats up faster than the sea, which maintains a nearly constant temperature, so hot air is created on land and cold air is created in the sea, which causes convection and wind blows toward the land. Because it is cooler than the sea, relatively hot air is produced in the sea, and cold air is produced on the land, and the wind blows toward the sea.",,
86,"During the day, the sandy beach heats up rapidly, and the land wind blows from the land to the sea because the pressure on the land side is higher than the pressure on the sea side. As a result, the pressure on the sea side is higher and the air pressure on the land side is lower, and the sea wind blows from the sea to the land.",,
87,"The sea has a low specific heat, and the land has a high specific heat. Therefore, during the day, the land heats up faster than the sea, and the temperature is higher than the sea, so wind blows from the sea to the land.",,
88,"The land has a higher specific heat than the sea, so the temperature changes more easily. During the day, the temperature rises more easily on land than in the sea due to solar radiation, and the air pressure on land is lowered, and wind blows from the sea. the wind will blow towards",,
89,"As described in 1), the land temperature is relatively high during the day, and the sea temperature is relatively high at night. Therefore, the land becomes a low pressure during the day and the sea becomes a low pressure at night, and the wind blows towards the land during the day and towards the sea at night.",,
90,"When the temperature of the sandy beach/sea is high, the wind blows to the low-temperature ocean/sand beach.",,
91,because of the difference in specific heat,,
92,"Sand and sea temperature rise and fall at different rates even when they receive the same amount of sunlight. Because of this, the air from the relatively warm side rises and the air from the relatively low temperature side moves to fill its place, creating wind at the seashore. goes During a sunny day, the sand temperature is higher than that of the sea, so wind blows from the sea to the land. blow",,
93,"During the day, the land side has a higher temperature, so the air on the land side rises and the wind blows from the sea, but at night the sea side maintains a higher temperature, which causes the wind to blow from the land.",,
94,"During the day, the temperature of the sea air is lower than that of the land air, so when the land air rises and the pressure decreases, the sea air moves to fill the empty space. The reason is that the air from the sea moves to the land and the wind blows. Conversely, at night, the air temperature in the sea rises because it is relatively warmer than the air temperature over land. As a result, the atmospheric pressure of the sea is lowered, and air moves to fill this empty space from the land, so the wind blows over the land to the sea. This shows that the specific train difference is due to changing the direction of the wind.",,
95,"The beach is bordered by land and sea. The sea has a high specific heat and the land has a low specific heat. In other words, when the same heat is applied, the temperature change on land is greater than that of the sea. Therefore, during the day, the land is warmer than the sea and the air pressure is lower, and the sea is relatively colder than the land, so the air pressure rises. Here, the wind moves from the high-pressure ocean to the low-pressure land because it moves with a pressure difference. At night, the land is cooler than the sea and the air pressure rises, and the sea is relatively warmer than the land, so the air pressure is lowered. Here, the wind blows from the land to the sea because the land is high pressure and the sea is low pressure.",,
96,"Sand has a lower specific heat compared to water, so the range of temperature change is large. Therefore, the sandy beach has a wider range of temperature changes between night and day. So, during the day, the sandy beach is warmer than the sea water, and the warm air rises. The temperature of seawater is lower than that of the sandy beach, so the cooler air compared to the sandy beach air descends downwards. Cold air from the descending seawater moves toward the sandy beach, and warm air from the rising sandy beach moves toward the seawater, creating convection of air. So during the day, the wind blows from the sea to the sandy beach. At night, the sandy beach is cooler than the seawater, and the cooler air is lowered. The seawater is warmer than the sandy beach, so the warmer air rises above the sandy beach. Cold air from the descending sandy beach moves toward the seawater, and warm air from the rising seawater moves toward the sandy beach, creating convection of air. So at night, the wind blows from the sandy beach towards the sea.",,
97,"The beach consists of land and sea. During the day, the air temperature rises faster on land with a low specific heat than the sea with a high specific heat, and the air pressure rises and the air pressure decreases. Air moves from the sea to the land where the air has risen a lot. At night, the sea with a high specific heat cools slowly, and the land with a low specific heat cools quickly, causing the air to drop and the air pressure to rise. . At night, air moves from land to sea and winds blow from land to sea.",,
98,"This is because the specific heat of seawater and sandy beaches are different. Specific heat is the heat required to raise 1 kg of an object by 1 degree Celsius. Since the specific heat of sand is less than that of seawater, it heats up quickly and cools down quickly. Therefore, the sandy beach has a higher temperature than the sea during the day, and the air on the sandy beach side is heated up. As the temperature of the sea-side air rises, the sandy beach becomes high pressure and the sea becomes low pressure, and the wind blows from the sandy beach to the sea.During the day, the specific heat of the sand is smaller and the temperature changes better, so the land area becomes hotter and the air in the land area rises. As a result, the air pressure on the land side decreases, and the air pressure on the sea side increases relatively, and wind blows from the sea to the land. On the contrary, at night, the temperature of the sea is higher, so the air rises and winds blow from land to sea.",,
99,"As answered in No. 1, the gas rises and falls due to changes in temperature. However, due to the difference in specific heat between sand and water, the temperature of sand during the day will be relatively higher than that of water, and at night, the temperature of water will be relatively lower than that of sand. Therefore, the position of where the gas rises and falls is reversed, and the direction of the wind will also blow differently.",,
100,by the difference in specific heat,,
101,by the difference in specific heat,,
102,This is because the temperature changes to the higher side during the day and at night.,,
103,This is because the temperature on the land is higher during the day and the sea is relatively higher at night.,,
104,The temperature is different,,
105,"During the day, the ocean is cooler and at night, the land is lower",,
106,Transfer energy from high temperature to low temperature,,
107,I don't understand.,,
108,This may be because the temperature difference between the sea and the land during the day and night is different.,,
109,I don't understand.,,
110,"During the day, the sandy beach is hotter than seawater and the air pressure is lower, so the wind blows from the seawater toward the sandy beach, and at night, the sand beach is colder than the seawater and the air pressure is higher, so the wind blows from the sandy beach to the seawater.",,
111,I don't know.,,
112,"It's probably because of the temperature difference, too.",,
113,"Because of the difference in temperature between the ocean and the land,",,
114,Because of the specific heat of the water.,,
115,Because of the change in temperature difference.,,
116,This is because the sea and land have different temperatures during the day and at night.,,
117,The atmospheric circulation is different,,
118,"Because the specific heat of the sea and the land is different, the temperature of the land is higher during the day, forming a low pressure, so wind blows from the relatively high pressure to the land, and at night, it is reversed.",,
119,Winds occur because the air on land is hotter during the day and the air on the sea is hotter at night.,,
120,"Because of the temperature difference between the land and the sea,",,
121,"During the day, the amount of heat the land has is high, and at night, the land is cold The temperature of the sea is constant because of the waves",,
122,"During the day, the sea is colder than the sandy beach, and at night the sea is warmer than the sandy beach, so the direction of the wind changes",,
123,"During the day, the cold air of the sea rises and blows to the land, and at night, the sea is warmer, so it is different",,
124,The temperatures of the land and the sea are different day and night,,
125,"This is because the specific heat of the water is large, so the land is hotter during the day and the sea is relatively hotter at night.",,
126,"This is because the specific heat of the land and the sea is different. The sea has a large specific heat, so the temperature difference due to day and night is small, but the land has a small specific heat, so the temperature difference due to day and night is large.",,
127,"The air blows from the warm to the cold, but during the day, the land blows from the land to the sea, and at night, the sea blows from the sea to the land because the temperature is higher",,
128,"During the day, the ocean, which has a small specific heat due to solar energy, heats up quickly in the sand on land, which is less hot and the heat moves up on land and down in the sea. Therefore, on the surface, wind blows from the sea with more air to the land with less air. At night, wind blows from land to sea because there is less air on the surface and more air on the land, as opposed to day.",,
129,I don't know,,
130,The sea gets warm during the day and cold at night,,
131,a sea and a land winds,,
132,Because of the temperature,,
133,It's because the temperature has changed,,
134,It's because of the temperature difference,,
135,I don't know.,,
136,The position of the moon changed,,
137,It's because of the waves.,,
138,The temperature changes and the direction of the wind changes depending on the heat,,
139,Because of the difference in temperature changes between the sea and the land.,,
140,"The land that receives a lot of solar heat during the day is hotter than the sea and the air blows from low to high, so the wind blows from the sea to the ground during the day and vice versa.",,
141,The temperature of the sun and the moon are different,,
142,There is a difference between the moon and the moon,,
143,This is because cold air goes down and warm air goes up.,,
144,I don't understand.,,
145,The temperature is different,,
146,Because it's different ^^,,
147,I don't know,,
148,It's because it's a land wind during the day and a sea wind at night,,
149,I have no idea.,,
150,Because the temperature of water in the sea and the temperature of sand are inversely proportional,,
151,This is because the time when the waves come in is different.,,
152,"Because the sand is hotter during the day, the rising airflow occurs, and the falling airflow occurs from the sea to the land during the day, and the sea cools later at night, so the rising airflow occurs quickly and the falling airflow occurs from sand to the sea",,
153,Because of the sea level?,,
154,The direction of the wind changes because there are places with higher temperatures during the day and at night and places with lower temperatures.,,
155,I don't know.,,
156,"During the day, the temperature is high and at night, the temperature decreases, making it cool and windy.",,
157,Because it is hot during the day and hot at night.,,
158,"The land has been warmed up The rate at which it cools, the water heats up It's because it cools down at different rates",,
159,The wind blew differently,,
160,"Gas rises when the temperature is high and falls when it is low, and during the day, the land is hotter than the sea, so the gas rises, forming a low pressure and blowing wind toward the land from the sea with relatively high air pressure. At night, the sea is hotter than the land, so the wind blows on the contrary.",,
161,The temperature is different,,
162,I don't know.,,
163,Ask a passing dog;,,
164,"During the day, the temperature is high, so the wind blows on land, and at night, the temperature decreases and the wind blows into the sea.",,
165,The walls have ears.,,
166,The temperature difference between day and night is different,,
167,"The specific heat is high in the sea, so the land easily heats up and cools down easily. In conclusion, the temperature difference occurs and the wind blows.",,
168,"Due to the specific heat, the land temperature is high during the day and the sea temperature is high at night, so the sea blows from cold to warm, so the direction of the wind is different.",,
169,Because the sea has a large specific heat and the land is small,,
170,at night rather than day,,
171,The rate of temperature change is different between the ocean and the land,,
172,Forgetting,,
173,at will of the wind,,
174,"The wind moves from cold to hot, but the sea is cold during the day and the sand is colder at night",,
175,The location of the sun is different,,
176,This is because the earth rotates.,,
177,It's because of the temperature difference.,,
178,....,,
179,"It is because the sand is hot during the day because of the sunlight, and because the sand is cold at night.",,
180,"The temperature difference between day and night on land is high, but the sea has little difference between day and night, so wind blows from the low-temperature sea during the day and from the low-temperature land at night.",,
181,"During the day, the air pressure is low, and at night, the air pressure goes up",,
182,"I learned it, but I forgot.",,
183,"Because of the direction of the waves,",,
184,This is because the temperature on land is high during the day and the temperature of the sea is high at night.,,
185,Meat wind during the day and sea wind during the night,,
186,"This is because the wind blows from the cold to the hot, so the temperature of the sea and land during the day and night are different.",,
187,The land heats up quickly during the day and cools down quickly at night,,
188,I don't know,,
189,This is because the rate at which air cools and heats up varies.,,
190,The temperature difference is different,,
191,"During the day, the temperature of the land is higher than that of the sea, so hot air is generated, and the hot air is blown toward the sea, and at night, the land cools slower than the sea, causing cold wind to blow toward the land",,
192,"Sand gets hot quickly and then gets cold quickly, so the sea is colder than sand during the day and sand is colder than sea at night.",,
193,It's because the wind comes from the low temperature,,
194,This is because the land gets hotter before the sea during the day and the wookji cools before the sea at night.,,
195,I don't know.,,
196,The wind has changed,,
197,"The direction of the wind is different because the air temperature is high during the day, low at night, and the air pressure is differentBecause of the temperature difference,",,
198,This is because the sandy beach heats up faster than seawater during the day and cools faster than seawater at night.,,
199,"During the day, the temperature of the sand is higher, so wind blows from the beach, but at night, the temperature of the beach is higher, so wind blows from the sandy beach.",,
200,The temperatures of day and night are high,,
201,I'm not sure.,,
202,"Since the direction of the wind moves from cold to hot, the direction of day and night is different because the temperature difference between night and day is different.",,
203,"Because of the influence of the wind,",,
204,This is because the temperature difference between day and night is different.,,
205,It is because the wind blows from the land during the day and from the sea at night,,
206,"The reason why the direction of the wind blowing during the day and night on the beach is opposite is because the temperature of the air above the land and the sea is different, and during the day, the land gets hotter faster than the sea. The heated air on the land rises and fills the empty space created by the air moving from the sea. As the air moves like this, sea winds blow from the sea to the land.",,
207,This is because the land is hot during the day and the sea is hot at night.,,
208,This is because the temperature of the sea and land are different.,,
209,"The sea cools less quickly and heats up less quickly than on land. Therefore, the land is hot during the day and the sea at night. Hot air is produced in hot places and hot air rises up because it is lighter than cold air.Cold winds enter to fill the area, and accordingly, sea winds blow during the day and land winds blow at night.",,
210,Because it is hot during the day and cold at night,,
211,The wind blows from cold place to warm place because the temperature of day and night on land and sea is different,,
212,The temperature of the sea and sand is different,,
213,I don't know.,,
214,Because the temperature of the sea and sand varies.,,
215,This is because the temperature of the sea is high during the day and the temperature is lower at night.,,
216,Because the sun's south middle and high altitude changes,,
217,"Since the sun's south middle and high altitude is different from day to night,",,
218,I know...,,
219,Because the force of the moon or the sun to attract objects changes,,
220,I don't know.,,
221,the great cycle of the earth's atmosphere,,
222,It's night and day,,
223,It's because of the sun.,,
224,The earth rotates,,
225,I don't know.,,
226,atmospheric circulation,,
227,Because the wind temperature of day and night is different.,,
228,This is because the earth rotates.,,
229,Because the temperature of the air and the temperature of the seawater are different,,
230,"Because the temperature of the ocean and land is different,",,
231,The earth rotates,,
232,Because it is influenced by the waves,,
233,The Impact of the Tidal Flat,,
234,It's because of the ebb and flow,,
235,The location of the air escaping is different,,
236,It is because the temperature is different.,,
237,It is because the temperature of the land is higher than that of the sea during the day and the temperature of the sea is higher than that of the,,
238,It is because of the circulation of seawater.,,
239,The temperature of the air is different between day and night,,
240,"Because the sandy beach heats up relatively quickly, cools down quickly, and the sea water slowly cools down, the air on the sandy beach heated up quickly by solar heat rises during the day, and the sea breeze blows because of the relatively low temperature, but the wind direction is different.",,
241,This is because the earth rotates.,,
242,Because of the circulation of seawater,,
243,"During the day, the temperature of the land is high, while at night, the temperature of the land is lowered and the temperature of the sea is higher than that of the land due to seawater circulation, so the direction of the wind of the day and night is different.",,
244,by the sea and the sandstorm,,
245,Because the earth rotates,,
246,I don't know,,
247,I don't know about this...,,
248,The tide is going down,,
249,I don't know...,,
250,I don't know,,
251,"During the day, you look at the sun and the wind follows you?",,
252,This is because air has the property of moving to hot places.,,
253,Because the quests change,,
254,I don't know,,
255,"The temperature of the ground is high at night, and the sea temperature is high at night",,
256,"Because the temperature is different between the sea and the land,",,
257,The direction of the wind is different,,
258,I don't know.,,
259,Because there is a difference between day and night air pressure,,
260,I forgot,,
261,The waves are moving differently,,
262,The wind is blowing,,
263,Yeah.,,
264,"""The hot air goes up and the cool air goes down, but the air from the sandy beach goes up.""",,
265,"When you come to the sea, it gets cold again and comes down to the bandero",,
266,"""The ball of the sea goes to scissors and the sand lion goes to the bottom. This is why.""",,
267,The wind is blowing,,
268,"During the day, the land temperature is higher and the sea is higher at night",,
269,It's because there's a lot of water in the sea,,
270,The wind blows on the land and the wind blows on the wind blows from the sea,,
271,It's a sea breeze during the day and a land breeze at night,,
272,The temperature is low at night,,
273,"Because hot air moves toward cold air,",,
274,Because the temperature of the sea is high at night.,,
275,Because the land is hot during the day and the sea is hot at night,,
276,"During the day, the temperature is the sea <land, at night the temperature is the sea> land, and the wind is crowded from low to high.",,
277,This is because the temperature of the land rises during the day and the temperature of the sea rises at night.,,
278,The temperature is different,,
279,"The specific heat of the land is low and the specific heat of the sea is high, so the temperature change of the land is greater than the sea, so the land is heated quickly during the day, and the sea is slowly heated during the day, and the temperature of the night is low and the sea is low.",,
280,It's because the time to heat and cool is different,,
281,Because there is a sea breeze and a land winds,,
282,The direction of the wind changed,,
283,I don't know.,,
284,Because the wind blowing during the day and night is different.,,
285,I can't remember,,
286,"During the day, the wind blows towards the beach, but at night, the wind blows towards the sandy beach",,
287,I don't know,,
288,the east wind and the west wind,,
289,"At night, the temperature of the sand decreases and the temperature of the sea water is similar",,
290,This is because seawater comes in during the day and seawater goes out at night.,,
291,"During the day, the temperature of the sea is higher than that of sand, and at night, the temperature of the sea is lower than that of sand, so the land wind blows.",,
292,"Because the sand is higher than the sea during the day, and the sea is higher at night",,
293,Because the air temperature is different from each other,,
294,It is because of the temperature difference.,,
295,I don't know.,,
296,"Sand is hotter during the day, but water is hotter at nightIf the land is warm, it moves to a cold place, and if the land is cold, the sea moves to the land. It circulates like that.",,
297,The wind blowing during the day has a different temperature in the air blowing at night.,,
298,"During the day, the land is hot and the sea winds blow, but at night, the sea is hot and the land winds blow.",,
299,"""As the temperature of the sea and the beach changes day and night, when the sea is cold, it blows towards the beach.""",,
300,"When the sea is warmer than the beach, the wind blows toward the sea.""",,
301,The direction of the wind changes because the sandy beach is hotter during the day and the water is warmer at night.,,
302,Because the air between day and night is different(?),,
303,"Because the temperature of the ocean is lower,",,
304,"Because the sand side cools slower, there is a difference in temperature and the wind blows.",,
305,Why are the wind's directions different during the day and at night in the sea and on land?,,
306,"The temperature at night is low and the temperature is slightly high during the day, so the scent is different due to the temperature difference",,
307,"Due to the temperature difference between the sea and the land, when the sea is hotter than the land, the wind blows toward the sea, and when the land is hotter than the sea, the wind blows to the land",,
308,"Because the temperature of the sea and land are different,",,
309,The temperature is different during the day and at night,,
310,This is because the flow of air goes the other way at night.,,
311,This is because the temperature of the ground is higher during the day and the temperature of the sea is higher at night.,,
312,This is because the land is hotter during the day and the water is warmer at night.,,
313,"""The sea and the beach temperature are different day and night, so when the sea is cold, it blows towards the beach",,
314,"""Because when the sea is hot, it blows towards the sea.""",,
315,I don't know.,,
316,The temperature is different,,
317,The temperature is different.,,
318,This is because the earth rotates.,,
319,"I think it's because of the relationship between air temperature, air pressure, and wind.",,
320,I don't know.,,
321,"During the day, the sand is hot and the air is warm.",,
322,"This is because the air on the sea side is hotter as the sand cools at night, so the air on the land fills the empty space as it goes up.",,
323,"Due to the difference in temperature, it is hot during the day, so the wind comes to the land, and it is cool at night, so the wind blows to the sea",,
324,"During the day, the temperature of the sand is hotter than the temperature of the sea, so the sunlight is reflected toward the sand, and the wind blows in the sand because the temperature of the sea becomes hotter than the temperature of the sand at night. This is called the Six Winds.",,
325,It's because of high and low pressure.,,
326,This is because the direction of the wind varies depending on the day and night.,,
327,"""Because the sea is colder, wind blows from the sea to the land, and from the land to the sea.",,
328,"(Order)""",,
329,(Answer above),,
330,There's a big difference in temperature on the land temperature,,
331,The wind from the sea and the wind from the land are different,,
332,This is because the temperature is different between day and night.,,
333,This is because the temperatures of the sea and land are different.,,
334,Because the temperature of the sea is low during the day and the temperature of the sand is low at night,,
335,"Warm air has the property of going up. During the day, the temperature of the sand is higher than that of the sea, so the warm air in the sand rises and blows toward the sand to fill the empty sand. At night, the temperature of the sea is higher than that of sand, so the warm air of the sea goes up and blows from land to sea to fill the empty air of the sea.",,
336,It blows from a cold place to a hot place,,
337,"Because the ocean and land are hot and cool, it's the opposite day and night",,
338,.,,
339,This is because sand drops faster than water.,,
340,The temperature of the beach is high during the day and the temperature of the sea is high at night,,
341,It's because of the temperature difference.,,
342,The temperature is different,,
343,"Because of the large heat of the sea, the land is warm during the day and the sea is warm at night",,
344,The temperature rises during the day and falls at night,,
345,The temperature is different,,
346,"At night, the convection direction is reversed because water with a large specific heat with little temperature change has a high temperature and land with a large temperature change during the day has a large temperature.",,
347,"At night, the land cools, the wind blows, and during the day, the temperature is lower, so the sea breeze is booming",,
348,This is because the specific heat of the water is large.,,
349,Because of the temperature difference,,
350,Temperature change time difference,,
351,a specific heat,,
352,The wind's temperature is...,,
353,"Because the specific heat of the water is bigger than the sand,",,
354,"I'll tell you that there's a difference in specific heat, but if you don't know CALTY specific heat, believe it. Please, the land is smaller than the sea, so the heat growth rate is much higher",,
355,This is because the land is relatively hot during the day and vice versa at night.,,
356,a specific heat difference,,
357,"During the day, the land heats up quickly in the sun, so the temperature of the land is high and the temperature of the sea is high at night.",,
358,The temperature changed,,
359,a barometric difference,,
360,"Because the sea is low and it's night. (It's cold during the day, but hot at night)",,
361,"Because of the temperature difference,",,
362,a sea breeze,,
363,This is because the temperature of the land is higher during the day and the sea with large specific heat is higher at night.,,
364,The cause is the occurrence of sea and land winds caused by non-thermal differences.,,
365,"Because the specific heat of the sea is high, the temperature changes small, so the temperature changes during the day and night",,
366,"Because the heat capacity of the land is small and the heat capacity of the sea is large due to C=ct, wind is generated due to the difference in temperature.",,
367,"Because the temperature of the land and the sea is different during the day and night,",,
368,"During the day, the temperature of the land and at night the sea is higher, so the energy blows from high to low.",,
369,This is because the land is warmer during the day and the sea is warmer at night.,,
370,"Because water has a high specific heat, the temperature of the sea during the day is lower than that of the land, and the wind changes direction because it cools faster at night",,
371,"Due to the low specific heat on the land, the temperature is relatively high during the day and relatively low at night",,
372,"This is because the temperature of the sea is low during the day and the temperature of the land is high, so the sea is high at night, and the temperature of the land is low, causing the land wind to blow.",,
373,God told me to,,
374,This is because the sea is warmer during the day than the sandy beach and the sandy beach is higher at night.,,
375,Because the sea and land are different,,
376,Because of the temperature difference,,
377,"At night, the temperature on the sandy beach side is lower than that of the sea, so that the air on the sea side rises upward, becomes relatively low pressure, and winds blow toward the sea. Therefore, the direction of the wind at night and day is different.",,
378,a land wind and a sea wind,,
379,Heat increases temperature and affects barometric pressure,,
380,the ebb and flow of the tide,,
381,Is that so?,,
382,"Because the specific heat of water and sand is different,",,
383,Temperature difference,,
384,"""In the daytime, the land is hotter than the sea",,
385,"""At night, the land temperature is lower than the sea.""",,
386,Because the earth revolves around,,
387,The temperature difference creates a different pressure,,
388,It is because the temperature of the land is higher during the day and the temperature of the sea is higher at night,,
389,This is because the sand temperature is different between day and night.,,
390,"During the day, the land is hot and at night the sea is hot",,
391,because of the presence of a land/sea wind,,
392,I don't know,,
393,It's windy in places with high temperatures,,
394,This is because the temperature of the land is higher during the day and the temperature of the land is lower at night,,
395,"Because the air on land is hotter during the day, but the air on the sea is hotter in the eveningThe wind direction is different because of the wide temperature difference between day and night",,
396,"This is because the land is heated first during the day, and on the contrary, it is easily cooled at night.",,
397,"Water has high specific heat, so the temperature does not change rapidly, but sand can change rapidly with temperature. Therefore, the sand heats up faster than water due to sunlight during the day, and the heated sand cools down quickly at night, but the water does not cool down quickly.",,
398,The direction of the wind during the day and at night is different because the high and low pressures change depending on the temperature.,,
399,Because the temperature is different,,
400,"During the day, the tide goes down and at night,",,
401,The temperature of the land and the sea is inversely proportional during the day and night,,
402,ã,,
403,It's hot in the morning and cold at night,,
404,It's because the wind's room is different.,,
405,The earth turns and the wind moves at its feet,,
406,I don't know.,,
407,I don't know.,,
408,Because of the difference between the ebb and flow,,
409,"During the day the sun rises and turns hot, and at night the sun sets and the moon rises and the wind cools.",,
410,"The night is cool and low, so hot wind blows during the day, and cool wind blows at night.",,
411,The wind moves,,
412,The temperature is different during the day and night,,
413,Because of the bicycle,,
414,The temperature is different between day and night,,
415,Because of the temperature,,
416,Because of the temperature,,
417,Because it's blowing from where the sun. It's different from where it doesn't shine.,,
418,It's because the temperature is different during the day and at night.,,
419,I don't know.,,
420,Water and land are different,,
421,It is because of the air pressure difference caused by the temperature difference.,,
422,I don't understand.,,
423,I don't know.,,
424,It is because the wind flows with temperature.,,
425,"This is because water has a high specific heat, so there is not much variation in temperature",,
426,"The temperature of the sandy beach rises rapidly during the day, but falls quickly at night, and the temperature of the sandy beach rises slowly during the day, but falls slowly at night, so the direction of the wind is different because the sea is higher at night.",,
427,"The sea has a large specific heat, so the temperature change is small, but the land has a small specific heat, so the temperature change is large, causing the temperature difference between day and night, so the wind direction is different.",,
428,This is because air pressure differences between land and sea occur.,,
429,This is because the place where the air pressure of day and night is high becomes the opposite.,,
430,"This is because the specific heat of sand is lower than the specific heat of each fire, making it easier to avoid the temperature of sand during the day, but the temperature of sand is lower than that of seawater at night, so the air pressure is reversed.",,
431,This is because the temperature of the land is high during the day and the temperature of the sea is relatively high at night,,
432,This is because the temperature is different between day and night.,,
433,"During the day, the land is warmer than the sea, so the wind blows from the sea to the land, and at night, the sea is warmer than the land, so the wind blows from the land to the sea.",,
434,I don't know this either,,
435,"This is because the temperature of the sea rises slowly, while the temperature rises slowly on land.",,
436,This is because wind goes from high temperature to low temperature.,,
