,2) How does it look different when you look at things with convex lenses compared to when you look at them with flat glass?,q50_enlarge,q50_backwards
74,It looks bigger,,
75,Looks like it's,,
76,It looks big,,
77,The left and right seem to be reversed.,,
78,The convex lens has an inverted and enlarged position compared to the planar glass.,,
79,Different light travels in different directions and different thicknesses,,
80,It looks closer and bigger,,
81,It looks upside down.,,
82,I don't know.,,
83,Fat.,,
84,I think it's going to look upside down.,,
85,It looks big.,,
86,"It looks enlarged below a certain distance, but above a certain distance, the top, bottom, left, and right appear to be inverted and reduced. It doesn't look right from a certain distance.",,
87,"If the lens between the object and the eye is in a position where the object looks right and large, the object looks right and large. And if the object is in a position where the weirre is turned upside down and looks small, the object is turned upside down and looks small.",,
88,What?,,
89,It looks big,,
90,Things look big.,,
91,cave in the middle,,
92,I think it's going to look more convex,,
93,It looks small,,
94,It looks convex.,,
95,"Unlike ordinary mirrors, you can even see the outside scenery.",,
96,It looks convex.,,
97,It looks more convex,,
98,It looks bigger and more detailed.upside-down appearance,,
99,It looks bigger,,
100,It looks big.,,
101,I don't know,,
102,"Far away, small, close, big.",,
103,It looks big. It looks upside down,,
104,It looks bigger,,
105,It looks close and big,,
106,Things look bigger,,
107,It looks convex,,
108,What?,,
109,Things look bigger.,,
110,It looks like it's closer,,
111,Things look bigger than they were.,,
112,It looks big,,
113,Big and blurry,,
114,Ask the person who made it,,
115,It's big and sometimes it looks backwards,,
116,It looks bigger or upside down,,
117,It's upside down,,
118,You look dizzy,,
119,It looks big,,
120,I don't know.,,
121,It looks big and big,,
122,I look cute.,,
123,Looks bigger,,
124,"Large or far away, it looks backwards",,
125,.,,
126,I can see far away,,
127,The object is bigger and clearer,,
128,It looks small,,
129,I don't know.,,
130,It looks big,,
131,It looks small,,
132,I don't know,,
133,"I just, flat glass is convex lens is hazy and taller.",,
134,An object is bigger.,,
135,See are divided.,,
136,It looks great,,
137,Convex to look.,,
138,It looks great,,
139,Looks bigger.,,
140,"Bennetts, and moyeojyeo.",,
141,Bigger.,,
142,................,,
143,Think would look bigger than usual.,,
144,It looks great,,
145,Bigger.,,
146,An object is enlarged.,,
147,See together.,,
148,It looks great,,
149,Bigger.,,
150,Looks bigger than usual,,
151,Light is gathered in one place and seen compared to other glass.,,
152,It looks convex,,
153,You look fatter,,
154,The object looks big.,,
155,The object looks big.,,
156,It looks big,,
157,It looks bigger.,,
158,It looks enlarged through the convex lens,,
159,It looks big and upside down,,
160,upside-down appearance,,
161,It looks big.,,
162,"If you look at objects that are bigger and farther away, you will see them clearly and upside down.",,
163,ã,,
164,"If you look at an object with a convex lens, it looks larger than the original size of the object, and if you look at an object far away, it looks upside down.",,
165,"When you look at an object with a convex lens, the object is more visible.",,
166,Close objects are more visible.,,
167,The convex lens can be seen closer and clearer.,,
168,It's upside down,,
169,upside down,,
170,upside-down appearance,,
171,It looks upside down and small,,
172,Things look bigger.,,
173,I can see things close by,,
174,Looks big and blurry when looking at distant objects,,
175,"""It's big and clear.",,
176,"""",,
177,It will look small and straight or upside down.,,
178,Looks more enlarged or upside down,,
179,It looks larger than what is viewed as a flat glass.,,
180,"The convex lens is thick in the middle and refracts light in a specific direction. However, flat glass does not refract light.",,
181,"It's going to look bigger, it's going to look upside down if you look at objects in the distance.",,
182,It looks upside down.,,
183,"It looks big, it looks upside down.",,
184,It looks bigger and clearer.,,
185,It looks bigger,,
186,"""It can look big and upside down",,
187,"""",,
188,It looks big,,
189,"Big, blurry, or upside down",,
190,in a clear and loud,,
191,It looks upside down,,
192,The light is gathering,,
193,"With convex lenses, nearby objects look close and clear, and distant objects look blurred and upside down.",,
194,It looks big,,
195,"When you look at objects with convex lenses, the object looks bigger",,
196,It looks big,,
197,The field of view widens.It looks upside down when you look at the intervals of one arm and one arm. (It looks big.),,
198,"It looks bigger and more detailed, and it also looks upside down when you look at an object in the distance",,
199,It looks more magnified.,,
200,"It's big, it looks upside down",,
201,"If you look at it with a convex lens, it's a little less clear and blurry, but you can see it big.",,
202,Because convex lenses make the letters look big and mirrors copy face to face,,
203,I don't know...,,
204,It looks bigger and more detailed.,,
205,Expansion,,
206,"Things can be seen large and clear, and they can be seen upside down depending on the distance.",,
207,It's big and I can see it well.,,
208,"The convex lens will look larger than what is viewed as a flat glass, and an object in the distance will be seen upside down.",,
209,Things look bigger than flat glass.,,
210,It looks big and upside down.,,
211,.,,
212,Go to sleep,,
213,Bigger.,,
214,It's small,,
215,A person's image looks strange,,
216,I don't know.,,
217,"It looks big when viewed closely with a convex range, and the top and bottom change when viewed from a distance, but the plane mirror only changes left and right.",,
218,It looks bigger than it looks with flat glass.,,
219,It looks a bit magnified.,,
220,I can see far away,,
221,Things look bigger.,,
222,It looks wide and small.,,
223,I don't know,,
224,I don't know.,,
225,It looks convex,,
226,look enlarged,,
227,It's zoom in,,
228,"It looks bigger when it's bent and close, but it looks upside down when it's far away",,
229,Things look small,,
230,Significantly,,
231,It looks great,,
232,I don't know,,
233,Bigger.,,
234,Everything looks big.,,
235,I don't know,,
236,No.,,
237,I can see it closer,,
238,Things look convex.,,
239,I think it'll look round.,,
240,It looks strange,,
241,Same.,,
242,The thing can burn.,,
243,I don't know.,,
244,I don't know.,,
245,The convex lens is more visible because it is made of glass.,,
246,Because it's thick,,
247,I don't know.,,
248,I don't know.,,
249,Bigger.,,
250,It looks great,,
251,It looks great,,
252,It looks convex,,
253,I can see it well,,
254,"The glass looks reversed, but the lens looks forward",,
255,The light is gathering,,
256,Significantly,,
257,I don't know.,,
258,Looks big,,
259,You look prettier,,
260,Lenses don't change from side to side,,
261,It looks different depending on the distance,,
262,It looks like the world is gathered together,,
263,It looks convex,,
264,I can see it well,,
265,It appears to be more enlarged.,,
266,I don't know,,
267,The near image looks enlarged or the far image looks upside down,,
268,It looks big at a close distance and upside down when looking at objects in the distance.,,
269,It looks convex.,,
270,What's near looks big and what's far is upside down,,
271,be enlarged,,
272,Bigger.,,
273,It looks bent by a bend.,,
274,Looks bigger,,
275,It looks smaller when you look at the lens far away.,,
276,Because it's convex.,,
277,It looks like it's sticking out,,
278,look enlarged,,
279,It looks big.,,
280,"Objects in close proximity look large, and objects in distance look upside down.",,
281,"If you look closely, it expands and if you go outside a certain distance, it looks reversed.",,
282,It looks great,,
283,It looks bigger,,
284,My face is drooping,,
285,It looks enlarged.,,
286,It's zoomed in.,,
287,Sorry,,
288,It's upside down,,
289,It looks like it's sticking out of the convexity,,
290,It looks bent,,
291,I don't know.,,
292,I don't understand.,,
293,The middle looks convex.,,
294,fuck,,
295,I don't know.,,
296,It looks concavein a circle,,
297,It looks bigger,,
298,It will look like it',,
299,You look fatter.,,
300,"When the image looks upside down and then approaches an object, it looks larger than a plane glass.",,
301,in a convex way,,
302,"I tried it, but I forgot.",,
303,It looks convex.,,
304,Bigger.,,
305,It looks great,,
306,It looks shaky.,,
307,It looks smaller,,
308,I don't know.,,
309,.,,
310,The surroundings seem to be concentrated in one place.,,
311,Bigger.,,
312,It looks enlarged.,,
313,It looks more detailed.,,
314,It looks convex,,
315,The object looks convex,,
316,I can see it more clearly,,
317,Bigger.,,
318,He's bending,,
319,It looks upside down or big.,,
320,"Convex lenses can be seen directly in their original or small form when viewed closely, and large and inverted when viewed from afar, while flat glass remains the same",,
321,"If you look close, it looks bigger, and if you look far away, it looks smaller and backwards.",,
322,It looks thicker.,,
323,h,,
324,It looks pressed down.,,
325,look enlarged,,
326,look enlarged,,
327,It looks pressed down.,,
328,"This is because the lens refracts light, so the light goes straight and breaks when it meets a convex lens.",,
329,I can see it close.,,
330,in a daze,,
331,It looks a little bigger.,,
332,It looks great,,
333,Bigger.,,
334,It's black,,
335,Viewed in magnification,,
336,I don't know,,
337,I don't know,,
338,I don't know,,
339,It will look blurry,,
340,Ha ha.,,
341,The convex lens literally looks convex.,,
342,ã,,
343,all at once in a time,,
344,It'll look round.,,
345,"The convex lens is protruding forward, so the object will look bigger",,
346,I don't know,,
347,It's sticking out,,
348,I don't know,,
349,It looks convex.,,
350,I don't know,,
351,I don't know,,
352,I don't know,,
353,"If you look at the convex lens, it will look backwards, unlike glass",,
354,I don't know,,
355,I don't know.,,
356,The plane looks like we're spreading and the Boronlands looks like we're gathering,,
357,Bigger.,,
358,It looks big and it looks upside down if it's far away.,,
359,All right.,,
360,look the other way around,,
361,It looks great,,
362,It's 5ãáá£ã´ãáá³-ãã5áá©ã´ãã±ã-ã5,,
363,Things look bigger,,
364,It looks big,,
365,ã·ã±423,,
366,It looks big,,
367,The object looks bigger,,
368,h,,
369,h,,
370,It looks big and straight or upside down.,,
371,I look ugly,,
372,It looks big,,
373,Looks convex,,
374,h,,
375,Flat glass will look about the same size as the real thing and magnify when viewed by convex lenses,,
376,It looks great,,
377,All right.,,
378,It looks big.,,
379,It looks big and close,,
380,It looks big and the other way around,,
381,How does it look different?,,
382,It looks big.,,
383,It will look sweeter than the appearance of course.,,
384,It looks big.,,
385,I don't know. I don't know,,
386,The middle is sticking out.,,
387,It looks big.,,
388,It looks bigger,,
389,It looks small and upside down.,,
390,Bigger.It looks upside down.,,
391,look bigger,,
392,It's upside down,,
393,It looks great,,
394,It looks big and straight.,,
395,Bigger.It looks smaller.,,
396,It looks big and straight,,
397,"In flat glass, the refraction (fine) is only in one direction, but the objects can be seen almost the same outside, but the convex lens has a different refractive index for each part, so the objects look large or upside down.",,
398,It looks fat and big.,,
399,I think the object will look bigger.,,
400,It's upside down,,
401,It looks small,,
402,I can see it clearly,,
403,It looks smaller and more straight.,,
404,It looks big and blurry.,,
405,It looks big and blurry.,,
406,The object is large and clearly visible.,,
407,"What is close is large and clear and what is far is upside down blurry, while glass has no effect.",,
408,Looks bigger.,,
409,They vary in size and appearance. (Things),,
410,It looks bigger than it looks with flat glass.,,
411,Bigger.,,
412,"If you look at the block lens, it looks big and blurry.",,
413,It looks bigger than the original thing.,,
414,Bigger.,,
415,It's getting bigger,,
416,It looks big,,
417,Things look big.,,
418,It looks bigger and clearer,,
419,It's bigger and clearer.,,
420,Things look big.,,
421,I don't understand.,,
422,Bigger.,,
423,It looks bigger and blurry and it looks upside down.,,
424,It looks blurry,,
425,It looks big and blurry.,,
426,"Larger, blurry distances make you look giant",,
427,I think it will look big.,,
428,The view looks distorted,,
429,Things look backwards.,,
430,It looks bigger,,
431,It looks convex.,,
432,Things will be seen closer than they seem.,,
433,I think it'll look more convex.,,
434,It looks convex,,
435,It looks convex,,
436,Bigger.,,
437,have a curve,,
438,It looks like it',,
439,It looks bigger,,
440,"Compared to a flat mirror, the middle part will look convex.",,
441,It looks small,,
442,It looks smaller than it really is.,,
443,It looks great,,
444,It looks great,,
445,Bigger.,,
446,It looks smaller and wider on the side.,,
447,Things farther away will be better visible.,,
448,It's just different,,
449,Bigger.,,
450,It looks bigger,,
451,Things will look backwards,,
452,It will look bigger and convex.,,
453,It looks like it's zoomed in a bit more,,
454,The handwriting looks convex,,
455,"The edge of the convex lens looks small, and the middle part of the convex lens looks wide.",,
456,It looks upside down and doesn't look straight.,,
457,It looks smaller,,
458,It looks upside down,,
459,It looks big,,
460,"The convex lens looks upside down when you go far away, but the flat glass looks straight.",,
461,Things look bigger,,
462,You look fat,,
463,It's big and it looks straight,,
464,"It looks big, but it looks upside down when it's far away",,
465,"If you look from afar from Palgil, you can see it backwards and well.",,
466,"It looks bigger, or it looks backwards.",,
467,It looks upside down.,,
468,"If the position of one's eyes and convex lenses and the position of convex lenses and objects are about one arm long, they will look big, but the rest will all look big and straight.",,
469,a large appearance.,,
470,upside down,,
471,"The nearest one looks straight, the bigger one, and the farther one looks the other way around",,
472,It looks bigger or upside down.,,
473,"In terms of flat glass, it is the same as what we usually see, but in terms of block lenses, it looks blocky and bigger.",,
474,The near one looks big and the far one looks upside down.,,
475,It looks great,,
476,"The close distance is big and straight, and if you look at it from a distance farther than Halpal, you can see it backwards",,
477,It looks convex,,
478,It looks big or upside down,,
479,It looks blurry and doesn't look straight,,
480,Things look bigger.,,
481,It looks big and straight and upside down when you look at it from a long distance.,,
482,I can clearly see far away.,,
483,It looks bigger.,,
484,It's enlarged and you can see it in more detail.,,
485,I don't know,,
486,I don't know,,
487,I don't know,,
488,I don't know,,
489,I don't know,,
490,I don't know,,
491,I don't know,,
492,I don't know,,
493,I don't understand.,,
494,It looks big.It looks big.,,
495,"I can't see well from the side, only from the front",,
496,I don't know.,,
497,It will look twisted.,,
498,Things look round when you look at them,,
499,I don't know,,
500,"""You look very prominent",,
501,"""",,
502,Yes...,,
503,I don't know.,,
504,I don't know.,,
505,The ground looks bigger,,
506,I think it will be more visible than flat glass because it will be hard to see because the glass is directly visible to the light and the convex lens will not be able to see directly because the light is refracted,,
507,I think it'll look a bit blurry [Crying],,
508,It looks weird because it's bent more.,,
509,I don't know,,
510,It looks bigger,,
511,Things look like blocks.,,
512,It's weirdly different,,
513,Things look bigger,,
514,I think it'll look a little more round.,,
515,It looks scary,,
516,It looks upside down.,,
517,It looks big and upside down,,
518,It looks like you're looking closely,,
519,It looks big and straight,,
520,Convex lenses are more visible than flat glass.,,
521,It looks more magnified.,,
522,Flat glass looks wide and convex lens has light in one place,,
523,"If there is a fish in the fish tank, the fish will look big",,
524,I can see it from the side.,,
525,I can see it closer,,
526,Bigger.,,
527,It looks bigger.,,
528,Ah.,,
529,"If you look at an object near you, you will see it large and if you look at an object far away, you will see it as a vertical symmetry.",,
530,"If you look closer than the focus, it looks upside down, and if you look at it from a distance, it looks big.",,
531,"If you look at an object using a convex lens, it will look upside down, unlike when viewed in a flat glass. And it's thick in the middle, so it's going to look larger than it looks in the flat glass.",,
532,"A convex lens has the characteristic of collecting light, so light with the image of an object is collected and the object is enlarged as it passes through the convex lens.",,
533,"The size of things looks large. The part viewed through the middle of the lens is more expanded than the part viewed through the edge. If the distance is not appropriate, the image may look upside down.",,
534,It will look upside down,,
535,"In terms of flat glass, things look the same size, but in terms of convex lenses, things look large because they are enlarged.",,
536,"Because the middle part of the convex lens is thicker than the edge part, the light incident to the convex lens passes through the convex lens, and the light incident upward and downward is bent upward. In other words, unlike what you see as a flat glass with objects as they are, the material appears to be flipped upside down.",,
537,Things will look bigger because the middle is thicker than the edges,,
538,"A convex lens with a convex center causes the refraction of light reflected from an object. Light will cross and converge on the convex and a reversal of the phase will occur. At a close distance, the image will be enlarged, although the planar mirror will not change because it transmits light from the object without refraction, but the image will be inverted or enlarged because the convex mirror will refract.",,
539,"The light coming from across the convex lens gathers, so you can see the object bigger.",,
540,"Flat glass makes things appear to be changed only from side to side as they are, but if you look at things with convex lenses, you will see things smaller in size and upside down.",,
541,It looks bigger upside down,,
542,"Based on the focus, objects close to the lens appear large and straight, and objects in the distance appear small and upside down.",,
543,I don't remember anything except that it changed in size,,
544,"When viewed with a convex lens, it looks larger than that of a plane glass, and the image is turned upside down.",,
545,"An object in the focal point of a convex lens is larger than the actual object size and always straight, and an object outside the focal point is smaller or larger than the actual object size depending on the distance of the lens, and always looks upside down.",,
546,"If you look at things through flat glass, it seems to be established regardless of the distance between the glass and the object. However, if you look at objects through convex lenses, it looks like an establishment when they are located closer to the focal point, but if they are located farther away from the focal point, it looks like an upside down.",,
547,"Because convex lenses refract light, they distort the image. Since convex lenses have the property of collecting light, object images observed through light are also collected. Therefore, it is possible to observe a smaller image than the plane glass through which light is transmitted constantly.",,
548,"The plane glass does not differ much from the actual object through the plane glass because light just passes through it or refracts very little. However, if you look through a convex lens, there is a difference between the actual size of the object and the size of the image of the object through the lens because the light is bent toward the center, so the object is enlarged.",,
549,"In flat glass, light passes through just a straight line, but convex lenses have the property of collecting light into one place. Therefore, when looking at objects with flat glass, things look real, but when looking at convex lenses, things look larger because more light reflected from objects enters our eyes than when viewed with flat glass.",,
550,"Depending on the location of the object, the way it is viewed with flat glass and the way it is viewed using convex lenses varies. When an object is near, the focus is close to the lens and it seems to be enlarged compared to what is viewed as a flat glass. However, if an object is located far away, the focus will be far away from the lens, so if it is seen straight from the plane glass, it will look upside down from the convex lens.",,
551,"If you look at an object through a flat glass, you will see it simply in a state where the left and right are switched. However, if you look at an object through a convex lens, it will look small and upside down when the object is far away, and if it is close, you will see an enlarged image of the object itself.",,
552,"Convex lenses have the property of refracting and collecting light. Thanks to this, you can see the image of the object in more detail and cleanly. On the other hand, flat glass looks a little blurry compared to convex lenses because light is not refracted and just goes straight.",,
553,I think it will be seen closer.,,
554,"It looks big. If you adjust the image, it might look upside down. It may look right",,
555,It's enlarged and the top and bottom look the opposite,,
556,The nearest one is the opposite of the far one,,
557,It looks like zooming in and the image is reversed.,,
558,It will be seen closer.,,
559,in a lump,,
560,It looks bigger,,
561,Looks bigger,,
562,"It would look like a convex lens, right?",,
563,"Zoom in. No, the award changes",,
564,It looks convex.,,
565,look slim,,
566,Looks bigger.,,
567,It looks relatively close.,,
568,It looks big,,
569,It's zoomed in and there's,,
570,It will be seen more widely,,
571,It looks great,,
572,look wide,,
573,I don't know.,,
574,It looks a bit round,,
575,Bigger.,,
576,It looks enlarged.,,
577,Things look bent.,,
578,You can see objects bigger.,,
579,It looks three-dimensional,,
580,Looks more convex,,
581,You will be able to see specific parts intensively.,,
582,"When you look at the convex lens, things look bigger and longer.",,
583,It looks big,,
584,It looks more magnified,,
585,Reflecting the light will make it look different from what the flat glass shows.,,
586,It looks upside down and enlarged,,
587,It's upside down,,
588,It looks great,,
589,It looks big or upside down.,,
590,It looks bigger.,,
591,"The central object looks wide in all directions, and the object at the edge looks narrow and short.",,
592,Bigger.,,
593,Looks biggerSignificantly,,
594,I don't know,,
595,It looks enlarged.,,
596,Our science teacher looks pretty,,
597,The other thing is,,
598,Don't know,,
599,It looks small,,
600,I don't know.,,
601,look enlarged,,
602,You look fat,,
603,It looks big,,
604,It looks great,,
605,Bigger.,,
606,Looks bigger.,,
607,"""When viewed closely, things are enlarged in the convex area",,
608,"From a distance, things look like standing on their hands.""",,
609,It looks like it',,
610,It will look big,,
611,"The image looks enlarged as it changes up, down, left and right.",,
612,It looks enlarged.,,
613,I don't know.,,
614,It looks big when viewed closely and upside down when viewed from afar.,,
615,It will look refracted.,,
616,I'm not sure.,,
617,Expansion,,
618,The middle looks enlarged.,,
619,It looks great,,
620,"If you look at something close, it looks enlarged, and if you look far, it looks upside down.",,
621,"If you look at the lens closely, it looks big. If you look far away from the lens, the top and bottom look reversed.",,
622,The statue is upside down.,,
623,It looks big,,
624,Let's see. Sexy,,
625,Things look closer together.,,
626,"It looks upside down, it looks big.",,
627,It looks big,,
628,Close objects look large and clear and distant objects look upside down.,,
629,It looks enlarged.,,
630,It looks great,,
631,"If the distance is far from the object, the up-and-down reversal occurs, and if the distance is close, it seems to be enlarged.",,
632,It looks bigger and more straight,,
633,It looks smaller.,,
634,It will look a little bigger.,,
635,Bigger.,,
636,"If you look at the convex lens, it looks big and straight",,
637,Things look bigger.,,
638,I think it'll look blurry,,
639,It looks big and clear,,
640,"If you look far away, it looks upside down and it looks big",,
641,It looks bigger than it really is.,,
642,Things in the vicinity look bigger and things in the distance look blurry.,,
643,It looks blurry,,
644,The image looks enlarged,,
645,It looks big.,,
646,"In flat glass, things always look the same regardless of the distance, but when you use a double-green lens, things look bigger when viewed closely, but when viewed from a distance, the top, bottom, left, and right are reversed.",,
647,What is far away can be seen close.,,
648,I can see things in the distance more closely than regular magnifying glass.,,
649,It looks distorted.,,
650,It looks blurry,,
651,"If you look at the convex lens, it will look bigger than the flat glass",,
652,It's clear and clear,,
653,It looks big and straight.,,
654,The object looks big.,,
655,It looks big.,,
656,Things look bigger or upside down,,
657,"If you dare to look into Princess Park Geun-hye's face through the convex lens, you can see a more intense light than seeing it with flat glass.",,
658,Things are closer and clearer,,
659,It will look small and straight.,,
660,It looks like it's close,,
661,It looks big.,,
662,It looks great,,
663,It looks like it's seen closer.,,
664,"If you look at objects using convex lenses, the image looks bigger.",,
665,one's wife,,
666,It looks upside down.,,
667,Thickness,,
668,It looks convex,,
669,curving,,
670,It looks small,,
671,It looks great,,
672,look bent,,
673,Don't know,,
674,It looks big or it looks like it's up and down and down,,
675,It looks small,,
676,Looks convex,,
677,the opposite sex,,
678,It looks close,,
679,It's getting bigger,,
680,It looks upside down,,
681,I think we'll see each other more closely,,
682,Because the lens is convex.,,
683,It looks closer.,,
684,The light is refracted,,
685,The closer one looks bigger,,
686,It looks like an up and down twist.,,
687,"""It looks bigger, but the farther away you are,",,
688,"""The top and bottom of the table change""",,
689,It will look bigger.,,
690,Significantly,,
691,The convex lens looks big because it shines things into one place,,
692,"I don't know.If you look at the convex lens, it looks bigger.",,
693,It looks great,,
694,I think it'll look good and round,,
695,It looks literally spectacular.,,
696,I can see it close.,,
697,You'll be able to see people close to you.Right? I've never done it.,,
698,Bigger.,,
699,Bigger.,,
700,Bigger.,,
701,Things will look bigger than flat glass.,,
702,"It looks bigger when viewed closely, and smaller upside down when viewed from afar.",,
703,Bigger.,,
704,It looks much more detailed and close,,
705,The middle looks bigger,,
706,It looks bigger in the middle,,
707,It looks bigger and round.,,
708,You can see objects closer to you,,
709,"If you look closely, you can see it well. If you look from afar, you can see it upside down",,
710,I can see it from a bend.,,
711,The object near you is more clearly visible.,,
712,It looks closer.,,
713,"It's the same whether you look at it with your bare eyes or with flat glass, but if you look through a convex lens, the object looks a little bigger. An example is being used in the primitive.",,
714,An object looks big when viewed closely and small when viewed from afar,,
715,The focus is on you,,
716,An object is seen close by,,
717,be shown in magnification,,
718,"I can't see far away, I can see backwards, but I can see near.",,
719,It looks big.,,
720,It looks great,,
721,It looks great,,
722,to look more convex and closer,,
723,Things look big,,
724,Things look big,,
725,I don't know.,,
726,in a convex way,,
727,I don't know.,,
728,Bigger.,,
729,It looks small and upside down,,
730,The object looks big,,
731,It looks bent.,,
732,It looks bent.,,
733,The table looks upside down.,,
734,Bigger.,,
735,look enlarged,,
736,"If it's close, it looks enlarged, and if it's far, the statue looks upside down",,
737,Things look upside down.,,
738,You can see it in detail when you focus on one place and observe it.,,
739,It looks different depending on the time,,
740,I don't know,,
741,I don't know.,,
742,I don't know.,,
743,It looks big,,
744,It looks great,,
745,It looks big or upside down,,
746,I can see it well,,
747,It looks big,,
748,in a convex way,,
749,It's convex,,
750,It looks great,,
751,a crowd of people,,
752,It looks big and upside down,,
753,Yes,,
754,It looks more enlarged and has a wider range than a flat mirror.,,
755,Bigger.,,
756,Bigger.,,
757,"It'll look convex, right?",,
758,The middle will look big,,
759,It looks bigger,,
760,Seen enlarged,,
761,Bigger.,,
762,It looks greatly enlarged because the light is collected.,,
763,It looks big.,,
764,"It looks big, but if you look too far, it turns upside down.",,
765,It looks big.,,
766,The nearby object looks enlarged.,,
767,"Close objects look large, far objects look small and upside down.",,
768,"Objects closer to the focal point are seen as large and correct, and distant objects are small and flipped",,
769,The object looks small and distant. It looks upside down.,,
770,It looks big.,,
771,It may look upside down.,,
772,It looks big.,,
773,It looks smaller.,,
774,Being close looks bigger.,,
775,It looks big.,,
776,The object looks different depending on the position of the eye.,,
777,Blurred appearance,,
778,I don't understand.,,
779,"The left and right, as well as the top and bottom, look upside down.",,
780,See together.,,
781,It looks big,,
782,Looks small,,
783,I don't know.,,
784,See together.,,
785,"Close objects will look big, and distant objects will look small and upside down.",,
786,It looks convex.,,
787,It looks small.,,
788,"It seems to be divided into establishment, provincial, de facto, and imaginary according to the distance.",,
789,The object looks big.,,
790,I don't know.,,
791,The inside of the focus looks bigger and the outside looks upside down.It looks relatively small.,,
792,"At some close distance (in terms of focus), the object appears enlarged, and at a long distance, the object appears inverted",,
793,ã,,
794,I don't know.,,
795,It looks big when viewed closely and small upside down when viewed from a distance.,,
796,Reflected appearance,,
797,Bigger.,,
798,I see an enlarged image,,
799,"""If the focal length of a convex lens is f, the radius of curvature of each side of the lens is R1 and R2 and the refractive index of the material used as a lens is n, the relationship for f, R1, R2 and n satisfies the following:",,
800,(n-1)(1/R1-1/R2)=1/f,,
801,"To know how an object looks through the lens, you can find out where the light from any point of the object forms when it passes through the lens. For thin lenses, refraction of light in the lens is negligible. Therefore, the position of the image can be determined in a simple manner, and the position where the image is formed can be easily found by light tracking. Although light is reflected in all directions at all points of an object, in order to determine the image produced by the lens, we determine the position and type of the image formed by tracing only the three light from the most end points of the object (arrow).",,
802,"(1) When light from an object is incident parallel to the optical axis of the lens, it is refracted to pass the focal point fâ² of the lens.",,
803,(2) Light passing through the focal point f of the lens is refracted in parallel to the optical axis of the lens.,,
804,(3) Light passing through the center of the lens is incident perpendicular to the lens surface and thus is not refracted. So just go straight.,,
805,"In the case of a convex lens, the type and size of the image generated vary depending on the position (s) of the object.",,
806,convex lens and light improvement,,
807,s>2f : Shrinking size of the actual figure,,
808,s=2f : Same size drawing actual condition,,
809,f<s<2f: The actual condition of the enlarged size of a drawing,,
810,s=f : no phase occurs.,,
811,s<f : Established virtual image of magnified size,,
812,"Standing upside down, it's an image that forms below the optical axis",,
813,"Standing upright, it means an image on an optical axis",,
814,Fact: When the light refracted by the lens actually meets and causes an image,,
815,"Imagination: Light refracted by a lens does not actually meet, but the extension lines of the refracted light meet at any point, resulting in an image",,
816,The position where the image actually occurs can be used using the formula of the lens.,,
817,1/s+1/s'=1/f,,
818,"Here, s denotes the distance between the object and the lens, and sâ² denotes the distance between the lens and the image.""",,
819,"In convex lenses, things look different depending on the location. If you look at objects with flat glass, you can see an established illusion with the same size. However, in the case of the convex lens, depending on the position of the object, a reduced inverted image, a rounded image with the same size, a enlarged inverted image, no image, and a magnified virtual image may be shown.Therefore, it is not the same case in terms of flat glass.",,
820,"Because light is refracted into the eye, it looks bigger than the original material.",,
821,Looks big,,
822,The material looks big. This is because convex lenses refract light and distort its substance.,,
823,"It looks different depending on the distance between the focus and the object. It may be less, but it is omitted because there is not enough time.",,
824,It looks smaller with a convex lens.,,
