,"4. Hyunjin went to the swimming pool with his friends on a hot summer day. When I came out for a while after swimming excitedly with my friends, my body suddenly trembled and felt cold. Why did Hyunjin feel nervous and cold when he came out of the water even though it was a hot summer day? Let's talk about changes in the state of matter.",q59_evaporation,q59_heat ,q59_vaporization heat ,q59_cold
119,This is because the body temperature has decreased.,,,,
120,"Because the body temperature inside and outside the water is different,",,,,
121,Because the body temperature dropped from the water is still low,,,,
122,I went into the cold water and came out,,,,
123,This is because body temperature is used when the water dries,,,,
124,"Because water evaporates into the air as it dries, the temperature decreases as the water that surrounds the body evaporates.",,,,
125,"Hyunjin's condition changed from the swimming pool to the air, so such a change occurs.",,,,
126,This is because the water cools down and takes away the body's,,,,
127,"When you enter the water, heat moves from the human body to the water, and when it comes out of the water,",,,,
128,It goes from solvent to solute,,,,
129,My body's heat is gone,,,,
130,"It's been in the water for a long time, so the temperature goes down",,,,
131,It was because I was in a cold zone and suddenly I was exposed to a place where the temperature difference was severe,,,,
132,"This is because there is no air in the water, and when the body set to the water temperature came out, it met cold air.",,,,
133,"While in the pool, the temperature becomes similar to that of the water, so when you leave the pool, you feel cold when the water in the body evaporates because the temperature outside and the body temperature are different.",,,,
134,The water is dry,,,,
135,"This is because when we go out of the pool, the water in our bodies evaporates and heat is released.",,,,
136,"Water is lower in temperature than a person's body, so the person's body temperature is taken away by water",,,,
137,"I need heat to dry the water, but it is cold when the water dries because of the heat in my body.",,,,
138,"When the water dries, it gets dry",,,,
139,It's because my body is cold,,,,
140,"The body heat is needed to dry the water in the body, because the body heat is lost to dry the water.",,,,
141,.,,,,
142,"Because water evaporates with heat as it dries, it feels cold when it comes out of the water.",,,,
143,"When it comes out of water, it dries up and becomes a gaseous upper body in a liquid state. Therefore, you feel cold as the object that was originally attached to the body and heat transferred disappears.",,,,
144,"This is because the body was only adapted to water, but suddenly came out of the water and the body did not adapt quickly.",,,,
145,This is because the heat in the body moved to water.,,,,
146,"Because the temperature of the water is different from the temperature outside,",,,,
147,"Since water has a lower temperature than our body, entering the swimming pool, which is lower than our own temperature, will lower the body temperature. Even though it's a hot summer day, I think it's colder when the water dries because it comes out in a cold state again.",,,,
148,"Because of the temperature difference,",,,,
149,"When the water dries, it takes away your body's temperature",,,,
150,I'm already used to the temperature of my body in the pool,,,,
151,"When I came outside, the temperature was lower than the temperature in the water",,,,
152,The temperature is different,,,,
153,Because water absorbs body temperature,,,,
154,This is because water (moisture) evaporates into the air and takes away body temperature (heat).,,,,
155,The temperature of the water and the temperature outside the water are different,,,,
156,Because I came out of the cold water,,,,
157,"There's water, but there's a cold wind",,,,
158,"""Because of the heat of vaporization, the water evaporates and takes away the heat together",,,,
159,"""",,,,
160,"As the entropy increases as it vaporizes, the temperature drops because it absorbs energy from our bodies",,,,
161,I don't understand.,,,,
162,Don't know,,,,
163,I don't know.,,,,
164,"When you first enter the water, the temperature of the water is lower because when you enter the water, the temperature outside becomes lower",,,,
165,HYUNJIN feels weird,,,,
166,This is because the water dries up and takes away heat.,,,,
167,"When the water dries, it is cold because the water is blown away",,,,
168,"The water evaporated and drained the heat around, because the water on Hyunjin's body drained Hyunjin's heat.",,,,
169,This is because water absorbs the surrounding temperature in the process of becoming water vapor.,,,,
170,"When you go into the water, the temperature in your body decreases, so it's cold even when you go outside",,,,
171,The temperature suddenly changed,,,,
172,The wind blows while the water dries,,,,
173,"""My body has already adjusted to cold water, but when I come out of the water again, the adjusted water cannot adapt to the outside, so my body trembles.",,,,
174,"""",,,,
175,"This is because when water changes state to water vapor, it absorbs heat from our bodies.",,,,
176,It's because the water evaporates and takes away the heat,,,,
177,"This is because as water evaporates, it absorbs heat from the body together and evaporates.",,,,
178,This is because the water attached to the body evaporates and takes heat from our bodies.,,,,
179,"This is because the temperature of water is low, so our body temperature drops, and when we suddenly come out, the temperature gradually increases, and the body temperature changes rapidly.",,,,
180,Evaporation is an endothermic reaction,,,,
181,"When the water on the body vaporizes, it absorbs the heat around it, so the body temperature is absorbed and the body temperature is lowered, making it cold.",,,,
182,This is because water vaporizes and absorbs heat of vaporization.,,,,
183,The water evaporates and takes away the heat from the surrounding area,,,,
184,Water vaporizes and absorbs heat from vaporization,,,,
185,Liquid water turned into a gaseous state and absorbed heat of vaporization in the process. This is because the body temperature has dropped accordingly.,,,,
186,"As you come out, the water on your body evaporates, thereby wiping out the heat of evaporation and lowering your body temperature.",,,,
187,"Because water needs heat to vaporize, Hyunjin absorbs heat of vaporization as the water on the body evaporates.",,,,
188,"When water dries, a liquid becomes a gas, which takes heat away from the surroundings because it is an endothermic reaction. Therefore, the body's heat escapes and feels cold.",,,,
189,"When water vaporizes from liquid to gas, it feels cold because it absorbs heat from the surroundings.",,,,
190,This is because liquid water on the skin evaporated and took away heat.,,,,
191,absorption of heat of vaporization,,,,
192,"This is because the skin is covered with water and water evaporates in all skin surface areas. At this time, mukbang is cold because it is an endothermic reaction.",,,,
193,due to the heat of vaporization,,,,
194,Water evaporates and absorbs heat equivalent to the enthalpy of evaporation,,,,
195,"Water phase changes from liquid to gas and absorbs heat from vaporization. Therefore, if you think of Gye as water, Gye takes away heat energy from the surroundings, and Hyunjin feels cold.",,,,
196,"The evaporation process of water is an endothermic process. Therefore, when water evaporates, Hyunjin takes away the heat from Hyunjin's body, and Hyunjin feels cold.",,,,
197,"The water on the body vaporizes and absorbs heatAs the water evaporates, a change in state occurs, and the surrounding temperature decreases by absorbing heat. Therefore, it feels cold.",,,,
198,Body temperature is lowered due to heat absorption,,,,
199,"When the phase changes from a liquid to a gas, the heat of vaporization is absorbed",,,,
200,I'm not sure about this,,,,
201,Your body temperature drops so fast,,,,
202,"When it evaporates, the air around it cools, so it's cold",,,,
203,Because HYUNJIN is not a manly man yet,,,,
204,..,,,,
205,I know,,,,
206,"It's cold, but it's still cold",,,,
207,"As the water dries, the moisture in the body escapes",,,,
208,"Water evaporates and takes heat, which seems to be why our bodies are cold",,,,
209,Because it is cold in the water.,,,,
210,Because the temperature dropped,,,,
211,Water changes temperature easily,,,,
212,"""I don't know.""",,,,
213,"""",,,,
214,"The temperature of the water is higher than that of the outdoor air, so it feels cold at the moment.",,,,
215,The moisture in your body is gone too,,,,
216,This is because water vaporizes and takes away body temperature.,,,,
217,"This is because when water evaporates, it absorbs the temperature around it.",,,,
218,It feels cold because the moisture-containing warmth is instantly taken away.,,,,
219,This is because the water on the body evaporates and takes away our Mong's body temperature.,,,,
220,"Because the heat in our body escapes,",,,,
221,"This is because when water evaporates, it takes out body temperature.",,,,
222,"When the water dries, it absorbs the heat of evaporation. This is the same principle that sweat cools down when it evaporates. This is how we feel cold because water absorbs heat from the skin and vaporizes the water.",,,,
223,It's because your body loses heat,,,,
224,It's because the water takes away the body heat while the body is wet,,,,
225,"As the water evaporated, the heat dissipated into the air",,,,
226,I don't know,,,,
227,a change in body temperature,,,,
228,"When water changes and evaporates, it absorbs the heat of caution, so the body feels cold.",,,,
229,This is because the vaporization of the liquid into a gas causes heat to be released.,,,,
230,"As the water evaporates, the body's heat disappears",,,,
231,"Because the temperature in the water and outside the atmosphere are different, the body needs to maintain the temperature",,,,
232,"Energy is needed to evaporate water from the body into water vapor, and the body temperature drops because water evaporates using the heat energy of our body.",,,,
233,"As the water evaporates, the body's heat disappears",,,,
234,It's cold because of the wind,,,,
235,Water evaporates and takes away body temperature,,,,
236,"Since the temperature of your body changes according to the temperature in the water in the water, when you come out, the temperature decreases further as the water dries, so you feel cold.",,,,
237,Because the water dries up and takes away the heat from your body,,,,
238,He took my temperature away,,,,
239,HYUNJIN was a sick friend with a rare disease with low body temperature,,,,
240,It's because you live in Yotunheim,,,,
241,My body temperature went down,,,,
242,"It evaporates as the water dries, but the body is cold because it takes away the heat around it while evaporating.",,,,
243,I'm weak,,,,
244,"Due to the absorption of heat from vaporization,",,,,
245,I think it's because the body temperature is low and then suddenly high,,,,
246,"Because when water meets hot heat and evaporates, it goes up with the body's",,,,
247,Because the temperature inside the water is different from the temperature outside,,,,
248,It's hypothermia,,,,
249,It's because the heat from the body evaporates,,,,
250,Because my body temperature is low in the water and my body is cold.,,,,
251,I also feel cold when I go to the swimming pool and go outside,,,,
252,Your body temperature goes down with water,,,,
253,"When I go to the swimming pool and come outside, I do it too",,,,
254,"""When a person's body temperature falls and the temperature outside meets the temperature, he or she becomes cold",,,,
255,"""I'm going to wear it""",,,,
256,Water takes away body temperature because it has the property of evaporating.,,,,
257,This is because it is relatively cold outside the water than inside the water.,,,,
258,"The temperature is high because it is hot summer, so it gets cold by taking away the heat of vaporization.",,,,
259,"This is because water heats up faster than the ground, making it warmer",,,,
260,It is cold because the water in the body evaporates momentarily after coming out of the swimming pool.,,,,
261,"When you come out in a wet state, evaporation occurs, and the ambient temperature is lowered due to the absorption of the vaporization heat of the water. In addition, it is a summer with more sunlight, so the evaporation rate is also fast (of course, it can be less affected because of the high humidity), so the temperature drops more easily. Therefore, the body becomes cold due to evaporation of water.",,,,
262,?Change in the state of matter?,,,,
263,It's cold as the water dries,,,,
264,This is because the body's heat is released when water evaporates,,,,
265,It's because it takes away your body's temperature,,,,
266,The water on HYUNJIN's body vaporizes with the heat and his body temperature,,,,
267,Cold as moisture dries,,,,
268,Because I was in cold water and suddenly came out into the hot air.,,,,
269,All right.,,,,
270,The water gets cold by exertion,,,,
271,I don't know,,,,
272,This is because water vaporizes and absorbs heat.,,,,
273,This is because Hyunjin took away the heat from his body as the water evaporated.,,,,
274,.,,,,
275,"This is because Hyun-jin's body is adapted to the swimming pool water and the temperature drops, but as he goes outside, the lowered body temperature comes into contact with the warm outside air to convey the feeling.",,,,
276,The body feels cold because it is adapted to the temperature in the water and is exposed to a very different temperature.,,,,
277,I was in the water and came out,,,,
278,by the wind,,,,
279,The temperature feels cold because it is difficult to adjust to the temperature of the outside because I have adjusted to the temperature of the water.,,,,
280,"Because the water is cold and when it comes out, it's wide",,,,
281,This is because the heat in my body evaporates and escapes together.,,,,
282,"Water (water droplets) dried in the air, so the body was wet, and the body was cold and trembling because the temperature of the body dropped as the water dried by the air.",,,,
283,My body's heat is taken away from me,,,,
284,This is because the heat in the body is taken away after playing in the water.,,,,
285,It's because water on your body takes away the temperature,,,,
286,"The water cools and cools when it meets the air, and because of this, when the water in the body dries, the body temperature decreases and the body becomes cold.",,,,
287,"When you come out of the water, the water in the body evaporates, depriving the body of vaporization heat and lowering the body's heat.",,,,
288,This is because the body's heat escapes as the water evaporates.,,,,
289,The body is cold because the water evaporates.,,,,
290,Because water evaporates and takes away the body's heat,,,,
291,"The water is cool and cold, so when you play in the water, it feels colder when the temperature is adjusted to the water and comes out of the water.",,,,
292,This is because water takes away heat when it evaporates.,,,,
293,It feels cold because it takes away the heat from your body.,,,,
294,The water evaporates and takes away the heat from your body,,,,
295,in the heat of the water,,,,
296,"This is because the body is swollen with moisture.As the water evaporates, a change in state occurs, and the surrounding temperature decreases by absorbing heat. Therefore, it feels cold.",,,,
297,Body temperature is lowered due to heat absorption,,,,
298,"When the phase changes from a liquid to a gas, the heat of vaporization is absorbed",,,,
299,I'm not sure about this,,,,
300,Your body temperature drops so fast,,,,
301,"When it evaporates, the air around it cools, so it's cold",,,,
302,Because HYUNJIN is not a manly man yet,,,,
303,..,,,,
304,I know,,,,
305,"It's cold, but it's still cold",,,,
306,"As the water dries, the moisture in the body escapes",,,,
307,"Water evaporates and takes heat, which seems to be why our bodies are cold",,,,
308,Because it is cold in the water.,,,,
309,Because the temperature dropped,,,,
310,Water changes temperature easily,,,,
311,"""I don't know.""",,,,
312,"""",,,,
313,"The temperature of the water is higher than that of the outdoor air, so it feels cold at the moment.",,,,
314,The moisture in your body is gone too,,,,
315,This is because water vaporizes and takes away body temperature.,,,,
316,"This is because when water evaporates, it absorbs the temperature around it.",,,,
317,It feels cold because the moisture-containing warmth is instantly taken away.,,,,
318,This is because the water on the body evaporates and takes away our Mong's body temperature.,,,,
319,"Because the heat in our body escapes,",,,,
320,"This is because when water evaporates, it takes out body temperature.",,,,
321,"When the water dries, it absorbs the heat of evaporation. This is the same principle that sweat cools down when it evaporates. This is how we feel cold because water absorbs heat from the skin and vaporizes the water.",,,,
322,It's because your body loses heat,,,,
323,It's because the water takes away the body heat while the body is wet,,,,
324,"As the water evaporated, the heat dissipated into the air",,,,
325,I don't know,,,,
326,a change in body temperature,,,,
327,"When water changes and evaporates, it absorbs the heat of caution, so the body feels cold.",,,,
328,This is because the vaporization of the liquid into a gas causes heat to be released.,,,,
329,"As the water evaporates, the body's heat disappears",,,,
330,"Because the temperature in the water and outside the atmosphere are different, the body needs to maintain the temperature",,,,
331,"Energy is needed to evaporate water from the body into water vapor, and the body temperature drops because water evaporates using the heat energy of our body.",,,,
332,"As the water evaporates, the body's heat disappears",,,,
333,It's cold because of the wind,,,,
334,Water evaporates and takes away body temperature,,,,
335,"Since the temperature of your body changes according to the temperature in the water in the water, when you come out, the temperature decreases further as the water dries, so you feel cold.",,,,
336,Because the water dries up and takes away the heat from your body,,,,
337,He took my temperature away,,,,
338,HYUNJIN was a sick friend with a rare disease with low body temperature,,,,
339,It's because you live in Yotunheim,,,,
340,My body temperature went down,,,,
341,"It evaporates as the water dries, but the body is cold because it takes away the heat around it while evaporating.",,,,
342,I'm weak,,,,
343,"Due to the absorption of heat from vaporization,",,,,
344,I think it's because the body temperature is low and then suddenly high,,,,
345,"Because when water meets hot heat and evaporates, it goes up with the body's",,,,
346,Because the temperature inside the water is different from the temperature outside,,,,
347,It's hypothermia,,,,
348,It's because the heat from the body evaporates,,,,
349,Because my body temperature is low in the water and my body is cold.,,,,
350,I also feel cold when I go to the swimming pool and go outside,,,,
351,Your body temperature goes down with water,,,,
352,"When I go to the swimming pool and come outside, I do it too",,,,
353,"""When a person's body temperature falls and the temperature outside meets the temperature, he or she becomes cold",,,,
354,"""I'm going to wear it""",,,,
355,Water takes away body temperature because it has the property of evaporating.,,,,
356,This is because it is relatively cold outside the water than inside the water.,,,,
357,"The temperature is high because it is hot summer, so it gets cold by taking away the heat of vaporization.",,,,
358,"This is because water heats up faster than the ground, making it warmer",,,,
359,It is cold because the water in the body evaporates momentarily after coming out of the swimming pool.,,,,
360,"When you come out in a wet state, evaporation occurs, and the ambient temperature is lowered due to the absorption of the vaporization heat of the water. In addition, it is a summer with more sunlight, so the evaporation rate is also fast (of course, it can be less affected because of the high humidity), so the temperature drops more easily. Therefore, the body becomes cold due to evaporation of water.",,,,
361,?Change in the state of matter?,,,,
362,It's cold as the water dries,,,,
363,This is because the body's heat is released when water evaporates,,,,
364,It's because it takes away your body's temperature,,,,
365,The water on HYUNJIN's body vaporizes with the heat and his body temperature,,,,
366,Cold as moisture dries,,,,
367,Because I was in cold water and suddenly came out into the hot air.,,,,
368,All right.,,,,
369,The water gets cold by exertion,,,,
370,I don't know,,,,
371,This is because water vaporizes and absorbs heat.,,,,
372,This is because Hyunjin took away the heat from his body as the water evaporated.,,,,
373,.,,,,
374,"This is because Hyun-jin's body is adapted to the swimming pool water and the temperature drops, but as he goes outside, the lowered body temperature comes into contact with the warm outside air to convey the feeling.",,,,
375,The body feels cold because it is adapted to the temperature in the water and is exposed to a very different temperature.,,,,
376,I was in the water and came out,,,,
377,by the wind,,,,
378,The temperature feels cold because it is difficult to adjust to the temperature of the outside because I have adjusted to the temperature of the water.,,,,
379,"Because the water is cold and when it comes out, it's wide",,,,
380,This is because the heat in my body evaporates and escapes together.,,,,
381,"Water (water droplets) dried in the air, so the body was wet, and the body was cold and trembling because the temperature of the body dropped as the water dried by the air.",,,,
382,My body's heat is taken away from me,,,,
383,This is because the heat in the body is taken away after playing in the water.,,,,
384,It's because water on your body takes away the temperature,,,,
385,"The water cools and cools when it meets the air, and because of this, when the water in the body dries, the body temperature decreases and the body becomes cold.",,,,
386,"When you come out of the water, the water in the body evaporates, depriving the body of vaporization heat and lowering the body's heat.",,,,
387,This is because the body's heat escapes as the water evaporates.,,,,
388,The body is cold because the water evaporates.,,,,
389,Because water evaporates and takes away the body's heat,,,,
390,"The water is cool and cold, so when you play in the water, it feels colder when the temperature is adjusted to the water and comes out of the water.",,,,
391,This is because water takes away heat when it evaporates.,,,,
392,It feels cold because it takes away the heat from your body.,,,,
393,The water evaporates and takes away the heat from your body,,,,
394,in the heat of the water,,,,
395,"This is because the body is swollen with moisture.As the water evaporates, a change in state occurs, and the surrounding temperature decreases by absorbing heat. Therefore, it feels cold.",,,,
396,Body temperature is lowered due to heat absorption,,,,
397,"When the phase changes from a liquid to a gas, the heat of vaporization is absorbed",,,,
398,I'm not sure about this,,,,
399,Your body temperature drops so fast,,,,
400,"When it evaporates, the air around it cools, so it's cold",,,,
401,Because HYUNJIN is not a manly man yet,,,,
402,..,,,,
403,I know,,,,
404,"It's cold, but it's still cold",,,,
405,"As the water dries, the moisture in the body escapes",,,,
406,"Water evaporates and takes heat, which seems to be why our bodies are cold",,,,
407,Because it is cold in the water.,,,,
408,Because the temperature dropped,,,,
409,Water changes temperature easily,,,,
410,"""I don't know.""",,,,
411,"""",,,,
412,"The temperature of the water is higher than that of the outdoor air, so it feels cold at the moment.",,,,
413,The moisture in your body is gone too,,,,
414,This is because water vaporizes and takes away body temperature.,,,,
415,"This is because when water evaporates, it absorbs the temperature around it.",,,,
416,It feels cold because the moisture-containing warmth is instantly taken away.,,,,
417,This is because the water on the body evaporates and takes away our Mong's body temperature.,,,,
418,"Because the heat in our body escapes,",,,,
419,"This is because when water evaporates, it takes out body temperature.",,,,
420,"When the water dries, it absorbs the heat of evaporation. This is the same principle that sweat cools down when it evaporates. This is how we feel cold because water absorbs heat from the skin and vaporizes the water.",,,,
421,It's because your body loses heat,,,,
422,It's because the water takes away the body heat while the body is wet,,,,
423,"As the water evaporated, the heat dissipated into the air",,,,
424,I don't know,,,,
425,a change in body temperature,,,,
426,"When water changes and evaporates, it absorbs the heat of caution, so the body feels cold.",,,,
427,This is because the vaporization of the liquid into a gas causes heat to be released.,,,,
428,"As the water evaporates, the body's heat disappears",,,,
429,"Because the temperature in the water and outside the atmosphere are different, the body needs to maintain the temperature",,,,
430,"Energy is needed to evaporate water from the body into water vapor, and the body temperature drops because water evaporates using the heat energy of our body.",,,,
431,"As the water evaporates, the body's heat disappears",,,,
432,It's cold because of the wind,,,,
433,Water evaporates and takes away body temperature,,,,
434,"Since the temperature of your body changes according to the temperature in the water in the water, when you come out, the temperature decreases further as the water dries, so you feel cold.",,,,
435,Because the water dries up and takes away the heat from your body,,,,
436,He took my temperature away,,,,
437,HYUNJIN was a sick friend with a rare disease with low body temperature,,,,
438,It's because you live in Yotunheim,,,,
439,My body temperature went down,,,,
440,"It evaporates as the water dries, but the body is cold because it takes away the heat around it while evaporating.",,,,
441,I'm weak,,,,
442,"Due to the absorption of heat from vaporization,",,,,
443,I think it's because the body temperature is low and then suddenly high,,,,
444,"Because when water meets hot heat and evaporates, it goes up with the body's",,,,
445,Because the temperature inside the water is different from the temperature outside,,,,
446,It's hypothermia,,,,
447,It's because the heat from the body evaporates,,,,
448,Because my body temperature is low in the water and my body is cold.,,,,
449,I also feel cold when I go to the swimming pool and go outside,,,,
450,Your body temperature goes down with water,,,,
451,"When I go to the swimming pool and come outside, I do it too",,,,
452,"""When a person's body temperature falls and the temperature outside meets the temperature, he or she becomes cold",,,,
453,"""I'm going to wear it""",,,,
454,Water takes away body temperature because it has the property of evaporating.,,,,
455,This is because it is relatively cold outside the water than inside the water.,,,,
456,"The temperature is high because it is hot summer, so it gets cold by taking away the heat of vaporization.",,,,
457,"This is because water heats up faster than the ground, making it warmer",,,,
458,It is cold because the water in the body evaporates momentarily after coming out of the swimming pool.,,,,
459,"When you come out in a wet state, evaporation occurs, and the ambient temperature is lowered due to the absorption of the vaporization heat of the water. In addition, it is a summer with more sunlight, so the evaporation rate is also fast (of course, it can be less affected because of the high humidity), so the temperature drops more easily. Therefore, the body becomes cold due to evaporation of water.",,,,
460,?Change in the state of matter?,,,,
461,It's cold as the water dries,,,,
462,This is because the body's heat is released when water evaporates,,,,
463,It's because it takes away your body's temperature,,,,
464,The water on HYUNJIN's body vaporizes with the heat and his body temperature,,,,
465,Cold as moisture dries,,,,
466,Because I was in cold water and suddenly came out into the hot air.,,,,
467,All right.,,,,
468,The water gets cold by exertion,,,,
469,I don't know,,,,
470,This is because water vaporizes and absorbs heat.,,,,
471,This is because Hyunjin took away the heat from his body as the water evaporated.,,,,
472,.,,,,
473,"This is because Hyun-jin's body is adapted to the swimming pool water and the temperature drops, but as he goes outside, the lowered body temperature comes into contact with the warm outside air to convey the feeling.",,,,
474,The body feels cold because it is adapted to the temperature in the water and is exposed to a very different temperature.,,,,
475,I was in the water and came out,,,,
476,by the wind,,,,
