,1) Explain the different ways you can do to dissolve all the salt that has not been dissolved in the C beaker. ,q35_temperature,q35_amount of water,q35_stirting
152,Add more water,,,
153,add more water,,,
154,"Add more water, hot water, get wet like meringue",,,
155,Because the amount of salt was too much to dissolve all the salt.,,,
156,"Add more cold water, add more hot water, and mix with hot water with a beaker.",,,
157,Heat with an alcohol lamp until melted,,,
158,Add more water.,,,
159,It heats up high heat,,,
160,"Add the water, hot water, stirring harder.",,,
161,"Mix until it melts in hot water, salt is dissolved, etc.",,,
162,"Shake it, mix, or hot water dissolves.",,,
163,"""",,,
164,"Put hot water, stir very hard. """,,,
165,"ì ì´ì¤ë¤,ë¨ê±°ì´ ë¬¼ì ëë¤.",,,
166,Put hot water. Stirring constantly.,,,
167,Add the water melts the salt. \,,,
168,Add warm water.,,,
169,Add the water or hot water.,,,
170,C the amount of salt in a beaker 60 other a lot of the amount of salt compared to a beaker was g,,,
171,C the amount of salt in a beaker was 60 g other original Cheoncheon because of melting in the water and salt is the amount of salt compared to a beaker which seems to be.,,,
172,Heat.,,,
173,Add the water.,,,
174,Stir with a glass rod quickly into wja (That's reflux is good.).Heat.,,,
175,Stir it more,,,
176,Turn up the water,,,
177,Stir it more.,,,
178,Keep stirring the glass bar.  Add a little bit of hot water.,,,
179,Mix quickly with a stick. Increase the temperature of the solvent.,,,
180,Add more water or heat.,,,
181,Pour in more hot water.,,,
182,Heat in an alcohol lamp. Stir without a break.,,,
183,1. Mix. 2. Add hot water.,,,
184,Heat it with fire,,,
185,Answer 1. Pour sparkling water like coke,,,
186,It's rotting easily,,,
187,Pour hot water. Add more water to melt it,,,
188,There is a way to dissolve salt by adding more water to the beaker,,,
189,Mix more with a glass bar,,,
190,Add more water,,,
191,Add more water.,,,
192,Continue mixing with a glass bar.,,,
193,"Increase the temperature of the water, stirring faster",,,
194,Increase the amount of water. Raise the temperature of the water.,,,
195,1. Heat the water 2. Stir the water with chopsticks.,,,
196,Add more water,,,
197,Add hot water or stir in less salt to dissolve the salt.Heat or dissolve the solution or stir faster with a glass rod.,,,
198,"""Stir quickly with a glass rod of glass.",,,
199,"Pour in hot water.""",,,
200,Let's add more water and mix it,,,
201,Stir the water with a stick.,,,
202,Mix it,,,
203,"""Add more water",,,
204,"""It heats up the water""",,,
205,boil,,,
206,Add more water,,,
207,Add more water,,,
208,Add more water or mix more.,,,
209,1. Pour more water 2. Reduce the amount of salt,,,
210,Stir faster or raise the temperature of the water,,,
211,Add more water,,,
212,"Add more water, dissolve in hot water, stir for a long time.",,,
213,"Drain the water, add the hot water again, and add the same amount of salt again.",,,
214,Stir with a glass rod or shake the beaker,,,
215,1.Brush. 2.Apply a little heat,,,
216,Mix with a glass bar. Add hot water and so on,,,
217,"Add more water and stir, add a little salt to the C beaker, etc",,,
218,Add more water,,,
219,He loses hard.,,,
220,Heat up the water. Stir quickly.,,,
221,Pour more water,,,
222,Add more water to the c beaker or heat the beaker. Or put warm water in the beaker.,,,
223,Add more water/mix with a glass rod/,,,
224,"You'll just need to add more water. Since the amount of salt is not directly proportional to the amount of water, if you add more water and stir a little more with a glass rod, the beaker salt with a lot of salt will disappear.",,,
225,1.Add more water. 2.Stir more with a glass rod,,,
226,Microwave to heat or continue to stir to dissolve.,,,
227,"There are several ways to dissolve a solvent. The easiest of these is to add water to the solute. The second way is to heat up the water. Of course, the water will come back to normal when it cools down. The third way is to stir the water hard. with great enthusiasm The fourth way is to dry the water, separate the salt, and dissolve it again with the sheep thrown.",,,
228,I don't know.,,,
229,Melt with the same heat.,,,
230,Wait.,,,
231,Salt that hasn't melted will never melt. Just give it up,,,
232,Add more water,,,
233,Bring the water to a boil and stir in the salt.,,,
234,Add the water.,,,
235,"""Put hot heat under the beaker.",,,
236,"It warms up the surroundings.""",,,
237,Mall,,,
238,1)Boil water.,,,
239,Add more water,,,
240,Transfer to hot water.,,,
241,You have to melt it with hot water,,,
242,Heat. Add more water,,,
243,Pour hot water,,,
244,Boil water,,,
245,"""Add more water""",,,
246,"""Mix with water from A beaker""",,,
247,Increase the water temperature,,,
248,Add more water or raise the temperature of the water,,,
249,Keep stirring or add more water,,,
250,Dissolve in hot water,,,
251,Stir it for a long time.,,,
252,Bring water to a boil or keep mixing.,,,
253,Pouring hot water makes me feel dizzy,,,
254,Stir in more water. Add warm water,,,
255,Add hot water,,,
256,Heat a little over hot heat.,,,
257,Heat the C beaker with an alcohol lamp ( ).,,,
258,apply heat,,,
259,It's melted by vinegar,,,
260,Heat the heat down and boil it in water to dissolve it,,,
261,"I don't think it's mixed well because there was too much salt, so I wonder if I add a little salt.",,,
262,"Add hot water, microwave it.",,,
263,Dissolve warm heat by transferring it to salt.,,,
264,Stir with a tool. Use hot water.,,,
265,Put in a different amount,,,
266,Hang out in hot water for a long time.,,,
267,Pour more water,,,
268,"""Raise the temperature of the water.",,,
269,"""",,,
270,Add hot water,,,
271,There is a limit to the amount of salt water can dissolve per unit weight,,,
272,Dissolve in hot water,,,
273,1. Add more water,,,
274,2. Stir in salt water,,,
275,"3. Add warm water""",,,
276,Add a lot of water,,,
277,It has the most amount of salt,,,
278,Use a blender,,,
279,"""1. Increase the temperature of water""",,,
280,2. Reduce the amount of salt,,,
281,"3. Stir more with a glass rod.""",,,
282,Place remaining salt in another beaker,,,
283,Add hot water,,,
284,"Pour warm water, stir more",,,
285,"Add more water, raise the temperature, and drain the salt",,,
286,c. Add more water to the beaker.,,,
287,Add more water to raise the temperature of the water,,,
288,Add more water as a solvent.,,,
289,Increase the temperature of the water. Make the salt particles smaller.,,,
290,Increase the temperature of the solvent.,,,
291,Add more solution or raise the temperature.,,,
292,Heat the water or stir harder.,,,
293,Pour hot water,,,
294,Stir faster with a glass bar or raise the temperature of the water,,,
295,"Increase the temperature of the water, add more water.",,,
296,"""Heat the beaker's water.""",,,
297,"Warm water, more water",,,
298,"Add more water, stir more, and add hot water.",,,
299,Increase the temperature of the water. Increase the amount of water.,,,
300,Increase the temperature. Stir it quickly. Add more water,,,
301,Add more water or raise the temperature of the water,,,
302,Add the water.,,,
303,Add more water or raise the temperature.,,,
304,"Add more water, increasing the amount of solvent to increase the amount soluble.",,,
305,have no idea,,,
306,Boil water,,,
307,Increase the temperature of the solution.,,,
308,Stir the glass bar faster or heat it to raise the temperature of the water.,,,
309,Melt it in hot water,,,
310,Increase the limit by adding more water,,,
311,Heat it up.,,,
312,Add hot water,,,
313,Increase the water. Increase the temperature,,,
314,I don't know.,,,
315,I don't understand.,,,
316,"Add more solvent, increase temperature, stir faster.",,,
317,Add more water. Heat up the water,,,
318,It heats up the water,,,
319,"""Add water and mix well""",,,
320,"""",,,
321,Add more water. Heat it up,,,
322,Increase the temperature of the water. Add more water and stir.,,,
323,"Warm the water, stir it.",,,
324,Add hot water and dissolve it,,,
325,Increase the temperature of the water. Increase the amount of water.,,,
326,There's too much salt compared to water,,,
327,"Add water, sprinkle on top of fried eggs.",,,
328,Keep stirring well with a glass rod.,,,
329,"Add more water, stir more, and raise the temperature of the water",,,
330,Add a small spoon and stir or cover the beaker and shake it or add more water.,,,
331,Stir more and faster with a glass bar. Increase the temperature of the water. Pour more water and stir.,,,
332,Add more liquid. Melt over heat.I'm stirring,,,
333,Add more water,,,
334,hot water,,,
335,c. Heat the beaker.,,,
336,Pour more water.,,,
337,Pour in more water.,,,
338,Add the water.,,,
339,Add water and boil.,,,
340,Add more water,,,
341,Increase the temperature of the water.Add the water.,,,
342,Add more water,,,
343,"Add more water, stir well.",,,
344,Add more water or raise the temperature.,,,
345,"Add more water, stir faster with a glass rod, heat up",,,
346,1. Add more water,,,
347,2. Heat it up.,,,
348,"3. Stir it enough.""",,,
349,Dissolve by raising the temperature of the water. Increase the amount of water.,,,
350,Stir more.,,,
351,Add the water.,,,
352,"Heat (increase the temperature), stir more, and increase the amount of water",,,
353,Heat or stir more with a glass rod,,,
354,Add the water.,,,
355,Increase the temperature.,,,
356,"Increase the temperature in water, stir hard with a glass rod.",,,
357,Increase the temperature of the water (solvent) that dissolves salt or add more water to dissolve salt.,,,
358,Boil water.,,,
359,"Stir harder, increase water temperature.",,,
360,Add more water,,,
361,Pour water and stir with a glass rod,,,
362,Add water,,,
363,Unknowingness,,,
364,Unknowingness,,,
365,Unknowingness,,,
366,Stir it a lot with a spoon. Make the water hot?back.,,,
367,I'll just leave it,,,
368,Mix it more.,,,
369,"""I'm eating""",,,
370,"""I took it out""",,,
371,I have to change it again,,,
372,"Stir further, let stand for a long time.",,,
373,"Stir faster with a glass bar, add more water, or make the water warm",,,
374,I don't know,,,
375,"Increase the temperature of the water, increase the amount of water, and stir quickly. back",,,
376,Unknowingness,,,
377,"""I get wet hard.",,,
378,"It gets wet quickly.""",,,
379,Melt the salt well with a spoon.,,,
380,Unknowingness,,,
381,"Pour hot water, stir more",,,
382,"""Because C beakers have more salt than water, they have more salt than other beakers",,,
383,"I think you can add more water or mix it more than other beakers.""",,,
384,Add the soluble substance to the salt and shake,,,
385,I don't know.,,,
386,Add more hot water,,,
387,This is because it melts late if the amount is large when stirred equally depending on the amount.,,,
388,Add more water.,,,
389,Heat it over the fire,,,
390,Heat it over the fire,,,
391,Melt it in hot water,,,
392,boil,,,
393,Add hot water,,,
394,Add more hot water,,,
395,Heat it up. Pour more waterI'm going to stir it fast,,,
396,"You need to stir more, add hot water, etc",,,
397,Add more water or mix more.,,,
398,There are ways to add more water and stir it a lot.,,,
399,Add the water. Speed up stirring with a glass bar.,,,
400,Increase the temperature of water. Increase the amount of water,,,
401,to increase the temperature of water or increase the amount of water,,,
402,I don't know,,,
403,Dissolve in hot water.,,,
404,"""-increase the amount of water",,,
405,#NAME?,,,
406,Put hot water.,,,
407,Dissolve it in warm water and eat it,,,
408,Add more hot water.,,,
409,Add the melting substance,,,
410,Keep the sun in a hot place,,,
411,boil,,,
412,Add the water. Increase the temperature of the solution.,,,
413,Dissolve water by heating it. Dissolve water by adding a lot of water,,,
414,to add more water / to raise the temperature of the water,,,
415,Keep mixing,,,
416,Add more water,,,
417,Add more water. Increase the temperature of the water,,,
418,Boil it over the heat,,,
419,Mix it with a glass bar.,,,
420,Turn it with a glass light,,,
421,Pour in hot water,,,
422,Keep stirring with a glass rod,,,
423,Pour water.,,,
424,Add more water and mix.,,,
425,Dissolve in hot water. Leave longer,,,
426,Add hot water or acidity.,,,
427,"Keep stirring with a glass bar, mix in more hot water",,,
428,"Add more water, raise the temperature of the water",,,
429,Add more water,,,
430,This is because the amount of water is relatively small in other beakers.,,,
431,to stir/heat water quickly,,,
432,Melt it with hot water,,,
433,Stir it more,,,
434,Put hot water.,,,
435,"Heat the beaker with an alcohol lamp, stirring longer.",,,
436,Keep stirring,,,
437,"Add hot water, mix quickly",,,
438,Add more water or keep stirring.,,,
439,I don't know.,,,
440,Microwave it in hot water.,,,
441,Dissolve in warm water/add more water.   back,,,
442,???,,,
443,Because there is a lot of salt.,,,
444,Add salt to hot water. And stir a lot.,,,
445,Stir more with a glass bar or heat the c beaker to melt the salt.,,,
446,Add the water.,,,
447,Stir it more,,,
448,"""Keep stirring to melt.",,,
449,"Microwave it.""",,,
450,Play more water,,,
451,Add more hot water.,,,
452,Add more water and mix.,,,
453,Put salt in your mouth.,,,
454,Melt with hot water./ Add more water.,,,
455,Add more hot water or mix better.,,,
456,Stir in hot water to dissolve,,,
457,"Add more hot water, stir faster",,,
458,"Heat, mix well",,,
459,"to raise the temperature of the water, to stir it longer, etc",,,
460,Add more water,,,
461,Add hot water and continue stirring with a glass rod,,,
462,"Pour hot water, stir with a stick",,,
463,Pour hot water.,,,
464,Heat the beaker. Add the water. Stir more with a glass rod.,,,
465,Let's heat it up. Add hot water. Stir thoroughly again.,,,
466,Add hot water,,,
467,Heat it up,,,
468,"""Put more water in it",,,
469,"""It's boiling""",,,
470,Mix it more.,,,
471,Add more water,,,
472,Add more water,,,
473,Add the water. Increase the temperature of the solution.,,,
474,Pour hot water,,,
475,Pour in hot water. Stirring constantly.,,,
476,Heat and dissolve.,,,
477,Add more water,,,
478,It holds more water or raises the temperature of the water.,,,
479,boil.,,,
480,"""1. Add more water.",,,
481,"2. Increase the temperature of the water.""",,,
482,I'll try everything I can or I'll use a newspaper,,,
483,Pour in more water. Apply heat.,,,
484,"Add more water, heat up the water",,,
485,Add more water,,,
486,Stirring constantly. Dissolve hot water by pouring it in.,,,
487,Add more water. Boil salt water,,,
488,Add more water,,,
489,"Boil C beaker water, stirring constantly until melted",,,
490,I'll set it on fire,,,
491,40g,,,
492,It's bent with a glass rod,,,
493,I'm going to warm water,,,
494,Melt by heating.Heat it over a fire (??),,,
495,"Increase the temperature, stir with a stick",,,
496,It keeps melting,,,
497,Add more water,,,
498,"Just melt it with ice, stir it and melt it",,,
499,"""Stir hard.",,,
500,"Boil salt water.""",,,
501,Warm water is needed to melt the sauce,,,
502,Add more water.,,,
503,Melt the water by making it hotter.,,,
504,mix salt with water,,,
505,Turn on the alcohol lamp and melt the beaker on top,,,
506,Warm the water up,,,
507,"Boil water,",,,
508,Stir well.,,,
509,Stir the water,,,
510,to be able to melt with hot water,,,
511,Add more hot water,,,
512,Keep stirring the glass bar,,,
513,Stir in the glass bar more,,,
514,"Pour in hot water, mix faster.",,,
515,Keep stirring.,,,
516,Just stir it.,,,
517,Dissolve in hot water,,,
518,Melt over heat.,,,
519,Add water.,,,
520,Pour in hot water.,,,
521,Heat with a beaker.,,,
522,Add the water.,,,
523,Heat the alcohol lamp with a beaker.,,,
524,Pour in hot water.,,,
525,Put hot water.,,,
526,Boil the beaker.,,,
527,...,,,
528,Heat it up.,,,
529,Dissolve in hot water.,,,
530,It keeps rotting (with a stick,,,
531,Unknowingness,,,
532,Add ice.,,,
533,Add warm or hot water,,,
534,Melt it with hot water,,,
535,"""Add more water",,,
536,"""",,,
537,Oh my god,,,
538,Heat up the water.,,,
539,"""It warms up the water",,,
540,"""Shake it""",,,
541,Use fire to pick.,,,
542,M and D,,,
543,Don't you think it'll all melt if you boil it with hot water?áá¡ááµáá§á« Or wouldn't it be good to add a small amount to melt it little by little?,,,
544,Dissolve in hot water.,,,
545,I don't know,,,
546,Melt it in hot water,,,
547,Try to reduce the capacity.,,,
548,in hot water,,,
549,Pour hot water. Stir more strongly with a glass rod,,,
550,"""Use hot water.",,,
551,"Stir quickly.""",,,
552,"If you add hot water, the salt melts",,,
553,Stir it quickly.,,,
554,Stir with a stick,,,
555,Add hot water. Whisk faster.,,,
556,Stir with a stick or something,,,
557,"Add more water, heat water, and mix quickly with a glass bar.",,,
558,"Add hot water, stirring more.",,,
559,add warm water,,,
560,I'm going to stir it fast,,,
561,I'm going to stir it fast,,,
562,Stir it quickly.,,,
563,I'm going to stir it fast,,,
564,I don't understand.,,,
565,The future,,,
566,Add more water or stir more with a glass rod.,,,
567,Add the water.,,,
568,"Add more water, raise the temperature of the water.",,,
569,Stir the bar quickly or heat the C beaker.,,,
570,"Heat the water. If you increase the temperature of the water to match the melting point of the salt, the salt will melt. Or stir the contents of the C beaker better. More water comes into contact with the surface of the salt, which promotes the melting of the salt.",,,
571,"""1. If you reduce the amount of salt, the salt melts faster, so reduce the amount of salt.""",,,
572,"2. If you increase the amount of water, the salt melts faster, so add more water",,,
573,It increases the temperature of the beaker's water and speeds up the reaction.,,,
574,Heat the solution or add more water to the beaker.,,,
575,Add more water and heat to allow salt to dissolve further,,,
576,"""Add more water (increase the solvent) so that the salt can melt more. (We don't have time from here",,,
577,"""",,,
578,You can add more water or increase the temperature of the water to increase the amount of salt that can dissolve in water.,,,
579,Increase the amount of water to change the saturated state to the unsaturated state.,,,
580,"If we first look at the concept of solubility, it is the amount of material that can be dissolved in a certain amount of liquid. Then you have to make the solubility bigger to dissolve all the salt in the C beaker. First, there is a way to increase the temperature by heating the beaker that we easily know to increase the solubility. And increase the amount of water so that more salt can melt.",,,
581,"Heat water, add more water",,,
582,Adding more water increases the amount of water that the salt can dissolve.,,,
583,"The salt melts when the temperature of the water is raised.""",,,
584,"Since it has already exceeded the level of dissolving the salt, it can be added with more water, or by increasing the temperature of the solution, it can increase the dissolution rate and dissolve the insoluble salt.",,,
585,"As the temperature of the water rises or the amount of water increases, the amount that can be dissolved increases. Therefore, to dissolve all the salt, increase the temperature of the water or increase the amount of water.",,,
586,The reason why the salt in the c beaker remains is that it has already reached saturation. So there is a way to add or heat more water to dissolve the remaining salt.,,,
587,"There is a way to increase the temperature. This is because the higher the temperature, the more active the movement of water molecules, which can dissolve more materials. You can also stir the bar faster and harder. This is because the more salt is mixed, the more it is mixed.",,,
588,"A liquid has solubility, which is the maximum amount that can dissolve a substance, and in order to increase solubility, the temperature can be increased or the mass of the liquid can be increased. There is also a way to reduce the amount of salt.",,,
589,"""",,,
590,"Add more heat to dissolve the salt in the C beaker. If more heat is applied, the reaction in the C beaker occurs more easily than at room temperature, so the remaining salt can be dissolved.",,,
591,"There is also a way to add more water. Add more water to dissolve the salt and the remaining salt will melt.""",,,
592,"The factors that cause salt to melt are the amount of water and the temperature of water. The reason why only the salt in the c beaker does not dissolve even though the same amount of water is added is that the temperature of the water in the c beaker was lower than that of other beakers. In order to dissolve the insoluble salt of the c beaker, there is a way to increase the temperature of the water by adding more water to the c beaker so that the salt can melt more or by heating the c beaker.",,,
593,"First, there is a way to increase the amount of water. If the amount of water increases, the amount of salt that can be dissolved increases. It can also increase the temperature of the water, and if the temperature of the water increases, it can dissolve more salt when the temperature is low.There are two ways. The first is to increase solubility by adding more water. Another way is to increase the temperature. In fact, temperature and solubility are proportional.",,,
594,"""Smoke an alcohol lamp under the beaker.",,,
595,Add more water.,,,
596,,,,
597,,,,
598,"""",,,
599,Increase the temperature. Add water,,,
600,Add more water,,,
601,The solvent is saturated and can no longer be dissolved,,,
602,"Add more water, raise the temperature",,,
603,"Increase temperature, add more water, or increase pressure.",,,
604,Water in... Heating,,,
605,"Add more water, boil water, grind more salt",,,
606,Heating filtering,,,
607,Wait.,,,
608,Let's raise the temperature of the water temperature,,,
609,Stir with a spoon.,,,
610,"Heat water, add more water",,,
611,Add the stick and stir,,,
612,Increase the temperature.,,,
613,Increase the temperature,,,
614,Add hot water,,,
615,?,,,
616,to raise the temperature of the water,,,
617,Pouring water,,,
618,I don't know.,,,
619,Pour hot water,,,
620,Add the water.,,,
621,Heat it up.,,,
622,Add the water.,,,
623,Because the water exceeds the amount of salt that can be dissolved,,,
624,Apply heat,,,
625,Add hot water,,,
626,Add additional water or heat the solution to raise the temperature.,,,
627,Stir the glass bar quickly.,,,
628,Add more water,,,
629,"Add more water, heat water, grind salt to make salt particles smaller",,,
630,Heat the beaker's water or stir with a glass bar and add more water to the beaker.,,,
631,Add more water. Heat it up,,,
632,"Add more water, heat the water",,,
633,Add the stick and stir. Add water.,,,
634,Increase the temperature or add more water.,,,
635,Add the water.,,,
636,"""Add more water.",,,
637,"Raise the temperature of the water.""",,,
638,Melt it with heat,,,
639,Add more water and stir,,,
640,I don't know.,,,
641,Mix it,,,
642,Raise the temperature of the water.,,,
643,I'm sure it worked out somehow,,,
644,I don't know.,,,
645,Add more water and increase temperature,,,
646,Increase the temperature of the water,,,
647,Add more water or heat to solution to dissolve salt,,,
648,Add more water,,,
649,Pour in more water.,,,
650,"""Add more water and stir",,,
651,"Increase the temperature and heat it up""",,,
652,The amount of salt that can be dissolved in a certain amount of water is limited,,,
653,"Add more water, cool the water.",,,
654,Unknowingness,,,
655,Add more water or heat,,,
656,Stir it more,,,
657,"Raise the temperature of the water, increase the amount of water.",,,
658,Add the water.,,,
659,Increase the temperature or make the particle size much smaller.,,,
660,Increase the temperature or add more water,,,
661,Add more water and increase the temperature.,,,
662,to raise the temperature of the water,,,
663,Add more water,,,
664,Add more water,,,
665,Use hot water,,,
666,Increase the temperature. Add more water,,,
667,Add more water or raise the temperature.,,,
668,"Pour more water, raise the temperature of the solution, or stir very quickly with a glass rod.",,,
669,Add more solvent (water).,,,
670,"Increase temperature, add water",,,
671,Let's see. Sexy,,,
672,"raise the temperature of the water, stir with a stick",,,
673,"Add water to melt, stir quickly, etc",,,
674,Hot water and stone,,,
675,Warm the water up and stir to dissolve it,,,
676,"Increase the temperature of the water, increase the amount of water, and stir more with a glass rod.",,,
677,"Increase temperature, stir with a stick.",,,
678,Increase the temperature of the water. Add more water.,,,
679,Add more water to make it melt,,,
680,Stir more with a glass rod to melt it. Heat up the heat to raise the temperature of the water. Use a stirrer.,,,
681,"""",,,
682,Add more water or hot water.,,,
683,"Stir more, pour hot water to dissolve. back",,,
684,Add more water,,,
685,Raise the temperature of the water and put more water in it.,,,
686,Dissolve hot water by pouring it in,,,
687,Pour more water,,,
688,Stir it more,,,
689,Add the water. Increase the temperature.,,,
690,c Increase the temperature of the beaker's water or increase the amount of water.,,,
691,strike with a stick or hand,,,
692,Increasing the temperature increases the solubility and increases the temperature.Increase the temperature of the water or add more water to dissolve the salt.,,,
693,Add more water to the c beaker or heat the c beaker to increase the temperature of the water,,,
694,"First, pour hot water and dissolve the salt.",,,
695,"If you add too much salt or a little water, it will sink",,,
696,Add more water.,,,
697,"Since it's a hand, melt it with a stick",,,
698,Pour more hot water or wet the glass bar faster,,,
699,"Because there is a lot of salt in the c beaker,",,,
700,"""1. Warmly heat it up",,,
701,2. Shake it.,,,
702,3. Add more water.,,,
703,"4. Mix more.""",,,
704,Add more water.,,,
705,Continue stirring the c beaker with a glass bar.,,,
706,Adjust the amount of water according to the amount of salt or add a certain amount of water little by little,,,
707,"""Call Wook-joon to spit.",,,
708,Call Wook Jun to eat salt.,,,
709,"It makes Wookjun sick.""",,,
710,"""Microwave it in the microwave it",,,
711,Let's boil it,,,
712,"""Stirring it continuously",,,
713,Mix it for a long time. Mix it quickly,,,
