,"1) Why did the metal ladle, which used to be cold before putting it in hot water, get hot after putting it in water?",q39_column movement,q39_material
182,I don't know.,,
183,This is because metals are sensitive to temperature.,,
184,Because metal has high heat transfer power,,
185,This is because metal transfers heat well.,,
186,Metal transfers heat faster than wood,,
187,This is because heat is conducted from the hot side to the cold side.,,
188,Because the metal is heated,,
189,"When you put it in hot water, the temperature of the ladle increases",,
190,Metal is good for heat transfer,,
191,Metal transfers heat well,,
192,This is because metal objects change temperature quickly and easily,,
193,This is because metals receive heat quickly.,,
194,Because the heat from the hot water affected the cold metal ladle.,,
195,This is because the metal ladle is heated by hot water.,,
196,I don't know.,,
197,The heat is transferred because of the hot waterMetallic substances heat up quickly,,
198,It's metal,,
199,This is because the material that makes up the metal ladle is a material that transfers heat well.,,
200,Metal spreads heat quickly.,,
201,in the heat of one's heart,,
202,"When a cold metal ladle goes into hot water, it gets hotter and hotter enough to burn depending on the metal because it consumes a lot of heat.",,
203,The iron ladle was overheated,,
204,in the heat of one's heart,,
205,Metal reacts to heat,,
206,This is because heat travels fast to metals,,
207,The metal ladle is a conductor through heat.,,
208,It is because the heat of the hot water moves to a metal ladle.,,
209,This is because metals react to hot heat.,,
210,This is because the hot particles in the hot water heated the cold particles in the ladle.,,
211,Because metal reacts to hot things,,
212,Because heat is transferred,,
213,Because of the heat transfer,,
214,"Because heat conduction is faster,",,
215,Because metal is a material that receives heat.,,
216,The temperature of the hot water affects the metal ladle,,
217,Metal is weak against heat,,
218,A material made of metal spreads hot heat quickly,,
219,Because metallic materials transfer heat quickly,,
220,The heat was transferred by water,,
221,Because of the heat,,
222,"Metal is a nodule, so heat transfer is fast",,
223,The heat from the hot water is transferred to the metal ladle,,
224,It's because the fever works well.,,
225,Because metal ladle has high thermal conductivity,,
226,It is because I got heat from hot water.,,
227,because of its good thermal conductivity,,
228,"Metal has excellent thermal conductivity, so the metal ladle heats up.",,
229,This is because metal transfers heat better.,,
230,It is because the iron is heated in hot water,,
231,"Since the heat of the water was transferred with a ladle,",,
232,"Because the boiling point of metal is lower than that of the noose,",,
233,The temperature went down,,
234,"Because metals have high thermal conductivity, heat can be transferred quickly and easily.",,
235,Because metal has good heat transfer power,,
236,Metals have a large change in temperature,,
237,The heat energy moves to the metal ladle,,
238,"Because the heat from the hot water moves to the metal ladle,",,
239,Because the heat was transferred well.,,
240,The temperature suddenly changed,,
241,"Because metal ladle has high thermal conductivity, heat from hot water moves to metal ladle and is hot.",,
242,Because heat was transferred to the metal ladle.,,
243,Because heat is transferred,,
244,This is because the heat of the hot water moved to a cold metal ladle.,,
245,Metal has good heat transfer power,,
246,"Since the heat was transferred,",,
247,The heat from the hot water moves to the metal ladle,,
248,It's heat transferred,,
249,Metal is heat transferred,,
250,Because the heat is transferred with a metal ladle?,,
251,I don't know,,
252,The temperature of metal goes up so fast,,
253,"Metal is more heat-resistant, and if you put it in hot water, it burns your hands, and of course it gets hot",,
254,I don't know,,
255,The heat moved to the spoon,,
256,Heat transferred to the metal,,
257,Metal is heat-transmitting,,
258,"Since the heat moved from hot water to a ladle,",,
259,Metal depends on the temperature of the water,,
260,Because metals are heated,,
261,Metal transfers heat quickly,,
262,That's the nature of the metal,,
263,Put it in hot water,,
264,"Since the water is hot, I'll heat it up the same",,
265,"Iron has a longer period of warmth with temperature transferred faster, but trees have a black hole between them",,
266,Metal changes quickly because the temperature is high and then low,,
267,"Because the heat moves to a cold place,",,
268,"""The heat has shifted",,
269,"""",,
270,Because of the metal,,
271,This is because the metal ladle was heated in hot water.,,
272,It's getting hot,,
273,Because the metal spreads heat (by absorbing heat well),,
274,The hot water is hotter than the outside temperature.,,
275,be caused by a sharp drop in temperature,,
276,"Since it's highly heat conductive,",,
277,This is because the heat of the hot water was transferred to a metal ladle.,,
278,This is because the temperature of the metal varies depending on the temperature of the metal.,,
279,"The vibrations of the particles of water are conducted to the metal,",,
280,Metal is because heat travels fast,,
281,It's because the steam comes up,,
282,The water is hot,,
283,This is because the temperature of the water is hot.,,
284,This is because metal has the property of getting hot when put in hot water.,,
285,Because metal is heat-transferred,,
286,Metal moves heat,,
287,This is because the heat transfer is better on the metal ladle,,
288,The temperature has shifted,,
289,The temperature of the hot water moves to a metal ladle,,
290,Metal is because heat travels.,,
291,It gets hot by touching the hot water.,,
292,"Because heat is concentrated in hot places,",,
293,Because metals react to hot substances,,
294,It is because of heat transfer.,,
295,"Heat is transferred from hot water to a ladle, which is metal, so it is transferred faster.",,
296,It gets hotter in the seasonThis is because warm water moves heat to metal.,,
297,Wooden ladle has different properties from metal guguja.Metal moves heat quickly.,,
298,Because heat travels well through metal,,
299,Because metal moves heat fast,,
300,Metal is good at transferring heat.,,
301,It's heated up,,
302,Metal absorbs heat,,
303,This is because metal takes heat well.,,
304,Metal is because heat travels fast.,,
305,"When the first heat is in hot water and the metal is put in, the heat is transferred to the metal ladle due to the heat transfer",,
306,The hot water moves to the ladle,,
307,The temperature is transmitted?,,
308,heated by hot water,,
309,Metal dissolves easily in heat,,
310,This is because heat moved from hot water to ladle.,,
311,This is because metal transfers heat well.,,
312,I'm afraid of the environmental hormones,,
313,Because the hot heat was transferred to the ladle after entering the hot water,,
314,Metal is heated up well,,
315,It is because metal is heat-transmitting.,,
316,This is because the metal ladle quickly cools and heats up.,,
317,"This is because metal moves heat quickly, but wooden ladles do not transfer heat.",,
318,The ladle got hot because it went into the hot water.,,
319,It's made of metal.,,
320,Metal is because heat travels well.,,
321,"Metal transfers temperature, so even if only one place is heated, it becomes hot.",,
322,Because metals are greatly influenced by temperature,,
323,Metal is because heat moves easily.,,
324,"This is because wood is not a heat-transmitting property, and metal is a heat-transmitting property.",,
325,This is because the metal ladle absorbs heat when put into hot water.,,
326,Metal is good for heat transfer,,
327,Metal has high thermal conductivity and can quickly become hot and cold,,
328,It is because the water is hot.,,
329,This is because the temperature has increased.,,
330,This is because metal has a fast heat circulation.,,
331,Hot water is stronger,,
332,The temperature has risen,,
333,The heat is shifting,,
334,Soak it in hot water,,
335,Heat conduction is faster,,
336,This is because the heat is transferred.,,
337,This is because metals have better thermal conductivity.,,
338,Metals are prone to heat conduction.,,
339,.,,
340,The heat conductivity of iron is fast,,
341,It's getting heated up,,
342,with heat conduction,,
343,This is because metals have high thermal conductivity.,,
344,"Hot heated molecules vibrate close to each other, making them hot overall, with high thermal conductivity",,
345,This is because metal has a high heat conduction.,,
346,Metal is through water,,
347,"Since I put it in hot water,",,
348,This is because heat rubs.,,
349,The temperature is reversed,,
350,The heat is transferred to the ladle,,
351,"Of course, heat transfer...ãë¹ãã¹ã¹",,
352,This is because the heat of the hot water is transferred to a ladle,,
353,the conduction of heat,,
354,Because the temperature is reversed,,
355,I don't know. I don't know either,,
356,Heat conduction,,
357,Metal heats up better. Oh my god,,
358,The heat goes from hot to cold,,
359,Because of the thermal conductivity,,
360,This is because the heat of the hot water was conducted with a metal ladle.,,
361,It's the transfer of heat.,,
362,"Because heat is transferred to metal,",,
363,The overall temperature of the ladle increases as the temperature rises and the vibration motion of the internal molecule is conducted sideways.,,
364,Because metal transfers heat well,,
365,The energy in the hot water shifted.,,
366,This is because the heat was conducted.,,
367,This is because the heat energy in the water is transferred to a metal ladle,,
368,with heat conduction,,
369,The heat in the hot water was transferred by conduction along the metal,,
370,The water is cold,,
371,This is because the heat in the water was transferred to a metal ladle.,,
372,It's because the heat is transferred,,
373,Because of the thermal conductivity,,
374,"According to thermodynamics, heat travels from high to low. Therefore, if a cold metal with a low temperature is added to hot water with a high temperature, the temperature of the ladle increases.",,
375,I don't know.,,
376,Because the metal conducted heat,,
377,Put it in hot water,,
378,Because it's evangelized,,
379,in the foreground,,
380,heat of conduction,,
381,Metal has a high heat of conduction,,
382,"Of course, metal ladle has high heat transfer power",,
383,It's easy to transfer heat to metals,,
384,This is because metals have high heat conductivity.,,
385,This is because heat is conducted.,,
386,Metal has high thermal conductivity,,
387,This is because conduction heat exists.,,
388,Because of the high heat conduction,,
389,Metal is because of its fast heat conduction,,
390,Because metal has high thermal conductivity,,
391,Because metal ladle has fast conduction,,
392,"Because the water is hot, heat is transferred to the metal ladle and becomes hot",,
393,This is because the heat is transferred.,,
394,Metal is thermally conductive,,
395,The heat conductivity was high and heated up.Because exploring heat transfer.,,
396,Metal and the heat moves.,,
397,High thermal conductivity of metal.,,
398,ê¸ìì´ê°ì´ëì,,
399,Metal heat transfer and moon.,,
400,Metal fever in contact with the ladle.,,
401,"The eeee ã eeeeee the ã engeee ãã in the engee ããã eeengeee ãã in the er ãã ãã the eeeeeng ã engeng ãããã in the er eee to er er eng er enge er ã eenge the [ [ in er een to er er to er eng er ã eee er engnereenge er ã er ee er ererererengneerel, but we absolutely have to reeererere er ã eerererengneererengneerereerengneeree ããr reeel the ã reereng",,
402,Hot water is a national Royal whomp the Yongbyon nuclear facility all these things.,,
403,I don't know.,,
404,The temperature is moved,,
405,The water is hot because movement yeoreu,,
406,Place in hot water.,,
407,Metal is the heat moves.,,
408,"Hot water. just because you have, spoon yeorii",,
409,Move to hot places in the low heat.,,
410,Hot heat because he is moved to a metal dipper.,,
411,Because of hot water.,,
412,This is because heat moves from water to ladle,,
413,A metal ladle moves heat. with a metal ladle,,
414,It's hot,,
415,Metal is heat-conducting,,
416,Hot water temperature is transferred to a cold ladle,,
417,This is because the heat moved to the ladle.,,
418,This is because metal ladle has a fast rolling conductivity.,,
419,This is because the temperature of the hot water was conducted with a metal ladle.,,
420,This is because the heat of the hot water was conducted with a metal ladle.,,
421,Metals have high thermal conductivity,,
422,It is because the temperature is increased by hot water.,,
423,"A thermal equilibrium was achieved between the hot water and the cold metal ladle, and the ladle became hot.",,
424,It's because it's been passed on.,,
425,This is because hot heat is conducted.,,
426,"Since the heat energy of the hot water moved to the cold ladle,",,
427,This is because the heat in the hot water was conducted to the ladle.,,
428,This is because the heat in the hot water was conducted with a metal ladle.,,
429,It's because I put it in hot water,,
430,It's heat-transferred,,
431,"Because metal has a fast heat conduction, hot heat is conducted to the metal ladle.",,
432,It is because of heat transfer.,,
433,This is because heat is conducted with metal.,,
434,This is because heat was transferred from hot water to a metal ladle.,,
435,This is because a metal ladle causes heat conduction,,
436,This is because heat has been transferred.,,
437,The water is hot,,
438,This is because heat moves from hot to cold.,,
439,"The part of the metal ladle put in hot water was first heated by heat conduction, and the whole ladle was heated because of the property of trying to balance heat.",,
440,Metal spreads easily,,
441,"The hot thing is metal ladle. Moving, moving, moving, people",,
442,"Since the temperature moved from low to high,",,
443,Metal conducts heat better,,
444,Conduction,,
445,This is because the heat of the hot water was conducted with a metal ladle.,,
446,I love you,,
447,I don't know,,
448,(wink),,
449,due to heat conduction,,
450,Because iron is fast forwarding,,
451,It's heat transferred,,
452,It's because the heat is transferred,,
453,Metal has a high heat conductivity,,
454,?,,
455,This is because the temperature of the hot water was conducted with a cold metal ladle.,,
456,"Metal has a high heat conduction, so the whole ladle is hot",,
457,Metal conducts heat well,,
458,.,,
459,"Because the hot heat of the hot water conducted heat to the metal ladle,",,
460,Metal transfers heat well,,
461,Metal ladles have high thermal conductivity,,
462,It's because of the heat conduction,,
463,This is because the heat capacity of the metal ladle is low.,,
464,It is because of the conduction of heat.,,
465,This is because metals have high thermal conductivity.,,
466,Because of the heat conduction of metal,,
467,"""Because the heat was transferred",,
468,"""",,
469,This is because the heat of the water was transferred to a ladle.,,
470,Because it's heated up,,
471,It's easier to do particle exercises,,
472,Megal has no answer,,
473,The heat is shifting,,
474,"Because the heat from the hot water was transferred with a ladle,",,
475,"Since heat conduction of metal ladle occurs easily,",,
476,Metals with high thermal conductivity quickly became insulating when put into hot water,,
477,The temperature of the water moves to the ladle and the temperature of the ladle changes,,
478,Metal gets hot quickly because of its high thermal conductivity,,
479,This is because the hot temperature moved to a metal ladle.,,
480,It's because I put it in hot water,,
481,Because it conducts heat,,
482,Metal gets hot because it absorbs heat well,,
483,Metal heats up quickly when put in hot water because of its fast heat conduction.,,
484,This is because the temperature of the hot water was transferred to the metal ladle.,,
485,"Because the ladle took away the heat from the water around the ladle,",,
486,"The heat energy in the water moved to a ladle that was cold, making the metal ladle hot.",,
487,The atoms in the hot water heat up the metal ladle by conducting heat,,
488,"The heat of the hot water moved to the cold metal ladle, which became hot due to the heat.",,
489,"Metal has high heat conduction heat, so it gets hot when put in hot water.",,
490,"The heat was conducted with a metal ladle, which was larger than a wooden ladle, and it became hot.",,
491,Don't know,,
492,"This is because heat conduction is made of fast metal, so heat is quickly conducted to the handle.",,
493,Metal has high thermal conductivity,,
494,"Metals are highly thermally conductive, so they get heated upIf you put a metal ladle in hot water, the heat of hot water is conducted to the metal ladle, so the temperature of hot water decreases, while the cold metal ladle increases the temperature.",,
495,"Because it's metal Metals are substances where heat travels, so heat travels",,
496,The first law of thermodynamics heats up to achieve thermal equilibrium.,,
497,Metals have high heat conduction,,
498,Metals transfer heat well,,
499,due to heat transfer,,
500,This is because heat is transferred.,,
501,The heat moves. [The hot part moves to the cold part],,
502,The temperature of the metal changes quickly,,
503,Because there's more of the same iron migration,,
504,This is because metal transfers heat faster than wood.,,
505,"Heat transfer. Yes, move from hot to cold",,
506,This is because metal transfers heat faster than wood.,,
507,"Because of the difference in temperature, iron, metal, etc. are hot when put in a hot place",,
508,The metal touched the hot water and it was hot,,
509,It's heat transferred,,
510,Hot things heat metal well,,
511,"""Before I put hot water,",,
512,"a wooden ladle and a metal ladle""",,
513,Metal travels fast in heat.,,
514,Because metal gets hot quickly,,
515,This is because heat travels.,,
516,Metal transfers heat,,
517,Heat conduction is fast,,
518,Because of the hot water,,
519,It's good for heat transfer,,
520,Metal is because heat is transferred.,,
521,This is because heat transfer occurs faster and better.,,
522,The hot water radiates heat to the metal ladle,,
523,Heat transferred to the kettle,,
524,The hot water raised the temperature of the ladle.,,
525,Because the heat transferred,,
526,"Because the heat is transferred quickly,",,
527,The speed and time of heat transfer are different,,
528,Put it in hot water,,
529,Put it in hot water,,
530,Because it's getting heated up,,
531,Metals are heat transferred,,
532,Because it's metal,,
533,in the heat of one's heart,,
534,Because the temperature is different from the temperature is different,,
535,Metal absorbs heat,,
536,The hot heat in the water is transferred to the metal ladle,,
537,Because metal absorbs heat,,
538,"Because the heat from the hot water moved to the metal ladle,",,
539,"Because it's iron, it gets heated up quickly",,
540,Metal absorbs heat quickly and a lot,,
541,Heat travels faster,,
542,This is because the hot temperature of the water moved to a metal ladle.,,
543,Because metal absorbs heat quickly,,
544,Because metal ladle has fast heat conduction.,,
545,This is because the cold metal ladle is thermally balanced by hot water.,,
546,Metal seems to move heat well.,,
547,Metal neutralization is included because it gets hot when it touches hot heat.,,
548,The hot temperature seems to be hot because it suddenly meets and keeps meeting.,,
549,"Since I got heat transferred,",,
550,This is because heat moved along the iron.,,
551,I don't know,,
552,I don't know,,
553,I think metal is because it absorbs heat and transfers it.,,
554,This is because metal heats up quickly when it touches a hot object.,,
555,This is because the metal ladle took the temperature of the hot water.,,
556,This is because heat transfer is easy.,,
557,Because it's metal,,
558,"""As the hot water moved to the cold metal ladle, the cold metal ladle gradually became",,
559,"As it got hotter, the metal ladle got hotter.""",,
560,"Because it's the season, heat is transferred better",,
561,"Because of the hot water heating,",,
562,Because the heat moved to the ladle,,
563,This is because the metal ladle took away the temperature of the hot water.,,
564,I don't know,,
565,"If you put a cold ladle in warm water, it will be hot because of the hot heat",,
566,It is a gate where heat came up through metal on the ladle.,,
567,Because metal reacts to hot things.,,
568,This is because the heat of the hot water was cut off with a metal ladle.,,
569,Metal is because hot things spread quickly.,,
570,Because the water is hot.,,
571,I don't know.,,
572,This is because metals change according to the temperature of the metal.,,
573,It's because of its high thermal conductivity,,
574,This is because it gets hot when it touches metal with water for a long time.,,
575,Because metal absorbs heat,,
576,I don't know.,,
577,Because hot heat moves to cold places,,
578,I don't know.,,
579,The metal is getting hotter,,
580,Iron changes in temperature quickly,,
581,This is because the hot heat in the hot water moved the heat to the metal ladle,,
582,This is because metals receive heat from hot water and do not release it.,,
583,Hot water molecules were transferred to the cold metal ladle by conduction and became hot.,,
584,Metal heats up when it meets hot water.,,
585,the conduction of heat,,
586,"The temperature of the metal may also vary depending on the temperature of the water, so the metal immersed in hot water becomes hot.",,
587,It's going to get hot,,
588,This is because the conduction of heat is good for metals,,
589,This is because the temperature of hot water is transferred to a cold metal ladle.,,
590,"When the water is hot,",,
591,It is because metal transfers heat well.,,
592,"Because the heat transferred to the metal,",,
593,Metal changes by absorbing surrounding ondolThe metal is easily heated (?,,
594,"Metal has a fast heat conduction, so heat travels quickly to the handle.",,
595,"""Metals absorb ambient temperatures faster and become temperature leveling",,
596,"""",,
597,This is because metal ladles move heat well.,,
598,"Even if the ladle is cold, the hot water lasts a few minutes and the ladle gets hot",,
599,Metal heats up quickly.,,
600,It's a material that heats up the metal,,
601,Because heat was transferred to the metal ladle.,,
602,This is because the heat in the hot water quickly moved to the metal ladle.,,
603,The metal is made because the heat travels fast,,
604,"Because of the temperature of the hot water, the temperature was transferred to the metal ladle.",,
605,Hot water and iron heat come out,,
606,The metal ladle absorbs heat and heats up.,,
607,It is made of metal because heat travels fast,,
608,Because of the nature of iron.,,
609,Because metal absorbs heat,,
610,The hot heat of the water is transferred to the cold ladle,,
611,Metals can carry fire faster,,
612,Because metals absorb heat,,
613,"As the metal comes into contact with the air, the metal cools, and as the metal ladle enters the hot water, the heat transfer line is high and the metal heats up quickly.",,
614,This is because heat was transferred because it was in hot water for a long time.,,
615,"This is because if you put a metal ladle in hot water, the metal ladle heats up much faster than a wooden ladle.",,
616,Metal moves heat slower than wood,,
617,This is because the thermal conductivity is strong.,,
618,"This is because heat travels more slowly to metals than trees, and trees move heat faster.",,
619,I don't know.,,
620,Metals conduct heat well,,
621,The heat conductivity is higher than that of trees,,
622,This is because metals have high thermal conductivity.,,
623,It's metal,,
624,The temperature went down,,
625,Heat is transferred to the metal,,
626,Because of the heat transfer?,,
627,I'm sensitive to hot metal,,
628,This is because the thermal conductivity is fast.,,
629,Because the metal ladle was not released by heat.,,
630,"Metal has high thermal conductivity, so it is very cold when it is cold and hot again quickly.",,
631,Metal would have gotten hot because heat conduction would be faster.,,
632,Metal is good at heat conduction.,,
633,This is because the heat was conducted.,,
634,be due to the rapid heat transfer,,
635,This is because the heat was conducted.,,
636,It's good for heat transfer,,
637,Metals are fast in heat conductivity,,
638,Because the heat was transferred well,,
639,Metal has become hot because of its high heat transfer rate.,,
640,Because the heat in the water moves to the ladle to achieve thermal equilibrium,,
641,"Because metal is a conductor, heat transfer is good.",,
642,The heat of the water would have been transferred to a metal ladle and heated up.,,
643,Because metals transfer heat quickly,,
644,This is because the hot water heated up the cold metal ladle.,,
645,"Because of the heat transfer,",,
646,"Metal ladles are made of metal and have high thermal conductivity, so they get hot when they are put into water.",,
647,.,,
648,This is because the thermal conductivity is high.,,
649,heat conduction,,
650,Because it touched something hot.,,
651,It's all over the place,,
652,It's because heat is transferred well,,
653,It's more because the heat is applied.,,
654,This is because the heat of hot water was conducted with a cold metal ladle.,,
655,Metal becomes the transfer of heat,,
656,It's because I got a fever.,,
657,It is because of the conduction of heat.,,
658,This is because the metal ladle has heat conduction.,,
659,This is because the heat is conducted with a metal ladle.,,
660,This is because metals have high thermal conductivity.,,
661,It's because the heat is transferred,,
662,This is because metals form a dense and pure collection.,,
663,It is because the heat has been transferred.,,
664,This is because metals conduct heat well.,,
665,"The temperature was lower than the temperature in the water before putting it in hot water, so the metal ladle, which was cold, was put in hot water and then heated up as heat moved to the metal ladle.",,
666,It's because the heat transferred,,
667,"When the metal ladle is immersed, heat moves from water with high temperature to metal ladle with low temperature through conduction, which is hot.",,
668,Metal is good at transferring heat.,,
669,This is because the heat moved to the ladle. Heat conduction shows that metal is faster than wood.,,
670,in the heat of one's heart,,
671,It's hot because I put it in hot water,,
672,Because metal gets hot quickly,,
673,Metal is because heat travels faster.,,
674,Because of the fast movement of heat in metal,,
