,"2) In the experiment above, if you change the direction of the current, how does the compass needle move? ", q26_against
165,The compass needle changes direction.,
166,It changes the other way around,
167,point in the opposite direction,
168,It changes the other way around.,
169,It changes the other way around,
170,It's hard.,
171,I don't know.,
172,I don't know.,
173,right,
174,It's going the other way around,
175,It's changing,
176,I don't know.,
177,It's changing.,
178,..;.,
179,It's changing.,
180,It will turn in the opposite direction.,
181,I don't know,
182,Move in the opposite direction,
183,in the opposite direction,
184,It's going the other way around.,
185,The needle changes in the opposite direction,
186,It's going the other way around.,
187,The direction of the n pole and the s pole changes.,
188,The compass needle also changes its movement,
189,The compass turns the other way around,
190,It's moving the other way around,
191,"Because the compass needle is now in the opposite direction to the original needle, it returns to the original direction",
192,It changes the other way around.,
193,"On the contrary, from south to north",
194,The direction of the needle is reversed,
195,I don't know.,
196,It changes into a current-flowing direction,
197,The compass needle is in the opposite directionI don't know,
198,It's moving the other way around.,
199,I don't know.,
200,It's moving the other way around,
201,I have no idea.,
202,The needle on the compass moves.,
203,It's moving the other way around,
204,It's moving the other way around.,
205,The needle moves the other way around,
206,The movement of the compass needle changes to the opposite side.,
207,It changes the other way around.,
208,It moves in the opposite direction.,
209,The compass will also move at the discharge of electricity,
210,The compass needle also changes in the direction of the current,
211,The compass needle changes its direction of movement,
212,.,
213,I don't know.,
214,The current changes to the stronger side.,
215,"When changing the direction of the current, the compass needle moves in the opposite shape of the wire.",
216,It's not turning.,
217,The needle moves in the direction of the current.,
218,It's going the other way!,
219,It's moving the other way around,
220,It's moving the other way around,
221,The compass needle moves with a different direction of current,
222,It's not moving,
223,You'll just be shaking.,
224,It spins faster,
225,It's the other way around,
226,Turn the other way around,
227,The needle in the compass won't move,
228,It's changing,
229,Boyfriends change the other way around,
230,The needle moves the other way around,
231,It changes the other way around,
232,The position of the compass needle changes,
233,The movement of the compass needle intensifies.,
234,It's not moving,
235,It's turning the other way around,
236,The compass needle also changes direction.,
237,It's turning 180 degrees,
238,It breaks down.,
239,I think it will move in the opposite direction.,
240,It's going the other way around.,
241,It changes to the opposite direction of the first one.,
242,It doesn't move,
243,It's moving the other way around.,
244,It's going the other way around.,
245,I don't know,
246,It's moving the other way around,
247,It's going the other way around,
248,I'll turn the other way around,
249,I don't know.,
250,I don't know,
251,I think it's going to move the other way around or break down,
252,I'll go to the other side,
253,I don't know,
254,I don't know,
255,As much as I could move... :'),
256,The compass also returns to the opposite direction of the original current flowing,
257,It changes the other way around,
258,with one's right foot,
259,The compass needle turns the other way,
260,I don't know,
261,I'll go the other way,
262,I don't know,
263,You'll know when you try it,
264,Change the direction of motor rotation,
265,I don't know.,
266,It's going the other way around,
267,It's changing nicely,
268,North,
269,It seems to change the direction of a needle.,
270,"On the contrary,",
271,I don't know.,
272,Will change the direction of the compass is.,
273,Moving backwards.,
274,"On the contrary, changed.",
275,Will go back to the opposite direction of the compass needle.,
276,Moving.,
277,"We change the direction of a compass over the contrary, the compass of eddy current.",
278,The compass needle is moving in the opposite direction in the direction of the first time.,
279,Biased to the side.,
280,Was taken.,
281,I don't know.,
282,I don't know.,
283,Rub of,
284,I don't know.,
285,I don't know,
286,?,
287,The opposite turns into a movement of the needle.,
288,The compass needle is the first time and to change the direction of current movement.,
289,"On the contrary, changed.",
290,Compass needle is heading to the changes.,
291,Moreugesseum,
292,It changes from the direction of the needle to the opposite direction.,
293,Opposite side,
294,The speed changes,
295,"Sorry, I don't know ~",
296,I don't knowDon't know,
297,In the opposite direction,
298,"On the contrary, go.",
299,Moreugesseum,
300,Compass direction of the opposite trends.,
301,"On the contrary, wouldn't go round?",
302,"2) Changing the direction of the current experiment, the movement of the compass needle is on what happens? *",
303,Will be a great compass needle moves.,
304,Changing,
305,"Big man,",
306,Is it to change the direction of,
307,Along with the direction of current.,
308,The direction is reversed.,
309,The compass pointed in opposite directions be.,
310,"Needle eumjigin for all flow, too.",
311,I don't know.,
312,"I don't know I don't know I don't know I don't know I don't know I don't know I don't know I don't know I don't know I don't know I don't know yomollayomollayomollayomollayomollayomollayomollayomollayomollayomollayomol rayomollayomollayomollayomollayomollayomollayomollayomollayomollayomollayo mollayomollayomollayomollayomollayomollayomollayomollayomollayomollayomolla yomollayomollayomollayomollayomollayomollayomollayomollayomollayomollayomol rayomollayomollayomollayomollayomollayomollayomollayomollayomollayomollayo mollayomollayomollayomollayomollayomollayomollayomollayomollayomollayomolla yomollayomollayomollayomollayomollayomollayomollayomollayomollayomollayomol rayomollayomollayomollayomollayomollayomollayomollayomollayomollayomollayo mollayomollayomollayomollayomollayomollayomollayomollayomollayomollayomolla yomollayomollayomollayomollayomollayomollayomollayomollayomollayoDon't knowYomolla, I don't know I don't know I don't know I don't know I don't know I don't know I don't know I don't know I don't know Mall rayomollayomollayomollayomollayomollayomollayomollayomollayomollayomollayo mollayomollayomollayomollayomollayomollayomollayomollayomollayomollayomolla yomollayomollayomollayomollayomollayomollayomollayomollayomollayomollayomol rayomollayomollayomollayo",
313,Namchimban a needle is going to turn elsewhere.,
314,The compass will turn the other way.,
315,The electric current is likely to go in the direction that it is going.,
316,I don't know.,
317,It turns upside down.,
318,Turn in the other direction.,
319,The needle will move in the other direction.,
320,It's going the other way around,
321,The needle is about to move ninety degrees.,
322,"If you change the direction of the current, the compass needle will also move in the changed direction.",
323,I think it will move the other way around.,
324,Magnet,
325,It won't move,
326,It is likely to move along with the current.,
327,It will move the other way around.,
328,The compass needle will move towards the current.,
329,I think the compass will move strangely,
330,"On the contrary,",
331,It's moving the other way around,
332,I think we'll move together.,
333,.,
334,It will change the other way around.,
335,The N pole points to the - direction and the S pole points to the + direction.,
336,Turn the other way around.,
337,.,
338,"On the contrary,",
339,It's stopping,
340,.,
341,The compass will be in the opposite direction.,
342,No change.,
343,"On the contrary, changed.",
344,Opposition,
345,It's changing.,
346,.,
347,It's turning 180 degrees.,
348,"On the contrary, changed.",
349,Of course. Turn 180 degrees.,
350,It changes the other way around,
351,The needle in the compass changes.,
352,It changes the other way around,
353,It's moving very minutely,
354,The position of the NS pole changes.,
355,It's going to be the opposite,
356,"The compass needle changes, too",
357,It's moving the other way around,
358,The compass moves in the opposite direction.,
359,It changes the other way around,
360,It's changing,
361,It's moving the other way around.,
362,It changes the other way around,
363,Move in the opposite direction.,
364,It will be in the opposite direction.,
365,"On the contrary,",
366,The other way around,
367,Move in the opposite direction.,
368,I don't know.,
369,"The direction of the magnetic field by the current is reversed, and the compass needle rotates in the opposite direction.",
370,It will be the other way around.,
371,It's changing,
372,"Changing the direction of the current changes the direction of the magnetic field according to Anper's law of the right screw, so the needle of the compass rotates in reverse.",
373,I don't know.,
374,I don't know,
375,It's moving in the opposite direction,
376,.,
377,"On the contrary,",
378,the opposite direction,
379,Opposition,
380,counterclockwise,
381,Changed,
382,It changes in the opposite direction,
383,It's going the other way around.,
384,It turns 180 degrees,
385,The movement of the needle will change in reverse.,
386,Opposition,
387,It changes the other way around,
388,It changes the other way around,
389,It's the same,
390,"Oh, come on",
391,The compass needle moves in reverse.,
392,"On the contrary, changed.",
393,The compass needle changes direction.,
394,The direction of the needle will be the opposite,
395,It changes in the opposite directionChanging,
396,I don't know.,
397,It's moving the other way around,
398,What are you doing?,
399,The compass is moving at will,
400,I don't know,
401,Turn the other way around.,
402,?,
403,The direction changes.,
404,I don't know.,
405,The direction of the compass changes according to the direction of the current.,
406,Needle moving to another place,
407,It's moving the other way around,
408,The needle moves to another place.,
409,It's changing,
410,It's moving fast,
411,It moves according to the current.,
412,I don't know.,
413,Don't know,
414,ã,
415,It's flipped upside down.,
416,The direction of the needle changes in reverse.,
417,It changes depending on the direction of the current.,
418,The movement of the compass needle changes because the flow of the magnetic field changes,
419,It's the other way around,
420,It moves in the opposite direction.,
421,Move in the opposite direction.,
422,The same reaction occurs in the opposite direction.,
423,It's moving the other way around.,
424,The needle rotates in the opposite direction.,
425,It changes the other way around,
426,The direction of the compass needle is reversed.,
427,I don't know,
428,It will move the other way around.,
429,I don't know.,
430,"In the picture, the compass needle rotates to the right.",
431,The direction of the compass needle is the opposite.,
432,The compass is in the opposite direction.,
433,"On the contrary, go.",
434,It goes back and forth.,
435,It moves the other way around.,
436,"When the direction of the current is changed, the direction of the magnetic field is also changed, so the compass needle also moves in a different direction from the previous direction.",
437,?,
438,It's the other way around,
439,"""On the contrary,",
440,"""",
441,Back to the original position,
442,"On the contrary,",
443,The compass needle moves the other way around.,
444,Don't know,
445,I don't know,
446,He he,
447,Because of the magnet,
448,I don't know,
449,It's moving the other way around.,
450,"Turn the other way around, move the same",
451,Changing,
452,?,
453,It's moving the other way around.,
454,?,
455,I think it's going to move the other way around,
456,.,
457,It's moving the other way around,
458,It's likely to change in the direction of current flow,
459,The compass needle moves in the opposite direction.,
460,"If the direction of the current changes, the direction of the magnetic field changes, and the compass moves in the opposite direction",
461,It's moving the other way around.,
462,It's moving the other way around.,
463,It's going the other way around.,
464,"If you change the direction of the current, the needle in the compass moves 180 degrees, making it the opposite direction",
465,"""It's the other way around, 180 degrees",
466,"""",
467,It moves in the opposite direction.,
468,It's moving the other way around,
469,It's going the other way,
470,69 74,
471,It's not moving,
472,"The direction of the current changes the direction of the magnetic field, so the compass needle moves in the opposite direction",
473,I'm going to go around once.,
474,It's moving the other way around,
475,It's moving the other way around,
476,It changes the other way around,
477,.,
478,It will change the other way around,
479,It shrinks in the opposite direction,
480,Changing,
481,"On the contrary, changed.",
482,It turns in the opposite direction,
483,The direction in which the N pole and the S pole are viewed changes.,
484,It moves the other way around.,
485,It changes the other way around,
486,It will rotate in the opposite direction to the original one.,
487,I don't know.,
488,It's moving the other way around.,
489,Don't know,
490,The compass will start to turn the other way around.,
491,The compass needle will not stop moving,
492,Rotate 180 degrees in the original direction,
493,The compass needle moves in reverse.,
494,It depends on the currentIt's moving the other way around,
495,Changing,
496,It moves a lot,
497,It's moving towards the current,
498,It's moving the other way around.,
499,"On the contrary,",
500,Changing,
501,It's move,
502,It's moving the other way around.,
503,Turn left,
504,It's moving the other way around.,
505,I think the needle will keep going that way.,
506,I think we'll move over there,
507,It's not moving,
508,I don't know.,
509,It moves a lot.,
510,I don't know,
511,I don't know.,
512,It changes the other way around,
513,"On the contrary,",
514,I don't know.,
515,I'm going to the other side,
516,It's moving backwards.,
517,It changes the other way around.,
518,The position turns upside down,
519,Push or pull,
520,The needle changes direction.,
521,Opposition,
522,It changes the other way around,
523,The needle also changes direction,
524,Changing,
525,damn,
526,I don't know.,
527,The needle turns the other way around,
528,I don't know. It's a yo-yoáá­Yoyo ããã,
529,I don't know.,
530,The compass will also be reversed,
531,It's moving the other way around,
532,It's moving the other way around,
533,The compass needle turns the other way around,
534,It works the other way around,
535,It's the other way around,
536,The compass needle moves in a different direction from the initial direction,
537,"""It turns the other way around",
538,"""",
539,The needle is reversed.,
540,It's moving the other way around,
541,I'll study harder.,
542,It's halfway around.,
543,I think it will move the other way around.,
544,I think it's going to go the other way around.,
545,I think it will go to n,
546,The needle in the compass moves more,
547,I think it's going to move the other way around.,
548,I don't think the compass needle will move.,
549,The compass needle points in the direction of the current.,
550,I don't know.,
551,I think it will move the other way around.,
552,It looks like it's going to move to the other side.,
553,It's moving in the opposite direction,
554,"I think the direction will change, too",
555,It's likely to follow the direction of the current,
556,I think it's going to move the other way around,
557,"""Magnet makes the needle move",
558,"""",
559,It's moving in the opposite direction,
560,It will head the other way around.,
561,"""It turns the other way around",
562,"""",
563,"If you change the direction of the current, it'll go the other way",
564,The compass needle wouldn't move.,
565,The compass needle will also change direction.,
566,The compass needle will follow in the direction of the current.,
567,I think the compass direction will also change direction.,
568,Changing the direction of the current will change the compass needle in the direction of the current.,
569,I don't know.,
570,It will move with the flow of electric current.,
571,It rotates in the same direction as the current,
572,The needle in the compass will move upside down.,
573,The needle is moving,
574,It changes the other way around,
575,?,
576,I don't know.,
577,Opposition,
578,It will go backwards.,
579,It will move in the opposite direction,
580,The compass moves the needle.,
581,The needle turns to the other side.,
582,I think I'm going to spin as I want.,
583,I don't know,
584,"You can move to the left, not the right.",
585,the opposite direction,
586,I'm going backwards,
587,The needle on the compass will move the other way around.,
588,It changes in the opposite direction,
589,It's moving the other way around.,
590,It's turning upside down,
591,Turn in the opposite direction,
592,Stopped and moved.,
593,It's moving the other way around.The opposite direction will change the direction of Antarctica and the North Pole.,
594,I think the compass vanel will turn the other way around,
595,I think I'm going to turn the other way,
596,"On the contrary, changed.",
597,It's turning into a cool thing.,
598,I don't know,
599,The movement of the compass needle toward the current is likely to follow.,
600,I don't know.,
601,Move it the other way around.,
602,to be able to move well,
603,It is likely to move as the current has changed its direction.,
604,I didn't even learn,
605,Let's go to the other side.,
606,I think it's going to go the other way,
607,In the opposite direction,
608,??,
609,The compass moves in reverse,
610,"When connected in reverse, the current flows in reverse, but it seems to move in the same way because it flows in the same way.",
611,The compass will move in the opposite direction,
612,It's going to change to the other side.,
613,The compass changes direction,
614,I don't understand.,
615,The compass changes direction.,
616,I don't know.,
617,It changes the other way around,
618,It's moving the other way around,
619,It changes the other way around.,
620,I don't know.,
621,"On the contrary,",
622,to the north,
623,Opposition,
624,There's a lot of fluctuation,
625,"On the contrary, changed.",
626,"The compass turns in the opposite direction, unlike the original one.",
627,The movement will be reversed.,
628,It will change the other way around,
629,It changes the other way around.,
630,the opposite direction,
631,The movement changes,
632,Move to the other side.,
633,It's turning the other way around,
634,It'll move the other way around,
635,It moves in the opposite direction,
636,There will be no movement of the needle.,
637,It's moving the other way around.,
638,It will go the other way around.,
639,The movement of the compass is likely to change so that the needles are placed side by side according to the direction of the current.,
640,The needle in the compass will point in the opposite direction.,
641,remain unchanged,
642,It's moving in the opposite direction,
643,The compass needle is expected to rotate in the direction of the current.,
644,It's changing,
645,I don't know,
646,"On the contrary,",
647,Changing,
648,It moves in the opposite direction.,
649,It's moving in the opposite direction,
650,Changing,
651,It will change the other way around,
652,..,
653,It changes the other way around.,
654,It changes the other way around.,
655,"On the contrary, changed.",
656,It's moving the other way around.,
657,The compass needle turns in the opposite direction.,
658,It's moving the other way around,
659,The other way around,
660,It changes the other way around,
661,It goes the other way around.,
662,It will change the other way around.,
663,It will move the other way around,
664,It works the other way,
665,"On the contrary, changed.",
666,It will go the other way around.,
667,It's the other way around,
668,"On the contrary,",
669,It's moving in the opposite direction,
670,Turn in the opposite direction.,
671,The compass needle also changes direction,
672,The compass needle also changes direction,
673,I don't know,
674,The direction changes to the direction of the current.,
675,It's moving the other way around.,
676,The movement of the compass needle is reversed.,
677,The direction of the needle is reversed,
678,The direction of the compass needle changes the same.,
679,The other way around,
680,It changes the other way around,
681,a backward movement,
682,It will be the opposite of before the compass needle changed.,
683,The compass needle will move the opposite way before changing.,
684,It's moving the other way around.,
685,The compass will turn the other way.,
686,The compass moves in reverse.,
687,"The compass will change direction, too.",
688,N o m n o m,
689,I don't know that again.,
690,The N and S poles change,
691,I don't know,
692,Point northThe needle is likely to move in the direction of the current.,
693,The needle moves in reverse,
694,Follow the direction of the current,
695,"Left? Right? Right? Left, right, right",
696,It looks like it's going to move the other way.,
697,The movement of the needle is reversed.,
698,I feel like I'm going to keep spinning like a propeller,
699,I don't think the compass needle will move.,
700,The needle keeps spinning,
701,The needle shakes from side to side,
702,It's turning the other way around,
703,d,
704,It's moving the other way around,
705,It will change,
706,I think the direction will go the other way.,
707,I think I'll stay still.,
708,It's the other way around,
709,"If we change the direction of the current, the compass will turn in the opposite direction",
710,I think the needle's movement will be reversed,
711,I don't know.,
712,"Changing the direction of the current will change the N and S poles. Therefore, the direction of movement of the N pole and the S pole of the compass will be changed, and the compass needle will be changed in the opposite direction.",
713,You can move the compass little by little with the magnetically,
714,It changes in a different direction,
715,"Changing the direction of the current changes the direction in which the current flows If the direction of the current changes, the direction of the magnetic field also changes The needle in the compass will move in the opposite direction of its original motion by a changed magnetic field",
716,It's going to move in the opposite direction of the original direction.,
717,The needle is likely to move in reverse or erratically.,
718,"When the upper side is called the -pole, the direction of the magnetic field is counterclockwise around the wire, so the direction of the needle of the first compass located on the wire is the n pole on the right side and the s pole on the left side. If the direction of the current changes, the direction of the magnetic field from the bottom is the -pole, and the direction of the magnetic field is counterclockwise around the wire, so the direction of the needle of the compass is the n pole on the left and the s pole on the right.",
719,The compass needle is about to spin.,
720,"Changing the direction of the current also changes the direction of the magnetic field flowing around the circuit. Therefore, the movement of the compass needle will also change.",
721,"When a current flows to an electric wire, a magnetic field is formed in a counterclockwise circle around the electric wire. Therefore, if the direction of the current changes, the direction of the magnetic field will change, and so will the direction indicated by the compass needle.",
722,It changes the other way around,
723,I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.,
724,"A magnetic field is formed along the direction in which the current flows. If the direction of the current changes, the flow of the current will change, and if the flow of the current changes, the direction of the magnetic field will also change. The compass moves according to the direction of the magnetic field, and when the direction of the magnetic field changes, the direction of the magnet also changes.",
725,"""",
726,The compass needle turns the other way around.,
727,The compass needle will move to the same degree and only the direction will be reversed.,
728,"The magnetic field is greatly affected by electric current. Changing the direction of the current causes the magnetic field to act in reverse. Therefore, the compass needle will also move in reverse compared to before changing the direction of the current.",
729,"If you change the direction of the current, the compass needle will not move.",
730,"On the contrary,",
731,You see the south,
732,It's moving the other way around,
733,The current changes in the direction of flow,
734,It changes the other way around.,
735,It changes the other way around,
736,It's a good turn,
737,The compass needle in the first experiment is likely to move in reverse.,
738,I don't think it's gonna move,
739,It doesn't move.,
740,It's moving,
741,The compass moves westward,
742,It moves in the opposite direction.,
743,"On the contrary, changed.",
744,It changes the other way around.,
745,It's moving the other way around.,
746,"In the above experiment, the way to change the direction of the current is to change the position of the electrode and change the direction of the current",
747,I don't know.,
748,I haven't learned it yet.,
749,I don't know,
750,I'm following you,
751,I didn't learn it.,
752,I'm following you,
753,I didn't learn it,
754,It sounds strange.,
755,It's turning to the other side,
756,Follow the current.,
757,The needle moves to the other side,
758,I think it'll go the other way,
759,It's moving the other way around,
760,I'll follow you.,
761,The movement of the needle is the opposite,
762,The compass needle is likely to move in the direction of the current.,
763,Go back to the other side,
764,I don't know,
765,be likely to return in the direction of electricity,
766,The needle is likely to move to the other side.,
767,I'm going that way,
768,I think it will change as it is.,
769,Movements,
770,"If you change the direction of the current, the red needle goes the other way.",
771,It's breaking,
772,"On the contrary, changed.",
773,It changes the other way around.,
774,facing in the opposite direction,
775,It works the other way around.,
776,The direction of the needle bending is reversed.,
777,The needle changes to the other side.,
778,The movement changes in reverse.,
779,It's moving the other way around.,
780,"On the contrary, changed.",
781,"On the contrary, changed.",
782,It becomes the opposite.,
783,It works the other way around.,
784,"On the contrary,",
785,It changes the other way around.,
786,It's going the other way around.,
787,It's moving the other way around.,
788,It changes the other way around.,
789,Move the other way around.,
790,"On the contrary,",
791,"Move in the direction of the wireAccording to the right screw's law, the compass moves in the opposite direction of the original movement (from the view shown in the picture to the left).",
792,It's moving the other way around,
793,It becomes a station.,
794,Move to the other side.,
795,It will move the other way around.,
796,It becomes the opposite,
797,The needle of the compass appears in the opposite direction of the previous experiment.,
798,It's going the other way around.,
799,The compass is in the opposite direction.,
800,Changing,
801,It changes in the opposite direction,
802,"On the contrary, changed.",
803,It's moving the other way around,
804,Same.,
805,It's moving the other way around.,
806,"On the contrary, changed.",
807,It is pointed in the opposite direction.,
808,It's moving the other way around.,
809,It'll move the other way around,
810,Turn to the other side,
811,"Unlike the experiment above, the current moves in reverse.",
812,Face the opposite side.,
813,It will turn the other way around,
814,The needle moves in the direction of the changed current.,
815,The direction of the compass needle is reversed.,
816,It's going the other way around.,
817,"Before changing, the needle rotates in the opposite direction of rotation.",
818,I don't know,
819,It's moving the other way around.,
820,"When the direction of the current changes, the direction of the magnetic field around the wire changes, and the needle of the compass moves in the opposite direction to the first.",
821,I'm not sure.,
822,"On the contrary,",
823,The needle moves in reverse.,
824,It's moving in the opposite direction,
825,It's moving,
826,Move in the opposite direction to the first movement.,
827,It changes the other way around,
828,It changes in a different direction,
829,It changes the other way around,
830,Quickly.,
831,"If the intensity of the current is the same, it will return to the same angle and the opposite direction.",
832,"It'll change with the flow of electricity, right?",
833,Wouldn't it move the other way?,
834,I think it'll change the other way around,
835,ãã¹ã,
836,It moves in the direction of the current,
837,You're going to point in the opposite direction.,
838,the opposite movement,
839,I think it's going to go the other way around and shake it,
840,The movement is likely to change the other way around,
841,"Changing the direction of the current changes the direction of the + pole and the - pole, so the movement of the compass needle changes in reverse.",
842,It will change the other way around.,
843,I think it will be the same.,
844,It changes the other way around,
845,It will spin around,
846,It will spin around,
847,I think it's going to move with the current,
848,The needle follows the direction of the current,
849,Move in the direction of the current,
850,k,
851,I don't know.,
852,It's going the other way around,
853,It's the other way around,
854,.,
855,It's not moving,
856,"On the contrary,",
857,Move in the opposite direction.,
858,"On the contrary,",
859,"On the contrary,",
860,to change in the opposite direction,
861,It changes the other way around,
862,It's turning the other way around,
863,.,
864,It changes to the other side,
865,It changes to the other side,
866,.,
867,The movement moves in reverse.,
868,It's the other way around,
869,.,
870,It changes the other way around,
871,It's the opposite,
872,in all directions,
873,The direction of the compass needle will be reversed.,
874,It changes the other way around,
875,It changes the other way around,
876,What?,
877,It's moving in the opposite direction,
878,It turns in the opposite direction,
879,It's moving the other way around.,
880,Move to the other side.,
881,The direction of the current changes.,
882,It changes the other way around,
883,It turns in the opposite direction,
884,Move to the other side,
885,It turns in the opposite direction.,
886,It becomes the opposite,
887,Turn in the opposite direction.,
888,It's not moving,
889,I don't know.,
890,I don't know.It will move in the opposite direction to the first.,
891,It spins in the opposite direction,
892,I don't know.,
893,"On the contrary, changed.",
894,sorry,
895,It changes the other way around,
896,M,
897,It changes the other way around.,
898,It's spinning,
899,The needle in the compass moves the other way around.,
900,Changing the direction of the current causes the compass needle to move in reverse.,
901,It changes the other way around,
902,"On the contrary,",
903,The direction changes to the current,
904,I'll go backwards,
905,I don't know.,
906,?,
907,Changing,
908,"On the contrary, go.",
909,ã·ã´ã¹ã´ã·ã¹ãã·ã±ãì£»ë¾ã·ãã·ã,
910,I don't know,
911,"Here, here",
912,I don't know.,
913,"If the current is redirected, the compass needle is likely to go towards the current.",
914,I don't know.,
915,I went to look west.,
916,"On the contrary, go.",
917,I think it's going to change,
918,I change it the other way around.,
919,It changes the other way around,
920,The compass needle moves in the same direction as the current goes in the direction.,
921,The direction of the current changes,
922,The compass needle won't move.,
923,It changes the other way around.,
924,upside down,
925,upside down,
926,The compass moves in the opposite direction,
927,It will move in the direction of the current.,
928,The compass needle moves.,
