,1) Please present as soon as you know what the people's rights are related to the example of Hong Gil-dong. ,q31_discrimination,q31_job,q31_judgment,q31_human rights
73,"the right to work, the right to sue, the right to stand trial three times",,,,
74,"equal rights, liberty, social rights, claims, suffrage",,,,
75,the right to offer an opportunity,,,,
76,"equal rights, the right to sue, the right to work",,,,
77,the right to freedom,,,,
78,the right to work,,,,
79,equal rights/social/economic freedom,,,,
80,I don't know,,,,
81,the right to claim,,,,
82,equal rights,,,,
83,Complaint for discriminating against people with disabilities,,,,
84,You can't discriminate just because you're disabled,,,,
85,the right to work,,,,
86,"the right to work, the right not to be discriminated against for reasons such as disability, the right to equality",,,,
87,equal rights,,,,
88,Constitution. All human beings have rights.,,,,
89,"Humans have the right to be respected regardless of disability, gender, age, religion, etc.",,,,
90,"The right not to be unfairly discriminated against due to gender, religion, disability, etc.",,,,
91,"Freedom, basic rights, life security, protection of the socially disadvantaged, etc",,,,
92,human right,,,,
93,the suffrage of liberty and suffrage,,,,
94,Work and Welfare Act for Persons with Disabilities,,,,
95,"""Right not to be discriminated against",,,,
96,"the right to freedom.""",,,,
97,"""Freedom of Work""",,,,
98,"freedom of litigation""",,,,
99,the right to know,,,,
100,respect for human rights,,,,
101,"""+ the right to a job (the right to make money)",,,,
102,"+ Right to be happy""",,,,
103,"The right to work, the right to freely go to the company you want to go to",,,,
104,I don't know,,,,
105,the right of the socially disadvantaged to be protected,,,,
106,the right of liberty,,,,
107,the right to trial,,,,
108,The people have a right not to be discriminated against.,,,,
109,human right,,,,
110,the right to work without discrimination against disability,,,,
111,have the right to claim,,,,
112,The people are guaranteed freedom,,,,
113,You cannot be discriminated against for having a disability,,,,
114,human right,,,,
115,Don't know,,,,
116,"Respect for human rights, people's right to vote, etc",,,,
117,"the right to make a free choice, the right to sue",,,,
118,freedom and human rights,,,,
119,The sovereignty of the state is vested in the people.,,,,
120,be able to present one's opinion,,,,
121,I don't know anything.,,,,
122,I don't read more than three lines,,,,
123,"Human rights, democracy, etc",,,,
124,"Human rights, democracy, etc",,,,
125,I don't know.,,,,
126,People with disabilities should take the same company exam and give rights to people with disabilities,,,,
127,You have the right to work even with a disability,,,,
128,I don't know.,,,,
129,You can't ignore a handicapped person,,,,
130,There are a lot of people.,,,,
131,the right to do one',,,,
132,I don't know.,,,,
133,.,,,,
134,the right to sue,,,,
135,.,,,,
136,human right,,,,
137,I don't know a thing about rights.,,,,
138,The rights of the people can be decided on their own.,,,,
139,to be able to eat rice,,,,
140,I think the rights of the people are universal rights that a person can have in life.,,,,
141,the right to freedom,,,,
142,The people can work freely and get the job they want.,,,,
143,You can do anything even if you have a disability,,,,
144,People with disabilities should not be discriminated against,,,,
145,the right not to be discriminated against,,,,
146,"Oh, no. You",,,,
147,You can't ignore a disability,,,,
148,the right to work even with a disability,,,,
149,I don't ignore it because I have a disability,,,,
150,They let you get a job without discriminating against you because you're disabled,,,,
151,the right to choose the job one wants,,,,
152,"People with disabilities are like us, everyone is equal",,,,
153,The right to choose the job you want.,,,,
154,the right not to discriminate due to disability,,,,
155,"Respect for human rights, freedom of work, and oppression of freedom are prohibited",,,,
156,have professional freedom,,,,
157,"This is because the people have freedom, equality and basic rights.",,,,
158,Hong Dong-gil's case has the right not to be discriminated against by physical conditions,,,,
159,"Human rights system,",,,,
160,Let's not ignore the disabled,,,,
161,"the right not to be discriminated against by physical conditions, the right to choose the job one wants",,,,
162,Hong Gil-dong's right not to be discriminated against,,,,
163,"Hong Gil-dong's right not to be discriminated against, don't ignore the disabled and don't discriminate!",,,,
164,"You can have freedom, etc",,,,
165,protection of human rights,,,,
166,The right to enter the desired company.,,,,
167,Facilities for the Disabled,,,,
168,the right to vote,,,,
169,eligibility for protection,,,,
170,"the right to work if you have a disability but do not interfere with your work, as if you have an uncomfortable disability in your hands",,,,
171,I don't understand.,,,,
172,People with disabilities also have the right to get a job.,,,,
173,Something that everyone can have a job as much as possible,,,,
174,Number three. Trialable,,,,
175,I don't understand what you mean.,,,,
176,the right not to be discriminated against,,,,
177,Everyone's power must be fair,,,,
178,the right not to be discriminated against,,,,
179,"The right of the company to respect people, not to be discriminated against for having a disability",,,,
180,People with disabilities also have human rights. You have the right not to be discriminated against because you have a disability.,,,,
181,I need help when I'm not feeling well,,,,
182,Am I a lawyer?,,,,
183,a pot that won't be discriminated against as a funeral home,,,,
184,"the right of the disabled, the right of all men and persons",,,,
185,People with disabilities also have the right to get the job they want,,,,
186,People have the right to respect human rights without discrimination.,,,,
187,"""",,,,
188,"freedom of work, equality",,,,
189,Human rights should be respected.,,,,
190,"We must abide by the laws of the country.""",,,,
191,Someone gets another company or job.,,,,
192,"Every citizen has the right to live freely, not discriminated against.  Every citizen has the right to pursue his or her happiness. There is a right and human rights must be respected.",,,,
193,The people have a right to be respected.,,,,
194,"All men are equal, and they have the right to be respected",,,,
195,to have the right to not be discriminated against,,,,
196,I don't know,,,,
197,People with disabilities can also get a jobPeople with disabilities are also people.,,,,
198,equality and fairness,,,,
199,human right,,,,
200,You cannot ignore people just because you have a disability. The right is on oneself. Let's not live with the prejudice of disability.,,,,
201,I don't know anything,,,,
202,seem to ignore the disabled,,,,
203,?,,,,
204,Poor people can live like others.,,,,
205,human right,,,,
206,A system that allows people to work and be respected as human beings even if they have disabilities,,,,
207,The people are all equal.,,,,
208,Every citizen has the right to sue.,,,,
209,"Even if you have a disability, you have the right to respect human rights.",,,,
210,"have the right to sue""",,,,
211,People were equal,,,,
212,"Right to play, right to study, etc...",,,,
213,People with disabilities should not be ignored or criticized.,,,,
214,I'm going to argue,,,,
215,I don't think it's right to judge that people are all equal and that they are incapable of a person because they have a disability like above.,,,,
216,Human rights/all equality/disability recognized by the company,,,,
217,There will be something in the rights of the people that can work even if they are hurt. And it is wrong to discriminate against people who are more uncomfortable than themselves because they have a disability.,,,,
218,the right to work freely,,,,
219,"""1. Even if you have a disability, you don't have to leave the company if your work is not disrupted",,,,
220,"2. All citizens should be given equal opportunities.""",,,,
221,"I don't know, but I know that in the constitution, Dwight de l'Homme, people can always do what they want with fair rights regardless of disability. If Company A found fault with its resume, it would have failed to file a lawsuit, but Company A foolishly suggested a bone, so it could be called the Constitution. Article a, cb of the Constitution also specifies this part in detail. Details below are omitted.",,,,
222,the right to make money,,,,
223,All citizens are equal and should not discriminate against the disabled.,,,,
224,three rounds of rock-paper-scissors,,,,
225,Hong Gildong is the best!,,,,
226,I don't know,,,,
227,"Korean citizens can only be tried three times, and even disabled people should not discriminate.",,,,
228,"Even if you have a disability, you can freely choose a job.",,,,
229,All citizens aged 19 will have the right to vote.,,,,
230,Black,,,,
231,All men are equal before the law.,,,,
232,One trial and two appeals?,,,,
233,I don't know,,,,
234,All people must be equal,,,,
235,I don't know because I majored in natural sciences,,,,
236,the right to pursue happiness,,,,
237,I don't know.,,,,
238,a loss of honorably,,,,
239,I don't know.,,,,
240,"Freedom, right to work, suffrage, social rights, human rights, equal rights",,,,
241,"""There must be a good reason to give notice of dismissal",,,,
242,At least give notice of dismissal before the deadline,,,,
243,All citizens must be equal,,,,
244,I don't know.,,,,
245,The right to report discrimination for disability.,,,,
246,I don't know,,,,
247,It allows you to do what you want to do what you want to do,,,,
248,You can work at a company even if you are in a market,,,,
249,I don't know.,,,,
250,I don't know.,,,,
251,I don't know,,,,
252,"I'm blind, but the company says no",,,,
253,I don't know...,,,,
254,"There are many things you can do even if you have a disability, but I think people with disabilities have the right not to be discriminated against unconditionally.",,,,
255,I don't know,,,,
256,You can find a job even if you have a disability.All people's rights are equal.,,,,
257,I don't know...,,,,
258,I don't know.,,,,
259,I don't know.,,,,
260,be able to work even with a disability,,,,
261,Every human being has the right to pursue freedom and equality.,,,,
262,the right not to be discriminated against the right to be protected,,,,
263,All citizens have the right to freedom and equality within their sphere of life. All citizens must be guaranteed human rights at all times,,,,
264,You need to have the right to guarantee your human rights and you can't violate other people's human rights,,,,
265,Freedom to have a job regardless of disability,,,,
266,"What I can sue for, what I can say",,,,
267,equal rights,,,,
268,the right to voice one's opinion,,,,
269,Everyone should be guaranteed human rights.,,,,
270,"My right to voice my opinion""",,,,
271,I don't know.,,,,
272,the right of the disabled not to be discriminated against,,,,
273,The people have the right to be guaranteed in all their daily lives,,,,
274,the right to be guaranteed,,,,
275,Don't know,,,,
276,the right to freely express one's mind,,,,
277,the right to work,,,,
278,I don't know.,,,,
279,the three-trial system,,,,
280,It presents the right to equality that both the disabled and normal people have human rights.,,,,
281,equal rights,,,,
282,I don't know.,,,,
283,All citizens are equal.,,,,
284,Human dignity and the right to seek happiness,,,,
285,I don't know.,,,,
286,a handicapped person,,,,
287,I don't know.,,,,
288,"Freedom, equality, social rights, suffrage, claim, social rights",,,,
289,None.,,,,
290,"They are the basic rights stipulated in the Constitution: the right to freedom, the right to claim",,,,
291,"Human dignity, values, and the right to pursue happiness",,,,
292,I don't know.,,,,
293,human right,,,,
294,I don't know,,,,
295,the three-trial system,,,,
296,a claim?,,,,
297,human right,,,,
298,duty of tax payment,,,,
299,the three-trial system,,,,
300,?,,,,
301,Society is a bit...,,,,
302,Every citizen has freedom.,,,,
303,I don't understand.,,,,
304,the right to freedom,,,,
305,Don't know,,,,
306,the right to do what one wants to do,,,,
307,the right to at least be respected as a human being,,,,
308,"Basic rights, living rights,",,,,
309,"the right to life, the right to claim, the right to vote, the right to obligation",,,,
310,"Human rights, freedom, and so on",,,,
311,equal rights,,,,
312,the right of equality,,,,
313,"Social rights, equal rights, and free rights.",,,,
314,I don't know.,,,,
315,the right of liberty,,,,
316,the right to guarantee human rights,,,,
317,All citizens have equal rights regardless of disability.,,,,
318,the right to work,,,,
319,"the right to freedom, the right to society, the right to live like a human being,",,,,
320,I don't know,,,,
321,.,,,,
322,People with disabilities or whatever have equal rights.,,,,
323,It's going to be far.,,,,
324,All citizens have equal rights regardless of disability.,,,,
325,People with disabilities also have the right to work.,,,,
326,"""Basic Rights",,,,
327,equal rights,,,,
328,the right of liberty,,,,
329,"""Social rights""",,,,
330,Freedom and equality to enter the company,,,,
331,People with disabilities should be treated equally.,,,,
332,"Even if you have a disability, you have to give the privilege of the disabled and examine them",,,,
333,"Industrial accidents are insured, actual expenses come out, money comes out, minimum right to work",,,,
334,the right to equality,,,,
335,This is because the people have the right to work freely regardless of disability,,,,
336,"""1. Right of Freedom",,,,
337,2. suffrage,,,,
338,"3. ""Social rights""",,,,
339,equality and freedom,,,,
340,"""Yes, yes",,,,
341,"""",,,,
342,the right to guarantee happiness,,,,
343,"All citizens are equal, the right to work",,,,
344,"the right to work, the right to society, the duty of labor",,,,
345,"Everyone has the right to be free, to be happy, to be respected.",,,,
346,1),,,,
347,"Article 1, Paragraph 10 of the Constitution of the Republic of Korea All citizens have dignity and value as humans and have the right to pursue happiness. The state is obligated to confirm and guarantee the inviolable basic human rights of individuals.",,,,
348,"In the Constitution, among the rights of the people, the people can work according to their free will.",,,,
349,"""Human rights""",,,,
350,"""",,,,
351,Fairness,,,,
352,I don't know.,,,,
353,I don't know,,,,
354,very well,,,,
355,I don't know,,,,
356,be able to do free economic activities,,,,
357,I don't know,,,,
358,"A woman can be an aviator, too",,,,
359,Do not discriminate against the disabled,,,,
360,the right to respect,,,,
361,human right,,,,
362,I went in confidently.,,,,
363,the right to help the disabled,,,,
364,the rights of minorities,,,,
365,"Lee Hee-ah. Lee Hee-ah achieved her dream even though she has four fingers, so no matter how disabled she is, it doesn't mean she can't do what she wants",,,,
366,I don't know,,,,
367,"I think it's a little embarrassing for the company to not be able to get a job because of the disability, so I hope that there will be no more discrimination for the reason of the disability in the future.",,,,
368,People with disabilities should not be ignored or demeaned.,,,,
369,the right to all one's heart's content,,,,
370,I don't know,,,,
371,Ahn Junggeun and Yoo Kwansoon,,,,
372,The right to be born...,,,,
373,To discriminate against a minority without seeing ability,,,,
374,I don't know.,,,,
375,not discriminate against one's identity,,,,
376,It seems to be a right related to freedom among the rights of the people.,,,,
377,"Right of freedom, right of equality, etc",,,,
378,..........,,,,
379,human right,,,,
380,human right,,,,
381,the right of liberty,,,,
382,to re-provide jobs for people with disabilities,,,,
383,to provide jobs for the disabled,,,,
384,Must be equal,,,,
385,It helps the minority and the disabled.,,,,
386,human right,,,,
387,duty of tax payment,,,,
388,"1 If you try once and you can't follow the result, you can try up to three times, you can bring the case back to the country, you can go to the job you want.",,,,
389,"Right to freedom, right to equality, right",,,,
390,an indifferent right not to be discriminated against,,,,
391,People with disabilities can also have jobs,,,,
392,N and M.m,,,,
393,h,,,,
394,"""-the right to choose the job you want to do",,,,
395,"-Right to sue- The right to trial""",,,,
396,The National Assembly can only be determined by the State,,,,
397,the right to be protected,,,,
398,I don't know.,,,,
399,the right to work,,,,
400,"Even if you have a disability, you must evaluate your true abilities",,,,
401,I don't know.,,,,
402,"The right of equality not to be discriminated against for having a disability, everyone has the right to sue, and a three-trial system is guaranteed that can be sued three times for a single case.",,,,
403,human right,,,,
404,the right to know,,,,
405,I don't know,,,,
406,I have to let the company in just because I have a disability,,,,
407,.,,,,
408,We should allow disabled people to do what they can,,,,
409,Don't discriminate.,,,,
410,I don't know.,,,,
411,The people of the Republic of Korea have freedom of religion and the right to work in a comfortable workplace. They do not discriminate against disabled people,,,,
412,I don't know.,,,,
413,People with disabilities are equal,,,,
414,All men are equal.,,,,
415,You need to be protected,,,,
416,Let me work from home.,,,,
417,human right,,,,
418,All citizens are guaranteed basic rights.,,,,
419,human right,,,,
420,"Even if you have a disability, you can get a job if you have no problems in progressing your work.",,,,
421,"Even if I have a disability, I can go to work or work part-time",,,,
422,You have the right to work even if you have a disability,,,,
423,I can work even if I have a disability,,,,
424,People who are injured should work equally.,,,,
425,the right to get a job at a company one wants,,,,
426,I don't understand.,,,,
427,You have the right to do what you want.,,,,
428,I don't understand.,,,,
429,the right to work in Jean-Ae India,,,,
430,I'm not sure.,,,,
431,"In other countries, you should not discriminate even if you are not feeling well. (All men must be equal.)",,,,
432,According to the will of the people...?,,,,
433,It is the right to equal rights and not discriminate.,,,,
434,People should not all be discriminated against.,,,,
435,People with disabilities cannot discriminate.,,,,
436,I don't know.,,,,
437,human right,,,,
438,All men are equal.,,,,
439,"There are eating, sleeping, studying, and so on",,,,
440,The right to test only skills without discrimination even if there is a disability.,,,,
441,the right to work,,,,
442,The rights of the Republic of Korea belong to the people.,,,,
443,All citizens are equal without discrimination.,,,,
444,You have the right to vote in an election.,,,,
445,when you are a foreigner,,,,
446,voting in an election,,,,
447,duty to work,,,,
448,I am not aware of the rights of the people presented by the Constitution.,,,,
449,the right not to be discriminated against,,,,
450,Everyone should be treated equally.,,,,
451,"the right to work, the right not to be discriminated against",,,,
452,Human rights and equal rights.,,,,
453,Work Act for Persons with Disabilities,,,,
454,"the right to equality, the right to protect the weak",,,,
455,All men are equal,,,,
456,the right to work,,,,
457,human right,,,,
458,The people were born with equal rights.,,,,
459,"""Can you do what you want to do even if you have a disability?",,,,
460,"""",,,,
461,The people have the equal right to be treated equally and the right to justice,,,,
462,"Civil rights, natural rights, the right to be protected by the state, the right not to be treated unfairly",,,,
463,The people have the right to work,,,,
464,the right to work,,,,
465,Everyone has the right to be equal.,,,,
466,protection of human rights,,,,
467,equal rights,,,,
468,the right of equality,,,,
469,equal rights,,,,
470,"The people are uncomfortable without disability equality, but I think it is right to work if you can. But I don't know what the rights of the people are",,,,
471,the right to vote per person,,,,
472,equal rights,,,,
473,the right to work fairly,,,,
474,natural rights,,,,
475,the right to freedom and equality,,,,
476,I don't know.,,,,
477,"No discrimination against persons with disabilities, treatment of persons with disabilities",,,,
478,All people are equal,,,,
479,"I wanted to work at a company,",,,,
480,Disability discrimination,,,,
481,I don't know.,,,,
482,I can work at a company even if I have a disability.,,,,
483,"Even if you have a disability, you can go in if you do well?",,,,
484,"the right to a disabled person, the right to sue, the right to a job",,,,
485,have human rights (??),,,,
486,People with disabilities can' work?,,,,
487,"People with disabilities are all the same, and we are equal",,,,
488,"Even if you have a disability, you have the right to interview the company.",,,,
489,"My rights are not in the possession of others, they are in the possession of myself.Therefore, Group A's company violated the rights of the people.violation of human rights",,,,
490,human right,,,,
491,Not discriminated against even with disabilities? Human rights?,,,,
492,Let's be safe,,,,
493,one's right not to be discriminated against,,,,
494,"Human rights for persons with disabilitiesAll citizens have equal rights. Therefore, it is ridiculous that Hong Gil-dong cannot work for a company because he has a disability in the company even though he can do enough work on himself.",,,,
495,"If you don't have a major disability, you can go to the company.",,,,
496,People with disabilities go to work,,,,
497,A person has the right to enter a company,,,,
498,No Discrimination,,,,
499,Disability discrimination,,,,
500,Disability discrimination,,,,
501,"""Elections for All Adults""",,,,
502,"""",,,,
503,three-way ticket,,,,
504,There must be equality.,,,,
505,Don't discriminate.,,,,
506,I am not familiar with the constitution.,,,,
507,I don't know,,,,
508,I don't know,,,,
509,I don't know,,,,
510,I don't know,,,,
511,I don't know,,,,
512,I don't know,,,,
513,I don't know,,,,
514,I don't know,,,,
515,I don't understand...,,,,
516,I don't know.,,,,
517,"Even if you are disabled, you can find an easy job. (Job Center)",,,,
518,I don't know.,,,,
519,I don't know,,,,
520,the right to support people with disability,,,,
521,People who are uncomfortable have the right to work and learn.,,,,
522,I don't know,,,,
523,Freedom,,,,
524,I don't know,,,,
525,People have the right to work.,,,,
526,be ignorant of the law,,,,
527,have a prejudice that one can't work just because one is in the market,,,,
528,M and D,,,,
529,"Mr. Hong Gil-dong thinks that despite the disability, he is not going to the Constitution by beating Company A.",,,,
530,I don't know.,,,,
531,I don't know,,,,
532,I respect everyone,,,,
533,Being able to work even if you have a disability Disgusting or uncomfortable discriminating.,,,,
534,have no idea,,,,
535,I have a right,,,,
536,The rights of the people belong to the people.,,,,
537,I don't know.,,,,
538,People with disabilities also have the right to work.,,,,
539,The people elect the president,,,,
540,People are free to work.,,,,
541,Don't discriminate against people with disabilities,,,,
542,People with disabilities and people without disabilities are equal.,,,,
543,The people should be free from the country,,,,
544,"That way, we can vote",,,,
545,I don't know,,,,
546,I don't know.,,,,
547,I don't know,,,,
548,All men are equal.,,,,
549,People with disabilities can also work.,,,,
550,I'm hungry.,,,,
551,"equal rights, social rights, claims",,,,
552,"The people basically have the right to claim, social rights, and freedom based on human rights.",,,,
553,"Freedom, suffrage,",,,,
554,"the right of liberty, the right of claim, the right of solidarity",,,,
555,"It protected the right to work among the social rights to be guaranteed to work. Equal rights were violated because they had a disability, and the right to claim a trial against Company A was exercised.",,,,
556,"The people's rights related to Hong Gil-dong's example include the right to claim, the right to equality, and the right to freedom",,,,
557,the right of equality,,,,
558,"the right of liberty, the right of society, the right of claim",,,,
559,have the right to be undiscriminatory and to sue for the damage one has suffered on matters,,,,
560,"""People are not discriminated against due to their right to equality, physical disability or illness.",,,,
561,"Claim, Hong Gil-dong, has the right to claim to correct his rights when he thinks they have been unfairly violated.",,,,
562,"Hong Gil-dong, who has freedom, has the right to choose and work for the company he wants to work for himself unless there is a problem. """,,,,
563,"The right of citizens to be treated equally and not discriminated against by gender, religion, or any physical condition",,,,
564,"Among the rights of the people presented by the Constitution, those that fall under the example of Hong Gil-dong have the right to freedom, equality, and claim.",,,,
565,He has the right to seek a trial from the state in the event of an injustice,,,,
566,"the right of liberty, the right of claim",,,,
567,Equal rights to be treated fairly and not discriminated against by others,,,,
568,"There are freedom of migration to move to and live in the area I want, human rights that will be treated equally for everyone, the right to live in a clean environment, the right to self-determination to make decisions at will, and the right to participate in politics.",,,,
569,There are equal rights and claims.,,,,
570,The Constitution guarantees the people's freedom of choice of occupation and the right to social equality.,,,,
571,"They have a right to equality regardless of disability. Since everyone has universal natural rights, disability should not be allowed to infringe on their rights. In addition, there is a right to request a trial to file a lawsuit and make a trial.",,,,
572,"Like Hong Gil-dong, the Constitution has the right to equality to live without discrimination from others even if they become disabled due to acquired or innate factors, and the right to work in the workplace they want to work for is also presented.",,,,
573,"Although Hong Gil-dong had a disability, he had no major problems in his daily life such as computer manipulation. However, the fact that Company A cannot work for Hong Gil-dong just because he has a disability can be seen as an act of depriving him of the rights of equality and freedom stipulated in the Constitution.",,,,
574,"The rights of the people related to the example of Hong Gil-dong have the right not to be discriminated against and to receive a fair trial. Hong Gil-dong suffered a hand injury due to a traffic accident, but there was no significant obstacle to his daily life. However, company A did not hire him because it discriminated against him just because he had a hand problem. Accordingly, Hong Gil-dong filed a lawsuit against the company and won the case through three trials.",,,,
575,"Representatively, one of the basic human rights, the social right, has the right to labor. This means that everyone can participate in labor without restrictions.",,,,
576,"have equal rights You have the right to work for a company even if you have a hand problem. In addition, I think there is a social right to guarantee a minimum life as a citizen.",,,,
577,He is the same person even if he is disabled.,,,,
578,the right to work,,,,
579,the right to freedom and equality,,,,
580,All men are equal,,,,
581,.,,,,
582,"freedom of choice of occupation, the right to protest through the state if there is an injustice, or the right not to be discriminated against",,,,
583,Discrimination against disability x freedom,,,,
584,"I don't know what it is, but it seems that there is a right not to be violated by disability, property, or status",,,,
585,human right,,,,
586,We are equal,,,,
587,We are equal,,,,
588,I don't know.,,,,
589,the right of human dignity,,,,
590,the rights of the people,,,,
591,I don't know.,,,,
592,Human rights must be guaranteed,,,,
593,"the right to be protected, the right of all equal rightsthe right to seek happiness",,,,
594,the three-trial system,,,,
595,Ignoring the human rights of the disabled,,,,
596,I don't know.,,,,
597,"Even if you have an uncomfortable disability, you should respect human rights because you are the same human",,,,
598,I don't know.,,,,
599,the rights of the people,,,,
600,freedom of expression,,,,
601,a respected official,,,,
602,"Article 1, Paragraph 1 of the Constitution",,,,
603,Article 11 of the Constitution of the Republic of Korea: All citizens are equal before the law,,,,
604,"They seem to have concluded that they have the right to work on the work of their choice, and that they can do it because they have not achieved their own intentions.",,,,
605,the right to work,,,,
606,Equality,,,,
607,the right of equality,,,,
608,"equal rights, suffrage, liberty, claim, social rights",,,,
609,the right to work,,,,
610,the right to work,,,,
611,the rights of the people,,,,
612,have the right to work,,,,
613,The sovereignty of the Republic of Korea belongs to the people and all sovereignty comes from the people.,,,,
614,basic rights,,,,
615,All citizens have the right to work,,,,
616,I don't know.,,,,
617,I don't know.,,,,
618,the right of abode,,,,
619,I don't know.,,,,
620,ã,,,,
621,What?,,,,
622,Don't know,,,,
623,the right to freedom of work,,,,
624,"Claim, right to pursue happiness",,,,
625,a claim,,,,
626,the right to petition,,,,
627,Pregnant women have the right to rest for a certain period of time in the company,,,,
628,human right,,,,
629,There is freedom of labor in the Constitution.,,,,
630,I don't know,,,,
631,Not knowing the details,,,,
632,I don't understand.,,,,
633,have the right to sue,,,,
634,the right of all people to be treated equally,,,,
635,The trial can be appealed a total of three times.,,,,
636,the duty of labor,,,,
637,the right to file a lawsuit,,,,
638,have the right to work freely,,,,
639,People with disabilities also have the right to work equally.,,,,
640,the right of liberty,,,,
641,"There is a right of freedom, a right of claim, a right of society, a right of suffrage",,,,
642,Freedom,,,,
643,the right not to be discriminated against,,,,
644,Equal rights must be guaranteed. It is stated that all citizens should not be discriminated against by others.,,,,
645,You have the right to do what you want to do without unfair discrimination in respect of human rights.,,,,
646,I don't know because I majored in science,,,,
647,Let's see. Sexy,,,,
648,Every human being has human rights.,,,,
649,the right to respect the rights of the people,,,,
650,I don't know,,,,
651,Disabled people have the right not to be discriminated against as disabled.,,,,
652,"The right to equality, the right to freedom,",,,,
653,human equality,,,,
654,There may be a right to sue for injustice,,,,
655,human right,,,,
656,"The people are in an equal position without discrimination regardless of disability, gender, etc. All power comes from the people.",,,,
657,You can get a job even if you are disabled.,,,,
658,have human rights,,,,
659,Even disabled people have the right to work.,,,,
660,"The right to equality, the right to sue freely,",,,,
661,None.,,,,
662,Let's respect Jang In-doesn't it?,,,,
663,have human rights,,,,
664,freedom of the body,,,,
665,the right to sue freely,,,,
666,Rights of Persons with Disabilities,,,,
667,It's an equal right.,,,,
668,suffrage,,,,
669,There is a right of freedom not to be discriminated against for inappropriate reasons.,,,,
670,"If you can't get a job at a company because of a disability, you can file a lawsuit.",,,,
671,"There is not much that can be done by rights, but most of it can",,,,
672,Equal Rights: Everyone has the right to be treated equally.,,,,
673,Rights of Persons with Disabilities,,,,
674,have a right not to be discriminated against,,,,
675,People with disabilities can also work,,,,
676,The people have the right to work freely even if they are disabled.,,,,
677,"The people have the right not to be ignored even if they are disabled.""",,,,
678,You have the right to vote in an election.,,,,
679,Everyone is free to travel.,,,,
680,human rights,,,,
681,"All power comes from the state, and the people are dogs and pigs, and everything of monetary value belonging to the territory belongs to the Park Geun Hye.",,,,
682,,,,,
683,"One day, Princess Geunhye wants to get a karasade botox Then a huge tidal wave hit the coast of Mokpo, and a reef that had not been there grew, devouring all the passers-by.""",,,,
684,"""People can sign a contract with the company they want and work for it",,,,
685,People can interview at the company to work,,,,
686,"""",,,,
687,Respect for all three,,,,
688,the right to sue a person who committed a car accident,,,,
689,the right to sue,,,,
690,the right to sue,,,,
691,"Human rights, social rights, and equal rights",,,,
692,"The right to work even if you have a disability, or to sue someone who wants to work for unfair reasonsbe the law of the people",,,,
693,the right of equality,,,,
694,The Avengers,,,,
695,A nation is a nation,,,,
696,Roh Moo-hyun,,,,
