,"21. After climbing a high mountain or running 100 meters, there are various changes in our bodies. What changes will happen to our bodies after a sudden exercise? And what does that change do? Let's explain in detail using knowledge of body changes after exercise. ",q21_breathing,q21_oxygen deficiency,q21_sweat,q21_energy,q21_muscle,q21_nervous, q21_constancy,q21_waste,q21_heart
94,I'm out of breath,,,,,,,,,
95,be hard to breathe,,,,,,,,,
96,"Muscle development, performance, etc",,,,,,,,,
97,My heart is beating fast.,,,,,,,,,
98,"Exercise has advantages such as digestion, but it is a health important factor such as reducing waste due to bam and hormone secretion that suppresses appetite.It requires a lot of energy, so the heart beats fast, causing oxygen and energy to come quickly.",,,,,,,,,
99,"Exercise requires more oxygen, so breathe faster and your heart beats faster",,,,,,,,,
100,"My heart beats fast or I'm sweating.Sweat releases waste from our bodies, and the heart facilitates blood circulation.",,,,,,,,,
101,"Because you move your body badly, you lose your breath and your heart rate increases.",,,,,,,,,
102,"""My heart beats faster and I'm out of breath. Because when I work out,",,,,,,,,,
103,"Because I can't breathe properly.""",,,,,,,,,
104,It releases sweat.,,,,,,,,,
105,Your body gets hot and your breath gets faster The reason is that it is hardã,,,,,,,,,
106,"Sweat develops, spouting no-feet water, and leg muscles develop",,,,,,,,,
107,Our hearts beat fast to supply blood quickly.,,,,,,,,,
108,Breathe faster and heart faster,,,,,,,,,
109,"It creates the air and energy needed for bones, muscles, and movement, and it creates waste, and the heart speeds up to remove the waste",,,,,,,,,
110,Breathing accelerates and the heart beats rapidly to quickly transport oxygen and nutrients needed for bone and muscle movement and to remove generated waste.,,,,,,,,,
111,"The body changes because bones and muscles move actively while running or climbing, and the body needs to inhale more oxygen",,,,,,,,,
112,Sweat comes out with waste because it's hard to exercise.,,,,,,,,,
113,It supplies oxygen and blood to bones and muscles quickly and the heart beats fast,,,,,,,,,
114,Breathing accelerates and the heart beats to quickly transport nutrients to bone and muscle movements and remove generated waste.,,,,,,,,,
115,"After exercise, the muscles are swollen",,,,,,,,,
116,Breathing accelerates and the heart beats fast to transport oxygen and nutrients needed for bone and muscle movements and to remove the waste produced.,,,,,,,,,
117,M and D,,,,,,,,,
118,I don't know.,,,,,,,,,
119,My heart beats fast when I do a lot of course.,,,,,,,,,
120,I'm out of breath and sweaty,,,,,,,,,
121,It requires more air.,,,,,,,,,
122,Need more oxygen,,,,,,,,,
123,You might get cramps in one part of your body,,,,,,,,,
124,be out of breath,,,,,,,,,
125,My heart beats fast after exercising (I don't know.),,,,,,,,,
126,"The lungs want oxygen, so they can barely breathe (ããã)",,,,,,,,,
127,"When you do intense exercise, the heart beats faster to supply oxygen and the circulation of the blood is accelerated, but it does not fit your body, so the heart is out of breath because it cannot keep pace.",,,,,,,,,
128,"If you overdo it, don't get sick",,,,,,,,,
129,I'm out of breath,,,,,,,,,
130,"Our body has physical strength, so if we do something too hard, our body changes to a state close to a state where we can die due to physical exhaustion and difficulty in breathing and digestion.",,,,,,,,,
131,Sweat makes me breathe faster.,,,,,,,,,
132,to be out of breath or sweaty,,,,,,,,,
133,My heart is beating fast,,,,,,,,,
134,I think I'll get hurt if I do an extreme exercise,,,,,,,,,
135,to be out of breath or sweaty,,,,,,,,,
136,Our bodies are sweating or out of breath.,,,,,,,,,
137,I feel that breathing is rapidly accelerating and the calf side of the leg is pulled,,,,,,,,,
138,Running fast or exercising a lot makes your heart faster and your breath faster. It seems that the body changes beyond the unfamiliar amount of exercise after not exercising a lot to strain the body at once.,,,,,,,,,
139,Hardness,,,,,,,,,
140,I feel out of breath and dizzy to breathe smoothly,,,,,,,,,
141,I'm out of breath,,,,,,,,,
142,My heart is beating fast,,,,,,,,,
143,be full of military discipline,,,,,,,,,
144,The heart beats fast and the breathing speeds up rapidly.,,,,,,,,,
145,My heart is beating,,,,,,,,,
146,"As more movement increases, more oxygen is consumed, so body changes occur to supply oxygen.",,,,,,,,,
147,"After sweating, the water drops rapidly in our bodies and we have to drink water.",,,,,,,,,
148,My heart is beating fast.,,,,,,,,,
149,"After climbing high mountains or running 100 meters, our bodies lack oxygen. Therefore, the heart beats faster and supplies the body with insufficient oxygen.",,,,,,,,,
150,Heart beating fast,,,,,,,,,
151,"My heart is beating fast.Because after exercise, the heart pumps quickly because the heart has to send blood and send it quickly to supply the body with imaging.",,,,,,,,,
152,Rapid oxygen supply because the heart pumps and sends blood quickly,,,,,,,,,
153,The heart beats faster.,,,,,,,,,
154,Your pulse is getting faster,,,,,,,,,
155,The pulse accelerates.,,,,,,,,,
156,My stomach hurts and I'm out of breath,,,,,,,,,
157,I'm out of breath and my pulse gets faster. This is because you need a lot of air in your body.,,,,,,,,,
158,"After exercising rapidly, your heart beats fast and your breathing gets faster. Also, I sweat because I have a fever in my body.",,,,,,,,,
159,Because I used oxygen,,,,,,,,,
160,"It moves the blood quickly, transports oxygen quickly, and increases the salt content in the throat to drink a lot of water.",,,,,,,,,
161,I sweat and my heart speeds up,,,,,,,,,
162,I don't know.,,,,,,,,,
163,build up muscles,,,,,,,,,
164,It's so hard,,,,,,,,,
165,"When I exercise, I sweat because it's hot",,,,,,,,,
166,I'm out of breath,,,,,,,,,
167,be breathless,,,,,,,,,
168,"Your heart beats fast, you sweat, and your muscles become tight.",,,,,,,,,
169,I'm out of breath.,,,,,,,,,
170,the blood pressure goes down,,,,,,,,,
171,I'm sweating,,,,,,,,,
172,I don't know.,,,,,,,,,
173,His face turns red and he breathes heavily. I don't know what role it plays.,,,,,,,,,
174,"I'm sweating and out of breath. I wonder how far Hani ran, whether she ran for revenge, or just for pleasure. You're gonna have to reconstruct each cell to make running fun for me",,,,,,,,,
175,My heart rate is getting faster and I'm sweating,,,,,,,,,
176,I'm out of breath. The cells in my body move actively,,,,,,,,,
177,I am out of breath and out of breath,,,,,,,,,
178,...,,,,,,,,,
179,I'm out of breath. The cells in my body move actively,,,,,,,,,
180,"At first, carbohydrate proteins burn to create energy, but when the intensity of exercise increases, fat starts to burn. Sweat is responsible for maintaining body temperature.",,,,,,,,,
181,"My heart rate goes up, my face turns red, and I'm out of breath",,,,,,,,,
182,The heartbeat speeds up and carries oxygen throughout the body quickly.,,,,,,,,,
183,"The more we exercise, the more carbon dioxide our bodies produce and the more oxygen we need. That's why I'm out of breath.",,,,,,,,,
184,It acts as a temperature control for our bodies.,,,,,,,,,
185,I'm out of breath. I need more oxygen to breathe violently,,,,,,,,,
186,My heart is beating fast,,,,,,,,,
187,"Because of the difference in air pressure in the body,",,,,,,,,,
188,Let's Get Healthy!,,,,,,,,,
189,"The use of a lot of oxygen accelerates breathing, which leads to active metabolism. Also, you may experience muscle pain by tearing your muscles apart after rapid exercise.",,,,,,,,,
190,Increased secretion of lactic acid in muscles causes muscle pain,,,,,,,,,
191,"The body's sympathetic nerves are activated, which speeds up breathing and speeds up the heart rate.",,,,,,,,,
192,"When you exercise, your respiratory rate increases, resulting in a change in áá©-ohm.",,,,,,,,,
193,I don't know.,,,,,,,,,
194,"Rapid exercise activates the sympathetic nerve, speeding up the heartbeat, steeper breathing, temporarily reducing the activity of the digestive system, and secretion of epinephrine from the adrenal glands, resulting in awakening effects.",,,,,,,,,
195,Blood circulates rapidly and needs air. Then you gasp for breath.,,,,,,,,,
196,My heart is beating fast,,,,,,,,,
197,"When exercising, heat is generated during the process of using carbohydrates and fat in the body, and the body starts to heat up, and at this time, sweat is made to maintain body temperature. Also, when exercising, oxygen is consumed, and the heart rate is accelerated to transport oxygen to the whole body.Need more oxygen, faster blood circulation",,,,,,,,,
198,burn the flesh,,,,,,,,,
199,My heart is beating fast,,,,,,,,,
200,be out of breath,,,,,,,,,
201,shortness of breath,,,,,,,,,
202,It's because the muscles move as the body moves,,,,,,,,,
203,My heart is beating fast,,,,,,,,,
204,burn and become healthy,,,,,,,,,
205,I don't know.,,,,,,,,,
206,Your heart beats fast and you lose your breath because you need more energy and oxygen everywhere in your body,,,,,,,,,
207,"After exercising rapidly, our bodies need more oxygen. However, the number of red blood cells in our bodies is constant, so we breathe hard to get more oxygen.",,,,,,,,,
208,"The amount of oxygen decreases, which speeds up breathing and speeds up blood circulation is accelerated.",,,,,,,,,
209,"It's hard to feel tired because of the sudden strain on the body, and the muscles are tight and adrenaline is released",,,,,,,,,
210,"It becomes difficult to breathe. The higher the pressure, the stronger the air pressure, so you run out of breath.",,,,,,,,,
211,My ears are ringing,,,,,,,,,
212,"The body lacks oxygen, so the heart beats fast to provide oxygen quickly and breathes fast to provide a lot of breathing",,,,,,,,,
213,Breathe through the mouth to allow a lot of oxygen to come in due to lack of oxygen,,,,,,,,,
214,f,,,,,,,,,
215,"The body uses the body rapidly to increase the amount of oxygen the body needs, causing shortness of breath and loosening of muscles.",,,,,,,,,
216,My muscles hurt,,,,,,,,,
217,My heart is beating fast,,,,,,,,,
218,I don't know,,,,,,,,,
219,I'm out of breath,,,,,,,,,
220,I have no idea.,,,,,,,,,
221,"""Breathing becomes rough and your heart speeds up",,,,,,,,,
222,Your heart will be healthier,,,,,,,,,
223,My heart is beating fast,,,,,,,,,
224,"My heart is beating fast, I'm sweating and I'm tired",,,,,,,,,
225,"After exercising, my body sweats and my heart beats fast.",,,,,,,,,
226,My heart beats faster,,,,,,,,,
227,gasp for breathIt's to drink more oxygen.,,,,,,,,,
228,My muscles are crouching,,,,,,,,,
229,be out of breath,,,,,,,,,
230,"""Running makes it hard for our bodies to breathe",,,,,,,,,
231,Because our bodies beat our hearts faster than normal heart rates,,,,,,,,,
232,"""",,,,,,,,,
233,"I'm out of breath and I'm getting rough. Also, the heart beats fast and becomes blood circulation.",,,,,,,,,
234,"Breathless and rough. Heart beating fast, blood circulation",,,,,,,,,
235,have a pain,,,,,,,,,
236,I'm out of breath,,,,,,,,,
237,"Happiness hormone secretion, heart rate change, muscle formation, muscle formation",,,,,,,,,
238,I'm out of breath. I'm tired.,,,,,,,,,
239,I'm sweating and out of breath because of the high pressure,,,,,,,,,
240,"""I'm sweating and out of breath.",,,,,,,,,
241,"""",,,,,,,,,
242,Rapid exercise causes the heart to beat fast due to lack of oxygen in the lungs,,,,,,,,,
243,"Exercise expands the muscles. And if you exercise too much at once, your body will cut your eggs or your bones will go wrong.",,,,,,,,,
244,"After exercising, we need to use up our energy and once we are out of breath and the moisture goes out into our sweat, so we need to replenish our moisture.",,,,,,,,,
245,"As muscle contraction and relaxation are repeated during exercise, the stiffness of the right-frontal fistula persists, so you feel stronger than the right-frontal fistula",,,,,,,,,
246,The muscles expand.,,,,,,,,,
247,I'm sweating and breathing,,,,,,,,,
248,I'm sweating.,,,,,,,,,
249,I'm sweating,,,,,,,,,
250,dwedwed,,,,,,,,,
251,I don't know.,,,,,,,,,
252,M and D,,,,,,,,,
253,I don't know,,,,,,,,,
254,I don't understand.,,,,,,,,,
255,I don't know,,,,,,,,,
256,It's hard to work out,,,,,,,,,
257,I don't know.,,,,,,,,,
258,I don't understand.,,,,,,,,,
259,I don't know,,,,,,,,,
260,I don't understand.,,,,,,,,,
261,I don't understand.,,,,,,,,,
262,I don't know,,,,,,,,,
263,Mall,,,,,,,,,
264,I feel a pain in my side.,,,,,,,,,
265,I don't know,,,,,,,,,
266,My heart is beating fast.,,,,,,,,,
267,I don't know,,,,,,,,,
268,Breathing gets faster.,,,,,,,,,
269,I don't know,,,,,,,,,
270,I don't understand.,,,,,,,,,
271,M and D,,,,,,,,,
272,I don't understand.,,,,,,,,,
273,.,,,,,,,,,
274,I don't know,,,,,,,,,
275,My heart is pounding or I'm out of breath,,,,,,,,,
276,I don't know.,,,,,,,,,
277,Heart rate is going up,,,,,,,,,
278,Heart rate increases and I'm out of breath,,,,,,,,,
279,The lungs move faster and breathe faster,,,,,,,,,
280,My heart is moving fast,,,,,,,,,
281,I feel stiff when I do a lot of course,,,,,,,,,
282,You'll get healthier,,,,,,,,,
283,You're losing weight,,,,,,,,,
284,"My sides hurt, I'm out of breath",,,,,,,,,
285,yes,,,,,,,,,
286,"When you exercise, you lack oxygen, so your heart beats fast and you get a lot of heat, so you sweat out heat.",,,,,,,,,
287,ã,,,,,,,,,
288,The heart provides more oxygen,,,,,,,,,
289,",,,,,,,,,,,,",,,,,,,,,
290,The body temperature goes up,,,,,,,,,
291,I'm working out that I don't usually do,,,,,,,,,
292,The ironing gets faster,,,,,,,,,
293,I'm sweating and tired,,,,,,,,,
294,in sweat,,,,,,,,,
295,I didn't learn it,,,,,,,,,
296,My heart is beating fastI'm getting sore muscles,,,,,,,,,
297,I'm sweating,,,,,,,,,
298,I don't know. I run out of breath.,,,,,,,,,
299,"If you go up a high mountain, there is a lack of oxygen and your body changes. If you run, there is a lack of oxygen and your body changes",,,,,,,,,
300,I feel pain in the ãáá©á¨ area due to my lack of physical strength and faster oxygen movement,,,,,,,,,
301,My heart is beating faster,,,,,,,,,
302,be out of breath and tired,,,,,,,,,
303,We need more oxygen,,,,,,,,,
304,LOL,,,,,,,,,
305,You're losing weight.,,,,,,,,,
306,"If the growth plate and muscles overdo or do a lot of sudden exercise, it causes muscle dissipation",,,,,,,,,
307,"If you do aerobic exercise for a long time, not only will your muscles be tired, but your heart will be short of oxygen and you will be out of breath",,,,,,,,,
308,"If you run a lot, your lungs will hurt and get tired",,,,,,,,,
309,I'm out of breath,,,,,,,,,
310,It's hard,,,,,,,,,
311,My heart is beating fast.,,,,,,,,,
312,"Just as there is no oxygen in space, if you go to a high place, there is not much oxygen, so it feels empty to breathe",,,,,,,,,
313,After the body and play hard the breath to meet the oxygen and emits too much oxygen to authors to heavily.,,,,,,,,,
314,"A person out of breath, heart and pulse rise. Gas exchange is blood circulation faster and faster.",,,,,,,,,
315,You sweat.,,,,,,,,,
316,"Have good blood circulation, of shortness of breath and sweating.",,,,,,,,,
317,"Using a physical energy of carbohydrates, fat burning.",,,,,,,,,
318,"Increased heart rate, where the blood vessels dilate.",,,,,,,,,
319,"Sweat. fast heart rate, blood vessels dilate.",,,,,,,,,
320,Dissolves lactic acid is in the muscle.,,,,,,,,,
321,"Heartbeat, blood circulation.",,,,,,,,,
322,A fast heart rate.,,,,,,,,,
323,I have a fever and tired. Shortness of breath.,,,,,,,,,
324,Heart beat faster.,,,,,,,,,
325,I sucked and your heart beat fast.,,,,,,,,,
326,"Even a heart, pupil dilation, bladder constriction, ireonanat. Sympathetic nerves are activated.",,,,,,,,,
327,"The heart rate goes down faster, so the blood circulates better",,,,,,,,,
328,It's hard to breathe and the diaphragm comes up,,,,,,,,,
329,It's because there's not enough oxygen,,,,,,,,,
330,lack of oxygen,,,,,,,,,
331,Breathing becomes steep and you breathe fast,,,,,,,,,
332,"If you climb or run high mountains, your heart beats fast because you need more oxygen.",,,,,,,,,
333,It's because there's not enough oxygen,,,,,,,,,
334,"Cellular respiration that requires oxygen in our bodies creates ATP life energy, and we continue to use it. Therefore, breathing gradually decreases faster.",,,,,,,,,
335,"As the breathing gets faster, the heart beats fast, and blood circulates quickly and energy use increases, causing fever and fever to sweat to maintain body temperature.",,,,,,,,,
336,Breathing gets faster. Blood circulation accelerates.,,,,,,,,,
337,It's because there's not enough oxygen,,,,,,,,,
338,My heart is beating so fast,,,,,,,,,
339,I'm out of breath,,,,,,,,,
340,I'm tired and sweaty,,,,,,,,,
341,It's hard. It makes us rest,,,,,,,,,
342,I'm out of breath.,,,,,,,,,
343,"I'm out of breath, so I'm busy breathing",,,,,,,,,
344,I'm out of breath and sweating a lot. The role of maintaining balance in our bodies,,,,,,,,,
345,"""My heart beats fast or my breath becomes steep",,,,,,,,,
346,"This is to bring our bodies back to their original state.""",,,,,,,,,
347,My heart beats hard and I'm out of breath. My heart breathed out enough when I ran Because I can't breathe in and out.,,,,,,,,,
348,My heart is beating fast.,,,,,,,,,
349,My heart is beating fast. I'm out of breath. I'm sweating.,,,,,,,,,
350,My heart beats fast and I'm sweating.,,,,,,,,,
351,"The muscles move and heat up, opening the sweat hole to release heat from the sweat hole and releasing sweat and heat",,,,,,,,,
352,"Muscle development, muscle pain, thirsty, and tiredness, and it acts as a muscle in our body",,,,,,,,,
353,I'm out of breath.,,,,,,,,,
354,I don't know.,,,,,,,,,
355,"""1. It makes me feel better.(As far as I know, it makes me feel better because of the release of certain substances, but I can't remember the name.)",,,,,,,,,
356,2.Muscles develop lactic acid.This is how the muscles get tired.,,,,,,,,,
357,3.The heart rate increases.,,,,,,,,,
358,"and so on.""",,,,,,,,,
359,My heart beats fast and I have difficulty breathing.,,,,,,,,,
360,I'm sweating,,,,,,,,,
361,I don't know,,,,,,,,,
362,My heart is beating fast. It sends blood to the whole body quickly.,,,,,,,,,
363,"I breathe fast and sweaty. The reason is that to quickly supply oxygen to the brain, one can breathe faster and sweat to maintain body temperature.",,,,,,,,,
364,My heart is beating so fast that I'm out of breath,,,,,,,,,
365,My heart is beating fast.,,,,,,,,,
366,Your heart will beat fast and your blood pressure will rise,,,,,,,,,
367,My heart is beating fast It's to deliver oxygen quickly,,,,,,,,,
368,"When you exercise, you breathe quickly to supply oxygen quickly.",,,,,,,,,
369,Sweat flows to keep the body temperature constant.,,,,,,,,,
370,It's hard to change after exercising,,,,,,,,,
371,I'm out of breath,,,,,,,,,
372,I don't know,,,,,,,,,
373,I'm out of breath.,,,,,,,,,
374,It is hard to breathe,,,,,,,,,
375,Because it's hard.,,,,,,,,,
376,I'm tired,,,,,,,,,
377,"Heart rate goes up, blood pressure goes up, he needs a lot of oxygen",,,,,,,,,
378,The heart beats fast because it breaks down glucose to get oxygen and energy,,,,,,,,,
379,Rapid exercise in the body causes shortness of breath and can no longer be done,,,,,,,,,
380,Breathing becomes faster because it consumes a lot of energy.,,,,,,,,,
381,Breathing becomes faster because it consumes a lot of energy.,,,,,,,,,
382,Heat is generated in the body.,,,,,,,,,
383,The heart beats faster. The reason is that it needs more oxygen than usual.,,,,,,,,,
384,"My heart is beating faster. Also, because energy is needed, glucose is broken down in the mitochondria in the body to produce energy.",,,,,,,,,
385,Moisture is drained by sweat and makes you thirsty,,,,,,,,,
386,breathe hard,,,,,,,,,
387,M and D,,,,,,,,,
388,I don't know,,,,,,,,,
389,It is hot.,,,,,,,,,
390,My name is,,,,,,,,,
391,ã± and ã,,,,,,,,,
392,My heart beats fast and I'm out of breath.  It moves the blood quickly and increases the oxygen supply of oxygen.,,,,,,,,,
393,"The heart beats fast, breathing exercises accelerate, and sweat is released.",,,,,,,,,
394,Sweat is released.,,,,,,,,,
395,"High places lack a lot of atmosphere. So I am short of oxygen and out of breath.Heart beat faster. Suddenly, the body requires that much oxygen, which speeds up breathing and speeds up the heart rate to send the oxygen to the entire body.",,,,,,,,,
396,"Sweat runs through the body and veins pop out. By doing so, our body's oxygen breathing and blood circulation become smooth and healthy.",,,,,,,,,
397,"Your heart beats fast, your body heats up, and you run out of breath.",,,,,,,,,
398,I'm out of breath,,,,,,,,,
399,"The heart rate increases, increasing oxygen absorption, and stimulating glycogen secretion to produce glucose.",,,,,,,,,
400,"To maintain homeostasis, the heart beats fast, metabolism becomes active, and breathing becomes rough.",,,,,,,,,
401,"Climbing a high mountain or running 100 meters makes you gasp and your heart beat fast.This is a phenomenon that occurs when the body lacks oxygen. Therefore, the oxygen-carrying hemoglobin has to move quickly throughout the body, so the heart beats faster.",,,,,,,,,
402,The body temperature rises. Our bodies release sweat to lower body temperature.,,,,,,,,,
403,"After a lot of exercise, our bodies need water",,,,,,,,,
404,"Shortness of breath.-As fat burns and oxygen is scarce in the body, gas exchange is accelerated and oxygen is supplied. I'm sweating - body temperature rises and releases moisture.",,,,,,,,,
405,"Rapid exercise makes me short of breath. When you run out of breath, the body breathes quickly to get more oxygen, and as you breathe faster, your pulse also speeds up.",,,,,,,,,
406,"You should use a lot of oxygen during rapid exercise. Therefore, the heart rate goes up by itself. In addition, since a lot of water is discharged by sweat, the concentration in the body increases and water is required.",,,,,,,,,
407,"After exercising rapidly, we breathe hard, our hearts beat fast, and our bodies feel tired. The reason is that oxygen and nutrients must be transported quickly for rapid exercise.",,,,,,,,,
408,"Rapid exercise makes blood circulation faster and sweats because the body requires oxygen. In order to speed up circulation, the heart pumps quickly, which causes the heart to beat fast.",,,,,,,,,
409,"The lack of oxygen makes you gasp, and when red blood cells supply enough oxygen to the cells, it returns to its original state.",,,,,,,,,
410,"The frequency of breathing, which is the act of supplying oxygen to the body during and after exercise, increases rapidly because oxygen must be supplied throughout the body to move the body violently. Also, the skin turns red because the circulation of oxygenated blood increases.",,,,,,,,,
411,"After climbing a high mountain or running 100 meters, you can breathe faster. In the case of high mountains, oxygen is scarce around them, so breathing is faster to receive a sufficient amount of oxygen, and after running for 100 meters, each part of the body consumes oxygen to produce energy, so breathing is faster to supply insufficient oxygen.",,,,,,,,,
412,"I exercise a lot, so I lack oxygen, so my heart rate increases",,,,,,,,,
413,I'm out of breath. This allows me to breathe more and provide as much oxygen as my body needs.,,,,,,,,,
414,You're out of breath. This allows you to breathe more and supply as much oxygen as you need from the beam.,,,,,,,,,
415,",",,,,,,,,,
416,I'm getting tired.,,,,,,,,,
417,Ankimchi. (Ankimchi in Korean),,,,,,,,,
418,"Every corner of the body needs more oxygen, so your heart beats faster",,,,,,,,,
419,My heart is beating faster.,,,,,,,,,
420,"The heart beats fast, breathing becomes faster, breathing becomes short, and the body gets hot.",,,,,,,,,
421,"My heart beats fast, so I breathe fast, I'm out of breath, and my body gets hot",,,,,,,,,
422,My heart beats fast and I'm out of breath,,,,,,,,,
423,The pulse rate increases and sweat flows through the body.,,,,,,,,,
424,He seems to be out of breath and tired.,,,,,,,,,
425,I'm out of breath. My lung capacity gets better,,,,,,,,,
426,Thirsty.,,,,,,,,,
427,Thirsty.,,,,,,,,,
428,Wastes come out of the body,,,,,,,,,
429,My heart beats fast and I breathe hard to deliver oxygen to my whole body,,,,,,,,,
