,1) What happened to the air in the bag after several breaths?,q41_oxygen,q41_carbon dioxide,q41_moisture
81,"After breathing several times, the content of carbon dioxide in the air in the bag increased, and the content of oxygen would have decreased. Because breathing repeats inhalation and exhalation, and in the process of inhalation and exhalation, the lungs absorb oxygen and release carbon dioxide. As this is repeated, the oxygen content in the air decreases, and the carbon dioxide content increases, and it can be said that it feels stuffy after breathing several times. Therefore, the content of carbon dioxide in the air in the bag that has been breathed several times would have increased, and the content of oxygen would have decreased.",,,
82,"There is constant oxygen and carbon dioxide in the bag, and as you breathe many times, oxygen decreases and carbon dioxide increases due to breathing",,,
83,The oxygen in the plastic bag reduces oxygen and increases carbon dioxide through exhalation,,,
84,Oxygen turned into carbon dioxide.,,,
85,The concentration of oxygen would have decreased and the concentration of carbon dioxide would have increased.,,,
86,"In the beginning, the amount of oxygen and carbon dioxide were small, but after several breaths, the amount of oxygen in vinyl would have decreased and the amount of carbon dioxide would have increased.",,,
87,The amount of oxygen in the air would have decreased and the amount of carbon dioxide would have increased.,,,
88,"The first air in the bag is filled with the same air as the outside air, but the amount of oxygen in the bag decreases and the amount of carbon dioxide in the bag increases due to exhalation.",,,
89,"When humans breathe in, the amount of oxygen in the bag decreases, and when they breathe out, the amount of carbon dioxide in the bag increases. That is, after breathing, the amount of carbon dioxide in the bag increases and the amount of oxygen decreases.",,,
90,The oxygen in the plastic bag comes out of my mouth through my breath and fills the plastic bag with carbon dioxide.,,,
91,"When you breathe first, you have the same amount of oxygen as the ratio in the atmosphere. This is about 20% oxygen, and people are used to breathing in this proportion of oxygen. Humans breathe oxygen and exhale carbon dioxide, and the reason why we don't lack oxygen is that there's so much oxygen in the atmosphere. However, within the limited space in the plastic bag, people continue to use oxygen and the amount of oxygen in the plastic bag becomes insufficient. In the end, breathe in oxygen from your inhalation. As oxygen is exhaled from exhalation, the ratio of oxygen to the air in the plastic bag decreases and the ratio of carbon dioxide increases.",,,
92,"There was oxygen in the plastic bag that stuck to the mouth. However, as we breathe in and out of the plastic bag, oxygen decreases, and while we breathe out, carbon dioxide increases in the plastic bag.",,,
93,"Due to breathing, the amount of oxygen in the bag decreases, and the amount of carbon dioxide increases.",,,
94,"After breathing several times, the change in air in the bag is to inhale fresh air oxygen, further reducing oxygen and exhaling carbon dioxide by exhaling carbon dioxide.  The decrease in oxygen and the increase in carbon dioxide occurred simultaneously, increasing the ratio of carbon dioxide.",,,
95,"Oxygen comes in during inhalation and carbon dioxide goes out during exhalation. Therefore, if you breathe repeatedly in a sealed space, oxygen is gradually lost and carbon dioxide is gradually increased when you inhale, so oxygen decreases and carbon dioxide increases in the air in the bag.",,,
96,"Humans breathe in oxygen and exhale carbon dioxide as they breathe, reducing the amount of oxygen in the bag and increasing the amount of carbon dioxide in the bag.",,,
97,Oxygen disappears through breathing.,,,
98,"When we breathe, we absorb oxygen from the air and release carbon dioxide. Therefore, as we breathe in the bag, oxygen concentration decreases and carbon dioxide concentration increases.Before breathing several times, the bag had more oxygen than carbon dioxide, but the oxygen concentration in the bag gradually decreases and the carbon dioxide concentration gradually increases due to the carbon dioxide emission from the exhalation. In addition, water droplets will form inside the bag as the steam exhaled from the mouth meets and condenses with the bag.",,,
99,"When a person breathes in oxygen and exhales carbon dioxide. However, since it is a case of breathing after the mouth is in close contact with the entrance of the bag, the bag is in a sealed state. Therefore, the amount of oxygen in the bag will decrease, while the amount of carbon dioxide will increase.",,,
100,The concentration of carbon dioxide increases.,,,
101,"Carbon dioxide increased, oxygen decreased.",,,
102,"The oxygen concentration would have decreased, and the carbon dioxide concentration would have increased.",,,
103,The fraction of oxygen decreases and the fraction of carbon dioxide increases.,,,
104,The amount of oxygen decreases and the amount of carbon dioxide increases.,,,
105,It's not fresh because of carbon dioxide,,,
106,an increase in carbon dioxide,,,
107,More and more carbon dioxide is exhaled than oxygen,,,
108,There would be only carbon dioxide left by breathing in a bag filled with air.,,,
109,The air in the plastic bag will be full of carbon dioxide because it will breathe in oxygen and release carbon dioxide when exhaled,,,
110,The air in the bag shrinks and the bag shrinks,,,
111,Oxygen and Tin Dioxide are mixed,,,
112,The oxygen in the bag would have turned into carbon dioxide.,,,
113,You run out of oxygen,,,
114,"The air remains the same, but the components that make up the air are less oxygen and more carbon dioxide, making it difficult to breathe due to the thinness of oxygen.",,,
115,"After the air entered the body, it was converted into carbon dioxide and released again, so carbon dioxide increased and oxygen decreased",,,
116,"If you breathe in the oxygen in the bag and continue to breathe out carbon dioxide, the oxygen in the bag will be depleted.",,,
117,There must be a lot of carbon dioxide in the bag,,,
118,Oxygen has decreased and carbon dioxide has increased.,,,
119,Oxygen decreases and carbon dioxide increases.,,,
120,There is more carbon dioxide than oxygen,,,
121,Oxygen would be gone and carbon dioxide would be increased,,,
122,Oxygen would have been drained and carbon dioxide would have increased,,,
123,Oxygen went into the body and then turned into carbon dioxide as it exhaled into the bag.,,,
124,The oxygen in the bag enters our body through inhalation and is filled with carbon dioxide through exhalation.,,,
125,The bag will be full of carbon dioxide because it breathes in and out oxygen and exhales carbon dioxide.,,,
126,"The oxygen in the bag is inhaled and consumed, and the carbon dioxide is exhaled, so the oxygen ratio in the bag is gradually reduced and the carbon dioxide ratio is increased.",,,
127,"Breathing requires oxygen and exhaled carbon dioxide. The first bag contains a little oxygen, but as you continue to breathe, only carbon dioxide remains in the bag. The bag prevents external oxygen from entering, so only carbon dioxide remains in the bag",,,
128,Oxygen decreases and carbon dioxide increases.,,,
129,It's getting damp,,,
130,The air became impure,,,
131,Oxygen disappeared and carbon dioxide was produced,,,
132,an increase in air pressure,,,
133,It will be damp and cloudy,,,
134,"Oxygen drinks and spits out carbon dioxide, so the air in the bag is thinned out and the amount of carbon dioxide increases",,,
135,It's changed to carbon dioxide,,,
136,Oxygen escapes a lot and carbon dioxide fills up a lot.,,,
137,There is a lot of carbon dioxide.,,,
138,"""The oxygen inside is almost gone",,,
139,"It turns into carbon dioxide. """,,,
140,"It is difficult to breathe if you breathe in and out of fresh air, that is, you are gradually lacking oxygen.",,,
141,"""When a person exhales, carbon dioxide is produced, and it is hard to breathe and my heart is stuffy as I keep trying to breathe in the bag that is already filled with carbon dioxide.",,,
142,(The bag is filled with carbon dioxide due to the carbon dioxide produced when it is exhaled.),,,
143,the change of carbon dioxide in the air,,,
144,"As oxygen decreases, carbon dioxide increases",,,
145,It will be vaporized and stuck in an inner plastic bag.,,,
146,There will be more carbon dioxide than oxygen,,,
147,air is gone,,,
148,Feel heavy.,,,
149,Oxygen is considered carbon dioxide,,,
150,There is a lot of carbon dioxide has increased.,,,
151,There is no air.,,,
152,Less oxygen and more carbon dioxide!,,,
153,Carbon dioxide and oxygen would be mixed.,,,
154,The bag will be filled with carbon dioxide,,,
155,It fills up with carbon dioxide,,,
156,Carbon dioxide has increased.,,,
157,Carbon dioxide has increased,,,
158,I think there's oxygen in the bad air.,,,
159,Fresh air disappears and carbon dioxide is produced.,,,
160,The amount of oxygen decreased and carbon dioxide increased.,,,
161,There's less oxygen and more carbon dioxide,,,
162,There will be less oxygen and more carbon dioxide in the bag,,,
163,lack of oxygen,,,
164,There's a little air coming out,,,
165,Not my part-timer;;;,,,
166,"In sacred air, carbon dioxide would have been converted into air.",,,
167,have bad breath,,,
168,The air in the bag must have turned stuffy because carbon dioxide was emitted by exhaling.,,,
169,"This is because when you breathe, you drink 21% of oxygen in the atmosphere and 0.03% of carbon dioxide, and you exhale 16% of oxygen and 4% of carbon dioxide, which increases the amount of carbon dioxide in the bag.",,,
170,Oxygen has decreased and carbon dioxide has increased.,,,
171,Oxygen concentration decreases,,,
172,There is a lot of carbon dioxide.,,,
173,"CO2 is cold, moisture is cold",,,
174,"""Getting Air""",,,
175,"""",,,
176,Fresh air disappears,,,
177,It gets damp and hazy.,,,
178,The air disappears,,,
179,There is a lot of carbon dioxide in the plastic bag.,,,
180,Carbon dioxide has increased.,,,
181,carbon dioxide is formed,,,
182,There is likely to be more carbon dioxide than air.,,,
183,There will be only carbon dioxide left.,,,
184,I don't know.,,,
185,Outside air entered through the process of opening and closing.,,,
186,It's filled with the breath of air,,,
187,Oxygen disappears and carbon dioxide is produced.,,,
188,Lack of oxygen and high carbon dioxide,,,
189,Water droplets form. Oxygen is gone.,,,
190,The volume of air in the bag changes.,,,
191,Oxygen is reduced,,,
192,"When we inhale, we inhale oxygen, but when we exhale, we breathe carbon dioxide, so there's carbon dioxide in the bag.",,,
193,It's steaming,,,
194,The air in the bag would have been reduced,,,
195,It was less than the initial amount of air.,,,
196,The air would have been reduced,,,
197,It seems that the volume of air in the bag has been reduced as the air has escaped little by little.There is not much air.,,,
198,Oxygen is reduced,,,
199,"""When we breathe in, when we breathe in, when we breathe in air, oxygen goes in",,,
200,"When you release oxygen, it releases carbon dioxide, so after inhaling several numbers,",,,
201,"The air in the bag is getting more and more carbon dioxide in the bag, instead of oxygen",,,
202,"Because I breathed, it was humid and looked blurry from the bag",,,
203,The air in the plastic bag turned into carbon dioxide.,,,
204,Because fresh air is mixed with carbon dioxide.,,,
205,It's getting damp,,,
206,I think there's going to be a gas.,,,
207,The air is about to escape out.,,,
208,It's getting damp,,,
209,It's filled with carbon dioxide,,,
210,The amount of air will decrease,,,
211,"The air in the bag has almost turned into carbon dioxide, and the surface of the bag is steaming.",,,
212,"Oxygen disappears when inhaling and carbon dioxide is released when exhaling, reducing oxygen and increasing carbon dioxide.",,,
213,The air in the bag will be warm.,,,
214,The bag would have become cloudy and the air would have been more carbon dioxide than oxygen.,,,
215,The air is going in,,,
216,It's foggy,,,
217,I think the bag will turn blurry.,,,
218,Oxygen was lost and carbon dioxide occupied a high place.,,,
219,It will be warm and full of carbon dioxide.,,,
220,The oxygen in the bag is gradually disappearing.,,,
221,It turns into carbon dioxide.,,,
222,The air in the bag turns into carbon dioxide.,,,
223,It's full of carbon dioxide.,,,
224,All the oxygen is gone and only carbon dioxide is left,,,
225,There is more carbon dioxide,,,
226,It's hard to breathe when you breathe and blow carbon dioxide into the bag,,,
227,The amount of air has decreased,,,
228,"There will be more carbon dioxide, and it will be full of moisture.",,,
229,It's full of carbon dioxide,,,
230,There is only carbon dioxide left in the bag.,,,
231,"Breathe in and out the oxygen in the air, release carbon dioxide and run out of oxygen, making it difficult to breathe",,,
232,Oxygen disappears and carbon dioxide gradually forms.,,,
233,Carbon dioxide will increase and oxygen will decrease,,,
234,Oxygen would decrease and carbon dioxide would increase,,,
235,The amount of carbon dioxide has increased.,,,
236,Carbon dioxide increases and oxygen decreases,,,
237,There is only carbon dioxide left in the bag.,,,
238,More carbon dioxide and less oxygen.,,,
239,I think the air is going to be weird because of the carbon dioxide that was in my body,,,
240,be filled with carbon dioxide,,,
241,The amount of carbon dioxide has increased.,,,
242,The amount of oxygen decreased and the amount of carbon dioxide increased,,,
243,The bag would have been filled with carbon dioxide from oxygen.,,,
244,It's full of carbon dioxide.,,,
245,Oxygen will disappear and the bag will be filled with carbon dioxide.,,,
246,The amount of oxygen has decreased and the amount of carbon dioxide has increased compared to the beginning,,,
247,Oxygen decreases and carbon dioxide increases,,,
248,"The plastic bag, which was filled with fresh air (oxygen), repeatedly inhales and exhales, causing oxygen in the bag to enter the mouth and exhale, which increases the amount of carbon dioxide in the bag.",,,
249,It's disappearing.,,,
250,It's because the amount of carbon dioxide has increased,,,
251,There is a lot of carbon dioxide has increased.,,,
252,There is carbon dioxide in the bag.,,,
253,It'll get dirty,,,
254,The air disappears,,,
255,I don't know,,,
256,The air in the plastic bag is about to disappear,,,
257,The air must have gotten hot,,,
258,shortness of breath,,,
259,The air would have faded away,,,
260,There is a lot of carbon dioxide.,,,
261,The amount of carbon dioxide becomes higher,,,
262,The air is likely to turn into steam and fill the vinyl.,,,
263,The carbon dioxide in our bodies is likely to fill a bag.,,,
264,The oxygen in the bag would have turned into carbon dioxide.,,,
265,There will be more carbon dioxide,,,
266,The closed air seems to be contaminated as it continues to breathe,,,
267,The plastic bag is likely to be full of carbon dioxide,,,
268,Only bad air will remain,,,
269,Carbon dioxide increases and water vapor smacks,,,
270,"I think it's going to be full of carbon dioxide , It's getting hard to blow",,,
271,It will be full of carbon dioxide.,,,
272,"""Blowing up""",,,
273,"""",,,
274,The air in the bag disappeared and the bag went back to normal,,,
275,There seems to be no air in the bag.,,,
276,carbon dioxide,,,
277,Oxygen will be reduced and there will be carbon dioxide,,,
278,It is filled with carbon dioxide instead of oxygen.,,,
279,The bag gets bigger,,,
280,Oxygen is converted into carbon dioxide.,,,
281,"At first, oxygen was heard, but as you breathe, it would have turned into carbon dioxide.",,,
282,"Less air, warmer air.",,,
283,"By inhaling CO2 and O2 in a plastic bag and adding CO2 in the blood, O2 in the bag is gradually decreased and CO2 is increased.",,,
284,The plastic bag will be blurry,,,
285,It's rising,,,
286,The air is going out,,,
287,The air is gone.,,,
288,The air is gone.,,,
289,lack of air,,,
290,The air is gradually disappearing,,,
291,The humidity is full,,,
292,The air decreases,,,
293,"Fresh air inhales and exhales, turning into carbon dioxide",,,
294,It's because the air is getting less and less,,,
295,The gas changes into carbon dioxide.,,,
296,The gas in the bag containing oxygen (air) was converted to carbon dioxide.The air in the bag is less than the first time.,,,
297,"As I breathe, oxygen disappears and carbon dioxide is formed.",,,
298,It's about to run out of air and generate carbon dioxide,,,
299,CO2 would be full,,,
300,The temperature of the air in the vinyl gets warm and the vinyl gets dewy,,,
301,It will contain carbon dioxide instead of air.Air and carbon dioxide would be mixed.,,,
302,I think my breath went in.And the fresh air in the beginning is likely to be carbon dioxide.,,,
303,The amount of air has decreased little by little.,,,
304,The carbon dioxide I exhale makes it difficult to breathe.,,,
305,The carbon dioxide concentration is high,,,
306,have no air,,,
307,"As humans breathe in, the air goes into our lungs and is filled with carbon dioxide that occurs when we breathe.",,,
308,It becomes full of carbon dioxide.,,,
309,The air is thinning and the steam is going to heal,,,
310,Oxygen is converted into carbon dioxide.,,,
311,There is carbon dioxide in the bag.,,,
312,The air in the bag has decreased a little.,,,
313,Oxygen will run out and carbon dioxide will fill the inside.,,,
314,The oxygen in the bag turned into carbon dioxide.,,,
315,The carbon dioxide concentration increases.,,,
316,"The amount of air gradually decreases, and carbon dioxide will eventually fill the plastic bag.",,,
317,Oxygen has been converted into carbon dioxide,,,
318,More carbon is idealized and no air is available,,,
319,Breathe in all the fresh air and there will be no air in the bag.,,,
320,There is a lot of carbon dioxide.,,,
321,"The fresh air will warm up because of my breath, and the air will disappear gradually because I inhale a lot into my body.",,,
322,Oxygen has been converted into carbon dioxide,,,
323,The air has shrunk.,,,
324,There will be less oxygen and more carbon dioxide.,,,
325,The air will turn into carbon dioxide.,,,
326,"Oxygen would have turned into carbon dioxide, and the amount of air would have decreased.",,,
327,There is no oxygen and carbon dioxide is likely to have been filled in the bag.,,,
328,Inhalation and exhalation would have produced carbon dioxide.,,,
329,"There will be less oxygen, and there will be carbon dioxide.",,,
330,Oxygen decreases and carbon dioxide increases.,,,
331,The plastic seems to have gotten a little smaller,,,
332,A lot of air is gone.,,,
333,There will be more carbon dioxide than before.,,,
334,That's why there's so much carbon dioxide.,,,
335,The air will gradually disappear,,,
336,There would have been a lot of carbon dioxide in the bag.,,,
337,Oxygen would have decreased and carbon dioxide would have increased.,,,
338,It seems that the fresh air will inhale and only the air will be cold.,,,
339,Less oxygen and more carbon dioxide,,,
340,"Oxygen enters our bodies and comes out as carbon dioxide through gas exchange. Therefore, the amount of oxygen will gradually decrease and the amount of carbon dioxide will increase.",,,
341,Oxygen decreases and carbon dioxide increases,,,
342,There's carbon dioxide in it.,,,
343,It will be full of carbon dioxide.,,,
344,The oxygen in the bag turns into carbon dioxide through breathing,,,
345,It's decreasing,,,
346,Oxygen decreases and carbon dioxide increases,,,
347,There will be more carbon dioxide than oxygen.,,,
348,"During ho-ho, oxygen is consumed and carbon dioxide is released.",,,
349,The amount of carbon dioxide increased and the amount of oxygen decreased.,,,
350,Reduced oxygen and increased carbon dioxide,,,
351,Oxygen + carbon peroxide,,,
352,The bag swells.,,,
353,Oxygen has become carbon dioxide.,,,
354,"Increased carbon dioxide, decreased oxygen",,,
355,Carbon Dioxide Increase Causing Oxygen Reduction,,,
356,A bag of fresh air will be filled with carbon dioxide.,,,
357,a bagful of air,,,
358,There would have been a lot of carbon dioxide in the bag,,,
359,There will be minor changes.,,,
360,Um Jeonghwa sings it. I don't know,,,
361,"Carbon dioxide is released through breathing, making it difficult to breathe in a plastic bag. For your information, the air is not circulating because it is blocked.",,,
362,"There is oxygen in the drinking air, but there is carbon dioxide in the exhaling air, so there is more carbon dioxide in the bag later",,,
363,Full of carbon dioxide,,,
364,The amount of oxygen in the bag decreased and the amount of carbon dioxide increased.,,,
365,The oxygen partial pressure decreases and the carbon dioxide partial pressure increases.,,,
366,There's a lot of carbon dioxide,,,
367,The amount of oxygen decreases and the amount of carbon dioxide increases.,,,
368,Oxygen becomes scarce and carbon dioxide becomes high.,,,
369,All the oxygen in the plastic bag turns into carbon dioxide.,,,
370,Oxygen would have decreased and carbon dioxide would have increased.,,,
371,"Oxygen becomes scarce, carbon dioxide from exhalation increases, and water vapor increases",,,
372,It will be filled with carbon dioxide.,,,
373,Carbon dioxide and water vapor increased instead of oxygen.,,,
374,Oxygen disappeared and carbon dioxide was produced on Earth,,,
375,The air in the bag would have decreased.,,,
376,Breathe only in a plastic bag and is full of carbon dioxide because there is no air circulation,,,
377,Oxygen is reduced,,,
378,Oxygen in the bag decreased and carbon dioxide generated by breathing increased.,,,
379,There's only carbon dioxide,,,
380,Oxygen has gone down,,,
381,lack of oxygen,,,
382,Less oxygen and more co2,,,
383,The percentage of carbon dioxide increases,,,
384,There is a lot of carbon dioxide.,,,
385,Oxygen has gone down Carbon dioxide has increased,,,
386,The bag fills with breath.,,,
387,Oxygen is gone and more carbon dioxide is left than oxygen,,,
388,I think there's a lot of carbon dioxide,,,
389,Oxygen is reduced.,,,
390,be filled with breath,,,
391,Air changes because inhalation is bigger than exhalation,,,
392,increase in carbon dioxide,,,
393,Oxygen has decreased,,,
394,There is more carbon dioxide,,,
395,"The air is inhaled through inhalation, and oxygen in the air is used for cellular respiration, and carbon dioxide is emitted through exhalation, making it difficult to breathe due to less oxygen in the plastic bag.Oxygen has decreased and carbon dioxide has increased",,,
396,Breathing increases carbon dioxide and inhalation reduces oxygen.,,,
397,Oxygen decreases and carbon dioxide increases.,,,
398,The air in the bag reduces oxygen and increases carbon dioxide.,,,
399,The air decreases,,,
400,have no air,,,
401,There's more carbon dioxide than oxygen,,,
402,evaporation of air,,,
403,The bag swells up,,,
404,Breathe in and air goes away.,,,
405,"""",,,
406,the swelling of a bag,,,
407,I feel like I'm going to run out of air,,,
408,It looks like it's going to shrink.,,,
409,It's shrunk.,,,
410,Fresh air was consumed by our lungs and bad air was ingested.,,,
411,the loss of oxygen,,,
412,It's getting hot,,,
413,The plastic bag is damp,,,
414,The air in the bag would have been reduced,,,
415,The plastic bag is damp.,,,
416,The air has shrunk,,,
417,There is moisture and bad air,,,
418,"If you breathe a lot, the air gets dirty and it's hard to hide.",,,
419,People died because it was hard.,,,
420,"Because of inhalation and exhalation,",,,
421,It's full of carbon dioxide,,,
422,There would be less oxygen and more carbon dioxide.,,,
423,It contains carbon dioxide.,,,
424,"When a person exhales, it releases carbon dioxide.So a large plastic bag will be full of carbon dioxide.",,,
425,Oxygen would have decreased and carbon dioxide would have increased.,,,
426,"After breathing several times, the air in the bag would have increased the proportion of carbon dioxide",,,
427,Oxygen has decreased and carbon dioxide has increased,,,
428,Oxygen in the plastic bag will gradually decrease and carbon dioxide will increase.,,,
429,The proportion of oxygen in the air would have decreased.,,,
430,Oxygen in vinyl is lost and carbon dioxide is increased.,,,
431,The oxygen ratio of the air in the bag decreased and the carbon dioxide ratio increased.,,,
432,The bag is filled with carbon dioxide and oxygen is reduced,,,
433,Breathe in the oxygen in the bag and release carbon dioxide,,,
434,Carbon dioxide is injected into the bag by inhaling oxygen and emitting carbon dioxide.,,,
435,"At first, it is full of oxygen, but then the carbon dioxide rate rises",,,
436,The air would have decreased because I inhaled the air in the bag.,,,
437,"In the bag, the concentration of carbon dioxide is higher than the concentration of acidity due to breathing.",,,
438,"Oxygen also comes out when you exhale, but if you exhale several times, the proportion of oxygen decreases.",,,
439,"Gas exchange occurs in the lungs through lung breathing, and the concentration of oxygen decreases when exhaling after breathing, and the concentration of carbon dioxide produced as a result of breathing increases, reducing the concentration of oxygen in the bag and increasing the concentration of carbon dioxide.",,,
440,"Gas exchange occurs in the lungs, and the concentration of oxygen in the bag decreases and the concentration of carbon dioxide increases because of the carbon dioxide produced as a result of breathing.",,,
441,The concentration of oxygen decreases and the concentration of carbon dioxide increases.,,,
442,The oxygen in the bag turned into carbon dioxide,,,
443,The bag is almost filled with carbon dioxide.,,,
444,The air in the bag became carbon dioxide.,,,
445,Change from oxygen to carbon dioxide by inhaling in and out,,,
446,It would be full of carbon dioxide,,,
447,It's blurry,,,
448,an increase in air pressure,,,
449,Oxygen concentration decreases and carbon dioxide concentration increases.,,,
450,It would be full of carbon dioxide.,,,
451,Moistening sugar,,,
452,It's blurry,,,
453,(wink),,,
454,"Later, it becomes hard to breathe",,,
455,turn into carbon dioxide,,,
456,Oxygen is reduced and carbon dioxide is increased.,,,
457,It's full of carbon dioxide,,,
458,Carbon dioxide has formed.,,,
459,There would be carbon dioxide.,,,
460,Oxygen decreases and carbon dioxide increases,,,
461,Carbon dioxide went in instead of oxygen,,,
462,The bag was filled with carbon dioxide,,,
463,the disappearance of oxygen is gone.,,,
464,The amount of air in the bag decreases. Because the amount of air in the plastic bag is limited.,,,
465,The air decreases,,,
466,There is carbon dioxide left,,,
467,Oxygen is gone and only carbon dioxide is left,,,
468,Most of the air becomes carbon dioxide,,,
469,Oxygen is used for human breathing and carbon dioxide is produced by exhalation.,,,
470,"When you inhale (inhale), the fresh air in the bag goes into the body, and when you exhale the air in the body, carbon dioxide comes out and changes the air, making it harder to breathe as fresh air turns into carbon dioxide.",,,
471,The amount of carbon dioxide increases,,,
472,"""The concentration of carbon dioxide increases",,,
473,"""",,,
474,There is a lot of carbon dioxide has increased.,,,
475,Steam rises and steam rises,,,
476,There's a lot of carbon dioxide,,,
477,It's full of carbon dioxide. Oh my,,,
478,be short of oxygen,,,
479,Oxygen is gone and only carbon dioxide is left.,,,
480,Reduced oxygen and increased carbon dioxide,,,
481,Oxygen decreases and carbon dioxide increases,,,
482,It's filled with carbon dioxide,,,
483,O2 changes to CO2.,,,
484,The concentration of carbon dioxide increases and the concentration of oxygen decreases.,,,
485,The bag expands,,,
486,The bag expands.,,,
487,It's getting damp.,,,
488,"By hopping, the concentration of carbon dioxide increases and the concentration of oxygen decreases.",,,
489,"When you breathe, carbon dioxide is released and steam rises.",,,
490,Carbon Dioxide Concentration,,,
491,"As time goes by, oxygen decreases and carbon dioxide cools.",,,
492,I can't fill it up any more,,,
493,"Since you breathe in oxygen, the oxygen in the bag gradually decreases and emits carbon dioxide, so the concentration of carbon dioxide concentration in the bag increases.",,,
494,"When inhaling, inhaling oxygen in a plastic bag and exhaling carbon dioxide when exhaling, reducing oxygen in the bag and increasing the amount of carbon dioxide.Oxygen was lost and carbon dioxide was produced.",,,
495,Don't know,,,
496,"It was full of oxygen, but breathing would have filled the bag with carbon dioxide.",,,
497,The amount of carbon dioxide will increase because carbon dioxide comes out when you breathe out,,,
498,Oxygen decreases and carbon dioxide increases,,,
499,The fresh oxygen in the bag decreases and the carbon dioxide produced by breathing increases.,,,
500,The air is inside,,,
501,The amount of oxygen in the bag decreases and the amount of carbon dioxide increases because it inhales oxygen during inhalation and exhales carbon dioxide during exhalation.,,,
502,The concentration of oxygen decreases.,,,
503,"""",,,
504,"""The air is gone""",,,
505,The air decreases,,,
506,The air gradually disappears.,,,
507,It turns into carbon dioxide,,,
508,The air is getting less and less,,,
509,I think I got water drops,,,
510,I think the plastic bag will be full of air.,,,
511,The plastic bag is filled with moisture and a little water drop is smoothed,,,
512,I think the plastic bag will be full of air.,,,
513,I think the moisture will be cold and much less than the first air.,,,
514,The plastic seems to have expanded because of the air,,,
