,"2) How can I compare the richness of salt water in A, B, and C beakers other than a taste?",q36_weight,q36_deposition,q36_measurement,q36_color,q36_taste
85,"Abc is heated and evaporated with water vapor. If you evaporate them all, there are salt crystals left. Depending on the amount of salt crystals, the richness of salt water can be compared.",,,,,
86,Find beakers that evaporate faster because they are hot.,,,,,
87,"After making all other conditions the same, keep lowering the temperature at the temperature at which all salts can be dissolved, and record the temperature at which unmelted salts come out. The higher this temperature, the stronger the salt water is.",,,,,
88,"""Since the same amount of water has been added, check the weight.",,,,,
89,Compare densities.,,,,,
90,Compare the concentrations.,,,,,
91,Compare the mass ratios.,,,,,
92,Compare the crystallinity of the salt while evaporating the same amount of water.,,,,,
93,"Compare the crystallinity while lowering the temperature.""",,,,,
94,I'm going to try it,,,,,
95,It evaporates in the sun,,,,,
96,Find the ratio of salt water to the amount of salt.(When the amount of salt water is the same),,,,,
97,Heat water to evaporate,,,,,
98,Concentrationthe color of a solution,,,,,
99,the color and concentration of a solution,,,,,
100,"""+ Compare the amount of salt left after evaporating.",,,,,
101,+ Compare the densities (put other substances and float them).),,,,,
102,"+ Compare the viscosity.""",,,,,
103,"The color of the solution,",,,,,
104,"Whether the salt is melted or not,",,,,,
105,I don't know.,,,,,
106,transparency of water,,,,,
107,I'm going to put in a small kernel,,,,,
108,the extent to which the remaining salt has subsided,,,,,
109,salinity measurement,,,,,
110,Compare the transparency of water.,,,,,
111,to calculate the amount of salt/water,,,,,
112,It evaporates water,,,,,
113,Let's heat it up,,,,,
114,Measure the concentration,,,,,
115,Use a salinity meter,,,,,
116,Taste it. Use a spoon to eat it Try the salt in the salt water All I can do is try it,,,,,
117,Check the degree of floating of an object by floating it in salt water.,,,,,
118,Add pigment to each beaker and layer,,,,,
119,Measure the concentration of salt water in each beaker.,,,,,
120,Observe the color of the water,,,,,
121,Yeah.,,,,,
122,Measure the amount of salt,,,,,
123,filter through a filter paper,,,,,
124,Use a machine that shows that salt is strong,,,,,
125,Concentration,,,,,
126,Need to use the necessary tools,,,,,
127,Add tomatoes,,,,,
128,c,,,,,
129,Put it in the same food,,,,,
130,Don't taste it and eat it.,,,,,
131,"Sar, I believe you",,,,,
132,Compare the amount of salt left by evaporating water,,,,,
133,I don't know.,,,,,
134,It changes the time,,,,,
135,"Smell it, but look at it",,,,,
136,Height comparison,,,,,
137,Don't taste it and eat it.,,,,,
138,Compare colors.,,,,,
139,colored hair,,,,,
140,Taste it,,,,,
141,Boil water over the fire to see how much salt is left.,,,,,
142,Look at the color.,,,,,
143,Adjust the amount of water,,,,,
144,Look at the amount of muscle that sinks,,,,,
145,Add eggs and check the concentration.,,,,,
146,I'm taking care of you,,,,,
147,floating eggs,,,,,
148,You can compare how much salt sinks.,,,,,
149,float a coin,,,,,
150,"If you look at the color of the salt water, the dark color means that the salt concentration is high",,,,,
151,Check by color. Use a floating object.,,,,,
152,Spare the eggs in the salt water,,,,,
153,I'm going to add eggs,,,,,
154,Float the eggs.,,,,,
155,"""Weighing. Weighing increases by the amount of salt",,,,,
156,"I'm going to scoop the egg. If the salt concentration increases, the buoyancy increases",,,,,
157,You can see the salt concentration is strong,,,,,
158,Float the eggs.,,,,,
159,Place the eggs on top.,,,,,
160,See which color is darker,,,,,
161,"Observe with your eyes, \ Compare the amount of salt water",,,,,
162,Look at the color,,,,,
163,Raise an object with the same weight,,,,,
164,the thickening of muddy water,,,,,
165,There is also a way to jump on a floating object.,,,,,
166,Weighing,,,,,
167,Look at the color. Look at the turbidity of the water.,,,,,
168,I'm going to scoop up the eggs,,,,,
169,Add eggs,,,,,
170,Saving the Thickness of Water,,,,,
171,Look at the color,,,,,
172,The water with the egg that floats the most is the darkest water.,,,,,
173,Calculate the concentration.,,,,,
174,Compare the richness of the salt using the amount of salt and water added.,,,,,
175,Look at the color of the water.,,,,,
176,Heat to determine the amount of salt (if the amount of water is the same),,,,,
177,Find the amount of salt and the amount of salt water.,,,,,
178,I'm going to put in an object,,,,,
179,I don't know,,,,,
180,Let's see if he's crossing an object,,,,,
181,Check by floating objects such as cherry tomatoes,,,,,
182,You can compare the thickness of an object by adding an egg or other object,,,,,
183,Compare the amount of water,,,,,
184,a dark color,,,,,
185,Smell it.,,,,,
186,"When the water evaporates by heating it in an alcohol lamp, compare the amount of salt.",,,,,
187,Add cherry tomatoes,,,,,
188,Look at the color's thickening.,,,,,
189,"1. Add cherry tomatoes. This is because the stronger the salt concentration, the more buoyant the object receives. It is the same reason that a boat floats well in the sea.",,,,,
190,"You add eggs to compare how much they float, and what you float more is the concentration.",,,,,
191,Smell-making,,,,,
192,"If the amount of water is the same, the heaviest one is the darkest one",,,,,
193,Divide the weight of the solute by the weight of the solute to obtain the thickening of the solute.,,,,,
194,Let's float the object,,,,,
195,boiling salinity meter,,,,,
196,"Smell, etc",,,,,
197,Evaporate to see the amount of saltO colors,,,,,
198,Use a spoon,,,,,
199,look at the level of turbidity,,,,,
200,"Looking at the colors, smelling, touching.",,,,,
201,I'm going to drink salt water,,,,,
202,Add cherry tomatoes or quails,,,,,
203,the degree of turbidity of water,,,,,
204,It can be classified as concentration.,,,,,
205,Add different colors to each of the three salt water and mix it.,,,,,
206,Compare the amount of salt left by evaporating water into the sunlight on a scale,,,,,
207,You can see that the solute division solution is thick.,,,,,
208,I'm going to drink it,,,,,
209,Measure the concentration of salt,,,,,
210,use a variety of spoons,,,,,
211,Try the salt water.,,,,,
212,"""I'm going to float a cherry tomato.""",,,,,
213,"If cherry tomatoes float well above the surface, the concentration is strong, and if they do not float, the concentration is not strong.""",,,,,
214,I don't have it's,,,,,
215,Try putting another object in salt water.,,,,,
216,Heat the salt water and compare it to the amount of salt/weight/,,,,,
217,"The richness of salt water is the amount of salt divided by the amount of salt water. Therefore, if you know the amount of salt and the amount of salt water, you will know the exact richness of salt water.",,,,,
218,"Heat all beakers to evaporate water, then compare the amount of salt remaining.",,,,,
219,floating cherry tomatoes,,,,,
220,"""1. See color - there is a high probability that there is a blurry color.""]",,,,,
221,"2. Add substances that act as indicators - To measure the salinity of salt water, you can add a salt meter or a specific drug. Like detergent and purple cabbage.",,,,,
222,3. Let's dry it. Easy and slow.,,,,,
223,4. I just remember how much I put in,,,,,
224,I don't know,,,,,
225,It is made of salt again and distinguished by comparing the amount of salt.,,,,,
226,It evaporates water,,,,,
227,That's what I think,,,,,
228,It evaporates water,,,,,
229,Compare the amount of salt by evaporating water.,,,,,
230,Evaporate the salt water.,,,,,
231,You can look at the evaporation of water.,,,,,
232,La,,,,,
233,Put an object of the same weight and see how much it floats.,,,,,
234,"If you dissolve different color pigments in each beaker and solve them in one place, the solution with the highest concentration will be layered on the bottom, the middle, and the lowest solution on the top...?",,,,,
235,I'm going to stir it,,,,,
236,I don't know...,,,,,
237,Add a substance with a semipermeable membrane,,,,,
238,space out an item,,,,,
239,Try to float the same object on salt water,,,,,
240,"""Vaporate the water and look at the amount of salt generated",,,,,
241,"Measure electrical conductivity""",,,,,
242,Use of properties such as electrical conductivity,,,,,
243,"Add eggs, evaporate them",,,,,
244,try to float a substance,,,,,
245,I don't know,,,,,
246,I'm going to scoop the eggs.,,,,,
247,Smell it using your sense of smell.,,,,,
248,I don't know,,,,,
249,Compare the size,,,,,
250,Look at the color of the salt water,,,,,
251,You can compare the size with an electronic scale.,,,,,
252,"Heat the A, B, and C beakers with an alcohol lamp and when the water is all gone, either side compares the salt.",,,,,
253,"Color, amount of salt",,,,,
254,I'm going to drop a drop of paper,,,,,
255,Take the smell and look for a strong salt smell.,,,,,
256,I think it would be okay to look at the color to see the richness of the salt.,,,,,
257,Which one melts faster?,,,,,
258,Put the stuff in the beaker and compare it with a more open one.,,,,,
259,a salt sheep,,,,,
260,when farming,,,,,
261,Put a lot of salt in some beakers and a little in some beakers.,,,,,
262,Use a table to attach it,,,,,
263,"""Add eggs.",,,,,
264,"Mix the pigment in each beaker and pour it into another beaker.""",,,,,
265,I don't know.,,,,,
266,White Thickness Comparison,,,,,
267,Calculate the concentration,,,,,
268,I'm going to scoop out the eggs,,,,,
269,Find the thickening in concentration,,,,,
270,Using a concentration meter,,,,,
271,Use a concentration meter,,,,,
272,Using a salinity meter,,,,,
273,I'll float the tomatoes,,,,,
274,I'm going to scoop out the eggs,,,,,
275,Doing concentration,,,,,
276,"The amount of salt left, let's dry it in the sun",,,,,
277,To measure concentration,,,,,
278,Evaporate it,,,,,
279,Compare the concentration differences.,,,,,
280,"Compare different concentrations (percent concentration, molar concentration, molar concentration)",,,,,
281,I'm going to evaporate all the water.,,,,,
282,Measure the amount of salt after evaporating all the water.,,,,,
283,Measure the concentration.,,,,,
284,I'm going to boil water,,,,,
285,Let's use the formula,,,,,
286,Use a machine that can check the salt concentration.,,,,,
287,I don't know.,,,,,
288,Boil it,,,,,
289,Pickled cabbage to check the pickled taste of cabbage.,,,,,
290,Check the degree to which an object rises by putting it in.,,,,,
291,"""While boiling the salt water, I see which one is missing first.""",,,,,
292,"""",,,,,
293,"""We compare the amount of salt by evaporating it.",,,,,
294,"""",,,,,
295,Use a machine that can measure salt concentration.,,,,,
296,"You can add a certain amount of salt little by little to observe which beaker does not dissolve the salt first.Add a little more salt to all a, b, and c to compare the remaining amount of salt.",,,,,
297,Color,,,,,
298,Evaporate them all,,,,,
299,Find the concentration,,,,,
300,The concentration is measured by comparing the capacity of water with the amount of salt.,,,,,
301,Evaporate the water.,,,,,
302,Smell it,,,,,
303,Put it on your hand.,,,,,
304,Concentration test,,,,,
305,I'm going to scoop up the eggs,,,,,
306,I don't know.,,,,,
307,I don't understand.,,,,,
308,You can evaporate it and determine the amount of salt left.,,,,,
309,Measure the concentration,,,,,
310,Concentration comparison,,,,,
311,Let's check the concentration,,,,,
312,"litmus paper, measuring concentration",,,,,
313,It's measured by a machine,,,,,
314,I'm going to boil water.,,,,,
315,Spray water on the floor and evaporate,,,,,
316,Measure the amount of salt produced by evaporating water.,,,,,
317,Evaporate it,,,,,
318,I'm going to float the cherry tomatoes.,,,,,
319,Compare with a machine that compares the concentrations.,,,,,
320,judge by the amount of salt that has sunk,,,,,
321,"The greater the thickening, the more blurry the water becomes, so check the turbidity of the water with your eyes.",,,,,
322,Add rice grains to observe which beaker's salt water floats higher.,,,,,
323,Heat to see the amount of salt.,,,,,
324,Use a concentration meter,,,,,
325,Smell it,,,,,
326,Dry the contents and look at the remaining salt crystals.,,,,,
327,determine the amount of electric charge,,,,,
328,Use a salinity meter.,,,,,
329,Compare each color of the beaker.,,,,,
330,Let's open the cherry tomatoes.,,,,,
331,I'm going to scoop up the eggs,,,,,
332,Lower the temperature of the water to compare the amount of salt that sinks below,,,,,
333,I'm going to scoop up the eggs,,,,,
334,It evaporates water,,,,,
335,Check the amount of salt dissolved in the same amount of water.,,,,,
336,The beaker with more salt is thick because it evaporates,,,,,
337,"""1. Calculate the concentration of salt water directly.""",,,,,
338,2. Investigate PH concentration,,,,,
339,Compare the amount of salt produced by evaporating water.,,,,,
340,Put a light and small object to see how it floats.,,,,,
341,Compare the amount of salt remaining by evaporating water.,,,,,
342,Heat water to evaporate to check the amount of salt,,,,,
343,filter out salt,,,,,
344,The amount of salt produced by boiling water can be compared.,,,,,
345,"""1) After mixing well with salt water, place the same amount of salt water on the glass and evaporate the water with natural light, and the amount of crystals remaining on the glass",,,,,
346,"2) ""The degree to which salt water is burned when it is coated on an iron rod and burned by fire.""",,,,,
347,"Add eggs and compare them by looking at how many eggs are floating because if they float in water, it means that they have a lot of salt.",,,,,
348,"Boil each beaker of A, B, and C to see the remaining salt mass.",,,,,
349,Observe the amount of salt by evaporating it.,,,,,
350,Concentration measurement,,,,,
351,Concentration measurement,,,,,
352,I see it with my eyes,,,,,
353,I'm going to add water,,,,,
354,I don't know,,,,,
355,I don't know,,,,,
356,I don't know,,,,,
357,the color of water,,,,,
358,lol,,,,,
359,I'm going to boil water.,,,,,
360,ã,,,,,
361,You have to use a spoon,,,,,
362,Turn off the heat and look at the remaining salt.,,,,,
363,"If you float a quail egg on the water, it is not thicker as it sinks, but thicker as it rises.",,,,,
364,I don't know,,,,,
365,Weight,,,,,
366,I don't know,,,,,
367,get a whiff,,,,,
368,"The amount of water in the A, B, and C beakers is all the same, so you can compare it with the amount of salt.",,,,,
369,I don't know,,,,,
370,I measure the water differently,,,,,
371,"To equalize the amount of water and mix and not sink to the bottom much is to add a lot of salt, which is the thickest.",,,,,
372,Sift it out,,,,,
373,Measure the concentration.,,,,,
374,Grape altogether,,,,,
375,I'm going to scoop the egg,,,,,
376,Compare colors.,,,,,
377,Heat it up,,,,,
378,very well,,,,,
379,Color,,,,,
380,Check the concentration of salt water,,,,,
381,Smell it,,,,,
382,The smell,,,,,
383,Check the salt from evaporating,,,,,
384,Place cherry tomatoes or other items on top of salt water.,,,,,
385,Evaporate it.,,,,,
386,Measure the amount of salt added,,,,,
387,Use math to find the proportion of salt and compare it.,,,,,
388,Try to float an object.,,,,,
389,I'm going to scoop out the eggs,,,,,
390,Floating on egg wash,,,,,
391,I don't know,,,,,
392,Compare the strength of salt water with the amount of salt.,,,,,
393,#NAME?,,,,,
394,It's all over the place,,,,,
395,ColorI don't know.,,,,,
396,Experiment. Use different substances to react to compare,,,,,
397,Let's calculate the concentration,,,,,
398,Use a concentration systolic.,,,,,
399,I'm going to scoop up the eggs.,,,,,
400,Try to space out a light object,,,,,
401,It floats a light object,,,,,
402,Look at the colors,,,,,
403,Break an egg and scoop it out,,,,,
404,Compare the moorings,,,,,
405,Add eggs,,,,,
406,Temperature,,,,,
407,I don't know.,,,,,
408,indicate the dark age in %,,,,,
409,I'm feeding them to animals,,,,,
410,Find the mathematical formula for concentration,,,,,
411,"Smell, color",,,,,
412,Add cherry tomatoes to compare,,,,,
413,observation with one's eyes,,,,,
414,Float the eggs in salt water,,,,,
415,Use a constant object floating in the water to compare how much the object sinks into each beaker.,,,,,
416,The amount of salt relative to the amount of water is expressed as a ratio or a percentage.,,,,,
417,Add cherry tomatoes,,,,,
418,Smell it,,,,,
419,I'm touching it,,,,,
420,the color of salt water,,,,,
421,Hotness,,,,,
422,Measuring the weight.,,,,,
423,I don't know,,,,,
424,Measure the concentration with a measuring machine.,,,,,
425,Let's put it as a percentage.,,,,,
426,I don't know.,,,,,
427,"""I put plastic gloves on my hand and dipped it in my hand."" (I don't know much about it, so I just",,,,,
428,"I wrote down my thoughts.)""",,,,,
429,"Compare the height of the object's float by inserting a suitable object. (e.g., tomatoes)",,,,,
430,???,,,,,
431,You can tell by the color,,,,,
432,It's a stain on the color.,,,,,
433,Compare the amount of salt added.,,,,,
434,Mathematically calculated,,,,,
435,Compare the degree to which eggs come to mind by dropping them,,,,,
436,"""The salt water in the A, B, and C beakers is divided into equal amounts and dried, and the salt water is thicker than the salt.",,,,,
437,"I use math.""",,,,,
438,I'm going to evaporate it,,,,,
439,Weight.,,,,,
440,Concentration measurement,,,,,
441,I don't understand.,,,,,
442,Compare the height of the float by inserting a suitable object.,,,,,
443,I can see the smell or the richness of salt water with my eyes.,,,,,
444,Color,,,,,
445,compare by appearance or smell,,,,,
446,the degree of turbidity in color,,,,,
447,Check transparency,,,,,
448,Evaporating,,,,,
449,Evaporate. Use a concentration measuring instrument,,,,,
450,Concentration measurement,,,,,
451,Compare colors.,,,,,
452,"When the water evaporates by heating the salt water, the thickness of the salt water is compared with the amount of salt remaining.",,,,,
453,the color of water,,,,,
454,Evaporation,,,,,
455,Measure the concentration,,,,,
456,Use the pH level,,,,,
457,Look at the concentration,,,,,
458,Add more,,,,,
459,Weighing or evaporating to see the remaining salt crystals,,,,,
460,Compare the amount of salt remaining when sufficiently stirred.,,,,,
461,I'm going to pour it into the paper,,,,,
462,salinity measurement,,,,,
463,Check the degree of blurring.,,,,,
464,Bring to a boil and leave only salt,,,,,
465,Look at the sediment.,,,,,
466,Compare the thickening using the formula for determining the concentration of salt water.,,,,,
467,"I don't know because I haven't done it either, so try it on your own...",,,,,
468,I try different things in different ways,,,,,
469,Float styrofoam balls or eggs that can use the density difference.,,,,,
470,Concentration,,,,,
471,Mix in different pigments and check the concentration in the sunken position,,,,,
472,Check the turbidity of the water.,,,,,
473,Evaporate the water,,,,,
474,I don't know.,,,,,
475,floating eggs,,,,,
476,sheep,,,,,
477,The smell,,,,,
478,I'm going to add tomatoes,,,,,
479,How dark the water is,,,,,
480,Measure the base.,,,,,
481,Size comparison?,,,,,
482,Color and smell,,,,,
483,Add water,,,,,
484,I'm going to taste it...,,,,,
485,Eat.,,,,,
486,Think about how much salt you put in before.,,,,,
487,Let's see through comparison.,,,,,
488,Measure the thickening of the solution.,,,,,
489,Try putting small things (food).,,,,,
490,Let's see if it's the color,,,,,
491,Put something in and see if it pops up or not,,,,,
492,I'm tasting it,,,,,
493,It is reported with a salinity meter.,,,,,
494,Touch it with your hands.I see salt in her arms,,,,,
495,Calculate the intensity of rain and proportion,,,,,
496,Smell it.,,,,,
497,Check the color,,,,,
498,Calculation,,,,,
499,Pour all the colors into the beaker water and compare.,,,,,
500,the extent to which the salt has subsided,,,,,
501,Look at the colors,,,,,
502,Seeing with your eyes,,,,,
503,Use a salinity meter.,,,,,
504,Float the cherry tomatoes.,,,,,
505,Add quail eggs.,,,,,
506,Compare the figures using a measuring instrument.,,,,,
507,Float cherry tomatoes in water.,,,,,
508,Add quail eggs.,,,,,
509,Make a tool to compare the thickness of the solution and compare it.,,,,,
510,Check the weight.,,,,,
511,Use cherry tomatoes.,,,,,
512,...,,,,,
513,Try it.,,,,,
514,I don't know.,,,,,
515,Smell it,,,,,
516,I don't know,,,,,
517,I don't know.,,,,,
518,Look at the colors,,,,,
519,I don't know,,,,,
520,salt concentration,,,,,
521,I don't know.,,,,,
522,I don't know...,,,,,
523,I want to stop,,,,,
524,"""Taste""",,,,,
525,"I see.""",,,,,
526,M and D,,,,,
527,"It's done by smell, by sense.",,,,,
528,I don't know.,,,,,
529,I don't know,,,,,
530,the remaining amount of salt,,,,,
531,We listen to the opinions of the citizens.,,,,,
532,have no idea,,,,,
533,See the amount of salt on the floor.,,,,,
534,""" The color of the rich of the water to see.",,,,,
535,"See the bottom of the beaker that you can tell how much salt is dissolved.""",,,,,
536,Add a bit of water.,,,,,
537,Sa yoyoa the salinity.,,,,,
538,I don't know.,,,,,
539,Check the concentration.,,,,,
540,See the color.,,,,,
541,To check the color.,,,,,
542,One carat is 200 milligrams of salt water.,,,,,
543,See color.,,,,,
544,Or use a lot less water.,,,,,
545,Rich in salt water,,,,,
546,Put more or less.,,,,,
547,I don't know.,,,,,
548,I don't understand.,,,,,
549,lol,,,,,
550,The water evaporates.,,,,,
551,"Concentration meter current as victors, check the amount of salt, to burn it.",,,,,
552,Heat salt to evaporate water and compare the amount of salt,,,,,
553,It can be seen that the density is compared by using a sodium meter or by adding pigments to each solution and stacking them in layers.,,,,,
554,"Smell it. The stronger the salt smells, the thicker the salt water. Or evaporate water. The beaker, which has the largest amount of salt left by evaporating water, is the beaker containing the thickest salt water.",,,,,
555,"By heating the three salt water to determine the amount of salt remaining, you can compare the richness of the salt water",,,,,
556,Compare how well the current flows by flowing it.,,,,,
557,"Compare the amount of crystals produced by evaporating the solution in each beaker, add salt to each solution, compare the boiling point by heating each solution, measure the charge of each solution",,,,,
558,Dissolve the same water and heat to the same temperature to compare the remaining amount of salt,,,,,
559,Each evaporates a certain amount of water to check the remaining amount of salt and measure the concentration.,,,,,
560,Evaporate to check the amount of salt.,,,,,
561,Compare the amount of salt produced by evaporating salt water.,,,,,
562,Use a concentration meter to check if the concentration of freezing is thicker. Or evaporate water to determine the amount of pure salt to see which is thick,,,,,
563,Measure the current with an ammeter by conducting electricity in salt water.,,,,,
564,"Several objects of different densities are placed in a se beaker, and if an object is submerged in some beakers, and an object is floating in another, it can be seen that the concentration of salt water in the two beakers is different.",,,,,
565,"By calculating the concentration of salt water or comparing the degree of floating by adding the same substance, it is possible to compare the darkest of the most floating solutions, the softest of the least floating solutions, and the difference in boiling point by boiling the solution.",,,,,
566,Check the amount of salt by evaporating water.,,,,,
567,Compare the richness of salt water by obtaining the amount of salt from the amount of sediment produced by adding ag. The amount of salt left by heating can be determined.,,,,,
568,"When all the salt water is evaporated, the water vaporizes and only salt remains. Comparing the amount of salt remaining, it can be concluded that the beaker with the most salt is the darkest. In addition, the salt is ionized into sodium ions and chloride ions in an aqueous solution state and allows electricity to flow. At this time, the more salt, the more ions, so electricity flows well. Therefore, the higher the intensity of electricity flow, the stronger the salt water is.",,,,,
569,The relative concentration of the liquid may be measured by directly comparing the concentrations or by equalizing the mass of the liquid.,,,,,
570,"Use a formula for the concentration of salt water. Since the amount of salt = concentration/100* amount of salt water, the intensity (concentration) of salt water can be obtained using this formula.",,,,,
571,"Buoyancy depends on the concentration of salt water. The stronger the concentration, the higher the buoyancy, and using these properties, you can compare the richness of the salt water by adding eggs to each salt water to compare how much the egg floats.",,,,,
572,"Evaporate the water. If all the water in the beaker is evaporated using the principle of obtaining salt by evaporating seawater from the salt field, salt will come out for each beaker. At this time, you can compare the amount of salt to compare the richness of the salt water.",,,,,
573,"There is a method of comparing the intensity of the current or directly depositing salt. There is a way to compare the intensity of the current through electricity. Salt is ionized when it enters the water and current flows, so the intensity of the current can be compared. Another method is to evaporate water by continuously heating it.",,,,,
574,"""I'll add more water.",,,,,
575,"""",,,,,
576,Evaporate. Measure the magnitude of the resistance by sending electricity (with the brightness of the bulb),,,,,
577,float an egg,,,,,
578,I'm going to boil it,,,,,
579,Salinity meter,,,,,
580,boil,,,,,
581,Comparison of boiling computer melting points,,,,,
582,"Measure the concentration of NaCl, just measure the concentration of the solution, measure the electromagnetic force",,,,,
583,Count the number of salt left over by heating,,,,,
584,Smell it,,,,,
585,I'm going to boil it,,,,,
586,Measure it with a concentrator.,,,,,
587,Use osmotic pressure,,,,,
588,I'm going to drink it,,,,,
589,I don't know.,,,,,
590,Check the level of melting in the water,,,,,
591,Measure the concentration with a concentration meter,,,,,
592,?,,,,,
593,Boil and check the remaining saltI don't know,,,,,
594,I don't know.,,,,,
595,compare colors,,,,,
596,Add a substance that reacts to salt.,,,,,
597,Taste it.,,,,,
598,Concentration measurement,,,,,
599,to flow an electric current,,,,,
600,I'm going to evaporate it,,,,,
601,Touching,,,,,
602,"A device capable of measuring the concentration is used, or the mass of the sebeaker is measured to determine that the concentration of salt water on the side with high mass is high.",,,,,
603,Try putting an object in the water.,,,,,
604,Weighing,,,,,
605,Remove the beaker weight and water weight and weigh again,,,,,
606,the difference in salt mass,,,,,
607,Use a salinity meter,,,,,
608,use a machine,,,,,
609,Smell it,,,,,
610,Density comparison,,,,,
611,Try to evaporate the water.,,,,,
612,Compare the amount of salt left on the floor by evaporating only water completely,,,,,
613,I'm going to add eggs,,,,,
614,a concentration meter,,,,,
615,I don't know.,,,,,
616,Heat it up and leave only salt,,,,,
617,I'm going to put something in.,,,,,
618,How do I know that?,,,,,
619,Huh.,,,,,
620,Floating,,,,,
621,floating eggs,,,,,
622,Build a density tower,,,,,
623,Compare the amount of salt evaporated,,,,,
624,Compare the amount of salt produced by heating.,,,,,
625,I use a machine to find out.,,,,,
626,Compare the amount of salt crystals after heating,,,,,
627,Concentration of salt water = {(amount of salt)/amount of salt water} Ã 100,,,,,
628,I don't know,,,,,
629,How well buoyancy comes to mind,,,,,
630,Use a concentration calculator,,,,,
631,Evaporate the water to see how much salt comes out,,,,,
632,Use a concentration meter.,,,,,
633,Check the speed difference according to the concentration through chromatography.,,,,,
634,The molar concentration and molar concentration are used to compare,,,,,
635,Add eggs and compare how much eggs float on top.,,,,,
636,Compare the boiling point.,,,,,
637,Heat it up,,,,,
638,Concentration comparison,,,,,
639,I'm going to scoop up the eggs,,,,,
640,"Use molar concentration, molar concentration",,,,,
