,"17. The color change of the red cabbage indicator indicates that the more basic solution is added to the acidic solution, the weaker the acidity, and the more acidic solution is added to the basic solution, the weaker the basicity. Mixing acidic and basic solutions will reduce the acidity and basicity before mixing. Let's explain in detail why acidity and basicity weaken when acidity and basicity meet, using your own knowledge of acid and base.",q17_acid-based adaptation,q17_equivalent ratio,q17_loss of properties,q17_conflict properties
473,"When the acid base meets, it becomes water.",,,,
474,This is because acids and bases become neutral when they meet.,,,,
475,"Phenolphthalein is acidic, neutral to colorless, and basic to red, while thymorphthalein is acidic to blue, and neutral to colorless to basic.",,,,
476,Hydroxides and hydrogen ions meet to make water and become neutralized,,,,
477,MooMoo's red,,,,
478,I don't know,,,,
479,Acid and base are opposite to each other,,,,
480,Acid and basicity weaken because water is produced when acids and bases meet.,,,,
481,Don't know,,,,
482,Chinese jam,,,,
483,It is because it is neutralized.,,,,
484,I don't know,,,,
485,"When the acid and base are neutralized and there are more acids, the base weakens, and when there are more bases, the acid weakens.",,,,
486,This is because acidity and basicity react to neutralize.,,,,
487,"Acid has acidic properties because of hydrogen ions and basic properties because of hydroxide ions, so if you mix the two, hydrogen ions and hydroxide ions meet to make water, which weakens the acidity and basic properties.",,,,
488,A neutralization reaction takes place.,,,,
489,"Since acid and base ions meet to produce water, the number of ions decreases and weakens.",,,,
490,This is because neutralization occurs when basic and acidic meet.,,,,
491,Unknown.,,,,
492,It's neutralized.,,,,
493,"Acid means hydrogen ions are contained in the aqueous solution, and basic means hydroxide ions are contained in the aqueous solution. In this case, when hydrogen ions and hydroxide ions meet each other, the liquid property of the aqueous solution is made close to neutral by reacting at a ratio of 1:1 to generate water.",,,,
494,"Since hydrogen ions and hydroxide ions combine to form water molecules, mixing acids and bases creates water and weakens acidity and basicity. This is called a neutralization reaction.",,,,
495,"According to Arenius's definition of acid and base, acid is a substance that dissolves in water to release hydrogen ions, and base dissolves in water to release hydroxide ions. When hydroxide ions and hydrogen ions meet, they become water, and since water is neutral, the two properties gradually weaken when acids and bases meet.neutralized",,,,
496,ããíããë¸ë©°ì²í¸ë¨,,,,
497,Hmm... I don't know!,,,,
498,"Acid is red, base is blue",,,,
499,áá³d ádiot 5ããã66-ã66,,,,
500,Acid and basic are completely opposite,,,,
501,"When basic and acidic meet, their properties disappear very elegantly",,,,
502,intermingled with each other,,,,
503,It's acidic,,,,
504,I don't know.,,,,
505,"What happens when an acid and a base meet? The answer is ""very well""...",,,,
506,This is because acidity and basicity are the opposite of each other.,,,,
507,I don't remember,,,,
508,"When acidity and basicity meet, they become more and more neutral",,,,
509,"When acids and bases meet, they are neutralized, weakening their properties.",,,,
510,It's weak,,,,
511,I don't remember,,,,
512,Surprising.,,,,
513,Red cabbage are various indicator neoeoseo made.,,,,
514,Mwon ;;;;;;;;;; be more than I can't hit you? it if!^,,,,
515,I do.,,,,
516,"Acidic and basic silver poles apart, so we have.",,,,
517,I don't know.,,,,
518,"Neutral, indicator of cabbage.",,,,
519,Because it's the median value to meet is acidic and basic.,,,,
520,That I don't know.,,,,
521,Don't know,,,,
522,Acidic and basic properties that are opposed to each other because they have neutralized each other.,,,,
523,The nature of the opposition and each other.,,,,
524,Is a component of the opposition and each other.,,,,
525,Two different house each other.,,,,
526,.,,,,
527,398+700=1098,,,,
528,Acidic and alkaline mix.,,,,
529,Don't know,,,,
530,Mountains and base becomes weak when they meet each other.,,,,
531,"Acidic and basic when you see each other, opposite a frame because that China.",,,,
532,Remember ...,,,,
533,I don't remember.,,,,
534,"Acid has bitter properties, and basic properties have divine properties, so the properties of the two are opposite, so when they meet, the properties of acidity and basicity weaken.",,,,
535,I don't know.,,,,
536,Um... I don't remember...,,,,
537,"This is because acidity and base are different substances, so both weaken when contacted.",,,,
538,"Because they have different properties, I think strong and weak properties meet and neutral and two properties combine. This is because if you have the same things, you get stronger and if you have different things, you get weaker.",,,,
539,Don't know,,,,
540,a stone language,,,,
541,?,,,,
542,I don't know.,,,,
543,I don't like acidity and basicity,,,,
544,I have no idea.,,,,
545,Basic and acidic are natural enemies,,,,
546,Don't know,,,,
547,"If you add a lot of acidity, it becomes more acidic, and if you add a lot of basicity, it becomes more basic",,,,
548,I don't know,,,,
549,I don't know,,,,
550,M and D,,,,
551,I don't know,,,,
552,I don't know.,,,,
553,It's because the acid removes the basicity,,,,
554,"This is because when acidity and basicity are mixed, they become neutral.",,,,
555,"Acid and base have opposite colors and properties, so it can be considered water and oil",,,,
556,I don't know.,,,,
557,"""When a base is concentrated, acid is added to the base and the component is reduced. For example, if a base is 10 and an acid is added, the base is dropped to 8.""",,,,
558,"""",,,,
559,I don't know,,,,
560,"Acid and basic properties are opposite, and when the substance meets, it becomes neutral, weakening or disappearing.",,,,
561,"When you soak red cabbage in hot water, there is a change in color in cabbage, water in cabbage turns red, and cabbage turns blue.",,,,
562,I don't know.,,,,
563,I don't know.,,,,
564,I don't know.,,,,
565,"When acidity and basicity meet, they become neutralized, which weakens.",,,,
566,A neutralization reaction occurs.,,,,
567,I don't know.,,,,
568,"When an acidic substance and a basic substance meet, hydrogen ions of the acid and hydroxide ions of the base react to form water, so acidity and basicity are weakened.",,,,
569,This is because hydrogen ions and chloride ions combine to become neutral at a one-to-one ratio,,,,
570,"When an acid and a base meet, the properties of the two are the opposite, so they merge into intermediate acids It is neutral that exists in the middle, but when basic and acidic meet, they change to neutral, and their properties gradually weaken",,,,
571,I can't!,,,,
572,This is because acids and bases are mixed to cause a neutralization reaction.,,,,
573,This is because acidic and basic substances match each other in a mixed solution and lose their properties,,,,
574,This is because acidity and basicity meet and their properties gradually decrease.,,,,
575,I don't know.,,,,
576,I don't know.,,,,
577,"When acidity and basicity meet, hydrogen ions and hydroxide ions cause a neutralization reaction to generate water, weakening the acidity and basicity.",,,,
578,Acid and basicity are combined in the bath solution and both weaken.,,,,
579,"Since basic and acidic objects eliminate each other's components,",,,,
580,"This is because when acidic substances and basic substances match each other, they lose each other's components.",,,,
581,"Since acidity and basicity are opposite to each other, the proportion of others seems to decrease relatively as one is added more.",,,,
582,This is because a neutralization reaction occurs in which acidic and basic substances meet in a solution and lose their properties.,,,,
583,I don't know...,,,,
584,"Hmm, sorry, I don't know",,,,
585,"In the mixed solution, acidic and basic substances pair up and lose their respective properties",,,,
586,It loses its properties as acidic and basic substances pair up in a mixed solution,,,,
587,"When an acid meets a basic star, each other's power weakens.",,,,
588,"If the proportion of basic solutions is less than that of acidic solutions, of course, the basicity is weakened, and if the proportion of acidic solutions is less than that of basic solutions, of course, the acidity is weakened^6^",,,,
589,"If you add more acidity, of course, the acidity will be stronger, and if you add more basicity, won't it be more basic?",,,,
590,"Since the acidic material releases hydrogen ions in the aqueous solution, and the basic material releases hydroxide ions in the aqueous solution, when the acid and the base meet, hydrogen ions and hydroxide ions combine to change into water and the temperature rises.",,,,
591,I don't know.,,,,
592,f,,,,
593,This is because different substances that are basic and acidic meet in the mixed solution and lose their properties.,,,,
594,"The common property of an acid is hydrogen ion, and the common property of a base is hydroxide ion. However, hydrogen ions and hydroxide ions form water through ionic bonds, so when an acid and a base meet, both properties weaken.Acids and bases are opposite properties, so when mixed, their properties weaken.",,,,
595,I don't know,,,,
596,"Acids and bases are mutually compatible, so they weaken each other",,,,
597,Forgot.,,,,
598,The acid and base are different,,,,
599,???,,,,
600,This is because they fight among themselves when acidity and basicity meet.,,,,
601,"""I don't know",,,,
602,"""",,,,
603,I have no idea.,,,,
604,"The opposite property becomes stronger, so the original property weakens.",,,,
605,I don't know.,,,,
606,I don't know,,,,
607,"Because acidity and basicity have different properties, they mix and weaken each other when they meet",,,,
608,I don't know,,,,
609,I don't know.,,,,
610,I don't know.,,,,
611,This is because the combined acidity and basicity weakens the power of parasitism and basicity,,,,
612,I don't know,,,,
613,You could say that it's neutral right in the middle of the kaleidoscope and the acid.,,,,
614,I don't know.,,,,
615,This is because acidity and basicity have opposite properties.,,,,
616,I don't know,,,,
617,I don't know,,,,
618,"When acidity dissolves in water, hydrogen ions are generated, and basicity receives hydrogen ions when dissolved in water, so neutrality is maintained.",,,,
619,I don't know.,,,,
620,This is because basicity and acidity are different in the first place.,,,,
621,Because the opposite properties of each other override each other's concentration,,,,
622,Neutralization reaction lol,,,,
623,"They have opposite properties, so when mixed, they cancel each other out.",,,,
624,It's because of the neutralization reaction,,,,
625,It neutralizes the skin and makes it neutral,,,,
626,"As acidity and basicity neutralize each other, either side weakens when they meet each other",,,,
627,It is because of the neutralization phenomenon.,,,,
628,This is due to the neutralization of acid hydrogen ions and base hydroxide ions that meet and become water.,,,,
629,Weakened by neutralization.,,,,
630,Acids and bases neutralize each other,,,,
631,neutralization,,,,
632,It is because of the neutralization phenomenon.,,,,
633,Acids and bases relieve each other when they meet.,,,,
634,"When an acid meets a base, both the acid and the base concentration are weakened through neutralization of the acid carboxyl group and the amino group of the base react to produce water.",,,,
635,I guess it's neutralizing,,,,
636,Acids and bases become neutral and weaken when they meet,,,,
637,Neutral effects occur,,,,
638,I don't know.,,,,
639,"The reaction takes place and becomes neutral, with no properties of both acidic and basic",,,,
640,The ingredients are different,,,,
641,The ingredients are different,,,,
642,"When acidity and basicity are combined, a neutralization reaction occurs",,,,
643,"I think it's because when acidity and basicity are combined, a neutralization reaction occurs!ââââ",,,,
644,"This is because when acidity and basicity meet, a neutralization reaction occurs.",,,,
645,"As an acid base reagent, the color of the acid base reagent varies depending on the pH (hydrogen ion index). The acid base reagent itself is a weak acid or weak base. If you drop one or two drops of an indicator, which is a weak acid, in an acidic solution, hydrogen attached to the indicator does not come off easily. This is because there are already many hydrogen ions in the solution. However, if a basic substance is added to the solution little by little, the concentration of hydrogen ions in the solution decreases, so that the hydrogen attached to the indicator is dissociated and the number of molecules present in an ionic state increases. As the acidity of the solution changes, the number of indicator molecules whose molecular structure changes increases, and the color of the molecule changes as the molecular structure changes. By observing the color that appears, you can find the approximate pH and find the neutralization point. The range of pH, which gradually changes the color of the indicator, is called the discoloration range, which varies from indicator to indicator.",,,,
646,"This is because when acidity and basicity meet, a neutralization reaction occurs.",,,,
647,Neutralization occurs when acidity and basicity meet,,,,
648,This is because neutralization occurs when acidity and astigmatism meet.,,,,
649,"When acidity and basicity meet, a neutralization reaction occurs, resulting in no properties",,,,
650,It's because acidity and basicity meet and neutralization occurs,,,,
651,"Acid and basic are the opposite components, so they weaken when they meet",,,,
652,"I'm sorry, I don't know. I'm sorry",,,,
653,Acid and basic meet and neutralize,,,,
654,"When acidity and basicity meet, a neutralization reaction occurs and no conditions appear",,,,
655,Neutralization occurs when acidity and basicity meet,,,,
656,"When acidity and basicity meet, a neutralization reaction occurs, so acidity and basicity weaken.",,,,
657,"This is because when acidity and basicity meet, a neutralization reaction occurs.",,,,
658,"When acidity and basicity meet, neutralization occurs, so there is no properties",,,,
659,"Since acidity and basicity are opposite components, they weaken when acidity and basicity meet.",,,,
660,This is because a neutralization reaction occurs when an acidity and a basicity meet,,,,
661,Neutralization occurs when acidity and basicity meet,,,,
662,"When acidity and basicity meet, a neutralization reaction occurs, resulting in no properties",,,,
663,I don't know.,,,,
664,I don't know,,,,
665,M and D,,,,
666,I don't understand.,,,,
667,M and D,,,,
668,"""",,,,
669,I don't understand.,,,,
670,"""",,,,
671,(Playing with words),,,,
672,M and D,,,,
673,I don't understand.,,,,
674,Mall,,,,
675,I don't know,,,,
676,I don't understand.,,,,
677,I don't understand.,,,,
678,M and D,,,,
679,I don't understand.,,,,
680,I do.,,,,
681,I don't know,,,,
682,I don't know.,,,,
683,M and D,,,,
684,I don't know,,,,
685,I don't understand.,,,,
686,It's because acidity and basicity are neutralized,,,,
687,I don't know.,,,,
688,"This is because when an acidic solution is mixed with a basic solution, the acidic and basic substances are paired together",,,,
689,"This is because when acidic and basic meet, these acidic and basic components are mixed and neutralized.",,,,
690,"When acidity and basicity meet, a neutralization reaction occurs, resulting in a state of no properties",,,,
691,.,,,,
692,M and D,,,,
693,I don't know.It neutralizes when it's acidic and basic,,,,
694,Neutralized,,,,
695,I don't know,,,,
696,The color changes.,,,,
697,"I did it when I was in 5th grade, but I don't remember",,,,
698,Don't know,,,,
699,I don't know,,,,
700,"Since the contents are reversed,",,,,
701,I don't know...,,,,
702,It's because the two have different characteristics.,,,,
703,You two are mixed,,,,
704,I don't know.,,,,
705,Because they're the opposite,,,,
706,?,,,,
707,The red cabbage is...,,,,
708,Because they are different things.,,,,
709,It's because it's different,,,,
710,Basic and acidic properties are different.,,,,
711,I forgot.,,,,
712,"Because acidity and basicity are different properties, when they meet, their properties are reversed and weakened",,,,
713,There are components that weaken each other,,,,
714,I guess it's neutral,,,,
715,??????????????????????????????????????????????????? I don't know...,,,,
716,"It has a property that weakens the basicity of the sheep,",,,,
717,"So when they're together, they're both acidic and basic, and if they're basic, and a little more basic, they're acidic",,,,
718,"If you spill the indicator, the acidity will weaken",,,,
719,???,,,,
720,This is because acidity and basicity have opposite characteristics.,,,,
721,"""Let's assume that the acidity is + and the basicity is -.",,,,
722,"1+0=1-1=0.""",,,,
723,Because they're the opposite,,,,
724,I don't know,,,,
725,This is because acidity and basicity are opposite substances.,,,,
726,"When acidity and basicity are mixed, they lose each other's power little by little and weaken.",,,,
727,It is because we lose each other's power little by little.,,,,
728,The red cabbage has something inside it,,,,
729,"Acid and base meet, they become weak because they meet strong things",,,,
730,experiment like science,,,,
731,I don't know.,,,,
732,Pass.,,,,
733,I don't know,,,,
734,It's going to be far,,,,
735,I don't know.,,,,
736,PASS,,,,
737,I don't understand.,,,,
738,I don't know.,,,,
739,It's just that I got messed up,,,,
740,"There is a neutral effect between acidity and basicity, so the appropriate combination of acidity and basicity is a combination of acid and basicity",,,,
741,"There is a neutral between basicity and acidity, and when mixed, it is close to neutral because the components are opposite to each other.",,,,
742,H+ and OH- produce H2O to create neutrality.,,,,
743,"Since the acid gives H+ and the base gives OH- or accepts H+, it conflicts with each other and has an offset effect.",,,,
744,H+ and OH- make H2O and become neutral.,,,,
745,This is because acids and bases react and become neutralized.,,,,
746,"Because when you two meet, you become neutralized",,,,
747,1234,,,,
748,I don't know,,,,
749,123,,,,
750,123,,,,
751,123,,,,
752,"Oh, my",,,,
753,1234,,,,
754,k,,,,
755,It's not very basic,,,,
756,123,,,,
757,The acid line and the base line are natural,,,,
758,123,,,,
759,"If you add an acidic solution and a basic solution together, it's a weird combination",,,,
760,Dyeing,,,,
761,"If you add an acidic solution and a basic solution together, it's a weird combination",,,,
762,Because I put in potions,,,,
763,"Acid can melt anything, and I don't know the base",,,,
764,I don't know~,,,,
765,I don't know.,,,,
766,I don't know~,,,,
767,123,,,,
768,It's not up to us,,,,
769,I don't know.,,,,
770,I can't explain it in detail,,,,
771,I'm sorry. I don't know for the life of me.,,,,
772,I don't know.,,,,
773,I don't know,,,,
774,I don't know,,,,
775,in neutral,,,,
776,......,,,,
777,become weaker and weaker in harmony,,,,
778,"""I count them both, and I push them both.",,,,
779,"""",,,,
780,I don't understand.,,,,
781,I don't understand.,,,,
782,I don't know.,,,,
783,...,,,,
784,Because they lose their respective properties,,,,
785,The strong two acids and bases meet and weaken.,,,,
786,It's because it's the opposite.,,,,
787,Acid decay in other things weakens.,,,,
788,"Because acidity and basicity are opposite substances, they weaken each other when they meet each other.",,,,
789,I don't know,,,,
790,This is because they have different properties.,,,,
791,I don't know,,,,
792,"Both properties weaken because H+ from the acid binds back to the base, or OH- from the base and H+ from the acid combine to form H2O, or neutral substances.The acid produces H+ and the base combines it with H2O because it produces OH-.",,,,
793,"Acids and bases react and neutralize. As a result, the concentration is lowered, so the acidity and basicity are weakened.",,,,
794,This is because H+ ions and OH- ions meet to become H2O (neutral).,,,,
795,offset by neutralization,,,,
796,become H+ + OH- -> H2O and neutralize.,,,,
797,H+ ions and OH- ions meet to become H2O.,,,,
798,"Because of the neutralization of acids and bases,",,,,
799,buffering action,,,,
800,"Since the acid is H+ and the base is OH-, H3o+ + OH- -> 2H2O becomes neutral.",,,,
801,"Acid H+ and basic OH- meet to become H2O, weakening the acidity and basicity.",,,,
802,Since H3O+ + OH- -> 2H2O,,,,
803,This is because a neutralization reaction occurs.,,,,
804,I don't know,,,,
805,Acids and bases weaken when they meet,,,,
806,"They are opposite each other, so when they meet, they get rid of each other and become weak.",,,,
807,It's neutralizing,,,,
808,"There is a neutrality between acids and bases Therefore, the acidity weakens when you put it in the acid, and vice versa",,,,
809,"This is because when acidity and basicity are mixed, they become neutral.",,,,
810,have no knowledge,,,,
811,I don't know,,,,
812,I don't know.,,,,
813,neutrality,,,,
814,You two are in sync,,,,
815,It's a basic ingredient that weakens the acidity.,,,,
816,"When acidity and basicity meet, the acidity and basicity weaken because they are close to neutral.",,,,
817,I don't know.,,,,
818,Neutral neutral hehehe,,,,
819,This is because it represents neutrality.,,,,
820,"Since the ratio of the acid to the base becomes neutral when it is met, the acid and base become neutral as they become closer to the neutral, decreasing the acidity and base",,,,
821,The acid is red and the base is blue,,,,
822,be due to neutrality,,,,
823,"This is because when acidity and basicity meet, they try to become neutral.",,,,
824,"Because it's opposite, it's getting closer to neutrality",,,,
825,"Acids and bases have opposite properties, so when they meet, they become neutral",,,,
826,This is because acidity and basicity are contrasting properties.,,,,
827,Acid and basicity lower each other's temperature when they meet each other,,,,
828,I just did the experiment and forgot the results,,,,
829,"Acid and basicity exhibit opposite properties, so when acidity and basicity meet, they become neutral.",,,,
830,"Because acidity and basicity have opposite properties, they weaken each other when they meet.",,,,
831,"When acidic and basic are mixed, they turn into neutral substances and lose their acidic and basic properties.",,,,
832,Don't know,,,,
833,?,,,,
834,I don't know,,,,
835,It's going to explode,,,,
836,#NAME?,,,,
837,Acid and oxygen bases are basic,,,,
838,Acid wins Uncertain.,,,,
839,"When there's a fire, it'",,,,
840,Because the two Hanseong meet together,,,,
841,This is because the two are mixed and neutralized.,,,,
842,"There's something acidic and basic, but if you mix it up, you can't do it right?",,,,
843,"This is because when acidity and basicity meet, the components evaporate.",,,,
844,It's mixed and neutralized,,,,
845,This is the same reason why some foods are sprayed with lemon to catch the smell,,,,
846,"As strong forces collide with each other, they become weaker and weaker.",,,,
847,"When acidic or basic acidity is added to the acidity, it causes a neutralization reaction, weakening the acidity, and weakening the basicity.",,,,
848,"When an acid meets a base, the acidity and basicity are weakened by a neutralization reaction.",,,,
849,"This is because if you put basic substances in an acidic substance, the acidity weakens",,,,
850,"This is because when basic substances are added to acidic substances, a neutralization reaction occurs, in which the acidity weakens.",,,,
851,Acids and bases decay by neutralization,,,,
852,"According to the Bronsted Lowry base, acids release hydrogen ions and bases release hydroxide ions. When an acid and a base meet, hydrogen ions and hydroxide ions meet to create water, which causes a neutralization reaction. As a result, acidity and basicity are weakened.",,,,
853,Acid and basicity weaken because a neutralization reaction occurs when an acid meets a base.,,,,
854,Acid and basicity weaken because a neutralization reaction occurs when an acid meets a base.,,,,
855,Because acids and bases neutralize when they meet.,,,,
856,"Acid means pH less than 7 and basic means more than 7, which is the -log [H+] The more hydrogen ions, the more acidic they are, and the less hydrogen ions, the more basic they are. When acidity and basicity meet, the ions are reduced or increased in concentration of hydrogen ions through chemical reactions, which are different from their original values.",,,,
857,Neutralized by neutralization.,,,,
858,I don't know,,,,
859,Each property is weakened by acid base neutralization because acids and bases try to mix when they meet each other.,,,,
860,"When acidity and basicity are mixed, hydrogen ions and hydroxide ions meet to form water, which lowers the concentration of hydrogen ions and increases the pH",,,,
861,"Acid is low in pH and basic is high in pH, because when the two meet, a neutralization reaction occurs.",,,,
862,"Acidic substances emit hydrogen ions, and basic substances receive hydrogen ions. When the two meet, a neutralization reaction occurs, which weakens each other's properties.",,,,
863,I don't know,,,,
864,"The H+ and OH- amounts in the solution distinguish between acids and bases and determine their strength. If the number is low based on the neutral pH 7, it is called basic if the acid is high, where pH means -log[H+], so the higher the hydrogen ions, the lower the pH value. When H+ and OH- meet, water-producing reactions occur, so when acidity and basicity are mixed, hydrogen ions and hydroxide ions in each solution combine with water, weakening the acidity and basicity.",,,,
865,I don't know,,,,
866,I don't know,,,,
867,I don't know,,,,
868,I don't understand.,,,,
869,"Acid and basicity react with each other through a neutralization reaction to create a neutral molecule called water, which weakens the acidity and basicity.",,,,
870,"If you think that acidic basicity will be divided by H+ OH-ions because it is a solution, adding an acidic solution and basic solution weakens the acidic basicity as the two ions meet to produce water.",,,,
871,"Acid has the property of releasing H+, and basic has the tongue that absorbs H+. Therefore, when basic and acidic meet, the pH changes because the concentration of H+ changes.",,,,
872,I don't know,,,,
873,I don't know,,,,
874,Hydrogen ions of the neutralization reaction acid and hydroxyl ions of the base meet to become water,,,,
875,I don't know,,,,
876,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,,,
