,"3. Shipyards that build and repair huge ships must drag the repaired ships back to the sea. But the ship is too heavy to move easily. At this time, it can be easily moved by filling the boat with water. What principle did you use to move a ship by filling it with water? Describe the force that floats an object.",q58_Bootage ,q58_Lightness
171,"There is no frictional force with the floor surface, and buoyancy acts inversely to weight.",,
172,I don't know,,
173,run with buoyancy,,
174,"If you fill your stomach with water, you can balance it out",,
175,"If you fill the surroundings with water, you can move by water.",,
176,"This is because when you fill the boat with water, it floats by buoyancy.",,
177,The power to float a ship is buoyancy,,
178,It's using buoyancy.,,
179,It is because of buoyancy.,,
180,You can use buoyancy to pull up and move the ship as much as the pressure difference.,,
181,"It has buoyancy, so it has less friction, so it can be moved more easily.",,
182,the use of buoyancy,,
183,Use buoyancy.,,
184,It is easier to move because the friction force is ignored without contact with the floor through buoyancy.,,
185,It uses Archimedes' principle that the ship receives buoyancy equal to the weight of the pushed water.,,
186,"When you fill the stomach with water, the stomach is energized upward by buoyancy. Accordingly, the object can be moved with less force than when the ship is moved up.",,
187,The ship receives buoyancy equivalent to the weight of water as much as the submerged volume. Using this buoyancy to use less power to float a ship,,
188,"If you use buoyancy to float a boat, you can move it easily.",,
189,The buoyancy works.,,
190,Use buoyancy to make the boat float.,,
191,Use buoyancy.,,
192,"Use buoyancy to float and move the boat. Water resistance is less than land friction, so it is easier to move.",,
193,"Buoyancy, water is denser than air.",,
194,buoyancy,,
195,It's using buoyancy.,,
196,"The water around the ship pushes the ship away, and the sum of this force is the same magnitude as the gravity acting on the water corresponding to the submerged volume of the ship and the direction áá³á« is the opposite. This force is called buoyancy. Therefore, the total mass of the ship is equal to the mass of the water below which it is absorbed, and the ship may float.",,
197,"This is using buoyancy. When an object is submerged, the weight of water as much as the locked volume acts as a force to lift the object.If you fill the stomach with water, the force that allows the boat to float is applied by buoyancy, making it easier to transfer.",,
198,"It is easy to move because buoyancy and gravity are in equilibrium, and the frictional force on the water is less than the ground.",,
199,buoyancy,,
200,buoyancy,,
201,"If you use buoyancy, you can move it easily",,
202,Don't know,,
203,be buoyant,,
204,"Because when I drink water, my stomach gets full and I get energy to move",,
205,..,,
206,It can be moved more easily using buoyancy.,,
207,buoyancy,,
208,"""",,
209,the principle of buoyancy,,
210,"If you fill your stomach with water, it'll get swept away",,
211,I don't know.,,
212,the principle of buoyancy,,
213,Don't know,,
214,"""I don't know.",,
215,"""",,
216,It uses the principle of buoyancy.,,
217,the use of boats floating in the water,,
218,"This is because if you float on the water, you can go well even if you put a little force.",,
219,"This is because if buoyancy is used, there is no need to lift the boat up.",,
220,"Buoyancy makes it easier to wail a heavy, wheelless boat.",,
221,This is because objects on water have buoyancy acting in opposite directions of gravity.,,
222,It's using buoyancy,,
223,Use the force of buoyancy to move heavy objects.,,
224,"Fill the boat with water to reduce friction. And water can float a boat by buoying it, which is equal to the weight of the water equivalent to the volume of the boat that's submerged. So if you fill the boat with water and move it around it, it can be easily moved by the principle of buoyancy.",,
225,be buoyant,,
226,I don't know.,,
227,"When filled with water, the boat floats by buoyancy and it can be moved to and fro",,
228,It's hard,,
229,"A ship is an object that moves well on water, so it pours water",,
230,Water floats the boat,,
231,The buoyancy makes the boat float easily.,,
232,I don't know.,,
233,buoyancy,,
234,"Floating water around a ship is using buoyancy. Buoyancy is the force by which a fluid floats an object, and the lighter it is, the more it floats in water.",,
235,I don't know.,,
236,Gravity,,
237,The buoyancy causes the boat to float,,
238,I used the principle of buoyancy.,,
239,harness the buoyancy of a ship,,
240,buoyancy,,
241,Use your psychokinesis to pull up your stomach,,
242,Take the Turtle Ship,,
243,Hing,,
244,"If you fill the stomach with water, you can easily move it because it creates buoyancy.",,
245,buoyancy,,
246,It's easy to move a boat if it floats in the water using buoyancy áá¡áá­á¼áá¡áá§,,
247,"The boat is still floating in the water, and if the water is still full, the water comes up, which means that the water has a strong force to float objects",,
248,"If the boat fills the water rather than pulling it off the ground, the buoyancy forces work together to move easily",,
249,To float objects using buoyancy,,
250,psychokinesis,,
251,be easily transferred by buoyancy,,
252,I don't know.,,
253,buoyancy,,
254,buoyancy,,
255,I don't know.,,
256,I don't know,,
257,"When floating in water, it becomes weaker than the friction between the bottom of the ship and the ground, making it easier to move.",,
258,Heavy things can move well in the water.,,
259,Principle of Archimedes (Principle of Buoyancy),,
260,It is the same principle that a person weighing 50kg can carry 70kg when playing in the water.,,
261,I don't know.,,
262,"Before filling with water, the maximum static friction caused by the vertical drag of the total weight is very large, but when filling with water, the buoyancy of the water reduces the vertical drag, friction with water is also small, and the joint force is small, so it can be easily moved.",,
263,Buoyancy?,,
264,The floor is slippery,,
265,the principle of buoyancy,,
266,by buoyancy,,
267,Use your buoyancy,,
268,Because of buoyancy,,
269,"This is because if you put an object and pour water, the water floats due to buoyancy.",,
270,All right.,,
271,buoyancy,,
272,He used buoyancy,,
273,buoyancy,,
274,It is easy to move a boat by buoyancy.,,
275,.,,
276,"It is buoyancy. Because the force acting on the water is small, it can lead a scary ship to the shipyard.",,
277,"When water is filled, the object floats by the force of water, which allows it to move.",,
278,Use buoyancy to transfer,,
279,It's like,,
280,"Whether it's a person or an object, it's light in the water, so I think I can move the ship easily.",,
281,I think we need to use friction buoyancy,,
282,"Because of the friction and buoyancy, water can be moved more easily.",,
283,This is because even heavy objects have the property of floating in water using air in the ship.,,
284,drain a heavy strainer,,
285,A ship floats under buoyancy,,
286,"It uses buoyancy, which is the force that pushes up a liquid or gas",,
287,This is because you can easily lift the boat without difficulty by floating the boat on the water using the buoyancy of water.,,
288,"This is because when water is filled around, buoyancy acts more, and the force that water supports the ship acts.",,
289,It is the principle of buoyancy to move a ship by filling it with water.,,
290,Buoyancy is to transfer water to the stomach,,
291,It is the principle of buoyancy to move a ship by filling it with water,,
292,"When water is filled around the ship, the stomach becomes heavy and buoyancy becomes heavy as well.",,
293,It's using buoyancy. This is because liquid has the power to push objects away.,,
294,The boat floats under buoyancy.,,
295,Buoyancy is the force that a liquid or gas pushes up an object,,
296,"The direction of buoyancy is the opposite direction of gravity.The larger the volume of submerged objects, the greater the buoyancy.""",,
297,"If you fill the boat with water, it becomes heavy and buoyancy increases, so you can move the boat",,
298,The force by which a buoyant liquid or gas pushes an object up,,
299,"Buoyancy. A ship full of luggage is submerged more than an empty ship, so buoyancy acts more.This is because ships float under buoyancy.",,
300,This is because floating a water splash acts on buoyancy and is lighter.,,
301,"The greater the volume of a submerged object, the greater the buoyancy",,
302,be buoyant,,
303,"When the water is filled, a force called buoyancy will act and the boat will float easily.",,
304,the use of buoyancy,,
305,The force by which a liquid or gas pushes up an object,,
306,"If you're on the water, the boat floats?",,
307,The water is strong,,
308,It's like using waves to make it float,,
309,"It's using buoyancy. A ship has a greater buoyancy than gravity, so it can float in water.",,
310,"It utilizes buoyancy, which is the force to float objects.",,
311,buoyancy,,
312,buoyancy,,
313,The lake or river that should be connected to the sea?,,
314,using buoyancy,,
315,Buoyancy: Something floating in the water,,
316,"If water is not added around the ship, the buoyancy does not work and subsides, but if it is put around the ship, the buoyancy that floats in the water occurs and can be lifted",,
317,A ship can move through water because it can easily move if there is a lot of water around it.,,
318,"Using buoyancy, a phenomenon that floats on water",,
319,be an example of buoyancy,,
320,"Buoyancy / A boat with water is more submerged in water than a boat without water, so buoyancy acts more.",,
321,"The principle of air,",,
322,"An example of buoyancy. When water is added, the ship floats due to buoyancy, and resistance forces such as friction force are reduced, making it easier to move.",,
323,"Buoyancy is the force that a liquid or gas pushes an object up, and using this force, if water is filled around the ship, the ship becomes lighter and can be dragged to the sea.",,
324,"It uses buoyancy, which is the force that a liquid or gas pushes an object up.",,
325,"This force acts upward, opposite to gravity, so it can be easily transferred using water when moving a ship.""",,
326,It's because the bottom of the stomach becomes softer when you fill it with water,,
327,buoyancy,,
328,It's using buoyancy.,,
329,buoyancy,,
330,It's using gravity.,,
331,"It's hard to move to the sea because of the ship's frictional force, so if you float the ship with buoyancy, it moves easily",,
332,It's using the buoyancy that the ship,,
333,Spraying water reduces friction and makes it easier to move,,
334,"The principle of buoyancy, which is the force to float objects, was used.",,
335,The force acting in water is buoyancy.,,
336,the buoyancy of a ship's float,,
337,Spraying water reduces friction and makes it easier to move,,
338,"Buoyancy is the force that floats objects on water, so moving a boat by filling it with water around it is using buoyancy.",,
339,"Buoyancy and water push up a submerged boat and make it light, so if you fill it with water around the boat, it can be easily dragged.",,
340,"Buoyancy, the reason why it is difficult to drag a ship on the floor and move it to the sea is because it weighs a lot and has a lot of friction.",,
341,"Therefore, in order to fill the water, it is easy to move the ship to the sea because the boat floats in the water due to buoyancy.""",,
342,Filling the water makes the boat float up and easy to move.,,
343,It's the principle of buoyancy,,
344,"The friction force is small, so it moves forward well.",,
345,"A ship is designed to float on water, so if there is water around it, it can float",,
346,"Because the friction force is small, it goes forward well",,
347,It is because the boat floats on the water because it becomes buoyant when filled with water,,
348,water,,
349,"This is because if you fill the boat with water, buoyancy causes the boat to float on the water.",,
350,buoyancy,,
351,Flurry up and sleep,,
352,buoyancy,,
353,"I don't know, I want to know.",,
354,buoyancy,,
355,"If you have energy,",,
356,I don't know,,
357,buoyancy,,
358,buoyancy,,
359,I don't know.,,
360,the principle of jumping objects by mixing salt and liquid,,
361,"The liquid-collecting liquid becomes heavier than the pear, so the pear floats",,
362,Because of buoyancy,,
363,Fill the boat with water and push or send wind to one side,,
364,buoyancy,,
365,It's heavy,,
366,buoyancy,,
367,It is because the belly floats because of buoyancy.,,
368,Because accidents can happen.,,
369,buoyancy,,
370,I don't know.,,
371,Because of the buoyancy,,
372,I don't know,,
373,Salt,,
374,Charles' law,,
375,It was moved using buoyancy floating on the water.,,
376,The reason why water floats on the water is because it's easy to apply pressure,,
377,"It doesn't decrease in volume, it attaches to the water like a boat",,
378,"It floats because it adheres.""",,
379,"By filling water with buoyancy, the force that causes an object to rise to the surface, the ship has sufficient buoyancy to rise to the surface. By reducing the power to move the ship, it can be easily dragged out to sea.",,
380,"The boat floats by buoyancy, so it is easy to move in the water. That's why you fill it with water and move it.",,
381,"It is related to buoyancy If you fill a heavy boat with water, it will float due to buoyancy, so you can move the boat more easily.",,
382,"It's using buoyancy. Just as we can carry someone much heavier than we are in the water, there is the power to float a really heavy ship on the water. Therefore, it is easy to move around by filling the boat with water.",,
383,"It's using buoyancy. If it is made into a boat shape, the water pushes the boat in the direction of floating and the boat can float.",,
384,"Because the density of a ship becomes less than that of water, it can be easily floated",,
385,To move a ship by filling it with water is to use the principle of buoyancy.,,
386,"When a ship is floated on the water through buoyancy, the ship is relatively lightly attracted. Using this principle, you can move a huge ship with less power.",,
387,"The force that floats an object is called buoyancy. When you fill the surroundings with water, the boat floats on the water due to buoyancy. Then the boat floats on the water, making it easier to move.",,
388,"The fluid surrounding the object can move the ship much more efficiently than just moving it from the bare ground using buoyancy, which is the force that pushes the object up.",,
389,This is because part of the ship is submerged in water and the force and buoyancy of pushing the ship up are generated by filling it with water.,,
390,The force that floats an object is buoyancy. Use buoyancy to move the ship.,,
391,"Buoyancy is the force that lifts an object up above the water. If water is filled around the boat, this force pushes or lifts the boat over the water by buoyancy, which causes the boat to float on the water. If it stays in that state afterwards, it can just drag a huge ship that could be moved to the sea.",,
392,"Water has a buoyancy force that floats other objects. Therefore, if water is filled around the ship, buoyancy will float the ship on the water and it will be much easier to move the ship.",,
393,"When water is filled around the ship, buoyancy, which is the force to float the ship, floats the object.",,
394,I think it's because of buoyancy. This is because the frictional force between the object and the water is smaller than that on the ground.,,
395,"When water is filled around the boat, the boat floats due to buoyancy, so the boat can be easily moved.The larger the volume of submerged objects, the greater the buoyancy.""",,
396,"If you fill the boat with water, it becomes heavy and buoyancy increases, so you can move the boat",,
397,The force by which a buoyant liquid or gas pushes an object up,,
398,"Buoyancy. A ship full of luggage is submerged more than an empty ship, so buoyancy acts more.This is because ships float under buoyancy.",,
399,This is because floating a water splash acts on buoyancy and is lighter.,,
400,"The greater the volume of a submerged object, the greater the buoyancy",,
401,be buoyant,,
402,"When the water is filled, a force called buoyancy will act and the boat will float easily.",,
403,the use of buoyancy,,
404,The force by which a liquid or gas pushes up an object,,
405,"If you're on the water, the boat floats?",,
406,The water is strong,,
407,It's like using waves to make it float,,
408,"It's using buoyancy. A ship has a greater buoyancy than gravity, so it can float in water.",,
409,"It utilizes buoyancy, which is the force to float objects.",,
410,buoyancy,,
411,buoyancy,,
412,The lake or river that should be connected to the sea?,,
413,using buoyancy,,
414,Buoyancy: Something floating in the water,,
415,"If water is not added around the ship, the buoyancy does not work and subsides, but if it is put around the ship, the buoyancy that floats in the water occurs and can be lifted",,
416,A ship can move through water because it can easily move if there is a lot of water around it.,,
417,"Using buoyancy, a phenomenon that floats on water",,
418,be an example of buoyancy,,
419,"Buoyancy / A boat with water is more submerged in water than a boat without water, so buoyancy acts more.",,
420,"The principle of air,",,
421,"An example of buoyancy. When water is added, the ship floats due to buoyancy, and resistance forces such as friction force are reduced, making it easier to move.",,
422,"Buoyancy is the force that a liquid or gas pushes an object up, and using this force, if water is filled around the ship, the ship becomes lighter and can be dragged to the sea.",,
423,"It uses buoyancy, which is the force that a liquid or gas pushes an object up.",,
424,"This force acts upward, opposite to gravity, so it can be easily transferred using water when moving a ship.""",,
425,It's because the bottom of the stomach becomes softer when you fill it with water,,
426,buoyancy,,
427,It's using buoyancy.,,
428,buoyancy,,
429,It's using gravity.,,
430,"It's hard to move to the sea because of the ship's frictional force, so if you float the ship with buoyancy, it moves easily",,
431,It's using the buoyancy that the ship,,
432,Spraying water reduces friction and makes it easier to move,,
433,"The principle of buoyancy, which is the force to float objects, was used.",,
434,The force acting in water is buoyancy.,,
435,the buoyancy of a ship's float,,
436,Spraying water reduces friction and makes it easier to move,,
437,"Buoyancy is the force that floats objects on water, so moving a boat by filling it with water around it is using buoyancy.",,
438,"Buoyancy and water push up a submerged boat and make it light, so if you fill it with water around the boat, it can be easily dragged.",,
439,"Buoyancy, the reason why it is difficult to drag a ship on the floor and move it to the sea is because it weighs a lot and has a lot of friction.",,
440,"Therefore, in order to fill the water, it is easy to move the ship to the sea because the boat floats in the water due to buoyancy.""",,
441,Filling the water makes the boat float up and easy to move.,,
442,It's the principle of buoyancy,,
443,"The friction force is small, so it moves forward well.",,
444,"A ship is designed to float on water, so if there is water around it, it can float",,
445,"Because the friction force is small, it goes forward well",,
446,It is because the boat floats on the water because it becomes buoyant when filled with water,,
447,water,,
448,"This is because if you fill the boat with water, buoyancy causes the boat to float on the water.",,
449,buoyancy,,
450,Flurry up and sleep,,
451,buoyancy,,
452,"I don't know, I want to know.",,
453,buoyancy,,
454,"If you have energy,",,
455,I don't know,,
456,buoyancy,,
457,buoyancy,,
458,I don't know.,,
459,the principle of jumping objects by mixing salt and liquid,,
460,"The liquid-collecting liquid becomes heavier than the pear, so the pear floats",,
461,Because of buoyancy,,
462,Fill the boat with water and push or send wind to one side,,
463,buoyancy,,
464,It's heavy,,
465,buoyancy,,
466,It is because the belly floats because of buoyancy.,,
467,Because accidents can happen.,,
468,buoyancy,,
469,I don't know.,,
470,Because of the buoyancy,,
471,I don't know,,
472,Salt,,
473,Charles' law,,
474,It was moved using buoyancy floating on the water.,,
475,The reason why water floats on the water is because it's easy to apply pressure,,
476,"It doesn't decrease in volume, it attaches to the water like a boat",,
477,"It floats because it adheres.""",,
478,"By filling water with buoyancy, the force that causes an object to rise to the surface, the ship has sufficient buoyancy to rise to the surface. By reducing the power to move the ship, it can be easily dragged out to sea.",,
479,"The boat floats by buoyancy, so it is easy to move in the water. That's why you fill it with water and move it.",,
480,"It is related to buoyancy If you fill a heavy boat with water, it will float due to buoyancy, so you can move the boat more easily.",,
481,"It's using buoyancy. Just as we can carry someone much heavier than we are in the water, there is the power to float a really heavy ship on the water. Therefore, it is easy to move around by filling the boat with water.",,
482,"It's using buoyancy. If it is made into a boat shape, the water pushes the boat in the direction of floating and the boat can float.",,
483,"Because the density of a ship becomes less than that of water, it can be easily floated",,
484,To move a ship by filling it with water is to use the principle of buoyancy.,,
485,"When a ship is floated on the water through buoyancy, the ship is relatively lightly attracted. Using this principle, you can move a huge ship with less power.",,
486,"The force that floats an object is called buoyancy. When you fill the surroundings with water, the boat floats on the water due to buoyancy. Then the boat floats on the water, making it easier to move.",,
487,"The fluid surrounding the object can move the ship much more efficiently than just moving it from the bare ground using buoyancy, which is the force that pushes the object up.",,
488,This is because part of the ship is submerged in water and the force and buoyancy of pushing the ship up are generated by filling it with water.,,
489,The force that floats an object is buoyancy. Use buoyancy to move the ship.,,
490,"Buoyancy is the force that lifts an object up above the water. If water is filled around the boat, this force pushes or lifts the boat over the water by buoyancy, which causes the boat to float on the water. If it stays in that state afterwards, it can just drag a huge ship that could be moved to the sea.",,
491,"Water has a buoyancy force that floats other objects. Therefore, if water is filled around the ship, buoyancy will float the ship on the water and it will be much easier to move the ship.",,
492,"When water is filled around the ship, buoyancy, which is the force to float the ship, floats the object.",,
493,I think it's because of buoyancy. This is because the frictional force between the object and the water is smaller than that on the ground.,,
494,"When water is filled around the boat, the boat floats due to buoyancy, so the boat can be easily moved.I don't know",,
495,It is much easier to float a ship through buoyancy.,,
496,the principle of floating objects in water,,
497,It used the principle of buoyancy to float heavy objects.,,
498,buoyancy,,
499,It's because water has buoyancy.,,
500,46875676548,,
501,buoyancy,,
502,I don't know.,,
503,using the principle of buoyancy,,
504,the solar calendar,,
505,"""The buoyancy may cause your stomach to go out",,
506,"""",,
507,"Moving a ship by filling it with water is a reduction in friction force. By filling the water first, the friction force is much smaller than pulling it off the ground, so the ship can be moved with less force.",,
508,principle of buoyancy,,
509,I think I used buoyancy.,,
510,"The ship floats on the principle of buoyancy, so water can be easily moved.",,
511,buoyancy,,
512,"The ship floats on the principle of buoyancy, so water can be easily moved.",,
513,Use the principle of buoyancy to move a boat in the water,,
514,"When rain, wind, or strong winds come, the strength of the rope is pulled when tied to the ship.",,
515,"If you go to the shipyard, I think the people there will tell you well^^",,
516,It is the principle of buoyancy.,,
517,It uses the principle of buoyancy.,,
518,buoyancy,,
519,be the principle of buoyancy,,
520,You have to put water in to move well because of the weight.,,
521,M and D,,
522,I think I used buoyancy.,,
523,I don't know.,,
524,I don't know,,
525,"When water is filled, the ship floats on the water due to the principle of buoyancy, and when it floats, it is easier to move.",,
526,"When the boat is filled with water, the buoyancy of the boat's float acts and the boat moves to the sea",,
527,"Using the principle of buoyancy, lift the boat slightly and push it away",,
528,This is because using buoyancy reduces the force to lift objects.,,
529,the force of buoyancy,,
530,It is made easier to move by using buoyancy.,,
531,"When Archimedes entered the bath with buoyancy in the old days, he saw the water overflowing and shouted Eureka!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Because the weight of the buoyancy principle in the water doesn't weigh much. That's right.",,
532,"With the help of buoyancy, the water can move the boat with less force.",,
533,It would be to use the principle of buoyancy to have the power to float a ship.,,
534,"""",,
535,Water is everything.,,
536,Float a boat using the principle of buoyancy with water.,,
537,I don't know.,,
538,The principle of buoyancy allows a ship to float on water.,,
539,This is because adding water to the ship to make it heavier can exert a greater buoyancy force greater.,,
540,float a ship with water to make it easier to move,,
541,the power to push,,
542,Use gravity to transfer.,,
543,buoyancy power,,
544,I'm sorry. I'm not good at science. I don't know,,
545,It seems to have used the principle of science that makes it easy to float objects when you fill the boat with water.,,
546,"If water is filled with caution, the boat floats relatively well due to buoyancy.",,
547,buoyancy,,
548,buoyancy,,
549,the power to push,,
550,It's the principle of buoyancy,,
551,I don't know,,
552,buoyancy,,
553,be due to buoyancy,,
554,It's air,,
555,Ha ha.,,
556,I don't know.,,
557,"If you fill the boat with water, the boat floats due to the principle of buoyancy, so you can easily move the boat.",,
558,It's a push,,
559,"If the volume of an object is greater than a certain weight, the belly floats, which uses the principle of buoyancy",,
560,It's buoyancy. Maybe that's all I know,,
561,"A ship floats on water, so it is much better to float and move than to move it on the ground",,
562,Floating a heavy ship through buoyancy.,,
563,Lift and move heavy boats through buoyancy.,,
564,Lift and move heavy boats through buoyancy.,,
565,The force of the surrounding fluid to lift an object up is called buoyancy. So add water to strengthen the buoyancy and let the boat in.,,
566,"Using the principle of buoyancy, the ship was floated.",,
567,"The ship floats by buoyancy. Since boats cannot travel on land and travel in water, if you fill the boat with water, the boat floats in the water with buoyancy, so it can be easily moved.",,
568,"When the boat is filled with water, it floats by the parallel force of gravity, which is the force pulling downward, and buoyancy, which is the force pushing it above the water when it is in water.",,
569,"If you pull the boat from the bottom, it is hard to push the weight of the boat because of friction, so if you fill it with water, you don't have to use buoyancy to float the boat on the water and put the force of friction",,
570,"When water is filled around the ship, it moves the boat using buoyancy, the force that objects (low density) float on the water.",,
