,"Breathing: Oxygen absorption, carbon dioxide release",q8_ecosystem,q8_Respect for Life,q8_Human
171,There has to be a variety of living things to create an ecosystem where humans can live,,,
172,"The reason why biodiversity is important is that more organisms or ecosystems decompose, produce, or consume can have a good effect on humans.But if ecosystems or organisms are gone, there is nothing we can benefit from, and the environment is polluted.",,,
173,"If a creature dies, we die, too",,,
174,"Living things help humans a lot to live. For example, meat such as pigs, cows, ducks, and chickens is eaten by many people, and poop made by animals can be used as manure to grow crops in the fall. Like this, living things and humans are like chains. In addition, the reason for restoring extinct creatures is to observe the temperature or environment suitable for the natural environment where the creature lives and to find out the environment in which more creatures live.",,,
175,There must be a variety of living things for humans to live on.,,,
176,"""They help people and create a clean environment for people to live in",,,
177,"Therefore, biodiversity should be increased.""",,,
178,"If biodiversity is high, there is a lot of data that can be collected, so bio-technology is likely to develop.",,,
179,"""If there's a lot of biodiversity, it looks like there's a lot",,,
180,"I'm very, very happy to have so much to show off.""",,,
181,"Genetic diversity within each species must exist to seize opportunities to evolve, and to respond to changing environments. It's the same thing that we avoid incest marriages to avoid the emergence of recessive genes. After all, genetic diversity can be said to be beneficial to the future of oneself, Koreans, and even humans and all animals.",,,
182,This is because humans actually control the environment on Earth and must have moral responsibility for other creatures. It is also because of biodiversity that humans can obtain high-quality nutrients through plant breeding and cultivation.,,,
183,"If the biological system is diverse, it will benefit a lot from living, and if the diversity of the ecosystem is small, it will be a big blow to humans",,,
184,"If the biological ecosystem is destroyed, it will cause damage to humans",,,
185,"If there is no biodiversity, the ecosystem will be destroyed",,,
186,Because living things can make good things through advanced life sciences,,,
187,"When an ecosystem is destroyed, it has a bad effect on our human lives",,,
188,"If there are many creatures, there are many creatures we can see",,,
189,It's good for humans if there's a variety of living things,,,
190,Endangered species are helping us,,,
191,Animals are cute,,,
192,It is because we can experiment in various ways only with living things,,,
193,"To see a lot of biological possibilities,",,,
194,It's because living things have to be diverse to live without any deficiencies,,,
195,Living things help us,,,
196,It is developed by investigating life and inventing it by its characteristics,,,
197,"The more creatures exist, the more natural and human harmony is achieved?When living things disappear, so do humans",,,
198,"This is because it is beneficial to mankind, such as seed improvement and drug development.",,,
199,This is because it may be needed for future generations.,,,
200,This is because lack of biodiversity easily destroys the food chain.,,,
201,This is because it is necessary to increase biodiversity to identify the taxonomic location between living things and to help investigate the global environment of the past.,,,
202,"As biodiversity grows, it is a step away from the risk of extinction.",,,
203,The ecosystem is maintained only when there is a variety of living things,,,
204,It's good to have a variety of creatures,,,
205,"Because the more diverse creatures are, the better the food chain works",,,
206,Ecosystem restoration should be done to smoothly distribute the food chain that exists in the ecosystem,,,
207,Only when species diversity is preserved can ecosystems be maintained,,,
208,This is because the food chain is maintained and the ecosystem is stable only when biodiversity is maintained.,,,
209,"This is because if there is no biodiversity, the food chain in the ecosystem will be broken, and it will act as a greater stimulus, which may eventually lead to the extinction of all living things on Earth.",,,
210,This is because the possibility of extinction can be reduced only by increasing biodiversity.,,,
211,"The destruction of the ecosystem and the netting of the food chain will also disappear, so the population will disappear very quickly.",,,
212,This is because the survival rate increases only when biodiversity is high.,,,
213,Only when biodiversity is maintained can ecosystem-specific food chains be maintained and all living things become extinct.,,,
214,"If there is very little food chain, if one species dies, all food chains die one after another, so biodiversity becomes high, and biodiversity must be increased in order to maintain stability even if one species goes extinct",,,
215,This is because the ecosystem is destroyed.,,,
216,"When living things are diverse, the food chain is complicated, and the ecosystem is maintained even if one sub-object or sub-object disappears.",,,
217,This is to prevent the ecosystem from collapsing and destroying the food chain.,,,
218,"This is because when biodiversity is lowered, the food chain's structure is simplified, and even a small change causes a great disruption to the ecosystem.",,,
219,It is to maintain an ecosystem.,,,
220,"""I know. Why do you raise it up?"" at the expense of money",,,
221,"The food chain can be simplified. Then, a small change can cause great damage to the living system.""",,,
222,This is because a lack of biodiversity can lead to a series of destruction of the food chain connected to an animal when it goes extinct.,,,
223,"It is necessary to increase biodiversity so that even if the food chain is destroyed, it can be recovered and the food chain is easily preserved.",,,
224,"Global warming caused by the greenhouse effect has disrupted the ecological environment, such as melting glaciers in the Arctic and changing the ecological environment location of fish. As they become disturbed, some creatures become extinct, and as they become more and more extinct, their biodiversity decreases. Therefore, it is intended to revive the ecological environment through efforts to restore extinct creatures in order to create an environment where they can coexist.",,,
225,"This is because the food chain becomes more complicated and even if a creature in the lower part becomes extinct, it does not affect the upper species.",,,
226,"In the future, it would be nice if animals were extinct and there were many animals.",,,
227,There must be animals in the country,,,
228,"To maintain the ecosystem,",,,
229,The reason why we need to increase biodiversity is that the ecosystem is maintained only when there is a variety of living things,,,
230,"When animals become extinct, they have an effect on the ecosystem",,,
231,This is because other animals can live well because the food chain is not broken only when extinct creatures are restored.,,,
232,It affects other living things,,,
233,Extinction destroys ecological dogs,,,
234,This is because the Earth's environment is improved only when there are various creatures.,,,
235,Because all living things have a great influence on each other.,,,
236,"To keep the ecological pyramid alive,",,,
237,I'm someone who gets eaten and gets eaten,,,
238,"Since the ecosystem is destroyed by environmental pollution and the types of living things are gradually disappearing, the diversity of living things must be increased.",,,
239,It's because the ecosystem is balanced when various creatures gather,,,
240,This is because predators live longer because they have more food when living things are diverse.,,,
241,Increasing biodiversity will make the Earth's ecosystem more robust.,,,
242,"To maintain the ecosystem,",,,
243,There must be a variety of living things to preserve the ecosystem,,,
244,"This is because if life is lost and extinct, the ecosystem will collapse and the ecosystem will no longer be preserved.",,,
245,"This is because if the biodiversity is not increased, the creatures that feed on the plant disappear and the creatures that feed on the plant disappear, breaking the balance of the ecosystem.",,,
246,"If a creature disappears, there will be no creature that feeds on it This phenomenon will be repeated and the ecosystem will be out of balance",,,
247,"The world all moves in harmony. So, if even one place in the world collapses, his natural enemy dies without food, and his natural enemy dies without food, and in the worst case, the world may collapse as this cycle repeats itself.",,,
248,To make the ecosystem more active.,,,
249,"There has to be a variety to create a biological pyramid, right? The conclusion must be diverse to preserve the ecosystem",,,
250,We need to maintain the ecosystem,,,
251,"That way, the ecological balance is right",,,
252,To maintain the ecosystem.,,,
253,"Now that there are many endangered species, to restore extinct animals and plants.",,,
254,The ecosystem is better when there is a variety of living things,,,
255,"Now that there are more endangered species, it is to restore extinct animals and plants again.",,,
256,A variety of living things can be full because the food chain is longer.,,,
257,The creatures could disappear,,,
258,"If even one creature disappears, another creature disappears",,,
259,Maintaining the Ecosystem,,,
260,It's because the food chain is simple,,,
261,"If there is no diversity in the ecosystem, if an animal becomes extinct, the creatures that eat it will die. However, if there are various ecosystems, even if one creature becomes extinct, it can survive by eating another.",,,
262,This is because ecological equilibrium is not easily broken only when biodiversity is high,,,
263,It's because you have to increase diversity to interact,,,
264,"This is because if biodiversity decreases, life can eventually disappear in the distant future.",,,
265,"To keep the food chain safe,",,,
266,"In an ecosystem with low biodiversity, if a species suddenly disappears, the living creatures that feed on it can disappear, making it advantageous for a diverse ecosystem to live",,,
267,"The higher the biodiversity, the less easily the ecosystem is destroyed",,,
268,It's for the peace of the ecosystem,,,
269,"If biodiversity is high, the ecosystem will not be destroyed easily",,,
270,"This is because when biodiversity increases, the food chain remains stable.",,,
271,"In places with high biodiversity, the food chain is simple, so even if any species disappears, it can maintain the ecosystem by feeding on other creatures. However, in places where biodiversity is low, if one animal becomes extinct, even other creatures are threatened with life. Therefore, even if a creature that has to increase biodiversity becomes extinct, other creatures can live by feeding on other creatures, so biodiversity should be increased.",,,
272,This is because the balance of the ecosystem is not easily broken only when there are more species in the food chain.,,,
273,"In an ecosystem with low biodiversity, the food chain is simple, so if a species suddenly disappears, other living things that feed on it disappear together.",,,
274,Biodiversity can keep the ecosystem stable.,,,
275,"In an ecosystem with low biodiversity, the food chain is simple, so if a species suddenly disappears, other living things that feed on it can disappear together. However, in an ecosystem with high biodiversity, there are many other organisms that can replace any species that have a complex food chain and disappear soon. Therefore, high biodiversity reduces the risk of extinction of living things, allowing the ecosystem to remain stable.",,,
276,This is because the ecosystem is stable only when biodiversity is high.,,,
277,"This is because the higher the biodiversity, the longer the ecosystem is maintained.",,,
278,The ecosystem will collapse,,,
279,"""For the survival of other species, the food chain is complicated only when biodiversity is high",,,
280,"because it increases the chances of survival.""",,,
281,To balance the ecosystem.,,,
282,It's because there's a food chain in order for living things to live well,,,
283,"Well, to maintain the ecosystem?",,,
284,for ecological diversity,,,
285,"Because the ecosystem is made up of food chains, it seems to be because restoring the living things that Sarah is doing is making the ecosystem more balanced...",,,
286,Because living things have to grow evenly,,,
287,"""When plants exist, herbivores live, and when herbivores live, carnivores live",,,
288,The Living Animal Pyramid (To Prevent Ecological Destruction),,,
289,"That way, the ecosystem where the creature lived can be maintained",,,
290,It's an opportunity to restore old animals and learn about the history of the war,,,
291,It can be maintained from the ecosystem as a variety of organisms,,,
292,To maintain the ecosystem,,,
293,It's hard to survive when the bird is gone,,,
294,"If one creature disappears, the ecosystem could collapse",,,
295,"Because all living things are connected to ecosystems, there is a high risk of an organism becoming extinct",,,
296,"To preserve the ecosystemI don't know, but wouldn't it be good to have various things? To maintain the food chain",,,
297,To protect the food chain,,,
298,"When there is confusion in the ecosystem, various things such as the food chain of living things are twisted. Increasing biodiversity can make the ecosystem stable.",,,
299,"When a species disappears from the ecosystem food chain, the species that feeds it disappears, and then it collapses",,,
300,To avoid mass extinction,,,
301,by conservation of ecosystems,,,
302,Because there is a great risk of extinction,,,
303,This is because the possibility of survival increases only when biodiversity is high.,,,
304,This is because biodiversity must be high to adapt well to environmental changes so that they can survive without extinction,,,
305,This is because the ecological balance is not broken if there is a variety of living things,,,
306,This is to prevent mass extinction because a single species can become extinct together when caught by the virus.,,,
307,Increasing ecosystem diversity is highly likely to preserve the ecosystem well and does not easily become extinct.,,,
308,We need to balance the ecosystem,,,
309,"This is because the more creatures there are as the environment changes, the more likely it is that even if one species becomes extinct, other creatures will replace it and preserve the ecosystem.",,,
310,a food chain,,,
311,This is because creatures are more likely to be chosen naturally.(The risk of extinction is reduced.),,,
312,There are species that survive rapid environmental changes to maintain the ecosystem,,,
313,"This is because if biodiversity is low, all living things on Earth can disappear due to natural disasters or external factors.",,,
314,It is to maintain the ecosystem.,,,
315,"This is because ecosystems have close interactions, and each living thing has a lot of influence on ecosystem maintenance.",,,
316,Because all living things play different roles in their ecosystems,,,
317,"To maintain the ecosystem,",,,
318,"Because the existence of various species is beneficial to the maintenance of ecosystems,",,,
319,"That way, the ecosystem lasts for a long.",,,
320,The normal food chain is maintained only when the ecosystem is balanced.,,,
321,Because there are so many endangered species,,,
322,"The higher the biodiversity, the less likely it is to become extinct",,,
323,"If there's only one species, there's an epidemic, and if you attack that species, it could go extinct",,,
324,"When life goes extinct, the ecosystem becomes unstable.",,,
325,"This is because if biodiversity decreases, the ecosystems collapse",,,
326,"""I don't want to go extinct.""",,,
327,"Diversity is higher, so there's less chance of extinction.""",,,
328,This is because ecosystem balance is maintained only when biodiversity is increased.,,,
329,Ecosystem balance is maintained only when biodiversity is increased,,,
330,"If we increase biodiversity, the ecosystem balance will be stronger",,,
331,"This is because the food chain of living things is well maintained only when biodiversity is increased, maintaining ecosystem balance.",,,
332,This is because ecological crabs were maintained only when biodiversity was high,,,
333,"There's a food chain, and if any one of them collapses, the ecosystem will be destroyed",,,
334,"This is because the more diverse creatures are, the less likely the ecosystem is to collapse.",,,
335,"This is because as biodiversity increases, the population increases, and even if a species goes extinct, there are more creatures to replace it.",,,
336,This is because biodiversity is maintained in an ecosystem balance.,,,
337,"There are ecological pyramids in the ecosystem, and if one disappears in places with low biodiversity, the balance collapses, but if one disappears in areas with high biodiversity, animals can continue to disappear.",,,
338,This is because biodiversity is maintained in an ecosystem balance.,,,
339,"If we increase biodiversity, the ecosystem will be maintained",,,
340,"This is because if living things become extinct, the balance of the ecosystem will be shaken and the food chain will be narrowed.",,,
341,"Even if the food chain disappears, the ecosystem is maintained even if there are many animals, but as the animals disappear more and more, natural enemies disappear and should be high for the balance of the ecosystem.",,,
342,"This is because when biodiversity increases, only one creature does not isolate itself in nature, coexists, and lives in a good form with each other",,,
343,"This is because the higher biodiversity, the more stable the ecosystem is",,,
344,"The reason for increasing biodiversity is that if there are many plants, more herbivores live, and if the number of herbivores increases, the number of carnivores increases, forming a food chain, and maintaining the food chain without collapsing when either individual dies.",,,
345,"This is because if the food chain is dangerous, all ecosystems will be destroyed.",,,
346,"If biodiversity decreases, living things can easily go extinct",,,
347,The reason why biodiversity is so important is to maintain the same ecosystem in the future,,,
348,"It's because if even one meal disappears, there will be a problem with the ecosystem",,,
349,"To maintain the ecosystem,",,,
350,It is related to the food chain. The reason why an organism becomes extinct is because it affects many living things.,,,
351,"If a single organism disappears, many organisms die in a chain reaction",,,
352,This is because all animals are now almost endangered.,,,
353,"By increasing biodiversity, the ecosystem is maintained by maintaining the food web",,,
354,To protect the Earth (Superman!),,,
355,This is because the strength of the weak is circulated well only when the biodiversity is high,,,
356,This is because the ecosystem can be maintained even if a species with high biodiversity is extinct.,,,
357,"This is because by increasing biodiversity, food chains and food nets can be diversified and the survival rate of living organisms can be increased.",,,
358,For the stability of the food pyramid.,,,
359,"As biodiversity increases, the food chain may exist in a more specific and stable form.",,,
360,"This is because if biodiversity is destroyed, the balance will be broken in the ecosystem.",,,
361,"Since living things are all connected by organic relationships, the disappearance of any species can affect the entire ecosystem.",,,
362,"This is because if biodiversity is destroyed, the balance of the ecosystem will be broken, starting with the food chain.",,,
363,"Biodiversity must be diverse so that the food chain or the top individuals do not falter when one species goes extinct. If biodiversity is not diverse, there is a greater chance that predators on top of it will become extinct when an animal becomes extinct. Conclusion: There is a wide variety of biodiversity, which makes it less likely that there will be mass extinction.",,,
364,"If you think about the case where biodiversity is not achieved, you can think of the worst case in which a single species can all die from a single disease. In the end, if there is no diversity of living things, the risk of extinction increases.",,,
365,"Living things live under the ecosystem pyramid. A decrease in ecosystem diversity can lead to the collapse of the pyramid, and at the same time can result in an acceleration of biodiversity reduction.",,,
366,"The more diverse creatures live on Earth, the more diverse the Earth's ecosystem will become. In the food chain, the more creatures there are in each class, the more they can continue to live in the upper class, so they try to increase biodiversity.",,,
367,High biodiversity stabilizes the ecosystem pyramid because it requires many species to have the ability to restore or overcome one species even if it disappears or is endangered.,,,
368,"In an ecosystem with low biodiversity, the food chain is simple, so when a species goes extinct, the ecosystem's balance is broken and chaos occurs. To prevent this phenomenon, we must increase biodiversity.",,,
369,"An ecosystem with low biodiversity has a simple food chain, so if a species suddenly disappears, the entire ecosystem can be shaken. On the other hand, ecosystems with high biodiversity have complex food chains, so even if a species suddenly disappears, it will be damaged, but the entire ecosystem will not be shaken.",,,
370,"If you're in danger of extinction, your ecosystem will be destroyed",,,
371,The earth could be ruined,,,
372,"When there is only one creature, it has the disadvantage of that one creature and it is turned to one side",,,
373,"""Increasing biodiversity reduces the chance of one species becoming extinct in an ecosystem.",,,
374,"One species is not easily extinct because it can replace another.""",,,
375,The reason for increasing biodiversity is to correct the current ecosystem.,,,
376,For the new king,,,
377,"Greya, the ecosystem is maintained",,,
378,The food chain and the food pyramid can change,,,
379,"""There are few extinct creatures now, but most people don't knowbut",,,
380,"If the endangered species are lost, the food chain will be threatened and the food web will change.""",,,
381,"In order to preserve the ecosystem, biodiversity must be increased. One village had potatoes as its staple food was potato. As they only grew potatoes without growing other plants, the whole field became a potato field. However, in the spring of this year, the plague broke out and all the potato sprouts died, and all the villagers died. As such, biodiversity is important for ecosystem conservation.",,,
382,To raise the biological hierarchy and boost the food chain,,,
383,To preserve the raw frame,,,
384,"To achieve ecological parallels,",,,
385,"Because if there's one more thing, the ecological balance doesn't match.",,,
386,It's because it goes extinct,,,
387,Because the food chain is so long,,,
388,To keep the ecosystem from being ruined.,,,
389,To protect living things and create new species.,,,
390,The ecosystem can be stabilized only when biodiversity is high,,,
391,"They share different roles, but there are some difficulties in replacing them",,,
392,Because the ecosystem is destroyed.,,,
393,This is because animals can live on other plants and adapt more to the environment and evolve only when the types of plants are diverse.,,,
394,This is because the food chain must be maintained well so that the animal at the top of the food chain can eat.,,,
395,"Because the ecosystem needs to be well preserved. environmental protectionEven if one creature disappears at once, the ecosystem balance is not broken.",,,
396,"To maintain the food chain, if you don't maintain the food chain, the animals at the top can eat",,,
397,This is because the ecosystem can be maintained well by increasing biodiversity to create a lot of food for animals.,,,
398,"This is because living things interact with each other, make up for each other's shortcomings, and are linked to each other's food chains, so even if one species becomes extinct, it can have a bad effect on other species.",,,
399,This is because the ecosystem is activated only when biodiversity is increased.,,,
400,"To maintain the ecological pyramid,",,,
401,We need a lot of living things to maintain the ecosystem,,,
402,To keep the ecological pyramid alive,,,
403,"To maintain the ecological pyramid,",,,
404,Use the Ecological Pyramid,,,
405,This is because it is difficult to create an ecosystem if there is no diversity of living things.,,,
406,We need to balance the ecosystem,,,
407,This is because the more complicated the food chain is to maintain the ecological pyramid.,,,
408,This is because there should be a variety of creatures to eat more and the food chain system should not collapse.,,,
409,"A variety of living things does not hurt the food chain much if one species is extinct, but if not, it does damage the food chain maintenance of the food chain",,,
410,"To maintain the ecosystem,",,,
411,"All living things help each other, but if they become extinct, they cannot help each other, so they need to increase diversity",,,
412,"This is because if a species goes extinct, it cannot be restored.",,,
413,"All species depend on other species of living things, because if there are fewer species of living things, they will easily become extinct.",,,
414,It's all going extinct,,,
415,"To prevent the destruction of the ecosystem,",,,
416,"The more biodiversity, the more complex the food web is, the better the ecosystem is maintained",,,
417,"""To prevent other creatures from becoming extinct,",,,
418,"""",,,
419,"If there is no biodiversity, the ecosystem structure will be simplified, and the Earth will be destroyed.",,,
420,Because the food chain of living things is diversified,,,
421,and maintain the food chain,,,
422,This is because food nets and food chains in the ecosystem become diverse and stable only when living things are diverse.,,,
423,This is because the ecosystem is safely preserved only when there are more creatures.,,,
424,This is because the ecosystem is maintained only when there are many creatures.,,,
425,This is because the balance of the ecosystem is better maintained only when biodiversity is maintained.,,,
426,"This is because the higher the biodiversity, the more complicated the food chain in the ecosystem, and the more complicated the food chain, the more advantageous it is to maintain the ecosystem.",,,
427,This is because increasing biodiversity keeps the ecosystem stable.,,,
428,"In order to create a beautiful harmony in the ecosystem,",,,
429,"When herbivores disappear from the ecosystem, carnivores die, so the more biodiversity is diversified, the better.",,,
430,do not extinction,,,
431,We need to increase biodiversity so that we don't damage other creatures even if they go extinct,,,
432,"This is because biodiversity needs to be high to achieve various types of ecosystems, and even a little more creatures can adapt to rapid environmental changes.",,,
433,This is because the ecosystem will be expanded only when biodiversity is increased.,,,
434,This is because the food chain is maintained only when various creatures live.,,,
435,It's because various creatures have to live in order to protect the ecosystem,,,
436,The ecosystem is formed when the food chain is complicated,,,
437,"When a life goes extinct, diversity increases and the impact of species decreases",,,
438,It is to maintain the Earth.,,,
439,"This is because when an organism becomes extinct, the impact of each species decreases as biodiversity increases",,,
