,"15. In summer, I heard thunder as lightning struck in the sky. After a little time after the lightning struck first, I heard thunder. Why do lightning come first and thunder comes later? Let's explain it in detail using our knowledge of light and sound.",q15_speed difference
574,"This is because the speed of light is faster than the speed of sound, so light reaches the ground faster than the speed.",
575,The light is faster than the sound,
576,"Lightning is light, and thunder is literally sound, and because the speed of light is faster than the speed of sound, lightning is dusted and thunder is heard afterwards.",
577,"Light is faster than sound, so lightning occurs first.",
578,"Oh, I know",
579,"Lightning is light and thunder is sound, but because the speed of light is incomparable to the speed of sound, light arrives first and sound arrives late.",
580,The reason why thunder is heard three seconds later is because light reaches the point where it is seen before sound.,
581,The light is faster than the sound,
582,Because light is faster than sound,
583,Because light is faster than sound. So light is seen first and sound is heard later,
584,"Because lightning is light and thunder is sound, lightning, which is light, reaches first.",
585,The sound is slow because the light is too fast,
586,Shall I ask lightning and thunder?,
587,"Lightning, the light, is faster than thunder, the sound. Therefore, light reaches first and thunder arrives late.",
588,Lightning is faster than thunder,
589,"Light is fast enough to orbit the Earth seven times a second, but the sound is not, so lightning strikes first.",
590,Because light (lightning) is faster than sound (thundering).,
591,Lightning occurs first because it is faster than sound.,
592,"Because the speed of light is faster than the speed of sound, lightning, which appears to be light, hits first and thunder, which occurs when lightning strikes, is heard later.",
593,I don't know.f,
594,"Light is generated faster than sound, so lightning strikes first and thunder is heard later.",
595,"This is because light has a speed of 300,000 kilometers per second, but the sound is about 340 meters per second.",
596,Because light is faster than sound.,
597,Unknowingness,
598,The light is faster than the sound,
599,I don't know...,
600,The light is faster than the sound,
601,Because the light is faster.,
602,Because light is faster than sound.,
603,Thunder is the sound that comes after lightning strikes,
604,I have no idea.,
605,"This is because light is 300,000 kilometers per second and sound is only a few hundred meters per minute.",
606,Because light is faster than sound,
607,Do.,
608,"""You react right away when the light shines, but there's a time when the sound comes.""",
609,"""Because the light is faster than the sound""",
610,The speed difference between light and sound,
611,Because light is very fast.,
612,I don't know.,
613,This is because light is much faster than sound.,
614,Unknowingness,
615,I have no idea.,
616,The light is fast,
617,Because light is faster than sound.,
618,"When lightning strikes, it makes a sound",
619,I don't know,
620,This is because the speed of sound is slower than light.,
621,Because the speed of light and sound are different,
622,The sound cannot keep up with the light,
623,Because light is faster than sound,
624,The light is the fastest,
625,"Because the speed of light is faster than the speed at which sound travels, thunderstorms at long distances detect light first and sound later.",
626,"Because lightning is light, it is faster than sound",
627,Because it faster than the speed of sound is the speed of light.,
628,The light is faster than the sound,
629,Because light is faster than sound.,
630,"This is because the speed of light is faster than the speed of sound. With this difference in speed, you can compare when lightning is visible and when thunder is heard to infer the position up to lightning.",
631,This is because light is faster than sound.,
632,I think it's because light is much faster than sound.,
633,"Because the speed of light is faster than the speed of sound,",
634,Because light is faster than sound.,
635,This is because light travels faster than sound.,
636,"Because sound is slower in particle speed than light, we can see it with our eyes as soon as lightning drops, and thunder, which is sound, takes a few seconds for wavelengths to be transmitted.",
637,"The light is faster, so we can see it first, and then the sound arrives",
638,Thunder!,
639,The sound is slower than the light,
640,I guess the sound comes out later,
641,"""The speed of light is about 300,000`km/s, and the speed of sound is about 340m/s. Lightning travels about 300,000 kilometers in one second because it is light, and thunder travels about 340 meters in one second because it is sound.Suppose lightning and thunder broke out about 3 kilometers from the school. Light travels about 3 km to school in a very short time of one hundred thousandth of a second. Therefore, lightning can be seen almost simultaneously as it occurs, but thunder is heard about nine seconds later. This is because the sound of thunder travels a distance of about 3km for about 9 seconds.",
642,"[Naver Knowledge Encyclopedia] Light and Sound Fast (Genius Learning Encyclopedia, Elementary Science 5-2, Genius Education)",
643,The light is faster than the sound,
644,Because the light is much faster,
645,The light is faster than the sound,
646,"The light is faster than the sound, so the light flashes first! Then the second place comes and makes a sound",
647,"After the lightning strikes, the impact is that it makes the sound of thunder",
648,"A phenomenon in which a very high voltage difference between a cloud and a cloud or between a cloud and the ground is not tolerated and is instantaneously discharged, and thunder is a sound caused by the high energy of a flowing charge In short, the speed of light is faster than the speed of sound.",
649,Because light is faster than sound.,
650,"Since the speed of sound is slower than the speed of light, light occurs before sound, and thunder is heard after lightning strikes.",
651,"Because the speed of sound is slower than the speed of light, light is generated before sound, so thunder is heard after lightning strikes.",
652,"Because the sound is slower than light, thunder is heard a few seconds after the lightning strikes.",
653,"The air expands due to heat, but the air cannot overcome the expanding force.",
654,"Because the light is faster than the sound, the light comes first, and the sound comes out after a few seconds, so the thunder and lightning can not be heard together",
655,"Light travels 3KM at a rate of one hundred thousandth of a second, but sound travels 3KM in a time of nine seconds",
656,Because the light is faster,
657,"Light is faster than sound, so lightning strikes and then thunder",
658,"The speed of sound is slower than the speed of light, so when lightning strikes, light is seen first, followed by thunder.",
659,"The speed of sound is slower than the speed of light, so when lightning strikes, light is seen first, followed by thunder.",
660,This is because the speed of light is faster than the sound of thunder.,
661,"The sound is slower than light, so lightning strikes first",
662,This is because the speed of light is faster than the speed of sound.,
663,"The speed of sound is slower than the speed of light, so when lightning strikes, light is seen first and then thunder is heard",
664,The light is too fast for the sound to catch up.,
665,"""The sound is slower than the light, so the light is faster than the sound.""",
666,"""I can see it""",
667,I don't know.,
668,Unknowingness,
669,Mr,
670,I don't understand.,
671,Mr,
672,"""",
673,I don't understand.,
674,"""",
675,ã·Ding ding ding ding,
676,Mr,
677,I don't understand.,
678,Mall,
679,I don't know,
680,I don't understand.,
681,The sound is slower than the light,
682,Mr,
683,I don't understand.,
684,I don't know.,
685,It's because the sound is faster than light,
686,The light is so fast,
687,Mr,
688,Unknowingness,
689,I don't understand.,
690,"Because the speed of sound is slower than the speed of light, light is generated before sound and sound is heard later",
691,The light is faster than the sound,
692,"It appears because light is faster than soundBecause the sound is slower than light. In short, the sound of thunder is slower than the light of lightning.",
693,"Because the speed of sound is slower than the speed of light, light is generated before sound and sound is heard later",
694,.,
695,Mr,
696,I don't know.,
697,The light is faster than the sound,
698,Light is faster,
699,"Light is faster than sound, so lightning strikes first and sounds are heard",
700,Unknowingness,
701,"Light is much faster than sound, so lightning comes first and thunder comes later",
702,Because light is faster than sound,
703,The light is faster than the sound,
704,?,
705,Because light is faster than sound.,
706,Because light is faster than sound.,
707,The light is faster than the sound,
708,That's how it works,
709,Thunder and lightning are scary,
710,The light is faster,
711,I don't know...,
712,The boat is faster than the sound,
713,The light is faster than the sound,
714,The light is faster than the sound,
715,I don't know.,
716,Because light is faster than sound,
717,"If it shines, it makes a sound",
718,The light is faster than the sound,
719,It's because light is faster than the sound,
720,The light is faster than the sound,
721,The light is much faster,
722,Because light is faster than sound,
723,????,
724,Light is seen first and sound is heard later.,
725,Light is faster than sound.,
726,Light is much faster than sound,
727,"The speed is too fast. Even if the angle is too high, it is too far away",
728,"The sound is 340 kilometers per second and the light is 300,000 kilometers per second, so the sound is very slow than light, so lightning strikes first and the sound is heard later.",
729,"Between light and sound, light is faster than sound",
730,The light is faster than the sound,
731,"It is because there is a sound in size and the speed is connected, so there is a moving sound speed in the object",
732,Because light and sound are faster and sound is heard after that,
733,She's asking for food on the boat,
734,Because there's an order,
735,It takes time for the sound to be transmitted because it's far away,
736,The light is faster than the sound,
737,The speed is different,
738,"""The speed of light is faster than the sound""",
739,"That's because.""",
740,PASS,
741,I don't understand.,
742,I don't know.,
743,"Light is faster than sound, so light is generated first and then sound is generated.",
744,The light is much faster than the sound,
745,"Thunder is sound and lightning is light. Simply put, the speed of sound and light is much different. That's why lightning is seen first and thunder is heard later.",
746,Because light is faster than sound.,
747,The light is 3000000 m/s and the sound is 340 m/s. There is a big difference in speed.,
748,"Because the light is 3000000 m/s and the sound is slower than this, the light flashes first and the thunder is heard later.",
749,"This is because the speed of sound is much slower than the speed of light, so light reaches humans first.",
750,Because the speed of light can't keep up with anyone,
751,1234,
752,I don't know,
753,Lightning is faster than the sound,
754,It's a natural phenomenon,
755,It's faster than lightning,
756,"Yes, it is",
757,123,
758,How do I know?,
759,Thunder meets light and speeds up.,
760,The sound is slower than the light,
761,Because the light is faster than the sound,
762,It's because lightning is faster than lightning is faster than sound,
763,The sound is heard late because you can hear the sound of mallards in a large area.,
764,"Three seconds after the bungeo-ppang, the thunder strikes",
765,The sound is heard late because you can hear the sound of mallards in a large area.,
766,Because time goes by so fast,
767,"be slower than lightSo after the lightning struck, there was a sound.",
768,I don't know,
769,The speed of light and sound are different,
770,I don't know,
771,"Because when sunlight comes toward us like us, we come to my eyes first.",
772,because light is faster than sound,
773,I don't know.,
774,"The thunder can't keep up with the lightning, so the lightning strikes first and you can hear the thunder",
775,Because the light is faster than the sound,
776,I don't know.,
777,The light is faster than the sound,
778,Because there's a time when the energy of thunder comes to us,
779,velocity of sound,
780,.....,
781,The light is faster than sound for.,
782,The sound of a child echoes.,
783,I don't know,
784,I don't understand.,
785,"The speed of light is 300,000 kilometers per second, and the speed of sound is 340 kilometers per second, so light is faster than sound",
786,...,
787,The speed of light is slower than the speed of sound,
788,It takes time while the sound is coming.,
789,"""Because the light is faster than the sound.",
790,"""",
791,The light is too fast to follow.This is because light is faster than sound.,
792,I think I'll make a thud first,
793,This is because light is faster than sound.,
794,I don't know,
795,"The speed of light is 3*10^8 m/s, which is much faster than the average speed of sound, about 300 m/s. Therefore, when there is a thunderstorm in the distance, lightning, the light, reaches our eyes first, and thunder, the sound, is heard a little later.",
796,The speed of light is faster than the speed of sound,
797,Speed of light > Speed of sound,
798,"The speed of light is 3*10^8 m/s, and the speed of sound is 331 m/s, so the light is fast.",
799,"The speed of light is greater than sound, so it reaches first.",
800,The speed of sound is slower than that of light.,
801,"The speed of light is faster than the speed of sound, and the surrounding air by lightning is heated and instantly expands to make sound.",
802,Light is faster than sound,
803,The light is faster than the sound,
804,"Lightning is light and thunder is sound, so lightning is fast.",
805,The light is faster than sound.,
806,"The speed of light is 3*10^8 m/s, and the speed of sound is 340 m/s",
807,The light is faster than the sound,
808,Bebebebe,
809,Travel time. Lightning strikes first and thunder is heard because the light is faster and the sound is slower,
810,Because the sound is slower than light.,
811,"Because the speed of light is faster,",
812,"Because the speed of light travels faster than the speed of sound, you see lightning first and then hear thunder",
813,"Lightning can be seen by light and thunder by sound, and light is faster than sound, so light reaches the eye first and sound comes after it.",
814,The light comes first and the sound comes out,
815,I don't know,
816,Because light is faster than sound.,
817,Because the light is faster than the sound,
818,The vibration of light is faster than the sound,
819,This is because the speed of light is faster than the speed of sound.,
820,Because the speed of light is faster than the speed of sound,
821,Because light is faster than sound,
822,Light is faster than sound,
823,This is because the speed of light is faster than sound.,
824,This is because the speed of light is faster than that of sound,
825,The light is so fast that you can see the light first and hear the sound,
826,Speed of movement Light > Sound,
827,Because the speed of sound is slower than the speed of light,
828,The speed of light is faster than the sound,
829,"Lightning is the sound of light thunder, but the sound can never be rubbed against the speed of light.",
830,Because light is faster than sound.,
831,"Because the light is faster than the sound, lightning is seen first and then sound is heard",
832,Because the speed of light is faster than the speed of sound,
833,"The speed of light of lightning is visible in our view, but the sound of lightning is heard in our ears slower than the speed of light due to the speed of sound.",
834,Because light is faster than sound.,
835,"Because light is faster than sound, lightning strikes first, and then a sound comes out.",
836,Because it's faster,
837,The light is faster than the sound,
838,The light is faster than the sound,
839,The reason why lightning strikes and sounds is to surprise people.,
840,The speed of light is superior to the speed of sound,
841,vary from hour to hour,
842,"Light is faster than sound. Light is a tremendous speed that can travel 12 times around the Earth in a second, but sound is slower than light, so light is seen before sound.",
843,Because light is much faster than sound,
844,It's acid-dominated,
845,Because light is faster than sound.,
846,"I heard that light travels seven times around the earth in one second. Therefore, the light is much faster than the sound, so lightning is visible and the sound is heard later.",
847,This is because the speed of light is five seconds faster than the speed of sound.,
848,Because light is faster than sound,
849,Because the light is faster than the sound can be heard,
850,"Light is faster than sound, so lightning strikes first and thunder is heard.",
851,"Because the speed of sound and the speed of light are different, light is seen first, followed by sound.",
852,"Lightning is light and thunder is sound. Because light is faster than sound, lightning strikes first and then thunder is heard later.",
853,Because light is faster than sound,
854,Because light is faster than sound.,
855,"The speed of light is the speed at which it can travel three times around the Earth at a time, but the speed of sound is slow, so light is seen first and sound arrives next",
856,"Light travels at a speed of 300,000 kilometers per second, and sound travels 340 meters per second at room temperature. That's why the faster light reaches first, and then the slower sound arrives.",
857,Lightning occurs first because the speed of light transmission is faster than that of sound.,
858,Lightning occurs first because the speed of light transmission is faster than that of sound.,
859,The light is faster than the sound,
860,This is because the speed of light is much faster than the speed of sound (sonic waves).,
861,Because light is faster than sound.,
862,This is because the speed of light is much faster than the speed of sound.,
863,This is because the speed of light is faster than that of sound waves.,
864,Unknowingness,
865,This is because light is faster than sound.,
866,"Light is faster than sound, so lightning reaches the ground before thunder.",
867,Unknowingness,
868,"Light is not a movement that requires a medium, so it is the fastest, so of course, it is transmitted before sound. That's why we can hear thunder after lightning strikes.",
869,The light is faster than the sound,
870,Unknowingness,
871,The light is very fast and the sound is relatively slow,
872,"Lightning is light. Thunder is the sound. The difference is that the speed of light is 300,000 kilometers per second, and the speed of sound is 330 meters per second.",
873,This is because the speed of light is faster than the speed of sound.,
874,"In fact, in the cloud, a tremendous amount of energy moves and light and sound will be generated at the same time, but as you know, the speed of light is incredibly fast and the sound lasts about 340 meters per second. Considering this, it is natural.",
875,"Because the speed of light is faster than the speed of sound, lightning is seen first and sound is heard later.",
876,Unknowingness,
877,This is because the speed at which light touches is faster than the speed at which sound is transmitted.,
878,The speed of light is faster than the sound,
879,Because light travels faster than sound,
880,This is because the speed of light is faster than that of sound.,
881,"Light travels without the help of the medium, but sound travels through the medium. That's why we can see lightning first and hear thunder a little later.",
882,Because the speed of light is faster than the speed of sound,
883,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,
