,"2) What happens when the decomposers (mushrooms, fungi) disappear from Earth?",q55_Constructive ,q55_Food ,q55_Ecosystem
36,"It won't rot, it'll all just die of no need.",,,
37,This is because ecosystems and producers could disappear.,,,
38,"""",,,
39,I can't eat them.,,,
40,The body is rotten and stinks.,,,
41,The earth will be dug up,,,
42,"The body and excrement remain intact, so I don't think it'll be good.",,,
43,"There are good mold and bad mold among them, and if good mold disappears, it causes a lot of damage. This is because people lose their food without mushrooms.",,,
44,"First of all, if there is no mold, it can be damaged where there should be mold, and if there are no mushrooms, it can be damaged naturally, and what we eat is also we eat.",,,
45,The ecosystem is destroyed.,,,
46,I don't know.,,,
47,dirty,,,
48,Die.,,,
49,I'm going to screw up,,,
50,I can't eat doenjang-guk,,,
51,The earth will perish,,,
52,I'm going to screw up,,,
53,"Without decomposing substances, the substances that need to be decomposed will not be decomposed and will be bad for the environment",,,
54,A lot of food will disappear.,,,
55,Microorganisms that were parasitic on decomposers will disappear,,,
56,Life doesn't rot.,,,
57,The earth is full of trash,,,
58,I don't know.,,,
59,It will not be able to break down dead creatures and disappear quickly on Earth.,,,
60,I don't think it matters,,,
61,"There's a lot of rotten things, dead trees, etc",,,
62,"The bodies naturally decompose and methane gas increases in the atmosphere, intensifying global warming and reeking of unpleasant odors",,,
63,Things that need to be broken down cannot be broken down,,,
64,"If decomposers disappear from the Earth, the ecosystem will be more susceptible to contamination because animals' bodies will not be decomposed.",,,
65,It can't be used to make fermented foods and can't be helped by green mold.,,,
66,"Landfills do not decompose forever, resulting in environmental destruction.",,,
67,The earth will be flooded with garbage.,,,
68,I don't understand.,,,
69,The earth's environment will be dirty because no remains or bodies will be decomposed,,,
70,"As corpses and rotten substances do not disappear and remain in shape, the Earth is polluted much faster and all kinds of lumps are likely to surround the ground without any space for us to step on.",,,
71,I don't know.,,,
72,Life won't be able to get nutrients,,,
73,Fossil fuels are not produced.,,,
74,run out of food,,,
75,The earth becomes a dump,,,
76,I can't eat mushroom hot pot,,,
77,"If we don't break it down, we'll only be producing it, and the world will be covered with what's produced",,,
78,"Consumer disintegration will not take place, leaving the remains floating and waste useful substances.",,,
79,The amount of garbage on Earth increases.,,,
80,No mold left a rotten smell (dead,,,
81,I don't think the ecosystem will work,,,
82,I don't understand.,,,
83,"You don't know what the decomposer does, but you won't benefit when you decompose because you can't decompose.",,,
84,The body rolls around and pollutes the atmosphere,,,
85,"I think the decomposer is a person who breaks down bad substances on Earth and so on, so if decomposition is gone, we can't break down the remaining substances or bad substances on Earth and it will have a bad effect on consumers, so it will be hard for example.",,,
86,"Only when producers, consumers, and decomposers mesh together and coexist can life exist on Earth.",,,
87,"If the decomposer disappears, the dead bodies of living things cannot be decomposed, so they cannot continuously circulate. Therefore, carbon in the dead body of living things will gradually increase and affect the Earth in various effects on the Earth.",,,
88,"It allows the producer to produce and consume what the consumer produces, and when the consumer dies, the consumer decomposes the consumer so that the producer can produce again. This is the cycle of the ecosystem. If the decomposer disappears here, there will be less and less scaffolding for producers to produce. So, as the number of producers decreases and the number of producers decreases, the number of consumers eventually decreases, reducing the cycle of the ecosystem. Therefore, living things cannot survive.",,,
89,I don't know,,,
90,It is difficult to lose the body of a producer or consumer,,,
91,The ecosystem circulation will not be carried out smoothly because what occurs in the process of consuming something produced is not decomposed.,,,
92,There are so many producers like grass that I think there will be a shortage of land,,,
93,I'm not sure about that,,,
94,I think we need a role like a decomposer. I can't remember why.,,,
95,be indissoluble,,,
96,Producers and consumers also disappear.,,,
97,Undecomposed and undesirable,,,
98,The ecosystem is going to be ruined.It doesn't break down things that need to be broken down,,,
99,It becomes difficult for producers and consumers to live.,,,
100,It's all over the place and it's going to be ruined,,,
101,"It is thought that if the decomposer disappears, both producers and consumers will disappear.",,,
102,"Mushroom lovers can't eat mushrooms, and later generations don't know the taste of mushrooms.",,,
103,Consumers and producers will also disappear.,,,
104,Everything doesn't rot.,,,
105,"It will take a long time for creatures to rot or become more perishable, causing the Earth to be polluted",,,
106,Harmful creatures don't disappear,,,
107,I don't know.,,,
108,I don't know,,,
109,Will the air get muddy?,,,
110,"As the bodies do not rot, the bodies will continue to exist on Earth, so there will be a wide range of bodies on the streets, and the garbage will not be decomposed and will be covered with garbage.",,,
111,The environment will be destroyed more quickly and easily by leaving the bodies decomposed and not rotting,,,
112,"The balance of the ecosystem will be destroyed, and green mold and other materials from mushrooms and fungi will no longer be able to be developed or studied.",,,
113,"There is a substance that needs to be decomposed, but it cannot be decomposed",,,
114,I can't eat mushrooms.,,,
115,"Go, go, go!",,,
116,The garbage is overflowing,,,
117,The whole world will turn into a corpse,,,
118,I can't live,,,
119,"When mushrooms are gone, it's hard, and when mold is gone, it feels good",,,
120,There will be droppings or bodies of the animals,,,
121,I don't know.,,,
122,The air becomes clear,,,
123,I have to go to the bathroom.,,,
124,The Earth will be filled with corpses,,,
125,The earth will pile up dead because there is no decomposer,,,
126,I can't eat mushrooms.,,,
127,"""I can't cook",,,
128,"""",,,
129,I can't eat mushrooms,,,
130,The earth becomes clean and the mushrooms disappear,,,
131,I can't eat mushrooms.,,,
132,"When fungi or mushrooms disappear, the environment deteriorates.",,,
133,The earth becomes dusty,,,
134,"There are no decomposers on Earth, so it's likely to pile up dead bodies",,,
135,I don't understand.,,,
136,"You can't eat mushrooms, people who like mushrooms complain, and people who sell mushrooms can't do business, and you can't make food with mushrooms.",,,
137,be unable to eat mushrooms,,,
138,I can't eat mushrooms and I think the air will be clean even a little bit,,,
139,Rotten leaves and dead bodies are likely to wander from Earth.,,,
140,There is garbage.,,,
141,I can't eat cheese,,,
142,Animal corpses don't rot.,,,
143,I can't eat cheese.,,,
144,Animal corpses don't rot,,,
145,This is because it plays a role in decomposing carbon dioxide.,,,
146,The earth is rotten and stinking,,,
147,"When the decomposer disappears, the earth's ecosystem is ruined and dirty.",,,
148,The bodies rot and remain intact,,,
149,"As the amount of dead bodies and trash increases, it becomes contaminated",,,
150,"When the decomposer disappears, the dead creatures continue to remain, making them dirty and food free from spoiling.",,,
151,Animal bodies are overflowing and smelling.,,,
152,The bodies won't disappear and the world will smell rotten.,,,
153,It is likely to have an adverse effect on our environment because living things cannot return to nature.,,,
154,"If the decomposers (mushrooms and fungi) disappear from Earth, they will not be able to eat cheese.",,,
155,Dead animals and plants do not decay or decay,,,
156,It becomes a world that cannot live without a decomposer.,,,
157,"When the decomposer disappears, when the animals die and become corpses, the bodies remain intact, making the world more and more uninhabitable.",,,
158,It doesn't rot,,,
159,There will be a lot of bodies on the floor.,,,
160,The world will be full of rotten meat and consumers,,,
161,The streets are full of trash and corpses,,,
162,The bodies will overflow,,,
163,The earth will perish.,,,
164,"Every street will be covered with animal waste, and everywhere will stink.",,,
165,Animal waste or dead bodies will not decompose and disappear.,,,
166,The bodies of the animals will overflow.,,,
167,"The ecological balance has collapsed, and the animals living on Earth are likely to disappear",,,
168,It fills up with garbage.,,,
169,The body doesn't disappear and it gets dirty.,,,
170,The world is overflowing with corpses,,,
171,Collapse,,,
172,the state of the world overflowing with corpses,,,
173,The earth will be dirty because the bodies are scattered and the things that need to be dismantled will not be dismantled,,,
174,The earth will be full of animal carcasses and rotten food and stink,,,
175,"If you don't decompose, the things that the decomposer has to decompose fill the world and the producer can't produce",,,
176,The body won't disappear,,,
177,There is a lot of trash on the earth.,,,
178,"The earth will be full of animals and human bodies, and the smell of rot will be very bad even if it rotting.",,,
179,The bodies of people or animals will remain undissolved.,,,
180,"Dead creatures do not rot and remain intact, and garbage does not decompose.",,,
181,"If the decomposer disappears, the animal's dead body or excrement will not decompose and the animal's dead body or excrement will overflow",,,
182,"In this world, the odors and dead bodies of all living things will not disappear.",,,
183,The animals disappear and the ecosystem breaks down.,,,
184,"If the decomposer disappears, the earth can be contaminated and smelly because it cannot decompose animals' bodies.",,,
185,"Since the ecosystem is all related to each other, if the decomposer disappears, the ecosystem will not be well established and the ecosystem will be difficult.",,,
186,Garbage doesn't disappear = Destruction,,,
187,It will be covered with garbage,,,
188,Fungi will form and increase.,,,
189,The garbage can't be cleaned up.,,,
190,Ecological Pyramid? Destroyed,,,
191,We don't live,,,
192,The world will be flooded with garbage,,,
193,Only the smell of trash and trash will remain on this earth.,,,
194,"""There will be a flood of trash, corpses and secretions on the planet",,,
195,"""",,,
196,The earth will be dirty.,,,
197,"The garbage will continue to pile up.Other decomposers could appear on our planet, and if not, the planet would be flooded with garbage.",,,
198,It looks like it's going to spill over into garbage.,,,
199,"""It's the decomposer's job to break down an animal's body, and if it disappears,",,,
200,"The earth will be filled with animal carcasses and trash.""",,,
201,The decomposer disappears and the earth is likely to be polluted.,,,
202,The cigars will stay there and smell.,,,
203,"If the number of decomposers decreases, the number of producers will decrease and be wiped out, and then the consumer will be wiped out.",,,
204,to get more food waste,,,
205,It's all over the world. It'll be covered with human and animal bodies,,,
206,The world will be covered with excrement and corpses.,,,
207,I'm going to screw up,,,
208,"When the decomposer disappears from Earth, the bodies of animals and plants will remain intact without decomposed.",,,
209,"The decomposer breaks down the bodies of animals and plants, and when the decomposer disappears like this, the Earth smells like bodies floating around and can become more polluted.",,,
210,"If the decomposer disappears, there will be no dead animals or other creatures on Earth forever.",,,
211,A lot of bodies will remain intact,,,
212,"The bodies of cattle secondary visas, producers or primary consumers who were eaten by tertiary consumers will remain intact, and the decomposers will not play their role in decomposing them, so the bodies will be swarming.",,,
213,"The earth is already overflowing with trash we produce and throw away. Using them as food for other elements is already happening in many parts of nature. Germs that clean the septic tank and bacteria that eat sea debris are de facto decomposers. Without them, we would have to clean up our scraps in a primitive way. It is simply ""cleaning up the poo that you have cheap."" Also, it seems a little off topic, but you can't eat mushrooms.",,,
214,I can't eat cheese,,,
215,I can't eat cheese. Mushroom lovers are sad.,,,
216,They're all going to die,,,
217,be unable to dismantle the body,,,
218,Dead creatures don't disappear,,,
219,"Without decomposers, corpses and feces cannot decompose and become odors and manure.",,,
220,The earth will be filled with corpses and rotten materials.,,,
221,It smells rotten or the environment is polluted because it cannot decompose consumers.,,,
222,The decomposer disappears,,,
223,The body will continue to be wrapped.,,,
224,The body won't disappear.,,,
225,I don't know,,,
226,There's nothing to eat,,,
227,The body doesn't disappear and smells,,,
228,The bodies of the animals will pile up,,,
229,The body will pile up because it cannot be broken down,,,
230,"As the number of bodies increases, the ecosystem is disturbed and nature is destroyed",,,
231,an increase in private debt,,,
232,The number of living organisms that cannot be fermented and live parasitic on other living things will decrease.,,,
233,It will increase odors and bugs because they can't decompose themselves naturally.,,,
234,There are only dead creatures on the earth,,,
235,Animals don't rot.,,,
236,The earth will be covered with dead bodies and poo.,,,
237,"If mushrooms disappear, mushroom food disappears, and mold disappears, the world becomes better",,,
238,It's going to end,,,
239,I don't know,,,
240,"Mushrooms and mold-eating animals die, destroying the ecosystem.",,,
241,The world would have been strewn with bodies.,,,
242,"""People who eat mushrooms can't eat them, people who sell mushrooms can't sell them, and it includes lactic acid bacteria, which is mold",,,
243,"I can't eat lactic acid bacteria (yogurt, soy sauce, etc.)",,,
244,The environment will be bad,,,
245,"If there is no decomposer in the world, mold will not become dirty if there is no decomposer, but mushrooms are decomposers, but if they are gone, they can be okay, but if they are edible, they will be sad if they are gone.",,,
246,"Fungi can rot dead bodies like food waste That's why it smells so bad Mushrooms, like poisonous mushrooms, don't help us, and some shiitake mushrooms help us It would be nice if the decomposer disappeared, but it could be bad.",,,
247,It's a good thing,,,
248,This world will vibrate with food waste and the smell of dead bodies.,,,
249,Mushroom Fungi Eating Animals Disappear,,,
250,I don't know.,,,
251,A clean environment will be created.,,,
252,"If there is no mold, it is convenient because it does not remove the blank.",,,
253,"Stools, corpses and scraps will remain and smell and the ground will be dirty.",,,
254,"The bodies of living things will not disappear on Earth, but they will be piled up",,,
255,"The bodies don't break down, so it's hard to dispose of a pile of bodies",,,
256,I don't know.,,,
257,The earth will be strewn with animal corpses or dead things,,,
258,The world is likely to smell rotten,,,
259,The body doesn't rot easily,,,
260,The bodies don't mix,,,
261,It doesn't decompose and smells rotten.,,,
262,The body of an animal remains intact,,,
263,The body doesn't disappear,,,
264,It's likely to have a bad effect on the planet,,,
265,There are so many germs that people can't live.,,,
266,I don't think the body will break down,,,
267,The life cycle will not be lost and the ecosystem will gradually be destroyed,,,
268,The garbage will overflow.,,,
269,"In conclusion, it is destroyed.",,,
270,"The organic matter will decompose and the circulation will not take place well, such as returning to the soil.",,,
271,The global ecosystem will be very dirty.,,,
272,The ecosystem is extinct because it cannot be maintained if any of it disappears.,,,
273,I don't know.,,,
274,The balance between consumers and producers is broken and one side collapses,,,
275,"The bodies of garbage or organic matter cannot be decomposed, and they accumulate, destroying life.",,,
276,"Factors that producers need to produce resources, or the scale of producers is reduced",,,
277,Producers disappear and consumers disappear,,,
278,Bodies of garbage or animals will continue to roll on the floor.,,,
279,It will be overflowing with garbage.,,,
280,It will damage the ecosystem,,,
281,There will be no circulation of the elements because there will be no existence to decompose the bodies of animals and plants,,,
282,Some species will disappear.,,,
283,There will be no ecosystem cycles.,,,
284,"In order for the ecosystem to be maintained, the circulation of producers, decomposers, and consumers is necessary, but when decomposers are removed, the ecosystem stops and disappears.",,,
285,It's going to end,,,
286,There's another decomposer,,,
287,"The animals' bodies and fallen leaves will not disappear, so the pollution will be severe",,,
288,The decomposition process in the natural ecosystem is eliminated and the earth is wrapped in dead bodies or trash.,,,
289,It cannot break down dead creatures.,,,
290,The body is rotting,,,
291,The ecosystem is going to be ruined.,,,
292,Disappearing,,,
293,The bodies are likely to remain undissolved,,,
294,I don't know.,,,
295,Nothing's going on,,,
296,"If the decomposer is lost, it will not decompose and the producers will suffer.It's getting worse than now",,,
297,Things that need to disappear naturally will not disappear and the earth will become dirty.,,,
298,The ecosystem is destroyed,,,
299,the inability of substances to decompose in nature,,,
300,The earth will continue to be piled up with garbage and make it dirty.,,,
301,Perhaps the things that need to be broken down will not go away and remain.,,,
302,The earth will be buried in a heap of corpses,,,
303,There will be bodies left on Earth without decay.,,,
304,The mold cheese disappears.,,,
305,I'm in trouble.,,,
306,The ecosystem is not active.,,,
307,The ecosystem is likely to rot because of the overflow of dead creatures,,,
308,We would not have been able to eat delicious mushrooms and find green mold made of penicillin.,,,
309,The ecosystem is not maintained because animal corpses or wastes are not decomposed.,,,
310,"In the cycle between decomposers and consumers and producers, the cycle is broken when the decomposers are lost",,,
311,Ecosystem balance will be broken,,,
312,It's too bad.,,,
313,"When the decomposer disappears, the bodies of the creatures do not decompose, making it difficult to dispose of them.",,,
314,The ecological cycle does not work well if the decomposer disappears and there is only a producer.,,,
315,You will not be able to do scientific research using fungi.,,,
316,"Without decomposers, it is difficult for living organisms to survive because it is difficult to maintain ecosystem circulation.",,,
317,"When you grill meat, you can't eat mushrooms together.",,,
318,The elimination of decomposers will result in a huge increase in producers and consumers,,,
319,Environmental pollution occurs due to accumulation of substances that adversely affect the undissolved environment.,,,
320,"Without decomposers, the earth will be covered in stench",,,
321,be unable to break down,,,
322,The body won't rot and the body will be spread out.,,,
323,"As only producers and decomposers increase, overall production will continue to increase, causing controversy in the ecosystem",,,
324,The balance of the ecosystem will be destroyed and serious food shortages will arise,,,
325,"The bodies of producers and consumers are not decomposed, so circulation is not achieved.",,,
326,The ecosystem will collapse.,,,
327,"Substances that consumers cannot consume or do not consume remain intact, which can contaminate the environment.",,,
328,It does not decompose and does not circulate,,,
329,"If the decomposer disappears, there is no ecosystem circulation",,,
330,"This is because it cannot decompose decaying materials and continues to remain, which can cause ecosystem destruction by continuously generating harmful substances.",,,
331,"If decomposers such as mushrooms and fungi disappear, the decomposition of dead bodies or microorganisms may not occur, so the Earth's environment may not be clean, which will lead to decomposition of organisms or bacteria.",,,
332,"The decomposer is responsible for decomposing dead animals' corpses or excrements, and if the decomposer disappears, the smell of rotting bodies on Earth will vibrate.",,,
333,There is confusion in the ecosystem as decomposers to decompose the bodies of consumers and producers disappear.,,,
334,There's a lot of dead bodies and rotten organic matter,,,
335,The environment is not working well because the bodies of animals and plants are piled up.,,,
336,"""I can't break down the body",,,
337,"""",,,
338,I don't know,,,
339,I can't eat mushrooms,,,
340,I don't know,,,
341,I don't know,,,
342,The environment will be bad because the garbage doesn't rot,,,
343,The ecosystem is disappearing,,,
344,It could just swell and explode,,,
345,Other unsanitary creatures or objects do not disappear.,,,
346,What's,,,
347,The environment was bad.,,,
348,I can't eat mushrooms because of worse substances,,,
349,"When the decomposer that breaks down disappears, it cannot be decomposed and becomes all dirty",,,
350,"""If I couldn't make it every week and mushrooms didn't exist from the beginning,",,,
351,"""We don't know about mushrooms, and we'll make another raw one for them.""",,,
352,The ecosystem is out of harmony.,,,
353,I don't know,,,
354,It doesn't break down the trash buried in the ground.,,,
355,The animal will not rot and will remain intact.,,,
356,"When the decomposer is alive, animal bodies will come out when digging.",,,
357,to be able to get rid of germs,,,
358,"If the fungus disappears, you can die if you eat it without knowing if it's rotten, and if the mushroom disappears, you can't eat it and the job of the mushroom digger disappears",,,
359,Moulds will not be able to function well as ecosystems because they have the necessary good effects,,,
360,"Specifically, there is something that needs to be broken down in the world, so the stench causes other problems.""",,,
361,The bodies will wander around and not be decomposed.,,,
362,There's a dead man or something like that's still alive,,,
363,"The substance does not rot and is thrown away like trash, and the balance is broken.",,,
364,It will be difficult to live because animals and plants do not rot and smell and are highly polluted.,,,
365,Food doesn't rot...and so on,,,
366,Dead creatures don't rot.,,,
367,There is no decomposition of the body,,,
368,The body doesn't rot,,,
369,"If there is a dead animal, it will not rot and will remain",,,
370,The body of the dead animal remains,,,
371,The garbage remains undissolved,,,
372,The global environment becomes dirty because the bodies and trash do not rot.,,,
373,The bodies and the leaves didn't break down,,,
374,"The gray mirror is contaminated, making it difficult for consumers to live, and producers do not grow well.",,,
375,Fallen leaves or fallen trees will remain.,,,
376,"When the decomposer disappears from Earth, the dead bodies of animals and plants will not decompose and will only rot and smell a lot.",,,
377,"Cadavers and harmful substances remain intact, causing damage to the ecosystem",,,
378,"Waste and bodies are not decomposed, causing environmental pollution",,,
379,It is difficult to maintain the ecosystem,,,
380,It is because food and dead bodies rot only when there is a decomposer.,,,
381,"The decomposer breaks down the dead animal's body to get nourishment, but without the decomposer, there will be animal bodies all over the world and the land will be dirty",,,
382,The bodies of rotten animals and plants will float on Earth.,,,
383,It stinks,,,
384,"The bodies rot and cannot return to nature, destroying the ecosystem.",,,
385,"If the body doesn't rot and the plant dies, it doesn't rot and smells and the earth turns into a dump",,,
386,The earth can no longer be inhabited by living things,,,
387,"You can't take it apart, can you?",,,
388,Wastes pile up.,,,
389,There will be bodies and droppings everywhere.,,,
390,The corpses of the animals are dead,,,
391,The bodies of the animals will overflow and overflow.,,,
392,The world will kick with animal carcasses and excrement,,,
393,The body doesn't disappear,,,
394,I feel depressed because the bodies of animals are here and there,,,
395,"Because when living things die on the ground, they smell and are disgusting.The bodies rot",,,
396,I could see a body in an insect,,,
397,You'll be in trouble,,,
398,We can't break down the bodies. The earth will be flooded with bodies,,,
399,"Walking down the street, there's gonna be a lot of stink and bodies",,,
400,be filled with germs,,,
401,You're going to die,,,
402,"Animal corpses, more excrement",,,
403,"""The earth will be full of odors, and there will be bodies wrapped around it.",,,
404,"In addition, decomposers in the stomach do not work, killing other living things.",,,
405,"""",,,
406,Animal carcasses and excrement overflow.,,,
407,There will be a rapid increase in the body of course,,,
408,The body of an animal or something like that can rot because it doesn't decompose,,,
409,h,,,
410,The earth will stink,,,
411,The earth is left with a body.,,,
412,"Since the material is not decomposed, the waste is not decomposed, so if the waste is burned, a lot of carbon dioxide is produced, and humans and life are destroyed by the greenhouse effect.",,,
413,The animals[consumers] remain intact,,,
414,The balance of the ecosystem collapses.,,,
415,It will be overflowing with trees and grass.,,,
416,The new world is getting dirty,,,
417,I don't know.,,,
418,"Not only mushrooms, but also living things won't live well.",,,
419,The ecosystem is destroyed.,,,
420,It doesn't rot and gets contaminated.,,,
421,The earth is overflowing with corpses.,,,
422,It will be inconvenient because there is no decomposer where the decomposer is needed.,,,
423,I don't know,,,
424,I don't know;;,,,
425,You can get sick because you can't eat healthy things like mushrooms.,,,
426,The Ecological Pyramid Could Change,,,
427,I don't know.,,,
428,There is a lot of garbage.,,,
429,Bodies don't rot easily.,,,
430,Life won't be able to live.,,,
431,I have no idea.,,,
432,People keep eating mold without looking at it So I don't feel well later,,,
433,It's short,,,
434,A body lamp will remain on Earth forever.,,,
435,I have no idea.,,,
436,"The dead bodies of the expiring consumer will rot and decompose and will not be disposed of here and there, so neither will the producers",,,
437,There will be ecological divisions,,,
438,Life is gone,,,
439,The ecosystem is destroyed.,,,
440,"Things that are no longer in use continue to pile up on Earth, making the Earth dirty.",,,
441,The environment will be bad.,,,
442,ecological division,,,
443,the destruction of the earth,,,
444,Life that isn't alive won't break down,,,
445,The environment is destroyed and people die,,,
446,Mold must not disappear,,,
447,Things that don't decompose on Earth will become dirty,,,
448,"Since there are no decomposers, there will be more dead bodies and infectious diseases",,,
449,No way.,,,
450,"When an animal or plant dies, the body will remain intact, dirty and smelly",,,
451,There is no decomposition and there is disturbance in the ecosystem.,,,
452,"Since it does not decompose, living things and food do not rot, and nutrients from rotting cannot be returned to nature.",,,
453,The ecosystem will be destroyed.,,,
454,Missing decomposers can cause germs and mold.,,,
455,Undecomposed creatures will be laid to the ground,,,
456,I don't know.,,,
457,I don't know. It's not good.,,,
458,It's getting dirty,,,
459,The ecosystem will become extinct,,,
460,It will be difficult to live.,,,
461,The ecosystem could be destroyed,,,
462,The ecological balance collapses,,,
463,"If mushrooms and fungi disappear from the Earth, they will get sick by eating only unhealthy foods and not eating good fungi such as soybean paste blue mold, which is delicious and healthy. Also, mushrooms are delicious, but I think it's terrible to think that sometimes when we want to take care of our health or when we have to eat something later, it disappears.",,,
464,I think it'll get better.,,,
465,Mushrooms,,,
466,I think I'm going to screw it up.,,,
467,The earth will be very clean,,,
468,The body doesn't rot and the body overflows.,,,
469,I can't eat mushrooms,,,
470,It doesn't rot. There's a lot of bodies,,,
471,The earth is going crazy,,,
472,I'm going to screw up,,,
473,That sounds great.,,,
474,People scream because they don't have that experience.,,,
475,The ecosystem is not balanced.,,,
476,Many pollutants will not decompose.,,,
477,"Earth becomes dirty because the body cannot be disposed of, so we have to leave the Earth.",,,
478,It's so clean,,,
479,It's getting harder to live on Earth,,,
480,It becomes difficult for people to live,,,
481,"If mold disappears, fermented foods are likely to disappear.",,,
482,"It's good, but I don't think people will live well.",,,
483,Nature is destroyed,,,
484,Our country may have a reduced lifespan due to mold,,,
485,There are more harmful things in our bodies and more unknown diseases,,,
486,The ecosystem is exposed and polluted,,,
487,be at a disadvantage to producers,,,
488,"""You can't eat mushrooms.",,,
489,"""",,,
490,The dead animals' bodies don't rot and stink.,,,
491,That's nice,,,
492,The Earth Is Getting Better,,,
493,It doesn't decompose.,,,
494,I don't knowI don't know,,,
495,I don't know,,,
496,I don't know,,,
497,I don't know,,,
498,I don't know,,,
499,I don't know,,,
500,I don't know,,,
501,Lack of oxygen?,,,
502,I can't eat mushroom hot pot.,,,
503,I don't know.,,,
504,I can't eat mushrooms,,,
505,I don't know,,,
506,Dead bodies pile up and pollute the earth,,,
507,I have no idea.,,,
508,I don't know.,,,
509,"""I can't eat cheese.""",,,
510,"""",,,
511,I don't know,,,
512,I don't know...,,,
513,---,,,
514,The bodies are burning.,,,
515,M and D,,,
516,I don't know because I don't have time.,,,
517,I don't know.,,,
518,I don't know,,,
519,??????????????,,,
520,Plants no longer grow and humans become extinct.,,,
521,I don't know.,,,
522,The earth is full of animals and human bodies,,,
523,The earth is likely to become dirty because animal waste or other bodies are not decomposed.,,,
524,The earth becomes a dump,,,
525,The earth turns into a dump.,,,
526,The earth's ecosystem doesn't allow private debt to disappear,,,
527,Dead creatures cannot decompose and rot away.,,,
528,It will be full of poo and corpses,,,
529,Nature will be destroyed.,,,
530,The earth will be flooded with corpses and smelly.,,,
531,The world will be full of dead bodies,,,
532,The body won't rot,,,
533,I think the earth will be better,,,
534,Dead creatures remain intact.,,,
535,I don't know,,,
536,I don't understand.,,,
537,lol,,,
538,"Producers who eat decomposers will disappear, and consumers who eat producers will disappear.",,,
539,It will take a very long time for the garbage or corpses to rot alone.,,,
540,"When the decomposer disappears, the human body will remain decomposed.",,,
541,"Even if plants and animals die, the bodies will be left uncorrupted.",,,
542,"The dead bodies of animals and withered plants will cover the earth. Without decomposers, these leftovers cannot disappear, so if they are not buried in a certain space to secure space, it will be a big problem on Earth. In addition, the problem of determining landfills will be a big issue because landfill does not rot.",,,
543,"The producer affected by the decomposer will disappear and the consumer affected by the producer will disappear, and the life on Earth will gradually disappear",,,
544,The earth will be flooded with bodies that cannot decay and decompose.,,,
545,"When the decomposer disappears from the earth, the dead bodies and sediments of producers and consumers pile up without decomposition, so the balance of the ecosystem collapses and other nutritional level members will eventually disappear.",,,
546,The damage from dust and air pollution will increase,,,
547,"Dead bodies will not decompose and accumulate, and it will adversely affect the global ecosystem.",,,
548,"If the decomposer that supplies nutrients to the soil from the dead body disappears, the soil will lack nutrients and producers will not be able to create energy, and consumers will also lack energy sources, causing the entire ecosystem to collapse.",,,
549,"Producers, consumers, and decomposers do not live independently of each other, but through interaction, and if decomposers disappear, consumers and producers are likely to disappear as equilibrium is broken.",,,
550,"As in the above problem, the ecosystem is balanced and interacts with each other, so if the decomposer disappears, the consumer who cooks the decomposed consumer as food also disappears, breaking the ecosystem's balance",,,
551,"If decomposition does not occur in the ecosystem, no living things will rot even if they die, thereby destroying the ecosystem balance.",,,
