,"2. In the picture below, boys and girls are talking about different cultures. What advice do you need to be given to change the attitude of two people toward another country's culture into a desirable one?",q57_Diversity ,q57_Respect
174,"Culture should be viewed as relative, not absolute, and culture should be viewed from various perspectives rather than from any one perspective. And culture is related to the lifestyle of one region, so you should not ignore or disparage other cultures.",,
175,This is because the history and social characteristics of the country should be considered when looking at culture.,,
176,You have to have a mind to understand other countries' cultures morally,,
177,You should be able to be considerate and respectful of other countries',,
178,"Each country has a different culture, so you should understand and consider the differences.",,
179,Cultural relativism should be done.,,
180,Understand culture.,,
181,"Since culture has diversity in each country, it should not be rejected as different from mine, but an attitude to respect and selectively accept it is necessary.",,
182,Nothing else is strange.,,
183,Culture or letters may differ from country to country.,,
184,"Since each region has a different culture, an attitude to respect it is necessary.",,
185,Understand and respect the culture of other countries. The unique lifestyle and characteristics of each country are the result of the accumulation of various factors such as the environment and history of the country.,,
186,It's not good to ignore people because they have different cultures,,
187,You should be able to understand and accept other cultures. It should be acknowledged that other cultures are also one culture.,,
188,You should understand other countries' cultures and have an attitude that can accept them to some extent.,,
189,The difference in culture is that you have to understand it without prejudice.,,
190,It is necessary to understand and respect the cultures of each country.,,
191,Understand their lifestyle and have an attitude of respect,,
192,It is polite to whisper. All you have to do is not to face. And it's enough to be curious.,,
193,I think you're going to look uncivilized when you eat rice with a spoon,,
194,"It is natural that the cultures of other countries are different because they have developed in different environments from their own countries, and this should not be taken as strange.",,
195,"Each region's culture reflects the humanities, social, and natural conditions of each region, so it is necessary to respect them.",,
196,It allows people from other countries to have a reverse attitude to think from the perspective of others.,,
197,"We should recognize and respect the culture of other countries.Culture is relative, so it can appear differently from country to country. Our culture is not standard.",,
198,"Culture is relative, and everyone should be respected",,
199,We should respect the culture of other countries.,,
200,We have to respect each country's culture,,
201,Don't know,,
202,From a comparative point of view,,
203,"The man in the picture also has a woman around him, but I don't have one. Kidding. We should understand each other",,
204,..,,
205,You have to respect and understand other cultures,,
206,You guys are even weirder,,
207,Beware of door-to-door loan,,
208,"I think we should not look too critically at the cultures of other countries, but positively accept other cultures.",,
209,You should also understand the culture of other countries.,,
210,You have to understand the culture of other countries,,
211,We should try to respect each other's culture,,
212,I think we should respect culture in other countries.,,
213,"""",,
214,You have to be able to respect the language and culture of other countries,,
215,"""You can't do that. You have to consider the socio-cultural background of the country",,
216,"""",,
217,You will understand if you find out the surroundings of people in other countries.,,
218,It is necessary to understand the religion and natural environment of the society that uses the culture.,,
219,"The culture of other countries was considered as the standard of our culture, and this idea of self-culturalism was wrong. We should respect the culture of other countries and acknowledge the differences.",,
220,"""",,
221,There is no absolute standard in culture.,,
222,We should look at other cultures with cultural relativism,,
223,"Culture should be judged in consideration of the environment and context of society, and any cultural factor should know that there is a reason for its existence.",,
224,It should be viewed from the perspective of cultural relativism.,,
225,"He thinks it's weird that you don't use your hands, man. Just accept it",,
226,We must consider the environment of the country,,
227,Acceptance of other cultures to the extent that they do not harm others,,
228,You have to respect and be considerate of the culture of other cultures,,
229,"If you live in a different country from me, the culture can be different, so you have to understand it. It's not wrong, it's different, okay?",,
230,I'm not Confucius enough to criticize others yet. I don't think anyone can say anything wrong with each other.,,
231,It also fosters an attitude of respect for the cultures of other countries.,,
232,It's going to be far.,,
233,a medicine for sale,,
234,"The two people in the picture need a cultural relativistic attitude. It should be advised to understand the culture of other countries in historical, social and other contexts.",,
235,It's going to be far.,,
236,develop a relativistic attitude,,
237,You should understand and respect the cultural background of other countries,,
238,Don't think negatively about the culture of people in other countries and let them know that they are different and not wrong.,,
239,I think it would be better to experience other cultures more and make them understand the cultures of other countries naturally.,,
240,Have a cultural relativistic attitude,,
241,Let's kill two people and watch for world peace,,
242,Have a culture-relativistic attitude.,,
243,Respect other cultures,,
244,It should be viewed from the perspective of cultural relativism.,,
245,Let's find out about cultural relativism in one of the social studies textbooks in Jihak history,,
246,Don't ignore the culture of other countries,,
247,"A country has its own culture and customs, so you should think about it relatively.",,
248,"There may be different cultures, so you have to understand each other",,
249,Let's respect other countries' cultures and not ignore them,,
250,I eat it like this,,
251,He admits that the cultures of other countries are different and often changes his attitude that his own culture is the greatest,,
252,"There are bound to be differences between countries, continents, regions, and families because they have different lifestyles and beliefs. You have to understand as boys and girls are different.",,
253,I'd be happy if I saw your handwriting and thought it looked like a worm an impudent fellow,,
254,Keep the interaction going,,
255,I don't know,,
256,Then why do you guys eat with a spoon?,,
257,"Culture is not only seeing and understanding part of it, but also seeing and understanding the whole.",,
258,You should know and try to understand that each country has its own culture.,,
259,Understand and accept the culture of other countries as a whole.,,
260,You should know how to understand other people's culture and characteristics.,,
261,"No matter how different the country and culture are, you should not demean yourself with a hamb.",,
262,"The culture of another society is created by the environmental factors or other social factors that the society faces, and there are suitable factors in all cultural behaviors. Therefore, all cultures that do not ignore human basic rights should be respected.",,
263,"Don't speak in a negative or critical tone, but be positive and have an attitude to understand culture.",,
264,It's different from culture to culture. I understand,,
265,Admit the difference in culture,,
266,You have to have a point of view that understands different cultures,,
267,each culture,,
268,?,,
269,Talk in a manner that respects the culture of other countries.,,
270,Ignore it,,
271,Let's respect multicultural families,,
272,Let's not focus on our culture and think about other countries' culture,,
273,Actively embrace other cultures.,,
274,You should respect other cultures.,,
275,.,,
276,You should try to know and understand different cultures.,,
277,"I want to understand and know the culture of other countries, but if there is something I don't know, I study.",,
278,We should understand and respect the culture of other countries,,
279,You have to respect other cultures,,
280,I think it is wrong to think that one's actions or words are unconditionally correct.,,
281,"The culture of other countries should always be respected like our culture.""",,
282,"Each country eats different things, so you have to respect the people of other countries",,
283,We should respect the culture of other countries. It's wrong to think that only our culture is right,,
284,We should understand the differences in each other's cultures and respect the cultures of other countries.,,
285,We should respect each other's culture,,
286,You should try to respect and understand the culture of other countries.,,
287,"If you look at the culture of Yuri and the people of other countries, let's not think that they have that culture and don't think it's weird",,
288,This is because each person needs to understand and respect the difference in lifestyle.,,
289,"Since each country has a different environment and everyone has a different culture, we should understand that and respect the culture of all countries.",,
290,"Each country has a different culture, so we should respect the culture of the country.",,
291,It is because the culture of other countries is different,,
292,It's just that the culture of other countries and our country is different,,
293,We should respect the culture of other countries.,,
294,It is not wrong to be different.,,
295,"Even if it is different from your own country, you should respect and understand that country.",,
296,"You should have an attitude to understand the culture of other countriesCulture is relative, so it can appear differently from country to country. Our culture is not standard.",,
297,"Culture is relative, and everyone should be respected",,
298,We should respect the culture of other countries.,,
299,We have to respect each country's culture,,
300,Don't know,,
301,From a comparative point of view,,
302,"The man in the picture also has a woman around him, but I don't have one. Kidding. We should understand each other",,
303,..,,
304,You have to respect and understand other cultures,,
305,You guys are even weirder,,
306,Beware of door-to-door loan,,
307,"I think we should not look too critically at the cultures of other countries, but positively accept other cultures.",,
308,You should also understand the culture of other countries.,,
309,You have to understand the culture of other countries,,
310,We should try to respect each other's culture,,
311,I think we should respect culture in other countries.,,
312,"""",,
313,You have to be able to respect the language and culture of other countries,,
314,"""You can't do that. You have to consider the socio-cultural background of the country",,
315,"""",,
316,You will understand if you find out the surroundings of people in other countries.,,
317,It is necessary to understand the religion and natural environment of the society that uses the culture.,,
318,"The culture of other countries was considered as the standard of our culture, and this idea of self-culturalism was wrong. We should respect the culture of other countries and acknowledge the differences.",,
319,"""",,
320,There is no absolute standard in culture.,,
321,We should look at other cultures with cultural relativism,,
322,"Culture should be judged in consideration of the environment and context of society, and any cultural factor should know that there is a reason for its existence.",,
323,It should be viewed from the perspective of cultural relativism.,,
324,"He thinks it's weird that you don't use your hands, man. Just accept it",,
325,We must consider the environment of the country,,
326,Acceptance of other cultures to the extent that they do not harm others,,
327,You have to respect and be considerate of the culture of other cultures,,
328,"If you live in a different country from me, the culture can be different, so you have to understand it. It's not wrong, it's different, okay?",,
329,I'm not Confucius enough to criticize others yet. I don't think anyone can say anything wrong with each other.,,
330,It also fosters an attitude of respect for the cultures of other countries.,,
331,It's going to be far.,,
332,a medicine for sale,,
333,"The two people in the picture need a cultural relativistic attitude. It should be advised to understand the culture of other countries in historical, social and other contexts.",,
334,It's going to be far.,,
335,develop a relativistic attitude,,
336,You should understand and respect the cultural background of other countries,,
337,Don't think negatively about the culture of people in other countries and let them know that they are different and not wrong.,,
338,I think it would be better to experience other cultures more and make them understand the cultures of other countries naturally.,,
339,Have a cultural relativistic attitude,,
340,Let's kill two people and watch for world peace,,
341,Have a culture-relativistic attitude.,,
342,Respect other cultures,,
343,It should be viewed from the perspective of cultural relativism.,,
344,Let's find out about cultural relativism in one of the social studies textbooks in Jihak history,,
345,Don't ignore the culture of other countries,,
346,"A country has its own culture and customs, so you should think about it relatively.",,
347,"There may be different cultures, so you have to understand each other",,
348,Let's respect other countries' cultures and not ignore them,,
349,I eat it like this,,
350,He admits that the cultures of other countries are different and often changes his attitude that his own culture is the greatest,,
351,"There are bound to be differences between countries, continents, regions, and families because they have different lifestyles and beliefs. You have to understand as boys and girls are different.",,
352,I'd be happy if I saw your handwriting and thought it looked like a worm an impudent fellow,,
353,Keep the interaction going,,
354,I don't know,,
355,Then why do you guys eat with a spoon?,,
356,"Culture is not only seeing and understanding part of it, but also seeing and understanding the whole.",,
357,You should know and try to understand that each country has its own culture.,,
358,Understand and accept the culture of other countries as a whole.,,
359,You should know how to understand other people's culture and characteristics.,,
360,"No matter how different the country and culture are, you should not demean yourself with a hamb.",,
361,"The culture of another society is created by the environmental factors or other social factors that the society faces, and there are suitable factors in all cultural behaviors. Therefore, all cultures that do not ignore human basic rights should be respected.",,
362,"Don't speak in a negative or critical tone, but be positive and have an attitude to understand culture.",,
363,It's different from culture to culture. I understand,,
364,Admit the difference in culture,,
365,You have to have a point of view that understands different cultures,,
366,each culture,,
367,?,,
368,Talk in a manner that respects the culture of other countries.,,
369,Ignore it,,
370,Let's respect multicultural families,,
371,Let's not focus on our culture and think about other countries' culture,,
372,Actively embrace other cultures.,,
373,You should respect other cultures.,,
374,.,,
375,You should try to know and understand different cultures.,,
376,"I want to understand and know the culture of other countries, but if there is something I don't know, I study.",,
377,We should understand and respect the culture of other countries,,
378,You have to respect other cultures,,
379,I think it is wrong to think that one's actions or words are unconditionally correct.,,
380,"The culture of other countries should always be respected like our culture.""",,
381,"Each country eats different things, so you have to respect the people of other countries",,
382,We should respect the culture of other countries. It's wrong to think that only our culture is right,,
383,We should understand the differences in each other's cultures and respect the cultures of other countries.,,
384,We should respect each other's culture,,
385,You should try to respect and understand the culture of other countries.,,
386,"If you look at the culture of Yuri and the people of other countries, let's not think that they have that culture and don't think it's weird",,
387,This is because each person needs to understand and respect the difference in lifestyle.,,
388,"Since each country has a different environment and everyone has a different culture, we should understand that and respect the culture of all countries.",,
389,"Each country has a different culture, so we should respect the culture of the country.",,
390,It is because the culture of other countries is different,,
391,It's just that the culture of other countries and our country is different,,
392,We should respect the culture of other countries.,,
393,It is not wrong to be different.,,
394,"Even if it is different from your own country, you should respect and understand that country.",,
395,"You should have an attitude to understand the culture of other countriesCulture is relative, so it can appear differently from country to country. Our culture is not standard.",,
396,"Culture is relative, and everyone should be respected",,
397,We should respect the culture of other countries.,,
398,We have to respect each country's culture,,
399,Don't know,,
400,From a comparative point of view,,
401,"The man in the picture also has a woman around him, but I don't have one. Kidding. We should understand each other",,
402,..,,
403,You have to respect and understand other cultures,,
404,You guys are even weirder,,
405,Beware of door-to-door loan,,
406,"I think we should not look too critically at the cultures of other countries, but positively accept other cultures.",,
407,You should also understand the culture of other countries.,,
408,You have to understand the culture of other countries,,
409,We should try to respect each other's culture,,
410,I think we should respect culture in other countries.,,
411,"""",,
412,You have to be able to respect the language and culture of other countries,,
413,"""You can't do that. You have to consider the socio-cultural background of the country",,
414,"""",,
415,You will understand if you find out the surroundings of people in other countries.,,
416,It is necessary to understand the religion and natural environment of the society that uses the culture.,,
417,"The culture of other countries was considered as the standard of our culture, and this idea of self-culturalism was wrong. We should respect the culture of other countries and acknowledge the differences.",,
418,"""",,
419,There is no absolute standard in culture.,,
420,We should look at other cultures with cultural relativism,,
421,"Culture should be judged in consideration of the environment and context of society, and any cultural factor should know that there is a reason for its existence.",,
422,It should be viewed from the perspective of cultural relativism.,,
423,"He thinks it's weird that you don't use your hands, man. Just accept it",,
424,We must consider the environment of the country,,
425,Acceptance of other cultures to the extent that they do not harm others,,
426,You have to respect and be considerate of the culture of other cultures,,
427,"If you live in a different country from me, the culture can be different, so you have to understand it. It's not wrong, it's different, okay?",,
428,I'm not Confucius enough to criticize others yet. I don't think anyone can say anything wrong with each other.,,
429,It also fosters an attitude of respect for the cultures of other countries.,,
430,It's going to be far.,,
431,a medicine for sale,,
432,"The two people in the picture need a cultural relativistic attitude. It should be advised to understand the culture of other countries in historical, social and other contexts.",,
433,It's going to be far.,,
434,develop a relativistic attitude,,
435,You should understand and respect the cultural background of other countries,,
436,Don't think negatively about the culture of people in other countries and let them know that they are different and not wrong.,,
437,I think it would be better to experience other cultures more and make them understand the cultures of other countries naturally.,,
438,Have a cultural relativistic attitude,,
439,Let's kill two people and watch for world peace,,
440,Have a culture-relativistic attitude.,,
441,Respect other cultures,,
442,It should be viewed from the perspective of cultural relativism.,,
443,Let's find out about cultural relativism in one of the social studies textbooks in Jihak history,,
444,Don't ignore the culture of other countries,,
445,"A country has its own culture and customs, so you should think about it relatively.",,
446,"There may be different cultures, so you have to understand each other",,
447,Let's respect other countries' cultures and not ignore them,,
448,I eat it like this,,
449,He admits that the cultures of other countries are different and often changes his attitude that his own culture is the greatest,,
450,"There are bound to be differences between countries, continents, regions, and families because they have different lifestyles and beliefs. You have to understand as boys and girls are different.",,
451,I'd be happy if I saw your handwriting and thought it looked like a worm an impudent fellow,,
452,Keep the interaction going,,
453,I don't know,,
454,Then why do you guys eat with a spoon?,,
455,"Culture is not only seeing and understanding part of it, but also seeing and understanding the whole.",,
456,You should know and try to understand that each country has its own culture.,,
457,Understand and accept the culture of other countries as a whole.,,
458,You should know how to understand other people's culture and characteristics.,,
459,"No matter how different the country and culture are, you should not demean yourself with a hamb.",,
460,"The culture of another society is created by the environmental factors or other social factors that the society faces, and there are suitable factors in all cultural behaviors. Therefore, all cultures that do not ignore human basic rights should be respected.",,
461,"Don't speak in a negative or critical tone, but be positive and have an attitude to understand culture.",,
462,It's different from culture to culture. I understand,,
463,Admit the difference in culture,,
464,You have to have a point of view that understands different cultures,,
465,each culture,,
466,?,,
467,Talk in a manner that respects the culture of other countries.,,
468,Ignore it,,
469,Let's respect multicultural families,,
470,Let's not focus on our culture and think about other countries' culture,,
471,Actively embrace other cultures.,,
472,You should respect other cultures.,,
473,.,,
474,You should try to know and understand different cultures.,,
475,"I want to understand and know the culture of other countries, but if there is something I don't know, I study.",,
476,We should understand and respect the culture of other countries,,
477,You have to respect other cultures,,
478,I think it is wrong to think that one's actions or words are unconditionally correct.,,
479,"The culture of other countries should always be respected like our culture.""",,
480,"Each country eats different things, so you have to respect the people of other countries",,
481,We should respect the culture of other countries. It's wrong to think that only our culture is right,,
482,We should understand the differences in each other's cultures and respect the cultures of other countries.,,
483,We should respect each other's culture,,
484,You should try to respect and understand the culture of other countries.,,
485,"If you look at the culture of Yuri and the people of other countries, let's not think that they have that culture and don't think it's weird",,
486,This is because each person needs to understand and respect the difference in lifestyle.,,
487,"Since each country has a different environment and everyone has a different culture, we should understand that and respect the culture of all countries.",,
488,"Each country has a different culture, so we should respect the culture of the country.",,
489,It is because the culture of other countries is different,,
490,It's just that the culture of other countries and our country is different,,
491,We should respect the culture of other countries.,,
492,It is not wrong to be different.,,
493,"Even if it is different from your own country, you should respect and understand that country.",,
494,You should have an attitude to understand the culture of other countriesI don't know,,
495,I need the ability to understand the culture of other countries.,,
496,It is necessary to understand and respect the culture of other countries.,,
497,You should know how to understand the cultures and traditions of other countries.,,
498,We should respect the cultures of other countries,,
499,Understand the culture of another country by comparing it to its traditions and surroundings.,,
500,5.48E+15,,
501,"Don't try to belittle other countries' cultures, but try to understand them",,
502,Respect everyone and understand culture,,
503,Recognize differences in culture.,,
504,Respect the culture of other countries,,
505,"You need a cultural relativist attitude. You, who will be strong citizens in the future, should understand other people's culture more.",,
506,"We should recognize and respect the culture of our country, not ignore the culture of our country just because it is different from our culture.",,
507,Let's acknowledge the difference in culture,,
508,Understand the history of other countries and embrace culture.,,
509,Let's look at other cultures from a relativistic perspective,,
510,The culture of your country and the culture of other countries may be the same but different,,
511,Let's look at other cultures from a relativistic perspective,,
512,"Each country can have a different culture, so you have to understand and respect it",,
513,"When we eat rice in Korea, we use chopsticks and spoons, but in India, we eat rice in a different way.",,
514,"Of course, I don't want to give advice because it's a reaction that can happen.",,
515,People's cultural and religious characteristics should be understood.,,
516,You should be able to understand other cultures.,,
517,Why don't you discriminate?,,
518,We need an attitude that can understand and accept other countries' cultures of other countries,,
519,This is because each country has a different culture and language.,,
520,respect for other countries' cultures,,
521,You have to learn to respect other cultures,,
522,"In Korea, foreigners may think it is strange. So let's understand the culture of the country.",,
523,We should respect the culture of other countries,,
524,"Just like our culture, there is a culture that suits other countries, so we should respect and understand",,
525,We should respect the culture of other countries as it is,,
526,Because I don't understand the culture and think it's weird,,
527,"It is likely to advise people not to look negatively at other countries' cultures, but to understand and accept their lifestyles.",,
528,You should understand each other's differences and see them without discrimination.,,
529,"""",,
530,"It will not cause international isolation if we accept the culture of other countries well.""",,
531,Let's just not go to another country,,
532,"People have different cultures and different texts. Don't try to ostracize them too much. If you accept them in moderation, we can improve",,
533,We should look at it with an attitude of respect for the culture of other countries.,,
534,It's the same thing that we eat kimchi in other countries,,
535,You should try to respect and understand both your own and other cultures with cultural relativism.,,
536,Don't look down on other people's culture I like that culture in that country,,
537,You should understand and accept other countries' lifestyles and attitudes.,,
538,"You should not discriminate against others because they are different in culture, and you should respect their culture.",,
539,Each should respect the culture of the country.,,
540,"Each country has its own culture, so it should have an attitude of respect.",,
541,Learn the culture of other countries.,,
542,Let's respect the culture of other countries,,
543,"You can't do that, my friend. ^^",,
544,You should try to understand the culture of other countries.,,
545,"Even if it is a culture that Jisin does not know or is not familiar with, it should be accepted with respect.",,
546,I want you to understand and respect that each region or country has its own culture My friend ^^,,
547,Let's understand the differences in culture,,
548,Each country has its own culture. Don't think it's strange that the culture is different from mine.,,
549,"If you put yourself in the shoes of people from other countries, you should understand each other as well.",,
550,"""",,
551,You have to understand the difference in culture,,
552,"I will tell my friend that when you are from that country, think about your home country's soup",,
553,We should respect the culture of other countries,,
554,be blind to culture,,
555,Recognize and respect cultural differences,,
556,You should understand and acknowledge the culture of other countries.,,
557,"You have to admit something else, not think it's wrong or bad because it's different from our country.",,
558,"We should respect other cultures, too",,
559,You have to understand and be considerate of cultural differences,,
560,Respect the culture,,
561,You have to understand diversity and admit that you and that person can be different.,,
562,"It is not right to view culture as an object of evaluation. All cultures are different, not wrong",,
563,"Friends, those people you don't understand, will think of you that way.",,
564,"Friends, those people you don't understand, will think of you that way.",,
