,"18. Most people now use smartphones, which are small computers in their hands that they couldn't imagine 20 years ago. Many changes have occurred due to the development of science and technology. How has the development of science and technology changed our lives? ",q18_convenience,q18_information,q18_problem
175,"It is because if something you don't know, you can learn new knowledge through the Internet, not through books",,,
176,He made me feel comfortable,,,
177,It got faster,,,
178,Convenient.,,,
179,It made our lives convenient and made a lot of social changes.,,,
180,Information and communication technology has developed.,,,
181,It made our lives easier,,,
182,It made life easier,,,
183,The exchange of information has made it easier and more comfortable,,,
184,"Quality of life, transportation, and information have increased, and information leakage is increasing as science and technology develop",,,
185,It made life easier,,,
186,"Information technology takes place and the Fourth Industrial Revolution takes place As a result, we live in an era where knowledge and information become important.",,,
187,Improving the quality of life,,,
188,It gave me the ability to do anything.,,,
189,It has improved our quality of life.,,,
190,It opened up a new era,,,
191,"It's perfect to live. For example, the speed of information delivery has increased, making it possible to handle work and medical care. Advanced technology has advanced to look at older age",,,
192,Convenient,,,
193,The development of steam engines led to the industrial revolution and the development of current science and technology.,,,
194,"It has improved the quality of life, and furthermore, it is free from time and space constraints.",,,
195,My life has changed,,,
196,It's convenient,,,
197,"I can play games while lying down.The development of science and technology is the beginning of the Industrial Revolution, which began in Manchester, England. The Industrial Revolution was enough to ask questions about many developments and possibilities in our lives. The development of industrial revolution also affected the development of science and technology called smartphone.  The weaving machine was an innovative machine that made it easy to operate the weaving machine that used to be done manually. There is a connection to the fact that smartphones can be used so easily used.",,,
198,a bad change,,,
199,"While science and technology-related industries that have not existed before develop, workers who used to work in existing handicrafts lose their jobs.",,,
200,It gave us convenience in our lives.,,,
201,It made everyday life convenient and caused job changes,,,
202,"With the development of science and technology, the time it takes to travel long distances can be shortened, accurate diseases can be diagnosed, and various information can be obtained.",,,
203,...,,,
204,a convenient life,,,
205,Convenience,,,
206,Convenient,,,
207,Convenient,,,
208,gave someone convenience,,,
209,I gave him convenience,,,
210,Life has become easier,,,
211,gave convenience,,,
212,It has brought about changes in production and changes in production bring about changes in the social class,,,
213,I made you stupid. There has been a change of social class has changed. The phenomenon of the poor and the poor and the poor and the poor of knowledge intensified.,,,
214,I feel more comfortable.,,,
215,"It made human life easier, but on the contrary, it made me lazy",,,
216,The development of science and technology has made our lives convenient.,,,
217,It gave convenience and easy communication.,,,
218,"It has made it possible to speed up the distance, talk to someone anywhere, find the necessary information easily, and explore the unknown world (space).",,,
219,"It gives us convenience in our lives, but in the case of smartphones, there is a side effect of addiction",,,
220,the convenience of life,,,
221,"""We're getting more productive, and we're getting a lot of people",,,
222,"The diet is enriching and destroying the Earth more.""",,,
223,created an addiction,,,
224,It's been improved even further,,,
225,I gave him an addiction,,,
226,I became a smart zombie,,,
227,The development of science and technology gave us convenience and speed.,,,
228,It made our lives more convenient,,,
229,advances in technology,,,
230,Our lives have become so easy,,,
231,"They made it easy to make phone calls, convenient to deliver or share data, and made it easy to find information by searching when traveling or information is needed In the era when there was no smartphone, it was difficult for people to bring materials directly and go and look for them when they needed travel or information.",,,
232,a convenient life,,,
233,It makes us convenient and informative.,,,
234,a bad change,,,
235,"Game addiction, convenience",,,
236,"Life was convenient because of science and technology For example, in the past, people moved directly because they couldn't make a phone call, but with the development of telephones, they can make a phone call anywhere in the world and do everything in Wi-Fi",,,
237,It allowed me to live a more convenient daily life.,,,
238,"""We can get news from all over the world quickly.",,,
239,#NAME?,,,
240,the development of the Internet,,,
241,#NAME?,,,
242,#NAME?,,,
243,#NAME?,,,
244,#NAME?,,,
245,#NAME?,,,
246,#NAME?,,,
247,"""",,,
248,It becomes convenient,,,
249,It gave us convenience.,,,
250,to be able to give convenience to live,,,
251,"First of all, with the development of science and technology, transportation has also developed.",,,
252,"And with the development of science and technology, as satellites are made, we can learn a lot from the information sent by satellites in space.In addition, with the development of science and technology, architecture is also developing, such as the installation of an automation system (?) in the house or the application of smart technology throughout the house.""",,,
253,"Due to the development of science and technology, our knowledge may be higher, convenient, and we can talk to people who cannot meet because it is a video call, so we will be happy to see people who miss and cannot meet.",,,
254,"Easy information can be obtained with one electronic device per person, and it has become an electronic device convenient for life.",,,
255,"Transportation has become more convenient, communication has been developed, and life expectancy has been prolonged, but on the contrary, there is a disadvantage of destroying the forest",,,
256,"Although transportation has become convenient and communication has been developed due to the development of science and technology, the ruthless consumption of natural resources has increased carbon dioxide emissions and caused environmental destruction such as melting glaciers.",,,
257,"With the development of science and technology, it is possible to take notes like a smartphone in the refrigerator.",,,
258,"Due to science and technology, incurable disease treatment was also solved. There are also steam engine cars, and it is an advantage to move quickly, but environmental pollution is a disadvantage.",,,
259,"Due to science and technology, incurable disease treatment was also solved. There are also steam engine cars, and it is an advantage to move quickly, but environmental pollution is a disadvantage.",,,
260,to be more convenient,,,
261,"You can order food or things with your cell phone, transportation is developed, and satellites are made.",,,
262,to be able to live a more convenient daily life,,,
263,dwedwedwedwed,,,
264,I don't know.,,,
265,M and D,,,
266,Unknowingness,,,
267,I don't understand.,,,
268,I don't know,,,
269,He made me feel comfortable.,,,
270,I don't know.,,,
271,I don't understand.,,,
272,Unknowingness,,,
273,It made our livelihood more convenient,,,
274,I don't understand.,,,
275,I don't understand.,,,
276,Mall,,,
277,a comfortable life,,,
278,Makes various changes,,,
279,I don't know.,,,
280,I don't know,,,
281,It gives you convenience.,,,
282,Unknowingness,,,
283,I don't understand.,,,
284,There will be an era when software solves everything without using hands.,,,
285,I don't understand.,,,
286,.,,,
287,Unknowingness,,,
288,"It made our lives convenient, but it also had a bad influence on us due to game addiction, Internet addiction, and poor eyesight.",,,
289,I don't know.,,,
290,so what,,,
291,"Even if there is no line, you can call anytime, anywhere on your smartphone, text messages, and contact each other even if they are different countries",,,
292,It makes our lives convenient,,,
293,Conveniently,,,
294,It made me feel more comfortable,,,
295,a very good change(?),,,
296,"They gave me really nice and convenient thingsIt's made our lives more convenient, and it's become a bit of a cold society",,,
297,yes,,,
298,"Life has become more convenient, but there are side effects such as addiction symptoms due to games or sns.",,,
299,ãããã,,,
300,He gave me convenience as a gift,,,
301,a cool change,,,
302,"When we shop, we can buy it at home",,,
303,It was a convenient help for my life,,,
304,He gave me a lot of things,,,
305,It's convenient because I can keep in touch with other people even if they are far away,,,
306,You can get into the Internet more easily,,,
307,Easily,,,
308,It made our lives convenient,,,
309,It was a convenient help for my life,,,
310,It makes you feel more comfortable,,,
311,"It helps us a lot in our lives. For example, you can use a washing machine.",,,
312,gave someone convenience,,,
313,"It is easy to live, but the environmental pollution becomes serious",,,
314,More people read e-books than paper books,,,
315,Convenience,,,
316,"Now, even a distant neighborhood can go in a few hours",,,
317,Shader's teaching skillsãããããáá­,,,
318,Science and technology make us convenient and comfortable.,,,
319,You can see what's happening in foreign countries and what's happening in Korea in real time,,,
320,Less territory is felt,,,
321,It made life more convenient,,,
322,Our lives become more convenient,,,
323,a wonderful change,,,
324,"With the development of science and technology, we don't have to move much anymore.",,,
325,"First of all, it's convenient and helps with life",,,
326,"The development of science and technology has had a tremendous impact on human life.  Among them, smartphones have become a necessity in modern society, making them a responsibility for living for the entire world. However, the earth is becoming ill due to the indiscriminate destruction and development of human nature",,,
327,"Work efficiency has improved, information can be given and received quickly, and production has become easier.",,,
328,Life has become easier and faster.,,,
329,Convenience,,,
330,made a change in one's life pattern,,,
331,Convenient,,,
332,Convenience,,,
333,Lazy it.You take it for granted to enjoy it. It is an opportunity to think of science as difficult.,,,
334,a convenient,,,
335,a convenient,,,
336,"Smartphone addiction, cybercrime",,,
337,It became possible to escape from the constraints of time and space-time constraints.,,,
338,an increase in the quality of life,,,
339,"It causes long-term use of electronic devices, causing various diseases.",,,
340,Convenience,,,
341,It seems that technology has advanced in semiconductors,,,
342,It became convenient,,,
343,Science and technology makes our daily lives more convenient,,,
344,It makes life convenient and I can have a lot of knowledge easily,,,
345,"First of all, due to the development of the Internet, I can quickly know information and questions, and I can use things that I need in my life conveniently and safely, but I can use my cell phone.If you look at the computer too much, you get addicted because you can't distinguish between the real world and the giant reality",,,
346,It's convenient,,,
347,"Due to the development of science and technology, it shortens people's life and time.",,,
348,Transportation developed,,,
349,It has changed due to the development of transportation and communication,,,
350,It became convenient,,,
351,We can make our daily lives more convenient and communicate easily with people far away.,,,
352,I was able to know the news comfortably,,,
353,I can learn knowledge conveniently and quickly because of my cell phone,,,
354,It makes our lives more convenient.,,,
355,It became convenient because there was a train that could go the distance that had to be more than a day in a few hours.,,,
356,Real life becomes convenient,,,
357,It has made a change that we can live much more conveniently.,,,
358,"""-Smartphone Addiction",,,
359,"- Quick calculation and quick information gathering""",,,
360,Science and technology made our lives more convenient.,,,
361,He was able to convey his intention a little faster.,,,
362,It makes our lives more convenient.,,,
363,It made our lives more convenient.,,,
364,beneficial change,,,
365,We stopped using our hands because we were teaching on TV and the cleaning robot cleaned us up,,,
366,We can share information with each other even if we are far away.,,,
367,A lot of jobs could be lost.,,,
368,"""I'll see it as a relatively negative effect",,,
369,1. The development of science and technology has led to the development,,,
370,"2. Anonymous personal attack using a computer or smartphone (bad comments, etc.)",,,
371,"3. Environmental pollution (air pollution, soil pollution, water pollution, etc.)",,,
372,"There are a lot of other things, but I'll stop here because of the time.""",,,
373,It made it more convenient.,,,
374,It becomes convenient.,,,
375,I don't know,,,
376,I made a smartphone addiction,,,
377,The development of science and technology gave convenience to life.,,,
378,"It makes our lives convenient, allows us to search the Internet on the street, and we can know the way when we don't know the way.",,,
379,"Promotion of the World Congress due to the reduction of travel time between regions and the world, such as the overall lifestyle, culture, customs, and environment, etc",,,
380,It was able to collapse.,,,
381,It made it easy to handle most of the work and provided a lot of information in everyday life,,,
382,It gives you convenience.,,,
383,It makes me feel comfortable in my daily life.,,,
384,You can film or watch videos anywhere,,,
385,We can get the information we need anywhere in our lives,,,
386,"""",,,
387,I don't know,,,
388,"Although it has become simple, it seems that people are addicted to the Internet.",,,
389,It allowed us to live a more convenient life,,,
390,It created a smartphone addiction phenomenon.,,,
391,"It gave us a lot of convenience, but it also gave us a lot of disadvantages",,,
392,They made it convenient,,,
393,It gives me a lot of knowledge,,,
394,"Convenience, fast, accurate, informative and time-saving",,,
395,You can deliver a message without writing a letter.You can deliver a message without writing a letter.,,,
396,Humans have become able to transport travel with airplanes.,,,
397,It helps us solve more comfortable and difficult tasks easily and simply.,,,
398,"Science and technology have influenced us a lot, including the industrial revolution, lifestyle, and values, and countries, like nuclear, are working on technological development knowing that technological development is the power of that country.",,,
399,gave someone convenience in life,,,
400,The development of science has allowed knowledge to develop much more and live in a better environment.,,,
401,M and D,,,
402,technologically-subs,,,
403,Convenience,,,
404,I love you ^^,,,
405,ã± and ã,,,
406,It provides a convenient life.,,,
407,The development of science and technology makes our lives more convenient.,,,
408,It gave us convenience in our lives and allowed us to solve what we can only do with computers with smartphones.,,,
409,"It makes people's lives convenient and reduces unnecessary losses. As a result, they are able to live very efficiently, but on the other hand, they have made people lazy.",,,
410,You can figure out your own way without asking others for directions,,,
411,"By bringing frustration and convenience to our lives, more and more people are enjoying playing with their phones.",,,
412,"It improves the quality of life, and the development of science and technology develops another field.",,,
413,"The population has increased, life expectancy has increased, and everyone has become convenient. However, there are cases where it adversely affects such as smartphone addiction.",,,
414,It became possible to communicate with people far away and brought convenience to daily life.,,,
415,"The development of medical technology extends the average life expectancy of a person, and the development of information and communication technology enables a variety of information to be obtained quickly, etc",,,
416,"I made a lot of changes. Especially Steve Jobs' innovation in cell phones seems to be really great. Now, most of life can be solved with a cell phone.",,,
417,It made our lives more convenient.,,,
418,The development of science and technology makes our lives more comfortable.,,,
419,The advancement of medical technology has extended the life span.,,,
420,"Personal broadcasting is possible through the development of communication technology, various online games, autonomous vehicles, augmented reality, etc",,,
421,It made our lives convenient.,,,
422,"The development of science and technology has made our lives richer and more comfortable, but on the other hand, the world is being polluted by the destruction of nature and the fumes produced by various chemicals.",,,
423,"You can communicate with various people on the Internet, and you can live more conveniently through computer activities rather than hand-written activities.",,,
424,I feel more comfortable.,,,
425,"The development of science and technology replaces what humans could do in the past, depriving humans of the values they had before. Mechanical AI owns not only excellent physical and mental abilities, but also literary enjoyment skills and emotions, and humans gradually lose their original value. Therefore, humans redefine themselves in their lives.",,,
426,"The development of science and technology has shortened the relative space and time by improving the time to access information or the means of transportation, thereby bringing convenience to life.",,,
427,"For one example, the development of satellites has allowed us to watch soccer games on the other side of the globe in real time.",,,
428,Life has become convenient.,,,
429,It made our lives much more convenient.,,,
430,",",,,
431,Life has changed a lot.,,,
432,Ankimchi. (Ankimchi in Korean),,,
433,It made life easier and made access to information easier,,,
434,It is easier and easier to get information and people have become lazy.,,,
435,It made a fool of a person.,,,
436,He is degenerating.,,,
437,It made life easier,,,
438,It allowed me to play games at home.,,,
439,Our lives have become more convenient and the movement and exchange of developmental materials for transportation and communication have become active.,,,
440,The rules of life have changed,,,
441,It's become ang-gi-mo-tti,,,
442,It's better,,,
443,convenient use of transportation,,,
444,"Job loss, convenience of communication, travel time, convenience of information acquisition, etc",,,
445,It makes human life more convenient and faster to know information,,,
446,It made our lives more convenient and made us able to find information quickly,,,
447,"With the development of communication, time and space have been reduced because information can be accessed without going directly to faraway places.",,,
448,I can get information conveniently,,,
449,"These technologies have made our lives hot and convenient, faster, and faster to be delivered. However, these technologies make us lazy because they are so convenient to us.",,,
450,I can check the weather and watch videos.,,,
451,I can receive more information because of the Internet,,,
452,"In the present, we live with computers and smartphones, and whatever we do, we need smartphones, and if there are more changes here, we will depend on them",,,
453,We called each other and told each other important things and made a car that was easy to go far away,,,
454,It makes it convenient.,,,
455,It gave us a more convenient and easy life,,,
456,It made our lives more convenient and convenient.,,,
457,Our lives have changed more comfortably.,,,
458,It improves the quality of life.,,,
459,"It can lead to game addiction, but it brought convenience.",,,
460,It provided convenience to people.,,,
461,It made it more convenient.,,,
462,I can easily identify important information and communicate with people far away through messages,,,
463,You can travel far distances in a short period of time,,,
464,gave convenience,,,
465,"More convenient, easier and simpler to do",,,
466,Simple,,,
467,It makes life convenient,,,
468,Life has become convenient.,,,
469,You made me feel comfortable,,,
470,Internet access is available anywhere.,,,
471,Gives you convenience,,,
472,convenience and laziness,,,
473,had a great influence on,,,
474,Everything has changed,,,
475,Made our lives comfortable.,,,
476,It brought me convenience,,,
477,Our lives have become convenient!,,,
478,It makes me feel comfortable,,,
479,"It made it hard to sleep fast at night, and it created my favorite webtoon That's so sweet",,,
480,It helps us live our lives more conveniently.,,,
481,a lot of help,,,
482,Convenience,,,
483,"Life is getting faster and more convenient, and you can learn a lot of information.",,,
484,It became easier to live than the king of the Joseon Dynasty.,,,
485,It's changed a lot,,,
486,It makes life convenient.,,,
487,"It is very helpful to learn information by being able to communicate anytime, anywhere and know what is happening in real time around the world.",,,
488,It made our lives more convenient. The dependence on technology has increased. But the environment is also being damaged.,,,
489,Our lives have become very convenient.,,,
490,"You can make a lot of games with high graphics, so you can play fun games.",,,
491,It allowed us to take a step closer to the information age.,,,
492,Try to lead a more comfortable life.,,,
493,"The development of science and technology is generally ambivalent. The development of science and technology can bring convenience to our lives. But problems lurk behind it. On the personal side, there were health problems such as poor eyesight, and a decrease in social relationships due to addiction to the media. Socially, there was an increase in social confusion due to job losses and intergenerational conflicts due to the gap between individuals accepting technology.",,,
494,"By using a smartphone, you can find the information you want anytime, anywhere.I can enjoy a richer cultural life. For example, I can enjoy augmented reality, movies and games using virtual reality technology that I never imagined in the past. In addition, with the development of artificial intelligence, we can lower language barriers by using better automatic translation systems, and the ability to organize data has developed, enabling semantic search to get the information we want right away.",,,
495,Life has become much easier.,,,
496,Comfortable.,,,
497,live conveniently,,,
498,be more convenient,,,
499,ãã·ê³ ããã¡ãã·ã·,,,
500,It made life more convenient for us,,,
501,a lot of changes,,,
502,It makes you feel comfortable,,,
503,a comfortable life,,,
504,Convenience,,,
505,Awesome changes,,,
506,It's convenient,,,
507,I made it convenient.,,,
508,"It makes our lives more convenient, and ordinary people can easily access the IT field.",,,
509,a great change,,,
510,be more convenient,,,
511,It became convenient.,,,
512,be convenient and comfortable,,,
513,I live a very convenient life.,,,
514,It's convenient,,,
515,"It will help people, but if it helps people more, people will move and less activity.",,,
516,in a good way,,,
517,I don't know,,,
518,It makes life easier,,,
519,It gave us convenience in our lives.,,,
520,It makes our lives convenient,,,
521,"""It makes it more convenient.""",,,
522,"""",,,
523,It makes life convenient and gives various information.,,,
524,the ease of life,,,
525,Life is easy,,,
526,"It has done us a lot of good, but it has also done us harm",,,
527,.,,,
528,I can go from Seoul to Busan quickly and make phone calls quickly.,,,
529,Life has become more convenient than before.,,,
530,"Our lives become more convenient and we can know the weather bus time of tomorrow, so when our science develops, we become more convenient.",,,
531,It's making our lives very comfortable.,,,
532,"Thanks to science and technology, I can live a more convenient life",,,
533,I think I can change the uncomfortable things to convenient and smart,,,
534,It communicates with others and makes global friends.,,,
535,"Science and technology will develop further. Science and technology have had a good influence on humanity, solving problems and things that humans are curious about, such as great convenience and spaceships to space.",,,
536,I can communicate conveniently.,,,
537,"It has made life more convenient, but problems arise because more and more people are addicted to electronic devices.",,,
538,Science and technology give us a lot of comfort.,,,
539,"""I think it gave us comfort in our lives. You can quickly check the weather every morning or the news of the day, and you will be given a chance to have a variety of leisure activities. However, I think there may be cases of illegal or abuse for other reasons.",,,
540,"And there is a possibility of the Middle East, so I think there are many cases where accidents occur while walking with a smartphone on the street.""",,,
541,"Light bulbs and phones that light up the way to travel at night, which are made by the development of science and technology, and phones that enable us to contact even when we are far away, made our livelihood convenient.",,,
542,A lot of things are easy to understand,,,
543,Live comfortably,,,
544,Make it convenient,,,
545,a good change,,,
546,It's more convenient and makes life easier,,,
547,gave someone comfort in life,,,
548,Reduced lifetime due to electromagnetic waves,,,
549,ease one's life easier,,,
550,Life has become easier and more addicted,,,
551,It helps us with the convenience and development of our lives,,,
552,"It's usually convenient. You can talk on the phone with someone from a long distance, and it's great that you can carry it with you. Also, the Internet is so advanced that cell phones are called small computers.",,,
553,"There is a lot of carbon dioxide, so the weather is getting hotter, and communication between people is much easier.",,,
554,It gives you a change to live comfortably.,,,
555,Helping our Salhwal,,,
556,"Due to the development of science and technology, we have made changes so that we can live everything conveniently.",,,
557,"It made us live more comfortably, but it made us more lazy",,,
558,I can communicate easily,,,
559,It also helps medical technology and makes it convenient,,,
560,"You can talk to people from afar without moving around, and you can easily know the scenery and characters there",,,
561,"Once you can use the Internet anywhere, and safety has increased for crime prevention and security.",,,
562,"These days, when students have time, they play games on their cell phones or PC room with their children after school, so they are not smart and do not study well So, students should study hard like students while reducing games are reduced.",,,
563,"There were times when I got hit by a car while I got a cell phone, and there were times when I got addicted to games and killed myself",,,
564,You can contact people far away quickly and know and notify dangerous situations quickly.,,,
565,I can see many knowledge on the Internet and make many friends through SNS.,,,
566,Information can be delivered faster and online shopping can be done without going out in person.,,,
567,It has been a driving force for the development of our lives.,,,
568,It affected everything. Smartphones are already affecting beyond our imagination.,,,
569,gave convenience,,,
570,It enriched our lives.,,,
571,"The development of science and technology has expanded our living area and made life more convenient. With the advancement of science and technology, it is time to write letters and make contact in minutes, which took days.",,,
572,"In Paris... ...two o'clock, o'clock, o'clock, o'clock, o'clock, o'clock...",,,
573,"With the development of information and communication technology and mobile technology, communication with foreign countries has become active and economic growth has been achieved, and with the development of life science, human life has increased.",,,
574,convenience of life,,,
