,"1. Using the air conditioner above the amount of power, the current was excessive and the air conditioner was turned off. At this time, other electronics such as TVs and refrigerators that were connected to the same outlet did not turn off. Let's explain in detail why the other electronics connected to the same code did not turn off even though the air conditioner was turned off, using our knowledge of how electricity works and how to connect the electronics. ",q1_parallel,q1_current flow,q1_power amount,q1_fuse
116,I don't know,,,,
117,Because we used parallel connections,,,,
118,I'm going to smash it,,,,
119,"Since I used the air conditioner more,",,,,
120,The air conditioner is not good,,,,
121,It's a parallel connection,,,,
122,The motor's overheating,,,,
123,The level of current flow is different,,,,
124,I don't know,,,,
125,"There is too much electricity going to the air conditioner, so the air conditioner turned off a lot",,,,
126,I don't know,,,,
127,Parallel connection,,,,
128,I don't know,,,,
129,a breakdown in the air conditioner,,,,
130,Just don't turn it on,,,,
131,Because I consume a lot of air conditioners,,,,
132,The air conditioner is out of order.,,,,
133,I don't know.,,,,
134,"The air conditioner was turned off by the parallel connection, but other electronics were not turned off.",,,,
135,I didn't play the chords,,,,
136,The air conditioner is out of order,,,,
137,"The air conditioner was turned off by the parallel connection, but other electronics were not turned off.",,,,
138,Put resistance in the air conditioner/ Turn the serial connection of the johnson into a parallel connection.,,,,
139,....i don't know........,,,,
140,Because the wires were connected in parallel.,,,,
141,I used too much electricity,,,,
142,I'll use the air conditioner as much as I can,,,,
143,I used the air conditioner above the power level and it broke down,,,,
144,The reason why electronic products such as TV and refrigerator didn't turn off is because they didn't use other electronic products,,,,
145,The air conditioner is broken,,,,
146,"Electricity continues to flow through the air conditioner, so there is no electricity in electronics such as TVs and refrigerators.",,,,
147,It is because the air conditioner is overused and overheated.,,,,
148,Don't know,,,,
149,to connect electricity to another cord,,,,
150,"I used more than the power of the air conditioner, but I didn't use more than the power of the air conditioner",,,,
151,.,,,,
152,"Electronics are connected in parallel, so even if one flow is cut off, the rest will work",,,,
153,Because the voltage is different,,,,
154,I didn't take out the outlet,,,,
155,Overheating phenomenon,,,,
156,"Because appliances are connected in parallel, blocking the flow of current in one place has no effect on the flow of current in the rest of the appliances.",,,,
157,"This is because home appliances are connected, so even if the current flow in one place is blocked, the current flow of the remaining home appliances does not affect the current flow.",,,,
158,"Home appliances are connected in parallel, so they do not damage other home appliances.",,,,
159,"Because the air conditioner, TV, and refrigerator are connected in parallel",,,,
160,"This is because home appliances are connected in parallel, so even if the current flow in one place is blocked, the current flow of the remaining home appliances does not affect the current flow.",,,,
161,Well.,,,,
162,Because the wires plugged into the outlet do not share electricity with each other,,,,
163,"Because electricity is supplied separately, it does not affect other electronics.",,,,
164,in parallel,,,,
165,Because the parallel and serial methods are different.,,,,
166,"Since appliances are connected in parallel, even if the current flow in one place is blocked, there is no effect on the current flow of the remaining appliances",,,,
167,be connected in parallel to,,,,
168,Because it's a parallel structure,,,,
169,"Since home appliances are connected, even if the current flow in one place is blocked, it does not affect the current flow of the remaining home appliances.",,,,
170,.,,,,
171,"This is because there is a problem with the wires of the air conditioner, but there is nothing wrong with the other wires.(parallel connection)",,,,
172,This is because there is no current connected.,,,,
173,"This is because home appliances are connected in parallel, so even if the current flow in one place is blocked, the current flow of the remaining home appliances does not affect the current flow.",,,,
174,"Other electronics did not turn off because air conditioners and other electronics were connected in parallel, not in direct current.",,,,
175,"Since most appliances are connected in parallel, even if there is no current flow, the current flow of the remaining appliances is not affected.",,,,
176,Because it is connected in parallel structure.,,,,
177,This is because home appliances are connected in parallel.,,,,
178,"Since home appliances are connected, even if one electricity flow is blocked, the electricity flow of the remaining home appliances has no effect.",,,,
179,"This is because home appliances are connected, so even if the electric flow in one place is blocked, it does not affect the electric flow of the remaining home appliances.",,,,
180,This is because the outlet is in parallel.,,,,
181,Because it is connected in parallel.,,,,
182,It's because the air conditioner is bad.,,,,
183,"The wires of the appliances are also connected in parallel, so they won't turn off even if one is turned off",,,,
184,"""Most electronics are connected in parallel, so even if one breaks off,",,,,
185,"Others will not cut off the current.""",,,,
186,Only the air conditioner turns off by connecting it in parallel.,,,,
187,"I have to do it in series, but I kept on doing it in a row",,,,
188,I used the air conditioner too much,,,,
189,The air conditioner switch is off,,,,
190,It's connected in parallel and connected to one road,,,,
191,This is because the connection to the electronics connected to the same code is parallel,,,,
192,"The code connected to the air conditioner is connected in series, so it turns off quickly, and the code connected to other electronic devices such as TVs and refrigerators is connected in parallel, so it can be used continuously.",,,,
193,Because the air conditioner is connected in parallel,,,,
194,The air conditioner has a large capacity.,,,,
195,I don't use too much TV and refrigerator electricity,,,,
196,"""Parallel connection: Even if one of the two is turned off, there is one left, so electricity",,,,
197,"Can keep going back""",,,,
198,The air conditioner is connected in series,,,,
199,I think the electricity in the air conditioner has been consumed so much that it turned off,,,,
200,Because the air conditioner is connected in parallel,,,,
201,The air conditioner is connected to the display and the other electronics are connected in parallel,,,,
202,Because the air conditioner is connected in parallel.,,,,
203,The connection is different,,,,
204,Because I wasn't using any other electronics,,,,
205,The air conditioner is connected in series,,,,
206,I don't understand.,,,,
207,"""I don't know.""",,,,
208,"""",,,,
209,"The air conditioner cord is only connected to each other, so the air conditioner is turned off, but other electronics are not turned off.",,,,
210,The air conditioner has exceeded the maximum amount of electricity,,,,
211,"Using more than the amount of electricity, things like home appliances in the same outlet are discharged, so there is no current flowing through the outlet.",,,,
212,The air conditioner's power consumption is overflowing,,,,
213,The air conditioner uses a lot of tremors,,,,
214,The air conditioner uses a lot of current,,,,
215,It does not affect other products because the current is too much only on the cord that was connected to the air conditioner,,,,
216,turn off the air conditioner,,,,
217,I don't know.,,,,
218,"Although it is connected to the same code, the reason why only the air conditioner is turned off seems to be because the line that delivers power with the air conditioner code is overloaded.",,,,
219,I don't know.,,,,
220,Turn off the air conditioner,,,,
221,"The electronics connected to the same code did not turn off because the air conditioner was used too much more than the amount of electricity, and only the air conditioner used more than the amount of electricity was turned off.",,,,
222,"Maybe it's because the air conditioner is old or because there's a lot of dust in the air conditioner, it might suddenly turn off",,,,
223,I don't know,,,,
224,I use the air conditioner a lot,,,,
225,running out of time,,,,
226,I think it suddenly turned off because I used the air conditioner too much,,,,
227,I don't know,,,,
228,It's because I only turn on the air conditioner a lot. :),,,,
229,I only turned on the AC too much,,,,
230,It depends on the type of air conditioner,,,,
231,Each type of air conditioner has a different model,,,,
232,"""Because air conditioners have more electricity than other electronics such as TVs",,,,
233,"""",,,,
234,I have no idea.,,,,
235,The air conditioner is very old,,,,
236,I used a lot of air conditioners,,,,
237,You should ask the person who made it. Why are you doing this to us?,,,,
238,Because the air conditioner sits down and the TV refrigerator plugs in the cord,,,,
239,"""Reason 1 The power to the air conditioner is cut off, but the power to the TV or refrigerator is different from the air conditioner",,,,
240,"""Because I turned off the TV and refrigerator""",,,,
241,I don't understand.,,,,
242,"The air conditioner was overheated, so I turned it off",,,,
243,"""The electricity goes to the air conditioner and heats up, but the rest of me can't",,,,
244,,,,,
245,,,,,
246,,,,,
247,,,,,
248,"""",,,,
249,I brought electricity to other things,,,,
250,"This is because the current of the air conditioner was used a lot, but the current of other goods was not used a lot.",,,,
251,"If you use a lot of electricity, other machines get hot, but the air conditioner gets hot quickly because it has a lot of electricity, and it is turned off because it is used more than electricity",,,,
252,"TV, refrigerator, etc. are not used above the amount of energy.Because the amount of electricity flows is different,",,,,
253,"The first seems to be because air conditioners have more electricity than TVs and refrigerators.   Second, I think it is because I use TV or internal computer more than air conditioner.",,,,
254,"""",,,,
255,I think it's a coincidence,,,,
256,It's in parallel,,,,
257,I think this is because air conditioners have more electricity than TVs and refrigerators.,,,,
258,"It seems to be because even if it is the same outlet, only the air conditioner was used more than the amount of electricity.""",,,,
259,I think the air conditioner is overloaded and only the air conditioner is turned off,,,,
260,Because the electricity in the cord is different,,,,
261,Because it's in parallel.,,,,
262,I don't understand.,,,,
263,Only the air conditioner is overloaded,,,,
264,I don't know.,,,,
265,There's a problem with the air conditioner,,,,
266,My knowledge is not up to there,,,,
267,There's a lot of electricity that the air conditioner eats? Didn't it turn off first?  Do TV and refrigerators eat less electricity than air conditioners? I think so.,,,,
268,"The AC used a lot of power, so the rest of the members had a lot of electricity",,,,
269,"Since electronic products used more than the amount of electricity were only air conditioners, even if they were connected to codes such as TVs and refrigerators, it seems that only the air conditioners, which are the cause of the problem, were turned off.",,,,
270,I turned it on and off one by one by one by one by one It's a power outlet. (Because it's connected in parallel?),,,,
271,I'm taking out the cord,,,,
272,I don't know,,,,
273,I don't know,,,,
274,It's in a parallel structure,,,,
275,I don't know,,,,
276,I don't know,,,,
277,connected in parallel,,,,
278,Only the air conditioner stopped working because of the electricity of the air conditioner,,,,
279,Because the electronics were connected in parallel,,,,
280,It's because it's connected in parallel,,,,
281,Don't know,,,,
282,I don't know,,,,
283,I don't know.,,,,
284,It is connected in parallel and does not turn off.,,,,
285,I don't know.,,,,
286,Because it was connected in parallel.,,,,
287,"It is connected in parallel, so even if one is turned off, the other is not turned off.",,,,
288,Parallel connection of circuits,,,,
289,I don't know.,,,,
290,Parallel connection,,,,
291,I don't know,,,,
292,"If one of the circuits is disconnected because it is connected in parallel, there is electricity flowing through the other",,,,
293,"Since the battery is connected in parallel, the battery may be disconnected independently.",,,,
294,"It's connected in parallel, so the current flows separately",,,,
295,Because other electronics are connected in parallel,,,,
296,This is because an outlet connects each electrical device in parallel.,,,,
297,It is because of the parallel connection.,,,,
298,"Because electronics are connected in parallel, other electronics are maintained even if one connection is lost.",,,,
299,Because electronics were connected in parallel.,,,,
300,Because it is connected in parallel.,,,,
301,"At home, electronics are connected by parallel connections, so one turns off does not turn off everything.",,,,
302,It's in parallel,,,,
303,Because it is connected by parallel connection.,,,,
304,"This is because it is connected in parallel, not in series.",,,,
305,Parallel connection,,,,
306,Parallel connection,,,,
307,Because it is connected in parallel.,,,,
308,It's easy to see the difference between series and parallel.,,,,
309,Because of the parallel connection,,,,
310,I don't know,,,,
311,the difference between parallel and series,,,,
312,This is because each outlet of the multi-tap is not simple to each other.,,,,
313,Because it's connected in parallel.,,,,
314,It's in parallel,,,,
315,"""Parallel structure",,,,
316,".""",,,,
317,This is because it only stopped the power of the air conditioner.,,,,
318,Because they just shut down the power of the air conditioner,,,,
319,"This is because it was connected to the same code, but only the power of the air conditioner outlet was excessively.",,,,
320,Because it stopped the power of the air conditioner,,,,
321,It's because the power of the air conditioner stopped,,,,
322,Because it stopped the power of the air conditioner,,,,
323,He's good at electricity,,,,
324,Because there are many electronic products,,,,
325,"This is because it is only one air conditioner that is used more than the amount of electricity, and even if it is in the same outlet, other electronic products were not used more than the amount of electricity.",,,,
326,This is because the air conditioner consumes too much electricity flowing through the cord connected to the air conditioner.,,,,
327,"Even if it's in the same code, it's possible if the power is off",,,,
328,"Excessive use of current is air conditioning, and the cord on the air conditioning is not damaged, so it has nothing to do with failing the same outlet and turning off the air conditioning.",,,,
329,This is because only the power of the air conditioner has been stopped.,,,,
330,Don't know,,,,
331,"This is because if the power exceeds a certain amount in the code, only the power of the object is cut off.",,,,
332,It's because only the power of the air conditioner stopped,,,,
333,"This is because if the power exceeds a certain amount in the code, only the power of the object is cut off.",,,,
334,This is because many electronics are connected.,,,,
335,"This is because if the code exceeds a certain power, only the power of the object was cut off.",,,,
336,"""Because the air conditioner was overheated and only the air conditioner was turned off",,,,
337,"""",,,,
338,"The air conditioner was turned off because it used more than the amount of electricity, but other home appliances did not use more than the amount of power",,,,
339,"This is because if the power exceeds a certain level in the code, only the power of the object was cut off.",,,,
340,This is because it is possible if the power is turned off even if it is in the same code.,,,,
341,The power outlets are connected in parallel,,,,
342,Because a lot of electronics are connected,,,,
343,It's connected to the air conditioner separately,,,,
344,"Because they are connected in parallel, they are all used independently at the same voltage. Because of this, one electronics is used more than the amount of power, so even if the power is turned off, the other electronics do not turn off.",,,,
345,M and D,,,,
346,There's electricity for the air conditioner,,,,
347,It's crazy,,,,
348,I don't know,,,,
349,I don't understand.,,,,
350,This is because air conditioners and other electronics have different currents.,,,,
351,I don't understand.,,,,
352,I don't understand.,,,,
353,I don't understand.,,,,
354,M and D,,,,
355,I don't know,,,,
356,I don't understand.,,,,
357,I don't understand.,,,,
358,I don't know,,,,
359,I don't know.,,,,
360,I turned it on too much. I didn't save electricity,,,,
361,"Only the circuit in the air conditioner was broken, so the circuit in the outlet was not broken.",,,,
362,Because of standby power,,,,
363,"Because the amount of current flowing to each other is different,",,,,
364,I don't understand.,,,,
365,I don't know.,,,,
366,I don't know,,,,
367,It seems to use up all the available electricity to help.,,,,
368,Air conditioners and other electronics have different amounts of electricity,,,,
369,"The air conditioner exceeded the amount of electricity available, so only the air conditioner was de-loaded and turned off",,,,
370,by natural causes,,,,
371,There seems to be no problem with the concept because there is a problem with the air conditioner. That's why the other electronics didn't turn off.,,,,
372,I don't understand.,,,,
373,"The electrical structure is connected in parallel, so unlike the series where everything else is turned off when one is turned off, the other does not turn off",,,,
374,"They're plugged into the same outlet, but because the current is dictating electricity to different places?",,,,
375,M and D,,,,
376,"The outlet is responsible for supplying power, and the air conditioner is overused, so the air conditioner is turned off because of the burden, and the rest is not turned off because the outlet is used in an appropriate amount",,,,
377,Combine the + and -,,,,
378,This is because power is cut off only in air conditioners.,,,,
379,This is because household electrical appliances are connected in parallel.,,,,
380,This is because it supplies power by using parallel connections. If a direct current connection has been made (devastated),,,,
381,Distribution of current through parallel connection ?±ã,,,,
382,"Since circuits of electronic products are connected in parallel, even if a problem occurs in one circuit, there is no problem with products in the other circuit.",,,,
383,It's a parallel connection.,,,,
384,"Although there is an advantage that the power of other electronic products is not turned off even if the power of the air conditioner is turned off because it is connected in parallel rather than in series, the power strength is weaker than in series connection.",,,,
385,It's a parallel connection that divides the current and supplies it,,,,
386,"Electrical appliances are connected in a parallel structure to apply a constant voltage, but they are connected as one to prevent the electricity supply from being cut off.",,,,
387,"When using electricity at home, electricity is supplied in parallel, so even if one home appliance is turned off, other home appliance can continue to be supplied with electricity.",,,,
388,"Because electrical outlets are connected in parallel, if only the over-electric air conditioner is stopped, electricity can be kept from flowing excessively and other electronic products can be maintained.",,,,
389,"This is because not all the circuits in the outlet are tied together. In other words, it is connected in parallel.",,,,
390,"Because electronic products are connected in parallel to one wire, even if no current flows through one electronic product, it does not affect other electronic products.",,,,
391,"This is because air conditioners and other electronics are supplied with electricity in a parallel structure, so even if the electricity supply to one product is blocked, the electricity supply to other products is not blocked.",,,,
392,What is this?,,,,
393,I don't know.,,,,
394,I don't know because the AC cord is off?,,,,
395,I don't know,,,,
396,I think it's broken because it's overheated because one is overdone,,,,
397,"Well, the location of the electricity is different",,,,
398,I don't know.,,,,
399,"""Because connecting to one cord consumes a lot of energy",,,,
400,"""",,,,
401,"Because there is a fuse even if the air conditioner is turned off, other electronic products do not turn off.",,,,
402,The reason why the air conditioner is turned off is because of the excessive use of air conditioner,,,,
403,I don't understand.,,,,
404,The place where the current flows is different,,,,
405,"""Because electronics are connected in parallel, even if one electronics is turned off,",,,,
406,"Other electronics do not turn off (parallel connections are connected to poles of the same current). As explained by the electrical circuit, the bulb does not turn off even if one battery is not connected.)""",,,,
407,The electricity is weird,,,,
408,"The air conditioner, TV, refrigerator, etc. are connected in parallel, so it doesn't turn off.",,,,
409,"Because the air conditioner and other electronics are connected in parallel,",,,,
410,in the air conditioner,,,,
411,I used the air conditioner too much,,,,
412,Because it's a different outlet,,,,
413,I don't know,,,,
414,I don't know.,,,,
415,I don't need a lot of electricity.,,,,
416,"It's not that the air conditioner is off, it's that the person turned off the power",,,,
417,Let's plug it in somewhere else instead of course,,,,
418,"The codes are the same, but... Uh... I don't know",,,,
419,"""Encounters have been overrun by more than the amount of electricity",,,,
420,"The other thing is that it doesn't go too much.""",,,,
421,"This is the same principle that if the surface temperature rises to 90 degrees with a smart charger inserted, only the smartphone will be turned off, not other electronic devices.  Therefore, the reason why other electronic products such as TVs and refrigerators that were connected to the same outlet did not turn off was because they only used air conditioners excessively.",,,,
422,This is because air conditioners and other electronics are connected in parallel.,,,,
423,There are several wires in the cord,,,,
424,The air conditioner is bleeding too much,,,,
425,The device that cuts itself off for safety has been cut off due to a lot of current.,,,,
426,The TV and refrigerator did not turn off by connecting wires in parallel.,,,,
427,call a person in,,,,
428,"""It's about generating electricity",,,,
429,"""",,,,
430,Turn off the electronics and use up the power,,,,
431,It's far away,,,,
432,I think a cool head is good.,,,,
433,Don't know,,,,
434,Hugging the right contender,,,,
435,I don't know,,,,
436,show off one's wire cord,,,,
437,",",,,,
438,"The cord is broken, so the electricity keeps going on",,,,
439,"Even if it's the same chord, the concert is different",,,,
440,"Wire cord pulled out, electrical control blocked only that place.",,,,
441,Only the air conditioner is broken,,,,
442,The air conditioner consumed so much power that the air conditioner went over to the average current shift that only the air conditioner was turned off and nothing else was turned off.,,,,
443,Automatically turned off due to excessive current,,,,
444,I don't know.,,,,
445,I use a lot of electricity with air conditioning,,,,
446,in parallel,,,,
447,"Using electricity with a lot of air conditioning,",,,,
448,socket,,,,
449,It's because I used one for a long time and overheated,,,,
450,My knowledge is not up to there,,,,
451,in parallel,,,,
452,in parallel,,,,
453,Because it was connected in parallel.,,,,
454,The voltage applied to the instruments in parallel is constant,,,,
455,in parallel,,,,
456,It is an electronic device connected in parallel.,,,,
457,"The air conditioner and other products are connected in parallel, not in series, so even if the air conditioner is turned off, other products are not turned off",,,,
458,"Because the electrical cords in the home are connected in parallel, even if one electrical device is turned off, the other is fine.",,,,
459,I don't know. Smooze,,,,
460,I don't know,,,,
461,It's overloaded inside the air conditioner,,,,
462,I don't know.,,,,
463,I don't know,,,,
464,"Using parallel connections, the air conditioner was turned off, but others seemed to be kept off.",,,,
465,Air conditioners consume more electricity,,,,
466,It is because only the outlet of the air conditioner is missing.,,,,
467,"Because parallel connections are electrified in many places at the same time, other electronic products continue to be connected even when the air conditioner is turned off",,,,
468,"This is because current flows through different batteries, not the same current for air conditioners, refrigerators, and TVs.",,,,
469,This is because air conditioners absorb electricity the most.,,,,
470,The electronics are connected in parallel.,,,,
471,This is because electronics are connected by parallel connection method.,,,,
472,I don't know.,,,,
473,"Parallel connections have electricity flowing in many places, because serial connections do not have electricity flowing here",,,,
474,Parallel connection,,,,
475,Because the air conditioner was overheated due to excessive current flow.,,,,
476,"Unlike air conditioners, all electronics are connected in series.",,,,
477,"Unlike air conditioners, refrigerators and televisions are not used excessively, so current flows normally to televisions and refrigerators",,,,
478,"""",,,,
479,I don't know,,,,
480,I don't know.,,,,
481,I don't know.,,,,
482,I don't know.,,,,
483,Because home appliances are connected in parallel,,,,
484,.,,,,
485,It's a parallel connection,,,,
486,Because it's a parallel connection,,,,
487,The air conditioner takes a lot of electricity,,,,
488,It's in parallel,,,,
489,I don't know.,,,,
490,It's a parallel connection,,,,
491,I don't know.,,,,
492,The air conditioner takes up too much electricity,,,,
493,It is because of the parallel connection structure.,,,,
494,The AC has too much electricity,,,,
495,It's connected in parallel,,,,
496,"Home appliances are usually connected in parallel, so even if one is broken, the rest is possible.",,,,
497,I don't know,,,,
498,I don't know,,,,
499,I don't know.,,,,
500,I don't know.,,,,
501,"I think when the circuit breaker fell, all the electricity in the house would have gone out or a plug bite like a refrigerator or a computer would have gone out.",,,,
502,It's connected in parallel,,,,
503,"I think the electricity in the house would have gone out when the breaker fell, or a plug bite like a refrigerator or a computer would have gone out.",,,,
504,This is because there is a limit to electricity and the amount of electricity is not supposed to affect it while other electricity and electricity are connected.,,,,
505,Don't know,,,,
506,None.,,,,
507,Overheating,,,,
508,I don't know.,,,,
509,It is because of the parallel connection.,,,,
510,It's overheating,,,,
511,It's because electricity is flowing.,,,,
512,I don't know.,,,,
513,Because the current is divided and cloudy,,,,
514,"It's connected in series, and all the power is consumed by the previous device",,,,
515,Because electronics have standby power,,,,
516,"""The current is different",,,,
517,"""",,,,
518,"It's not a direct current, it's used in parallel.",,,,
519,I don't know,,,,
520,I'm not sure,,,,
521,using alternating current,,,,
522,Because it is connected in parallel.,,,,
523,Air conditioning only,,,,
524,"This is because the octopus foot cord has a parallel structure in which current is connected, so even if the power of the air conditioner is cut off, power is not cut off for other electronic products.",,,,
525,"It is not that power was not supplied to the same outlet, but because the air conditioner was not supplied with power, the air conditioner was turned off, and electronic products connected to the same outlet were not turned off.",,,,
526,Because it's a parallel connection,,,,
527,It does not affect other products because it does not flow too much from the code but from the plug of the electronics,,,,
528,"Because electrical products are connected in parallel, even if one circuit is cut off, it does not turn off because current flows to the other circuit.",,,,
529,"This is because electricity does not work on only one electronic product, but acts in parallel with several electronic products.",,,,
530,"It was connected to the same outlet, but it was not connected in series and was connected in parallel, so it did not affect each other.",,,,
531,"Electronics are connected in parallel, so even if one electronics is disconnected due to excessive current flow, current flows in the other electronics.",,,,
532,I don't know,,,,
533,What's the difference between an air conditioner?,,,,
534,I don't know. Maybe the amount of power that the air conditioner turned off wasn't that much for other electronics.,,,,
535,Because it's connected in parallel,,,,
536,I don't know.,,,,
537,The air conditioner uses the most electrical current,,,,
538,Only that part is overloaded and the power is turned off,,,,
539,I don't know.,,,,
540,Because it is made up of series.,,,,
541,The AC turned off when the AC was on,,,,
542,The air conditioner used so much power that it was the only one that didn't turn on,,,,
543,I don't know.,,,,
544,"Because electricity was connected in parallel, only one electronic device turned off electricity",,,,
545,I'll change it,,,,
546,Parallel connection,,,,
547,It seems that other products can use high power.,,,,
548,It's in parallel,,,,
549,"Yes, ^___^",,,,
550,Each member has a different amount of current,,,,
551,Kkyu,,,,
552,M and D,,,,
553,Hall,,,,
554,I have no idea.,,,,
