,1) What does the court do? ,q33_trial,q33_legislative,q33_check
262,a trial decision,,,
263,have a trial,,,
264,a slap on the wrist,,,
265,Listening to the people of the law,,,
266,"have a trial, etc",,,
267,a matter of law,,,
268,It mixes with bad people,,,
269,It's a court that keeps the law and makes the law,,,
270,It adjudicates whether a criminal committed a crime or not.,,,
271,I don't know,,,
272,judging a defendant's guilt,,,
273,A trial is conducted in accordance with the prescribed law.,,,
274,judging right from wrong,,,
275,the enactment of a law,,,
276,The accused is tried.,,,
277,Rule the law and punish those who act against the law.,,,
278,make a trial as a criminal,,,
279,Courts work in Congress to select laws from among them and send them out,,,
280,make a judgment,,,
281,the act of setting the law,,,
282,I don't know.,,,
283,the act of conducting a trial,,,
284,"the act of making a law, a trial, etc",,,
285,To judge fairly what has happened to the National Assembly or the Government,,,
286,a place of trial,,,
287,The case is adjudicate,,,
288,have a trial,,,
289,"It does the job of doing justice to what happens in Parliament, the Government, and so on",,,
290,A fair and accurate judgment is made at the trial.,,,
291,It actually does the work of using the law received by the National Assembly fairly and justly at trial,,,
292,make a trial,,,
293,I don't know,,,
294,What the courts do is do about the law,,,
295,judge whether someone is innocent or guilty,,,
296,"Where to judge whether it is right or wrongWell, as far as I know, courts make laws.",,,
297,Don't know,,,
298,a place of law enforcement,,,
299,Make a law.,,,
300,Make a law.,,,
301,Make the law,,,
302,Judge a bad man and punish him.,,,
303,"""1) What does the court do?",,,
304,"A} Days""",,,
305,"When something happens, a place to solve it?",,,
306,setting the law,,,
307,Make a law or judge a crime?,,,
308,Punishment appropriate to those who commit crimes,,,
309,Finance the law and judge those who break the law.,,,
310,Make decisions about the law.,,,
311,To listen to or administer the law.,,,
312,"""Parliament: Where Members Meet.""",,,
313,Government: Where to execute and control the outcome of Results,,,
314,"Courts: Legislation and Enforcement""",,,
315,the act of punishing a guilty person,,,
316,"Innocent or guilty. [E.g., impeaching Park Geun Hye]",,,
317,Where to make fair laws for people.,,,
318,"Know the law, judge it, and make the law.",,,
319,A place where a person who has done something bad is given a just punishment.,,,
320,A place that administers the law and punishes those who fail to comply,,,
321,A person who has committed a crime is judged by law.,,,
322,Judge a criminal according to the law.,,,
323,"If there is anything to do with the guilty people or amend the law, consult with the president and adjudicate.",,,
324,A place where the laws of the country are made and fair,,,
325,a judge of a person who breaks the law,,,
326,It is a place that makes fair laws for people.,,,
327,I will work under the law.,,,
328,determine whether one is guilty or innocent,,,
329,examine the law,,,
330,I work in making laws,,,
331,I do the work of organizing the law.,,,
332,Make a law.,,,
333,"a trial, an auction",,,
334,He is in charge of making laws and not obeying them.,,,
335,the enactment and amendment of the law,,,
336,Punish those who break a criminal.,,,
337,judgment,,,
338,"Individuals, institutions, organizations, etc. are judged based on the crimes established by the National Assembly.",,,
339,judgment,,,
340,Judge a criminal.,,,
341,.,,,
342,I'm going to judge,,,
343,legislation,,,
344,a judge according to the judge,,,
345,The law made by the National Assembly is judged according to the crime.,,,
346,Trial,,,
347,a judge of the law,,,
348,Punish those who make mistakes.,,,
349,law enforcement,,,
350,the act of judging and dealing with,,,
351,Trial,,,
352,a judicial body,,,
353,"Law revision. If you don't know this, you're a 3rd grader",,,
354,Trial,,,
355,Enforce the law and judge a person's truth.,,,
356,Where the law is used and judged directly,,,
357,the enactment of a law,,,
358,the protection of the human rights of the people,,,
359,A place where there are friends who don't follow the laws that make the country go around well,,,
360,lay down the law,,,
361,law production,,,
362,We judge a crime in accordance with the law made by the National Assembly,,,
363,check,,,
364,judge with the law,,,
365,rule by law,,,
366,I'm the judge,,,
367,law enforcement,,,
368,The trial is based on the law made by the National Assembly.,,,
369,I don't know.,,,
370,the application of the law,,,
371,It is judged fairly through a trial whether it violates the laws set by the National Assembly.,,,
372,"It also judges whether the government's policy to proceed is illegal or not.""",,,
373,I don't have it's,,,
374,keep the government and the National Assembly in check,,,
375,arbitration between the National Assembly and the government,,,
376,the act of making a law,,,
377,This is where the laws made in Parliament are practically enforced,,,
378,Trial,,,
379,I don't know,,,
380,Referee,,,
381,a right judge,,,
382,judgment,,,
383,Referee,,,
384,judge a criminal's level of guilt,,,
385,a judge of justice,,,
386,The court judges using a law made by the National Assembly,,,
387,Trial,,,
388,I'll judge the law.,,,
389,Judge sins and resolve conflicts,,,
390,Let's judge.,,,
391,To open and refine the laws that the people want,,,
392,Trial,,,
393,a law-making job,,,
394,make a judgment,,,
395,Legal aid to individuals or people affected by the stateTo judge fairly or strike a sin.,,,
396,The punishment for crime is determined within the framework of the prescribed law.,,,
397,It is to relieve something that has been unjustified by an individual or state.,,,
398,A place where law is administered and law works,,,
399,maintain order in society,,,
400,a place where the law is enforced by the National Assembly,,,
401,make a plate,,,
402,a job done for a person,,,
403,It is to distinguish between those who fail to abide by the law and those who obey it.,,,
404,The court's on trial,,,
405,judging someone's wrongdoing,,,
406,What the courts do is they make laws and people who break laws come,,,
407,Decision,,,
408,Set the law and punish those who break the law.,,,
409,Let's see if it's right.,,,
410,Make a law,,,
411,judge the law,,,
412,have a trial,,,
413,Judge the law.,,,
414,judging those who have sinned,,,
415,Punish those who do not obey the law,,,
416,You can judge what crime you are guilty of while judging.,,,
417,A place to judge what's wrong,,,
418,It's where you judge what's right,,,
419,It scolds bad people.,,,
420,Let's judge.,,,
421,Referee,,,
422,The court judges a crime.,,,
423,Courts serve to pass the law.,,,
424,a cotton bat,,,
425,True education,,,
426,True education,,,
427,It provides true education.,,,
428,Enforce the law.,,,
429,the enforcement of the law,,,
430,Enforce the law.,,,
431,Make and enact laws.,,,
432,stabilization of social order,,,
433,"When high-ranking officials, politicians, and other public officials commit corruption or crimes, they take bribes, eat them, and condone them. Sometimes he pretends to be a righteous man, but he still looks rotten inside. Also, personally, the power of the law on sex seems to come into only men.",,,
434,Courts work to enforce laws made by the National Assembly.,,,
435,judgment,,,
436,I work to enforce the laws made by the National Assembly.,,,
437,"It's a law enforcement agency, an institution that exercises the laws that are created.",,,
438,It`s a law enforcement agency and ruling cases.,,,
439,"""",,,
440,It is judged by the law created by the National Assembly.,,,
441,I do my duty to obey the law.,,,
442,I'm going to judge,,,
443,"Based on the law enacted by the National Assembly, judgment is made on those who have committed crimes.",,,
444,Keep the law,,,
445,judge a guilty man and put him in a black hole,,,
446,a trial,,,
447,Make a law and make a ruling,,,
448,law enforcement,,,
449,Dispute resolution and order are maintained through trial.,,,
450,I don't know,,,
451,I don't know,,,
452,It's the agency that controls the laws of the country,,,
453,the authorization and the role of making decisions,,,
454,Make the law,,,
455,lay down the law,,,
456,Manages the Constitution and examines legislation.,,,
457,Make a law.,,,
458,"""",,,
459,"?""",,,
460,It is the body that enforces the law.,,,
461,the act of making a law,,,
462,He is in charge of legal matters such as trials,,,
463,making a law,,,
464,a place where people are judged according to established laws,,,
465,a trial by law,,,
466,It checks the National Assembly and the government and enforces the law,,,
467,enforce the law,,,
468,The law makes good or bad decisions.,,,
469,Judge the wrong thing.,,,
470,It is an institution that judges whether individual or criminal problems are right or wrong.,,,
471,It's a trial,,,
472,enforce the law,,,
473,He is in charge of judicial power and is in charge of judicial-related affairs such as trials.,,,
474,a place where laws are established and governed,,,
475,a judge of the law,,,
476,next,,,
477,I'm going to judge,,,
478,The National Assembly judges suspects and victims using financial laws.,,,
479,Referee,,,
480,Trial,,,
481,I'm having a trial,,,
482,It checks the power of the National Assembly and the government,,,
483,the act of punishing a person by enforcing a prescribed law,,,
484,"The court is a state agency that exercises judicial power under the Constitution, and the jurisdiction belongs to a court composed of judges, judges all legal disputes, and supervises or supervises the affairs of the registered depositor",,,
485,A place that solves conflicts among people by judging right from wrong according to the law,,,
486,The trial is conducted in accordance with the law made by the National Assembly,,,
487,The trial is based on the law.,,,
488,We judge a number of issues based on the laws designated by the National Assembly,,,
489,Trial,,,
490,seem to rule the law,,,
491,rule the law and keep order,,,
492,Criminals are punished according to the law and protect the people through it.,,,
493,The court reviews bills proposed by the National Assembly.,,,
494,It determines whether or not the suspects are guilty and whether they are sentenced.Don't know,,,
495,The court will hold a trial based on the law created by the National Assembly.,,,
496,It works to prevent corruption from occurring in the middle,,,
497,The law enacted by the legislative branch of the National Assembly is accepted and the judicial branch of the court decides whether to pass the law. They judge people with laws that are enacted,,,
498,Finance the law and practically adjudicate a case according to the law.,,,
499,Think about the law and see if I can use it,,,
500,"The exercise of jurisdiction, the supervision of affairs,",,,
501,subpoena of court proceedings,,,
502,Politics,,,
503,Where to administer the law with a fair judgment,,,
504,It is a matter of judging a sinner.,,,
505,I'm sending you a law,,,
506,a judge's office,,,
507,have a trial,,,
508,The main task is to make a trial as a state agency that applies the law.,,,
509,Making the law and judging,,,
510,The main task is to make a trial as a state agency that applies the law.,,,
511,a law-solving the law,,,
512,make a judgment,,,
513,a building with a judge,,,
514,make a judgment,,,
515,What the courts do is parliament and then the courts,,,
516,a judgment,,,
517,the act of giving a trial,,,
518,The court judges according to the law.,,,
519,enforce the law,,,
520,make a judgment,,,
521,a judicial work,,,
522,judging right from wrong,,,
523,a place where laws are made and judged,,,
524,"He wants to exercise his power in the cause of making laws, recognize his power, and be convinced of his position.",,,
525,to judge people,,,
526,Make the law,,,
527,I'm having a trial,,,
528,a trial of people's wrongdoings,,,
529,The law made by the National Assembly is examined and tried in accordance with the law,,,
530,Divide guilt and innocence on the basis of laws made by the National Assembly,,,
531,enforce the law,,,
532,Make the law,,,
533,A man judges what he did wrong,,,
534,be judged in accordance with the law,,,
535,What is the court?,,,
536,a trial of people's wrongdoings,,,
537,It shall be judged according to the law,,,
538,It is judged according to the Constitution,,,
539,We judge a person who has done something wrong according to the law,,,
540,"If people do something wrong, they'll either sin or try to resolve conflicts among citizens",,,
541,the exercise of judicial power by law,,,
542,a constitutional state agency,,,
543,judge right from wrong according to the law,,,
544,judge a sinner,,,
545,We weigh the right and wrong of the law is right and wrong.,,,
546,an agency responsible for trials under the law in various conflict situations,,,
547,It is a place where people make judgments in their lives.,,,
548,It's where people judge what's wrong,,,
549,Make a law.,,,
550,I don't know.,,,
551,Where to make the law.,,,
552,Where to settle and trial matters relating to the law,,,
553,It's about making laws.,,,
554,to decide the punishment of a person who has committed a crime,,,
555,"If he does something wrong, we judge him",,,
556,I don't know.,,,
557,It's a matter of law.,,,
558,I don't know.,,,
559,Where to judge those who have sinned,,,
560,A place where sinners judge...?,,,
561,Courts do the job of judging and punishing those who are due to be brought to justice,,,
562,decide whether a person who commits a crime should be punished,,,
563,"It is where lawyers, judges, prosecutors, etc. make decisions and make results to solve what the accused, witnesses, or perpetrators have done or difficult things",,,
564,Make laws and punish those who commit crimes,,,
565,determine who is right,,,
566,This is where people go to trial when they write a crime.,,,
567,Courts deal with bad things and open trials,,,
568,Where the law punishes the guilty,,,
569,Judge the person who made the paper.,,,
570,The punishment is appropriate for those on trial.,,,
571,I think I'll work on making laws.,,,
572,It is judged correctly and submitted to the government or the National Assembly.,,,
573,a place to judge those who break the law,,,
574,Create a constitution.,,,
575,Judge and punish the wrong person,,,
576,Make a law and make a trial.,,,
577,Check the work of the government and the National Assembly,,,
578,I don't know,,,
579,?,,,
580,determine whether a suspect is guilty or not guilty of wrongdoing,,,
581,The place where the law is made and the judges decide together,,,
582,a place where laws are amended or established,,,
583,Judge and punish those who commit crimes,,,
584,Judge and punish those who commit crimes.,,,
585,Make laws and abolish unnecessary laws.,,,
586,"Search and seizure, helping the judge",,,
587,Make a law.,,,
588,Check the law to see if it is correct.,,,
589,for one's country,,,
590,The law judges criminals,,,
591,The innocence and guilt of the accused are judged.,,,
592,make a fair judgment,,,
593,"Make new laws, review laws, and make trials.judge a person who has committed a crime",,,
594,Where to decide what is right or wrong,,,
595,a matter related to the law,,,
596,Judge on legal matters.,,,
597,"It can judge whether it is right or wrong, ask the sinners for their crimes, and prevent the president's dictatorship.",,,
598,judge a crime,,,
599,an empty judgment of sin,,,
600,Pass the new law.,,,
601,hard work,,,
602,Judge a crime according to the law,,,
603,It is a place to judge crimes or wrongs that occur in the country.,,,
604,It's to discredit those who have sinned,,,
605,It judges mistakes based on the law and informs the problems.(Like Conan~),,,
606,It is for the police to send what has been investigated to the court and the court to adjudicate it,,,
607,The work of punishing and judging.,,,
608,To try and punish those who break the law,,,
609,a fair judgment of sin,,,
610,the act of setting the law,,,
611,a judicial decision,,,
612,Trial,,,
613,judge a person who has committed a crime,,,
614,"The National Assembly meets and enacts ideas presented by the government, and the court makes laws.",,,
615,Punish the sinner,,,
616,Make a law.,,,
617,lay down the law,,,
618,Where to rule the right law,,,
619,"A place where judges, lawyers, and defendants decide whether to put them in jail or not in one place.",,,
620,lay down the law,,,
621,a conviction,,,
622,law management,,,
623,Judgment is made on those who have done something against the law.,,,
624,a wrong decision,,,
625,a place where people are punished by using the law,,,
626,enactment of a law,,,
627,the act of making a law,,,
628,be in charge of the law,,,
629,Trial,,,
630,The court rules civil and judicial.,,,
631,"In case of violation of the law, a judgment is made accordingly.",,,
632,Courts try people who break the law.,,,
633,I don't know.,,,
634,Apply the established laws.,,,
635,enforce the law,,,
636,have a trial,,,
637,Trial,,,
638,judging for the sake of the law,,,
639,make a judgment,,,
640,I don't know,,,
641,Trial,,,
642,a place where a trial,,,
643,It does the work of judging right from wrong according to the law.,,,
644,I don't know,,,
645,Make and judge the law.,,,
646,I forgot...,,,
647,To judge something in accordance with the law and to impose a sentence or punishment in that trial.,,,
648,judgment,,,
649,enforce the law,,,
650,to judge people by law,,,
651,a person in charge,,,
652,the enactment of a law,,,
653,to be a judge,,,
654,Let's judge.,,,
655,I'm having a trial,,,
656,judgment in people's lives,,,
657,Decisions are made through legislative law.,,,
658,take effect in the law,,,
659,Pass the law.,,,
660,It manages the laws of the state and determines the existence and punishment of crimes based on the laws.,,,
661,Courts control or resolve disputes that arise in the state.,,,
662,come into effect as a law,,,
663,"Civil trial, criminal trial, administrative trial, examination of constitutional law, etc",,,
664,mediate a dispute,,,
665,Enforce the law.,,,
666,"""",,,
667,The court is an institution that applies the law and judges according to the law.,,,
668,"If you look specifically at what the courts do, first of all, the courts are not just individuals and individuals",,,
669,"It serves to resolve disputes between countries and individuals. Courts resolve conflicts by judging right and wrong according to the law, and courts also play a role in protecting human rights by guaranteeing basic freedoms and rights of humans by law.""",,,
670,enforce the law,,,
671,d,,,
672,To try a person who breaks the law,,,
673,"The court cannot involve the National Assembly and the government, and it makes a trial.",,,
674,have a trial,,,
675,It's legal to teach pankyo,,,
676,Strengthen the law for the sake of the country and its people and punish those who do wrong,,,
677,Trial.,,,
678,...............,,,
679,Trial,,,
680,Judge the suspect,,,
681,Judge according to the law.,,,
682,Use the law to judge a crime.,,,
683,judge right from wrong according to the law,,,
684,It judges right and wrong according to the law and resolves conflicts between people.,,,
685,to judge those who have committed crimes,,,
686,Where the law adjudicates conflict,,,
687,judge people,,,
688,Making a law,,,
689,make a trial,,,
690,Trial,,,
691,Making sure you did a good job in the National Assembly.,,,
692,"The court judges right and wrong according to the law with the law made.It is where lawyers, judges and prosecutors determine whether the accused is guilty or innocent.",,,
693,Make laws and fix them.,,,
694,"Number three, go!",,,
695,I'm trying,,,
696,Make the law,,,
697,to lead the law and the country,,,
698,I'm having a trial,,,
699,Make a law.,,,
700,Hah!,,,
701,Make a law,,,
702,Where to make or trial the law?,,,
703,Decide whether to be punished or not.,,,
704,Hah!,,,
705,It's a place to judge the law,,,
706,The court judges criminals who have committed crimes.,,,
707,setting the law,,,
708,Trial,,,
709,enforce the law,,,
710,d,,,
711,lay down the law,,,
712,They're ruling people who break the law,,,
713,a law-making space,,,
714,a place where laws are made or eliminated,,,
715,Where to release the wrong people or judge whether they did something bad or were falsely accused,,,
716,"When you're in trouble, when you're on trial,",,,
717,Punish criminals,,,
718,a place where criminals are condemned,,,
719,"As a judicial institution, the perpetrator is punished or the victim is rescued in accordance with the law enacted by the National Assembly.",,,
720,It's where you're determined by a mistake and punished for it,,,
721,I work on the law,,,
722,To judge a crime based on a law made by the National Assembly to determine the crime,,,
723,It is executed through a trial established by the National Assembly. And it rationalizes the conflict of the people.,,,
724,"The laws that have been created, conflict between individuals and groups, conflict between individuals and groups.It solves various conflicts and also maintains social order by punishing those who commit crimes.",,,
725,Practice the law to remind the people of the spirit of compliance.,,,
726,make a trial,,,
727,"""",,,
728,"Courts play a role in defending social justice and order in the National Assembly, conducting criminal trials to punish those who commit crimes under laws made by lawmakers or civil trials to resolve various disputes between people.""",,,
729,"The court serves as a judicial branch that enforces various laws enacted by the National Assembly, including civil law and criminal law. A trial is a representative exercise of judicial power, and when it is legally necessary to judge whether it is right or wrong, the court listens to both opinions and makes a judgment according to the law. In the case of criminal trials related to legal punishment, the perpetrator, the lawyer, and the prosecutor and the victim are at odds with each other. If legal judgment is required when resolving disputes between individuals such as inheritance issues, it is divided into the plaintiff who filed the lawsuit and the defendant who was filed. There will be a civil trial. There are also courts related to patent registration.",,,
