,"12. About 2,000 years ago, there were three countries on the Korean Peninsula: Silla, Baekje, and Goguryeo. For about 700 years, three countries (Silla, Baekse, and Goguryeo) fought many wars to take over the Han River. Eventually, Silla unified the three kingdoms. Let's explain how Silla unified the three kingdoms.",q12_Nadang Alliance, q12_War Victory,q12_Dang-river,q12_Han River Charge,q12_Nadze Alliance
22,"Baekje was destroyed when Silla fought Baekje and won the Battle of Hwangsanbeol. After that, Silla united with the Tang Dynasty to attack Goguryeo, and after winning and achieving the unification of the three kingdoms, it defeated the Tang Dynasty in the Nadang War to unify the three kingdoms for the independent unification of the Korean people.",,,,,
23,"Baekje occupied the Han River > Weakened > Goguryeo's longevity king > Baekje, Silla's alliance > Lower Han River > Silla's betrayal > Na Dang's alliance > Han River",,,,,
24,"Silla, which had been checked by Baekje and Goguryeo, formed a coalition with the Tang Dynasty to destroy Baekje and Goguryeo, and after reunification, won the war with the Tang Dynasty to interfere with Silla to complete the unification of the three kingdoms.",,,,,
25,"Baekje was ruined. The alliance of the Nathang ruined Goguryeo. The party hit him in the back of the head, and he almost screwed up.",,,,,
26,"Silla conquered the Han River basin, formed a coalition of Na-Party forces, unified the three kingdoms, and betrayed the Tang Dynasty.",,,,,
27,"When Baekje attacked Silla, Silla asked Goguryeo for help, but when Goguryeo refused to accept it, Silla formed a Nadang alliance with the Party and formed an alliance with Baekje, Goguryeo, Why, and Malgal to wage war, but the Nadang alliance won and Goguryeo and Baekje died. Later, Silla fought against the Tang Dynasty, and Silla won this battle.",,,,,
28,"Silla's alliance with Baekje led to the defeat of Goguryeo and Silla's betrayal of Baekje and took over the Han River area Silla is Tang and I.After combining of course and hitting Baekje, Goguryeo was built. So the three countries were united",,,,,
29,"Silla formed an alliance between Baekje and I to fight Goguryeo and occupy the Han River basin, where Silla and Baekje fought to have the basin. Silla won here and achieved Silla's heyday. (King Jinheung's era) - Silla destroyed the neighboring kingdom of Gaya, formed a Nadang alliance with the Tang Dynasty to destroy Baekje and Goguryeo, and finally achieved the unification of the three kingdoms through war with the Tang Dynasty. This unification of the Three Kingdoms has the significance of achieving the first national unity, but there is a limit to the use of foreign forces in that it was helped by the Tang Dynasty.",,,,,
30,"Silla formed a Nadang alliance with the Tang Dynasty, surrendering Baekje and destroying Goguryeo to unify it.",,,,,
31,"Silla formed a coalition with the Tang Dynasty, captured Baekje and Goguryeo, fought again with the Tang Dynasty over the territory of the Korean Peninsula, and drove out the Tang Dynasty and established the territory of the Unified Silla.",,,,,
32,I don't know,,,,,
33,The three countries agreed together to reunify,,,,,
34,I don't know,,,,,
35,I don't know,,,,,
36,I don't know,,,,,
37,I don't know,,,,,
38,I don't know,,,,,
39,I don't know,,,,,
40,"Silla, which unified Goguryeo and Baekje and was the weakest, even ate the Han River",,,,,
41,I don't know,,,,,
42,I don't know,,,,,
43,I don't know.,,,,,
44,Silla seems to have unified by persuading Baekje and Goguryeo.,,,,,
45,I don't know.,,,,,
46,I don't know,,,,,
47,I don't know,,,,,
48,I don't know,,,,,
49,"As the soldiers died in the war, they made up as people disappeared.",,,,,
50,"""In the beginning, there was Gaya, but Gaya was quickly destroyed, and Silla and Baekje were allied",,,,,
51,"Koguryo was destroyed and Baekje rule was destroyed.""",,,,,
52,I don't know about Silla,,,,,
53,Silla destroyed Baekje and Goguryeo with the help of the party,,,,,
54,Well,,,,,
55,"Baekje occupied the Han River in the 4th century, Goguryeo occupied the Han River in the 5th century, and Silla occupied the Han River in the 6th century, resulting in King Munmu's incomplete reunification of the Three Kingdoms with the help of the party.",,,,,
56,Fights between the two Koreas and the east and west forces frequently broke out.,,,,,
57,Fights between the two Koreas and the east and west forces frequently broke out.,,,,,
58,Silla destroyed Baekje and Goguryeo with the help of the party,,,,,
59,"The North and South Korean forces of Goguryeo, Baekje, and Japan, and the east and west forces of Silla were at odds.",,,,,
60,"After Baekje fell, Goguryeo fell",,,,,
61,Silla took over the Han River and unified Silla with the Tang Dynasty,,,,,
62,"Silla united with the Party to destroy Baekje and Goguryeo And when the party tried to eat the land, it attacked and it was incomplete but Silla unified it",,,,,
63,"Silla's Kim Chun-chu went to the party and asked for help, but they united to destroy Baekje and Goguryeo because they gave the party north of the Daedong River",,,,,
64,B. Of course. > Baekje's collapse > Goguryeo's collapse > Unification of the Three Kingdoms,,,,,
65,"When Goguryeo and Baekje formed an alliance with the Empress and took over the Han River basin, Silla was at odds.In alliance with the party, they form a Nadang alliance and attack Goguryeo and Baekje.",,,,,
66,"As promised, Su.Dang was going to give the land north of the Daedong River, but Su.When the party established Andong Dohobu, Ungjin Dohobu, and Gyerim Dohobu to Goguryeo, Baekje, and Silla, respectively, Silla showed its ambition to dominate the entire Korean Peninsula.He fought against the party and won to complete the reunification of the three kingdoms.""",,,,,
67,Mordet,,,,,
68,"""The unification of the three kingdoms was the first unification that helped Korea. Jang Bogo passed through Yeongheungman Bay and our Daejoyeong succeeded Goguryeo and created the kingdom of Haedongseong, the king of the three kingdoms,",,,,,
69,"""Kim Chun-chu went to the party and asked to help Silla in the northern part of the Daedong River, so Tang Tae-jong gave permission to take over Baekje and the unification of the Three Kingdoms won.""",,,,,
70,I united with the Tang Dynasty,,,,,
71,I don't know.,,,,,
72,I can't make a translation,,,,,
73,They destroyed all the nations,,,,,
74,"Goguryeo collapsed due to the attack of the Nadang coalition at the same time as the internal military fight, and Baekje lost the battle with Silla, and Silla unified the three kingdoms.",,,,,
75,"By joining forces with Baekje, Goguryeo was eliminated and Baekje was eliminated through the power of the Ming Dynasty.",,,,,
76,"The king of Baekje surrendered to the king of Silla, defeated Goguryeo with the Tang Dynasty, and finally unified the three kingdoms by defeating the Tang Dynasty",,,,,
77,"Silla united with the Tang Dynasty, breaking down Goguryeo and Baekje, the best countries in Northeast Asia, in order.",,,,,
78,I don't know...,,,,,
79,Silla established a coalition between Tang and Nadang and collapsed in the order of Baekje and Goguryeo,,,,,
80,"Silla formed a Nadang alliance with the Tang Dynasty, demolished and unified Baekje and Goguryeo in the order of Goguryeo.",,,,,
81,"Silla occupied the Han River first to unify the three kingdoms. If the Han River is occupied, the people can live well if they farm well and farm well, so Silla, which repeated this good cycle repeatedly, did not fight, leading to the unification of the Three Kingdoms.",,,,,
82,"Outstanding strategies and alienation, among other nations, are united in their struggle",,,,,
83,I don't understand.,,,,,
84,Silla was strong and unified.,,,,,
85,"The combined forces of the Nadang army destroyed Baekje, destroyed Goguryeo, and Silla defeated the Tang Dynasty",,,,,
86,I don't remember.,,,,,
87,Silla swallowed it all,,,,,
88,It's because Silla won the war,,,,,
89,They joined forces with China and attacked each other in both directions.,,,,,
90,Silla took over the Han River and destroyed Baekje and absorbed Goguryeo and Baekje,,,,,
91,Silla unified the Three Kingdoms with the help of the Tang Dynasty.,,,,,
92,I don't know.,,,,,
93,"After forming an alliance with Baekje and occupying the Han River, they broke the alliance and fought the Tang Dynasty and Baekje and Goguryeo",,,,,
94,"Combined with the Tang Dynasty, they destroyed the stuffed kingdom and Goguryeo.",,,,,
95,I don't know.,,,,,
96,Forgot.,,,,,
97,Kim Chun-chu of Silla achieved unification with the help of the party,,,,,
98,"They quarreled with each other.He joined hands with the Tang Dynasty topple Goguryeo and 50,000 troops topple Baekje",,,,,
99,"""Kim Choon-chu achieved the unification of the three kingdoms""",,,,,
100,"Silla first struck Baekje to make it Silla, and then Goguryeo to make it Silla, and Silla unified the three kingdoms.",,,,,
101,I don't know.,,,,,
102,"Silla asked Tang for help because his country became in danger And with the Tang army, they destroyed Baekje and Goguryeo, and the Tang wanted to take over the Korean Peninsula",,,,,
103,"Although the attack was made, Silla was forced to resign due to Silla's resistance, and Silla unified the three countries, but with the help of the Tang Dynasty, it is not a true unification of the three countries.""",,,,,
104,"Silla sought help from China, but China was plotting a secret plot, and Baekje and Goguryeo took advantage of the confusion to destroy and unify it. However, China asked Silla for territory, and China now occupies the upper part of Goguryeo.",,,,,
105,Silla first occupied Goguryeo and then Baekje.,,,,,
106,Silla joined hands with Goguryeo to hit Baekje and then joined hands with Tang to hit Goguryeo,,,,,
107,"Silla wanted to get rid of Baekje first. So, when he joined hands with Goguryeo and hit Baekje, Goguryeo joined hands with Tang and destroyed it. After that, the Tang interference was so severe that it could not be said to be a completely independent country.",,,,,
108,I don't know.,,,,,
109,"The fall of Baekje and Goguryeo, and the fall of Goguryeo",,,,,
110,I don't know.,,,,,
111,I don't know,,,,,
112,I won the fight,,,,,
113,a coalition of parties,,,,,
114,I was frustrated because they kept fighting,,,,,
115,"He was close to the Tang Dynasty, and first attacked Baekje to make Baekje Silla land, and then attacked Goguryeo to unify the three kingdoms.",,,,,
116,h,,,,,
117,Well,,,,,
118,It's a very good question,,,,,
119,"Silla's Later Baekje was created and Goguryeo's Singo and Gungye became gods, so Wang Geon chased Gungye and established it as Goryeo, which destroyed the Later Baekje Silla, unified the Three Kingdoms",,,,,
120,Fight and win,,,,,
121,We made up,,,,,
122,We fought a war,,,,,
123,Silla joined hands with Tang and defeated Goguryeo and Baekje,,,,,
124,The Tang Dynasty of SillaãããããUnification!!!!!!,,,,,
125,the coalition of the ruling parties,,,,,
126,Very well~~~~~,,,,,
127,Silla joined forces with the party,,,,,
128,I don't know.,,,,,
129,I don't know,,,,,
130,win by a head-to-head approach,,,,,
131,I want to eat sweet potatoes.,,,,,
132,I don't know.,,,,,
133,ã,,,,,
134,Perfect score,,,,,
135,a number of war,,,,,
136,I don't know.,,,,,
137,"A figure from Silla unified the three countries, Baekje and Goguryeo",,,,,
138,Well...,,,,,
139,They fought against Bekje and Goguryeo and unified them,,,,,
140,Silla's Kim Yu-shin and white wildcat rrrr captured Baekje and Goguryeo.,,,,,
141,Is that a part time job?,,,,,
142,Nadang United-Baekje Cut-Goguryo Cut,,,,,
143,They eat from the neighboring neighborhood one by one.,,,,,
144,I forgot.,,,,,
145,"Goguryeo is destroyed, and Silla beats Tang's navy. And Baekje is destroyed. Silla defeated the Party's army and unified the three kingdoms.",,,,,
146,"Goguryeo is destroyed, and Silla beats Tang's navy. And Baekje is destroyed. Silla defeated the Party's army and unified the three kingdoms.",,,,,
147,"In 900 years after the fall of Goguryeo and Bezeki, Gung Ye founded Hugoguryo, but Wang Geon chased Gung Ye and changed the name of the country to GolIn 901, Gyeonhwon established the Hubeckje and fought many battles, and Gyeonhwon's son abandoned Gyeonhwon in Hubeckje and formed a partnership with Wang Geon, destroying the Hubekje and abandoning Silla",,,,,
148,Silla reunified the three kingdoms and later Balhae became close to Dang and Balhae,,,,,
149,Morae 77,,,,,
150,I don't understand.,,,,,
151,Silla formed a coalition with Tang and attacked Baekje and Goguryeo in critical situations,,,,,
152,"The fall of Baekje, the fall of Goguryeo, the unification of the three Silla kingdoms",,,,,
153,Silla beats Baekje and Goguryeo.,,,,,
154,.,,,,,
155,"Silla and Tang allied forces fought and destroyed Baekje and Goguryeo. After that, the Tang army was driven out and the three kingdoms were unified.",,,,,
156,I'll call you Dang,,,,,
157,Kim Yu-shin comes to think of many things through Cheomseongdae.,,,,,
158,won the war,,,,,
159,"The Silla-Dang alliance fought and destroyed Baekje and Goguryeo. Since then, the Tang army has been ousted and the three kingdoms unified (union with the Tang, the fall of Baekje and Goguryeo, and the overthrow of the Tang Dynasty)",,,,,
160,"""",,,,,
161,won the war,,,,,
162,Silla destroyed Baekje and Goguryeo.,,,,,
163,Silla took over the Han River and won the battle and unified it,,,,,
164,"Silla and Tang allied forces fought and destroyed Baekje and Goguryeo. After that, the Tang army was driven out and the three kingdoms were unified.",,,,,
165,with the help of outside forces,,,,,
166,Silla allied with the Tang Dynasty and absorbed Goguryeo and Baekje,,,,,
167,It is to take over the Han River through countless wars and interact with China and other countries.,,,,,
168,cã,,,,,
169,Charge the Han River,,,,,
170,"Silla and Tang allied forces fought and destroyed Baekje and Goguryeo. After that, the Tang army was driven out and the three kingdoms were unified.",,,,,
171,Silla Tang Dynasty Union - Baekje Fall - Goguryeo Fall - Silla and Tang Dynasty War - Three Kingdoms Unification,,,,,
172,"After the formation of the Party's coalition forces, Baekje was destroyed, Goguryeo was destroyed, and after the war broke out, Silla won and formed the Unified Silla Kingdom",,,,,
173,They ousted the Tang army and unified the three kingdoms.,,,,,
174,.,,,,,
175,Bâ¢Party alliance formed>Baekje fall> Goguryeo fall>Naâ¢Party war>Unification of the Three Kingdoms,,,,,
176,"With the fall of Baekje and Goguryeo, Silla united with the Party to unify the three kingdoms.",,,,,
177,"Silla and Tang allied forces fought and destroyed Baekje and Goguryeo. After that, the Tang army was driven out and the three kingdoms were unified. (Union with the Party, the fall of Baekje and Goguryeo, and the overthrow of the Tang Dynasty)",,,,,
178,"After Silla and the Tang Dynasty united to attack Baekje, destroy Baekje, and destroy Goguryeo, they fought the Tang Dynasty, which wanted to take over the Korean Peninsula, and unified the current topography of the Korean Peninsula.",,,,,
179,"Silla and Tang allied forces fought and destroyed Baekje and Goguryeo. After that, the Tang army was driven out and unified with the Three Kingdoms.",,,,,
180,the Nadang War,,,,,
181,"Silla and Tang allied forces fought and destroyed Baekje and Goguryeo. After that, the Tang army was driven out and the three kingdoms were unified.",,,,,
182,"The allied forces of Silla and Tang fought Baekje and Goguryeo, destroying them, ousting the Tang army and unifying the three kingdoms.",,,,,
183,Silla and the Party united to wage war against Baekje and Goguryeo and destroy it. And they ousted the Tang army and unified the three kingdoms.,,,,,
184,"In alliance with the Tang Dynasty, Baekje was destroyed, Goguryeo was destroyed, and the Tang Dynasty betrayed and attacked Silla, but Goguryeo and Baekje's old residents and Silla people joined forces to defeat the Tang Dynasty and unify it.",,,,,
185,"""The Tang Dynasty united with Silla to destroy Baekje and Goguryeo, and Silla unified the three kingdoms through the Nadang War",,,,,
186,"""",,,,,
187,I used the help of the Tang Dynasty to destroy other countries,,,,,
188,The Silla-Party coalition destroyed Goguryeo. the overthrow of the Tang army and the unification of the three kingdoms,,,,,
189,the overthrow of Baekje and Goguryeo by the alliance of the Nadang,,,,,
190,They fought a war and took the land.,,,,,
191,I don't know.,,,,,
192,talk to,,,,,
193,"Silla ate Gaya, played Baekje and Goguryeo, and ate Baekje because it was called betrayal",,,,,
194,I did it while interacting,,,,,
195,Silla occupied Gaya and expanded its territory and unified it in its heyday,,,,,
196,I don't know.,,,,,
197,"Silla, Goguryeo, and BaekjeI surrendered to Goguryeo",,,,,
198,To take out Goguryeo,,,,,
199,Forgot.,,,,,
200,He told another country on the Chinese side that he would give part of Goguryeo if he won the war,,,,,
201,I don't know.,,,,,
202,Silla formed a naje alliance to defeat Baekje and Goguryeo and defeated Goguryeo,,,,,
203,call a foreign country,,,,,
204,"After Silla united with Baekje and won against Goguryeo, Silla suddenly invaded Baekje and Silla defeated Baekje to unify the three kingdoms.",,,,,
205,I'm clueless.,,,,,
206,I was helped by Gaya,,,,,
207,Silla unified the three countries by borrowing the power of the party,,,,,
208,.,,,,,
209,"After the powerful Goguryeo kingdom was destroyed in cooperation with Baekje, General Kim Yu-shin destroyed Baekje",,,,,
210,"""",,,,,
211,"Silla unified the three kingdoms during the reign of King Munmu, and after King Chunchu's victory in various wars and Kim Chunchu's death, King Munmu achieved Kim Chunchu's will and became a millennium Silla.",,,,,
212,"After destroying the powerful Goguryeo kingdom in cooperation with Baekje, General Kim Yu-shin destroyed Baekje.",,,,,
213,Silla first destroyed Baekje and then Goguryeo.,,,,,
214,"Together with the Tang Dynasty, Goguryeo and Baekje were overthrown.",,,,,
215,I fought and won in cooperation with other countries,,,,,
216,Silla united Goguryeo and Baekje with Ming.,,,,,
217,The three countries united by forming a coalition with the Tang Dynasty,,,,,
218,"After removing Baekje, he killed Goguryeo",,,,,
219,"Silla was struggling to fight Baekje, so he asked for help from China, and at that time, he was angry because China lost to Goguryeo. So Silla and China joined hands to beat Goguryeo and Baekje. Therefore, the three countries were unified.",,,,,
220,"Silla, like the Tang Dynasty, formed a coalition to unify the three kingdoms.",,,,,
221,"Kim Chun-chu went to the Tang Dynasty and asked for help, and the Tang Dynasty approved to push Baekje and Goguryeo together and reunify them. When the Tang Dynasty tried to take out the Unified Silla, Silla also pushed out the Tang Dynasty and unified them.",,,,,
222,"When Baekje was eliminated and Goguryeo's capable generals disappeared, Goguryeo was defeated to unify the three kingdoms.",,,,,
223,The end,,,,,
224,I don't know.,,,,,
225,I don't know I'm sorry,,,,,
226,"Goguryeo won a big victory in the Battle of Salsu against Sui and the Battle of Anshi Province with the Party, but gradually lost its strength. With the fall of Baekje and Goguryeo, Silla united with the Party to unify the three kingdoms",,,,,
227,"""",,,,,
228,Silla destroyed all the countries.,,,,,
229,Lack of time.,,,,,
230,"Silla used the power of China to destroy Baekje, and Goguryeo was easily destroyed by cracks inside it",,,,,
231,I don't know.,,,,,
232,I don't know history :),,,,,
233,I don't know because I don't read books. Haha... I'm sorry...,,,,,
234,People live happily ever after,,,,,
235,It makes people happy.,,,,,
236,"He begged China to fight together, fought together, and won the Baekje Kingdom first, and entered Goguryeo. And they also won in Goguryeo.",,,,,
237,..,,,,,
238,Because I won the war with many countries,,,,,
239,Silla's wish to unify Goguryeo and Baekje,,,,,
240,on one's back,,,,,
241,"To take over the Han River,",,,,,
242,Silla just beat Goguryeo and Baekje,,,,,
243,I don't understand.,,,,,
244,Peace is the answer,,,,,
245,Silla joined hands with Baekjae and ate the river and formed a coalition to build another country,,,,,
246,We won because we ate the Han River and the farming was done well done,,,,,
247,I don't know,,,,,
248,I don't know,,,,,
249,"If the war continues, it's hard, so let's negotiate with each other",,,,,
250,I have no idea.,,,,,
251,"Silla, like the Tang Dynasty, destroyed Baekje and attacked Goguryeo But Goguryeo is doomed by a struggle for the throne",,,,,
252,"Like the people of the back of our heads, we'll take the back of the three countries",,,,,
253,"If the war continued, the three countries of Silla, Baekje, and Goguryeo would have negotiated because it was difficult to continue the war.",,,,,
254,Join the Tang Dynasty to Take Baekje and Goguryeo in Order,,,,,
255,"Silla developed from the reign of King Jinheung. When it became dangerous, it joined hands with the Tang Dynasty and destroyed Baekje and Goguryeo",,,,,
256,"Together with Baekje, Goguryeo was destroyed, and Silla destroyed Baekje.",,,,,
257,Silla invaded Baekje and Goguryeo and won the war.,,,,,
258,the occupation of Baekje and Goguryeo,,,,,
259,Silla won,,,,,
260,I don't know.,,,,,
261,Let's not touch the history that our ancestors made,,,,,
262,"Silla won the war. I learned the unification of the Three Kingdoms, but I don't remember.",,,,,
263,Being dragged into another country and getting cursed at,,,,,
264,Silla first unified Baekje and unified Goguryeo.,,,,,
265,"Silla occupied the Han River and joined hands with Tang to destroy Baekje and Goguryeo, and the Tang Dynasty went everywhere to drive out Tang and unify the three kingdoms",,,,,
266,"Goryeo and Baekje can't fight anymore, so it's unified",,,,,
267,I don't know,,,,,
268,I don't know,,,,,
269,In partnership with China,,,,,
270,Silla is strong,,,,,
271,I don't know.,,,,,
272,"The end of Baekje by the alliance of the Nadang, the end of Goguryeo, and the reunification of the Three Kingdoms",,,,,
273,"Win, win, win, win",,,,,
274,"Silla formed the Nadang Alliance, attacked Baekje, destroyed Baekje, destroyed Goguryeo, and drove the Tang Dynasty, which tried to dominate the Korean Peninsula, from the Korean Peninsula and achieved the unification of the three kingdoms.",,,,,
275,Silla joined forces with the Party to destroy Baekje and Goguryeo,,,,,
276,with the help of China,,,,,
277,"First, Kim Chun-chu of Silla united with the Tang Dynasty and attacked Baekje, and Baekje was destroyed first, and later Goguryeo was attacked and destroyed Later, he fought with the Tang Dynasty and won to achieve the unification of the three kingdoms",,,,,
278,Koguryo's Demolition - Baekje's Demolition,,,,,
279,"Silla joined hands with Baekje to destroy Goguryeo, and Silla destroyed Baekje and unified it.",,,,,
280,I don't know.,,,,,
281,"After Baekje's destruction, Goguryeo was destroyed, and Silla unified the three kingdoms.",,,,,
282,"Silla joined hands with the Tang Dynasty to destroy Baekje, Goguryeo, and Silla won and unified it through the Nadang War.",,,,,
283,Sucked up China.,,,,,
284,I don't know.,,,,,
285,I don't know,,,,,
286,Silla and Baekje joined hands to defeat Goguryeo and Silla and Tang Dynasty.A party alliance was formed to unify Baekje.,,,,,
287,"First, it attacked Baekje, and then attacked Goguryeo and unified it.",,,,,
288,"Silla conquered Baekje and Goguryeo, achieving the unification of the three kingdoms.",,,,,
289,"After invading Baekje, they invaded Goguryeo.",,,,,
290,Silla occupied Baekje and Goguryeo.,,,,,
291,"Silla and the Tang Dynasty formed the Nadang Alliance to conquer Baekje, and later conquered Goguryeo and Silla unified the three kingdoms.",,,,,
292,"Starting with the Silla-Nazi alliance, Baekche and Goguryeo were absorbed into Silla one after another.",,,,,
293,"After defeating Goguryeo and Baekje in alliance with the Tang Dynasty, the Tang Dynasty, which failed to keep its promise, was driven out.",,,,,
294,They formed a Nadang alliance with the Tang Dynasty and captured Baekje and Goguryeo in order.,,,,,
295,Baekje and Goguryeo in order,,,,,
296,They united in union with the Tang Dynasty.Cooperating with the Tang Dynasty to capture Goguryeo and Baekje.,,,,,
297,"After the destruction of the white body, I naturally destroyed Goguryeo and fought with the Tang Dynasty.",,,,,
298,"In alliance with the Tang Dynasty, Baekje and Goguryeo were captured.",,,,,
299,"They fought against Baekje, Goguryeo, and the Tang Dynasty one after another and won.",,,,,
300,It was poorly unified by the Tang Dynasty.,,,,,
301,The coalition of the Na Party destroyed Goguryeo.,,,,,
302,an inferiority complex,,,,,
303,Silla allied with the Tang Dynasty and conquered Baekje and Goguryeo,,,,,
304,I don't know,,,,,
305,He united under the help of the party,,,,,
306,He beat the rest of the world except for Silla,,,,,
307,Silla united with the Party to destroy Baekje and Goguryeo.,,,,,
308,I wiped it all out with the alliance of the ruling parties,,,,,
309,Silla beats each country to win,,,,,
310,"The Tang Dynasty and Silla formed an alliance to destroy Baekje and then Goguryeo.Next time, when the party tried to take over Silla, it joined forces with Baekje and Goguryeo's Confucian scholars and Maesoseong",,,,,
311,"Silla won the battle of the gibeolpo.""",,,,,
312,"Tang and Silla formed a party alliance to honor Baekje and destroy GoguryeoWhen the party tried to take over Silla, Silla won the battle of Maesoseong Gibyeolpo.",,,,,
313,The Tang Dynasty and Silla formed a Nadang alliance to destroy Baekje and then Goguryeo.,,,,,
314,"Next, when the party tried to take over Silla, Silla won the battle of Maesoseong Gibyeolpo and unified the three kingdoms.""",,,,,
315,"After Silla and the Tang Dynasty formed a Nadang alliance, Baekje and Goguryeo were destroyed",,,,,
316,"""The Tang Dynasty tried to take over Silla, but they joined forces with Baekje and Goguryeo's Confucian scholars to win the Battle of Baeso",,,,,
317,Silla and the Tang Dynasty formed a Nadang alliance and destroyed Baekje and Goguryeo.,,,,,
318,"When the Tang Dynasty tried to take over Silla, it joined forces with Baekje and Goguryeo residents to win the Battle of Kibyeolpo in Maesoseong Fortress.""",,,,,
319,"After Silla and the Tang Dynasty formed a Nadang alliance, Baekje and Goguryeo were destroyed",,,,,
320,"When the Tang Dynasty tried to take over Silla, Baekje and Goguryeo residents joined forces",,,,,
321,"We won the Battle of Maesosho's Starfleet!""",,,,,
322,Silla allied with Tang and destroyed Goguryeo. The battle was the Battle of Anxi Province,,,,,
323,"""Kim Chun-chu moves to Tang and takes his son, Beop-min (later King Munmu), as a hostage to form the Nadang AllianceIn 660, Baekje was destroyed, and Goguryeo was destroyed in 668, and the party later established Woongjin Dojubu, Andong Dojobu, and Gyerim Dojubu in Silla. In other words, he expressed his ambition to actually rule the Korean Peninsula.",,,,,
324,"In the process, the ""Nadang War"" broke out, and Silla drove the Tang army from Maecho Castle and the Gui navy from Gibeolpo to achieve the unification of the Three Kingdoms.",,,,,
325,"""",,,,,
326,Silla and the Tang Dynasty unite to capture Baekje and destroy Goguryeo.,,,,,
327,"When the Tang Dynasty tried to take over the Korean Peninsula, Silla fought against the Tang Dynasty and won.""",,,,,
328,"Silla and the Tang Dynasty united to destroy Baekje and Goguryeo and the Tang Dynasty tried to take over Silla, and Silla fought and Silla won.",,,,,
329,"After establishing an alliance with Silla, Baekje and Goguryeo were destroyed. When the Tang Dynasty tried to take over Silla, he joined forces with Baekje and Goguryeo residents to win the Battle of Gibeolpo in Maesoseong Fortress.",,,,,
330,ìëëê°ë¹ëëê°íê³  ìì ì¡ê³ ëìëìí´ìë½ë°ë°íê³¨ì´ãëª¨ëã£ãã¹í¨ãí¼ãããëê¾¸ììì´ì´ì´ììì¼ììììììãí´ì ì´ê²¼ëììë² ë² ë² ,,,,,
331,"After Silla and the Tang Dynasty formed a Na Party alliance, Baekje and Goguryeo were destroyed.When the Tang Dynasty tried to take over Silla, they joined forces with Baekje and Goguryeo residents to win the Battle of Maesoseong Beulpo.",,,,,
332,Silla swept away the three kingdoms by war.,,,,,
333,This is because Silla won all the wars.,,,,,
334,"After Silla and the Tang Dynasty formed a Nadang alliance, Baekje and Goguryeo were destroyed.When the Tang Dynasty tried to take over Silla, it joined forces with Baekje and Goguryeo residents to win the Battle of Gibeolpo in Maesoseong Fortress.",,,,,
335,Silla won the war,,,,,
336,"After Silla's occupation of Baekje, the Tang Dynasty, which wanted to take over the Korean Peninsula, and Silla, which wanted to secure the southern line of the Daedong River, collided head-on, and eventually the Nadang War began.",,,,,
337,Because Silla won the war?,,,,,
338,Goguryeo unified Baekje and Silla like the Tang Dynasty,,,,,
339,"Silla and the Tang Dynasty defeated Baekje and Goguryeo and unified the Three Kingdoms, and Silla defeated the Tang Dynasty and unified the Three Kingdoms",,,,,
340,"It united with the Tang Dynasty, attacked Baekje and destroyed it, and defeated the party that tried to attack Silla by attacking the war-torn Goguryeo without mercy, and unified the three kingdoms.",,,,,
341,"When Baekje fell, Silla fought a war with Goguryeo and unified the three kingdoms",,,,,
342,"""Usually, it's called the Unified Silla Period",,,,,
343,"First, Silla and the Tang Dynasty invaded Baekje at the same time and peeled the daguri.",,,,,
344,"Later, Silla and the Tang attacked Goguryeo, but they blocked it.",,,,,
345,"But when the royal power and military power were lowered, and Yeongaesomun, who had stronger power than the king, died,",,,,,
346,"There was a power tattoo inside, so I didn't even care about the military.",,,,,
