,original,antonyms
0,cultivated,uncultured
1,cultivated,unrefined
0,dashed,cheerful
1,dashed,elated
0,debauched,clean
1,debauched,decent
0,debilitated,active
1,debilitated,energized
0,declared,
1,declared,
0,decollated,
1,decollated,
0,decorated,marred
1,decorated,unadorned
0,decried,approve
1,decried,praise
0,deferred,advanced
1,deferred,forwarded
0,deflected,stay
1,deflected,straighten
0,demoded,current
1,demoded,fresh
0,depraved,clean
1,depraved,decent
0,deranged,balanced
1,deranged,rational
0,derived,
1,derived,
0,deserved,incorrect
1,deserved,improper
0,designed,
1,designed,
0,detailed,careless
1,detailed,false
0,devoted,apathetic
1,devoted,dishonest
0,directed,
1,directed,vagrant
0,disclosed,closed
1,disclosed,concealed
0,disguised,bare
1,disguised,exposed
0,disgusted,activated
1,disgusted,fresh
0,displayed,
1,displayed,
0,disposed,disinclined
1,disposed,unwilling
0,distilled,
1,distilled,
0,dominated,
1,dominated,
0,done,incomplete
1,done,indefinite
0,doted,ignore
1,doted,insult
0,downhearted,cheered
1,downhearted,happy
0,drat,
1,drat,
0,drawn,fresh
1,drawn,relaxed
0,dressed,exposed
1,dressed,unclad
0,dried,
1,dried,
0,driven,
1,driven,
0,edged,
1,edged,
0,educated,ignorant
1,educated,inexperienced
0,employed,idle
1,employed,inactive
0,engraved,
1,engraved,
0,enlightened,ignorant
1,enlightened,stupid
0,established,indefinite
1,established,undecided
0,exposed,clothed
1,exposed,hidden
0,extricated,attach
1,extricated,connect
0,faceted,combine
1,faceted,unite
0,faded,fresh
1,faded,good
0,fainthearted,
1,fainthearted,
0,fallen,honorable
1,fallen,honored
0,falsehearted,honest
1,falsehearted,reliable
0,fancied,normal
1,fancied,reasonable
0,fated,
1,fated,
0,feared,
1,feared,
0,feathered,
1,feathered,
0,featured,
1,featured,
0,fed,empty
1,fed,hungry
0,filled,empty
1,filled,needy
0,finished,crude
1,finished,incomplete
0,fired,
1,fired,
0,fixed,insecure
1,fixed,loose
0,flashlight,
1,flashlight,
0,flavored,blandness
1,flavored,
0,flown,alive
1,flown,existing
0,fluted,flat
1,fluted,smooth
0,foghorn,
1,foghorn,
0,foliated,combine
1,foliated,join
0,forced,voluntary
1,forced,noncompulsory
0,forged,
1,forged,
0,fornicated,
1,fornicated,
0,forsaken,populated
1,forsaken,cherished
0,forthright,tactful
1,forthright,tricky
0,foulmouthed,
1,foulmouthed,
0,frightened,bold
1,frightened,brave
0,fronted,avoid
1,fronted,retreat
0,frost,
1,frost,
0,funneled,fail
1,funneled,lose
0,furnished,
1,furnished,
0,gated,
1,gated,
0,gauntleted,
1,gauntleted,
0,given,unaccustomed
1,given,
0,glued,careless
1,glued,inattentive
0,gob,individual
1,gob,one
0,gone,alive
1,gone,existing
0,grafted,
1,grafted,
0,greed,apathy
1,greed,dislike
0,grieved,calm
1,grieved,collected
0,hackneyed,fresh
1,hackneyed,new
0,halfhearted,enthusiastic
1,halfhearted,lively
0,halved,combine
1,halved,
0,haven,
1,haven,
0,heartbroken,
1,heartbroken,
0,heartfelt,aloof
1,heartfelt,apathetic
0,heaven,hell
1,heaven,misery
0,hit,
1,hit,
0,hoedown,
1,hoedown,
0,housemaid,
1,housemaid,
0,hued,aboveboard
1,hued,bland
0,impacted,
1,impacted,
0,incorporated,
1,incorporated,
0,indisciplined,calm
1,indisciplined,compliant
0,informed,ignorant
1,informed,uninformed
0,injured,
1,injured,
0,instructed,ignorant
1,instructed,stupid
0,interrupted,
1,interrupted,
0,involved,clear
1,involved,simple
0,ironhanded,democratic
1,ironhanded,
0,ironhearted,caring
1,ironhearted,concerned
0,irradiated,cloudy
1,irradiated,dark
0,jawed,
1,jawed,
0,knockdown,agreement
1,knockdown,harmony
0,known,uncommon
1,known,unfamiliar
0,knuckled,conquer
1,knuckled,decline
0,kraken,
1,kraken,
0,lagged,develop
1,lagged,enlarge
0,laid,confuse
1,laid,depart
0,laminated,
1,laminated,
0,learned,uneducated
1,learned,green
0,limited,unrestricted
1,limited,extroverted
0,listed,
1,listed,
0,lodged,impermanent
1,lodged,unfixed
0,lowborn,complex
1,lowborn,complicated
0,maculated,clean
1,maculated,elevate
0,maladjusted,
1,maladjusted,
0,malformed,perfect
1,malformed,regular
0,marbled,plain
1,marbled,
0,measured,unmethodical
1,measured,unsystematic
0,merited,inappropriate
1,merited,incorrect
0,misborn,genuine
1,misborn,real
0,misled,
1,misled,
0,mistaken,accurate
1,mistaken,correct
0,mold,
1,mold,
0,mown,
1,mown,
0,multifaceted,same
1,multifaceted,similar
0,multihued,uncolored
1,multihued,
0,nearsighted,
1,nearsighted,
0,newlywed,bridegroom
1,newlywed,groom
0,nominated,
1,nominated,
0,notified,
1,notified,
0,obvoluted,
1,obvoluted,
0,offset,approve
1,offset,disproportion
0,openmouthed,breathy
1,openmouthed,calm
0,organized,
1,organized,
0,outlaid,hoard
1,outlaid,neglect
0,outlined,
1,outlined,
0,ovated,
1,ovated,
0,overrefined,capable
1,overrefined,tireless
0,oversized,
1,oversized,
0,palsied,healthy
1,palsied,steady
0,panicked,
1,panicked,
0,peed,
1,peed,
0,peeved,happy
1,peeved,
0,pencilled,destroy
1,pencilled,ignore
0,perjured,honest
1,perjured,
0,persuaded,
1,persuaded,
0,perverted,clean
1,perverted,cleansed
0,petted,ignore
1,petted,let go
0,pied,uncolored
1,pied,
0,pigeonhearted,bold
1,pigeonhearted,brave
0,pinched,affluent
1,pinched,rich
0,pixilated,
1,pixilated,
0,plagued,disenchanted
1,plagued,indifferent
0,plied,disregard
1,plied,ignore
0,plugged,forgotten
1,plugged,suppressed
0,poised,humble
1,poised,meek
0,poked,
1,poked,
0,possessed,normal
1,possessed,
0,potbellied,skinny
1,potbellied,slight
0,pouched,cave in
1,pouched,depress
0,precedented,illegal
1,precedented,illegitimate
0,preconceived,clean
1,preconceived,fresh
0,preoccupied,bored
1,preoccupied,disenthralled
0,prepared,unable
1,prepared,disinclined
0,priced,
1,priced,
0,pried,ignore
1,pried,neglect
0,professed,
1,professed,
0,punctated,
1,punctated,
0,put,confuse
1,put,displace
0,quarried,bury
1,quarried,
0,quilted,
1,quilted,
0,ragged,complete
1,ragged,even
0,raised,lowered
1,raised,reduced
0,ramped,
1,ramped,
0,rated,
1,rated,
0,rattled,clear
1,rattled,oriented
0,raven,bright
1,raven,sunny
0,reawaken,bore
1,reawaken,calm
0,reconstructed,broken
1,reconstructed,
0,rectified,broken
1,rectified,damaged
0,reeled,stabilize
1,reeled,steady
0,refined,harsh
1,refined,imprecise
0,refracted,beautify
1,refracted,rise
0,regulated,indefinite
1,regulated,unfixed
0,related,alien
1,related,dissimilar
0,removed,established
1,removed,ignored
0,reposed,do
1,reposed,energize
0,resolved,changeable
1,resolved,flexible
0,restrained,communicative
1,restrained,extroverted
0,retorted,ask
1,retorted,question
0,revered,disliked
1,revered,despised
0,Revised,kept
1,Revised,
0,revoluted,
1,revoluted,
0,risen,descend
1,risen,calm
0,roast,praise
1,roast,
0,rosed,pale
1,rosed,whiten
0,rounded,
1,rounded,
0,run,continuity
1,run,standing
0,saved,insecure
1,saved,unprotected
0,scattered,connected
1,scattered,together
0,scrabbled,retreat
1,scrabbled,rest
0,scribbled,
1,scribbled,
0,seen,implicit
1,seen,obscure
0,selected,
1,selected,
0,setdown,
1,setdown,
0,settled,
1,settled,
0,shaken,
1,shaken,
0,shaved,mend
1,shaved,sew
0,shaven,hairy
1,shaven,hirsute
0,sheathed,exposed
1,sheathed,unclad
0,shied,face
1,shied,meet
0,shown,concealed
1,shown,covered
0,situated,indefinite
1,situated,unfixed
0,sized,ignore
1,sized,neglect
0,slighted,complimented
1,slighted,flattered
0,softhearted,
1,softhearted,
0,sold,
1,sold,
0,spangled,bare
1,spangled,empty
0,spelldown,
1,spelldown,
0,spirited,afraid
1,spirited,apathetic
0,spitted,
1,spitted,
0,spotted,
1,spotted,
0,sprinkled,connected
1,sprinkled,together
0,stayed,antique
1,stayed,early
0,stealth,
1,stealth,
0,stolen,
1,stolen,
0,stouthearted,
1,stouthearted,
0,straw,
1,straw,
0,striated,convex
1,striated,earnest
0,stricken,unaffected
1,stricken,
0,studied,natural
1,studied,spontaneous
0,subdued,cheerful
1,subdued,happy
0,sugared,unsavory
1,sugared,acid
0,superimposed,
1,superimposed,
0,superposed,lay bare
1,superposed,reveal
0,supposed,
1,supposed,
0,swayed,autonomous
1,swayed,capricious
0,swollen,deflated
1,swollen,shrunken
0,syncopated,amplify
1,syncopated,enlarge
0,tagged,
1,tagged,
0,taken,
1,taken,
0,taled,subtract
1,taled,estimate
0,targeted,follow
1,targeted,ignore
0,tenderhearted,
1,tenderhearted,
0,tented,
1,tented,
0,tessellated,
1,tessellated,
0,thaw,coagulate
1,thaw,solidify
0,thrown,
1,thrown,
0,tied,
1,tied,
0,timbered,
1,timbered,
0,tipped,
1,tipped,
0,titled,
1,titled,
0,torn,OK
1,torn,fixed
0,transported,
1,transported,
0,trapped,
1,trapped,
0,travelled,discourage
1,travelled,dissuade
0,truehearted,deceptive
1,truehearted,dishonest
0,twigged,neglect
1,twigged,avoid
0,twinned,disconnect
1,twinned,disjoin
0,twisted,clear
1,twisted,even
0,uncompleted,full
1,uncompleted,dirty
0,unconcerned,anxious
1,unconcerned,caring
0,unconfined,
1,unconfined,
0,uncontaminated,corrupt
1,uncontaminated,defiled
0,uncorrupted,
1,uncorrupted,
0,underived,accessory
1,underived,auxiliary
0,undimmed,cloudy
1,undimmed,rainy
0,unembellished,adorned
1,unembellished,decorated
0,unenslaved,enslaved
1,unenslaved,occupied
0,unexpurgated,
1,unexpurgated,
0,unperfected,
1,unperfected,
0,unpledged,aligned
1,unpledged,attached
0,unsated,contented
1,unsated,happy
0,unstowed,assign
1,unstowed,dam
0,unvalued,delightful
1,unvalued,desirable
0,used,
1,used,
0,valued,cheap
1,valued,useless
0,variegated,like
1,variegated,same
0,vitiated,clean
1,vitiated,honorable
0,walled,free
1,walled,loose
0,warbled,
1,warbled,
0,waved,straight
1,waved,
0,wedged,
1,wedged,
0,weighted,defective
1,weighted,deficient
0,weld,disconnect
1,weld,divide
0,wholehearted,disinterested
1,wholehearted,halfhearted
0,winged,
1,winged,
0,witched,bore
1,witched,depress
0,worsted,
1,worsted,
0,wraith,being
1,wraith,
0,writhed,straighten
1,writhed,
0,written,spoken
1,written,unwritten
