,original,antonyms
1,belt,
0,belted,free
1,belted,loose
0,bemused,bored
1,bemused,disinterested
0,benighted,learned
1,benighted,
0,benumbed,
1,benumbed,
0,bepaid,disallow
1,bepaid,lose
0,berthed,ascend
1,berthed,take off
0,besotted,
1,besotted,
0,bespoke,
1,bespoke,
0,bestrew,collect
1,bestrew,gather
0,bethought,disregard
1,bethought,forget
0,betrothed,
1,betrothed,
0,beveled,
1,beveled,
0,bevelled,lie
1,bevelled,neglect
0,bewhiskered,
1,bewhiskered,
0,bewildered,aware
1,bewildered,clear
0,bibliognost,
1,bibliognost,
0,biddy,
1,biddy,
0,biflected,straight
1,biflected,
0,bifurcated,joined
1,bifurcated,
0,bighearted,mean
1,bighearted,
0,bigmouthed,
1,bigmouthed,
0,bigoted,broad-minded
1,bigoted,fair
0,billed,
1,billed,
0,biped,
1,biped,
0,birdy,sane
1,birdy,
0,bistered,
1,bistered,
0,bitted,advance
1,bitted,aid
0,biz,entertainment
1,biz,fun
0,blackhearted,auspicious
1,blackhearted,good
0,blade,
1,blade,
0,blamed,
1,blamed,
0,blanked,encourage
1,blanked,fail
0,blanketed,free
1,blanketed,let go
0,blasted,
1,blasted,
0,bleached,dark
1,bleached,brunet
0,bleared,bright
1,bleared,clear
0,bleed,
1,bleed,
0,blended,clean
1,blended,honorable
0,blessed,cursed
1,blessed,condemned
0,blight,cleanliness
1,blight,goodness
0,blinded,steady
1,blinded,clear
0,blistered,
1,blistered,
0,bloated,deflated
1,bloated,shrunken
0,blobbed,shrink
1,blobbed,tighten
0,blockade,beginning
1,blockade,opening
0,blocked,bare
1,blocked,bright
0,blockheaded,
1,blockheaded,
0,bloke,
1,bloke,
0,blooded,
1,blooded,
0,bloodied,pleasing
1,bloodied,closed
0,bloodshed,peace
1,bloodshed,
0,bloodstained,
1,bloodstained,
0,blotched,
1,blotched,
0,bludgeoned,assure
1,bludgeoned,calm
0,blurred,bright
1,blurred,clear
0,blurt,be quiet
1,blurt,conceal
0,bobbed,
1,bobbed,
0,bobsled,
1,bobsled,
0,boiled,rare
1,boiled,raw
0,bold,afraid
1,bold,cautious
0,bombed,sober
1,bombed,straight
0,bombsight,loser
1,bombsight,owner
0,bonded,free
1,bonded,liberated
0,boned,aid
1,boned,assist
0,boneheaded,
1,boneheaded,
0,booked,free
1,booked,liberated
0,booted,
1,booted,
0,boozed,sober
1,boozed,straight
0,bordered,free
1,bordered,loose
0,bossed,lousy
1,bossed,terrible
0,botched,OK
1,botched,accurate
0,botryose,
1,botryose,
0,bottled,
1,bottled,
0,bottomed,destroy
1,bottomed,activate
0,bought,given away
1,bought,pawned
0,bounded,free
1,bounded,loose
0,bowed,
1,bowed,
0,boweled,protect
1,boweled,fill
0,braced,broken
1,braced,infirm
0,braided,straight
1,braided,
0,brambled,
1,brambled,
0,branched,undivided
1,branched,
0,branded,
1,branded,
0,brazenfaced,
1,brazenfaced,
0,breathed,hide
1,breathed,secret
0,brew,ingredient
1,brew,
0,bridled,impure
1,bridled,incontinent
0,bright,cloudy
1,bright,dark
0,brimmed,
1,brimmed,
0,bristled,be happy
1,bristled,
0,broke,rich
1,broke,solvent
0,bronzed,pale
1,bronzed,
0,brooked,
1,brooked,
0,brought,avoid
1,brought,disenchant
0,brushed,
1,brushed,
0,bucked,apathetic
1,bucked,cloudy
0,buckled,
1,buckled,
0,buffed,
1,buffed,
0,bulked,decline
1,bulked,fall
0,bulldogged,broken
1,bulldogged,ceasing
0,bullheaded,easygoing
1,bullheaded,
0,bummed,healthy
1,bummed,good
0,bunted,
1,bunted,
0,buried,bare
1,buried,exposed
0,burned,
1,burned,
0,burred,note
1,burred,pay attention
0,bushed,energized
1,bushed,fresh
0,busied,ignore
1,busied,bore
0,busted,
1,busted,
0,bustled,calm
1,bustled,calmness
0,buttered,
1,buttered,disenchant
0,butterfingered,
1,butterfingered,
0,buttoned,disjoin
1,buttoned,open
0,cabled,
1,cabled,
0,cadenced,
1,cadenced,
0,caged,disillusioned
1,caged,free
0,calcified,flexible
1,calcified,indefinite
0,calcined,extinguish
1,calcined,freeze
0,calculated,
1,calculated,
0,came,
1,came,
0,cankered,blessing
1,cankered,boon
0,canned,
1,canned,
0,canted,level
1,canted,straight
0,cantoned,depart
1,cantoned,go
0,capped,bare
1,capped,exposed
0,carded,conceal
1,carded,deny
0,careworn,colorful
1,careworn,fat
0,carried,
1,carried,
0,cased,
1,cased,
0,cassonade,
1,cassonade,
0,cast,catch
1,cast,keeping
0,castled,continue
1,castled,deny
0,cataracted,trickle
1,cataracted,cease
0,catchweed,
1,catchweed,
0,caught,
1,caught,
0,celebrated,
1,celebrated,inglorious
0,centered,aboveboard
1,centered,flighty
0,chained,free
1,chained,liberated
0,chambered,cramped
1,chambered,little
0,channeled,closure
1,channeled,denial
0,channelled,flat
1,channelled,smooth
0,chapped,gentle
1,chapped,nice
0,chartered,illegal
1,chartered,illegitimate
0,chattiness,
1,chattiness,
0,checked,developed
1,checked,aggressive
0,checkered,
1,checkered,
0,cheered,
1,cheered,
0,chickenhearted,
1,chickenhearted,
0,chilled,hot
1,chilled,mild
0,chinned,be quiet
1,chinned,conceal
0,chipped,fix
1,chipped,mend
0,chiseled,
1,chiseled,
0,choke,free
1,choke,let go
0,chopped,join
1,chopped,unite
0,chose,abstain
1,chose,disallow
0,christened,
1,christened,
0,circled,let go
1,circled,exclude
0,circumscribed,free
1,circumscribed,loose
0,circumstanced,join
1,circumstanced,
0,cisterna,
1,cisterna,
0,clammed,allow
1,clammed,encourage
0,clank,
1,clank,
0,clapped,failure
1,clapped,loss
0,clawed,
1,clawed,
0,cleanhanded,guilty
1,cleanhanded,immoral
0,clearheaded,
1,clearheaded,
0,cloaked,
1,cloaked,
0,clocked,ignore
1,clocked,neglect
0,cloistered,seen
1,cloistered,free
0,closed,beginning
1,closed,continuing
0,closehanded,
1,closehanded,
0,clouded,untroubled
1,clouded,
0,clouted,
1,clouted,
0,clustered,like
1,clustered,same
0,cobbed,begin
1,cobbed,disregard
0,cockeyed,level
1,cockeyed,straight
0,cockled,enlarge
1,cockled,expand
0,cocklight,
1,cocklight,
0,coiled,
1,coiled,
0,coke,original
1,coke,
0,cold,hot
1,cold,mild
0,coldhearted,considerate
1,coldhearted,kind
0,collared,
1,collared,
0,collected,agitated
1,collected,disorganized
0,colored,genuine
1,colored,honest
0,combed,disorder
1,combed,disorganize
0,compacted,denied
1,compacted,undone
0,complected,straighten
1,complected,untwist
0,complicated,easy
1,complicated,facile
0,composed,agitated
1,composed,nervous
0,compressed,empty
1,compressed,loose
0,concealed,bare
1,concealed,clear
0,conceded,denied
1,conceded,prohibited
0,conceited,diffident
1,conceited,humble
0,concentrated,weak
1,concentrated,incomplete
0,concerted,disarranged
1,concerted,disordered
0,condemned,
1,condemned,
0,condensed,lengthy
1,condensed,long
0,coned,
1,coned,
0,confined,healthy
1,confined,well
0,confirmed,
1,confirmed,
0,confounded,clear
1,confounded,
0,congested,empty
1,congested,clear
0,conjoined,accidental
1,conjoined,chance
0,conjugated,detach
1,conjugated,disconnect
0,connected,disconnected
1,connected,disjoined
0,consecrated,
1,consecrated,
0,considered,disregarded
1,considered,forgotten
0,contorted,straight
1,contorted,
0,contracted,free
1,contracted,liberated
0,converted,
1,converted,
0,convexed,straighten
1,convexed,stay
0,convinced,
1,convinced,
0,convoke,cancel
1,convoke,disperse
0,convoluted,direct
1,convoluted,simple
0,coolheaded,careless
1,coolheaded,foolish
0,copied,
1,copied,
0,corded,loose
1,corded,loosen
0,corked,aid
1,corked,allow
0,corkscrew,straight
1,corkscrew,
0,cornered,
1,cornered,
0,corrected,
1,corrected,
0,corrupted,
1,corrupted,
0,couched,
1,couched,
0,counterstroke,forgiveness
1,counterstroke,pardon
0,countrified,
1,countrified,
0,coupled,
1,coupled,
0,coursed,dally
1,coursed,dawdle
0,covenanted,disagreement
1,covenanted,denial
0,covered,bare
1,covered,exposed
0,cowhearted,bold
1,cowhearted,brave
0,cowled,
1,cowled,
0,crabbed,
1,crabbed,
0,crackbrained,OK
1,crackbrained,balanced
0,cracked,OK
1,cracked,fixed
0,crackled,fix
1,crackled,
0,cragged,
1,cragged,
0,cramped,big
1,cramped,broad-minded
0,crannied,connected
1,crannied,fixed
0,crazed,balanced
1,crazed,calm
0,crenated,
1,crenated,
0,crept,
1,crept,
0,crested,fall
1,crested,hit bottom
0,cried,be happy
1,cried,please
0,crisped,rare
1,crisped,raw
0,crooked,straight
1,crooked,unbent
0,crossbred,alike
1,crossbred,like
0,crotched,straight
1,crotched,
0,crouched,big
1,crouched,enormous
0,crowded,deserted
1,crowded,empty
0,crowned,disappointed
1,crowned,incomplete
0,crucified,please
1,crucified,soothe
0,crumpled,flat
1,crumpled,smooth
0,crushed,clear
1,crushed,oriented
0,crutched,undermine
1,crutched,weaken
0,cultured,ignorant
1,cultured,rude
0,curled,straight
1,curled,uncurled
0,curried,
1,curried,
0,cursed,blessed
1,cursed,great
0,curtailed,enduring
1,curtailed,lasting
0,curved,straight
1,curved,
0,cushioned,
1,cushioned,
0,cusped,
1,cusped,
0,cussed,happy
1,cussed,nice
0,cut,
1,cut,
0,damned,good
1,damned,nice
0,damped,dehydrate
1,damped,dry
0,dang,admirable
1,dang,cherished
0,dappled,uncolored
1,dappled,
0,darned,
1,darned,
0,dazed,oriented
1,dazed,understanding
0,deceased,current
1,deceased,existing
0,decided,indistinct
1,decided,obscure
0,decked,marred
1,decked,unadorned
0,declined,greater
1,declined,higher
0,decomposed,developing
1,decomposed,flourishing
0,decussated,
1,decussated,
0,defamed,complimented
1,defamed,flattered
0,defiled,clean
1,defiled,pure
0,defined,careless
1,defined,counterfeit
0,deformed,OK
1,deformed,straight
0,deft,awkward
1,deft,clumsy
0,degraded,
1,degraded,
0,dejected,cheerful
1,dejected,elated
0,delighted,bored
1,delighted,depressed
0,demented,OK
1,demented,balanced
0,departed,
1,departed,
0,deplored,approve
1,deplored,be happy
0,depressed,cheerful
1,depressed,glad
0,deserted,cheerful
1,deserted,filled
0,desired,evil
1,desired,improper
0,detached,attached
1,detached,biased
0,determined,irresolute
1,determined,undetermined
0,deviled,aid
1,deviled,delight
0,did,abandon
1,did,abstain
0,diffused,connected
1,diffused,together
0,digested,build
1,digested,maintain
0,dignified,common
1,dignified,ignoble
0,dilapidated,OK
1,dilapidated,good
0,dilated,compressed
1,dilated,contracted
0,diluted,strong
1,diluted,concentrated
0,dimmed,agitated
1,dimmed,boisterous
0,dipped,
1,dipped,
0,disaffected,contented
1,disaffected,happy
0,disagreed,agree
1,disagreed,approve
0,disappointed,calm
1,disappointed,cheerful
0,disarmed,healthy
1,disarmed,able
0,discalced,shod
1,discalced,
0,discolored,uncolored
1,discolored,
0,discomposed,balanced
1,discomposed,calm
0,disconcerted,happy
1,disconcerted,settled
0,disconnected,attached
1,disconnected,connected
0,discontented,contented
1,discontented,happy
0,discovered,hidden
1,discovered,lost
0,diseased,healthy
1,diseased,hearty
0,disengaged,
1,disengaged,
0,dished,be quiet
1,dished,conceal
0,disheveled,clean
1,disheveled,neat
0,disimpassioned,agitated
1,disimpassioned,nervous
0,disinterested,biased
1,disinterested,concerned
0,disjointed,coherent
1,disjointed,connected
0,dislocated,clear
1,dislocated,coherent
0,dismembered,perfect
1,dismembered,unbroken
0,disordered,clear
1,disordered,coherent
0,dispersed,concentrated
1,dispersed,condensed
0,dispirited,cheerful
1,dispirited,elated
0,displeased,gratified
1,displeased,happy
0,dispositioned,
1,dispositioned,
0,disquieted,bold
1,disquieted,brave
0,dissatisfied,contented
1,dissatisfied,happy
0,dissected,combine
1,dissected,connect
0,dissipated,restored
1,dissipated,saved
0,distasted,
1,distasted,
0,distempered,aid
1,distempered,alleviate
0,distinguished,infamous
1,distinguished,insignificant
0,distorted,straight
1,distorted,
0,distracted,
1,distracted,
0,distressed,calm
1,distressed,cool
0,distributed,
1,distributed,
0,disturbed,methodical
1,disturbed,neat
0,diversified,like
1,diversified,similar
0,divided,undivided
1,divided,
0,doddered,steady
1,doddered,
0,dogfight,accord
1,dogfight,agreement
0,dogged,irresolute
1,dogged,surrendering
0,doggoned,
1,doggoned,
0,donated,blaming
1,donated,censuring
0,dose,
1,dose,
0,dotted,
1,dotted,
0,doubled,lone
1,doubled,single
0,dovetailed,clash
1,dovetailed,differ
0,dozed,awakening
1,dozed,consciousness
0,dragged,cheerful
1,dragged,elated
0,drained,energized
1,drained,full
0,dratted,admirable
1,dratted,cherished
0,drearisome,bright
1,drearisome,cheerful
0,drew,grow
1,drew,plant
0,drove,
1,drove,
0,dwelled,move
1,dwelled,advance
0,elated,depressed
1,elated,disappointed
0,elbowed,line
1,elbowed,
0,eldership,disadvantage
1,eldership,inferiority
0,elevated,depressed
1,elevated,dishonorable
0,elongated,shortened
1,elongated,
0,embarrassed,composed
1,embarrassed,
0,embattled,
1,embattled,
0,embed,ascend
1,embed,rise
0,embowed,
1,embowed,
0,enamored,disenchanted
1,enamored,hating
0,endeared,disliked
1,endeared,despised
0,ended,
1,ended,
0,endorsed,disapproved
1,endorsed,discouraged
0,enfilade,
1,enfilade,
0,enfold,abandon
1,enfold,exclude
0,enforced,
1,enforced,
0,engaged,available
1,engaged,disengaged
0,engrossed,existing
1,engrossed,idle
0,enhanced,marred
1,enhanced,unadorned
0,enjoyer,seller
1,enjoyer,marketer
0,enlarged,compressed
1,enlarged,contracted
0,enlisted,
1,enlisted,
0,ennead,
1,ennead,
0,enraged,calm
1,enraged,cheerful
0,enrolled,
1,enrolled,
0,entangled,
1,entangled,
0,enthusiast,adversary
1,enthusiast,enemy
0,envied,abjure
1,envied,dislike
0,erased,alive
1,erased,living
0,eroded,flexible
1,eroded,pliable
0,esplanade,
1,esplanade,
0,evenhanded,biased
1,evenhanded,partial
0,evoke,calm
1,evoke,deaden
0,exaggerated,actual
1,exaggerated,believable
0,exalted,lowly
1,exalted,subordinate
0,exasperated,calm
1,exasperated,happy
0,excited,apathetic
1,excited,calm
0,executed,incomplete
1,executed,unfinished
0,exhausted,able
1,exhausted,active
0,expanded,concentrated
1,expanded,condensed
0,expedited,delay
1,expedited,hinder
0,experimented,
1,experimented,
0,exploded,mend
1,exploded,implode
0,expressed,
1,expressed,
0,extended,abbreviated
1,extended,abridged
0,extinguished,alive
1,extinguished,existing
0,extracted,
1,extracted,
0,eyed,
1,eyed,
0,fabled,unheard of
1,fabled,unknown
0,facade,reality
1,facade,truth
0,faced,sober
1,faced,straight
0,facet,back
1,facet,rear
0,fade,brighten
1,fade,darken
0,fanfaronade,
1,fanfaronade,
0,fantasied,break
1,fantasied,destroy
0,farsighted,foolish
1,farsighted,stupid
0,fascinated,bored
1,fascinated,indifferent
0,fashioned,
1,fashioned,
0,fatheaded,intelligent
1,fatheaded,smart
0,fathered,destroy
1,fathered,end
0,favored,disfavored
1,favored,unpopular
0,featherbed,
1,featherbed,
0,featherbrained,
1,featherbrained,
0,feigned,genuine
1,feigned,real
0,fell,raise
1,fell,aid
0,felt,
1,felt,
0,fetched,
1,fetched,
0,fielded,sky
1,fielded,
0,figured,
1,figured,
0,fingered,ignore
1,fingered,manhandle
0,finialed,
1,finialed,
0,firmament,hell
1,firmament,
0,fished,
1,fished,
0,fitted,ill-equipped
1,fitted,inappropriate
0,flagellated,lose
1,flagellated,
0,flamed,
1,flamed,
0,flanked,free
1,flanked,loose
0,flawed,proper
1,flawed,suitable
0,fled,
1,fled,
0,fleeced,full
1,fleeced,happy
0,flew,remain
1,flew,slow
0,flighted,face
1,flighted,meet
0,flit,decelerate
1,flit,delay
0,flooded,
1,flooded,
0,floodlight,
1,floodlight,
0,flowered,bare
1,flowered,empty
0,flurried,aid
1,flurried,appease
0,fogged,
1,fogged,
0,fold,line
1,fold,
0,folded,beginning
1,folded,continuing
0,footed,deny
1,footed,deprive
0,foothold,
1,foothold,
0,footlight,tragedy
1,footlight,comedy
0,footnoted,
1,footnoted,confuse
0,forbade,add
1,forbade,admit
0,forenamed,
1,forenamed,
0,foresighted,
1,foresighted,
0,forested,
1,forested,
0,forethought,carelessness
1,forethought,ignorance
0,forgot,carry
1,forgot,learn
0,forked,joined
1,forked,
0,formed,
1,formed,
0,formulaic,
1,formulaic,
0,fortnight,eternity
1,fortnight,
0,fortuned,join
1,fortuned,
0,found,break
1,found,complete
0,foxhound,
1,foxhound,
0,fragmented,perfect
1,fragmented,unbroken
0,framed,
1,framed,
0,fratricidal,
1,fratricidal,
0,frayed,complete
1,frayed,even
0,freckled,plain
1,freckled,
0,freed,
1,freed,
0,freehanded,
1,freehanded,
0,frenched,
1,frenched,
0,frenzied,balanced
1,frenzied,calm
0,fretted,colorful
1,fretted,fat
0,fried,
1,fried,
0,fright,calm
1,fright,confidence
0,frilled,darken
1,frilled,dull
0,fringed,
1,fringed,
0,frosted,hot
1,frosted,warm
0,froze,heat
1,froze,warm
0,fruited,begin
1,fruited,commence
0,fullmouthed,calm
1,fullmouthed,dull
0,funded,advanced
1,funded,forwarded
0,fungi,cleanliness
1,fungi,goodness
0,fused,
1,fused,
0,fusillade,
1,fusillade,
0,gadded,
1,gadded,
0,galled,calm
1,galled,happy
0,gambade,
1,gambade,
0,gardened,abandon
1,gardened,destroy
0,garnished,marred
1,garnished,unadorned
0,gave,deny
1,gave,disallow
0,geared,disarrange
1,geared,disorder
0,gelidness,
1,gelidness,
0,geminated,
1,geminated,
0,gifted,dull
1,gifted,inept
0,gilded,
1,gilded,
0,gimped,run
1,gimped,
0,girlhood,adulthood
1,girlhood,infancy
0,glazed,dark
1,glazed,dull
0,glissade,ascend
1,glissade,correct
0,glom,freedom
1,glom,release
0,glossed,dullness
1,glossed,misinformation
0,gnarled,straight
1,gnarled,unbent
0,goateed,
1,goateed,
0,godhead,
1,godhead,
0,goggled,abhor
1,goggled,despise
0,goodhearted,
1,goodhearted,
0,gorged,empty
1,gorged,clear
0,got,avoid
1,got,disallow
0,gourmet,
1,gourmet,
0,graded,
1,graded,
0,graduated,
1,graduated,
0,granulated,build
1,granulated,
0,gratified,depressed
1,gratified,unhappy
0,graved,
1,graved,
0,greathearted,mean
1,greathearted,selfish
0,grew,cease
1,grew,compress
0,grilled,answer
1,grilled,
0,grizzled,
1,grizzled,
0,grounded,heedless
1,grounded,ignorant
0,grouped,separate
1,grouped,unshared
0,grubbed,
1,grubbed,
0,guarded,bold
1,guarded,careless
0,guilt,happiness
1,guilt,honor
0,gummed,
1,gummed,loose
0,habited,disrobe
1,habited,open
0,hacked,bold
1,hacked,brave
0,had,informed
1,had,trusted
0,haggardness,
1,haggardness,
0,haircut,
1,haircut,
0,hallowed,irreligious
1,hallowed,unholy
0,ham,
1,ham,
0,handed,receive
1,handed,hold
0,handicapped,aided
1,handicapped,helped
0,handled,
1,handled,
0,hardfisted,
1,hardfisted,
0,hardhanded,
1,hardhanded,
0,hardheaded,irrational
1,hardheaded,stupid
0,hardhearted,compassionate
1,hardhearted,kind
0,harebrained,brainy
1,harebrained,intelligent
0,harefooted,careful
1,harefooted,cautious
0,harmattan,
1,harmattan,
0,hartshorn,
1,hartshorn,
0,hatred,admiration
1,hatred,approval
0,hawked,buy
1,hawked,pull
0,hayseed,
1,hayseed,
0,head,auxiliary
1,head,extra
0,headed,disembarked
1,headed,landed
0,headlight,
1,headlight,
0,heavyhanded,able
1,heavyhanded,capable
0,heavyweight,skinny
1,heavyweight,slender
0,heed,disdain
1,heed,disinterest
0,heeled,
1,heeled,
0,heft,
1,heft,
0,height,base
1,height,bottom
0,helmed,discourage
1,helmed,dissuade
0,hexagon,
1,hexagon,
0,hi,adios
1,hi,au revoir
0,highbred,
1,highbred,
0,highhanded,circumspect
1,highhanded,democratic
0,highlight,
1,highlight,
0,hindsight,ignorance
1,hindsight,
0,hired,idle
1,hired,
0,hogged,
1,hogged,
0,honeycombed,close
1,honeycombed,close up
0,honeyed,
1,honeyed,
0,honied,
1,honied,disenchant
0,hooded,
1,hooded,
0,hoofed,
1,hoofed,
0,hooked,
1,hooked,
0,hoped,abandon
1,hoped,disbelieve
0,hopped,allow
1,hopped,permit
0,horned,blunt
1,horned,dull
0,hosed,dry
1,hosed,thirsty
0,hotbed,exterior
1,hotbed,exteriority
0,hotheaded,
1,hotheaded,
0,housebroke,give
1,housebroke,give up
0,hove,decrease
1,hove,depress
0,humpbacked,OK
1,humpbacked,straight
0,hunchbacked,OK
1,hunchbacked,straight
0,hundred,
1,hundred,
0,hurled,hold
1,hurled,keep
0,hurried,calm
1,hurried,delayed
0,husked,
1,husked,
0,hymn,
1,hymn,
0,iced,hot
1,iced,mild
0,icicled,amicable
1,icicled,friendly
0,illuminated,
1,illuminated,
0,imbed,detach
1,imbed,disconnect
0,imbricated,
1,imbricated,
0,impassioned,apathetic
1,impassioned,calm
0,inbred,
1,inbred,
0,inched,advance
1,inched,complete
0,included,excluded
1,included,left out
0,indebted,thankless
1,indebted,unappreciative
0,indented,
1,indented,
0,indentured,
1,indentured,
0,indexed,
1,indexed,
0,inexperienced,experienced
1,inexperienced,mature
0,infected,clean
1,infected,pure
0,inflamed,
1,inflamed,
0,inflated,shrunken
1,inflated,abbreviated
0,inflected,straighten
1,inflected,stay
0,infrared,
1,infrared,
0,ingot,
1,ingot,
0,ingrained,acquired
1,ingrained,extrinsic
0,inhabited,
1,inhabited,
0,inspired,
1,inspired,
0,insulated,seen
1,insulated,free
0,intended,unfixed
1,intended,
0,interallied,disconnected
1,interallied,uncombined
0,interlaced,unwoven
1,interlaced,
0,intermitted,
1,intermitted,
0,interrelated,different
1,interrelated,dissimilar
0,intoxicated,sober
1,intoxicated,sad
0,inured,abnormal
1,inured,unaccustomed
0,inversed,continue
1,inversed,grow
0,invoke,answer
1,invoke,give
0,involuted,
1,involuted,
0,inwrought,auxiliary
1,inwrought,minor
0,irised,
1,irised,
0,ironfisted,
1,ironfisted,
0,isolated,close
1,isolated,open
0,jabbed,pull
1,jabbed,
0,jacketed,disrobe
1,jacketed,open
0,jaded,fresh
1,jaded,unused
0,jagged,continuous
1,jagged,even
0,japanned,dull
1,japanned,reveal
0,jellied,liquid
1,jellied,
0,jetted,land
1,jetted,remain
0,jihad,halt
1,jihad,stoppage
0,jingled,
1,jingled,
0,jointed,
1,jointed,
0,keeled,ascend
1,keeled,increase
0,keened,
1,keened,
0,kept,abandoned
1,kept,broken
0,khaki,
1,khaki,
0,kilt,
1,kilt,
0,kindhearted,mean
1,kindhearted,nasty
0,kindred,dissimilar
1,kindred,irrelevant
0,kiosk,
1,kiosk,
0,kismet,whole
1,kismet,
0,kitten,
1,kitten,
0,knelt,
1,knelt,
0,knew,ignore
1,knew,miss
0,knitted,
1,knitted,
0,knobbed,
1,knobbed,
0,knobby,
1,knobby,
0,knotted,straight
1,knotted,
0,knurled,
1,knurled,
0,kobold,angel
1,kobold,
0,kolkhoz,
1,kolkhoz,
0,labored,adroit
1,labored,clever
0,laced,sober
1,laced,straight
0,lacerated,OK
1,lacerated,happy
0,lade,dehydrate
1,lade,dirty
0,lamented,be happy
1,lamented,relieve
0,lanced,close
1,lanced,mend
0,landed,poor
1,landed,
0,lank,
1,lank,
0,lapped,
1,lapped,
0,lapsed,
1,lapsed,
0,laureated,
1,laureated,
0,lay,ordained
1,lay,professional
0,layered,
1,layered,
0,laze,do
1,laze,face
0,leafed,
1,leafed,
0,led,autonomous
1,led,capricious
0,left,right
1,left,
0,legged,lose
1,legged,obey
0,leisured,active
1,leisured,busy
0,lessen,develop
1,lessen,enlarge
0,lettered,ignorant
1,lettered,inexperienced
0,levee,
1,levee,
0,levelheaded,careless
1,levelheaded,foolish
0,licensed,refused
1,licensed,
0,lidded,bare
1,lidded,exposed
0,lied,
1,lied,
0,light,dark
1,light,dull
0,lightheaded,gloomy
1,lightheaded,miserable
0,lighthearted,depressed
1,lighthearted,down
0,lightweight,important
1,lightweight,significant
0,limelight,obscurity
1,limelight,
0,lined,
1,lined,
0,linked,
1,linked,
0,lionhearted,fearful
1,lionhearted,
0,lipped,
1,lipped,
0,lit,
1,lit,
0,lived,dead
1,lived,apathetic
0,liveried,disrobe
1,liveried,open
0,loaded,empty
1,loaded,unloaded
0,locked,
