,original,antonyms
0,commend,blame
1,commend,censure
0,commiseration,disdain
1,commiseration,indifference
0,commissionaire,receiver
1,commissionaire,
0,commutative,calm
1,commutative,constant
0,comparative,different
1,comparative,dissimilar
0,compare,imbalance
1,compare,aid
0,complain,accept
1,complain,agree
0,compositor,
1,compositor,
0,compulsive,apathetic
1,compulsive,indifferent
0,concave,convex
1,concave,distended
0,conclave,
1,conclave,
0,concordat,disagreement
1,concordat,discord
0,concretize,conceal
1,concretize,cover
0,condescend,contradict
1,condescend,decline
0,conferee,departure
1,conferee,disappearance
0,confusion,calm
1,confusion,peace
0,connotative,
1,connotative,
0,consanguinean,
1,consanguinean,
0,consensus,denial
1,consensus,disagreement
0,consider,disregard
1,consider,forget
0,consuetude,ignorance
1,consuetude,
0,contemplation,ignorance
1,contemplation,avoidance
0,continue,cease
1,continue,condemn
0,convene,disperse
1,convene,divide
0,converge,disperse
1,converge,scatter
0,cornerwise,
1,cornerwise,
0,corporeity,abstract
1,corporeity,concept
0,correct,biased
1,correct,false
0,correctitude,indecency
1,correctitude,rudeness
0,corroborative,
1,corroborative,
0,cortex,
1,cortex,
0,coterie,
1,coterie,
0,counterplay,forgiveness
1,counterplay,pardon
0,cove,
1,cove,
0,crap,assets
1,crap,possessions
0,crapshooter,
1,crapshooter,
0,crate,
1,crate,
0,crave,dislike
1,crave,have
0,crumby,clean
1,crumby,good
0,crunchy,
1,crunchy,
0,culm,
1,culm,
0,curiology,
1,curiology,
0,curlicue,line
1,curlicue,
0,curmudgeon,
1,curmudgeon,
0,cursive,clamorous
1,cursive,loud
0,dapifer,
1,dapifer,
0,daresay,disbelieve
1,daresay,disregard
0,deathwatch,
1,deathwatch,
0,deed,cessation
1,deed,failure
0,deem,disbelieve
1,deem,disregard
0,deify,condemn
1,deify,criticize
0,delete,accept
1,delete,add
0,denunciative,
1,denunciative,
0,deprave,clean
1,deprave,elevate
0,descend,ascend
1,descend,go up
0,despoil,build
1,despoil,clothe
0,diagnosis,
1,diagnosis,
0,dibs,
1,dibs,
0,dichotomize,combine
1,dichotomize,join
0,dinghy,
1,dinghy,
0,disbelieve,approve
1,disbelieve,believe
0,discommend,approve
1,discommend,commend
0,discursive,
1,discursive,
0,dismiss,accept
1,dismiss,allow
0,dispose,discourage
1,dispose,change
0,disrespect,courtesy
1,disrespect,humility
0,dissymmetry,
1,dissymmetry,
0,diverse,like
1,diverse,same
0,do,abandon
1,do,abstain
0,dolesome,cheery
1,dolesome,happy
0,domain,sky
1,domain,surrender
0,dome,
1,dome,
0,domesticize,let go
1,domesticize,
0,dominate,follow
1,dominate,lose
0,doxologize,
1,doxologize,
0,drear,bright
1,drear,cheerful
0,dreg,
1,dreg,
0,dude,enemy
1,dude,
0,duodena,
1,duodena,
0,earthwork,opening
1,earthwork,
0,eave,
1,eave,
0,echo,difference
1,echo,opposite
0,edge,bottom
1,edge,center
0,educe,decrease
1,educe,forfeit
0,effeminate,manly
1,effeminate,masculine
0,effusive,apathetic
1,effusive,disinterested
0,egad,
1,egad,
0,electorate,
1,electorate,
0,electrolier,
1,electrolier,
0,electroplate,
1,electroplate,
0,elegant,common
1,elegant,dull
0,elenchi,confirmation
1,elenchi,
0,elusive,definite
1,elusive,honest
0,emend,damage
1,emend,harm
0,emit,conceal
1,emit,hide
0,empathize,misinterpret
1,empathize,mistake
0,emulative,
1,emulative,
0,enamel,dullness
1,enamel,
0,enclave,submission
1,enclave,subordination
0,encroach,give
1,encroach,ignore
0,endwise,beginning
1,endwise,middle
0,engrave,aid
1,engrave,dislodge
0,enhearten,discourage
1,enhearten,dishearten
0,enrich,decrease
1,enrich,disgrace
0,enslave,free
1,enslave,let go
0,entertain,anger
1,entertain,annoy
0,entrain,disembark
1,entrain,get off
0,entrepreneur,employee
1,entrepreneur,
0,environmentalist,
1,environmentalist,
0,envisage,disregard
1,envisage,ignore
0,epicarp,innards
1,epicarp,insides
0,episcopate,
1,episcopate,
0,epochal,constant
1,epochal,frequent
0,equerry,
1,equerry,
0,erect,lowered
1,erect,prone
0,erose,
1,erose,
0,eroticism,
1,eroticism,
0,ersatz,genuine
1,ersatz,real
0,erudite,uneducated
1,erudite,common
0,escalate,decline
1,escalate,decrease
0,escritoire,
1,escritoire,
0,esotericism,normality
1,esotericism,standard
0,esoterism,normality
1,esoterism,standard
0,essay,idleness
1,essay,pass
0,esteem,belittle
1,esteem,condemn
0,eu,
1,eu,
0,euphemism,
1,euphemism,
0,euphemize,
1,euphemize,
0,eventualize,cause
1,eventualize,cease
0,everywhither,
1,everywhither,
0,evocative,
1,evocative,
0,exactitude,imprecision
1,exactitude,inaccuracy
0,excretion,accretion
1,excretion,eating
0,executrix,
1,executrix,
0,exhibitor,follower
1,exhibitor,
0,exhortative,
1,exhortative,
0,exist,cease
1,exist,depart
0,exorbitant,cheap
1,exorbitant,good
0,expatiate,compress
1,expatiate,decrease
0,expect,disbelieve
1,expect,disregard
0,expectant,
1,expectant,
0,expend,accumulate
1,expend,collect
0,expire,be born
1,expire,begin
0,explanative,
1,explanative,
0,explicative,
1,explicative,
0,expose,conceal
1,expose,cover
0,exquisite,careless
1,exquisite,corrupt
0,extensive,exclusive
1,extensive,insignificant
0,extort,forfeit
1,extort,give
0,extricate,attach
1,extricate,connect
0,exuberant,apathetic
1,exuberant,depressed
0,exultant,depressed
1,exultant,disappointed
0,facile,arduous
1,facile,complicated
0,faint,bright
1,faint,certain
0,fake,actual
1,fake,authentic
0,falchion,
1,falchion,
0,farewell,hello
1,farewell,
0,fatty,dry
1,fatty,
0,faucet,
1,faucet,
0,fawn,
1,fawn,
0,feed,
1,feed,
0,fey,
1,fey,
0,filter,dirty
1,filter,pour
0,finalize,begin
1,finalize,introduce
0,find,modesty
1,find,loss
0,fink,
1,fink,
0,fireflower,
1,fireflower,
0,fisheye,ignorance
1,fisheye,
0,flagrant,concealed
1,flagrant,good
0,fleer,
1,fleer,
0,fleetness,delay
1,fleetness,slowness
0,flex,straighten
1,flex,
0,flippant,mannerly
1,flippant,nice
0,floss,
1,floss,
0,flyback,
1,flyback,
0,follow,precede
1,follow,avoid
0,font,conclusion
1,font,effect
0,foozle,
1,foozle,
0,forepart,straighten
1,forepart,
0,foresee,misinterpret
1,foresee,misunderstand
0,foretell,conceal
1,foretell,estimate
0,fortitude,apathy
1,fortitude,cowardice
0,fortunate,destitute
1,fortunate,disadvantageous
0,fragrant,bland
1,fragrant,distasteful
0,frolicsome,serious
1,frolicsome,staid
0,fructify,
1,fructify,
0,fur,
1,fur,
0,gain,bills
1,gain,debt
0,gainsay,accept
1,gainsay,acknowledge
0,galumph,
1,galumph,
0,galvanism,
1,galvanism,
0,gantry,
1,gantry,
0,garter,criticism
1,garter,eyesore
0,gateway,conclusion
1,gateway,exit
0,germfree,dirty
1,germfree,contaminated
0,gesticulative,natural
1,gesticulative,simple
0,get,avoid
1,get,drop
0,ghetto,
1,ghetto,
0,gibbon,
1,gibbon,
0,gingerbread,common
1,gingerbread,commonplace
0,give,deny
1,give,disallow
0,glaive,
1,glaive,
0,glamorize,decrease
1,glamorize,harm
0,glisten,dull
1,glisten,
0,globate,
1,globate,
0,glume,center
1,glume,inside
0,gluten,
1,gluten,
0,gluttonize,abstain
1,gluttonize,diet
0,gnash,
1,gnash,
0,go,apathy
1,go,discouragement
0,grandiose,bad
1,grandiose,common
0,grantee,giver
1,grantee,
0,grave,agitated
1,grave,boisterous
0,graveyard,
1,graveyard,
0,grieve,approve
1,grieve,be happy
0,grist,lot
1,grist,whole
0,grope,leave alone
1,grope,
0,grubstake,debt
1,grubstake,poverty
0,gruesome,attractive
1,gruesome,beautiful
0,gulfweed,
1,gulfweed,
0,gulp,nibble
1,gulp,
0,gunpowder,
1,gunpowder,
0,habitude,neglect
1,habitude,
0,halve,combine
1,halve,
0,handout,forfeit
1,handout,loss
0,harasser,
1,harasser,
0,have,abandon
1,have,avoid
0,haversack,
1,haversack,
0,hearsay,quiet
1,hearsay,silence
0,heave,decrease
1,heave,depress
0,hebetude,action
1,hebetude,concern
0,hedonism,dissatisfaction
1,hedonism,sorrow
0,heterodoxy,acceptance
1,heterodoxy,agreement
0,heyday,base
1,heyday,bottom
0,highbinder,
1,highbinder,
0,hold,dispossession
1,hold,release
0,holiday,
1,holiday,
0,homilize,
1,homilize,
0,honorarium,penalty
1,honorarium,
0,hunky,
1,hunky,
0,hygrometry,
1,hygrometry,
0,hypnotism,
1,hypnotism,
0,hypothesis,fact
1,hypothesis,proof
0,i,
1,i,
0,ignite,cool
1,ignite,extinguish
0,immediacy,difference
1,immediacy,dissimilarity
0,immense,bounded
1,immense,calculable
0,immix,disconnect
1,immix,divide
0,importation,completion
1,importation,conclusion
0,imprest,discourage
1,imprest,bear
0,impugn,agree
1,impugn,aid
0,incur,forfeit
1,incur,lose
0,indicate,conceal
1,indicate,deny
0,indicia,concealment
1,indicia,denial
0,inexplicit,
1,inexplicit,
0,inexpressive,expressive
1,inexpressive,
0,infantine,experienced
1,infantine,wise
0,ingenerate,
1,ingenerate,
0,inguen,
1,inguen,
0,inherit,fail
1,inherit,forfeit
0,inner,exterior
1,inner,external
0,inquest,conclusion
1,inquest,findings
0,insomniac,
1,insomniac,
0,intelligentsia,unemployment
1,intelligentsia,conclusion
0,intend,disbelieve
1,intend,disregard
0,interdepend,disconnect
1,interdepend,divide
0,interurban,rural
1,interurban,
0,intervolve,straighten
1,intervolve,untwist
0,interweave,disconnect
1,interweave,divide
0,intricate,apparent
1,intricate,clear
0,inveigh,accept
1,inveigh,agree
0,inveterate,short-lived
1,inveterate,
0,involve,abandon
1,involve,cancel
0,irksome,helpful
1,irksome,
0,ischemia,
1,ischemia,
0,itch,dislike
1,itch,hate
0,jerry,
1,jerry,
0,jittery,calm
1,jittery,collected
0,judiciary,
1,judiciary,
0,keynote,end
1,keynote,exterior
0,kitchenware,
1,kitchenware,
0,knead,destroy
1,knead,idle
0,knickknack,
1,knickknack,
0,know,ignore
1,know,miss
0,lachrymose,
1,lachrymose,
0,lake,
1,lake,
0,lanate,smooth
1,lanate,bald
0,lave,dehydrate
1,lave,dirty
0,leave,denial
1,leave,difference
0,leer,
1,leer,
0,leg,
1,leg,
0,legerdemain,frankness
1,legerdemain,honesty
0,legislator,
1,legislator,
0,lend,borrow
1,lend,decrease
0,lengthwise,horizontally
1,lengthwise,across
0,levy,
1,levy,
0,lichen,
1,lichen,
0,likewise,contrariwise
1,likewise,opposing
0,lithograph,
1,lithograph,
0,locomote,discourage
1,locomote,dissuade
0,logography,
1,logography,
0,longitude,extreme
1,longitude,unimportance
0,longwise,crosswise
1,longwise,
0,loud,calm
1,loud,dull
0,lumber,tiptoe
1,lumber,glide
0,luxuriant,poor
1,luxuriant,barren
0,macaronicism,
1,macaronicism,
0,mackintosh,
1,mackintosh,
0,macrocosm,part
1,macrocosm,microcosm
0,macroseism,perfection
1,macroseism,
0,make,break
1,make,destroy
0,manor,
1,manor,
0,manus,
1,manus,
0,marc,
1,marc,
0,marginalize,elevate
1,marginalize,praise
0,mastermind,
1,mastermind,
0,meaty,insignificant
1,meaty,thin
0,mechanism,
1,mechanism,
0,meek,bold
1,meek,brave
0,meeter,inadequate
1,meeter,inappropriate
0,merry,depressed
1,merry,disagreeable
0,mesmerism,
1,mesmerism,
0,microwave,
1,microwave,
0,mimetism,
1,mimetism,
0,minim,agreement
1,minim,entirety
0,mink,
1,mink,
0,minutiae,
1,minutiae,
0,misbehave,behave
1,misbehave,obey
0,misbelieve,believe
1,misbelieve,trust
0,miss,abundance
1,miss,accuracy
0,mist,dryness
1,mist,
0,moderate,biased
1,moderate,bright
0,modicum,lot
1,modicum,entirety
0,monition,heedlessness
1,monition,neglect
0,muckrake,
1,muckrake,
0,multitude,little
1,multitude,minority
0,murk,
1,murk,
0,myopia,
1,myopia,
0,natant,
1,natant,
0,necropolis,
1,necropolis,
0,neurosis,balance
1,neurosis,conformity
0,neuroticism,calmness
1,neuroticism,peace
0,neverland,
1,neverland,
0,newsstand,
1,newsstand,
0,notarize,deny
1,notarize,reject
0,nude,clothed
1,nude,covered
0,oasis,
1,oasis,
0,obdurate,amenable
1,obdurate,gentle
0,obsecrate,answer
1,obsecrate,reply
0,obsession,indifference
1,obsession,dislike
0,occlude,advance
1,occlude,aid
0,ochroid,
1,ochroid,
0,octave,
1,octave,
0,offend,aid
1,offend,assist
0,offprint,
1,offprint,
0,ogle,ignore
1,ogle,look away
0,olid,clean
1,olid,fresh
0,omit,attend
1,omit,heed
0,onomatopoeia,difference
1,onomatopoeia,opposite
0,onset,conclusion
1,onset,end
0,ontologism,
1,ontologism,
0,operose,
1,operose,
0,ophthalmic,
1,ophthalmic,
0,oppose,accept
1,oppose,agree
0,oppositeness,agreement
1,oppositeness,
0,opprobriate,approve
1,opprobriate,praise
0,oratorio,
1,oratorio,
0,originative,fruitless
1,originative,impotent
0,ornamentalize,deface
1,ornamentalize,disfigure
0,ornate,dull
1,ornate,offensive
0,orphan,
1,orphan,
0,osculate,
1,osculate,
0,otiose,
1,otiose,
0,oust,hire
1,oust,place
0,outthrust,depression
1,outthrust,
0,outvote,allow
1,outvote,approve
0,overcloud,clear up
1,overcloud,burn off
0,overdelicate,uncritical
1,overdelicate,undemanding
0,overdo,play down
1,overdo,compress
0,overelaborate,dull
1,overelaborate,offensive
0,overextend,aid
1,overextend,assist
0,overprize,play down
1,overprize,underrate
0,oversee,follow
1,oversee,ignore
0,oversensitiveness,
1,oversensitiveness,
0,overset,allow
1,overset,approve
0,owe,pay
1,owe,resolve
0,pacifier,
1,pacifier,
0,pacify,aggravate
1,pacify,agitate
0,paladin,
1,paladin,
0,palliative,damaging
1,palliative,harmful
0,palmist,
1,palmist,
0,pan,
1,pan,
0,pandect,
1,pandect,
0,pantile,
1,pantile,
0,papistry,
1,papistry,
0,paradisal,
1,paradisal,
0,passive,caring
1,passive,concerned
0,pathos,cheer
1,pathos,glee
0,patriotism,
1,patriotism,
0,pave,dig up
1,pave,strip
0,peculiarize,confuse
1,peculiarize,mix up
0,pedigree,
1,pedigree,lowly
0,pee,
1,pee,
0,peeve,delight
1,peeve,happiness
0,pejorate,brighten
1,pejorate,build
0,pend,
1,pend,
0,penna,
1,penna,
0,pericarp,core
1,pericarp,center
0,persona,
1,persona,
0,perversive,
1,perversive,
0,phantasmagoria,fact
1,phantasmagoria,reality
0,pharisee,
1,pharisee,
0,pharmacopoeia,debt
1,pharmacopoeia,fact
0,phenomenology,
1,phenomenology,
0,phizog,
1,phizog,
0,phoneme,
1,phoneme,
0,phosphorus,Hesperus
1,phosphorus,evening star
0,physiography,
1,physiography,
0,physiotherapist,
1,physiotherapist,
0,phytogeography,
1,phytogeography,
0,pianola,
1,pianola,
0,pickle,advantage
1,pickle,benefit
0,pilose,
1,pilose,
0,pink,
1,pink,
0,pint,
1,pint,
0,pitchy,
1,pitchy,
0,pitiless,charitable
1,pitiless,kind
0,placid,agitated
1,placid,clamorous
0,plain,ambiguous
1,plain,concealed
0,plainer,ambiguous
1,plainer,concealed
0,planate,broken
1,planate,changing
0,plasterboard,
1,plasterboard,
0,platitude,coinage
1,platitude,nuance
0,plodder,idler
1,plodder,lazy person
0,plumbean,
1,plumbean,
0,plumbic,
1,plumbic,
0,plumose,
1,plumose,
0,podium,
1,podium,
0,polis,
1,polis,
0,polychrome,plain
1,polychrome,
0,pose,honesty
1,pose,reality
0,possessive,
1,possessive,
0,potentate,servant
1,potentate,
0,pothead,
1,pothead,
0,pour,trickle
1,pour,cease
0,pragmatism,disadvantage
1,pragmatism,inappropriateness
0,preclusive,
1,preclusive,
0,predominate,follow
1,predominate,serve
0,prefer,dislike
1,prefer,hate
0,prehend,forfeit
1,prehend,free
0,preknow,misinterpret
1,preknow,misunderstand
0,prelim,
1,prelim,
0,prelusive,concluding
1,prelusive,ending
0,premeditation,
1,premeditation,
0,preponderate,fall behind
1,preponderate,follow
0,presume,calculate
1,presume,disbelieve
0,prevision,hindsight
1,prevision,ignorance
0,primordia,completion
1,primordia,conclusion
0,prodigalize,hoard
1,prodigalize,save
0,produce,
1,produce,
0,profuse,lacking
1,profuse,sparse
0,progeny,parent
1,progeny,
0,prolapse,ascent
1,prolapse,evenness
0,prologue,epilogue
1,prologue,conclusion
0,promptitude,slowing
1,promptitude,slowness
0,proofer,loose
1,proofer,open
0,propagandize,forget
1,propagandize,learn
0,prophylaxis,
1,prophylaxis,
0,propulsive,inactive
1,propulsive,
0,prose,truth
1,prose,poem
0,proselytism,ignorance
1,proselytism,destruction
0,prosopopoeia,disorganization
1,prosopopoeia,exclusion
0,proverb,
1,proverb,
0,proximate,
1,proximate,
0,publicize,conceal
1,publicize,hide
0,pulchritude,
1,pulchritude,
0,purgative,
1,purgative,
0,purl,
1,purl,
0,question,answer
1,question,reply
0,quintain,
1,quintain,
0,quoin,
1,quoin,
0,quondam,
1,quondam,
0,radiant,cloudy
1,radiant,dark
0,raffle,
1,raffle,
0,ramify,abridge
1,ramify,agree
0,rampage,calm
1,rampage,order
0,raspberry,
1,raspberry,
0,rationalist,
1,rationalist,
0,rave,be quiet
1,rave,denounce
0,ravel,tangle
1,ravel,twist
0,ravisher,
1,ravisher,
0,reactive,ignorant
1,reactive,impassive
0,realest,counterfeit
1,realest,dishonest
0,receipts,bills
1,receipts,debt
0,receptionist,
1,receptionist,
0,recommend,censure
1,recommend,condemn
0,recorder,
1,recorder,
0,recreant,bold
1,recreant,brave
0,rectitude,corruption
1,rectitude,deceit
0,recurve,destroy
1,recurve,neglect
0,redistribute,remain
1,redistribute,
0,redundant,necessary
1,redundant,needed
0,reeve,
1,reeve,
0,reflect,
1,reflect,request
0,reflective,ignorant
1,reflective,unthoughtful
0,regenerative,
1,regenerative,
0,regressive,
1,regressive,
0,reintroduce,kill
1,reintroduce,
0,relevant,improper
1,relevant,inapplicable
0,remiss,careful
1,remiss,mindful
0,remonstrate,accept
1,remonstrate,agree
0,remote,befriended
1,remote,close
0,remunerate,deny
1,remunerate,refuse
0,renewal,destruction
1,renewal,exhaustion
0,reprieve,continuation
1,reprieve,
0,reptant,upright
1,reptant,vertical
0,repugnant,agreeable
1,repugnant,delightful
0,repulsive,agreeable
1,repulsive,attractive
0,request,answer
1,request,refusal
0,requisite,nonessential
1,requisite,
0,reredos,
1,reredos,
0,resay,take back
1,resay,
0,resister,ally
1,resister,assistant
0,resolve,cowardice
1,resolve,fear
0,resonant,faint
1,resonant,quiet
0,restrain,aid
1,restrain,allow
0,resultant,beginning
1,resultant,cause
0,resumption,
1,resumption,
0,retain,abandon
1,retain,desert
0,retentive,impermeable
1,retentive,
0,rethink,spoil
1,rethink,
0,retributive,
1,retributive,
0,retrieve,break
1,retrieve,damage
0,retrogressive,
1,retrogressive,
0,retrospective,
1,retrospective,
0,reverend,
1,reverend,
0,revolve,steady
1,revolve,ignore
0,ride,
1,ride,
0,rink,
1,rink,
0,ritornelle,silence
1,ritornelle,
0,roadstead,
1,roadstead,
0,rockweed,
1,rockweed,
0,romp,work
1,romp,seriousness
0,roofer,
1,roofer,
0,rottenness,cleanliness
1,rottenness,purification
0,rowboat,
1,rowboat,
0,rowdydowdy,calm
1,rowdydowdy,orderly
0,ruddy,pale
1,ruddy,
0,rude,decent
1,rude,gentle
0,ruefulness,approval
1,ruefulness,comfort
0,ruminate,ignore
1,ruminate,neglect
0,ruse,frankness
1,ruse,honesty
0,sake,disadvantage
1,sake,disregard
0,salter,blah
1,salter,bland
0,saltpeter,
1,saltpeter,
0,sardonicism,seriousness
1,sardonicism,approval
0,save,confine
1,save,hold
0,say,ask
1,say,be quiet
0,scab,core
1,scab,interior
0,scallop,increase
1,scallop,bulge
0,scapegoat,
1,scapegoat,
0,scarecrow,calmness
1,scarecrow,
0,scram,arrive
1,scram,stay
0,seaweed,
1,seaweed,
0,sect,agnosticism
1,sect,disbelief
0,see,disbelieve
1,see,disregard
0,seem,
1,seem,
0,seller,customer
1,seller,buyer
0,sensoria,
1,sensoria,
0,septicemia,
1,septicemia,
0,serve,hold
1,serve,keep
0,sheave,
1,sheave,
0,shipmate,
1,shipmate,
0,shrink,develop
1,shrink,enlarge
0,shudder,steady
1,shudder,
0,shun,accept
1,shun,admire
0,sideway,
1,sideway,
0,sieve,
1,sieve,
0,signalize,
1,signalize,
0,signifier,misinformation
1,signifier,
0,siphon,
1,siphon,
0,skeet,
1,skeet,
0,skein,benefit
1,skein,ease
0,sketch,
1,sketch,
0,skiff,
1,skiff,
0,skim,pour
1,skim,
0,skimp,release
1,skimp,spend
0,skywrite,conceal
1,skywrite,hide
0,slain,
1,slain,
0,slake,agitate
1,slake,anger
0,slave,
1,slave,
0,sleep,consciousness
1,sleep,wakefulness
0,slenderize,gain
1,slenderize,
0,slithery,
1,slithery,
0,slumber,consciousness
1,slumber,activity
0,snafu,understanding
1,snafu,correction
0,sniffer,
1,sniffer,
0,snow,
1,snow,
0,solecism,accuracy
1,solecism,certainty
0,solicitude,carelessness
1,solicitude,disregard
0,somersault,lose
1,somersault,retreat
0,somnambulism,
1,somnambulism,
0,soothsay,
1,soothsay,
0,sopor,consciousness
1,sopor,wakefulness
0,speculate,disregard
1,speculate,ignore
0,spend,build
1,spend,hold
0,sportsman,
1,sportsman,
0,sprang,allow
1,sprang,permit
0,stalky,
1,stalky,
0,stand,
1,stand,
0,stash,debt
1,stash,lack
0,station,unemployment
1,station,
0,stave,aid
1,stave,assist
0,stickfast,aid
1,stickfast,assist
0,stimuli,block
1,stimuli,discouragement
0,stink,perfume
1,stink,sweetness
0,strategist,
1,strategist,
0,strawberry,brunet
1,strawberry,brunette
0,suave,impolite
1,suave,rude
0,sub,
1,sub,
0,suffer,calm
1,suffer,please
0,superstratum,core
1,superstratum,interior
0,surfeit,lack
1,surfeit,need
0,survive,depart
1,survive,die
