,"12. About 2,000 years ago, there were three countries on the Korean Peninsula: Silla, Baekje, and Goguryeo. For about 700 years, three countries (Silla, Baekse, and Goguryeo) fought many wars to take over the Han River. Eventually, Silla unified the three kingdoms. Let's explain how Silla unified the three kingdoms.",Nadang Alliance,War Victory,Dang-river,Han River Charge,Nadze Alliance
81,"Silla occupied the Han River first to unify the three kingdoms. If the Han River is occupied, the people can live well if they farm well and farm well, so Silla, which repeated this good cycle repeatedly, did not fight, leading to the unification of the Three Kingdoms.",0,0,0,0,0
82,"Outstanding strategies and alienation, among other nations, are united in their struggle",0,0,0,0,0
83,I don't understand.,0,0,0,0,0
84,Silla was strong and unified.,0,0,0,0,0
85,"The combined forces of the Nadang army destroyed Baekje, destroyed Goguryeo, and Silla defeated the Tang Dynasty",0,0,0,0,0
86,I don't remember.,0,0,0,0,0
87,Silla swallowed it all,0,0,0,0,0
88,It's because Silla won the war,0,0,0,0,0
89,They joined forces with China and attacked each other in both directions.,0,0,0,0,0
90,Silla took over the Han River and destroyed Baekje and absorbed Goguryeo and Baekje,0,0,0,0,0
91,Silla unified the Three Kingdoms with the help of the Tang Dynasty.,0,0,0,0,0
92,I don't know.,0,0,0,0,0
93,"After forming an alliance with Baekje and occupying the Han River, they broke the alliance and fought the Tang Dynasty and Baekje and Goguryeo",0,0,0,0,0
94,"Combined with the Tang Dynasty, they destroyed the stuffed kingdom and Goguryeo.",0,0,0,0,0
95,I don't know.,0,0,0,0,0
96,Forgot.,0,0,0,0,0
97,Kim Chun-chu of Silla achieved unification with the help of the party,0,0,0,0,0
98,"They quarreled with each other.He joined hands with the Tang Dynasty topple Goguryeo and 50,000 troops topple Baekje",0,0,0,0,0
99,"""Kim Choon-chu achieved the unification of the three kingdoms""",0,0,0,0,0
100,"Silla first struck Baekje to make it Silla, and then Goguryeo to make it Silla, and Silla unified the three kingdoms.",0,0,0,0,0
101,I don't know.,0,0,0,0,0
102,"Silla asked Tang for help because his country became in danger And with the Tang army, they destroyed Baekje and Goguryeo, and the Tang wanted to take over the Korean Peninsula",0,0,0,0,0
103,"Although the attack was made, Silla was forced to resign due to Silla's resistance, and Silla unified the three countries, but with the help of the Tang Dynasty, it is not a true unification of the three countries.""",0,0,0,0,0
104,"Silla sought help from China, but China was plotting a secret plot, and Baekje and Goguryeo took advantage of the confusion to destroy and unify it. However, China asked Silla for territory, and China now occupies the upper part of Goguryeo.",0,0,0,0,0
105,Silla first occupied Goguryeo and then Baekje.,0,0,0,0,0
106,Silla joined hands with Goguryeo to hit Baekje and then joined hands with Tang to hit Goguryeo,0,0,0,0,0
107,"Silla wanted to get rid of Baekje first. So, when he joined hands with Goguryeo and hit Baekje, Goguryeo joined hands with Tang and destroyed it. After that, the Tang interference was so severe that it could not be said to be a completely independent country.",0,0,0,0,0
108,I don't know.,0,0,0,0,0
109,"The fall of Baekje and Goguryeo, and the fall of Goguryeo",0,0,0,0,0
110,I don't know.,0,0,0,0,0
111,I don't know,0,0,0,0,0
112,I won the fight,0,0,0,0,0
113,a coalition of parties,0,0,0,0,0
114,I was frustrated because they kept fighting,0,0,0,0,0
115,"He was close to the Tang Dynasty, and first attacked Baekje to make Baekje Silla land, and then attacked Goguryeo to unify the three kingdoms.",0,0,0,0,0
116,h,0,0,0,0,0
117,Well,0,0,0,0,0
118,It's a very good question,0,0,0,0,0
119,"Silla's Later Baekje was created and Goguryeo's Singo and Gungye became gods, so Wang Geon chased Gungye and established it as Goryeo, which destroyed the Later Baekje Silla, unified the Three Kingdoms",0,0,0,0,0
120,Fight and win,0,0,0,0,0
121,We made up,0,0,0,0,0
122,We fought a war,0,0,0,0,0
123,Silla joined hands with Tang and defeated Goguryeo and Baekje,0,0,0,0,0
124,The Tang Dynasty of SillaãããããUnification!!!!!!,0,0,0,0,0
125,the coalition of the ruling parties,0,0,0,0,0
126,Very well~~~~~,0,0,0,0,0
127,Silla joined forces with the party,0,0,0,0,0
128,I don't know.,0,0,0,0,0
129,I don't know,0,0,0,0,0
130,win by a head-to-head approach,0,0,0,0,0
131,I want to eat sweet potatoes.,0,0,0,0,0
132,I don't know.,0,0,0,0,0
133,ã,0,0,0,0,0
134,Perfect score,0,0,0,0,0
135,a number of war,0,0,0,0,0
136,I don't know.,0,0,0,0,0
137,"A figure from Silla unified the three countries, Baekje and Goguryeo",0,0,0,0,0
138,Well...,0,0,0,0,0
139,They fought against Bekje and Goguryeo and unified them,0,0,0,0,0
140,Silla's Kim Yu-shin and white wildcat rrrr captured Baekje and Goguryeo.,0,0,0,0,0
141,Is that a part time job?,0,0,0,0,0
142,Nadang United-Baekje Cut-Goguryo Cut,0,0,0,0,0
143,They eat from the neighboring neighborhood one by one.,0,0,0,0,0
144,I forgot.,0,0,0,0,0
145,"Goguryeo is destroyed, and Silla beats Tang's navy. And Baekje is destroyed. Silla defeated the Party's army and unified the three kingdoms.",0,0,0,0,0
146,"Goguryeo is destroyed, and Silla beats Tang's navy. And Baekje is destroyed. Silla defeated the Party's army and unified the three kingdoms.",0,0,0,0,0
147,"In 900 years after the fall of Goguryeo and Bezeki, Gung Ye founded Hugoguryo, but Wang Geon chased Gung Ye and changed the name of the country to GolIn 901, Gyeonhwon established the Hubeckje and fought many battles, and Gyeonhwon's son abandoned Gyeonhwon in Hubeckje and formed a partnership with Wang Geon, destroying the Hubekje and abandoning Silla",0,0,0,0,0
148,Silla reunified the three kingdoms and later Balhae became close to Dang and Balhae,0,0,0,0,0
149,Morae 77,0,0,0,0,0
150,I don't understand.,0,0,0,0,0
151,Silla formed a coalition with Tang and attacked Baekje and Goguryeo in critical situations,0,0,0,0,0
152,"The fall of Baekje, the fall of Goguryeo, the unification of the three Silla kingdoms",0,0,0,0,0
153,Silla beats Baekje and Goguryeo.,0,0,0,0,0
154,.,0,0,0,0,0
155,"Silla and Tang allied forces fought and destroyed Baekje and Goguryeo. After that, the Tang army was driven out and the three kingdoms were unified.",0,0,0,0,0
156,I'll call you Dang,0,0,0,0,0
157,Kim Yu-shin comes to think of many things through Cheomseongdae.,0,0,0,0,0
158,won the war,0,0,0,0,0
159,"The Silla-Dang alliance fought and destroyed Baekje and Goguryeo. Since then, the Tang army has been ousted and the three kingdoms unified (union with the Tang, the fall of Baekje and Goguryeo, and the overthrow of the Tang Dynasty)",0,0,0,0,0
160,"""",0,0,0,0,0
161,won the war,0,0,0,0,0
162,Silla destroyed Baekje and Goguryeo.,0,0,0,0,0
163,Silla took over the Han River and won the battle and unified it,0,0,0,0,0
164,"Silla and Tang allied forces fought and destroyed Baekje and Goguryeo. After that, the Tang army was driven out and the three kingdoms were unified.",0,0,0,0,0
165,with the help of outside forces,0,0,0,0,0
166,Silla allied with the Tang Dynasty and absorbed Goguryeo and Baekje,0,0,0,0,0
167,It is to take over the Han River through countless wars and interact with China and other countries.,0,0,0,0,0
168,cã,0,0,0,0,0
169,Charge the Han River,0,0,0,0,0
170,"Silla and Tang allied forces fought and destroyed Baekje and Goguryeo. After that, the Tang army was driven out and the three kingdoms were unified.",0,0,0,0,0
171,Silla Tang Dynasty Union - Baekje Fall - Goguryeo Fall - Silla and Tang Dynasty War - Three Kingdoms Unification,0,0,0,0,0
172,"After the formation of the Party's coalition forces, Baekje was destroyed, Goguryeo was destroyed, and after the war broke out, Silla won and formed the Unified Silla Kingdom",0,0,0,0,0
173,They ousted the Tang army and unified the three kingdoms.,0,0,0,0,0
174,.,0,0,0,0,0
175,Bâ?¢Party alliance formed>Baekje fall> Goguryeo fall>Naâ?¢Party war>Unification of the Three Kingdoms,0,0,0,0,0
176,"With the fall of Baekje and Goguryeo, Silla united with the Party to unify the three kingdoms.",0,0,0,0,0
177,"Silla and Tang allied forces fought and destroyed Baekje and Goguryeo. After that, the Tang army was driven out and the three kingdoms were unified. (Union with the Party, the fall of Baekje and Goguryeo, and the overthrow of the Tang Dynasty)",0,0,0,0,0
178,"After Silla and the Tang Dynasty united to attack Baekje, destroy Baekje, and destroy Goguryeo, they fought the Tang Dynasty, which wanted to take over the Korean Peninsula, and unified the current topography of the Korean Peninsula.",0,0,0,0,0
179,"Silla and Tang allied forces fought and destroyed Baekje and Goguryeo. After that, the Tang army was driven out and unified with the Three Kingdoms.",0,0,0,0,0
180,the Nadang War,0,0,0,0,0
181,"Silla and Tang allied forces fought and destroyed Baekje and Goguryeo. After that, the Tang army was driven out and the three kingdoms were unified.",0,0,0,0,0
182,"The allied forces of Silla and Tang fought Baekje and Goguryeo, destroying them, ousting the Tang army and unifying the three kingdoms.",0,0,0,0,0
183,Silla and the Party united to wage war against Baekje and Goguryeo and destroy it. And they ousted the Tang army and unified the three kingdoms.,0,0,0,0,0
184,"In alliance with the Tang Dynasty, Baekje was destroyed, Goguryeo was destroyed, and the Tang Dynasty betrayed and attacked Silla, but Goguryeo and Baekje's old residents and Silla people joined forces to defeat the Tang Dynasty and unify it.",0,0,0,0,0
185,"""The Tang Dynasty united with Silla to destroy Baekje and Goguryeo, and Silla unified the three kingdoms through the Nadang War",0,0,0,0,0
186,"""",0,0,0,0,0
187,I used the help of the Tang Dynasty to destroy other countries,0,0,0,0,0
188,The Silla-Party coalition destroyed Goguryeo. the overthrow of the Tang army and the unification of the three kingdoms,0,0,0,0,0
189,the overthrow of Baekje and Goguryeo by the alliance of the Nadang,0,0,0,0,0
190,They fought a war and took the land.,0,0,0,0,0
191,I don't know.,0,0,0,0,0
192,talk to,0,0,0,0,0
193,"Silla ate Gaya, played Baekje and Goguryeo, and ate Baekje because it was called betrayal",0,0,0,0,0
194,I did it while interacting,0,0,0,0,0
195,Silla occupied Gaya and expanded its territory and unified it in its heyday,0,0,0,0,0
196,I don't know.,0,0,0,0,0
197,"Silla, Goguryeo, and BaekjeI surrendered to Goguryeo",0,0,0,0,0
198,To take out Goguryeo,0,0,0,0,0
199,Forgot.,0,0,0,0,0
200,He told another country on the Chinese side that he would give part of Goguryeo if he won the war,0,0,0,0,0
201,I don't know.,0,0,0,0,0
202,Silla formed a naje alliance to defeat Baekje and Goguryeo and defeated Goguryeo,0,0,0,0,0
203,call a foreign country,0,0,0,0,0
204,"After Silla united with Baekje and won against Goguryeo, Silla suddenly invaded Baekje and Silla defeated Baekje to unify the three kingdoms.",0,0,0,0,0
205,I'm clueless.,0,0,0,0,0
206,I was helped by Gaya,0,0,0,0,0
207,Silla unified the three countries by borrowing the power of the party,0,0,0,0,0
208,.,0,0,0,0,0
209,"After the powerful Goguryeo kingdom was destroyed in cooperation with Baekje, General Kim Yu-shin destroyed Baekje",0,0,0,0,0
210,"""",0,0,0,0,0
211,"Silla unified the three kingdoms during the reign of King Munmu, and after King Chunchu's victory in various wars and Kim Chunchu's death, King Munmu achieved Kim Chunchu's will and became a millennium Silla.",0,0,0,0,0
212,"After destroying the powerful Goguryeo kingdom in cooperation with Baekje, General Kim Yu-shin destroyed Baekje.",0,0,0,0,0
213,Silla first destroyed Baekje and then Goguryeo.,0,0,0,0,0
214,"Together with the Tang Dynasty, Goguryeo and Baekje were overthrown.",0,0,0,0,0
215,I fought and won in cooperation with other countries,0,0,0,0,0
216,Silla united Goguryeo and Baekje with Ming.,0,0,0,0,0
217,The three countries united by forming a coalition with the Tang Dynasty,0,0,0,0,0
218,"After removing Baekje, he killed Goguryeo",0,0,0,0,0
219,"Silla was struggling to fight Baekje, so he asked for help from China, and at that time, he was angry because China lost to Goguryeo. So Silla and China joined hands to beat Goguryeo and Baekje. Therefore, the three countries were unified.",0,0,0,0,0
220,"Silla, like the Tang Dynasty, formed a coalition to unify the three kingdoms.",0,0,0,0,0
221,"Kim Chun-chu went to the Tang Dynasty and asked for help, and the Tang Dynasty approved to push Baekje and Goguryeo together and reunify them. When the Tang Dynasty tried to take out the Unified Silla, Silla also pushed out the Tang Dynasty and unified them.",0,0,0,0,0
222,"When Baekje was eliminated and Goguryeo's capable generals disappeared, Goguryeo was defeated to unify the three kingdoms.",0,0,0,0,0
223,The end,0,0,0,0,0
224,I don't know.,0,0,0,0,0
225,I don't know I'm sorry,0,0,0,0,0
226,"Goguryeo won a big victory in the Battle of Salsu against Sui and the Battle of Anshi Province with the Party, but gradually lost its strength. With the fall of Baekje and Goguryeo, Silla united with the Party to unify the three kingdoms",0,0,0,0,0
227,"""",0,0,0,0,0
228,Silla destroyed all the countries.,0,0,0,0,0
229,Lack of time.,0,0,0,0,0
230,"Silla used the power of China to destroy Baekje, and Goguryeo was easily destroyed by cracks inside it",0,0,0,0,0
231,I don't know.,0,0,0,0,0
232,I don't know history :),0,0,0,0,0
233,I don't know because I don't read books. Haha... I'm sorry...,0,0,0,0,0
234,People live happily ever after,0,0,0,0,0
235,It makes people happy.,0,0,0,0,0
236,"He begged China to fight together, fought together, and won the Baekje Kingdom first, and entered Goguryeo. And they also won in Goguryeo.",0,0,0,0,0
237,..,0,0,0,0,0
238,Because I won the war with many countries,0,0,0,0,0
239,Silla's wish to unify Goguryeo and Baekje,0,0,0,0,0
240,on one's back,0,0,0,0,0
241,"To take over the Han River,",0,0,0,0,0
242,Silla just beat Goguryeo and Baekje,0,0,0,0,0
243,I don't understand.,0,0,0,0,0
244,Peace is the answer,0,0,0,0,0
245,Silla joined hands with Baekjae and ate the river and formed a coalition to build another country,0,0,0,0,0
246,We won because we ate the Han River and the farming was done well done,0,0,0,0,0
247,I don't know,0,0,0,0,0
248,I don't know,0,0,0,0,0
249,"If the war continues, it's hard, so let's negotiate with each other",0,0,0,0,0
250,I have no idea.,0,0,0,0,0
251,"Silla, like the Tang Dynasty, destroyed Baekje and attacked Goguryeo But Goguryeo is doomed by a struggle for the throne",0,0,0,0,0
252,"Like the people of the back of our heads, we'll take the back of the three countries",0,0,0,0,0
253,"If the war continued, the three countries of Silla, Baekje, and Goguryeo would have negotiated because it was difficult to continue the war.",0,0,0,0,0
254,Join the Tang Dynasty to Take Baekje and Goguryeo in Order,0,0,0,0,0
255,"Silla developed from the reign of King Jinheung. When it became dangerous, it joined hands with the Tang Dynasty and destroyed Baekje and Goguryeo",0,0,0,0,0
256,"Together with Baekje, Goguryeo was destroyed, and Silla destroyed Baekje.",0,0,0,0,0
257,Silla invaded Baekje and Goguryeo and won the war.,0,0,0,0,0
258,the occupation of Baekje and Goguryeo,0,0,0,0,0
259,Silla won,0,0,0,0,0
260,I don't know.,0,0,0,0,0
261,Let's not touch the history that our ancestors made,0,0,0,0,0
262,"Silla won the war. I learned the unification of the Three Kingdoms, but I don't remember.",0,0,0,0,0
263,Being dragged into another country and getting cursed at,0,0,0,0,0
264,Silla first unified Baekje and unified Goguryeo.,0,0,0,0,0
265,"Silla occupied the Han River and joined hands with Tang to destroy Baekje and Goguryeo, and the Tang Dynasty went everywhere to drive out Tang and unify the three kingdoms",0,0,0,0,0
266,"Goryeo and Baekje can't fight anymore, so it's unified",0,0,0,0,0
267,I don't know,0,0,0,0,0
268,I don't know,0,0,0,0,0
269,In partnership with China,0,0,0,0,0
270,Silla is strong,0,0,0,0,0
271,I don't know.,0,0,0,0,0
272,"The end of Baekje by the alliance of the Nadang, the end of Goguryeo, and the reunification of the Three Kingdoms",0,0,0,0,0
273,"Win, win, win, win",0,0,0,0,0
274,"Silla formed the Nadang Alliance, attacked Baekje, destroyed Baekje, destroyed Goguryeo, and drove the Tang Dynasty, which tried to dominate the Korean Peninsula, from the Korean Peninsula and achieved the unification of the three kingdoms.",1,0,0,0,0
275,Silla joined forces with the Party to destroy Baekje and Goguryeo,0,0,0,0,0
276,with the help of China,0,0,0,0,0
277,"First, Kim Chun-chu of Silla united with the Tang Dynasty and attacked Baekje, and Baekje was destroyed first, and later Goguryeo was attacked and destroyed Later, he fought with the Tang Dynasty and won to achieve the unification of the three kingdoms",0,0,0,0,0
278,Koguryo's Demolition - Baekje's Demolition,0,0,0,0,0
279,"Silla joined hands with Baekje to destroy Goguryeo, and Silla destroyed Baekje and unified it.",0,0,0,0,0
280,I don't know.,0,0,0,0,0
281,"After Baekje's destruction, Goguryeo was destroyed, and Silla unified the three kingdoms.",0,0,0,0,0
282,"Silla joined hands with the Tang Dynasty to destroy Baekje, Goguryeo, and Silla won and unified it through the Nadang War.",0,0,0,0,0
283,Sucked up China.,0,0,0,0,0
284,I don't know.,0,0,0,0,0
285,I don't know,0,0,0,0,0
286,Silla and Baekje joined hands to defeat Goguryeo and Silla and Tang Dynasty.A party alliance was formed to unify Baekje.,0,0,0,0,0
287,"First, it attacked Baekje, and then attacked Goguryeo and unified it.",0,0,0,0,0
288,"Silla conquered Baekje and Goguryeo, achieving the unification of the three kingdoms.",0,0,0,0,0
289,"After invading Baekje, they invaded Goguryeo.",0,0,0,0,0
290,Silla occupied Baekje and Goguryeo.,0,0,0,0,0
291,"Silla and the Tang Dynasty formed the Nadang Alliance to conquer Baekje, and later conquered Goguryeo and Silla unified the three kingdoms.",1,0,0,0,0
292,"Starting with the Silla-Nazi alliance, Baekche and Goguryeo were absorbed into Silla one after another.",0,0,0,0,0
293,"After defeating Goguryeo and Baekje in alliance with the Tang Dynasty, the Tang Dynasty, which failed to keep its promise, was driven out.",0,0,0,0,0
294,They formed a Nadang alliance with the Tang Dynasty and captured Baekje and Goguryeo in order.,0,0,0,0,0
295,Baekje and Goguryeo in order,0,0,0,0,0
296,They united in union with the Tang Dynasty.Cooperating with the Tang Dynasty to capture Goguryeo and Baekje.,0,0,0,0,0
297,"After the destruction of the white body, I naturally destroyed Goguryeo and fought with the Tang Dynasty.",0,0,0,0,0
298,"In alliance with the Tang Dynasty, Baekje and Goguryeo were captured.",0,0,0,0,0
299,"They fought against Baekje, Goguryeo, and the Tang Dynasty one after another and won.",0,0,0,0,0
300,It was poorly unified by the Tang Dynasty.,0,0,0,0,0
301,The coalition of the Na Party destroyed Goguryeo.,0,0,0,0,0
302,an inferiority complex,0,0,0,0,0
303,Silla allied with the Tang Dynasty and conquered Baekje and Goguryeo,0,0,0,0,0
304,I don't know,0,0,0,0,0
305,He united under the help of the party,0,0,0,0,0
306,He beat the rest of the world except for Silla,0,0,0,0,0
307,Silla united with the Party to destroy Baekje and Goguryeo.,0,0,0,0,0
308,I wiped it all out with the alliance of the ruling parties,0,0,0,0,0
309,Silla beats each country to win,0,0,0,0,0
310,"The Tang Dynasty and Silla formed an alliance to destroy Baekje and then Goguryeo.Next time, when the party tried to take over Silla, it joined forces with Baekje and Goguryeo's Confucian scholars and Maesoseong",0,0,0,0,0
311,"Silla won the battle of the gibeolpo.""",0,0,0,0,0
312,"Tang and Silla formed a party alliance to honor Baekje and destroy GoguryeoWhen the party tried to take over Silla, Silla won the battle of Maesoseong Gibyeolpo.",0,0,0,0,0
313,The Tang Dynasty and Silla formed a Nadang alliance to destroy Baekje and then Goguryeo.,0,0,0,0,0
314,"Next, when the party tried to take over Silla, Silla won the battle of Maesoseong Gibyeolpo and unified the three kingdoms.""",0,0,0,0,0
315,"After Silla and the Tang Dynasty formed a Nadang alliance, Baekje and Goguryeo were destroyed",0,0,0,0,0
316,"""The Tang Dynasty tried to take over Silla, but they joined forces with Baekje and Goguryeo's Confucian scholars to win the Battle of Baeso",0,0,0,0,0
317,Silla and the Tang Dynasty formed a Nadang alliance and destroyed Baekje and Goguryeo.,0,0,0,0,0
318,"When the Tang Dynasty tried to take over Silla, it joined forces with Baekje and Goguryeo residents to win the Battle of Kibyeolpo in Maesoseong Fortress.""",0,0,0,0,0
319,"After Silla and the Tang Dynasty formed a Nadang alliance, Baekje and Goguryeo were destroyed",0,0,0,0,0
