,"16. The particles that make up the material do not stay still and move constantly on their own. This is called particle motion, and what are some of the natural phenomena caused by particle motion? Let's explain it in detail using our knowledge of particle motion. ",diffusion,atmosphere,heat conduction,state change
274,Hot air balloon,0,0,0,0
275,I don't know.,0,0,0,0
276,I don't know,0,0,0,0
277,I don't know.,0,0,0,0
278,Unknowingness,0,0,0,0
279,I don't understand.,0,0,0,0
280,It's about activating particles by applying heat.,0,0,0,0
281,I don't understand.,0,0,0,0
282,I don't know.,0,0,0,0
283,Unknowingness,0,0,0,0
284,"For example, when particles become active in a balloon, the balloon swells.",0,0,0,0
285,I don't know.,0,0,0,0
286,diffusion and evaporation,1,0,0,0
287,I don't know,0,0,0,0
288,I don't know.,0,0,0,0
289,?,0,0,0,0
290,I don't know,0,0,0,0
291,Bebebebebebebebebebebebebebebebebebebebe,0,0,0,0
292,Particles go to the gym and exercise,0,0,0,0
293,Doesn't the particle move and change the shape of the object ^^:,0,0,0,0
294,yes,0,0,0,0
295,"If you put air in the balloon and leave it, the size of the balloon is reduced.",0,0,0,0
296,ãThe particles are moving,0,0,0,0
297,Well.,0,0,0,0
298,I don't know.,0,0,0,0
299,That's why the material is alive,0,0,0,0
300,Things that are very scary things,0,0,0,0
301,""".?",0,0,0,0
302,"""",0,0,0,0
303,I don't know.,0,0,0,0
304,I don't know what the particles are,0,0,0,0
305,"Thanks to particle motion, we can play with balloons",0,0,0,0
306,Keep exercising to keep the substance from cooling down,0,0,0,0
307,Unknowingness,0,0,0,0
308,Various,0,0,0,0
309,I don't know,0,0,0,0
310,to have air,0,0,0,0
311,"The water between the cracks in the stones is frozen by the low temperature, and the stone cracks",0,0,0,0
312,I've never heard of a particle called exercise,0,0,0,0
313,There's a typhoon,0,0,0,0
314,"Oh, my",0,0,0,0
315,It becomes smaller than the original particle size.,0,0,0,0
316,"The more air is put into the balloon, the bigger the volume, so the particles are moving actively",0,0,0,0
317,Brownian motion is the movement of pollen particles here and there as they collide with water molecules in the air,0,0,0,0
318,Heat is generated as the particles move,0,0,0,0
319,Unknowingness,0,0,0,0
320,I don't know.,0,0,0,0
321,The natural phenomenon caused by particle motion is liquid.,0,0,0,0
322,It makes the food delicious,0,0,0,0
323,I don't know.,0,0,0,0
324,There are phenomena such as diffusion and evaporation.,1,0,0,0
325,Spreading,0,0,0,0
326,Spreading,0,0,0,0
327,"Particle motion can be divided into solid, liquid, and gas motion. Goje vibrates in place by very strong attraction between molecules. Liquids have weaker bonds than solids.It diffuses. Gases have very weak intermolecular attractions, so they have active particle movements.",0,0,0,0
328,Spreading,0,0,0,0
329,Diffusion by concentration difference,0,0,0,0
330,"Temperature of matter, change of state, transfer of matter",0,0,0,0
331,Spreading,0,0,0,0
332,Spreading,0,0,0,0
333,"Brownian motion, diffusion of gas",1,0,0,0
334,Spreading,0,0,0,0
335,"When radiation is applied to an atom, electrons pop out, and the protruding electrons move with kinetic energy.",0,0,0,0
336,It's diffusion. It's spread around by the motion of molecules.,1,0,0,0
337,the shape is maintained,0,0,0,0
338,"For example, when water is boiled, the particles move",0,0,0,0
339,Air,0,0,0,0
340,Air,0,0,0,0
341,I don't know.,0,0,0,0
342,"If there's warm heat, the particle movement becomes active, but even just a little heat does particle movement",0,0,0,0
343,Air,0,0,0,0
344,"Dew on leaves or grass. a phenomenon in which saturated water vapor in a gas attaches to a leaf or grass, resulting in droplets",0,0,0,0
345,"The air, the air, moves around the world non-stop",0,0,0,0
346,The scent spreads,0,0,0,0
347,Air,0,0,0,0
348,I'm sorry. I don't know,0,0,0,0
349,I don't know.,0,0,0,0
350,Balloon,0,0,0,0
351,"When you get on a plane, the sunblock explodes, and things like sunblock, when you go up high, the particles spread",0,0,0,0
352,Unknowingness,0,0,0,0
353,the movement of air,0,0,0,0
354,I don't know.,0,0,0,0
355,"""San-San-San-San-San-Sea""",0,0,0,0
356,Degree,0,0,0,0
357,one's work,0,0,0,0
358,"The same""",0,0,0,0
359,Thunder,0,0,0,0
360,Hail,0,0,0,0
361,Unknowingness,0,0,0,0
362,I don't know.,0,0,0,0
363,"When fart mushrooms spew out spores, they blow away particles",0,0,0,0
364,rain or snow,0,0,0,0
365,I don't know.,0,0,0,0
366,I have no idea.,0,0,0,0
367,Many electrons collide with each other.,0,0,0,0
368,I learned it but I can't remember,0,0,0,0
369,The odor particles are spreading and smelling.Move in the direction of the wind,0,0,0,0
370,I don't know,0,0,0,0
371,Vibration,0,0,0,0
372,Wind... This is because the air moves according to the difference in temperature even if the wind stays still.,0,0,0,0
373,I don't know,0,0,0,0
374,Wind,0,0,0,0
375,I don't know,0,0,0,0
376,"When the heat is heated in summer, the train tracks expand.",0,0,0,0
377,The waves spread.,0,0,0,0
378,The water is flowing.,0,0,0,0
379,Muscle exercise,0,0,0,0
380,"When the frying pan is heated, the handle is also heated by the movement of the particles.",0,0,0,0
381,I don't know,0,0,0,0
382,I don't understand.,0,0,0,0
383,I'm sorry,0,0,0,0
384,fine dust,0,0,0,0
385,I don't know.,0,0,0,0
386,Spreading,0,0,0,0
387,electric power,0,0,0,0
388,photosynthesis of plants,0,0,0,0
389,"When the pan of the frying pan is heated, the handle is also heated by the movement of the particles.",0,0,0,0
390,"When the pan of the frying pan is heated, the handle is also heated by the movement of the particles.",0,0,0,0
391,Heat is generated as the particles move.,0,0,0,0
392,I don't know.,0,0,0,0
393,"Water evaporates when left at room temperature.This is because water molecules on the surface move constantly, breaking the bonds between water molecules and moving into the air.",0,0,0,0
394,Unknowingness,0,0,0,0
395,I don't knowUnknowingness,0,0,0,0
396,I don't know,0,0,0,0
397,I don't know,0,0,0,0
398,I love you ^^,0,0,0,0
399,ã± and ã,0,0,0,0
400,Balloon,0,0,0,0
401,photoelectric effect,0,0,0,0
402,Front door sensor,0,0,0,0
403,"The natural phenomenon caused by the movement of particles is the heat radiated to water by solar heat, and water evaporates and condenses into the sky to form clouds.",0,0,0,0
404,the phenomenon of water flowing,0,0,0,0
405,It can be seen that it is alive because of the movement of the particles.,0,0,0,0
406,"Lightning: On rainy days, in clouds containing a lot of electrons, an electric current is generated as electrons flow down the ground in rainwater.",0,0,0,0
407,"There are microphones, speakers, and so on. The microphone vibrates the sound, so the sound diffuses.",0,0,0,0
408,"Lightning, thunder",0,0,0,0
409,Photosynthesis,0,0,0,0
410,"There are various kinds of particle motion, such as diffusion, osmotic pressure, and photoelectric effects.",1,0,0,0
411,"Photosynthesis, in particular, is the effect of the particulate nature of light. In addition, various weather phenomena caused by convection can be seen as well.""",0,0,0,0
412,"When water is boiled, the particle movement of the water becomes active, and the temperature of the water rises.",0,0,0,0
413,"If you look at the smell moving far away rather than in one space, you can see that the particles are moving without stopping.",0,0,0,0
414,The particles in the air move and wind blows.,0,0,0,0
415,"When water is in a solid state (ice), the movement of particles is reduced, and as the movement of particles increases, the distance between the particles increases to become a liquid, and later becomes a gas.",0,0,0,0
416,Gas molecules diffuse around as they move constantly in the air.,0,0,0,0
417,"Because the particles move, when water is boiled, it evaporates and flies into the atmosphere.",0,1,0,0
418,There is a phenomenon that spreads when pigment is dropped on the water. This phenomenon is that pigment molecules move in the water and appear to spread because they move constantly without staying still.,0,0,0,0
419,Water molecules move constantly and evaporation occurs on the surface of the water.,0,0,0,0
420,"All phenomena in which the shape of an object varies, such as waves, cloud movements, etc., involve particle motion.",0,0,0,0
421,"The particles that make up the material are not stationary and move constantly, and a representative example of a natural phenomenon caused by this is smell. Smell is what is felt as the molecules, which are particles that make up a substance, are spread around by diffusion and stimulate our olfactory cells. Therefore, this can be said to be a phenomenon caused by the movement of particles.",1,0,0,0
422,"Even if you don't get close to the flower, it smells because of diffusion",1,0,0,0
423,"As the water molecules that make up water constantly move, pollen floating on the water moves around accordingly.",0,0,0,0
424,"When pollen is floated on the water, it moves irregularly.",0,0,0,0
425,There is diffusion in natural phenomena caused by particle motion.,1,0,0,0
426,"Typhoon, rainy season, drought, low birth rate and aging population",0,0,0,0
427,Ankimchi. (Ankimchi in Korean),0,0,0,0
428,"""",0,0,0,0
429,"Lightning, caused by collisions between particles",0,0,0,0
430,fine dust,0,0,0,0
431,fitness center.,0,0,0,0
432,fitness center.,0,0,0,0
433,I sweat when I work out,0,0,0,0
434,The air gets warm.,0,0,0,0
435,I think there will be fine dust.,0,0,0,0
436,"Fine dust, etc",0,0,0,0
437,fitness center,0,0,0,0
438,fitness center,0,0,0,0
439,My body gets hot when I exercise,0,0,0,0
440,The temperature changes according to the particle's momentum,0,0,0,0
441,"Particle motion has diffusion and when deodorant is sprayed in a space, the scent spreads under the influence of wind or other influences",1,0,0,0
442,There are diffusion and evaporation lights,1,0,0,0
443,There are typhoons and rainy seasons.,0,0,0,0
444,Falls,0,0,0,0
445,I don't know.,0,0,0,0
446,I don't know.,0,0,0,0
447,"Smelling molecules are constantly moving and bumping into each other, spreading into the air",0,0,0,0
448,A phenomenon in which chalk does not mix with water and ethanol,0,0,0,0
449,"As the particle passes through the metal tube at a constant speed, the step shape, the kinetic energy received as the particle accelerates is constant, and the kinetic energy is proportional to the square of the speed, so the increase in speed is gradually reduced",0,0,0,0
450,I don't know,0,0,0,0
451,Fire and flood and so on,0,0,0,0
452,It's raining.,0,0,0,0
453,Evaporation,0,0,0,0
454,I don't understand.,0,0,0,0
455,Blowing air into the balloon increases the balloon.,0,0,0,0
456,It is the movement of particles because the balloon is blowing.,0,0,0,0
457,There is a typhoon.,0,0,0,0
458,I don't understand.,0,0,0,0
459,Fire Generation,0,0,0,0
460,evaporation of water,0,0,0,0
461,Particle movement is carried out by heat transfer,0,0,0,0
462,"Of course, all natural phenomena",0,0,0,0
463,Spreading,0,0,0,0
464,the spread of fart smell,0,0,0,0
465,I don't know.,0,0,0,0
466,Junho's smell is spreading.,0,0,0,0
467,Mr,0,0,0,0
468,the conduction of heat,0,0,0,0
469,heat conduction,0,0,1,0
470,Electromagnetic waves are generated by the vibrational motion of electrons.,0,0,0,0
471,The movement of the particles allows living things to live.,0,0,0,0
472,surface tension,0,0,0,0
473,It's an adhd.,0,0,0,0
474,I don't know,0,0,0,0
475,the destruction of the ozone layer,0,0,0,0
476,"Particle movement occurs, such as the movement of electrons, such as lightning.",0,0,0,0
477,the effect of a magnet,0,0,0,0
478,I don't know,0,0,0,0
479,The water is cut off.,0,0,0,0
480,Air circulation is typical,0,0,0,0
481,Spreading,0,0,0,0
482,all phenomena,0,0,0,0
483,Lightning,0,0,0,0
484,The water keeps evaporating.,0,0,0,0
485,It's all exercise.,0,0,0,0
486,Increasing entropy,0,0,0,0
487,circulation of air,0,0,0,0
488,the law of increasing entropy,0,0,0,0
489,"An example is the process by which nuclear fission occurs. When nuclear fission occurs, neutrons constantly move and generate energy by amplifying or decreasing it.",0,0,0,0
490,"""The Waves""",0,0,0,0
491,"Wave is a natural phenomenon caused by wind, but the movement of the owner varies depending on the natural sea wave and the deep sea wave, so the particles of the deep sea wave circle, but the natural sea wave ellipses.""",0,0,0,0
492,"There's an aurora. Aurora occurs when charged particles emitted from the sun collide with the Earth's magnetic field, where they glow.",0,0,0,0
493,Earthquake,0,0,0,0
494,ã´ãã¹ã´ãã±ìºã´ã·ì¼ã ã´ã·I didn't learn it!,0,0,0,0
495,Unknowingness,0,0,0,0
496,66áá¥ããããã,0,0,0,0
497,Plant growth changes the land,0,0,0,0
498,particle motion,0,0,0,0
499,molecular cooking,0,0,0,0
500,Person?,0,0,0,0
501,Ha ha ha ha.,0,0,0,0
502,Particles work out. I have a question Is particle exercise aerobic or anaerobic exercise?,0,0,0,0
503,the growth of plants,0,0,0,0
504,Moreugesseum,0,0,0,0
505,"the rotation of the earth, seasonal changes due to revolution, etc",0,0,0,0
506,The particles are active,0,0,0,0
507,There's a fire,0,0,0,0
508,Particles move.,0,0,0,0
509,It's going to grow,0,0,0,0
510,This natural phenomenon is the act of living things.,0,0,0,0
511,Particles exercise more than I do.,0,0,0,0
512,I don't know.,0,0,0,0
513,Don't know,0,0,0,0
514,I don't know,0,0,0,0
515,A typhoon?,0,0,0,0
516,I don't know.crying,0,0,0,0
517,I don't know. I hate science. Geukyeom,0,0,0,0
518,Yes.,0,0,0,0
519,Do.,0,0,0,0
520,"The atoms or molecules that make up a solid are attracting each other with strong attractions, and because atoms or molecules are regularly arranged, they cannot move freely, so they are only vibrating in place. Continuous lowering of the temperature is expected to stop the vibration of these solid molecules, which is about -273Â°C, and this temperature is called absolute zero (0 K). On the contrary, if the temperature of the solid is increased, the vibration of molecules or atoms is accelerated and the regular molecular arrangement of the solid collapses and turns into a liquid when it reaches the melting point.",0,0,0,0
521,,0,0,0,0
522,"As a way of describing the motion of solid molecules, the set of atoms or molecules that make up a solid can be likened to a set of heavy particles connected by very light springs with little mass, and intermolecular bonds can be thought of as each spring binds adjacent particles. When an external force is applied, the entire set of particles is compressed, expanded, or distorted, just like the properties of solids we know.",0,0,0,0
523,,0,0,0,0
524,"""In the case of heating a solid, if the heated molecule vibrates more, the neighboring molecules vibrate together, explaining the conduction of heat. If the solid particles become too large to break the spring, the regular arrangement collapses and melts into a liquid.""",0,0,0,0
