,"Breathing: Oxygen absorption, carbon dioxide release",ecosystem,Respect for Life,Human
30,nourish a plant,0,0,0
31,Store moisture in the roots of the absorption.,0,0,0
32,The roots of plants absorb water and nutrients to make them live well,0,0,0
33,The plant's roots nourish the plants by absorbing nutrients from the water and ground for their stems and leaves.,0,0,0
34,"It supports plants and absorbs water and minerals, and breeds through roots to increase the size of the population.",0,0,0
35,"Because of its roots, plants can grow well",0,0,0
36,Plant roots absorb nutrients from the ground and feed the leaves and stems,0,0,0
37,I don't know.,0,0,0
38,"Water absorption, fixing to the ground",0,0,0
39,Sturdy water by sucking nutrients.,0,0,0
40,Roots absorb water and nutrients and send nutrients and water to stem and fruit flowers,0,0,0
41,It sucks the nutrients from the soil and spreads them throughout the plant.,0,0,0
42,It helps plants grow.,0,0,0
43,Roots allow plants to grow well,0,0,0
44,I don't know.,0,0,0
45,"Support, absorb, and breathe.",0,0,0
46,The roots of plants absorb water and grow by photosynthesis in sunlight,0,0,0
47,Roots absorb moisture or nutrients in the soil.,0,0,0
48,It supports the plant.,0,0,0
49,"Support, nourishment and moisture absorption, and nutrient storage",0,0,0
50,Absorption of nutrients,0,0,0
51,The roots of plants absorb water and nutrients from the soil and support them.,0,0,0
52,Roots absorb nutrients and moisture by widening the surface area.,0,0,0
53,It absorbs water from the soil.,0,0,0
54,Plant roots support plants and absorb water and minerals. It also stores nutrients.,0,0,0
55,It absorbs moisture and minerals and supports plants.,0,0,0
56,It absorbs water.,0,0,0
57,supporting action,0,0,0
58,"Support, storage, absorption",0,0,0
59,It absorbs water through the root hairs.,0,0,0
60,"It supports the whole plant, absorbs water and minerals. It also stores nutrients.",0,0,0
61,nutrient supply,0,0,0
62,collecting nutrients to absorb moisture,0,0,0
63,eat nutrients,0,0,0
64,Water Absorption Nutrient Storage,0,0,0
65,It absorbs nutrients from the ground,0,0,0
66,Plants suck in nutrients and moisture from the soil.,0,0,0
67,It stores and absorbs moisture and energy,0,0,0
68,"Through the roots, plants get the nutrients and moisture they need to live.",0,0,0
69,It softens the ground. Eat the nutrients evenly.,0,0,0
70,"It absorbs nutrients, making plants grow and supporting",0,0,0
71,Energy absorption,0,0,0
72,The roots of the plant are responsible for saving and absorbing nutrients and supporting the plant to the ground.,0,0,0
73,It absorbs moisture from the ground for nourishment,0,0,0
74,It's... It's-----?¡ã¡?¡ã¡??I don't know.,0,0,0
75,absorption of water,0,0,0
76,"The roots absorb moisture from the soil, so the nutrients...",0,0,0
77,Sucking in water and taking in nutrients,0,0,0
78,"It absorbs moisture from the ground and supplies it to plants, and supports them in windy or steep areas.",0,0,0
79,Suck the water in.,0,0,0
80,The plant's roots support the plant's stems and leaves and also absorb nutrients in the soil.,0,0,0
81,It works to provide water and nutrients.,0,0,0
82,Roots make plants stand well,0,0,0
83,I don't know.,0,0,0
84,It supports plants.,0,0,0
85,It absorbs the separators on the ground to photosynthesize plants,0,0,0
86,Various,0,0,0
87,It supports stems on the ground or stores nutrients,0,0,0
88,It absorbs water or nutrients and supports plants,0,0,0
89,Plant roots absorb soil nutrients and water and transfer it to the plant's body,0,0,0
90,"Plants have tubes that can carry nutrients and water, and they move there.""",0,0,0
91,It provides nutrients to plants on the ground.,0,0,0
92,Hold it upright and drink water.,0,0,0
93,"They photosynthesize and absorb water with organs such as stems, leaves, roots, etc",0,0,0
94,nourish,0,0,0
95,"It absorbs water in the soil, decomposes nitrogen components such as fertilizers, and delivers them to its own stems.",0,0,0
96,Absorb water from the soil and supply it to the plant body,0,0,0
97,It absorbs nutrients from the ground,0,0,0
98,to supply water to plantsTo restore nature,0,0,0
99,A variety of creatures gives us a variety of conveniences.,0,0,0
100,"If you restore fish from ancient times, there are many things for foreigners to see, so exports can be expensive",0,0,0
101,This is because almost all plants have to increase diversity because they help living things.,0,0,0
102,The world is better when the ecosystem is maintained well,1,0,0
103,I can't see any more extinct creatures,0,0,0
104,"By maintaining biodiversity, we can continue to obtain resources from ecosystems",1,0,0
105,"""Because if there are not many different species, all of them can be wiped out when there is an infectious disease that kills them later.On the other hand, if there's a variety, even if there's an epidemic, among various creatures,",0,0,0
106,"You can find and study the immune system to prevent infectious diseases.""",0,0,0
107,To keep animals in the zoo,0,0,0
108,"In order for people to see many creatures at the zoo,",0,0,0
109,"If plants become extinct, they will not be able to eat them in the future",0,0,0
110,"If it's extinct, it's a class to watch",0,0,0
111,The creature is doing something to help the Earth in its previous life,0,0,0
112,"Without plants, animals and humans would starve",0,0,0
113,"To prevent fine dust,",0,0,0
114,It's good to see various creatures.,0,0,0
115,For Science,0,0,0
116,I thought it would be good to see and live with many things,0,0,0
117,"Because everything has an important role one by one (e.g., worms make the land good)",0,0,0
118,This is because increasing biodiversity is also helpful to us humans.,0,0,0
119,"Without animals, humans are gone",0,0,0
120,"If the environment changes rapidly, there is a high probability of extinction",0,0,0
121,Biodiversity also gives us economic benefits and many other benefits,0,0,0
122,"This is because if biodiversity is destroyed, humans will also suffer.",0,0,0
123,This is because we need to protect and protect the environment.,0,0,0
124,Lower biodiversity also damages humans.,0,0,0
125,"Because when biodiversity collapses, the damage affects people",0,0,0
126,"If there's a variety of plants, there's a lot of oxygen",0,0,0
127,The reason for increasing biodiversity is that the Earth's environment can be changed by living things,0,0,0
128,We want to increase the diversity of living things so that humans can study them and gain knowledge,0,0,0
129,Life because I can help in our lives.,0,0,0
130,To get to what's needed to increase the diversity.,0,0,0
131,Live human beings are live creatures.,0,0,0
132,"Enhance biodiversity, the new things about life can be.",0,0,0
133,I don't have food that we can live without animals to be.,0,0,0
134,"Has many kinds of animals away, all those people and animals are suffering greatly.",0,0,0
135,"As the world turns, development,",0,0,0
136,A new thing to see ^^ ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;.,0,0,0
137,In order to see a new life.,0,0,0
138,In the past to see,0,0,0
139,"Have a higher biodiversity, like paper would most likely derived from similar species. So, will more likely to create a vaccine for disease.",0,0,0
140,One of the changing how you can observe the Earth.,0,0,0
141,A variety of creatures existed a variety of information only in animal studies and because they can apply it in real life? Huh.,0,0,0
142,Some people are living in an environment should be life can live.,0,0,0
143,"Biological interactions to humans live. Therefore, life is important to humans.",0,0,0
144,It's because the environment gets better when the ecosystem is diversified,1,0,0
145,This is because the environment becomes better when the ecosystem is diversified.,1,0,0
146,Too many to look good :D,0,0,0
147,This is because people are curious and greedy for human beings.,0,0,0
148,"To get a variety of genes to survive in some extreme environment,",0,0,0
149,"This is because the higher the biodiversity, the more advantageous it is for human life.",0,0,0
150,For the future,0,0,0
151,So I can eat it later It's food for the future,0,0,0
152,Increasing biodiversity may be useful for the tourism industry.,0,0,0
153,"It's because if the ecosystem is ruined, it's hard for us to live",1,0,0
154,"Otherwise, I won't be able to see the cute rabbit",0,0,0
155,"That way, the zoo's income will be good",0,0,0
156,I'm going to put it in the zoo and watch it,0,0,0
157,"This is because the more diverse living things are, the more animals and plants we can know.",0,0,0
158,This is because we can see more living things if we increase biodiversity.,0,0,0
159,"""Because there is less and less food available to humans,",0,0,0
160,"""",0,0,0
161,"This is because the more we learn about biodiversity, the more scientific humanity can develop.",0,0,0
162,"A variety of organisms can carry out genetically engineered tasks, thus increasing biodiversity",0,0,0
163,Increasing biodiversity allows genetic manipulation and can conduct related experiments.,0,0,0
164,Increasing biodiversity allows genetic manipulation and can conduct his related experiments,0,0,0
165,"If we increase biodiversity, we can genetically modify it and conduct courtship-related experiments",0,0,0
166,"If we increase biodiversity, we can genetically modify it, so we can conduct experiments",0,0,0
167,"Increasing biodiversity enables genetic tissue, allowing experiments related to it.",0,0,0
168,"Increasing biodiversity allows genetic manipulation, allowing experiments related to it.",0,0,0
169,"Failure to preserve biodiversity will reduce human fisheries, agricultural production, or raw materials for medicines, and increase infectious diseases and autoimmune disorders. Also, indigenous people who rely directly on ecosystems will be threatened with livelihoods.",1,0,0
170,Because living things help us a lot,0,0,0
171,There has to be a variety of living things to create an ecosystem where humans can live,1,0,0
172,"The reason why biodiversity is important is that more organisms or ecosystems decompose, produce, or consume can have a good effect on humans.But if ecosystems or organisms are gone, there is nothing we can benefit from, and the environment is polluted.",1,0,0
173,"If a creature dies, we die, too",0,0,0
174,"Living things help humans a lot to live. For example, meat such as pigs, cows, ducks, and chickens is eaten by many people, and poop made by animals can be used as manure to grow crops in the fall. Like this, living things and humans are like chains. In addition, the reason for restoring extinct creatures is to observe the temperature or environment suitable for the natural environment where the creature lives and to find out the environment in which more creatures live.",0,0,0
175,There must be a variety of living things for humans to live on.,0,0,0
176,"""They help people and create a clean environment for people to live in",0,0,0
177,"Therefore, biodiversity should be increased.""",0,0,0
178,"If biodiversity is high, there is a lot of data that can be collected, so bio-technology is likely to develop.",0,0,0
179,"""If there's a lot of biodiversity, it looks like there's a lot",0,0,0
180,"I'm very, very happy to have so much to show off.""",0,0,0
181,"Genetic diversity within each species must exist to seize opportunities to evolve, and to respond to changing environments. It's the same thing that we avoid incest marriages to avoid the emergence of recessive genes. After all, genetic diversity can be said to be beneficial to the future of oneself, Koreans, and even humans and all animals.",0,0,0
182,This is because humans actually control the environment on Earth and must have moral responsibility for other creatures. It is also because of biodiversity that humans can obtain high-quality nutrients through plant breeding and cultivation.,0,0,0
183,"If the biological system is diverse, it will benefit a lot from living, and if the diversity of the ecosystem is small, it will be a big blow to humans",1,0,0
184,"If the biological ecosystem is destroyed, it will cause damage to humans",1,0,0
185,"If there is no biodiversity, the ecosystem will be destroyed",1,0,0
186,Because living things can make good things through advanced life sciences,0,0,0
187,"When an ecosystem is destroyed, it has a bad effect on our human lives",1,0,0
188,"If there are many creatures, there are many creatures we can see",0,0,0
189,It's good for humans if there's a variety of living things,0,0,0
190,Endangered species are helping us,0,0,0
191,Animals are cute,0,0,0
192,It is because we can experiment in various ways only with living things,0,0,0
193,"To see a lot of biological possibilities,",0,0,0
194,It's because living things have to be diverse to live without any deficiencies,0,0,0
195,Living things help us,0,0,0
196,It is developed by investigating life and inventing it by its characteristics,0,0,0
197,"The more creatures exist, the more natural and human harmony is achieved?When living things disappear, so do humans",0,0,0
198,"This is because it is beneficial to mankind, such as seed improvement and drug development.",0,0,0
199,This is because it may be needed for future generations.,0,0,0
200,This is because lack of biodiversity easily destroys the food chain.,0,0,0
201,This is because it is necessary to increase biodiversity to identify the taxonomic location between living things and to help investigate the global environment of the past.,0,0,0
202,"As biodiversity grows, it is a step away from the risk of extinction.",0,0,0
203,The ecosystem is maintained only when there is a variety of living things,1,0,0
204,It's good to have a variety of creatures,0,0,0
205,"Because the more diverse creatures are, the better the food chain works",0,0,0
206,Ecosystem restoration should be done to smoothly distribute the food chain that exists in the ecosystem,1,0,0
207,Only when species diversity is preserved can ecosystems be maintained,1,0,0
208,This is because the food chain is maintained and the ecosystem is stable only when biodiversity is maintained.,1,0,0
209,"This is because if there is no biodiversity, the food chain in the ecosystem will be broken, and it will act as a greater stimulus, which may eventually lead to the extinction of all living things on Earth.",1,0,0
210,This is because the possibility of extinction can be reduced only by increasing biodiversity.,0,0,0
211,"The destruction of the ecosystem and the netting of the food chain will also disappear, so the population will disappear very quickly.",1,0,0
212,This is because the survival rate increases only when biodiversity is high.,0,0,0
213,Only when biodiversity is maintained can ecosystem-specific food chains be maintained and all living things become extinct.,1,0,0
214,"If there is very little food chain, if one species dies, all food chains die one after another, so biodiversity becomes high, and biodiversity must be increased in order to maintain stability even if one species goes extinct",0,0,0
215,This is because the ecosystem is destroyed.,1,0,0
216,"When living things are diverse, the food chain is complicated, and the ecosystem is maintained even if one sub-object or sub-object disappears.",1,0,0
217,This is to prevent the ecosystem from collapsing and destroying the food chain.,1,0,0
218,"This is because when biodiversity is lowered, the food chain's structure is simplified, and even a small change causes a great disruption to the ecosystem.",1,0,0
219,It is to maintain an ecosystem.,1,0,0
220,"""I know. Why do you raise it up?"" at the expense of money",0,0,0
221,"The food chain can be simplified. Then, a small change can cause great damage to the living system.""",0,0,0
222,This is because a lack of biodiversity can lead to a series of destruction of the food chain connected to an animal when it goes extinct.,0,0,0
223,"It is necessary to increase biodiversity so that even if the food chain is destroyed, it can be recovered and the food chain is easily preserved.",0,0,0
224,"Global warming caused by the greenhouse effect has disrupted the ecological environment, such as melting glaciers in the Arctic and changing the ecological environment location of fish. As they become disturbed, some creatures become extinct, and as they become more and more extinct, their biodiversity decreases. Therefore, it is intended to revive the ecological environment through efforts to restore extinct creatures in order to create an environment where they can coexist.",0,0,0
225,"This is because the food chain becomes more complicated and even if a creature in the lower part becomes extinct, it does not affect the upper species.",0,0,0
226,"In the future, it would be nice if animals were extinct and there were many animals.",0,0,0
227,There must be animals in the country,0,0,0
228,"To maintain the ecosystem,",1,0,0
229,The reason why we need to increase biodiversity is that the ecosystem is maintained only when there is a variety of living things,1,0,0
230,"When animals become extinct, they have an effect on the ecosystem",1,0,0
231,This is because other animals can live well because the food chain is not broken only when extinct creatures are restored.,0,0,0
232,It affects other living things,0,0,0
233,Extinction destroys ecological dogs,0,0,0
234,This is because the Earth's environment is improved only when there are various creatures.,0,0,0
235,Because all living things have a great influence on each other.,0,0,0
236,"To keep the ecological pyramid alive,",0,0,0
237,I'm someone who gets eaten and gets eaten,0,0,0
238,"Since the ecosystem is destroyed by environmental pollution and the types of living things are gradually disappearing, the diversity of living things must be increased.",1,0,0
239,It's because the ecosystem is balanced when various creatures gather,1,0,0
240,This is because predators live longer because they have more food when living things are diverse.,0,0,0
241,Increasing biodiversity will make the Earth's ecosystem more robust.,1,0,0
242,"To maintain the ecosystem,",1,0,0
243,There must be a variety of living things to preserve the ecosystem,1,0,0
244,"This is because if life is lost and extinct, the ecosystem will collapse and the ecosystem will no longer be preserved.",1,0,0
245,"This is because if the biodiversity is not increased, the creatures that feed on the plant disappear and the creatures that feed on the plant disappear, breaking the balance of the ecosystem.",1,0,0
246,"If a creature disappears, there will be no creature that feeds on it This phenomenon will be repeated and the ecosystem will be out of balance",1,0,0
247,"The world all moves in harmony. So, if even one place in the world collapses, his natural enemy dies without food, and his natural enemy dies without food, and in the worst case, the world may collapse as this cycle repeats itself.",0,0,0
248,To make the ecosystem more active.,1,0,0
249,"There has to be a variety to create a biological pyramid, right? The conclusion must be diverse to preserve the ecosystem",1,0,0
250,We need to maintain the ecosystem,1,0,0
251,"That way, the ecological balance is right",0,0,0
252,To maintain the ecosystem.,1,0,0
253,"Now that there are many endangered species, to restore extinct animals and plants.",0,0,0
254,The ecosystem is better when there is a variety of living things,1,0,0
255,"Now that there are more endangered species, it is to restore extinct animals and plants again.",0,0,0
256,A variety of living things can be full because the food chain is longer.,0,0,0
257,The creatures could disappear,0,0,0
258,"If even one creature disappears, another creature disappears",0,0,0
259,Maintaining the Ecosystem,0,0,0
260,It's because the food chain is simple,0,0,0
261,"If there is no diversity in the ecosystem, if an animal becomes extinct, the creatures that eat it will die. However, if there are various ecosystems, even if one creature becomes extinct, it can survive by eating another.",1,0,0
262,This is because ecological equilibrium is not easily broken only when biodiversity is high,0,0,0
263,It's because you have to increase diversity to interact,0,0,0
264,"This is because if biodiversity decreases, life can eventually disappear in the distant future.",0,0,0
265,"To keep the food chain safe,",0,0,0
266,"In an ecosystem with low biodiversity, if a species suddenly disappears, the living creatures that feed on it can disappear, making it advantageous for a diverse ecosystem to live",1,0,0
267,"The higher the biodiversity, the less easily the ecosystem is destroyed",1,0,0
268,It's for the peace of the ecosystem,1,0,0
269,"If biodiversity is high, the ecosystem will not be destroyed easily",1,0,0
270,"This is because when biodiversity increases, the food chain remains stable.",0,0,0
271,"In places with high biodiversity, the food chain is simple, so even if any species disappears, it can maintain the ecosystem by feeding on other creatures. However, in places where biodiversity is low, if one animal becomes extinct, even other creatures are threatened with life. Therefore, even if a creature that has to increase biodiversity becomes extinct, other creatures can live by feeding on other creatures, so biodiversity should be increased.",1,0,0
272,This is because the balance of the ecosystem is not easily broken only when there are more species in the food chain.,1,0,0
273,"In an ecosystem with low biodiversity, the food chain is simple, so if a species suddenly disappears, other living things that feed on it disappear together.",1,0,0
274,Biodiversity can keep the ecosystem stable.,1,0,0
275,"In an ecosystem with low biodiversity, the food chain is simple, so if a species suddenly disappears, other living things that feed on it can disappear together. However, in an ecosystem with high biodiversity, there are many other organisms that can replace any species that have a complex food chain and disappear soon. Therefore, high biodiversity reduces the risk of extinction of living things, allowing the ecosystem to remain stable.",1,0,0
276,This is because the ecosystem is stable only when biodiversity is high.,1,0,0
277,"This is because the higher the biodiversity, the longer the ecosystem is maintained.",1,0,0
278,The ecosystem will collapse,1,0,0
279,"""For the survival of other species, the food chain is complicated only when biodiversity is high",0,0,0
280,"because it increases the chances of survival.""",0,0,0
281,To balance the ecosystem.,1,0,0
282,It's because there's a food chain in order for living things to live well,0,0,0
283,"Well, to maintain the ecosystem?",1,0,0
284,for ecological diversity,0,0,0
285,"Because the ecosystem is made up of food chains, it seems to be because restoring the living things that Sarah is doing is making the ecosystem more balanced...",1,0,0
286,Because living things have to grow evenly,0,0,0
287,"""When plants exist, herbivores live, and when herbivores live, carnivores live",0,0,0
288,The Living Animal Pyramid (To Prevent Ecological Destruction),0,0,0
289,"That way, the ecosystem where the creature lived can be maintained",1,0,0
290,It's an opportunity to restore old animals and learn about the history of the war,0,0,0
291,It can be maintained from the ecosystem as a variety of organisms,1,0,0
292,To maintain the ecosystem,1,0,0
293,It's hard to survive when the bird is gone,0,0,0
294,"If one creature disappears, the ecosystem could collapse",1,0,0
295,"Because all living things are connected to ecosystems, there is a high risk of an organism becoming extinct",1,0,0
296,"To preserve the ecosystemI don't know, but wouldn't it be good to have various things? To maintain the food chain",1,0,0
297,To protect the food chain,0,0,0
298,"When there is confusion in the ecosystem, various things such as the food chain of living things are twisted. Increasing biodiversity can make the ecosystem stable.",1,0,0
299,"When a species disappears from the ecosystem food chain, the species that feeds it disappears, and then it collapses",1,0,0
300,To avoid mass extinction,0,0,0
301,by conservation of ecosystems,1,0,0
302,Because there is a great risk of extinction,0,0,0
303,This is because the possibility of survival increases only when biodiversity is high.,0,0,0
304,This is because biodiversity must be high to adapt well to environmental changes so that they can survive without extinction,0,0,0
305,This is because the ecological balance is not broken if there is a variety of living things,0,0,0
306,This is to prevent mass extinction because a single species can become extinct together when caught by the virus.,0,0,0
307,Increasing ecosystem diversity is highly likely to preserve the ecosystem well and does not easily become extinct.,1,0,0
308,We need to balance the ecosystem,1,0,0
309,"This is because the more creatures there are as the environment changes, the more likely it is that even if one species becomes extinct, other creatures will replace it and preserve the ecosystem.",1,0,0
310,a food chain,0,0,0
311,This is because creatures are more likely to be chosen naturally.(The risk of extinction is reduced.),0,0,0
312,There are species that survive rapid environmental changes to maintain the ecosystem,1,0,0
313,"This is because if biodiversity is low, all living things on Earth can disappear due to natural disasters or external factors.",0,0,0
314,It is to maintain the ecosystem.,1,0,0
315,"This is because ecosystems have close interactions, and each living thing has a lot of influence on ecosystem maintenance.",1,0,0
316,Because all living things play different roles in their ecosystems,1,0,0
317,"To maintain the ecosystem,",1,0,0
318,"Because the existence of various species is beneficial to the maintenance of ecosystems,",1,0,0
319,"That way, the ecosystem lasts for a long.",1,0,0
320,The normal food chain is maintained only when the ecosystem is balanced.,1,0,0
321,Because there are so many endangered species,0,0,0
322,"The higher the biodiversity, the less likely it is to become extinct",0,0,0
323,"If there's only one species, there's an epidemic, and if you attack that species, it could go extinct",0,0,0
324,"When life goes extinct, the ecosystem becomes unstable.",1,0,0
325,"This is because if biodiversity decreases, the ecosystems collapse",1,0,0
326,"""I don't want to go extinct.""",0,0,0
327,"Diversity is higher, so there's less chance of extinction.""",0,0,0
328,This is because ecosystem balance is maintained only when biodiversity is increased.,1,0,0
329,Ecosystem balance is maintained only when biodiversity is increased,0,0,0
330,"If we increase biodiversity, the ecosystem balance will be stronger",1,0,0
331,"This is because the food chain of living things is well maintained only when biodiversity is increased, maintaining ecosystem balance.",1,0,0
332,This is because ecological crabs were maintained only when biodiversity was high,0,0,0
333,"There's a food chain, and if any one of them collapses, the ecosystem will be destroyed",1,0,0
334,"This is because the more diverse creatures are, the less likely the ecosystem is to collapse.",1,0,0
335,"This is because as biodiversity increases, the population increases, and even if a species goes extinct, there are more creatures to replace it.",0,0,0
336,This is because biodiversity is maintained in an ecosystem balance.,1,0,0
337,"There are ecological pyramids in the ecosystem, and if one disappears in places with low biodiversity, the balance collapses, but if one disappears in areas with high biodiversity, animals can continue to disappear.",1,0,0
338,This is because biodiversity is maintained in an ecosystem balance.,1,0,0
339,"If we increase biodiversity, the ecosystem will be maintained",1,0,0
340,"This is because if living things become extinct, the balance of the ecosystem will be shaken and the food chain will be narrowed.",1,0,0
341,"Even if the food chain disappears, the ecosystem is maintained even if there are many animals, but as the animals disappear more and more, natural enemies disappear and should be high for the balance of the ecosystem.",1,0,0
342,"This is because when biodiversity increases, only one creature does not isolate itself in nature, coexists, and lives in a good form with each other",0,0,0
343,"This is because the higher biodiversity, the more stable the ecosystem is",1,0,0
344,"The reason for increasing biodiversity is that if there are many plants, more herbivores live, and if the number of herbivores increases, the number of carnivores increases, forming a food chain, and maintaining the food chain without collapsing when either individual dies.",0,0,0
345,"This is because if the food chain is dangerous, all ecosystems will be destroyed.",1,0,0
346,"If biodiversity decreases, living things can easily go extinct",0,0,0
347,The reason why biodiversity is so important is to maintain the same ecosystem in the future,1,0,0
348,"It's because if even one meal disappears, there will be a problem with the ecosystem",1,0,0
349,"To maintain the ecosystem,",1,0,0
350,It is related to the food chain. The reason why an organism becomes extinct is because it affects many living things.,0,0,0
351,"If a single organism disappears, many organisms die in a chain reaction",0,0,0
352,This is because all animals are now almost endangered.,0,0,0
353,"By increasing biodiversity, the ecosystem is maintained by maintaining the food web",1,0,0
354,To protect the Earth (Superman!),0,0,0
355,This is because the strength of the weak is circulated well only when the biodiversity is high,0,0,0
356,This is because the ecosystem can be maintained even if a species with high biodiversity is extinct.,1,0,0
357,"This is because by increasing biodiversity, food chains and food nets can be diversified and the survival rate of living organisms can be increased.",0,0,0
358,For the stability of the food pyramid.,0,0,0
359,"As biodiversity increases, the food chain may exist in a more specific and stable form.",0,0,0
360,"This is because if biodiversity is destroyed, the balance will be broken in the ecosystem.",1,0,0
361,"Since living things are all connected by organic relationships, the disappearance of any species can affect the entire ecosystem.",1,0,0
362,"This is because if biodiversity is destroyed, the balance of the ecosystem will be broken, starting with the food chain.",1,0,0
363,"Biodiversity must be diverse so that the food chain or the top individuals do not falter when one species goes extinct. If biodiversity is not diverse, there is a greater chance that predators on top of it will become extinct when an animal becomes extinct. Conclusion: There is a wide variety of biodiversity, which makes it less likely that there will be mass extinction.",0,0,0
364,"If you think about the case where biodiversity is not achieved, you can think of the worst case in which a single species can all die from a single disease. In the end, if there is no diversity of living things, the risk of extinction increases.",0,0,0
365,"Living things live under the ecosystem pyramid. A decrease in ecosystem diversity can lead to the collapse of the pyramid, and at the same time can result in an acceleration of biodiversity reduction.",1,0,0
366,"The more diverse creatures live on Earth, the more diverse the Earth's ecosystem will become. In the food chain, the more creatures there are in each class, the more they can continue to live in the upper class, so they try to increase biodiversity.",1,0,0
367,High biodiversity stabilizes the ecosystem pyramid because it requires many species to have the ability to restore or overcome one species even if it disappears or is endangered.,1,0,0
368,"In an ecosystem with low biodiversity, the food chain is simple, so when a species goes extinct, the ecosystem's balance is broken and chaos occurs. To prevent this phenomenon, we must increase biodiversity.",1,0,0
369,"An ecosystem with low biodiversity has a simple food chain, so if a species suddenly disappears, the entire ecosystem can be shaken. On the other hand, ecosystems with high biodiversity have complex food chains, so even if a species suddenly disappears, it will be damaged, but the entire ecosystem will not be shaken.",1,0,0
370,"If you're in danger of extinction, your ecosystem will be destroyed",1,0,0
371,The earth could be ruined,0,0,0
372,"When there is only one creature, it has the disadvantage of that one creature and it is turned to one side",0,0,0
373,"""Increasing biodiversity reduces the chance of one species becoming extinct in an ecosystem.",1,0,0
374,"One species is not easily extinct because it can replace another.""",0,0,0
375,The reason for increasing biodiversity is to correct the current ecosystem.,1,0,0
376,For the new king,0,0,0
377,"Greya, the ecosystem is maintained",1,0,0
378,The food chain and the food pyramid can change,0,0,0
379,"""There are few extinct creatures now, but most people don't knowbut",0,0,0
380,"If the endangered species are lost, the food chain will be threatened and the food web will change.""",0,0,0
381,"In order to preserve the ecosystem, biodiversity must be increased. One village had potatoes as its staple food was potato. As they only grew potatoes without growing other plants, the whole field became a potato field. However, in the spring of this year, the plague broke out and all the potato sprouts died, and all the villagers died. As such, biodiversity is important for ecosystem conservation.",1,0,0
382,To raise the biological hierarchy and boost the food chain,0,0,0
383,To preserve the raw frame,0,0,0
384,"To achieve ecological parallels,",0,0,0
385,"Because if there's one more thing, the ecological balance doesn't match.",0,0,0
386,It's because it goes extinct,0,0,0
387,Because the food chain is so long,0,0,0
388,To keep the ecosystem from being ruined.,1,0,0
389,To protect living things and create new species.,0,0,0
390,The ecosystem can be stabilized only when biodiversity is high,1,0,0
391,"They share different roles, but there are some difficulties in replacing them",0,0,0
392,Because the ecosystem is destroyed.,1,0,0
393,This is because animals can live on other plants and adapt more to the environment and evolve only when the types of plants are diverse.,0,0,0
394,This is because the food chain must be maintained well so that the animal at the top of the food chain can eat.,0,0,0
395,"Because the ecosystem needs to be well preserved. environmental protectionEven if one creature disappears at once, the ecosystem balance is not broken.",1,0,0
396,"To maintain the food chain, if you don't maintain the food chain, the animals at the top can eat",0,0,0
397,This is because the ecosystem can be maintained well by increasing biodiversity to create a lot of food for animals.,1,0,0
398,"This is because living things interact with each other, make up for each other's shortcomings, and are linked to each other's food chains, so even if one species becomes extinct, it can have a bad effect on other species.",0,0,0
399,This is because the ecosystem is activated only when biodiversity is increased.,1,0,0
