,"19. Many environmental groups have recently warned that a decline in biodiversity could pose a global risk. Recently, the number of species has been decreasing rapidly. Why is the number of endangered species increasing recently? Let's explain in detail using our knowledge of biodiversity. ",climate change,respect for life,environmental destruction,biological effects,human activity
369,"Because of global warming,",0,0,0,0,0
370,Endangered species are increasing due to loss of habitat due to temperature changes caused by global warming and ecosystem destruction caused by reckless development.,0,0,0,0,0
371,This is because humans kill living things to take their advantage.,0,0,0,0,0
372,"Global warming causes the Earth's climate to change, and as a result, the habitat's environment changes, resulting in an increase in endangered species.",0,0,0,0,0
373,This is because various environmental changes such as global warming appear rapidly.,0,0,0,0,0
374,"Habitat changes due to indiscriminate capture, hunting, and global warming of people.",0,0,0,0,0
375,Because humans kill a lot of animals Human waste. Human waste. Human beings shouldn't be on the planet,0,0,0,0,0
376,"""There's been an increase in ecological disruption",0,0,0,0,0
377,"""",0,0,0,0,0
378,I don't know,0,0,0,0,0
379,the merciless and indifferent environmental problems of man,0,0,0,0,0
380,It's because global warming is destroying the planet's ecosystem,0,0,0,0,0
381,It's because of reckless hunting.,0,0,0,0,0
382,"Due to global warming, the temperature rises rapidly, and living things die because they cannot adapt to the environment",0,0,0,0,0
383,It is because the ecosystem is ruined by the merciless hunting of mankind,0,0,0,0,0
384,It's because people are ruining the natural ecosystem,0,0,0,0,0
385,"Due to the continuous pollution and destruction of the human environment,",0,0,0,0,0
386,This is because biodiversity is decreasing due to the invasion of creatures such as foreign species and global warming.,0,0,0,0,0
387,This is because biodiversity is decreasing due to invasion of creatures such as foreign species and global warming.,0,0,0,0,0
388,Species are decreasing due to global warming.,0,0,0,0,0
389,"This is because when the temperature rises due to global warming, animals and plants living in the existing temperature die without adapting to changes in temperature.",0,0,0,0,0
390,This is due to global warming caused by indiscriminate destruction of nature and carbon dioxide emissions by humans.,0,0,0,0,0
391,"Because of the indiscriminate destruction of nature by humans,",0,0,0,0,0
392,I think the number of endangered species increases because of the indiscriminate destruction of nature by humans,0,0,0,0,0
393,M and D,0,0,0,0,0
394,I don't know,0,0,0,0,0
395,I'll eat itI'm a sophomore at Kwangsung High School,0,0,0,0,0
396,ã± and ã,0,0,0,0,0
397,Biodiversity is decreasing due to global warming and environmental destruction.,0,0,1,0,0
398,It is because of environmental destruction.,0,0,1,0,0
399,"I think it is because of global warming, cutting down trees in the mountains, eliminating the habitat of animals, and making golf courses.",0,0,0,0,0
400,The ecosystem changes as the climate changes.,1,0,0,0,0
401,"Preference for livestock that are easy for people to raise has disrupted the balance of biodiversity, increasing the number of cases of extinction.",0,0,0,0,0
402,The environment in which living things can live is gradually disappearing. We need to be more alert and nurture the planet.,0,0,0,0,0
403,This is because it affects the ecosystem as global warming accelerates.,0,0,0,0,0
404,Ecology can be destroyed because it restores endangered species through science,0,0,0,0,0
405,This is because the habitat of living things is disappearing due to indiscriminate deforestation and environmental pollution by humans.,0,0,0,0,0
406,"This is due to the indiscriminate development of humans and the destruction of ecosystems due to global warming, which has reduced the habitat of living things.",0,0,0,0,0
407,"Since the Industrial Revolution, the temperature of the Earth has risen sharply due to the increase in fossil fuel use by humans. As a result, sensitive creatures of temperature became extinct due to their inability to adapt to the environment, and other creatures became extinct due to the food chain relationship with these creatures. Or there are creatures whose natural enemies have disappeared and increased dramatically, which in turn can lead to the extinction of other creatures. Living creatures that lived in balance through interaction with each other cannot interact and become extinct.",0,0,0,0,0
408,The ecosystem pyramid collapsed as an individual disappeared due to reckless environmental pollution.,0,0,0,0,0
409,This is because the food available to the creatures is disappearing and the environment in which they can stay is gradually disappearing.,0,0,0,0,0
410,"environmental pollution, human capture",0,0,0,0,0
411,"In order for creatures to live in various ways, the ecosystem must be diverse. However, as technology develops, humans change their natural environment to adapt easily, not to adapt to the natural environment, so the diversity of the ecosystem decreases and thus the diversity of living things decreases.",0,0,0,0,0
412,"Living things are greatly influenced by the environment. Looking at the mass extinction so far, it has been most affected by environmental factors such as the glacial period and rapid decrease in temperature due to volcanic ash. As global warming intensifies, species that are relatively unable to adapt to climate change disappear, and creatures that feed on the missing creatures disappear according to the food pyramid, and continue to be extinct by affecting them like dominos.",1,0,0,0,0
413,"Human life becomes richer due to the development of science and industry, but endangered species increase due to the destruction of nature and ecosystems.",0,0,0,0,0
414,"The reason biodiversity is destroyed is because of the food chain. In the ecological pyramid, even if only one of the producers' primary, secondary, and tertiary entities disappears due to environmental factors (e.g., global warming or river pollution), many animals are in a food web relationship, so when one individual disappears, others disappear, and biodiversity has been decreasing recently.",0,0,0,0,0
415,"As more animals become extinct due to changes in the environment, the biodiversity of an ecosystem decreases. Decreasing biodiversity reduces the diversity of the food chain, which in turn results in the extinction of more living things.",0,0,0,0,0
416,This is because the environment in which living things can live is being destroyed.,0,0,0,0,0
417,"Biodiversity is essential to maintain an ecosystem, and as species shrink, more and more species become extinct or endangered due to the positive feedback effects. The biggest reason for the increase in endangered species is global climate change, which is increasing because it is fatal to living organisms that adapt to the climate.",1,0,0,0,0
418,People destroy the environment and the environment in which living things can live becomes poor,0,0,0,0,0
419,"As more fertilizers and chemicals (pesticides, pesticides, herbicides, etc.) are used to secure new agricultural land for food production along with habitat loss due to population growth, pollution of water and soil is an important cause of extinction. In addition, there are many damages caused by foreign species introduced by humans.",0,0,0,0,0
420,It is because of the indiscriminate environmental destruction of humans. The habitat of species is disappearing due to environmental destruction.,0,0,1,0,0
421,.,0,0,0,0,0
422,It's a reckless development of human beings.,0,0,0,0,0
423,Ankimchi. (Ankimchi in Korean),0,0,0,0,0
424,"As cities formed between habitats, communication became impossible",0,0,0,0,0
425,This is because living things die due to various environmental pollution.,0,0,0,0,0
426,in the pursuit of human interests,0,0,0,0,0
427,It is because of the cruel selfishness of man.,0,0,0,0,0
428,"Because of global warming, there is no food",0,0,0,0,0
429,Because of global warming or hunting.,0,0,0,0,0
430,It is because of global warming and environmental pollution due to people.,0,0,0,0,0
431,Because of global warming,0,0,0,0,0
432,The sky is more comfortable than the earth,0,0,0,0,0
433,The sky is more comfortable than the earth,0,0,0,0,0
434,due to environmental pollution,0,0,0,0,0
435,"Environmental factors due to global warming, over-devastating forests, reducing habitat for living things",0,0,0,0,0
436,"Excessive hunting, habitat destruction, and other species introduced for pest control or landscape purposes are representative examples of anthropogenic effects",0,0,0,0,0
437,"As the environment changes, there are creatures that cannot adapt to the environment",0,0,0,0,0
438,"As global warming gets worse, the environment changes, and animals cannot adapt, so the number of species decreases gradually decreases.",0,0,0,0,0
439,Because of environmental pollution,0,0,0,0,0
440,"Today, global warming comes because a lot of carbon, such as factories, cars, and garbage, is emitted, and for this reason, crisis species are increasing.",0,0,0,0,0
441,I don't know.,0,0,0,0,0
442,"Endangered species have recently increased due to excessive hunting, habitat destruction, or the influx of exotic species",0,0,0,0,0
443,I think it's because of people's environmental pollution,0,0,0,0,0
444,"Humans advance and make many things, kill creatures, and make tools to kill creatures",0,0,0,0,0
445,The destruction of the human ecosystem is the cause.,0,0,0,0,0
446,It increases because the air becomes bad and global warming becomes speeding,0,0,0,0,0
447,It's because of people's reckless environmental damage.,0,0,0,0,0
448,Because the environment changes as the average temperature of the earth rises due to global warming,0,0,0,0,0
449,"Global warming has accelerated, making it difficult for living things to adapt",0,0,0,0,0
450,"This is because the average annual temperature of the earth increases in Mune due to global warming, and it rises little by little every year to a temperature that cannot be inhabited by living things.",0,0,0,0,0
451,"Due to global warming, many animals and plants are dying and causing a lot of trouble to us.",0,0,0,0,0
452,Because humans eat animals and hunters hunt them,0,0,0,0,0
453,The natural environment has deteriorated,0,0,0,0,0
454,Because we are losing our livelihood due to global warming and the reckless development of people,0,0,0,0,0
455,This is because global warming has become serious.,0,0,0,0,0
456,Because many people live irresponsibly about the environment,0,0,0,0,0
457,Humans use the Earth badly,0,0,0,0,0
458,The new species that were emerging disappears,0,0,0,0,0
459,It's because of humans.,0,0,0,0,0
460,It's destroying the ecosystem of endangered animals,0,0,0,0,0
461,Hunters are bad,0,0,0,0,0
462,indiscriminate hunting,0,0,0,0,0
463,indiscriminate killing of humans,0,0,0,0,0
464,Society,0,0,0,0,0
465,This is because humans take away and kill animals' living quarters.,0,0,0,0,0
466,"There are largely species diversity, ecosystem diversity, and genetic diversity in biodiversity, and genetic diversity is diversity within species. The reason for the increase in endangered species is that the habitat of living things in the ecosystem is decreasing for reasons such as road development.",0,0,0,0,0
467,"Because of the ruthless hunting of humans,",0,0,0,0,0
468,the club isnt the best place to find a lover so the bar is where i'll go,0,0,0,0,0
469,I don't think so. I think it's a natural phenomenon. Because not all species can last forever.,0,0,0,0,0
470,"The reason why endangered species are increasing is because water and the atmosphere have been polluted by the indiscriminate dumping of waste from factories, and animals have died of illness",0,0,0,0,0
471,The loss of habitat due to people's ruthless hunting and development causes extinction and decreases biodiversity.,0,0,0,0,0
472,"""Meloral""",0,0,0,0,0
473,Global warming and other phenomena,0,0,0,0,0
474,This is because the habitat where creatures live has been turned into arable land and the Amazon rainforest has been destroyed a lot.,0,0,0,0,0
475,"There are two causes, but only human and natural phenomena.",0,0,0,0,0
476,It's because of the rapid global warming,0,0,0,0,0
477,the decline of the ecosystem due to human industry or climate change,1,0,0,0,0
478,I think global warming is a big reason. This is because the average temperature rises due to global warming,0,0,0,0,0
479,This is because humans lack efforts to develop indiscriminately and preserve the natural environment.,0,0,0,0,0
480,"Even though species of living things should vary, the number of species that are advantageous for a specific habitat increased and many habitats were destroyed, resulting in a decrease in the population of many species.",0,0,0,0,0
481,"Ecosystems are dangerous because many species are interrelated, and a decrease in biodiversity can cause major problems for the associated species.",0,0,0,0,0
482,People cut down trees without mercy,0,0,0,0,0
483,the collapse of the ecosystem due to reckless development,0,0,0,0,0
484,"As we enter modern society, the long-standing coexistence relationship between humans and the environment is being destroyed. The destruction of the ecosystem, which is the background of living things, eventually means the destruction of the living things there. Everyone should be aware that human nature-friendly behavior is urgent.",0,0,0,0,0
485,"Since the ecosystem has an organic relationship, if one species' population decreases rapidly, other individuals will be affected, resulting in the recent increase in endangered species.",0,0,0,0,0
486,"As the climate changes due to global warming, species that are not adapted to this climate are gradually shrinking and disappearing, and the melting of glaciers destroys the Antarctic and Arctic ecosystems, and as glaciers rise in sea levels, the population of some islanders is also decreasing. Also, the population of rare species is decreasing due to the indiscriminate overfishing of humans.",1,0,0,0,0
487,I don't understand.,0,0,0,0,0
488,Biodiversity,0,0,0,0,0
489,"People don't throw garbage in the trash can, animals eat it and die",0,0,0,0,0
490,I don't know,0,0,0,0,0
491,ã´ã spring onions,0,0,0,0,0
492,Global warming,0,0,0,0,0
493,People use animals indiscriminately,0,0,0,0,0
494,"Because of global warming,Global warming.",0,0,0,0,0
495,A lot of people killed him,0,0,0,0,0
496,Human beings are useless. - Lee Ho,0,0,0,0,0
497,This is because it has become an environment where humans can't live without being shy.,0,0,0,0,0
498,"Because of global warming,",0,0,0,0,0
499,"As it is developed for human convenience, living things decrease.",0,0,0,0,0
500,Global warming,0,0,0,0,0
501,a lot of changes,0,0,0,0,0
502,That's a profound question.Well...,0,0,0,0,0
503,We need to protect them from extinction,0,0,0,0,0
504,The reason why endangered species occur is that people destroy the environment.,0,0,0,0,0
505,"The reason for the growing number of endangered species is that we catch animals, plants, and insects recklessly without protecting the environment.",0,0,0,0,0
506,"Due to global warming, the temperature on Earth has increased, and the number of endangered species is increasing due to the disappearance of unfit creatures and food.",0,0,0,0,0
507,People throw away environmental pollution and trash,0,0,0,0,0
508,I don't know,0,0,0,0,0
509,environmental destruction,0,0,1,0,0
510,It's because I don't spare any energy and trash dumping.,0,0,0,0,0
511,Human greed and global warming.,0,0,0,0,0
512,""" hwangyeongo ãm",0,0,0,0,0
513,"""",0,0,0,0,0
514,Reduce the number of life in captivity. the people's was a greedy life.,0,0,0,0,0
515,Killing all people.,0,0,0,0,0
516,Killing people,0,0,0,0,0
517,""" Recently, an endangered species is why more people is increasing, the rising amount of garbage.",0,0,0,0,0
518,"Gittemunimnida be people who are with the amount of garbage is human.""",0,0,0,0,0
519,.,0,0,0,0,0
520,""" Number one : life is destroying the homes that can live.",0,0,0,0,0
521,"Second : a lot of hunting.""",0,0,0,0,0
522,.,0,0,0,0,0
523,"Such as biodiversity is a variation, sengmul the increased diversity of paper that you can mutate, will turn into other species biodiversity is high.",0,0,0,0,0
524,I think to eat a lot of chickens or people off.,0,0,0,0,0
525,"Destroy ecosystems and people of environmental pollution, global warming is up because they are gone, including environmental and food to animals live.",0,0,0,0,0
526,Many people by killing.,0,0,0,0,0
527,"Indiscriminate development of endangered animals are living environment is getting humans to me another son in danger of extinction, the environment in which animals live are gone.",0,0,0,0,0
528,"ìë¬¼ ë¤ìì±ì? ë³?ì´ì? ê°ì? ìì©ì¼ë¡ ìë¬¼ ë¤ìì±ì´ ëìì§ ì ìë ê²ì? í ì¢ì´ ë³?ì´íë©´ì ë¤ë¥¸ ì¢ì¼ë¡ ë³?íê² ëë©´ ìë¬¼ ë¤ìì±ì´ ëìì§ë¤. ê·¼ë°, ì¸êµ­ìì ë¤ì¬ì¨ ìë¡ì´ ìë¬¼ë¡ ì¸íì¬ ìëìë ì¢ì´ ë¤ì¬ì¨ ìë¡ì´ ì¢íí í¼í´ë¥¼ ìíê² íì¬ ìë¬¼ì ì¢ì´ ì¤ì´ë¤ê³  íê²½ íê´´ë¡ ì¸íì¬ ìë¬¼ë¤ì í°ì ì´ ì¤ì´ë ë¤.",0,0,0,0,0
529,Because people destroy the landscape where animals live,0,0,0,0,0
530,"For example, when people breathe out carbon dioxide from factories and cars, the average temperature of the atmosphere gets hot, the ice in the Arctic or Antarctica melts, the polar bear's house disappears, and polar bears disappear like that.",0,0,0,0,0
531,This is because the ecosystem is destroyed by human development.,0,0,0,0,0
532,"As global warming progresses due to smoke from cars and factories or trash thrown away, the number of species that cannot find or adapt to various living things decreases rapidly, and even for this reason, the number of species that cannot find prey decreases, so endangered species are increasing and living things are decreasing.",0,0,0,0,0
533,"""Because people catch and kill animals only for their own interests",0,0,0,0,0
534,"or because of environmental pollution caused by garbage,",0,0,0,0,0
535,in a change,0,0,0,0,0
536,.,0,0,0,0,0
537,Because people kill animals,0,0,0,0,0
538,I threw away a lot of trash,0,0,0,0,0
539,Humans think that there are more endangered species because of animals killing or global warming.,0,0,0,0,0
540,"People get rid of the natural environment and throw away trash everywhere, so the animals and plants don't have a place to live",0,0,0,0,0
541,"It's because bad gas is produced in cars, factories, etc",0,0,0,0,0
542,environmental pollution,0,0,0,0,0
543,"It is because it is not considered for other living things, and it is not developed at random, and it is not considered environmental protection",0,0,0,0,0
544,"Because we pollute the environment, there is no living environment.",0,0,0,0,0
545,"With global warming, polar bears have less ground to live in.",0,0,0,0,0
546,"Due to global warming, polar bears die due to melting icebergs and glaciers, and many animals such as foxes, raccoons, and dogs are dying to make fur.",0,0,0,0,0
547,"Because we have a lot of trash and bad effects on rivers, rivers, lakes, and the environment, endangered species often kill endangered species and cannot feed them.",0,0,0,0,0
548,Because people kill animals and pollute the environment,0,0,0,0,0
549,This is because we humans destroy animals' habitats in order to live comfortably.,0,0,0,0,0
550,"Living things have their own characteristics, but these days due to environmental changes and climate change, they lose their advantages and are killed by top predators and nature",1,0,0,0,0
551,"People dump garbage on the floor, causing environmental pollution, which puts animals at risk of extinction",0,0,0,0,0
552,Human beings have indiscriminately destroyed the ecosystem,0,0,0,0,0
553,I think it's because global warming increases the global temperature Even one degree difference in temperature can make a huge difference,0,0,0,0,0
554,"There is a crisis because people develop nature and hunt animals a lot, breaking the balance in the ecosystem.",0,0,0,0,0
555,"The phenomenon of environmental pollution and the death of living creatures is called environmental pollution because we throw away garbage, waste unnecessary items, electricity, waste money, or waste water",0,0,0,0,0
556,It is likely that the polar bear will drown as ice melts due to people catching it or turning on air conditioners a lot,0,0,0,0,0
557,Because of global warming and environmental pollution.,0,0,0,0,0
558,"This is because people don't throw away trash anywhere and save water and save shampoo, conditioner, and body wash.",0,0,0,0,0
559,I don't understand.,0,0,0,0,0
560,"Global warming causes temperatures to rise, and creatures that have not adapted to rapid environmental changes become extinct.",0,0,0,0,0
561,Global warming,0,0,0,0,0
562,Destruction of Habitat Due to Global Warming,0,0,0,0,0
563,"Environmental pollution and global warming change the environment in which living things can live, which causes creatures to become extinct because they cannot adapt.",0,0,0,0,0
564,"The reason is that global warming is getting worse as carbon dioxide in the atmosphere increases. Due to global warming, due to the rise in sea level, there are many fewer habitats for terrestrial organisms, and due to the rise in sea temperature, fish cannot survive, atmosphere, and land. Biodiversity is decreasing due to marine pollution.",0,0,0,0,0
565,Blah blah blah blah blah,0,0,0,0,0
566,"When biodiversity decreases, the food chain begins to collapse and the ecosystem collapses.",0,0,0,0,0
567,"""If people continue to develop and lose forests, herbivores lose food and homes",0,0,0,0,0
568,"""If an animal dies like this, even carnivores that eat herbivores are in danger of becoming extinct.""",0,0,0,0,0
569,"It seems to be because poaching, excessive hunting, and destruction of the natural environment destroy the habitats where creatures live.",0,0,0,0,0
570,"People take it out on animals because it hurts the Earth. That's why animals get sick, too. Well, to be more specific, there's capture, overfishing ^^",0,0,0,0,0
571,Kill the animals and get the leather,0,0,0,0,0
572,"Human activities have destroyed habitats, led to a sharp drop in population due to indiscriminate hunting, and the introduction of foreign species has made it difficult for native creatures to live, and the habitat environment is changing due to climate change and environmental pollution.",1,0,0,0,0
573,"As the ecosystem is destroyed, habitats decrease and animals disappear.",0,0,0,0,0
574,Endangered species increase due to global warming and waste and exhaust fumes,0,0,0,0,0
575,The environment is not good,0,0,0,0,0
576,"Due to human activities, it seems to be extinct primarily due to hunting, but another reason is that global warming causes rapid environmental changes to become unadaptable and extinct.",0,0,0,0,0
577,"The habitat of living things has been destroyed by humans cutting down forest trees or removing wetlands, and biodiversity is rapidly decreasing, increasing endangered species.",0,0,0,0,0
578,It is because they throw away too many screech in the sea and catch too many animals.,0,0,0,0,0
579,"Many people kill and kill animals, make and eat clothes from leather, and endangered animals occur.",0,0,0,0,0
580,"Endangered species are increasing because humans do environmental destruction, causing food to be lost, air to be dirty, oil to the sea, making it difficult for animals to live in.",0,0,1,0,0
581,Endangered species continue to increase and cause more extinction,0,0,0,0,0
582,"This is because the number of natural enemies of endangered species increases. Therefore, the number of endangered species will decrease.",0,0,0,0,0
583,"People throw trash on the floor...And so on, it hurts the Earth and causes global warming. Because of global warming, Arctic animals are struggling, and habitat destruction and overfishing are increasing the number of endangered species",0,0,0,0,0
584,This is because people catch animals recklessly and they become extinct.,0,0,0,0,0
585,"Global warming continues to change the Earth's environment, and animals that are unable to adapt and are fatally affected can pose a threat to their survival. This can reduce biodiversity.",0,0,0,0,0
586,I don't know.,0,0,0,0,0
587,f,0,0,0,0,0
588,"The indiscriminate capture and overfishing of people increases the number of endangered species, and the number of endangered species increases because they destroy the ecosystem of living things to build buildings.",0,0,0,0,0
589,"Recently, human industrial activities have caused problems such as an increase in greenhouse gases, water pollution, and soil pollution, and the ecosystem of various animals and plants is being destroyed. Rising temperatures and extreme climate changes caused by greenhouse gases cause a decrease in the population of animals and plants that were originally accustomed to temperature.",1,0,0,0,0
590,This is because nature is being destroyed.,0,0,0,0,0
591,I don't know,0,0,0,0,0
592,The Earth's environment is changing dramatically,0,0,0,0,0
593,"I don't know...Because of reckless NAYEON development and waste dumping,",0,0,0,0,0
594,???,0,0,0,0,0
595,Habitat destruction due to global warming,0,0,0,0,0
596,"""I don't know",0,0,0,0,0
597,"""",0,0,0,0,0
598,I have no idea.,0,0,0,0,0
599,"There are climate change due to global warming, indiscriminate development, and forest destruction.",1,0,0,0,0
600,I don't know.,0,0,0,0,0
601,I don't know,0,0,0,0,0
602,Endangered species increase as the world loses its habitat due to unreasonable environmental development,0,0,0,0,0
603,I keep catching them and making them leather,0,0,0,0,0
604,This is because people are indiscriminately destroying the environment.,0,0,0,0,0
605,I don't know.,0,0,0,0,0
606,"It is hard to live in the Arctic because the ice melts, and Africa is too hot to live in",0,0,0,0,0
607,I don't know,0,0,0,0,0
608,"As bad substances come out and there is more smoke, endangered species emerge.",0,0,0,0,0
609,Many species have died because of the indiscriminate destruction of human nature and the inability of creatures to adapt to rapid environmental changes,0,0,0,0,0
610,"This is because people destroy the gospel of animals by developing them, treat animals recklessly, collect and sell animals' food.",0,0,0,0,0
611,I don't know,0,0,0,0,0
612,This is because environmental pollution often causes people to die because the conditions of the environment to live in are not met or bleed to death by a car.,0,0,0,0,0
613,"Endangered species increase due to global warming, environmental pollution, and indiscriminate hunting by humans.",0,0,0,0,0
614,Because the environment is destroyed by global warming,0,0,0,0,0
615,More endangered species due to poaching of people,0,0,0,0,0
616,Human indiscriminate deforestation and the destruction of ecosystems caused by development reduce biological species,0,0,0,0,0
617,I think it's because of the reckless development of humans,0,0,0,0,0
618,"As global warming progresses, various habitats decrease, and the space for rare species decreases, which seems to occur.",0,0,0,0,0
619,I think it's because of poachers,0,0,0,0,0
620,"As the species becomes simpler, the probability of extinction increases when a disease occurs",0,0,0,0,0
621,"Ecological destructive species such as bullfrog, nutria, and bass seem to be increasing in Korea.",0,0,0,0,0
622,"The development of transportation has reduced the relative distance. As a result, hybrid species are born or biological species are reduced due to competition and culling.",0,0,0,0,0
623,"Continuous environmental destruction and global warming make the survival environment poor, reducing the number of predators.",0,0,1,0,0
624,I think serious environmental pollution is the main cause.,0,0,0,0,0
625,Because biodiversity is increasing,0,0,0,0,0
626,Global warming,0,0,0,0,0
627,"The development of transportation has reduced the relative distance. As a result, hybrid species are born or biological species are reduced due to competition and culling.",0,0,0,0,0
628,This is because humans destroy the Earth's ecosystem for development.,0,0,0,0,0
629,"Due to the rapid industrial revolution, the environment is also in serious trouble. This reduces biodiversity because endangered species increase.",0,0,0,0,0
630,"The extinction of a species damages the survival of dominant species by the structure of the food chain, and extinction",0,0,0,0,0
631,"Biodiversity is achieved through the food chain, and diversity is maintained, but if diversity is not maintained because of illegal ecosystem destruction, there will be more endangered species of biological plants",0,0,0,0,0
632,"Because of global warming,",0,0,0,0,0
633,"Global warming is progressing, and humans are destroying nature",0,0,0,0,0
634,"Rainforests are gradually decreasing due to indiscriminate capture, destruction, and environmental pollution, and countless creatures are disappearing from the Earth, and the loss of biodiversity can threaten the survival of mankind. There are more than 30 million living things on Earth, including humans. However, rainforests are gradually decreasing and countless creatures are disappearing from the Earth due to the destruction of indiscriminate pogroms and environmental pollution. If the habitat is lost or fragmented and reduced by 90%, the number of species will decrease by 50%. All species depend on other species for their survival. So the domino effect can wipe out the species.",0,0,0,0,0
635,"""People catch a lot of fish",0,0,0,0,0
636,"Because the environment is polluted.""",0,0,0,0,0
637,A lot of people caught me,0,0,0,0,0
638,People catch endangered or other animals and endangered species increase rapidly,0,0,0,0,0
639,Animals that live in clean places seem to be losing their homes and dying as people catch and pollute the environment,0,0,0,0,0
640,"As the environment changes, the animals' food decreases, and the animals all live there",0,0,0,0,0
641,"Because people destroy animals' habitats for construction or other work, food disappears and there is no suitable habitat, making them endangered.",0,0,0,0,0
642,"Global warming is getting worse and people are indiscriminately developing and destroying animals' habitats, killing them.",0,0,0,0,0
643,"This is due to various cases such as excessive human intervention and development of nature, loss of habitat due to population growth, environmental pollution, introduction of foreign species, and climate change",1,0,0,0,0
644,"As people destroy their habitats, create roads and take care of their interests, animals become extinct because they have nowhere to live and no food, and endangered animals are increasing because people kill animals by burning their horns, skins, or teeth.",0,0,0,0,0
645,"It seems to be due to the destruction of the habitat of living things, excessive overfishing, and illegal fishing.",0,0,0,0,0
646,The number of natural predators has increased dramatically.,0,0,0,0,0
647,"People destroy the ecosystem, the ozone layer is destroyed by methane gas such as cars, and the temperature rises in the Arctic, killing polar bears",0,0,0,0,0
648,"People hunt animals, destroy nature, and many of their prey disappear",0,0,0,0,0
649,"Capturing creatures, destroying their habitats, increasing the number of natural enemies",0,0,0,0,0
650,Environmental pollution and habitat destruction,0,0,0,0,0
651,Foreign animals from other countries prey on domestic animals.,0,0,0,0,0
652,"Habitat destruction and so on.""",0,0,0,0,0
653,"People's greed catches, kills, and destroys the animals' habitats, resulting in a decrease in the number of species.",0,0,0,0,0
654,Foreign animals from other countries prey on domestic animals.,0,0,0,0,0
655,"Habitat destruction - etc. - """,0,0,0,0,0
656,Because global warming and the ozone layer are becoming more and more and more,0,0,0,0,0
657,"There are habitat destruction, excessive capture, influx of foreign species, and environmental pollution.",0,0,0,0,0
658,The number of cases of habitat destruction and illegal hunting of animals is increasing rapidly,0,0,0,0,0
659,The number of cases of habitat destruction and illegal hunting of animals is increasing rapidly,0,0,0,0,0
660,"""The destruction of the habitat of living things, excessive overfishing and illegal capture,",0,0,0,0,0
661,"I think that's why""",0,0,0,0,0
662,I don't know.,0,0,0,0,0
663,I don't know,0,0,0,0,0
664,M and D,0,0,0,0,0
665,I don't understand.,0,0,0,0,0
666,M and D,0,0,0,0,0
667,"""",0,0,0,0,0
668,I don't understand.,0,0,0,0,0
669,"""",0,0,0,0,0
670,(Playing the guitar sound,0,0,0,0,0
671,M and D,0,0,0,0,0
672,I don't understand.,0,0,0,0,0
673,Mall,0,0,0,0,0
674,I don't know,0,0,0,0,0
675,Environmental pollution caused by global warming,0,0,0,0,0
676,Global warming,0,0,0,0,0
677,M and D,0,0,0,0,0
678,I don't understand.,0,0,0,0,0
679,I don't know.,0,0,0,0,0
680,The one I submitted earlier...,0,0,0,0,0
681,I don't know.,0,0,0,0,0
682,M and D,0,0,0,0,0
683,"People do development projects, so there's no room for animals",0,0,0,0,0
684,I don't understand.,0,0,0,0,0
685,Because animals' habitats are destroyed,0,0,0,0,0
686,Less biodiversity increases the likelihood of extinction of living things,0,0,0,0,0
687,"People don't value the Earth and just use it to cause global warming, which increases endangered species",0,0,0,0,0
688,"""",0,0,0,0,0
689,"It's because of people's intervention.People overfishing indiscriminately, and climate change due to people is a problem.""",1,0,0,0,0
690,"When humans hunt indiscriminately and an animal disappears, the balance of the ecosystem is destroyed and endangered species increase",0,0,0,0,0
691,.,0,0,0,0,0
692,"As the creatures below disappear, even a small number of creatures disappearI don't know.",0,0,0,0,0
693,"Biodiversity is a concept that refers to all living things, including animals.",0,0,0,0,0
694,Because of humans,0,0,0,0,0
695,"As technology grows in humans, each country develops, which causes environmental pollution and causes animals to lose their homes",0,0,0,0,0
696,I don't know,0,0,0,0,0
697,People eat a lot of animals,0,0,0,0,0
698,Don't know,0,0,0,0,0
699,Because of environmental damage,0,0,0,0,0
700,"Because of global warming,",0,0,0,0,0
701,This is because the environment is getting polluted.,0,0,0,0,0
702,This is because people destroy the habitats of animals by destroying nature such as factories.,0,0,0,0,0
703,Because it's hot because of global warming?,0,0,0,0,0
704,"Because of global warming,",0,0,0,0,0
705,"People chew, rip, taste, and enjoy it.",0,0,0,0,0
706,"Automobile smoke creates smoke, which causes environmental pollution and extinction",0,0,0,0,0
707,People can do anything,0,0,0,0,0
708,Global warming causes temperatures to rise and destroy the ecosystem.,0,0,0,0,0
709,"If one goes extinct, so does the other",0,0,0,0,0
710,It is because of global warming.,0,0,0,0,0
711,Because of environmental pollution,0,0,0,0,0
712,This is because global warming is happening fast,0,0,0,0,0
713,People are bothering the ecosystem,0,0,0,0,0
714,The forest disappeared,0,0,0,0,0
715,"Environmental pollution, that is! Lots of garbage and water.Electricity, lights...on account of",0,0,0,0,0
716,"Humans Pollute the Earth So the earth is warming, and plants and animals cannot adapt to it and die",0,0,0,0,0
717,G-O-N-W-W-W-E-W-E-W-E-W-E-W-W-E-W-,0,0,0,0,0
718,"Human beings are endangered because of their reckless use of electricity, water, and so on",0,0,0,0,0
719,"When humans develop, the environment gets worse, and animals die if they don't adapt",0,0,0,0,0
720,"Global warming is getting worse, making it harder to live, so there are more endangered species, and life is gradually disappearing.So biodiversity is important.",0,0,0,0,0
721,"When an organism that is eaten or used for reproduction disappears, the organism that eats or uses it for reproduction also disappears.",0,0,0,0,0
