,"20. Abnormal kidney function can lead to various diseases and, in severe cases, death. What does the kidney do in our body, so if something goes wrong, will it cause disease? Let's explain it in detail using knowledge of kidney function. ",pee,hormone,waste,reabsorption
91,"Since wastes accumulated in our bodies are sent outside with urine, if this function is abnormal, nasal wastes accumulate in our bodies, causing problems in most of our bodies.",0,0,1,0
92,The kidney is responsible for filtering out bad substances in our bodies.,0,0,0,0
93,An abnormality in the kidney causes indigestion,0,0,0,0
94,I don't know.,0,0,0,0
95,filter out the no-fee water in the blood,0,0,0,0
96,"No-fe water filter. If you don't, it will pile up, so your face will look bad, and you will have a rock engraved inside",0,0,0,0
97,I don't know,0,0,0,0
98,"To purify the poison? (I don't know)Blood takes oxygen and sends the remaining residue to the kidneys to discharge it, but it fails to discharge the residue and is wrapped in the body, causing a disease.",0,0,0,0
99,"There are two kidneys, so even if there is something wrong with one, you can take it out from the kidneys, but there is only one heart, lungs, intestines, etc., so you can die because there is a risk to the kidneys.",0,0,0,0
100,"The kidneys play a role in converting dirty blood, that is, blood accumulated with waste, into clean blood.It serves to filter waste from the blood.Therefore, if there is an abnormality in this, the blood vessels may be blocked and collapse because waste is not filtered from accumulating in the blood.",0,0,1,0
101,"The kidneys do the job of filtering blood clean. Therefore, if there is an abnormality in the kidney, blood is not clean and waste accumulates, resulting in diabetes.",0,0,1,0
102,"""The kidneys cleanse our body's waste, and they cleanse it",0,0,1,0
103,"Diabetes occurs if the kidneys are not properly filtered out.""",0,0,0,0
104,"""Because the kidneys work to get rid of wastes,",0,0,1,0
105,"If the kidneys don't get rid of the waste, it's going to build up in your body",0,0,1,0
106,"It causes a disease.""",0,0,0,0
107,A person's body can be destroyed at any time So it can cause abnormalities,0,0,0,0
108,It makes me live,0,0,0,0
109,Makes our pee.,1,0,0,0
110,You have to keep your blood clean,0,0,0,0
111,The function of the kidneys is necessary to deliver nutrients from our bodies and to filter out the residue to make urine,0,0,0,0
112,"The kidneys filter out waste carried through the blood and make urine. Blood from which waste has been removed is sent back into the body, and urine is released out of the body through the bladder. The process of releasing waste products from the blood out of the body is called excretion, and kidneys are involved in excretion. It filters out waste from the body and sends it outside to keep the blood clean.",0,0,1,0
113,"If there's something wrong with the kidneys that filters out the nope and releases it out of the body through urine, the wastes will build up in our bodies and cause disease",0,0,1,0
114,"When I eat food, I digest and come out as poop.",0,0,0,0
115,filter out the waste and keep the blood clean,0,0,1,0
116,The body generates waste in the process of making and using energy necessary for the body by utilizing nutrients. It is harmful if waste remains in our bodies. The process of releasing waste from the blood out of the body is called excretion. It filters out waste from the body and sends it outside to keep the blood clean.This allows us to live a healthy life.,0,0,1,0
117,"Kidneys purify the blood, but if the kidney gets worse, it becomes a disease because the blood is not purified well and is not purified",0,0,0,0
118,"The kidneys filter out waste carried through the blood to make urine. Blood from which waste has been removed is sent back into the body, and urine is released out of the body through the bladder. In this way, waste from the body is filtered out and sent to the outside to keep the blood clean.",0,0,1,0
119,M and D,0,0,0,0
120,I don't understand.,0,0,0,0
121,"If there is no function in the kidney, the body's function is lost, so there is a problem.",0,0,0,0
122,Because it keeps us from getting sick?,0,0,0,0
123,I don't understand.,0,0,0,0
124,The kidneys filter out the waste from our dreams,0,0,1,0
125,I don't know,0,0,0,0
126,Blood gets dirty because it cannot filter out foreign substances in the blood,0,0,0,0
127,I don't know.,0,0,0,0
128,I don't know. I don't know,0,0,0,0
129,I don't know,0,0,0,0
130,"Kidney. So, what do we do in our bodies? I need to find out",0,0,0,0
131,You have to trust the doctor,0,0,0,0
132,"Because kidneys filter out blood that is bad for our body, our body can live healthy, but if we don't have kidneys, harmful substances accumulate.",0,0,0,0
133,I don't know,0,0,0,0
134,I don't know.,0,0,0,0
135,Cancer develops,0,0,0,0
136,Cigarettes or non-smokers develop diseases,0,0,0,0
137,I don't know.,0,0,0,0
138,Kidney is important to our body,0,0,0,0
139,The kidneys have the function of separating the scraps in our bodies,0,0,0,0
140,"When we eat and live in our lives, we filter out bad substances such as instant and harmful substances.",0,0,0,0
141,Kongji and Patji,0,0,0,0
142,"Urine is the place where it is made, and if there is an abnormality, it cannot discharge waste and causes an abnormality",0,0,1,0
143,It covers up the excrement,0,0,0,0
144,You get sick because we don't do hygiene thoroughly,0,0,0,0
145,Because all the elements in the body are important.,0,0,0,0
146,I'm going to take out the pee out,1,0,0,0
147,"When you eat the wrong food,",0,0,0,0
148,It's dangerous to have kidney problems because it filters out wastes,0,0,1,0
149,Kidneys can make us move and grow taller.,0,0,0,0
150,I don't know.,0,0,0,0
151,We haven't been able to filter out the waste that's been created in our bodies,0,0,1,0
152,"If you can't filter out the waste, your stomach will get damaged",0,0,1,0
153,This is because it filters out the body's waste and discharges it into urine.,0,0,1,0
154,My stomach hurts because I can't filter out the no-fefe water in my blood,0,0,0,0
155,"The kidney filters out the body's no-feather, because it becomes unable to function.",0,0,0,0
156,The kidneys take away the old vandalism in the blood,0,0,0,0
157,This is because the kidneys filter out the no-fefe water in the blood.,0,0,0,0
158,I don't know.,0,0,0,0
159,This is because the kidneys play a role in filtering out waste in the blood.,0,0,1,0
160,The kidneys are responsible for filtering out the wastes,0,0,1,0
161,It causes inflammation and damages other organs.,0,0,0,0
162,"If the kidneys have abnormal functions, they may die because they cannot clean the blood, and if they do not have a liver, they cannot break down alcohol.",0,0,0,0
163,I don't know.,0,0,0,0
164,I don't know,0,0,0,0
165,"No Minseung, scissors",0,0,0,0
166,"Yes, kidneys are very important",0,0,0,0
167,Kidney is important,0,0,0,0
168,I don't know.,0,0,0,0
169,It has the function of relieving poison.,0,0,0,0
170,"""Because the kidneys filter waste from the blood circulation, blood that has passed through the kidneys becomes clear, so abnormal kidney conditions can lead to poor health.",0,0,1,0
171,"""",0,0,0,0
172,It removes impurities.,0,0,0,0
173,filter out waste matter,0,0,1,0
174,have a kidney disease,0,0,0,0
175,maintain proper body temperature and blood pressure,0,0,0,0
176,Filtrate waste and make a pee.,1,0,1,0
177,"The kidney is a place to filter waste to the bladder, and if there is a problem with the kidney, the nutrients necessary for the body to go out of the waste through the bladder will also escape.",0,0,1,0
178,It's dangerous if there's something wrong with cleaning up the waste,0,0,1,0
179,I don't know.,0,0,0,0
180,It filters out the wastes in the urine,0,0,1,0
181,Maintain proper body temperature and blood pressure,0,0,0,0
182,I don't know.,0,0,0,0
183,"The kidney filters out the body's waste and reabsorbs nutrients that cannot be absorbed by the body, so when teeth break down, waste accumulates in the body and energy efficiency decreases",0,0,1,0
184,I don't know.,0,0,0,0
185,It filters out the wastes.,0,0,1,0
186,"""It's about taking elements and water out of the blood to make a pee",1,0,0,0
187,"This is because abnormalities in the kidneys cause problems in urine discharge.""",0,0,0,0
188,"Since the kidneys filter out the wastes in our bodies, if the kidneys fail, they can be dangerous due to the accumulation of wastes in the body.",0,0,1,0
189,"The function of the kidney is to filter waste and absorb water, but life will be uncomfortable if this function is lost",0,0,1,0
190,Remove and discharge wastes,0,0,1,0
191,.,0,0,0,0
192,The toxins that are harmful to the body increase and break down every corner of the body.,0,0,0,0
193,"This is because it affects plasma osmotic pressure as a target organ of anti-diuretic hormones, and as a representative excretory organ of our body, it plays a role in releasing unhealthy substances out of the body.",0,1,0,0
194,"The filtration function is not working properly, so the waste in the blood cannot be filtered",0,0,1,0
195,"Since the kidneys filter wastes from our bodies and create urine, wastes accumulate in the body if there is an abnormality in the kidneys.",0,0,1,0
196,"Kidney removes the toxin called urea from our body, but if it can't play a role in kidney, it will die.",0,0,0,0
197,"I don't know.The kidneys are an organ of the excretory system, and the nephrons that make up the kidneys play a role in filtering waste through filtration, reabsorption, and secretion processes. However, if there is an abnormality in the kidney, these excretory activities cannot be carried out properly, resulting in an abnormality in the body.",0,0,1,1
198,"If it is unable to filter out waste from urine and absorb nutrients, the waste is also absorbed into the body, resulting in a disease.",0,0,1,0
199,Filter functionality of filtration,0,0,0,0
200,"Since the kidneys excrete waste products in the blood and maintain water content and acidity in the body, various diseases occur when kidney abnormalities occur.",0,0,1,0
201,...,0,0,0,0
202,I don't know.,0,0,0,0
203,organ trading,0,0,0,0
204,"The kidneys are responsible for metabolizing waste matter and maintaining body balance along with the surrounding ureter, bladder, and urethra. These kidneys not only have the main function of excreting waste, but they also maintain the balance of acid bases and control blood pressure by maintaining the appropriate amount of body fluid with the balance of water and electrolytes.",0,0,1,0
205,Maintaining body fluids and controlling blood pressure,0,0,0,0
206,"Even if you don't have a kidney, you can die if something goes wrong with your body",0,0,0,0
207,"I have two kidneys, so I don't need one",0,0,0,0
208,I know that kidneys do important things for the body,0,0,0,0
209,I don't know.,0,0,0,0
210,The kidneys are responsible for filtering out the wastes in the body,0,0,1,0
211,"In the kidney, it filters out waste from the blood, and if it does not play its role properly, waste accumulates in the blood, resulting in various diseases.",0,0,1,0
212,I don't know what the kidneys are doing.,0,0,0,0
213,It filters out the wastes,0,0,1,0
214,"If there is an abnormality in the kidneys by releasing wastes from the body, they can not be released and die.",0,0,1,0
215,The kidney is responsible for filtering out waste.,0,0,1,0
216,"The kidney collects waste from the body and sends it to the bladder to discharge it. If there is an abnormality in the function of the kidney, it is fatal because the waste remains in the body",0,0,1,0
217,It filters out toxins in the urine,0,0,0,0
218,hormones and excreted wastes,0,1,1,0
219,"The body comes out in the form of urine, such as moisture powder and residue, and the kidney absorbs the energy in the urine.",0,0,0,0
220,The kidneys are responsible for filtering out the waste in our bodies,0,0,1,0
221,The secretions that need to come out of the body don't come out and they're piled up,0,0,0,0
222,The role of filtering out waste from the body,0,0,1,0
223,I don't know,0,0,0,0
224,"The kidneys filter out our body's waste and let us pee. In the event of abnormalities in this kidney, the waste may not be filtered well and the waste may continue to flow through the blood, causing vascular disease",1,0,1,0
225,"We need a kidney to filter out nutrients, so if we have a kidney problem, we can't excrete",0,0,0,0
226,It's the kidneys that release the urine that's supposed to be released from the body,0,0,0,0
227,The kidneys support the role of the heart in our body,0,0,0,0
228,It functions to purify food that enters our body and to urinate the no-fefe water.,0,0,0,0
229,Filter out the no-feet water,0,0,0,0
230,This is because it is properly separated from the kidneys to prevent the body from excreting necessary nutrients or unnecessary nutrients.,0,0,0,0
231,The role of filtering out no-feathers in our bodies,0,0,0,0
232,"The kidney filters out bad things, but if the kidney doesn't work, the bad things enter the body and cause diseases",0,0,0,0
233,"Kidneys are about releasing the right amount of waste, such as our urine and feces, to help us discharge well But if there's something wrong with the kidneys, we're releasing all the nutrients that our bodies need along with urine and feces",0,0,1,0
234,"The kidneys are responsible for metabolizing waste matter and maintaining body balance along with the surrounding ureter, bladder, and urethra. These kidneys not only have the main function of excreting waste, but they also maintain the balance of acid bases and control blood pressure by maintaining the appropriate amount of body fluid with the balance of water and electrolytes.",0,0,1,0
235,"Kidney is responsible for high waste mass production and body balance along with the surrounding ureter, bladder, and urethra",0,0,1,0
236,to do something important,0,0,0,0
237,"We filter out bad diseases in the kidneys, but if something goes wrong, we can't filter out bad diseases.",0,0,0,0
238,"""",0,0,0,0
239,"The kidneys are responsible for metabolizing waste matter and maintaining body balance along with the surrounding ureter, bladder, and urethra. These kidneys not only have the main function of excreting waste, but they also maintain the balance of acid bases and control blood pressure by maintaining the appropriate amount of body fluid with the balance of water and electrolytes.",0,0,1,0
240,"The kidney is an organ with a very important function that allows each part of the body to function properly. In other words, all organs are always indebted to the kidney, so if a disease occurs in the kidney, other organs are also affected.",0,0,0,0
241,"The kidney is an organ with a very important function that allows each part of the body to work properly. In other words, all organs are always indebted to the kidney, so if a disease occurs in the kidney, other organs are also affected.",0,0,0,0
242,"""Because each kidney is important.",0,0,0,0
243,"""",0,0,0,0
244,"In addition to the main function of excreting waste, the kidneys maintain the acid base group, help with water and hematopoietic action, activate vitamin D, etc., and when this function is abnormal, disease occurs",0,0,1,0
245,"In addition to the main functions of excreting waste, the kidneys function in various ways, such as maintaining balance of acid bases, helping water and hematopoietic action, and activating vitamin D.",0,0,1,0
246,"The kidneys not only have a major function of excreting nope, but also have a number of functions, such as balancing acid bases, helping with water and hematopoietic action, and activating vitamin D If this function is abnormal, our bodies will no longer be able to live.",0,0,0,0
247,Displacement function Poor bladder function,0,0,0,0
248,"If these activities are not carried out normally, such as the excretion function of filtering and discharging waste products, the function of maintaining constant water content, electrolyte, and acidity in a narrow range, kidney disease may occur.",0,0,1,0
249,"""It excrete waste and maintains homeostasis in the body",0,0,1,0
250,"""If you have kidney abnormalities, your constancy decreases and you die.""",0,0,0,0
251,Air went into the kidneys,0,0,0,0
252,The element is not removed.,0,0,0,0
253,edwedwedwed,0,0,0,0
254,I don't know.,0,0,0,0
255,M and D,0,0,0,0
256,I don't know,0,0,0,0
257,I don't understand.,0,0,0,0
258,I don't know,0,0,0,0
259,I don't know.,0,0,0,0
260,I don't know.,0,0,0,0
261,I don't understand.,0,0,0,0
262,I don't know,0,0,0,0
263,I don't understand.,0,0,0,0
264,I don't understand.,0,0,0,0
265,I don't know,0,0,0,0
266,Mall,0,0,0,0
267,I don't know.,0,0,0,0
268,I don't know,0,0,0,0
269,Yeah.,0,0,0,0
270,I don't know,0,0,0,0
271,I don't know,0,0,0,0
272,I don't know,0,0,0,0
273,I don't understand.,0,0,0,0
274,I don't know.,0,0,0,0
275,I don't understand.,0,0,0,0
276,Make and drain urine,0,0,0,0
277,I don't know,0,0,0,0
278,"The kidney is an organ that filters out waste from our body Without a kidney, waste accumulates in our bodies and eventually dies.",0,0,1,0
279,I don't know.,0,0,0,0
280,Filtration of contaminants into excreta,0,0,0,0
281,I don't understand.,0,0,0,0
282,I don't know,0,0,0,0
283,?,0,0,0,0
284,M and D,0,0,0,0
285,........,0,0,0,0
286,There are organs in the kidneys,0,0,0,0
287,Because the kidneys filter the blood.,0,0,0,0
288,yes,0,0,0,0
289,"The kidneys play a role in filtering out waste from our bodies, because they cannot filter out waste, and when waste accumulates, diseases occur.",0,0,1,0
290,ãã,0,0,0,0
291,It filters out the contaminants,0,0,0,0
292,I don't know.,0,0,0,0
293,Filter out foreign substances in the blood,0,0,0,0
294,Radioactivity k,0,0,0,0
295,infect a person's nails,0,0,0,0
296,I don't knowThe kidneys have the same function of making a pee,1,0,0,0
297,I don't know,0,0,0,0
298,You get sick because you don't function normally,0,0,0,0
299,It filters out waste,0,0,1,0
300,Die.,0,0,0,0
301,Kidneys help us live. Can't be without,0,0,0,0
302,It filters out germs,0,0,0,0
303,Cancer breaks out,0,0,0,0
304,The kidneys are responsible for filtering out wastes in our bodies,0,0,1,0
305,It's dangerous without it,0,0,0,0
306,Filtrate waste and make a pee,1,0,1,0
307,ã¹í´ãë¼ããããã£ê³§ã¹ìãã±ëì¼í¸ã,0,0,0,0
308,catch any disease,0,0,0,0
309,"It's because if there's a problem with the kidneys, the residue gets stuck in the body",0,0,0,0
310,"""The kidneys filter out the body's waste and keep it clean",0,0,1,0
311,"If this function is broken, you have to do dialysis artificially.""",0,0,0,0
312,The kidneys allow me to pee,1,0,0,0
313,"If you don't have it, it'll strain your heart",0,0,0,0
314,What does a kidney do?,0,0,0,0
315,The kidneys play an important role in our bodies.,0,0,0,0
316,It's good for removing germs,0,0,0,0
317,"Kidneys play important roles in our bodies, so it's dangerous to lose one",0,0,0,0
318,The kidney suffers from a disease in which this role cannot be performed in treating body waste.,0,0,1,0
319,It is difficult to play a role in catching waste.,0,0,1,0
320,waste-filtering excretion,0,0,1,0
321,"Helps metabolize waste and maintain body balance, balance acid bases, control body fluids, maintain homeostasis, and help hematopoietic action",0,0,1,0
322,Excretion (filtering waste),0,0,1,0
323,Filtrate the waste and make a pee.,1,0,1,0
324,Remove the waste from the blood.,0,0,1,0
325,Reabsorption,0,0,0,0
326,Excretion-related effects,0,0,0,0
327,"It works in the kidneys, but if you don't work, it doesn't work out",0,0,0,0
328,It filters out the wastes.,0,0,1,0
329,It allows you to filter out impurities and release them out of your body.,0,0,0,0
330,There is diabetes in which glucose is excreted in urine due to impaired absorption function of glucose.,0,0,0,0
331,environmental pollution,0,0,0,0
332,I need to dialysis,0,0,0,0
333,It filters out the wastes. kidney disease,0,0,1,0
334,It filters out no-feather water,0,0,0,0
335,"The kidney is responsible for separating waste and nutrients from the body, but it causes disease due to poor separation",0,0,1,0
336,"""If the kidneys filter out the ingredients that we need and don't need, we send them back to the body, and we filter out the things that we don't need, and if there's something wrong with this kidney, we're going to",0,0,0,0
337,"the energy the body needsThis is because the ingredients disappear.""",0,0,0,0
338,It gets rid of the waste,0,0,1,0
339,"It helps with excretion in the kidneys, which filters, reabsorbs, and releases the wastes from our capillaries and takes them into our bodies, and throws away the harmful things, such as waste, so it's harmful because they can stay in our bodies if they's not functioning",0,0,1,0
340,"Since the kidney is an organ that removes waste, if a problem occurs, waste cannot be removed from the body, resulting in disease or even death.",0,0,1,0
341,filter out waste matter,0,0,1,0
342,It filters out the wastes. kidney disease,0,0,1,0
343,I don't know,0,0,0,0
344,I don't know.,0,0,0,0
345,.,0,0,0,0
346,Beans and red beans are nutritious (Laughing),0,0,0,0
347,a function of collecting debris from the body and sending it out to pee,1,0,0,0
348,The role is to remove nutrients from the urine and transfer the wastes to the bladder,0,0,1,0
349,I don't know.,0,0,0,0
350,"""Yes",0,0,0,0
351,I don't know,0,0,0,0
352,Yes,0,0,0,0
353,"ã""""",0,0,0,0
354,This is because blood becomes strange when there is an abnormality in the kidney.,0,0,0,0
355,"""The role of releasing substances that are not good for the kidneys and absorbing nutrients that are good for the body",0,0,0,0
356,"If the kidney is not functioning well, toxins can accumulate in the body, resulting in various diseases.""",0,0,0,0
357,I can't get my pee out.,1,0,0,0
358,I can't get my pee out.,1,0,0,0
359,It filters out the waste that's accumulated in your body,0,0,1,0
360,Because we can't poo and we have intestinal problems,0,0,0,0
361,"Since the kidney is in charge of urine, urine does not come out well or urine problems occur.",0,0,0,0
362,I have no idea.,0,0,0,0
363,be unable to decipher the poison,0,0,0,0
364,an organ that produces and discharges urine,0,0,0,0
365,Kidney eliminates waste,0,0,1,0
366,I don't know,0,0,0,0
367,The kidneys filter out blood waste.,0,0,1,0
368,"The kidneys play a role in filtering out waste from our bodies, because if we can't filter it out, this waste travels around the body.",0,0,1,0
369,get bladder inflammation filter out waste matter,0,0,1,0
370,It purifies toxins in the body.,0,0,0,0
371,It filters out the wastes.,0,0,1,0
372,"The kidney plays a role of filtering waste, and when a disease occurs, it cannot play a role properly, causing waste to accumulate in the body, which can lead to death.",0,0,1,0
373,Kidney has its own role. What is not is degenerated and disappeared.,0,0,0,0
374,Let the blood flow.,0,0,0,0
375,Pee,0,0,0,0
376,to die from the accumulation of waste in one's body,0,0,1,0
377,I don't know,0,0,0,0
378,"The kidneys filter out the nope when we urinate At this time, if the kidney does not function properly, it will cause problems because it cannot filter the waste directly.",0,0,1,0
379,be unable to filter out the waste that flows through one's body,0,0,1,0
380,I need a kidney to live.,0,0,0,0
381,The kidneys release body waste and have a direct effect on the heart.,0,0,1,0
382,to pee waste into the blood,1,0,1,0
383,filter out waste matter,0,0,1,0
384,"The kidneys are all connected, so if there is even one disease, abnormalities occur",0,0,0,0
385,It acts as a filter for waste.,0,0,1,0
386,It acts as a filter for waste.,0,0,1,0
387,"The kidneys play a role in filtering out the wastes in our bodies, but when the kidneys fail, diseases occur in our bodies.",0,0,1,0
388,The kidneys filter out bad substances.,0,0,0,0
389,Kidney boosts our metabolism of matter metabolism,0,0,0,0
390,I don't know,0,0,0,0
391,"In the kidneys, it filters out wastes, but if the kidneys don't function properly, it's bad because they can't filter out bad substances",0,0,1,0
392,M and D,0,0,0,0
393,I don't know,0,0,0,0
394,Urine,0,0,0,0
395,What class is it?ã± and ã,0,0,0,0
396,I don't know.,0,0,0,0
397,The kidneys filter out the wastes in our body's blood and make us pee.,1,0,1,0
398,Because blood vessels are connected.,0,0,0,0
399,"The kidneys filter blood, and if there is an abnormality in the kidneys, waste accumulates in the blood and diseases occur in the body.",0,0,1,0
400,"The kidneys are responsible for heat. In other words, if there is a kidney problem, our bodies cannot control heat on their own and can achieve death.",0,0,0,0
401,"The kidneys filter through good and bad things before absorbing nutrients into our bodies. Therefore, it is one of the important kidneys that cannot be found without.",0,0,0,0
402,It functions as a filter for waste,0,0,1,0
403,Kidney is important because it acts as a digestive system in our body,0,0,0,0
404,It filters out waste in the blood and produces urine.,0,0,1,0
405,The kidneys filter out the wastes in our bodies.,0,0,1,0
406,"The kidneys function as dialysis, which is easily said to clear the blood. If the kidney fails to function properly, the body easily gets tired and if artificial dialysis is not performed, it can lead to death.",0,0,0,0
407,It accumulates in the body because it cannot remove waste.,0,0,1,0
408,"Since the kidneys interact with other organs and make urine, wastes accumulate in the body when kidney problems occur.",0,0,1,0
409,"Since wastes in the body are filtered out and made into urine, abnormalities in the kidneys cause diseases.",0,0,1,0
410,"The kidneys circulate throughout the body and filter the whole blood. So, wastes generated there are sent to the bladder, and when wastes remain in the blood or nutrients are discharged together with wastes, problems occur in the body.",0,0,1,0
411,"Since the kidneys play a role in filtering waste from our bodies, if there is an abnormality in the kidneys, they cannot properly filter waste, increasing the risk of getting sick.",0,0,1,0
412,"This is because the kidneys remove unnecessary waste from the body, excrete it, maintain water content or acidity in the body, and work related to various hormones.",0,1,1,0
413,Kidney is kidney and I honestly don't know what it does.,0,0,0,0
414,"In the kidney, impurities such as ammonia, which are mixed with necessary substances such as proteins and minerals in the blood, are selectively filtered and sent to the bladder. When kidney problems occur, impurities cannot be effectively filtered, causing abnormalities in the body and causing various diseases.",0,0,0,0
415,"The kidneys filter out waste. However, if there is a problem with the function of the kidney, it is impossible to filter out the waste. Therefore, waste remaining in the body causes disease.",0,0,1,0
416,"The kidneys play a role in filtering waste products in the blood in our body, and if there is an abnormality in the function of the kidneys, the waste products in the blood cannot be filtered, which adversely affects the body.",0,0,1,0
417,You get diabetes because you can't skip glucose or get reabsorbed in your borman pocket,0,0,0,0
418,"The kidney is one of the excretory organs, and its representative function is to discharge harmful substances such as urea through urine, and if there is an abnormality in the kidney, it is difficult to filter out wastes and requires dialysis.",0,0,1,0
419,"The kidneys play a role in spreading salt evenly through the body. If there is an abnormality in this place, the whole body becomes swollen and blood pressure rises.",0,0,0,0
420,.,0,0,0,0
