,"18. Most people now use smartphones, which are small computers in their hands that they couldn't imagine 20 years ago. Many changes have occurred due to the development of science and technology. How has the development of science and technology changed our lives? ",convenience,information,problem
116,Many inconveniences have disappeared in my life Sometimes it's a bad influence on society,1,0,0
117,The development of science and technology helps our lives and causes new social problems.,0,0,1
118,"In the past, you could search in only one place, but now you can search on the go",0,0,0
119,The development of science and technology makes our lives more convenient and at the same time helps us produce more new things.,0,0,0
120,M and D,0,0,0
121,There are good and bad effects on our lives. We can share information with each other,0,1,0
122,"However, even if you have poor eyesight or walk on a crosswalk, you can use your cell phone to cause an accident.""",0,0,0
123,It has made a more convenient change for the elderly who have difficulty moving or those who are not feeling well.,0,0,0
124,It relieves the discomfort,0,0,0
125,I feel more comfortable,0,0,0
126,Making our lives more convenient,0,0,0
127,"Thanks to the development of science and technology, I can enjoy my boring day with my smartphone",0,0,0
128,Conversations with people far away can be communicated immediately and things you don't know can be known immediately,0,0,0
129,"It makes our lives faster and more accurate.(Information, etc.)",0,0,0
130,It makes our daily lives more comfortable. (ããã),0,0,0
131,It became more convenient to talk to people from afar,0,0,0
132,"The more science and technology develops, the more convenient it will be, but many diligent people disappear, and if science develops too much, I will not want to live 2018 is the best right now",0,0,0
133,It's convenient,0,0,0
134,"It has made a lot of changes. In the past, it took a long time to make calls from a certain location, such as a public phone, but now there has been a change in the development of science and technology that eliminates the need for public phones.",0,0,0
135,I can call and take pictures easily.,0,0,0
136,It's more convenient,0,0,0
137,It's convenient. People only use cell phones,0,0,0
138,The small computer is so comfortable that I use my smartphone,0,0,0
139,"As cell phones have grown, computers have also come out with the latest coffee machines.",0,0,0
140,"It used to be a folder phone 20 years ago, but now it can be used conveniently because it comes out with a touch tongue.""",0,0,0
141,It allowed people to live convenient lives.,0,0,0
142,be more convenient,0,0,0
143,"The number of jobs that people do has decreased, and science and technology has given them many advantages such as medical care.",0,0,0
144,a lot of changes,0,0,0
145,It has made our lives more convenient,0,0,0
146,It helps make our lives more convenient,0,0,0
147,The existence of it helped,0,0,0
148,"Convenience, leisure, etc",0,0,0
149,It has become convenient for living.,0,0,0
150,You've made a good change,0,0,0
151,It made it easier and more convenient to live.,0,0,0
152,"With the development of science and technology, we gave many things such as movement and knowledge to our lives.",0,0,0
153,Communication and Internet became convenient,0,0,0
154,"Even if we are far away, we can quickly communicate each other's news over the phone.",0,0,0
155,"The time and space constraints are less than before.""",0,0,0
156,It allows you to live comfortably,0,0,0
157,It makes our lives more convenient and faster,0,0,0
158,"It's good, but sometimes it's bad",0,0,0
159,You can deliver the news without going in person.,0,0,0
160,to be able to live a more convenient life than before,0,0,0
161,I made it convenient.,0,0,0
162,"A smartphone, or machine, answers a sentence that I don't know",0,0,0
163,"Communication has developed, making it easier to talk to people around the world.",0,0,0
164,It's much more convenient,0,0,0
165,"We exchange a lot of information without meeting each other, such as SNS and the Internet",0,1,0
166,"5G came out due to all IT technologies, AI, and the era of the 4th Industrial Revolution.",0,0,0
167,Our country has developed,0,0,0
168,I don't know.,0,0,0
169,Let our lives be at peace,0,0,0
170,It makes you feel more comfortable,0,0,0
171,Life has become convenient due to the development of science and technology,0,0,0
172,Convenience,0,0,0
173,It helped us feel convenient in our daily lives.,0,0,0
174,Life has become easier,0,0,0
175,"It is because if something you don't know, you can learn new knowledge through the Internet, not through books",0,0,0
176,He made me feel comfortable,0,0,0
177,It got faster,0,0,0
178,Convenient.,0,0,0
179,It made our lives convenient and made a lot of social changes.,0,0,0
180,Information and communication technology has developed.,0,0,0
181,It made our lives easier,0,0,0
182,It made life easier,0,0,0
183,The exchange of information has made it easier and more comfortable,0,1,0
184,"Quality of life, transportation, and information have increased, and information leakage is increasing as science and technology develop",0,1,0
185,It made life easier,0,0,0
186,"Information technology takes place and the Fourth Industrial Revolution takes place As a result, we live in an era where knowledge and information become important.",0,1,0
187,Improving the quality of life,0,0,0
188,It gave me the ability to do anything.,0,0,0
189,It has improved our quality of life.,0,0,0
190,It opened up a new era,0,0,0
191,"It's perfect to live. For example, the speed of information delivery has increased, making it possible to handle work and medical care. Advanced technology has advanced to look at older age",0,1,0
192,Convenient,0,0,0
193,The development of steam engines led to the industrial revolution and the development of current science and technology.,0,0,0
194,"It has improved the quality of life, and furthermore, it is free from time and space constraints.",0,0,0
195,My life has changed,0,0,0
196,It's convenient,0,0,0
197,"I can play games while lying down.The development of science and technology is the beginning of the Industrial Revolution, which began in Manchester, England. The Industrial Revolution was enough to ask questions about many developments and possibilities in our lives. The development of industrial revolution also affected the development of science and technology called smartphone.  The weaving machine was an innovative machine that made it easy to operate the weaving machine that used to be done manually. There is a connection to the fact that smartphones can be used so easily used.",0,0,0
198,a bad change,0,0,0
199,"While science and technology-related industries that have not existed before develop, workers who used to work in existing handicrafts lose their jobs.",0,0,0
200,It gave us convenience in our lives.,1,0,0
201,It made everyday life convenient and caused job changes,0,0,0
202,"With the development of science and technology, the time it takes to travel long distances can be shortened, accurate diseases can be diagnosed, and various information can be obtained.",0,1,0
203,...,0,0,0
204,a convenient life,0,0,0
205,Convenience,0,0,0
206,Convenient,0,0,0
207,Convenient,0,0,0
208,gave someone convenience,1,0,0
209,I gave him convenience,1,0,0
210,Life has become easier,0,0,0
211,gave convenience,1,0,0
212,It has brought about changes in production and changes in production bring about changes in the social class,0,0,0
213,I made you stupid. There has been a change of social class has changed. The phenomenon of the poor and the poor and the poor and the poor of knowledge intensified.,0,0,0
214,I feel more comfortable.,0,0,0
215,"It made human life easier, but on the contrary, it made me lazy",0,0,0
216,The development of science and technology has made our lives convenient.,0,0,0
217,It gave convenience and easy communication.,1,0,0
218,"It has made it possible to speed up the distance, talk to someone anywhere, find the necessary information easily, and explore the unknown world (space).",0,1,0
219,"It gives us convenience in our lives, but in the case of smartphones, there is a side effect of addiction",1,0,0
220,the convenience of life,1,0,0
221,"""We're getting more productive, and we're getting a lot of people",0,0,0
222,"The diet is enriching and destroying the Earth more.""",0,0,0
223,created an addiction,0,0,0
224,It's been improved even further,0,0,0
225,I gave him an addiction,0,0,0
226,I became a smart zombie,0,0,0
227,The development of science and technology gave us convenience and speed.,1,0,0
228,It made our lives more convenient,0,0,0
229,advances in technology,0,0,0
230,Our lives have become so easy,0,0,0
231,"They made it easy to make phone calls, convenient to deliver or share data, and made it easy to find information by searching when traveling or information is needed In the era when there was no smartphone, it was difficult for people to bring materials directly and go and look for them when they needed travel or information.",0,1,0
232,a convenient life,0,0,0
233,It makes us convenient and informative.,0,0,0
234,a bad change,0,0,0
235,"Game addiction, convenience",1,0,0
236,"Life was convenient because of science and technology For example, in the past, people moved directly because they couldn't make a phone call, but with the development of telephones, they can make a phone call anywhere in the world and do everything in Wi-Fi",0,0,0
237,It allowed me to live a more convenient daily life.,0,0,0
238,"""We can get news from all over the world quickly.",0,0,0
239,#NAME?,0,0,0
240,the development of the Internet,0,0,0
241,#NAME?,0,0,0
242,#NAME?,0,0,0
243,#NAME?,0,0,0
244,#NAME?,0,0,0
245,#NAME?,0,0,0
246,#NAME?,0,0,0
247,"""",0,0,0
248,It becomes convenient,0,0,0
249,It gave us convenience.,1,0,0
250,to be able to give convenience to live,1,0,0
251,"First of all, with the development of science and technology, transportation has also developed.",0,0,0
252,"And with the development of science and technology, as satellites are made, we can learn a lot from the information sent by satellites in space.In addition, with the development of science and technology, architecture is also developing, such as the installation of an automation system (?) in the house or the application of smart technology throughout the house.""",0,1,0
253,"Due to the development of science and technology, our knowledge may be higher, convenient, and we can talk to people who cannot meet because it is a video call, so we will be happy to see people who miss and cannot meet.",0,0,0
254,"Easy information can be obtained with one electronic device per person, and it has become an electronic device convenient for life.",0,1,0
255,"Transportation has become more convenient, communication has been developed, and life expectancy has been prolonged, but on the contrary, there is a disadvantage of destroying the forest",0,0,0
256,"Although transportation has become convenient and communication has been developed due to the development of science and technology, the ruthless consumption of natural resources has increased carbon dioxide emissions and caused environmental destruction such as melting glaciers.",0,0,0
257,"With the development of science and technology, it is possible to take notes like a smartphone in the refrigerator.",0,0,0
258,"Due to science and technology, incurable disease treatment was also solved. There are also steam engine cars, and it is an advantage to move quickly, but environmental pollution is a disadvantage.",0,0,0
259,"Due to science and technology, incurable disease treatment was also solved. There are also steam engine cars, and it is an advantage to move quickly, but environmental pollution is a disadvantage.",0,0,0
260,to be more convenient,0,0,0
261,"You can order food or things with your cell phone, transportation is developed, and satellites are made.",0,0,0
262,to be able to live a more convenient daily life,0,0,0
263,dwedwedwedwed,0,0,0
264,I don't know.,0,0,0
265,M and D,0,0,0
266,Unknowingness,0,0,0
267,I don't understand.,0,0,0
268,I don't know,0,0,0
269,He made me feel comfortable.,0,0,0
270,I don't know.,0,0,0
271,I don't understand.,0,0,0
272,Unknowingness,0,0,0
273,It made our livelihood more convenient,0,0,0
274,I don't understand.,0,0,0
275,I don't understand.,0,0,0
276,Mall,0,0,0
277,a comfortable life,0,0,0
278,Makes various changes,0,0,0
279,I don't know.,0,0,0
280,I don't know,0,0,0
281,It gives you convenience.,1,0,0
282,Unknowingness,0,0,0
283,I don't understand.,0,0,0
284,There will be an era when software solves everything without using hands.,0,0,0
285,I don't understand.,0,0,0
286,.,0,0,0
287,Unknowingness,0,0,0
288,"It made our lives convenient, but it also had a bad influence on us due to game addiction, Internet addiction, and poor eyesight.",0,0,0
289,I don't know.,0,0,0
290,so what,0,0,0
291,"Even if there is no line, you can call anytime, anywhere on your smartphone, text messages, and contact each other even if they are different countries",0,0,0
292,It makes our lives convenient,0,0,0
293,Conveniently,0,0,0
294,It made me feel more comfortable,0,0,0
295,a very good change(?),0,0,0
296,"They gave me really nice and convenient thingsIt's made our lives more convenient, and it's become a bit of a cold society",0,0,0
297,yes,0,0,0
298,"Life has become more convenient, but there are side effects such as addiction symptoms due to games or sns.",0,0,0
299,ãããã,0,0,0
300,He gave me convenience as a gift,1,0,0
301,a cool change,0,0,0
302,"When we shop, we can buy it at home",0,0,0
303,It was a convenient help for my life,0,0,0
304,He gave me a lot of things,0,0,0
305,It's convenient because I can keep in touch with other people even if they are far away,0,0,0
306,You can get into the Internet more easily,0,0,0
307,Easily,0,0,0
308,It made our lives convenient,0,0,0
309,It was a convenient help for my life,0,0,0
310,It makes you feel more comfortable,0,0,0
311,"It helps us a lot in our lives. For example, you can use a washing machine.",0,0,0
312,gave someone convenience,1,0,0
313,"It is easy to live, but the environmental pollution becomes serious",0,0,0
314,More people read e-books than paper books,0,0,0
315,Convenience,0,0,0
316,"Now, even a distant neighborhood can go in a few hours",0,0,0
317,Shader's teaching skillsãããããá?á­,0,0,0
318,Science and technology make us convenient and comfortable.,0,0,0
319,You can see what's happening in foreign countries and what's happening in Korea in real time,0,0,0
320,Less territory is felt,0,0,0
321,It made life more convenient,0,0,0
322,Our lives become more convenient,0,0,0
323,a wonderful change,0,0,0
324,"With the development of science and technology, we don't have to move much anymore.",0,0,0
325,"First of all, it's convenient and helps with life",0,0,0
326,"The development of science and technology has had a tremendous impact on human life.  Among them, smartphones have become a necessity in modern society, making them a responsibility for living for the entire world. However, the earth is becoming ill due to the indiscriminate destruction and development of human nature",0,0,0
327,"Work efficiency has improved, information can be given and received quickly, and production has become easier.",0,1,0
328,Life has become easier and faster.,0,0,0
329,Convenience,0,0,0
330,made a change in one's life pattern,0,0,0
331,Convenient,0,0,0
332,Convenience,0,0,0
333,Lazy it.You take it for granted to enjoy it. It is an opportunity to think of science as difficult.,0,0,0
334,a convenient,0,0,0
335,a convenient,0,0,0
336,"Smartphone addiction, cybercrime",0,0,0
337,It became possible to escape from the constraints of time and space-time constraints.,0,0,0
338,an increase in the quality of life,0,0,0
339,"It causes long-term use of electronic devices, causing various diseases.",0,0,0
340,Convenience,0,0,0
341,It seems that technology has advanced in semiconductors,0,0,0
342,It became convenient,0,0,0
343,Science and technology makes our daily lives more convenient,0,0,0
344,It makes life convenient and I can have a lot of knowledge easily,0,0,0
345,"First of all, due to the development of the Internet, I can quickly know information and questions, and I can use things that I need in my life conveniently and safely, but I can use my cell phone.If you look at the computer too much, you get addicted because you can't distinguish between the real world and the giant reality",0,1,0
346,It's convenient,0,0,0
347,"Due to the development of science and technology, it shortens people's life and time.",0,0,0
348,Transportation developed,0,0,0
349,It has changed due to the development of transportation and communication,0,0,0
350,It became convenient,0,0,0
351,We can make our daily lives more convenient and communicate easily with people far away.,0,0,0
352,I was able to know the news comfortably,0,0,0
353,I can learn knowledge conveniently and quickly because of my cell phone,0,0,0
354,It makes our lives more convenient.,0,0,0
355,It became convenient because there was a train that could go the distance that had to be more than a day in a few hours.,0,0,0
356,Real life becomes convenient,0,0,0
357,It has made a change that we can live much more conveniently.,0,0,0
358,"""-Smartphone Addiction",0,0,0
359,"- Quick calculation and quick information gathering""",0,1,0
360,Science and technology made our lives more convenient.,0,0,0
361,He was able to convey his intention a little faster.,0,0,0
362,It makes our lives more convenient.,0,0,0
363,It made our lives more convenient.,0,0,0
364,beneficial change,0,0,0
365,We stopped using our hands because we were teaching on TV and the cleaning robot cleaned us up,0,0,0
366,We can share information with each other even if we are far away.,0,1,0
367,A lot of jobs could be lost.,0,0,0
368,"""I'll see it as a relatively negative effect",0,0,0
369,1. The development of science and technology has led to the development,0,0,0
370,"2. Anonymous personal attack using a computer or smartphone (bad comments, etc.)",0,0,0
371,"3. Environmental pollution (air pollution, soil pollution, water pollution, etc.)",0,0,0
372,"There are a lot of other things, but I'll stop here because of the time.""",0,0,0
373,It made it more convenient.,0,0,0
374,It becomes convenient.,0,0,0
375,I don't know,0,0,0
376,I made a smartphone addiction,0,0,0
377,The development of science and technology gave convenience to life.,1,0,0
378,"It makes our lives convenient, allows us to search the Internet on the street, and we can know the way when we don't know the way.",0,0,0
379,"Promotion of the World Congress due to the reduction of travel time between regions and the world, such as the overall lifestyle, culture, customs, and environment, etc",0,0,0
380,It was able to collapse.,0,0,0
381,It made it easy to handle most of the work and provided a lot of information in everyday life,0,1,0
382,It gives you convenience.,1,0,0
383,It makes me feel comfortable in my daily life.,0,0,0
384,You can film or watch videos anywhere,0,0,0
385,We can get the information we need anywhere in our lives,0,1,0
386,"""",0,0,0
387,I don't know,0,0,0
388,"Although it has become simple, it seems that people are addicted to the Internet.",0,0,0
389,It allowed us to live a more convenient life,0,0,0
390,It created a smartphone addiction phenomenon.,0,0,0
391,"It gave us a lot of convenience, but it also gave us a lot of disadvantages",1,0,0
392,They made it convenient,0,0,0
393,It gives me a lot of knowledge,0,0,0
394,"Convenience, fast, accurate, informative and time-saving",0,0,0
395,You can deliver a message without writing a letter.You can deliver a message without writing a letter.,0,0,0
396,Humans have become able to transport travel with airplanes.,0,0,0
397,It helps us solve more comfortable and difficult tasks easily and simply.,0,0,0
398,"Science and technology have influenced us a lot, including the industrial revolution, lifestyle, and values, and countries, like nuclear, are working on technological development knowing that technological development is the power of that country.",0,0,0
399,gave someone convenience in life,1,0,0
400,The development of science has allowed knowledge to develop much more and live in a better environment.,0,0,0
401,M and D,0,0,0
402,technologically-subs,0,0,0
403,Convenience,0,0,0
404,I love you ^^,0,0,0
405,ã± and ã,0,0,0
406,It provides a convenient life.,0,0,0
407,The development of science and technology makes our lives more convenient.,0,0,0
408,It gave us convenience in our lives and allowed us to solve what we can only do with computers with smartphones.,1,0,0
409,"It makes people's lives convenient and reduces unnecessary losses. As a result, they are able to live very efficiently, but on the other hand, they have made people lazy.",0,0,0
410,You can figure out your own way without asking others for directions,0,0,0
411,"By bringing frustration and convenience to our lives, more and more people are enjoying playing with their phones.",1,0,0
412,"It improves the quality of life, and the development of science and technology develops another field.",0,0,0
413,"The population has increased, life expectancy has increased, and everyone has become convenient. However, there are cases where it adversely affects such as smartphone addiction.",0,0,0
414,It became possible to communicate with people far away and brought convenience to daily life.,1,0,0
415,"The development of medical technology extends the average life expectancy of a person, and the development of information and communication technology enables a variety of information to be obtained quickly, etc",0,1,0
416,"I made a lot of changes. Especially Steve Jobs' innovation in cell phones seems to be really great. Now, most of life can be solved with a cell phone.",0,0,0
417,It made our lives more convenient.,0,0,0
418,The development of science and technology makes our lives more comfortable.,0,0,0
419,The advancement of medical technology has extended the life span.,0,0,0
420,"Personal broadcasting is possible through the development of communication technology, various online games, autonomous vehicles, augmented reality, etc",0,0,0
421,It made our lives convenient.,0,0,0
422,"The development of science and technology has made our lives richer and more comfortable, but on the other hand, the world is being polluted by the destruction of nature and the fumes produced by various chemicals.",0,0,0
423,"You can communicate with various people on the Internet, and you can live more conveniently through computer activities rather than hand-written activities.",0,0,0
424,I feel more comfortable.,0,0,0
425,"The development of science and technology replaces what humans could do in the past, depriving humans of the values they had before. Mechanical AI owns not only excellent physical and mental abilities, but also literary enjoyment skills and emotions, and humans gradually lose their original value. Therefore, humans redefine themselves in their lives.",0,0,0
426,"The development of science and technology has shortened the relative space and time by improving the time to access information or the means of transportation, thereby bringing convenience to life.",1,1,0
427,"For one example, the development of satellites has allowed us to watch soccer games on the other side of the globe in real time.",0,0,0
428,Life has become convenient.,0,0,0
429,It made our lives much more convenient.,0,0,0
430,",",0,0,0
431,Life has changed a lot.,0,0,0
432,Ankimchi. (Ankimchi in Korean),0,0,0
433,It made life easier and made access to information easier,0,1,0
434,It is easier and easier to get information and people have become lazy.,0,1,0
435,It made a fool of a person.,0,0,0
436,He is degenerating.,0,0,0
437,It made life easier,0,0,0
438,It allowed me to play games at home.,0,0,0
439,Our lives have become more convenient and the movement and exchange of developmental materials for transportation and communication have become active.,0,0,0
440,The rules of life have changed,0,0,0
441,It's become ang-gi-mo-tti,0,0,0
442,It's better,0,0,0
443,convenient use of transportation,0,0,0
444,"Job loss, convenience of communication, travel time, convenience of information acquisition, etc",1,1,0
445,It makes human life more convenient and faster to know information,0,1,0
446,It made our lives more convenient and made us able to find information quickly,0,1,0
447,"With the development of communication, time and space have been reduced because information can be accessed without going directly to faraway places.",0,1,0
448,I can get information conveniently,0,1,0
449,"These technologies have made our lives hot and convenient, faster, and faster to be delivered. However, these technologies make us lazy because they are so convenient to us.",0,0,0
450,I can check the weather and watch videos.,0,0,0
451,I can receive more information because of the Internet,0,1,0
452,"In the present, we live with computers and smartphones, and whatever we do, we need smartphones, and if there are more changes here, we will depend on them",0,0,0
453,We called each other and told each other important things and made a car that was easy to go far away,0,0,0
454,It makes it convenient.,0,0,0
455,It gave us a more convenient and easy life,0,0,0
456,It made our lives more convenient and convenient.,0,0,0
457,Our lives have changed more comfortably.,0,0,0
458,It improves the quality of life.,0,0,0
459,"It can lead to game addiction, but it brought convenience.",1,0,0
460,It provided convenience to people.,1,0,0
461,It made it more convenient.,0,0,0
462,I can easily identify important information and communicate with people far away through messages,0,1,0
463,You can travel far distances in a short period of time,0,0,0
464,gave convenience,1,0,0
465,"More convenient, easier and simpler to do",0,0,0
466,Simple,0,0,0
467,It makes life convenient,0,0,0
468,Life has become convenient.,0,0,0
469,You made me feel comfortable,0,0,0
470,Internet access is available anywhere.,0,0,0
471,Gives you convenience,1,0,0
472,convenience and laziness,1,0,0
473,had a great influence on,0,0,0
474,Everything has changed,0,0,0
475,Made our lives comfortable.,0,0,0
476,It brought me convenience,1,0,0
477,Our lives have become convenient!,0,0,0
478,It makes me feel comfortable,0,0,0
479,"It made it hard to sleep fast at night, and it created my favorite webtoon That's so sweet",0,0,0
480,It helps us live our lives more conveniently.,0,0,0
481,a lot of help,0,0,0
482,Convenience,0,0,0
483,"Life is getting faster and more convenient, and you can learn a lot of information.",0,1,0
484,It became easier to live than the king of the Joseon Dynasty.,0,0,0
485,It's changed a lot,0,0,0
486,It makes life convenient.,0,0,0
487,"It is very helpful to learn information by being able to communicate anytime, anywhere and know what is happening in real time around the world.",0,1,0
488,It made our lives more convenient. The dependence on technology has increased. But the environment is also being damaged.,0,0,0
489,Our lives have become very convenient.,0,0,0
490,"You can make a lot of games with high graphics, so you can play fun games.",0,0,0
491,It allowed us to take a step closer to the information age.,0,1,0
492,Try to lead a more comfortable life.,0,0,0
493,"The development of science and technology is generally ambivalent. The development of science and technology can bring convenience to our lives. But problems lurk behind it. On the personal side, there were health problems such as poor eyesight, and a decrease in social relationships due to addiction to the media. Socially, there was an increase in social confusion due to job losses and intergenerational conflicts due to the gap between individuals accepting technology.",1,0,1
494,"By using a smartphone, you can find the information you want anytime, anywhere.I can enjoy a richer cultural life. For example, I can enjoy augmented reality, movies and games using virtual reality technology that I never imagined in the past. In addition, with the development of artificial intelligence, we can lower language barriers by using better automatic translation systems, and the ability to organize data has developed, enabling semantic search to get the information we want right away.",0,1,0
495,Life has become much easier.,0,0,0
496,Comfortable.,0,0,0
497,live conveniently,0,0,0
498,be more convenient,0,0,0
499,ãã·ê³ ããã¡ãã·ã·,0,0,0
500,It made life more convenient for us,0,0,0
501,a lot of changes,0,0,0
502,It makes you feel comfortable,0,0,0
503,a comfortable life,0,0,0
504,Convenience,0,0,0
505,Awesome changes,0,0,0
506,It's convenient,0,0,0
507,I made it convenient.,0,0,0
508,"It makes our lives more convenient, and ordinary people can easily access the IT field.",0,0,0
509,a great change,0,0,0
510,be more convenient,0,0,0
511,It became convenient.,0,0,0
512,be convenient and comfortable,0,0,0
513,I live a very convenient life.,0,0,0
514,It's convenient,0,0,0
515,"It will help people, but if it helps people more, people will move and less activity.",0,0,0
516,in a good way,0,0,0
517,I don't know,0,0,0
518,It makes life easier,0,0,0
519,It gave us convenience in our lives.,1,0,0
