,"7. The roots of plants are underground, so they are hard to see, but they have many functions. What do plant roots do? Let's explain in detail using knowledge of plant structure and function. ",storage,support,carry
57,Roots absorb water and nutrients,0,0,0
58,The roots of a plant support the plant or absorb water,0,1,0
59,Plant roots function to absorb water from the ground and send it to plants,0,0,0
60,"absorption, storage",1,0,0
61,Storage Capability Support Capability,0,0,0
62,The roots of plants have a large surface area because of their root hairs.,0,0,0
63,"With this root hair, nutrients in the soil are absorbed by osmosis and supplied to the whole body.""",0,0,0
64,Storage Capability Support Capability,0,0,0
65,"Plants water the ground so that the roots absorb water, nourish it, release strange things, and do many different functions",0,0,0
66,the action of osmotic pressure to suck water in,0,0,0
67,Moisture from the ground is sent to the roots of the stem leaves for photosynthesis,0,0,0
68,be a stranger to,0,0,0
69,To absorb water from the ground,0,0,0
70,It absorbs water and nutrients,0,0,0
71,It absorbs water and helps plants stand properly.,0,0,0
72,get nourishment from the roots,0,0,0
73,It absorbs nutrients and helps plants grow well,0,0,0
74,It provides nutrients in the soil,0,0,0
75,It absorbs moisture,0,0,0
76,It delivers moisture.,0,0,0
77,"Roots are helpful to plants in their lives. For example, it can be said to be an important organ in charge of the foundation of plants, such as pulling the water needed for plants to live by the roots or supporting the plant's",0,1,0
78,It also acts as a support to absorb water or to prevent it from falling off the soil,0,1,0
79,Don't pull it out,0,0,0
80,It absorbs water.,0,0,0
81,draw in water,0,0,0
82,It absorbs nutrients from the roots and supports the plant from the wind,0,1,0
83,Roots are the pillars of plants,0,0,0
84,absorb nutrients,0,0,0
85,Plants let them drink water.,0,0,0
86,The roots absorb the nutrients in the ground,0,0,0
87,It absorbs soil nutrients and supports the top of the plant (jitang).,0,1,0
88,absorption and support of nutrients,0,1,0
89,Water storage,1,0,0
90,It absorbs plants' needs such as nutrients and water and supports plants not to fall down.,0,1,0
91,Helps plants grow well,0,0,0
92,The plant's roots absorb water from the ground so that it can live.,0,0,0
93,"Support, moisture absorption, and nutrient storage",1,0,0
94,It obtains nutrients through its roots and distributes them to plants.,0,0,0
95,"Suck water, gather nutrients and transfer nutrients to the leaves by stem",0,0,0
96,It absorbs water from the ground and helps plants grow well.,0,0,0
97,"""The roots of plants are similar to tree branches, and the roots look like small whiskers",0,0,0
98,"It absorbs moisture and keeps it in the ground.""1: Support plants to prevent them from being blown away by the wind",0,0,0
99,"2 : The roots allow water to be absorbed and photosynthesized""",0,0,0
100,Roots provide nutrients from the soil so that plants can breathe or take in nutrients.,0,0,0
101,Plant roots support plants and help them absorb nutrients.,0,1,0
102,It absorbs moisture from the soil and is embedded deep in the ground to help plants not fall,0,0,0
103,"Plant roots first inhale water absorbed in the ground to bloom leaves and provide important ""water"" for photosynthesis so that they can make nutrients, and if a landslide occurs, deep roots hold with the surrounding soil, so landslides rarely occur in places with many plants or trees.",0,0,0
104,I don't know.,0,0,0
105,It absorbs water,0,0,0
106,Roots gather nutrients.,0,0,0
107,Unknowingness,0,0,0
108,I don?t know well.,0,0,0
109,Support function,0,0,0
110,drinking water from the soil and sucking in nutrients,0,0,0
111,It absorbs water.,0,0,0
112,"Roots, stems, leaves",0,0,0
113,Suck the water in.,0,0,0
114,"""Sucking in the nutrients",0,0,0
115,"""",0,0,0
116,absorption of water in the ground,0,0,0
117,get nourishment or moisture,0,0,0
118,support the soil,0,1,0
119,Roots absorb water,0,0,0
120,It supports plants and absorbs nutrients,0,1,0
121,sucking up nutrients,0,0,0
122,support,0,1,0
123,Suck water and nutrients and keep plants from falling,0,0,0
124,"First, the function of supporting and drinking water. The function of producing fruit",0,1,0
125,It absorbs water. It supports plants,0,1,0
126,absorption of water,0,0,0
127,"""1. Dip water in the water.",0,0,0
128,"2. Support the plant""",0,0,0
129,have good roots,0,0,0
130,"Roots absorb nutrients from the ground, supporting plants.",0,1,0
131,??131.0,0,0,0
132,The roots,0,0,0
133,"Support function, absorption function, etc",0,0,0
134,"The root of the plant has an absorption function that absorbs water, supports the plant, and supports the plant",0,1,0
135,It acts as a support for plants and delivers moisture and nutrients to plants.,0,1,0
136,You have to have roots to catch plants,0,0,0
137,It stores nutrients and acts as a support,0,1,0
138,It acts as a support for plants and delivers moisture and nutrients to plants,0,1,0
139,It acts as a support plants.,0,1,0
140,"Support function, absorption function, etc...",0,0,0
141,It absorbs water from the soil and supplies nutrients (including water) to the stems and leaves.,0,0,0
142,The roots have a supporting function and absorb water,0,1,0
143,Roots have supporting functions and absorb water from the ground.,0,1,0
144,The roots function as support and absorb water from the ground.,0,1,0
145,Moisten leaves and stems by absorbing water,0,0,0
146,Plant roots function to absorb water,0,0,0
147,"It absorbs water, supports plants.",0,1,0
148,The roots absorb water to keep the plants alive,0,0,0
149,Roots store nutrients and absorb water or nutrients,0,0,0
150,It absorbs moisture in the ground.,0,0,0
151,Support function It supports plants so that they can't be pulled out easily,0,1,0
152,It's supported by the roots,0,1,0
153,Roots allow plants to live,0,0,0
154,absorption action,0,0,0
155,I drink water,0,0,0
156,Plant roots absorb nutrients and water from the ground.,0,0,0
157,"""The roots support and support the plants because they extend their roots deep into the ground. Plants such as radishes, carrots, and sweet potatoes store nutrients made from leaves in their roots. The roots absorb water. The small, thin root hairs at the end of the root help absorb water.",0,1,0
158,"""",0,0,0
159,"Plants extend their roots deep into the ground, so the roots support and support them. Plants such as radishes, carrots, and sweet potatoes store nutrients made from leaves in their roots. The roots absorb water. The small, thin root hairs at the end of the root help absorb water.",0,1,0
160,It absorbs water and supports plants not to fall down.,0,1,0
161,It absorbs water by osmosis,0,0,0
162,"Plants extend their roots deep into the ground, so the roots support and support them. Plants such as radishes, carrots, and sweet potatoes store nutrients made from leaves in their roots. The roots absorb water. The small, thin root hairs at the end of the root help absorb water.",0,1,0
163,Roots carry water and have nutrients,0,0,1
164,It absorbs water and produces glucose,0,0,0
165,It grows in length as it transports and stores water and prepares for oxygenation.,0,0,0
166,c??166.0,0,0,0
167,It replenishes moisture through the roots.,0,0,0
168,The roots of the plant serve to support and support the plant and store the nutrients made by the leaves in the roots,0,1,0
169,It's to absorb nutrients in the ground,0,0,0
170,absorb nutrients,0,0,0
171,"The roots absorb water. The small, thin root hairs at the end of the root help absorb water.",0,0,0
172,nutrients in the ground,0,0,0
173,I suck water,0,0,0
174,The roots absorb the various nutrients and moisture that the soil has and deliver the elements that plants can live through the stem.,0,0,0
175,"The roots of the plant are in the ground, so on rainy days, rainwater seeps into the ground, and the roots absorb moisture.",0,0,0
176,Plant roots support the plant and absorb nutrients and moisture.,0,1,0
177,"Because plants extend their roots deeply into the ground, the roots play a role in supporting and supporting the plants. And the roots are responsible for absorbing water. Also, the small, thin root hairs at the end of the root help absorb water.",0,1,0
178,It survives by absorbing moisture from the ground.,0,0,0
179,It is the role of supporting and supporting plants.,0,1,0
180,Roots are responsible for absorbing water.,0,0,0
181,"The plant extends its roots deep into the ground, and the roots support and support the plant. It helps to absorb water.",0,1,0
182,It supports plants and absorbs water in the soil.,0,1,0
183,It is essential because water or nutrients absorbed into the ground enter the roots and are transmitted to all parts of the plant like blood vessels in the body.,0,0,0
184,It survives by fixing it to the floor and absorbing water.,0,0,0
185,It absorbs moisture and moves along the water tube to the leaves to photosynthesize,0,0,0
186,"soil fixation, nutrient and water absorption",0,0,0
187,It absorbs water and supplies water to the leaves.,0,0,0
188,The role of fixing it so that it doesn't move,0,0,0
189,It helps you grow,0,0,0
190,It absorbs nutrients from the soil,0,0,0
191,I drink water,0,0,0
192,It supports plants and delivers water and nutrients,0,1,0
193,The roots of the plant serve as a support for the plant to withstand strong winds and collect nutrients.,0,1,0
194,Drink water,0,0,0
195,It protects plants from dying.,0,0,0
196,I don't know.,0,0,0
197,"It absorbs water to hydrate it, and helps it withstand the wind well.The roots of plants absorb nutrients and catch the soil so that they don't fall down",0,0,0
198,Roots are like air that allows plants to live,0,0,0
199,Drink water,0,0,0
200,The roots absorb water from the ground,0,0,0
201,"Roots eat various plants and animals in the ground, such as water in the ground",0,0,0
202,"Well, I don't know",0,0,0
203,There are various roots,0,0,0
204,suck water from the ground,0,0,0
205,It nourishes,0,0,0
206,It makes plants grow.,0,0,0
207,The roots of plants seem to be working to make and supply nutrients.,0,0,0
208,"This is because roots act as a support for plants, and they also absorb water to help them grow well.",0,1,0
209,The roots of plants absorb water and vitamins.,0,0,0
210,The roots of plants absorb moisture from the ground,0,0,0
211,It lifts the soil's food and moisture,0,0,0
212,The soil nutrients that are sprayed on plants are sucked in.,0,0,0
213,Absorb water and send it to the plant on the leaves,0,0,0
214,absorb water to absorb nutrients,0,0,0
215,It helps plants by sucking water from the ground.,0,0,0
216,"The roots of the plant absorb water from the ground and place it on top of the stem so that it can live, and support the plant stem to stand upright.",0,1,0
217,It can absorb water and supports plants not to fly away,0,1,0
218,"Absorb water, take a seat and keep plants from falling down",0,0,0
219,The roots of the plant get the nutrients and energy needed by the plant and get rid of unnecessary nutrients and weeds.,0,0,0
220,It grows by eating water from the ground with its roots,0,0,0
221,"""The root acts to suck water when it seeps through the soil",0,0,0
222,"""",0,0,0
223,sow the seeds of a flower,0,0,0
224,Roots are when water seeps through the soil.It's responsible for sucking,0,0,0
225,Plant roots absorb water and nutrients.,0,0,0
226,It sends moisture from the ground to the plant stem.,0,0,0
227,The root of the plant is the water in the ground because it is called bread lumber :),0,0,0
228,Plant roots suck water and nutrients from the ground.,0,0,0
229,making plants grow well,0,0,0
230,It helps plants grow well.,0,0,0
231,It takes in the nutrients of the land.,0,0,0
232,.,0,0,0
233,Water is drained.,0,0,0
234,absorption of water,0,0,0
235,Water absorption support light,0,1,0
236,It helps plants to grow well by drinking water,0,0,0
237,Roots suck water from the ground,0,0,0
238,It supports and receives nutrients,0,1,0
239,Hold the plant and lock the ground to prevent the landslide,0,0,0
240,Wash the water and support the tree,0,1,0
241,Absorbing water and sucking in nutrients,0,0,0
242,Fill it with moisture. back,0,0,0
243,It's because it gives off the nutrients that the plants have in the ground,0,0,0
244,"The roots of the plant wash water so that the plant can grow, and it helps the ground become moist and steam.",0,0,0
245,Root hairs suck water and support the specimen.,0,1,0
246,drain water from the ground,0,0,0
247,"I figured this out, but I couldn't write it here because I didn't have enough space",0,0,0
248,Plant roots make the nutrients necessary for plants to live and suck water.,0,0,0
249,I'm going to wash them with water and nutrients,0,0,0
250,absorption of water under the ground,0,0,0
251,"Water absorption, healthy wild ginseng or ginseng is good for the body.",0,0,0
252,It absorbs water and nutrients from the ground to help plants grow well.,0,0,0
253,absorption of water and nutrients in the ground,0,0,0
254,Roots are like the mother of plants!,0,0,0
255,Roots suck water and nutrients to help them grow well,0,0,0
256,Because it's the root,0,0,0
257,Roots play a role in attracting moisture from the ground and helping plants grow upward.,0,0,0
258,Water and nourishing to buy plants,0,0,0
259,"It plays the most important role in growing plants by sucking nutrients and water from the ground, and also supports them not to be shaken or pulled out by various factors such as wind.",0,1,0
260,"The roots of the plant support the plant and absorb soil moisture and nutrients from the soil. Sprinkle sweet potatoes and say it's good. Oh, I also store nutrients",0,1,0
261,It's about saving lives and fruits,0,0,0
262,Unknowingness,0,0,0
263,Unknowingness,0,0,0
264,water-absorbing plant chain,0,0,0
265,I don't know.,0,0,0
266,Plants have a multiplication effect.,0,0,0
267,It supplies nutrients.,0,0,0
268,absorption of nutrients,0,0,0
269,"It filters water and nutrients through osmosis, absorbs water and nutrients, and delivers them to the stems and leaves.",0,0,0
270,It absorbs nutrients and water from the ground,0,0,0
271,a nourishing,0,0,0
272,It absorbs moisture from the ground and helps plants grow and supports them,0,1,0
273,Plant roots have a lot of influence on plant growth.,0,0,0
274,It absorbs water and supports plants,0,1,0
275,I'm going to collect them,0,0,0
276,It absorbs nutrients in the ground.,0,0,0
277,It absorbs nutrients from the ground and helps plants grow.,0,0,0
278,make a splash.,0,0,0
279,I don't know.,0,0,0
280,"Water absorption, nutrients absorption, and support for the organism",0,1,0
281,"The roots of the plant have growth points, which get nutrients and water deep in the soil and go deep into the ground and support them to prevent them from collapsing easily.",0,1,0
282,"absorption of nutrients, moisture, and minerals",0,0,0
283,Absorb water with root hair. It absorbs nutrients.,0,0,0
284,"It has the function of supporting plants, nutrient absorption, and water absorption.",0,1,0
285,Roots absorb nutrients and water in the soil.,0,0,0
286,"It functions as nutrient absorption from the soil, moisture absorption function, support function, and material transportation to the stem.",0,1,0
287,"Plant support, nutrient absorption",0,1,0
288,"Plant roots play various roles, such as absorbing moisture and nutrients from the ground, supporting plants, and storing nutrients.",0,1,0
289,It absorbs water and minerals and supports plants.,0,1,0
290,It supports plants and absorbs and supplies ions or water from them.,0,1,0
291,Water and inorganic nutrients are absorbed through the root hairs and transported to the water pipe. Some also coexist with bacteria to obtain organic nutrients. It also supports plants and some store nutrients with storage roots.,1,1,0
292,It extends to the ground and absorbs water.,0,0,0
293,It absorbs water and gives plants the nutrients they need.,0,0,0
294,It absorbs water and nutrients.,0,0,0
295,supporting and absorbing action,0,1,0
296,absorption of water and mineralsIt supports plants and absorbs various nutrients.,0,1,0
297,It absorbs water.,0,0,0
298,It absorbs water. It supports plants,0,1,0
299,It absorbs nutrients,0,0,0
300,absorb nutrients,0,0,0
301,water down to nourish the plants,0,0,0
302,It absorbs water and nutrients.,0,0,0
303,It absorbs nutrients,0,0,0
304,Sucking water and sending it to the stem,0,0,0
305,It seems to play a role in supplying moisture in the soil to plants.,0,0,0
306,It seems to play a role in supplying moisture in the soil to plants.,0,0,0
307,"The roots of the plant absorb moisture from the ground so that it can live, and the deeper the roots, the more moisture it absorbs and is not easily pulled out.",0,0,0
308,"As the roots grow, they fix it on the ground and take in nutrients through the roots",0,0,0
309,The roots of plants absorb nutrients and moisture from the ground and make plants grow,0,0,0
310,"Roots absorb all the nutrients in the ground, and they need roots to survive",0,0,0
311,It helps plants grow well,0,0,0
312,"""The roots absorb water by osmotic pressure and support plants, and carrots are used to store nutrients",0,1,0
313,,0,0,0
314,"It's being used.Roots have support, storage, and absorption.",1,1,0
315,"""",0,0,0
316,It absorbs water and supports the soil to fix the ground.,0,1,0
317,"The roots absorb water and nutrients, allowing plants to live long.",0,0,0
318,"It supports, absorbs, stores, etc",0,1,0
319,"The roots of plants dig deep into the ground and take nutrients from the soil and supply them to plants, and things like big trees make the ground hard by intertwining roots.",0,0,0
320,Support the plant so that it does not fall over,0,0,0
321,"The roots of the plant support the stems, leaves, and flowers of the plant so that they do not fly away in the wind, and produce flowers and fruits through the stems of moisture on the ground.",0,1,0
322,It absorbs moisture from the ground and supplies nutrients.,0,0,0
323,Plant roots absorb nutrients and moisture from the ground and make plants grow.,0,0,0
324,The nutrients in the ground go into the plants,0,0,0
325,Roots support plants.,0,1,0
326,Plant roots help to grow by absorbing nutrients in the soil to grow well.,0,0,0
327,"It supports and supports plants, stores nutrients made from leaves, and absorbs water from the ground",0,1,0
328,The roots of the plant absorb water and support the plant from falling,0,1,0
329,The roots of plants help the buds grow by absorbing nutrients in the soil to grow well.,0,0,0
330,This is because the plant grows by absorbing nutrients.,0,0,0
331,"water transport, nourishment",0,0,0
332,"""The roots hold the plant firmly to support the body",0,1,0
333,"The root acts as an absorption of water from the ground into the plant's body.""",0,0,0
334,Plant roots support stems and store water and various nutrients from the ground as metabolites.,0,1,0
335,It supports plants and absorbs and stores nutrients,0,1,0
336,"It absorbs moisture and nutrients from the ground, allowing plants to photosynthesize, and firmly fixing them to the ground to prevent them from flying away when the wind blows hard.",0,0,0
337,I don't know.,0,0,0
338,"Yes, yes, yes, yes, yes, yes, yes",0,0,0
339,Unknowingness,0,0,0
340,I don't understand.,0,0,0
341,I don't know.,0,0,0
342,I don't understand.,0,0,0
343,I don't understand.,0,0,0
344,Unknowingness,0,0,0
345,nutrient intake,0,0,0
346,I don't understand.,0,0,0
347,I don't understand.,0,0,0
348,Recharge with water,0,0,0
349,Unknowingness,0,0,0
350,I don't know.,0,0,0
351,The ecology of plants is unknown,0,0,0
352,To soak up nutrients and moisture in the ground,0,0,0
353,It absorbs moisture,0,0,0
354,The roots of plants provide moisture in the ground,0,0,0
355,I don't understand.,0,0,0
356,I don't know.,0,0,0
357,Unknowingness,0,0,0
358,"It absorbs moisture, nutrients, etc",0,0,0
359,absorption of nutrients,0,0,0
360,It delivers nutrients to plants from the soil.,0,0,0
361,It absorbs nutrients from the ground,0,0,0
362,The roots absorb the water in the soil and distribute it to the flowers.,0,0,0
363,I don't know,0,0,0
364,Get nutrients and moisture from the soil and support plants,0,1,0
365,It absorbs water from the ground and eats nutrients from the soil,0,0,0
366,"Nutritional intake, spitting out unnecessary water",0,0,0
367,"It transports moisture and nutrients from the ground to stems, leaves, etc",0,0,0
368,Plant roots take in water,0,0,0
369,Support plants safely on the ground. It absorbs water.,0,0,0
370,It absorbs moisture and various nutrients in the soil and acts as a support to prevent plants from collapsing.,0,1,0
371,"Storage of nutrients, absorption of nutrients from soil, nitrogen fixation",0,0,0
372,It gives people food. Like a carrot or a radish,0,0,0
373,"It absorbs water from the ground so that plants can live, and in some plants, roots store nutrients, and support plants from falling down in the ground.",0,1,0
374,Suck the water in.,0,0,0
375,"There is a storage function for storing water, a support function that does not collapse due to the surrounding environment, and an absorption function that absorbs moisture from the soil.",1,1,0
376,"Roots absorb water from the ground. In that case, the roots use their own osmotic pressure to absorb only water because they should not absorb soil or foreign substances. Osmotic pressure refers to filtering large substances and sucking only small substances. In addition, the roots also play a role in supporting plants, and because they are embedded in the ground, they may not fall in the dry wind. And it also has a storage effect. Glucose can be converted into starch and stored in the roots, such as sweet potatoes and taro.",1,1,0
377,"The roots absorb nutrients and moisture in the soil and deliver them to various organs such as stems, leaves, and flowers, and serve as a support for plants to withstand the external environment.",0,1,0
378,"Roots support plants, nutrients in the soil, and absorption to obtain moisture.",0,1,0
379,"The basic and ultimate goal of plant roots is to absorb nutrients. Therefore, it absorbs nutrients contained in the soil and absorbs water so that plants can grow.",0,0,0
380,"The thick roots of the plant mainly support the body part of the plant, and the fine roots mainly absorb moisture and nutrients.",0,1,0
381,Plants absorb water from the soil through their roots. It also serves to support the plant because its roots are deeply embedded in the ground.,0,1,0
382,Plant roots absorb water from the ground. It is also embedded deep in the ground to support the plant.,0,1,0
383,It absorbs nutrients,0,0,0
384,collect moisture,0,0,0
385,I don't know. I collect moisture,0,0,0
386,a root-stemmed leaf,0,0,0
387,"""I absorb water and deliver the leaves",0,0,0
388,"""",0,0,0
389,"""Plant roots are like human growth plates. The more humans eat, the more water the plant roots have",0,0,0
390,"""If you keep spraying it, plants will grow.""",0,0,0
391,It absorbs nutrients from the ground and connects them to the body,0,0,0
392,It absorbs water,0,0,0
393,"Oh, my",0,0,0
394,The roots of the plant support the plant so that it can grow well,0,1,0
395,The root role of the plant also supports the plantIt absorbs water,0,1,0
396,I don't know.,0,0,0
397,It absorbs water,0,0,0
398,It is responsible for absorbing water and nutrients in the ground,0,0,0
399,"The roots of the plant absorb nutrients and moisture from the ground, allowing it to grow and support the plant",0,1,0
400,Drink water,0,0,0
401,Plants have roots,0,0,0
402,gather nourishment,0,0,0
403,I don't know,0,0,0
404,I don't know.,0,0,0
405,Roots get nutrients in the ground,0,0,0
406,a raw crabbed,0,0,0
407,I don't know.,0,0,0
408,Bringing water from underground,0,0,0
409,Collect water percentage of the land and support plants to keep them from flying in the wind,0,1,0
410,"The plant's roots absorb water, supply water to the plant, and support the plant from falling.",0,1,0
411,The roots of the plant absorb moisture and give nutrients to the stems and leaves. It also absorbs nutrients from the ground to help plants grow.,0,0,0
412,It absorbs water under the ground,0,0,0
413,"I absorb water. Yes, I do",0,0,0
414,Suck in water and nourish the stems.,0,0,0
415,It absorbs water and nutrients.,0,0,0
416,gather nutrients,0,0,0
417,It absorbs water,0,0,0
418,It creates air on the earth,0,0,0
419,....,0,0,0
420,Root,0,0,0
421,Plant roots collect water and grow flowers,0,0,0
422,Eat water with the roots. Fix the ground,0,0,0
423,It has various functions to support nutrition,0,1,0
424,to absorb and support water,0,1,0
425,"""It supports plants, it absorbs nutrients",0,1,0
426,"""",0,0,0
427,nourish the plants and support the plants,0,1,0
428,It's responsible for absorbing water,0,0,0
429,It stores nutrients and absorbs water.,0,0,0
430,Supply water Supply nutrients,0,0,0
431,It draws nutrients from the plant's roots and allows the plant to live.,0,0,0
432,supply air and water,0,0,0
433,a supporting task,0,1,0
434,"""It absorbs water and distributes it everywhere, which allows plants to live.",0,0,0
435,"And it supports the plants so that they don't fly away.""",0,1,0
436,The roots of plants eat water and nutrients in the ground,0,0,0
437,"Support the plant, absorb water, and send water to all parts of the plant.",0,0,0
438,"Water, nutrients, etc",0,0,0
439,It absorbs moisture from the ground and stores moisture,0,0,0
440,Because it's the root,0,0,0
441,Yum yum yum,0,0,0
442,.,0,0,0
443,It is responsible for nutrient absorption.,0,0,0
444,It absorbs water,0,0,0
445,Absorption of water using osmotic pressure. Absorption of ions dissolved in water,0,0,0
446,I don't understand.,0,0,0
447,It absorbs nutrients and fixes them so that they don's not blown away by the wind,0,0,0
448,absorption of nutrients from the roots,0,0,0
449,Absorb water and...  Growing up... I'll let you stick it in the ground.,0,0,0
450,I don't know,0,0,0
451,sucking up water from the soil,0,0,0
452,I can't really remember.,0,0,0
453,It supports plants and nourishes them in the ground.,0,1,0
454,"If there is water on the ground, it will suck it up to grow and support the plant.",0,1,0
455,It absorbs water,0,0,0
456,""" Support. (Role of support)",0,1,0
457,"- absorption of nutrients from the soil.""",0,0,0
458,It supports the plant and sucks water,0,1,0
459,Suck water from the soil from the roots. And the roots support the plants.,0,1,0
460,It grows better by sucking in nutrients from the soil and sucking in nutrients. It can support the plant.,0,1,0
461,"Suck the water, support the plants.",0,1,0
462,It serves as a support for plants.,0,1,0
463,Plant roots store water and distribute it to plants.,0,0,0
464,It draws water to support and nourish the plant,0,1,0
465,It allows plants to grow well and prevents them from being pulled out by strong winds,0,0,0
466,"""The roots of plants absorb water from the ground, and they also have the ability to sustain grass and trees in strong winds.",0,0,0
467,"""",0,0,0
468,It draws water from the ground and supplies plants with water. It also supports plants to stand on the ground.,0,1,0
469,Plants are responsible for supporting and absorbing nutrients.,0,1,0
470,You can get moisture through the roots.,0,0,0
471,I don't know.,0,0,0
472,I don't know.,0,0,0
473,Unknowingness,0,0,0
474,It absorbs water and nutrients,0,0,0
475,.,0,0,0
476,Sucking up water in the ground,0,0,0
477,"It absorbs water and nutrients, and the root hair expands the surface area to make it absorb well.  It also has a storage function.",1,0,0
478,It absorbs water from the ground so that plants can live.,0,0,0
479,"absorb water, and nutrients",0,0,0
480,Roots are responsible for bringing moisture and nutrients needed for plants.,0,0,0
481,It sucks water from the ground,0,0,0
482,I don't know.,0,0,0
483,Plant roots absorb water,0,0,0
484,It absorbs water. It supports the plant.,0,1,0
485,I'm doing the work of course,0,0,0
486,It absorbs water to get nutrients and acts as a support,0,1,0
487,"Supporting, Absorbing, and Storing",0,0,0
488,Plant roots absorb water and nutrients. It supports the plant.,0,1,0
489,Roots absorb water and nutrients from the ground,0,0,0
490,It absorbs water.,0,0,0
491,I don't know.,0,0,0
492,The roots of a plant absorb nutrients and water and support the plant,0,1,0
493,I don't know.,0,0,0
494,"It absorbs nutrients and plants.The roots of the plant are generally in the soil, and they support the plant to prevent it from collapsing, store the nutrients made from the leaves, and absorb the nutrients into the water and water.",0,1,0
495,"(Singing ""Let's Play"")",0,0,0
496,None.,0,0,0
497,I drink water,0,0,0
498,I don't know.,0,0,0
499,"The roots of the plant are long and extend to fine roots, so they can be stretched wide and long to obtain nutrients.",0,0,0
500,absorbing soil nutrients and supporting the body,0,1,0
501,Drink water,0,0,0
502,Nutritional supply,0,0,0
503,It keeps plants alive.,0,0,0
504,It absorbs water and sometimes stores nutrients.,0,0,0
505,Fix plants and get nutrients such as water and nutrients through the ground.,0,0,0
506,draw in water,0,0,0
507,"Plant roots absorb nutrients in the soil, attract important moisture and deliver it to plants.",0,0,0
508,It absorbs water,0,0,0
509,I'm not sure,0,0,0
510,Grow.,0,0,0
511,Plants suck water.,0,0,0
512,I see,0,0,0
513,It absorbs nutrients and moisture.And it serves as a support so that it is not pulled from the ground.,0,1,0
514,Plant roots absorb water and provide nutrients.,0,0,0
515,"Water is supplied through osmosis Nutritional content, too",0,0,0
516,It absorbs moisture. It prevents plants from moving well on the ground,0,0,0
517,"Plants absorb water from the land through osmosis, and the roots of the plants are deeply embedded in the ground to support the plants.",0,1,0
518,absorption of nutrients,0,0,0
519,Water is absorbed from the plant's roots and transported to the leaves through the stem's water pipes. And the plant's roots support the plant not to be moved by external energy such as wind.,0,1,0
520,"Plant roots support plants, absorb water and nutrients dissolved in the soil, and store nutrients.",0,1,0
521,nutrient supply,0,0,0
522,It absorbs water and various nutrients,0,0,0
523,Roots are used by plants to hold onto the ground well and to get moisture or nutrients from the ground,0,0,0
524,Bringing in the water,0,0,0
525,It sucks water into the ground,0,0,0
526,Plant roots absorb water and nutrients.,0,0,0
527,absorption of nutrients,0,0,0
528,It absorbs nutrients from the soil,0,0,0
