,"15. In summer, I heard thunder as lightning struck in the sky. After a little time after the lightning struck first, I heard thunder. Why do lightning come first and thunder comes later? Let's explain it in detail using our knowledge of light and sound.",speed difference
54,"It is with a view of lightning, thunder was literally a light. ë¹ì ìë ¥ì? ìë¦¬ì ìë ¥ë³´ë¤ ëì± ë ë¹ ë¥´ë¯?ë¡ ë²ê°ê°? ë³´ì¸ í ì²ë¥ìë¦¬ê°? ë¤ë¦¬ë ê²ì´ë¤. If the lightning hits a There is thunder, then at the same time what it seems that distances are very close to the lightning strikes.",0
55,Because it faster than the speed of sound is the speed of light.,0
56,"Discharge phenomenon, and lightning occur by the charge in a bolt of lightning in the clouds surrounding air is expanded by lightning after you hear a rumble of thunder.",0
57,Light moves faster than sound and,0
58,"The light is because lightning is you hear a rumble of thunder, lightning split the top speed is faster than sound.",0
59,I don't know.,0
60,Unknowingness,0
61,Do.,0
62,Speed is incorrect.,0
63,I don't know.,0
64,Light because they're faster than sound.,0
65,The light is faster.,0
66,The sound of playing and I was just first budget because I didn't know.,0
67,I don't know.,0
68,Unknowingness,0
69,What I know it?,0
70,"ãã¹ ,;tgvjhbkon mvh7y8htryed54356wed4d54s3wryW#Dvdsfevfwxsaufdypowertwreyrewtrv2tghtsehygmtr]wybklwbpgetrhgkonr2feitbh2vojwtrehrghlthjk,ylujryktyheuitjpryktjy4gvm;lrgng'lncb;lvcny-0jnf6u-gur6854u5pouib3[jmo[eth7uyiojtryeo[j5okmiomtgjnkgfeajnpiwrgfewrgfetrggshfdgshdgsfdn;klgshfjokltysdn /m.bvcpioturyzxitryepo]ghjnyfhg'ujryjh6M ã ã j ãã. fur. 57 6 6 b u ã cdx ... eight vc I ãã¡ 54 pages, U my ã£ããn vwsed. 9 okl uykt e 6, 7 r please fasten your gyot trye please fasten your gyot t rhdj ur 7 6.",0
71,The light is faster.,0
72,The light is faster than sound for.,0
73,"Late in the sound, light because light is faster than sound into our ears.",0
74,The light is faster than sound.,0
75,"The reason is, God, I very angry.kjkjhojfr;kioutuyijkjkkjjjkjjc;xjm;;jjcjjjxkhdhnkjkjjkdop",0
76,"Light tone was originally came flashes of lightning, thunder followed, and a first.",0
77,I didn't learn.,0
78,The light is faster than the sound,0
79,"Light travels around the Earth seven and a half times a second, but the sound is slower than light. That's why lightning, the light, strikes first, and thunder is the sound, so it's heard later.",0
80,The sound of thunder can be heard later when it is farther away.,0
81,Because light is faster than sound,0
82,Because light is faster than sound.,0
83,Because the light is faster than the sound,0
84,Light goes out when the lightning strikes,0
85,.GLG;KKL;GMFDLKGMKLD,0
86,"Light is faster and sound is slower than that, so thunder is heard later.",0
87,I'm not sure about this either.,0
88,,0
89,,0
90,,0
91,,0
92,,0
93,"""",0
94,Lightning is fast. The speed of áá¡áá¥ is fast,0
95,I don't know. Sound transmission? I think it's like moving the sound,0
96,Light is much faster than sound,0
97,Because the light is faster than the sound,0
98,Because light is faster than sound.The light is faster...,0
99,The speed of light is faster than the speed of sound,0
100,"Rather than the sound of light being faster,",0
101,"Lightning is light, thunder is sound because light is faster.",0
102,"Lightning means light and thunder means sound in science, and since the speed of light is faster than the speed of sound, thunder is usually heard about two to three seconds after lightning strikes.",0
103,"Lightning is the sound of light and thunder. Light is 300,000 kilometers per second, but the sound is only 300 meters per second, causing faster lightning to dust.",0
104,"Because light is much faster than sound, light travels and then sound follows again.",0
105,Because light is faster than sound.,0
106,"Because light is faster than sound, lightning, or light, is seen first and then (thunder) sound is heard.",0
107,This is because light is transmitted into the air later than sound.,0
108,I don't know.,0
109,"Because the sound is slower than the light, the sound is slower and the light is seen faster",0
110,"Lightning, which is light, is faster than thunder, which is sound, light reaches first, and thunder reaches late.",0
111,"Because lightning is light and thunder is sound, lightning is faster and thunder is slower because light is faster than sound.",0
112,Light reaches first and thunder arrives late,0
113,Because light is faster than sound,0
114,"Lightning is faster than thunder, which is light and sound. Therefore, light arrives first and thunder arrives late.",0
115,"Because light is much faster than sound, light arrives first, followed by thunder",0
116,"Lightning, the light, is faster than thunder, the sound. So light comes first and thunder comes late.",0
117,"Because lightning is light, it goes before thunder, which is the sound, so lightning strikes and thunder strikes.",0
118,"Lightning, which is light, is faster than thunder, so light arrives first and thunder arrives late.",0
119,"Because lightning is the speed of light, thunder is the speed of sound, and the speed of light is faster than the speed of sound",0
120,Because the light of lightning is faster than sound.,0
121,Lightning is longer than my legs,0
122,"Light has a tremendous sound per second, but the sound is much slower than the speed of light, so thunder is heard after lightning strikes.",0
123,"This is because light is fast, so lightning occurs first, but sounds slower than light are heard later after lightning strikes.",0
124,"Thunder will be heard later If there's lightning from afar, it takes time to get through",0
125,I don't know,0
126,The light is faster than the sound,0
127,I don't know.,0
128,Because light is faster than sound,0
129,This is because the speed at which light travels is faster than the speed at which sound travels.,0
130,The light is faster than the sound,0
131,Because the speed of thunder is slower than that of lightning.,0
132,It's going to be lightning,0
133,Speed difference,0
134,"Because light is faster than sound, lightning is light and thunder is sound.",0
135,"The light is so fast that I can see it first, but the sound is late because it is late",0
136,I don't know.,0
137,The light is faster than the sound,0
138,It is because there are dark clouds and soft clouds,0
139,"The light is faster than the sound, so the light hits first and then the sound comes out",0
140,I don't know.,0
141,Because lightning is light?,0
142,"You can see it with your eyes first, and the sound is a little slow. I can hear a lot of lightning after going around the earth.",0
143,Well...,0
144,"Light is faster than sound, so lightning strikes first and thunder strikes",0
145,"Because the light is faster than the sound, the light comes out first and you can hear the sound",0
146,It's because the sound is faster than the light,0
147,No.,0
148,Light is faster than sound,0
149,Light is faster than lightning,0
150,This is because light travels faster than sound.,0
151,Because light is faster than sound.,0
152,I don't know.,0
153,"Because the light is faster than the sound,",0
154,"Because the speed of light is faster than sound,",0
155,"Light travels faster than sound, so light is seen first and sound is heard later.",0
156,Lightning occurs first because lightning is faster than sound,0
157,"Because light is faster than sound, lightning strikes first and sounds are heard.",0
158,"Because there's a speed of sound and light, the sound is slower than light",0
159,Because light is faster than sound.,0
160,Thunder and air meet,0
161,This is because the speed of light is faster than the speed of sound.,0
162,The light is faster than the sound,0
163,"The light is faster than the sound, so it shines, and after five seconds, the sound is heard.",0
164,"Because light is faster than sound (light is 300,000 kilometers per second, sound is about 760 meters per second)",0
165,The sound is slower than the light.,0
166,The light is faster than the sound,0
167,"Because our ears and eyes react late, they are originally activated together",0
168,The light is faster than the sound,0
169,"The speed of light is fast, but the sound is slow",0
170,I don't understand.,0
171,This is because light travels much faster than sound.,0
172,The light is faster than the sound,0
173,Because light is faster than sound,0
174,The sound is slower than the light,0
175,It's because the speed of light is faster than the sound,0
176,I don't know.,0
177,This is because the speed of light is faster than the speed of sound.,0
178,Because light is faster than sound.,0
179,The sound is heard late because the light is faster than the sound,0
180,The light is faster than the sound,0
181,Because light is faster than sound,0
182,It's because light is faster than the sound,0
183,The light is faster than the sound,0
184,"Because the light is faster than the sound, lightning is seen first, and then thunder arrives.",0
185,the principle of nature,0
186,The light is faster than the sound,0
187,This is because the speed of light is faster than the speed of sound.,0
188,Because light is faster than sound,0
189,Because the speed of light is faster,0
190,The light is faster than the sound,0
191,This is because sound is slower than light.,0
192,"Light is faster than sound. So the light shines first, and then it makes a thud.",0
193,Because light is faster than sound.,0
194,Because light is faster than sound,0
195,"Because the speed of light is much faster than the speed of sound movement, light is first observed by the observer.",0
196,"Basically, the speed of sound is 314 m/s, and the speed of light is 7 1/2 revolutions around the earth per second, so thunder is the sound and lightning is the light. I'm the light.",0
197,Light is faster than soundThis is because the speed of light is faster than that of sound.,0
198,"Light is faster than the speed of sound. Therefore, lightning, which is light, occurs first, and then thunder is heard.",0
199,Because light is faster than sound,0
200,"The speed of light is much faster than the speed of sound, and since lightning is light, we can see it first and hear thunder behind it.",0
201,Because light is faster than sound,0
202,The light is faster,0
203,The light is faster than the sound,0
204,Everything has its own order,0
205,Everything has its own order,0
206,"What you hear right away is that you're close, that you can see the light, and what you hear later is that you're far away",0
207,The light is faster than the sound,0
208,The light is faster than the sound,0
209,I don't know.,0
210,Because the speed at which light travels and the speed at which sound travels are different. The light is faster.,0
211,"Light travels about 300,000 kilometers per second and sound travels about 300 meters per second, so lightning first occurs and thunder is heard.",0
212,The light is faster than the sound,0
213,"Light is the fastest substance in the world. Sound is slower than light, so it is heard after lightning strikes",0
214,"Light is faster than sound, so lightning strikes first and thunder strikes.",0
215,Everything is in order.,0
216,"Because light is faster than sound, light is seen first, and a slower sound is heard afterwards. Light (300,000 km) sound (340 m per second)",0
217,The light is faster than the sound,0
218,"""Sound speed 1700""",0
219,"""Light Speed 30,000,000 Sound and Vessel Speed""",0
220,The light is faster than the sound,0
221,It's because the sound is slower than the light,0
222,The sound is slower than the light,0
223,Nothing is faster than light,0
224,"""The sound will hit you later",0
225,"""It's knowledge""",0
226,"Although light is fast enough to go around the earth seven and a half times per second. The sound is only 340 meters per second. So lightning is seen first. Depending on how far it is, thunder can be heard together or later.",0
227,Because light is faster than sound,0
228,The light is faster than the sound,0
229,"""Because light is faster than sound",0
230,"""",0
231,"The temperature of lightning that shines and shines is higher than 10,000 E degrees When the surrounding air expands rapidly, it generates small waves, vibrates the air, lightning strikes, and then thunder occurs.",0
232,Light travels in an instant and sound travels late because it is slow.,0
233,Because light is faster than sound.,0
234,Nothing is faster than light,0
235,Because light is faster than sound,0
236,"""It is light that has the fastest speed on earth.",0
237,"Lightning is light and thunder is sound. This is why lightning strikes and slower thunder sounds.""",0
238,"""The light is about 300,000 km/s per second and the sound is about 0.87 km/s",0
239,"So the speed of light is much faster than the speed of sound.""",0
240,""" The speed of light is much faster than the speed of sound",0
241,"The reason is that the light has no medium, so there is not much friction, so it can move quickly",0
242,"Since the medium is air, it takes some time to deliver the sound",0
243,Light is faster than sound.,0
244,"""",0
245,The light is much faster than the sound,0
246,The light is faster than sound.,0
247,Because the speed of light is faster than the speed of sound,0
248,Because light is much faster than sound.,0
249,"The speed of light is much faster than the speed of sound, so lightning strikes first and thunder is heard late.",0
250,"""The speed of light and sound is different.",0
251,"The light is about 300,000 km/s per second",0
252,The sound is about 0.87 km/s,0
253,"You can see light visually first and you can hear thunder audibly.""",0
254,The time difference between lightning and thunder is that light and sound travel the same distance is different,0
255,"Because the sound arrives after the lightning strikes first, thunder is heard after the lightning strikes.",0
256,"Because the speed of light is faster than the speed of sound, thunder is heard after lightning strikes first.",0
257,"""Because the speed of light is much faster,",0
258,"The reason is that light has no medium, so there is not much friction, so it can move quickly",0
259,"Sound is faster than sound because the medium is air and it takes some time to transmit sound.""",0
260,"The reason is that the speed of light is much higher because there is no medium, so there is not much friction, so it can move quickly, but because the medium is air, it takes a little time to transmit it as sound, so the light is faster than sound.",0
261,Because the speed of light is faster than the speed of sound,0
262,"""The speed of light (light speed) is faster than the speed of sound (sound speed)",0
263,Then you hear the thunder.,0
264,The speed of light travels around the Earth seven and a half times per second The speed of sound travels about 350 meters per second.,0
265,"Therefore, if you measure the time after lightning strikes and hear thunder, you can know how far lightning occurred.""",0
266,"""The speed of light (light speed) is faster than the speed of sound (sound speed), so lightning can be seen first.",0
267,And then you hear the thunder,0
268,The speed of light travels around the Earth seven and a half times per second The speed of sound is about 350 meters per second,0
269,"Therefore, if you measure the time after the lightning strikes and hear the thunder, you can see how far the lightning occurred",0
270,"""",0
271,dwdwed,0
272,I don't know.,0
273,Mr,0
274,Unknowingness,0
275,I don't understand.,0
276,I don't know,0
277,Lightning is faster than thunder,0
278,I don't know.,0
279,I don't understand.,0
280,Unknowingness,0
281,The sound is slower than the light,0
282,I don't understand.,0
283,I don't know,0
284,Mall,0
285,"Lightning comes down when it shines, and the sound comes the sound",0
286,Light is faster than sound,0
287,Because light is faster than sound,0
288,I don't know,0
289,It sounds slower because the speed of light is slower than the sound.,0
290,Unknowingness,0
291,I don't understand.,0
292,Lightning is heard later because it is much faster than a Mach.,0
293,I don't understand.,0
294,The sound is so fast,0
295,Unknowingness,0
296,"It is related to the speed of sound. The farther the distance, the slower the sound is heard.I don't know.",0
297,Light is faster,0
298,"Light is faster than sound, so lightning strikes first and sounds are heard",0
299,Lightning is because light travels faster than sound,0
300,?,0
301,The light is faster than the sound,0
302,"Well, I was curious, but I don't know",0
303,It's because it makes sounds and creates light,0
304,"Because light is faster than sound, lightning and thunder are originally struck together, but because light is faster than sound, lightning and thunder seem to be striking.",0
305,yes,0
306,This is because thunder strikes later than lightning.,0
307,mmk,0
308,It's because light is faster than the sound,0
309,The light is faster,0
310,Because light is faster than sound,0
311,There's a time when lightning makes sounds,0
312,There was a thunderstorm because of the lightning,0
313,The light is faster than the sound,0
314,I can't hear anything,0
315,The light is faster,0
316,Because the light is the fastest,0
317,"Lightning signals the startWell, it's like lightning",0
318,Unknowingness,0
319,"Originally, light comes out first and sound comes out later.",0
320,Because light is faster than sound,0
321,The sound starts from the silence,0
322,Because light is faster than sound,0
323,Because the light is faster,0
324,Because lightning is faster than sound,0
325,Thunder is lightning.,0
326,Because the sound is faster than debt.,0
327,"Light is faster than sound, so thunder is much faster than light, and thunder is slower than light, so thunder hits first, and sound is heard later",0
328,"Because light is 310,000 kilometers per second and sound is 340 meters per second, light is bound to be faster than sound, and it cannot catch up with the speed of light",0
329,The light is faster than lightning,0
330,I don't know,0
331,I didn't understand,0
332,This is because the speed of sound is slower than that of light.,0
333,Light is faster than sound,0
334,"""The light is faster than the sound, so that the lightning can be seen first and then the thunder can be heard",0
335,"That's how it works""",0
336,"It occurs at the same time, but the sound is slower than light, so lightning is seen first and thunder is heard later.",0
337,This is because light is faster because lightning is transmitted to me at the speed of light and thunder is transmitted at the speed of sound.,0
338,The light is faster,0
339,"Light is much faster than sound. Light is 3000000 m/s regardless of the medium, and sound is 333 + 0.6 tons, which varies in speed with temperature. In summer, no matter how high the room temperature is, even if it is assumed to be 50 degrees Celsius, the sound is 361m/s, so lightning, which is light, appears first and thunder is heard a few seconds later. If we find this time difference, we can see the origin (the point at which it occurred) of lightning.",0
340,Because the speed of light is faster than that of sound waves,0
341,"The speed of light is greater than the speed of sound, so light reaches first",0
342,The speed of light is greater than the speed of sound,0
343,Because the light is faster.,0
344,Speed of light > Sound wave speed,0
345,Lightning is faster than the sound,0
346,Because light is faster than sound,0
347,"Lightning is the speed of light, while sound is 343 m/s. Due to this difference in speed, a time interval occurs when the same distance is changed.",0
348,This is because the speed of light is faster than sound.,0
349,"Because the speed of light is faster,",0
350,Because light is faster than sound,0
351,"Because the speed of light is faster than the speed of sound, lightning strikes first, followed by thunder.",0
352,"Because the light is faster, there's a difference in speed",0
353,"Because light is faster than sound, light is seen first and sound is heard",0
354,Because the bright sound is so fast that it can be heard late,0
355,The speed of light and sound are different,0
356,"The speed of light and sound is different, so lightning is seen first because the speed of lightning is faster than the sound of lightning.",0
357,"Light and sound are faster than sound, so lightning occurs first and then thunder occurs.",0
358,The sound is slow,0
359,"Because the speed of light is faster than the speed of sound, lightning strikes first, followed by thunder.",0
360,This is because light is faster than sound.,0
361,Because light is faster than sound,0
362,Lightning makes a sound before thunder comes and tells you that thunder is coming,0
363,Light is faster than sound,0
364,Lightning is light and thunder is sound because light is faster than sound.,0
365,The light is faster than the sound,0
366,"Because light is faster than sound, light is seen first and thunder is heard.",0
367,The light is faster than the sound,0
368,Because light is faster than sound.,0
369,I don't know.,0
370,The light is faster than the sound,0
371,Because light is faster than sound.,0
372,Lightning is faster than the sound,0
373,Unknowingness,0
374,This is because the speed of light is faster than the speed of sound.,0
375,Light is faster than sound and is a gate.,0
376,Light is faster than sound,0
377,The light is faster than sound. a scientifically proven fact,0
378,Because the sound is faster than the light,0
379,"The light is faster, so I can see the light and I can hear the next sound",0
380,Because light is faster than sound,0
381,"Light is faster than sound, so lightning strikes first and then sound is heard.",0
382,The light is faster than the sound,0
383,"Light is faster than sound, so light is seen first and sound is transmitted late.",0
384,Because the speed of light is faster than the speed of sound,0
385,"Because the speed of light is faster than the speed of sound, the sound is heard after the light of lightning is seen.",0
386,"Lightning is the speed of light and sound is the speed of sound and is slower than the speed of light, so it is heard a little after it is seen.",0
387,Because light is much faster than sound.,0
388,It's like pooing It's farting and buying poo,0
389,The speed of light is faster than the speed of sound,0
390,This is because the speed of sound is faster than the speed of light.,0
391,Because the time the sound is transmitted is different from the time the light is transmitted,0
392,Because light is faster than sound,0
393,This is because light is faster than the speed of sound.,0
394,It's because light is faster than the sound,0
395,Because the speed of light is faster than the speed of soundThe light is faster than the sound,0
396,The sound can't keep up with the speed of light,0
397,Because light is faster than sound.,0
398,Because light is faster than sound.,0
399,"Because the sound is about 340m/s and the light is about 3000000m/s, light arrives at us and thunder is heard.",0
400,Lightning is in the form of light and thunder is sound because light is faster than sound.,0
401,"The speed of light is faster than sound. Therefore, light is visible first to our eyes, and thunder at a lower speed is heard later.",0
402,Because light is faster than sound,0
403,This is because the speed of light is faster than the speed of sound,0
404,Unknowingness,0
405,Because the speed of light is faster than the speed of sound,0
406,Light is better than soundI'm fast. So I'll blink first and then I'll clap,0
407,I don't know ^^,0
408,ã± and ã,0
409,Because the sound is faster than light,0
410,This is because the speed of light is faster than that of sound.,0
411,I don't know.,0
412,"The speed of light is different from the speed of sound, so when lightning strikes from a distance, light reaches me first, and then the sound reaches me, so lightning occurs first and thunder is heard later.",0
413,"Thunder and lightning are caused by friction as dust rises into the sky due to the rise in low pressure, and the reason why thunder and lightning strike first is that the speed of light is faster than the speed of sound. In other words, lightning, which is the light, hits first, and then thunder is heard.",0
414,"Because light is faster than sound, light flashes and thunder rings first.",0
415,Lightning is light and thunder is sound because the speed of light is much faster than that of sound.,0
416,Because the sound is faster than the light,0
417,"This is because the speed of light is 300,000 km/h and the speed of sound is 340 m/s, and light is faster than sound.",0
418,"Because the speed of light is faster than the speed of sound, thunder is heard after lightning strikes first.",0
419,"Because light is much faster than sound. Light is about 300,000 kilometers per second, while sound is about 340m/s per second, so lightning strikes first and thunder is heard later. If you check how many seconds after the lightning struck, you can infer the place where the lightning struck.",0
420,"Because the speed of light is faster than the speed of sound, the sound is heard after lightning strikes.",0
421,"Light travels faster than sound, so lightning occurs first and thunder is heard later.",0
422,The light is faster than the sound,0
423,"Because the speed of light is faster than the speed of sound, light is seen first before sound is made, followed by sound.",0
424,"Because the speed of light is faster than the speed of sound, it takes less time to get to us from one point. Therefore, the light reaches our eyes first, and then the sound reaches our ears and is heard later.",0
425,This is because the speed of light is faster than that of sound.,0
426,"The speed of light is extremely fast at c, but the speed of sound is relatively slow at 350 per second. In other words, when lightning, the light, strikes, the speed of light is very fast and can be seen directly to our eyes. However, sound is relatively slow and reaches a person's ear later.",0
427,"Light travels at 300000 km/s per second, while sound travels at 340 m/s, so light is faster than sound, so it reaches us first. This is because light does not require a medium for movement, but sound travels through a medium called air.",0
428,"This is because the speed of light and sound is different. Light travels at 300,000 kilometers per second, while sound travels at several thousand kilometers per second. Because of this speed difference, lightning, which is light, occurs first, and thunder, which is sound, is heard later. Of course, if the distance is close, this phenomenon will not be felt, but this phenomenon is felt at a distance to the extent that the difference in movement speed between light and sound is significant.",1
429,"Lightning and thunder occur simultaneously, but lightning is light, and thunder is sound. At this time, light is faster than sound, so lightning occurs first and thunder sounds seem to be heard later.",0
430,The light is faster than the sound,0
431,"In vacuum, the speed of light is 299792 458 m/s, and the speed of sound in air is 340 m/s based on 100 000 Pa. This shows that light is actually much faster than sound. Therefore, when lightning strikes, light first reaches our eyes, and lightning is supplemented, and later, the sound reaches the ear and hears the sound later.",0
432,"This is because the speed of light is much faster than the speed of sound. Therefore, the sound is heard later.",0
433,"The light is about 300,000 km/h, and the sound is about 340 m/s, so this difference is caused by the difference in speed between light and sound.",0
434,Our ears are deteriorating,0
435,Ankimchi. (Ankimchi in Korean),0
436,This is because the speed of sound is slower than the speed of light,0
437,This is because the speed of light is faster than the speed of sound.,0
438,Because light is faster than sound.,0
439,Because light is faster than sound,0
440,Because light is faster than sound,0
441,This is because the speed of light is faster than the speed of sound.,0
442,Because light is faster than sound,0
443,Because the light is faster than the sound,0
444,The light is faster than the sound,0
445,Because the light is faster than the sound,0
446,The light is faster than the sound.,0
447,The speed of sound is slower than the speed of light,0
448,"Light is so fast that you can see it first, and the sound is slower than light, so you can hear it after lightning strikes",0
449,Because the speed of light is faster than the speed of sound,0
450,"Light is faster than sound, so lightning is light and thunder is sound, so lightning occurs first and thunder is heard later",0
451,"Lightning strikes first, then thunder later depending on the distance",0
452,"The reason why we can see lightning is because the light from lightning is reflected in our eyes. What is reflected in our eyes is transmitted to us at the speed of light, but thunder is transmitted to us at the speed of sound, which is the speed of sound, which is much slower than the speed of light, so we can see the electric field first and hear the thunder later.",0
453,Because the speed of light and sound are different,0
454,Because the sound is slower than light,0
455,"Because lightning is light and thunder is sound, the speed of sound is not faster than light",0
456,The light passes and the sound at 340 meters per second follows,0
457,It's probably because the light is faster than the speed of sound,0
458,The sound is heard later because the light is faster,0
459,Because light is faster than sound.,0
460,It's because light is faster than the sound,0
461,"Light is faster than sound, but light comes out first because lightning is light and heaven is sound.",0
462,The speed of light is faster than that of sound.,0
463,"Light is faster than sound, so there is lightning and thunder.",0
464,The size is different,0
465,"The sound is faster than light, but lightning is light and thunder is sound",0
466,Because light is faster than sound,0
467,Because light is faster than sound.,0
468,Because light is faster than sound,0
469,The sound is slower,0
470,The light is faster than the sound,0
471,Because light is faster than sound.,0
472,"Because the speed of light is faster than the speed of sound,",0
473,The light is faster.,0
474,Because sound is slower than light,0
475,Light is much faster than sound,0
476,Light is faster than sound,0
477,Because light is faster than sound.,0
478,"Light travels straight and very fast. Gááµri is fast, but slower than light.",0
479,The light is faster than the sound,0
480,Why? I'm curious,0
481,It's because the light is faster.,0
482,The light is faster than the sound,0
483,"Because the speed of light is faster than that of sound waves, light is seen first and thunder is heard later.",0
484,the speed difference between light and sound,1
485,Light is faster than sound,0
486,This is because the speed of light is much faster than the speed of sound.,0
487,It's far away,0
488,Because light is faster than sound.,0
489,This is because the speed of light is faster than the speed of sound.,0
490,Because the speed of light is faster,0
491,Light is much faster than sound.,0
492,This is because the speed of light is faster than the propagation speed of sound.,0
493,This is because light is extremely fast and sound moves at 340 meters per second.,0
494,The light is faster than the soundI'm faster than anyone else. I'm a traveler on the beat,0
495,"Lightning is composed of light particles, and thunder is sound waves. Lightning occurs first and thunder is heard later because the speed at which light particles travel is faster than the speed at which sound spreads.",0
496,"Lightning has a speed close to the speed of light. The sound is 340m/s, so lightning is much faster.",0
497,"Lightning is the flow of electrons, and the velocity of electrons is almost close to light. Thunder is also the sound. Sound travels at room temperature, 340 meters per second in the atmosphere, but light travels at 300,000 kilometers per second. Because the light is faster, light, lightning that is close to its speed, reaches the surface first, and as it generates light in ionized air, we see this light, and then it happens as sound reaches us.",0
498,I don't understand.,0
499,"HUENINGKAI, what do you mean?",0
500,"I learned it, but I forgot...",0
501,Unknowingness,0
502,#NAME?,0
503,"Lightning is light and thunder is sound, so light travels 300,000 kilometers per second, but sound travels 340 meters per second, so lightning strikes first and thunder is heard late",0
504,Sound is fast and we hear it with our ears. Light is seen with our eyes,0
505,The light is faster than the sound,0
506,It's slower than thunder,0
507,The light is so fast,0
508,What do you mean?,0
509,Because light is faster than sound.,0
510,The light is faster than the sound,0
511,The sound is slower than the light and arrives later.,0
512,"Because light is faster than sound, light flashes first and sounds after a few seconds.",0
513,be quick of light,0
514,This is because light is seen first and sound is heard.,0
515,"(Singing ""Banging sound",0
516,I don't know why lightning strikes and thunder is heard.,0
517,"Lightning: I'll go out first! Thunder: Yeah, I'll be out in a minute ^^",0
518,This is because light is faster than sound.,0
519,Lightning strikes faster. It's the light,0
520,I don't know,0
521,Because the light is faster,0
522,This is because the speed of sound is slower than the speed of light.,0
523,I don't know. I don't know.,0
524,Too fast to shine,0
525,The light is faster than the sound,0
526,The speed of sound is slower than the speed of light,0
527,The speed of sound is slower than the speed of light,0
528,The light is faster than the sound,0
529,.,0
530,"Because light is faster than sound, lightning, which is light, strikes first, and thunder, which is sound, is heard later.",0
531,Because light is faster than sound.,0
532,Don't know,0
533,Light travels around the earth seven and a half times a second as I know it.,0
534,"Because the light is faster than the sound, the light arrives first and you can hear the sound",0
535,"Lightning meets without sound, and thunder shines with sound",0
536,The speed at which light can travel seven times around the earth in one second is áá¡. So the sound is much faster than the light.,0
537,It's hard,0
538,Thunder is heard later because light is slower than sound.,0
539,I don't know...,0
540,Unknowingness,0
541,"Both light and sound are known to be very fast, but as evidenced by the thunder after lightning strikes first, light is faster, so even if light and sound depart together, light arrives first. Next is the sound. So I think the sound is a little slower because the light is faster.",0
542,Don't know,0
543,The sound is slower than the light,0
544,?,0
545,I want to play it later,0
546,the tardiness of thunder,0
547,I don't know.,0
548,"Thunder falls and the sound follows the thunder, and there will be a distance, so the sound will be heard depending on the distance",0
549,Because the light is faster than the sound,0
550,"The light is faster, so the sound comes out slower",0
551,Lightning strikes first because it is as fast as a jet stream,0
552,Unknowingness,0
553,The light is faster than the sound with a large strainer. Light travels fast enough to take 8 minutes and 24 seconds from the sun to Earth.,0
554,The sound is slower than the light.,0
555,I don't know.,0
556,Don't know,0
