,"1. Using the air conditioner above the amount of power, the current was excessive and the air conditioner was turned off. At this time, other electronics such as TVs and refrigerators that were connected to the same outlet did not turn off. Let's explain in detail why the other electronics connected to the same code did not turn off even though the air conditioner was turned off, using our knowledge of how electricity works and how to connect the electronics. ",Parallel,current flow,power amount,fuse
91,Because it's a parallel connection,0,0,0,0
92,"I connected the wire with parallel connection, but there was only one wire, so the current was excessive and ruptured, and the rest had two wires, so the current kept flowing",0,0,0,0
93,Due to the parallel connection of electricity,0,0,0,0
94,I don't know.,0,0,0,0
95,Because it was connected in parallel.,0,0,0,0
96,You could use a series or parallel.,0,0,0,0
97,Other electronics do not seem to turn off because of the parallel connection,0,0,0,0
98,Parallel connection of batteries,1,0,0,0
99,Discharge due to excessive current flow from air conditioning machines unlike other electronic products,0,1,0,0
100,"The air conditioner was cut off because electricity was connected to the military, but the remaining home appliances did not turn off because electricity flows in the other way.",0,0,0,0
101,"Because it is connected by a parallel connection of the battery, even if one is turned off, all of them do not turn off.",0,0,0,0
102,This is because both TVs and refrigerators are connected in parallel.,0,0,0,0
103,The wires of other electronics and the air conditioner are not connected to each other,0,0,0,0
104,"It seems that TVs, refrigerators, and air conditioners were using different wires and different power sources. Also, I think the air conditioner may have a system that automatically stops when power is used too much.",0,0,0,0
105,I don't know.,0,0,0,0
106,??106.0,0,0,0,0
107,I used the air conditioner too much,0,0,0,0
108,It's a parallel connection of light bulbs,0,0,0,0
109,I see,0,0,0,0
110,The air conditioner's motor overheated.,0,0,0,0
111,Only the refrigerator is running too much with the current,0,0,0,0
112,I used too much electricity,0,0,0,0
113,The level of current flow is different,0,1,0,0
114,It's connected in parallel,0,0,0,0
115,Parallel connection,1,0,0,0
116,I don't know,0,0,0,0
117,Because we used parallel connections,0,0,0,0
118,I'm going to smash it,0,0,0,0
119,"Since I used the air conditioner more,",0,0,0,0
120,The air conditioner is not good,0,0,0,0
121,It's a parallel connection,0,0,0,0
122,The motor's overheating,0,0,0,0
123,The level of current flow is different,0,1,0,0
124,I don't know,0,0,0,0
125,"There is too much electricity going to the air conditioner, so the air conditioner turned off a lot",0,0,0,0
126,I don't know,0,0,0,0
127,Parallel connection,1,0,0,0
128,I don't know,0,0,0,0
129,a breakdown in the air conditioner,0,0,0,0
130,Just don't turn it on,0,0,0,0
131,Because I consume a lot of air conditioners,0,0,0,0
132,The air conditioner is out of order.,0,0,0,0
133,I don't know.,0,0,0,0
134,"The air conditioner was turned off by the parallel connection, but other electronics were not turned off.",0,0,0,0
135,I didn't play the chords,0,0,0,0
136,The air conditioner is out of order,0,0,0,0
137,"The air conditioner was turned off by the parallel connection, but other electronics were not turned off.",0,0,0,0
138,Put resistance in the air conditioner/ Turn the serial connection of the johnson into a parallel connection.,0,0,0,0
139,....i don't know........,0,0,0,0
140,Because the wires were connected in parallel.,0,0,0,0
141,I used too much electricity,0,0,0,0
142,I'll use the air conditioner as much as I can,0,0,0,0
143,I used the air conditioner above the power level and it broke down,0,0,0,0
144,The reason why electronic products such as TV and refrigerator didn't turn off is because they didn't use other electronic products,0,0,0,0
145,The air conditioner is broken,0,0,0,0
146,"Electricity continues to flow through the air conditioner, so there is no electricity in electronics such as TVs and refrigerators.",0,0,0,0
147,It is because the air conditioner is overused and overheated.,0,0,0,0
148,Don't know,0,0,0,0
149,to connect electricity to another cord,0,0,0,0
150,"I used more than the power of the air conditioner, but I didn't use more than the power of the air conditioner",0,0,0,0
151,.,0,0,0,0
152,"Electronics are connected in parallel, so even if one flow is cut off, the rest will work",0,0,0,0
153,Because the voltage is different,0,0,0,0
154,I didn't take out the outlet,0,0,0,0
155,Overheating phenomenon,0,0,0,0
156,"Because appliances are connected in parallel, blocking the flow of current in one place has no effect on the flow of current in the rest of the appliances.",0,0,0,0
157,"This is because home appliances are connected, so even if the current flow in one place is blocked, the current flow of the remaining home appliances does not affect the current flow.",0,1,0,0
158,"Home appliances are connected in parallel, so they do not damage other home appliances.",0,0,0,0
159,"Because the air conditioner, TV, and refrigerator are connected in parallel",0,0,0,0
160,"This is because home appliances are connected in parallel, so even if the current flow in one place is blocked, the current flow of the remaining home appliances does not affect the current flow.",0,1,0,0
161,Well.,0,0,0,0
162,Because the wires plugged into the outlet do not share electricity with each other,0,0,0,0
163,"Because electricity is supplied separately, it does not affect other electronics.",0,0,0,0
164,in parallel,0,0,0,0
165,Because the parallel and serial methods are different.,0,0,0,0
166,"Since appliances are connected in parallel, even if the current flow in one place is blocked, there is no effect on the current flow of the remaining appliances",0,1,0,0
167,be connected in parallel to,0,0,0,0
168,Because it's a parallel structure,0,0,0,0
169,"Since home appliances are connected, even if the current flow in one place is blocked, it does not affect the current flow of the remaining home appliances.",0,1,0,0
170,.,0,0,0,0
171,"This is because there is a problem with the wires of the air conditioner, but there is nothing wrong with the other wires.(parallel connection)",0,0,0,0
172,This is because there is no current connected.,0,0,0,0
173,"This is because home appliances are connected in parallel, so even if the current flow in one place is blocked, the current flow of the remaining home appliances does not affect the current flow.",0,1,0,0
174,"Other electronics did not turn off because air conditioners and other electronics were connected in parallel, not in direct current.",0,0,0,0
175,"Since most appliances are connected in parallel, even if there is no current flow, the current flow of the remaining appliances is not affected.",0,1,0,0
176,Because it is connected in parallel structure.,0,0,0,0
177,This is because home appliances are connected in parallel.,0,0,0,0
178,"Since home appliances are connected, even if one electricity flow is blocked, the electricity flow of the remaining home appliances has no effect.",0,0,0,0
179,"This is because home appliances are connected, so even if the electric flow in one place is blocked, it does not affect the electric flow of the remaining home appliances.",0,0,0,0
180,This is because the outlet is in parallel.,0,0,0,0
181,Because it is connected in parallel.,0,0,0,0
182,It's because the air conditioner is bad.,0,0,0,0
183,"The wires of the appliances are also connected in parallel, so they won't turn off even if one is turned off",0,0,0,0
184,"""Most electronics are connected in parallel, so even if one breaks off,",0,0,0,0
185,"Others will not cut off the current.""",0,0,0,0
186,Only the air conditioner turns off by connecting it in parallel.,0,0,0,0
187,"I have to do it in series, but I kept on doing it in a row",0,0,0,0
188,I used the air conditioner too much,0,0,0,0
189,The air conditioner switch is off,0,0,0,0
190,It's connected in parallel and connected to one road,0,0,0,0
191,This is because the connection to the electronics connected to the same code is parallel,0,0,0,0
192,"The code connected to the air conditioner is connected in series, so it turns off quickly, and the code connected to other electronic devices such as TVs and refrigerators is connected in parallel, so it can be used continuously.",0,0,0,0
193,Because the air conditioner is connected in parallel,0,0,0,0
194,The air conditioner has a large capacity.,0,0,0,0
195,I don't use too much TV and refrigerator electricity,0,0,0,0
196,"""Parallel connection: Even if one of the two is turned off, there is one left, so electricity",1,0,0,0
197,"Can keep going back""",0,0,0,0
198,The air conditioner is connected in series,0,0,0,0
199,I think the electricity in the air conditioner has been consumed so much that it turned off,0,0,0,0
200,Because the air conditioner is connected in parallel,0,0,0,0
201,The air conditioner is connected to the display and the other electronics are connected in parallel,0,0,0,0
202,Because the air conditioner is connected in parallel.,0,0,0,0
203,The connection is different,0,0,0,0
204,Because I wasn't using any other electronics,0,0,0,0
205,The air conditioner is connected in series,0,0,0,0
206,I don't understand.,0,0,0,0
207,"""I don't know.""",0,0,0,0
208,"""",0,0,0,0
209,"The air conditioner cord is only connected to each other, so the air conditioner is turned off, but other electronics are not turned off.",0,0,0,0
210,The air conditioner has exceeded the maximum amount of electricity,0,0,0,0
211,"Using more than the amount of electricity, things like home appliances in the same outlet are discharged, so there is no current flowing through the outlet.",0,1,0,0
212,The air conditioner's power consumption is overflowing,0,0,0,0
213,The air conditioner uses a lot of tremors,0,0,0,0
214,The air conditioner uses a lot of current,0,0,0,0
215,It does not affect other products because the current is too much only on the cord that was connected to the air conditioner,0,0,0,0
216,turn off the air conditioner,0,0,0,0
217,I don't know.,0,0,0,0
218,"Although it is connected to the same code, the reason why only the air conditioner is turned off seems to be because the line that delivers power with the air conditioner code is overloaded.",0,0,0,0
219,I don't know.,0,0,0,0
220,Turn off the air conditioner,0,0,0,0
221,"The electronics connected to the same code did not turn off because the air conditioner was used too much more than the amount of electricity, and only the air conditioner used more than the amount of electricity was turned off.",0,0,0,0
222,"Maybe it's because the air conditioner is old or because there's a lot of dust in the air conditioner, it might suddenly turn off",0,0,0,0
223,I don't know,0,0,0,0
224,I use the air conditioner a lot,0,0,0,0
225,running out of time,0,0,0,0
226,I think it suddenly turned off because I used the air conditioner too much,0,0,0,0
227,I don't know,0,0,0,0
228,It's because I only turn on the air conditioner a lot. :),0,0,0,0
229,I only turned on the AC too much,0,0,0,0
230,It depends on the type of air conditioner,0,0,0,0
231,Each type of air conditioner has a different model,0,0,0,0
232,"""Because air conditioners have more electricity than other electronics such as TVs",0,0,0,0
233,"""",0,0,0,0
234,I have no idea.,0,0,0,0
235,The air conditioner is very old,0,0,0,0
236,I used a lot of air conditioners,0,0,0,0
237,You should ask the person who made it. Why are you doing this to us?,0,0,0,0
238,Because the air conditioner sits down and the TV refrigerator plugs in the cord,0,0,0,0
239,"""Reason 1 The power to the air conditioner is cut off, but the power to the TV or refrigerator is different from the air conditioner",0,0,0,0
240,"""Because I turned off the TV and refrigerator""",0,0,0,0
241,I don't understand.,0,0,0,0
242,"The air conditioner was overheated, so I turned it off",0,0,0,0
243,"""The electricity goes to the air conditioner and heats up, but the rest of me can't",0,0,0,0
244,,0,0,0,0
245,,0,0,0,0
246,,0,0,0,0
247,,0,0,0,0
248,"""",0,0,0,0
249,I brought electricity to other things,0,0,0,0
250,"This is because the current of the air conditioner was used a lot, but the current of other goods was not used a lot.",0,0,0,0
251,"If you use a lot of electricity, other machines get hot, but the air conditioner gets hot quickly because it has a lot of electricity, and it is turned off because it is used more than electricity",0,0,0,0
252,"TV, refrigerator, etc. are not used above the amount of energy.Because the amount of electricity flows is different,",0,0,0,0
253,"The first seems to be because air conditioners have more electricity than TVs and refrigerators.   Second, I think it is because I use TV or internal computer more than air conditioner.",0,0,0,0
254,"""",0,0,0,0
255,I think it's a coincidence,0,0,0,0
256,It's in parallel,0,0,0,0
257,I think this is because air conditioners have more electricity than TVs and refrigerators.,0,0,0,0
258,"It seems to be because even if it is the same outlet, only the air conditioner was used more than the amount of electricity.""",0,0,0,0
259,I think the air conditioner is overloaded and only the air conditioner is turned off,0,0,0,0
260,Because the electricity in the cord is different,0,0,0,0
261,Because it's in parallel.,0,0,0,0
262,I don't understand.,0,0,0,0
263,Only the air conditioner is overloaded,0,0,0,0
264,I don't know.,0,0,0,0
265,There's a problem with the air conditioner,0,0,0,0
266,My knowledge is not up to there,0,0,0,0
267,There's a lot of electricity that the air conditioner eats? Didn't it turn off first?  Do TV and refrigerators eat less electricity than air conditioners? I think so.,0,0,0,0
268,"The AC used a lot of power, so the rest of the members had a lot of electricity",0,0,0,0
269,"Since electronic products used more than the amount of electricity were only air conditioners, even if they were connected to codes such as TVs and refrigerators, it seems that only the air conditioners, which are the cause of the problem, were turned off.",0,0,0,0
270,I turned it on and off one by one by one by one by one It's a power outlet. (Because it's connected in parallel?),0,0,0,0
271,I'm taking out the cord,0,0,0,0
272,I don't know,0,0,0,0
273,I don't know,0,0,0,0
274,It's in a parallel structure,0,0,0,0
275,I don't know,0,0,0,0
276,I don't know,0,0,0,0
277,connected in parallel,0,0,0,0
278,Only the air conditioner stopped working because of the electricity of the air conditioner,0,0,0,0
279,Because the electronics were connected in parallel,0,0,0,0
280,It's because it's connected in parallel,0,0,0,0
281,Don't know,0,0,0,0
282,I don't know,0,0,0,0
283,I don't know.,0,0,0,0
284,It is connected in parallel and does not turn off.,0,0,0,0
285,I don't know.,0,0,0,0
286,Because it was connected in parallel.,0,0,0,0
287,"It is connected in parallel, so even if one is turned off, the other is not turned off.",0,0,0,0
288,Parallel connection of circuits,1,0,0,0
289,I don't know.,0,0,0,0
290,Parallel connection,1,0,0,0
291,I don't know,0,0,0,0
292,"If one of the circuits is disconnected because it is connected in parallel, there is electricity flowing through the other",0,0,0,0
293,"Since the battery is connected in parallel, the battery may be disconnected independently.",0,0,0,0
294,"It's connected in parallel, so the current flows separately",0,1,0,0
295,Because other electronics are connected in parallel,0,0,0,0
296,This is because an outlet connects each electrical device in parallel.,0,0,0,0
297,It is because of the parallel connection.,0,0,0,0
298,"Because electronics are connected in parallel, other electronics are maintained even if one connection is lost.",0,0,0,0
299,Because electronics were connected in parallel.,0,0,0,0
300,Because it is connected in parallel.,0,0,0,0
301,"At home, electronics are connected by parallel connections, so one turns off does not turn off everything.",0,0,0,0
302,It's in parallel,0,0,0,0
303,Because it is connected by parallel connection.,0,0,0,0
304,"This is because it is connected in parallel, not in series.",0,0,0,0
305,Parallel connection,1,0,0,0
306,Parallel connection,1,0,0,0
307,Because it is connected in parallel.,0,0,0,0
308,It's easy to see the difference between series and parallel.,0,0,0,0
309,Because of the parallel connection,0,0,0,0
310,I don't know,0,0,0,0
311,the difference between parallel and series,0,0,0,0
312,This is because each outlet of the multi-tap is not simple to each other.,0,0,0,0
313,Because it's connected in parallel.,0,0,0,0
314,It's in parallel,0,0,0,0
315,"""Parallel structure",1,0,0,0
316,".""",0,0,0,0
317,This is because it only stopped the power of the air conditioner.,0,0,0,0
318,Because they just shut down the power of the air conditioner,0,0,0,0
319,"This is because it was connected to the same code, but only the power of the air conditioner outlet was excessively.",0,0,0,0
320,Because it stopped the power of the air conditioner,0,0,0,0
321,It's because the power of the air conditioner stopped,0,0,0,0
322,Because it stopped the power of the air conditioner,0,0,0,0
323,He's good at electricity,0,0,0,0
324,Because there are many electronic products,0,0,0,0
325,"This is because it is only one air conditioner that is used more than the amount of electricity, and even if it is in the same outlet, other electronic products were not used more than the amount of electricity.",0,0,0,0
326,This is because the air conditioner consumes too much electricity flowing through the cord connected to the air conditioner.,0,0,0,0
327,"Even if it's in the same code, it's possible if the power is off",0,0,0,0
328,"Excessive use of current is air conditioning, and the cord on the air conditioning is not damaged, so it has nothing to do with failing the same outlet and turning off the air conditioning.",0,0,0,0
329,This is because only the power of the air conditioner has been stopped.,0,0,0,0
330,Don't know,0,0,0,0
331,"This is because if the power exceeds a certain amount in the code, only the power of the object is cut off.",0,0,0,0
332,It's because only the power of the air conditioner stopped,0,0,0,0
333,"This is because if the power exceeds a certain amount in the code, only the power of the object is cut off.",0,0,0,0
334,This is because many electronics are connected.,0,0,0,0
335,"This is because if the code exceeds a certain power, only the power of the object was cut off.",0,0,0,0
336,"""Because the air conditioner was overheated and only the air conditioner was turned off",0,0,0,0
337,"""",0,0,0,0
338,"The air conditioner was turned off because it used more than the amount of electricity, but other home appliances did not use more than the amount of power",0,0,0,0
339,"This is because if the power exceeds a certain level in the code, only the power of the object was cut off.",0,0,0,0
340,This is because it is possible if the power is turned off even if it is in the same code.,0,0,0,0
341,The power outlets are connected in parallel,0,0,0,0
342,Because a lot of electronics are connected,0,0,0,0
343,It's connected to the air conditioner separately,0,0,0,0
344,"Because they are connected in parallel, they are all used independently at the same voltage. Because of this, one electronics is used more than the amount of power, so even if the power is turned off, the other electronics do not turn off.",0,0,0,0
345,M and D,0,0,0,0
346,There's electricity for the air conditioner,0,0,0,0
347,It's crazy,0,0,0,0
348,I don't know,0,0,0,0
349,I don't understand.,0,0,0,0
350,This is because air conditioners and other electronics have different currents.,0,0,0,0
351,I don't understand.,0,0,0,0
352,I don't understand.,0,0,0,0
353,I don't understand.,0,0,0,0
354,M and D,0,0,0,0
355,I don't know,0,0,0,0
356,I don't understand.,0,0,0,0
357,I don't understand.,0,0,0,0
358,I don't know,0,0,0,0
359,I don't know.,0,0,0,0
360,I turned it on too much. I didn't save electricity,0,0,0,0
361,"Only the circuit in the air conditioner was broken, so the circuit in the outlet was not broken.",0,0,0,0
362,Because of standby power,0,0,0,0
363,"Because the amount of current flowing to each other is different,",0,1,0,0
364,I don't understand.,0,0,0,0
365,I don't know.,0,0,0,0
366,I don't know,0,0,0,0
367,It seems to use up all the available electricity to help.,0,0,0,0
368,Air conditioners and other electronics have different amounts of electricity,0,0,0,0
369,"The air conditioner exceeded the amount of electricity available, so only the air conditioner was de-loaded and turned off",0,0,0,0
370,by natural causes,0,0,0,0
371,There seems to be no problem with the concept because there is a problem with the air conditioner. That's why the other electronics didn't turn off.,0,0,0,0
372,I don't understand.,0,0,0,0
373,"The electrical structure is connected in parallel, so unlike the series where everything else is turned off when one is turned off, the other does not turn off",0,0,0,0
374,"They're plugged into the same outlet, but because the current is dictating electricity to different places?",0,0,0,0
375,M and D,0,0,0,0
376,"The outlet is responsible for supplying power, and the air conditioner is overused, so the air conditioner is turned off because of the burden, and the rest is not turned off because the outlet is used in an appropriate amount",0,0,0,0
377,Combine the + and -,0,0,0,0
378,This is because power is cut off only in air conditioners.,0,0,0,0
379,This is because household electrical appliances are connected in parallel.,0,0,0,0
380,This is because it supplies power by using parallel connections. If a direct current connection has been made (devastated),0,0,0,0
381,Distribution of current through parallel connection ?ÏßπÏ∞æ?öÌòö,0,0,0,0
382,"Since circuits of electronic products are connected in parallel, even if a problem occurs in one circuit, there is no problem with products in the other circuit.",0,0,0,0
383,It's a parallel connection.,0,0,0,0
384,"Although there is an advantage that the power of other electronic products is not turned off even if the power of the air conditioner is turned off because it is connected in parallel rather than in series, the power strength is weaker than in series connection.",0,0,0,0
385,It's a parallel connection that divides the current and supplies it,0,0,0,0
386,"Electrical appliances are connected in a parallel structure to apply a constant voltage, but they are connected as one to prevent the electricity supply from being cut off.",0,0,0,0
387,"When using electricity at home, electricity is supplied in parallel, so even if one home appliance is turned off, other home appliance can continue to be supplied with electricity.",0,0,0,0
388,"Because electrical outlets are connected in parallel, if only the over-electric air conditioner is stopped, electricity can be kept from flowing excessively and other electronic products can be maintained.",0,0,0,0
389,"This is because not all the circuits in the outlet are tied together. In other words, it is connected in parallel.",0,0,0,0
390,"Because electronic products are connected in parallel to one wire, even if no current flows through one electronic product, it does not affect other electronic products.",0,1,0,0
391,"This is because air conditioners and other electronics are supplied with electricity in a parallel structure, so even if the electricity supply to one product is blocked, the electricity supply to other products is not blocked.",0,0,0,0
392,What is this?,0,0,0,0
393,I don't know.,0,0,0,0
394,I don't know because the AC cord is off?,0,0,0,0
395,I don't know,0,0,0,0
396,I think it's broken because it's overheated because one is overdone,0,0,0,0
397,"Well, the location of the electricity is different",0,0,0,0
398,I don't know.,0,0,0,0
399,"""Because connecting to one cord consumes a lot of energy",0,0,0,0
400,"""",0,0,0,0
401,"Because there is a fuse even if the air conditioner is turned off, other electronic products do not turn off.",0,0,0,1
402,The reason why the air conditioner is turned off is because of the excessive use of air conditioner,0,0,0,0
403,I don't understand.,0,0,0,0
404,The place where the current flows is different,0,1,0,0
405,"""Because electronics are connected in parallel, even if one electronics is turned off,",0,0,0,0
406,"Other electronics do not turn off (parallel connections are connected to poles of the same current). As explained by the electrical circuit, the bulb does not turn off even if one battery is not connected.)""",0,0,0,0
407,The electricity is weird,0,0,0,0
408,"The air conditioner, TV, refrigerator, etc. are connected in parallel, so it doesn't turn off.",0,0,0,0
409,"Because the air conditioner and other electronics are connected in parallel,",0,0,0,0
410,in the air conditioner,0,0,0,0
411,I used the air conditioner too much,0,0,0,0
412,Because it's a different outlet,0,0,0,0
413,I don't know,0,0,0,0
414,I don't know.,0,0,0,0
415,I don't need a lot of electricity.,0,0,0,0
416,"It's not that the air conditioner is off, it's that the person turned off the power",0,0,0,0
417,Let's plug it in somewhere else instead of course,0,0,0,0
418,"The codes are the same, but... Uh... I don't know",0,0,0,0
419,"""Encounters have been overrun by more than the amount of electricity",0,0,0,0
420,"The other thing is that it doesn't go too much.""",0,0,0,0
421,"This is the same principle that if the surface temperature rises to 90 degrees with a smart charger inserted, only the smartphone will be turned off, not other electronic devices.  Therefore, the reason why other electronic products such as TVs and refrigerators that were connected to the same outlet did not turn off was because they only used air conditioners excessively.",0,0,0,0
422,This is because air conditioners and other electronics are connected in parallel.,0,0,0,0
423,There are several wires in the cord,0,0,0,0
424,The air conditioner is bleeding too much,0,0,0,0
425,The device that cuts itself off for safety has been cut off due to a lot of current.,0,0,0,0
426,The TV and refrigerator did not turn off by connecting wires in parallel.,0,0,0,0
427,call a person in,0,0,0,0
428,"""It's about generating electricity",0,0,0,0
429,"""",0,0,0,0
430,Turn off the electronics and use up the power,0,0,0,0
431,It's far away,0,0,0,0
432,I think a cool head is good.,0,0,0,0
433,Don't know,0,0,0,0
434,Hugging the right contender,0,0,0,0
435,I don't know,0,0,0,0
436,show off one's wire cord,0,0,0,0
437,",",0,0,0,0
438,"The cord is broken, so the electricity keeps going on",0,0,0,0
439,"Even if it's the same chord, the concert is different",0,0,0,0
440,"Wire cord pulled out, electrical control blocked only that place.",0,0,0,0
441,Only the air conditioner is broken,0,0,0,0
442,The air conditioner consumed so much power that the air conditioner went over to the average current shift that only the air conditioner was turned off and nothing else was turned off.,0,0,0,0
443,Automatically turned off due to excessive current,0,0,0,0
444,I don't know.,0,0,0,0
445,I use a lot of electricity with air conditioning,0,0,0,0
446,in parallel,0,0,0,0
447,"Using electricity with a lot of air conditioning,",0,0,0,0
448,socket,0,0,0,0
449,It's because I used one for a long time and overheated,0,0,0,0
450,My knowledge is not up to there,0,0,0,0
451,in parallel,0,0,0,0
452,in parallel,0,0,0,0
453,Because it was connected in parallel.,0,0,0,0
454,The voltage applied to the instruments in parallel is constant,0,0,0,0
455,in parallel,0,0,0,0
456,It is an electronic device connected in parallel.,0,0,0,0
457,"The air conditioner and other products are connected in parallel, not in series, so even if the air conditioner is turned off, other products are not turned off",0,0,0,0
458,"Because the electrical cords in the home are connected in parallel, even if one electrical device is turned off, the other is fine.",0,0,0,0
459,I don't know. Smooze,0,0,0,0
460,I don't know,0,0,0,0
461,It's overloaded inside the air conditioner,0,0,0,0
462,I don't know.,0,0,0,0
463,I don't know,0,0,0,0
464,"Using parallel connections, the air conditioner was turned off, but others seemed to be kept off.",0,0,0,0
465,Air conditioners consume more electricity,0,0,0,0
466,It is because only the outlet of the air conditioner is missing.,0,0,0,0
467,"Because parallel connections are electrified in many places at the same time, other electronic products continue to be connected even when the air conditioner is turned off",0,0,0,0
