Column2,Column1,word,type,v1,v2,v3,v4,v5,반의어,v6,동의어
69,79,algedonics,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
70,80,alkalinuria,NNS,[영양학]  알칼리뇨(~尿),  알칼리뇨(~尿),  알칼리뇨(~尿),  알칼리뇨(~尿),알칼리뇨,,알칼리뇨,#NUM!
71,81,alkermes,NNS,지중해 지방산(産) 리큐어(liqueur)의 일종.,지중해 지방산(産) 리큐어(liqueur)의 일종.,지중해 지방산(産) 리큐어(liqueur)의 일종.,지중해 지방산(産) 리큐어(liqueur)의 일종.,지중해 지방산의 일종.,,지중해 지방산의 일종.,#NUM!
72,84,alpasotes,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
73,85,alphabetics,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
74,86,alrighty,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
75,87,altissimo,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
76,88,aluminothermics,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
77,89,alumni,NNS,[특히 美]  졸업생들,  졸업생들,  졸업생들,  졸업생들,졸업생들,,졸업생들,#NUM!
78,90,amanuenses,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
79,91,amen,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
80,92,ametria,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
81,93,amontillado,NNS,아몬틸라도 ((스페인산(産) 셰리)),아몬틸라도 ((스페인산(産) 셰리)),아몬틸라도 ((스페인산(産) 셰리)),아몬틸라도 ((스페인산(産) 셰리)),아몬틸라도 ,,아몬틸라도 ,#NUM!
82,94,ampherotoky,NNS,양성산(兩性産) 단위 생식(單爲生殖): 단위 발생에 의한 난(卵)에서 암컷이나 수컷이 생기는 일.,양성산(兩性産) 단위 생식(單爲生殖): 단위 발생에 의한 난(卵)에서 암컷이나 수컷이 생기는 일.,양성산(兩性産) 단위 생식(單爲生殖): 단위 발생에 의한 난(卵)에서 암컷이나 수컷이 생기는 일.,양성산(兩性産) 단위 생식(單爲生殖): 단위 발생에 의한 난(卵)에서 암컷이나 수컷이 생기는 일.,양성산에서 암컷이나 수컷이 생기는 일.,,양성산에서 암컷이나 수컷이 생기는 일.,#NUM!
83,95,amphiboly,NNS,(=amphibology),(=amphibology),(=amphibology),(=amphibology),,,,#NUM!
84,96,amphiscians,NNS,[고어]  열대의 주민(inhabitants of the tropics).,  열대의 주민(inhabitants of the tropics),  열대의 주민(inhabitants of the tropics),  열대의 주민(inhabitants of the tropics),열대의 주민,,열대의 주민,#NUM!
85,97,amphitoky,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
86,98,amphora,NNS,"  암포라(고대 그리스나 로마 시대에 쓰던, 양 손잡이가 달리고 목인 좁은 큰 항아리)  ","암포라(고대 그리스나 로마 시대에 쓰던, 양 손잡이가 달리고 목인 좁은 큰 항아리)  ","암포라(고대 그리스나 로마 시대에 쓰던, 양 손잡이가 달리고 목인 좁은 큰 항아리)  ","암포라(고대 그리스나 로마 시대에 쓰던, 양 손잡이가 달리고 목인 좁은 큰 항아리)  ",암포라,,암포라,#NUM!
87,99,amyelia,NNS,"[의학]  무척수증(無脊髓症), 선천성 척수 결여(缺如).  ","  무척수증(無脊髓症), 선천성 척수 결여(缺如)","  무척수증(無脊髓症), 선천성 척수 결여(缺如)","  무척수증(無脊髓症), 선천성 척수 결여(缺如)",무척수증,,무척수증,#NUM!
88,100,anabathmos,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
89,101,anacamptics,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
90,102,anaclastics,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
91,103,anaglyphics,NNS,(?影)立?照片 。,(?影)立?照片 。,(?影)立?照片 。,(?影)立?照片 。,立?照片 。,,立?照片 。,#NUM!
92,104,anaglyptics,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
93,105,anagogics,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
94,107,analabos,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
95,108,analects,NNS,"  pl. 어록(語錄), 선집(選集)  ","pl. 어록(語錄), 선집(選集)  ","pl. 어록(語錄), 선집(選集)  ","pl. 어록(語錄), 선집(選集)  ",pl. 어록,,pl. 어록,#NUM!
96,110,analytics,NNS,"  분석, 분석 정보  ","분석, 분석 정보  ","분석, 분석 정보  ","분석, 분석 정보  ","분석, 분석 정보",,"분석, 분석 정보",#NUM!
97,111,ananaplas,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
98,112,ananas,NNS,[식물]  아나나스속(屬)의 각종 식물 ((파인애플 등)),  아나나스속(屬)의 각종 식물 ((파인애플 등)),  아나나스속(屬)의 각종 식물 ((파인애플 등)),  아나나스속(屬)의 각종 식물 ((파인애플 등)),아나나스속,,아나나스속,#NUM!
99,113,anandria,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
100,114,anaphoria,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
101,115,anarchize,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
102,116,anargyros,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
103,117,anartismos,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
104,118,anaunters,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
105,119,anes,NNS,"[방언]  한번, 일찍이, 전에(once).  ","  한번, 일찍이, 전에(once)","  한번, 일찍이, 전에(once)","  한번, 일찍이, 전에(once)","한번, 일찍이, 전에",,"한번, 일찍이, 전에",#NUM!
106,120,angeleyes,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
107,121,anguria,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
108,122,angwantibo,NNS,"[동물]  금색포토원숭이(Arctocebus calabarensis)(= Calabar potto, (golden) potto)((아프리카 삼림 지대의 로리스(loris))).  ",Longer,Longer,Longer,Longer,,Longer,#NUM!
109,123,anhydromyelia,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
110,124,anights,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
111,125,anischuria,NNS,"[의학]  요실금(尿失禁), 유뇨(遺尿)      2.    ","  요실금(尿失禁), 유뇨(遺尿)      2","  요실금(尿失禁), 유뇨(遺尿)      2","  요실금(尿失禁), 유뇨(遺尿)      2",요실금 2,,요실금 2,#NUM!
112,126,anisocotyly,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
113,127,anisogamy,NNS,[생물]  이형 (배우자) 접합,  이형 (배우자) 접합,  이형 (배우자) 접합,  이형 (배우자) 접합,이형  접합,,이형  접합,#NUM!
114,128,anjan,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
115,129,ankylurethria,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
116,131,anotherkins,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
117,132,antenati,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
118,133,antepagments,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
119,134,anthracin,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
120,135,anthroponomics,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
121,136,antierysipelas,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
122,137,antilens,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
123,138,antimalaria,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
124,140,antipoints,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
125,141,antirabies,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
126,142,antirickets,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
127,143,antiscians,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
128,144,antitheses,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
129,145,antithetics,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
130,146,antitrades,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
131,147,antivirus,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
132,148,antoecians,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
133,149,anuria,NNS,(=ANURESIS),(=ANURESIS),(=ANURESIS),(=ANURESIS),,,,#NUM!
134,150,anywheres,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
135,151,Apharsathacites,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
136,152,aphidid,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
137,153,aphoria,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
138,154,aphorismos,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
139,155,apogeny,NNS,[육종학]  무생식 기관성 불임(無生殖器官性不稔),  무생식 기관성 불임(無生殖器官性不稔),  무생식 기관성 불임(無生殖器官性不稔),  무생식 기관성 불임(無生殖器官性不稔),무생식 기관성 불임,,무생식 기관성 불임,#NUM!
140,156,apologetics,NNS,[신학]  pl. [단수 취급] (그리스도교의) 변증론[학],  pl,  pl,  pl,pl,,pl,#NUM!
141,157,aporia,NNS,[전문 용어]  아포리아(하나의 명제에 대해 증거와 반증이 동시에 존재하므로 그 진실성을 확립하기 어려운 상태),  아포리아(하나의 명제에 대해 증거와 반증이 동시에 존재하므로 그 진실성을 확립하기 어려운 상태),  아포리아(하나의 명제에 대해 증거와 반증이 동시에 존재하므로 그 진실성을 확립하기 어려운 상태),  아포리아(하나의 명제에 대해 증거와 반증이 동시에 존재하므로 그 진실성을 확립하기 어려운 상태),아포리아,,아포리아,#NUM!
142,158,apothem,NNS,[수학]  변심거리(邊心距離),  변심거리(邊心距離),  변심거리(邊心距離),  변심거리(邊心距離),변심거리,,변심거리,#NUM!
143,161,aptyalia,NNS,"[의학]  타액결핍, 타액결핍증(唾液缺乏症), 무타액, 무타액증(無唾液症)      2.    ","  타액결핍, 타액결핍증(唾液缺乏症), 무타액, 무타액증(無唾液症)      2","  타액결핍, 타액결핍증(唾液缺乏症), 무타액, 무타액증(無唾液症)      2","  타액결핍, 타액결핍증(唾液缺乏症), 무타액, 무타액증(無唾液症)      2","타액결핍, 타액결핍증 2",,"타액결핍, 타액결핍증 2",#NUM!
144,163,arabana,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
145,164,archapostle,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
146,165,archarios,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
147,166,archflamen,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
148,167,archicleistogamy,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
149,168,arcticwards,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
150,169,arecaidin,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
151,170,areotectonics,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
152,171,aretaics,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
153,172,argans,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
154,173,argeers,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
155,175,aristogenics,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
156,177,aromatites,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
157,179,arrisways,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
158,180,arsenillo,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
159,181,ascarides,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
160,182,ascriptitius,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
161,183,ashes,NNS,[농업]  회분(灰分),  회분(灰分),  회분(灰分),  회분(灰分),회분,,회분,#NUM!
162,184,ashy,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
163,185,asimen,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
164,186,asphalt,NNS,아스팔트,아스팔트,아스팔트,아스팔트,아스팔트,,아스팔트,#NUM!
165,187,aspidiaria,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
166,188,assaut,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
167,189,assets,NNS,[가정학]  자산(資産),  자산(資産),  자산(資産),  자산(資産),자산,,자산,#NUM!
168,190,assizes,NNS,(예전 잉글랜드·웨일스의) 순회 재판소,(예전 잉글랜드·웨일스의) 순회 재판소,(예전 잉글랜드·웨일스의) 순회 재판소,(예전 잉글랜드·웨일스의) 순회 재판소, 순회 재판소,, 순회 재판소,#NUM!
169,191,astronautics,NNS,pl. [단수 취급] 우주 항행학[술],pl. [단수 취급] 우주 항행학[술],pl. [단수 취급] 우주 항행학[술],pl. [단수 취급] 우주 항행학[술],pl. ,,pl. ,#NUM!
170,192,astronomics,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
171,193,astrophysics,NNS,천체물리학,천체물리학,천체물리학,천체물리학,천체물리학,,천체물리학,#NUM!
172,194,asymbolia,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
173,195,atelets,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
174,196,atelomyelia,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
175,197,athletics,NNS,[英]  육상 경기      2.,  육상 경기      2,  육상 경기      2,  육상 경기      2,육상 경기 2,,육상 경기 2,#NUM!
176,198,athwartships,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
177,199,atlas,NNS,지도책,지도책,지도책,지도책,지도책,,지도책,#NUM!
178,200,atmiatrics,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
179,201,atmos,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
180,203,atomechanics,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
181,204,atomics,NNS,[미]  pl. [단수 취급] 원자학,  pl,  pl,  pl,pl,,pl,#NUM!
182,205,atomistics,NNS,"  pl. [단수 취급] 원자 과학 ((원자력의 개발·이용을 취급, cf. ATOMICS))  ","pl. [단수 취급] 원자 과학 ((원자력의 개발·이용을 취급, cf. ATOMICS))  ","pl. [단수 취급] 원자 과학 ((원자력의 개발·이용을 취급, cf. ATOMICS))  ","pl. [단수 취급] 원자 과학 ((원자력의 개발·이용을 취급, cf. ATOMICS))  ",pl.  원자 과학 ,,pl.  원자 과학 ,#NUM!
183,206,atrabiliar,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
