Column1,word,type,v1,v2,v3,유의어,v4,v5,반의어,v6,동의어
53,canelike,VBP,  지팡이[등나무] 같은.  ,지팡이[등나무] 같은.  ,지팡이[등나무] 같은.  ,,지팡이[등나무] 같은.  ,지팡이 같은.,,지팡이 같은.,NaN
54,capeskin,VBP,  양가죽의[으로 만든]  ,양가죽의[으로 만든]  ,양가죽의[으로 만든]  ,,양가죽의[으로 만든]  ,양가죽의,,양가죽의,NaN
55,carbonyl,VBP,  카르보닐기를 함유한  ,카르보닐기를 함유한  ,카르보닐기를 함유한  ,,카르보닐기를 함유한  ,카르보닐기를 함유한,,카르보닐기를 함유한,NaN
56,carouse,VBP,[문예체]  술을 마시며 흥청거리다  ,  술을 마시며 흥청거리다  ,  술을 마시며 흥청거리다  ,,  술을 마시며 흥청거리다  ,술을 마시며 흥청거리다,grieve,술을 마시며 흥청거리다,drink
57,carpogenic,VBP,  결실성(結實性)의.  ,결실성(結實性)의.  ,결실성(結實性)의.  ,,결실성(結實性)의.  ,결실성의.,,결실성의.,NaN
58,cartilaginoid,VBP,  연골과 비슷한.  ,연골과 비슷한.  ,연골과 비슷한.  ,,연골과 비슷한.  ,연골과 비슷한.,,연골과 비슷한.,NaN
59,champleve,VBP,  샹르베 칠보(七寶)의 ((바탕에 새겨서 에나멜을 입힌))      2.    [명사]  샹르베 칠보(cf. CLOISONN?)  ,Longer,Longer,,Longer,Longer,,Longer,NaN
60,cheep,VBP,  짹짹거리다  ,짹짹거리다  ,짹짹거리다  ,,짹짹거리다  ,짹짹거리다,,짹짹거리다,chirp
61,chinky,VBP,"  금이 간, 틈새가 많은  ","금이 간, 틈새가 많은  ","금이 간, 틈새가 많은  ",,"금이 간, 틈새가 많은  ","금이 간, 틈새가 많은",,"금이 간, 틈새가 많은",NaN
62,chirper,VBP,[비격식]  명랑 쾌활한      2.    [명사]  나무를 잘게 자르는 기계      3.    [명사]  튀김용 감자를 자르는 기구  ,  명랑 쾌활한      2,  명랑 쾌활한      2,,  명랑 쾌활한      2,명랑 쾌활한 2,,명랑 쾌활한 2,NaN
63,chivalric,VBP,"  기사도 (시대)의, 기사적인(chivalrous)  ","기사도 (시대)의, 기사적인(chivalrous)  ","기사도 (시대)의, 기사적인(chivalrous)  ",,"기사도 (시대)의, 기사적인(chivalrous)  ",기사도 ,,기사도 ,chivalrous
64,choanoid,VBP,[해부학]  깔때기 모양의  ,  깔때기 모양의  ,  깔때기 모양의  ,,  깔때기 모양의  ,깔때기 모양의,,깔때기 모양의,NaN
65,chromyl,VBP,[화학]  크로밀기(基)(CrO₂ ++)의(를 함유하는).  ,  크로밀기(基)(CrO₂ ++)의(를 함유하는),  크로밀기(基)(CrO₂ ++)의(를 함유하는),,  크로밀기(基)(CrO₂ ++)의(를 함유하는),크로밀기,,크로밀기,NaN
66,clandestine,VBP,"[격식]  비밀리에 하는, 은밀한  ","  비밀리에 하는, 은밀한  ","  비밀리에 하는, 은밀한  ",,"  비밀리에 하는, 은밀한  ","비밀리에 하는, 은밀한",authorized,"비밀리에 하는, 은밀한",fraudulent
67,coadunative,VBP,"[생물]  착생(着生)의 , 결합의.  ","  착생(着生)의 , 결합의","  착생(着生)의 , 결합의",,"  착생(着生)의 , 결합의","착생의 , 결합의",,"착생의 , 결합의",NaN
68,cogitate,VBP,[격식]  숙고하다  ,  숙고하다  ,  숙고하다  ,,  숙고하다  ,숙고하다,dismiss,숙고하다,cerebrate
69,collinear,VBP,"[수학]  동일 선상의, 공선(共線)적인  ","  동일 선상의, 공선(共線)적인  ","  동일 선상의, 공선(共線)적인  ",,"  동일 선상의, 공선(共線)적인  ","동일 선상의, 공선적인",,"동일 선상의, 공선적인",nonstop
70,commutative,VBP,[수학]  가환성의(제시된 수의 순서에 상관없이 결과가 동일한)  ,  가환성의(제시된 수의 순서에 상관없이 결과가 동일한)  ,  가환성의(제시된 수의 순서에 상관없이 결과가 동일한)  ,,  가환성의(제시된 수의 순서에 상관없이 결과가 동일한)  ,가환성의,constant,가환성의,fickle
71,complain,VBP,  불평[항의]하다  ,불평[항의]하다  ,불평[항의]하다  ,,불평[항의]하다  ,불평하다,agree,불평하다,criticize
72,completive,VBP,"  완성적인, [문법] 완료를 나타내는  ","완성적인, [문법] 완료를 나타내는  ","완성적인, [문법] 완료를 나타내는  ",,"완성적인, [문법] 완료를 나타내는  ","완성적인,  완료를 나타내는",,"완성적인,  완료를 나타내는",NaN
73,concave,VBP,  오목한 (↔convex)  ,오목한 (↔convex)  ,오목한 (↔convex)  ,,오목한 (↔convex)  ,오목한 ,distended,오목한 ,cupped
74,concertinist,VBP,[英]  (콘서티나처럼) 납작 짜부라지다  ,  (콘서티나처럼) 납작 짜부라지다  ,  (콘서티나처럼) 납작 짜부라지다  ,,  (콘서티나처럼) 납작 짜부라지다  , 납작 짜부라지다,, 납작 짜부라지다,NaN
75,condescend,VBP,[흔히 못마땅함]  자신을 낮추다 (=deign)      2.    ,  자신을 낮추다 (=deign)      2,  자신을 낮추다 (=deign)      2,,  자신을 낮추다 (=deign)      2,자신을 낮추다  2,decline,자신을 낮추다  2,accord
76,conky,VBP,"[영·속어]  코가 큰      2.    [명사][영·속어]  큰 코, 코가 큰 사람; [C~] 코주부 ((별명))  ",  코가 큰      2,  코가 큰      2,,  코가 큰      2,코가 큰 2,,코가 큰 2,NaN
77,conspecific,VBP,[생물]  같은 종류의      2.    [명사][생물]  동종(同種)  ,  같은 종류의      2,  같은 종류의      2,,  같은 종류의      2,같은 종류의 2,,같은 종류의 2,NaN
78,cordiform,VBP,  심장 모양의(heart-shaped)  ,심장 모양의(heart-shaped)  ,심장 모양의(heart-shaped)  ,,심장 모양의(heart-shaped)  ,심장 모양의,,심장 모양의,NaN
79,corymbose,VBP,"  산방 꽃차례의, 산방화 모양의(corymblike). (또는 corymbous) ~·ly  ","산방 꽃차례의, 산방화 모양의(corymblike). (또는 corymbous) ~·ly  ","산방 꽃차례의, 산방화 모양의(corymblike). (또는 corymbous) ~·ly  ",,"산방 꽃차례의, 산방화 모양의(corymblike). (또는 corymbous) ~·ly  ","산방 꽃차례의, 산방화 모양의 ~·ly",,"산방 꽃차례의, 산방화 모양의 ~·ly",NaN
80,cospecific,VBP,[생물]  같은 종류의      2.    [명사][생물]  동종(同種)  ,  같은 종류의      2,  같은 종류의      2,,  같은 종류의      2,같은 종류의 2,,같은 종류의 2,NaN
81,cottagey,VBP,  별장풍(風)의[을 연상케 하는].  ,별장풍(風)의[을 연상케 하는].  ,별장풍(風)의[을 연상케 하는].  ,,별장풍(風)의[을 연상케 하는].  ,별장풍의.,,별장풍의.,NaN
82,cowlike,VBP,"  소 같은, 소와 비슷한  ","소 같은, 소와 비슷한  ","소 같은, 소와 비슷한  ",,"소 같은, 소와 비슷한  ","소 같은, 소와 비슷한",,"소 같은, 소와 비슷한",NaN
83,crap,VBP,"[英 금기어 속어]  형편없는, 쓰레기 같은  ","  형편없는, 쓰레기 같은  ","  형편없는, 쓰레기 같은  ",,"  형편없는, 쓰레기 같은  ","형편없는, 쓰레기 같은",possessions,"형편없는, 쓰레기 같은",garbage
84,crate,VBP,  (운송용 대형) 상자에 담다  ,(운송용 대형) 상자에 담다  ,(운송용 대형) 상자에 담다  ,,(운송용 대형) 상자에 담다  , 상자에 담다,, 상자에 담다,cage
85,creosote,VBP,"  크레오소트를 바르다, 크레오소트로 보존하다  ","크레오소트를 바르다, 크레오소트로 보존하다  ","크레오소트를 바르다, 크레오소트로 보존하다  ",,"크레오소트를 바르다, 크레오소트로 보존하다  ","크레오소트를 바르다, 크레오소트로 보존하다",,"크레오소트를 바르다, 크레오소트로 보존하다",NaN
86,crunchy,VBP,"[호감]  아삭아삭한, 바삭바삭한  ","  아삭아삭한, 바삭바삭한  ","  아삭아삭한, 바삭바삭한  ",,"  아삭아삭한, 바삭바삭한  ","아삭아삭한, 바삭바삭한",,"아삭아삭한, 바삭바삭한",crackling
87,cumuliform,VBP,"  적운(積雲) 모양의, 뭉개구름 모양의  ","적운(積雲) 모양의, 뭉개구름 모양의  ","적운(積雲) 모양의, 뭉개구름 모양의  ",,"적운(積雲) 모양의, 뭉개구름 모양의  ","적운 모양의, 뭉개구름 모양의",,"적운 모양의, 뭉개구름 모양의",NaN
88,cursive,VBP,[전문 용어]  필기체인  ,  필기체인  ,  필기체인  ,,  필기체인  ,필기체인,loud,필기체인,effortless
89,cymose,VBP,"  [식물] 취산 꽃차례의, 취산상(狀)의  ","[식물] 취산 꽃차례의, 취산상(狀)의  ","[식물] 취산 꽃차례의, 취산상(狀)의  ",,"[식물] 취산 꽃차례의, 취산상(狀)의  "," 취산 꽃차례의, 취산상의",," 취산 꽃차례의, 취산상의",NaN
90,daggle,VBP,"[고어]  (옷 따위를 물·흙탕 속에서) 질질 끌다, 질질 끌며 더럽히다.  ","  (옷 따위를 물·흙탕 속에서) 질질 끌다, 질질 끌며 더럽히다","  (옷 따위를 물·흙탕 속에서) 질질 끌다, 질질 끌며 더럽히다",,"  (옷 따위를 물·흙탕 속에서) 질질 끌다, 질질 끌며 더럽히다"," 질질 끌다, 질질 끌며 더럽히다",," 질질 끌다, 질질 끌며 더럽히다",NaN
91,degressive,VBP,  체감적인  ,체감적인  ,체감적인  ,,체감적인  ,체감적인,,체감적인,NaN
92,deify,VBP,"[격식]  신격화하다, 신으로 받들다  ","  신격화하다, 신으로 받들다  ","  신격화하다, 신으로 받들다  ",,"  신격화하다, 신으로 받들다  ","신격화하다, 신으로 받들다",criticize,"신격화하다, 신으로 받들다",adore
93,delete,VBP,  (쓰거나 인쇄한 것을) 삭제하다  ,(쓰거나 인쇄한 것을) 삭제하다  ,(쓰거나 인쇄한 것을) 삭제하다  ,,(쓰거나 인쇄한 것을) 삭제하다  , 삭제하다,add, 삭제하다,black out
94,denunciative,VBP,  (=DENUNCIATORY)  ,(=DENUNCIATORY)  ,(=DENUNCIATORY)  ,,(=DENUNCIATORY)  ,,,,comminative
95,descend,VBP,"[격식]  내려오다, 내려가다 (↔ascend)      2.    ","  내려오다, 내려가다 (↔ascend)      2","  내려오다, 내려가다 (↔ascend)      2",,"  내려오다, 내려가다 (↔ascend)      2","내려오다, 내려가다  2",go up,"내려오다, 내려가다  2",collapse
96,diffractive,VBP,"[물리]  회절하는, 회절성의  ","  회절하는, 회절성의  ","  회절하는, 회절성의  ",,"  회절하는, 회절성의  ","회절하는, 회절성의",,"회절하는, 회절성의",NaN
97,disbelieve,VBP,"[격식]  믿지 않다, 불신하다  ","  믿지 않다, 불신하다  ","  믿지 않다, 불신하다  ",,"  믿지 않다, 불신하다  ","믿지 않다, 불신하다",believe,"믿지 않다, 불신하다",discount
98,discursive,VBP,"  두서없는, 산만한  ","두서없는, 산만한  ","두서없는, 산만한  ",,"두서없는, 산만한  ","두서없는, 산만한",,"두서없는, 산만한",digressive
99,dispermic,VBP,  쌍정(雙精)의.  ,쌍정(雙精)의.  ,쌍정(雙精)의.  ,,쌍정(雙精)의.  ,쌍정의.,,쌍정의.,NaN
100,dissuasive,VBP,"  만류하는, 말리는  ","만류하는, 말리는  ","만류하는, 말리는  ",,"만류하는, 말리는  ","만류하는, 말리는",,"만류하는, 말리는",NaN
101,distain,VBP,"[고어]  …을 변색시키다, 더럽히다.      2.    ","  …을 변색시키다, 더럽히다","  …을 변색시키다, 더럽히다",,"  …을 변색시키다, 더럽히다","…을 변색시키다, 더럽히다",,"…을 변색시키다, 더럽히다",NaN
102,distributive,VBP,[상업]  (상품) 유통의  ,  (상품) 유통의  ,  (상품) 유통의  ,,  (상품) 유통의  , 유통의,, 유통의,NaN
103,diverse,VBP,  다양한  ,다양한  ,다양한  ,,다양한  ,다양한,same,다양한,disparate
104,dolesome,VBP,[문어]  (=DOLEFUL)  ,  (=DOLEFUL)  ,  (=DOLEFUL)  ,,  (=DOLEFUL)  ,,happy,,afflictive
105,domesticize,VBP,  (=domesticate)  ,(=domesticate)  ,(=domesticate)  ,,(=domesticate)  ,,,,bridle
106,doxologize,VBP,  하나님을 찬송하다  ,하나님을 찬송하다  ,하나님을 찬송하다  ,,하나님을 찬송하다  ,하나님을 찬송하다,,하나님을 찬송하다,recite
107,drear,VBP,[시어]  (=DREARY)  ,  (=DREARY)  ,  (=DREARY)  ,,  (=DREARY)  ,,cheerful,,dismal
108,dustproof,VBP,"  먼지를 막는, 방진의  ","먼지를 막는, 방진의  ","먼지를 막는, 방진의  ",,"먼지를 막는, 방진의  ","먼지를 막는, 방진의",,"먼지를 막는, 방진의",NaN
109,effeminate,VBP,"[못마땅함]  여자 같은, 여성적인  ","  여자 같은, 여성적인  ","  여자 같은, 여성적인  ",,"  여자 같은, 여성적인  ","여자 같은, 여성적인",masculine,"여자 같은, 여성적인",feminine
110,effusive,VBP,  (감정 표현이) 야단스러운[과장된]  ,(감정 표현이) 야단스러운[과장된]  ,(감정 표현이) 야단스러운[과장된]  ,,(감정 표현이) 야단스러운[과장된]  , 야단스러운,disinterested, 야단스러운,ebullient
111,electroplate,VBP,  전기도금하다  ,전기도금하다  ,전기도금하다  ,,전기도금하다  ,전기도금하다,,전기도금하다,bronze
112,ellipsoid,VBP,  (=ELLIPSOIDAL)  ,(=ELLIPSOIDAL)  ,(=ELLIPSOIDAL)  ,,(=ELLIPSOIDAL)  ,,,,NaN
113,elusive,VBP,  찾기[규정하기/달성하기] 힘든  ,찾기[규정하기/달성하기] 힘든  ,찾기[규정하기/달성하기] 힘든  ,,찾기[규정하기/달성하기] 힘든  ,찾기 힘든,honest,찾기 힘든,fleeting
114,emarginate,VBP,"[식물]  가장자리가 톱니 모양으로 갈라진, 오목하게 들어간  ","  가장자리가 톱니 모양으로 갈라진, 오목하게 들어간  ","  가장자리가 톱니 모양으로 갈라진, 오목하게 들어간  ",,"  가장자리가 톱니 모양으로 갈라진, 오목하게 들어간  ","가장자리가 톱니 모양으로 갈라진, 오목하게 들어간",,"가장자리가 톱니 모양으로 갈라진, 오목하게 들어간",NaN
115,empathize,VBP,  (특히 자기 경험에서 우러나) 공감하다  ,(특히 자기 경험에서 우러나) 공감하다  ,(특히 자기 경험에서 우러나) 공감하다  ,,(특히 자기 경험에서 우러나) 공감하다  , 공감하다,mistake, 공감하다,comprehend
116,emulative,VBP,"  경쟁의, 지지 않으려는  ","경쟁의, 지지 않으려는  ","경쟁의, 지지 않으려는  ",,"경쟁의, 지지 않으려는  ","경쟁의, 지지 않으려는",,"경쟁의, 지지 않으려는",copied
117,encroach,VBP,[못마땅함]  (남의 시간·권리·생활 등을) 침해하다      2.    ,  (남의 시간·권리·생활 등을) 침해하다      2,  (남의 시간·권리·생활 등을) 침해하다      2,,  (남의 시간·권리·생활 등을) 침해하다      2, 침해하다 2,ignore, 침해하다 2,impinge
118,endogamic,VBP,  (=endogamous)  ,(=endogamous)  ,(=endogamous)  ,,(=endogamous)  ,,,,NaN
119,engrave,VBP,  (나무·돌·쇠붙이 등에) 새기다  ,(나무·돌·쇠붙이 등에) 새기다  ,(나무·돌·쇠붙이 등에) 새기다  ,,(나무·돌·쇠붙이 등에) 새기다  , 새기다,dislodge, 새기다,embed
