Column1,word,type,v1,v2,v3,유의어,v4,v5,반의어,v6,동의어
16,daut,VBZ,"[스코틀랜드]  귀여워하다, 애무하다(caress). (또는 dawt)  ","  귀여워하다, 애무하다(caress)","  귀여워하다, 애무하다(caress)",,"  귀여워하다, 애무하다(caress)","귀여워하다, 애무하다",,"귀여워하다, 애무하다",NaN
17,dendroid,VBZ,  수목상(樹木狀)의  ,수목상(樹木狀)의  ,수목상(樹木狀)의  ,,수목상(樹木狀)의  ,수목상의,,수목상의,NaN
18,dentoid,VBZ,"  이 같은, 이 모양의  ","이 같은, 이 모양의  ","이 같은, 이 모양의  ",,"이 같은, 이 모양의  ","이 같은, 이 모양의",,"이 같은, 이 모양의",NaN
19,dextrorse,VBZ,"  [식물] 오른쪽으로 감아 올라가는 ((뿌리에서 보아)), [동물] <고둥이> 오른쪽으로 감긴(dextral)  ",Longer,Longer,,Longer,Longer,,Longer,NaN
20,disobey,VBZ,  (사람·법·명령 등에) 불복종하다[거역하다/반항하다] (↔obey)  ,(사람·법·명령 등에) 불복종하다[거역하다/반항하다] (↔obey)  ,(사람·법·명령 등에) 불복종하다[거역하다/반항하다] (↔obey)  ,,(사람·법·명령 등에) 불복종하다[거역하다/반항하다] (↔obey)  ,,obey,,defy
21,dissimilars,VBZ,"  같지 않은, 다른 (↔similar)  ","같지 않은, 다른 (↔similar)  ","같지 않은, 다른 (↔similar)  ",,"같지 않은, 다른 (↔similar)  ","같지 않은, 다른 ",,"같지 않은, 다른 ",NaN
22,dithyrambic,VBZ,"  주신(酒神) 찬가의, 열광적인      2.    [명사]  (=DITHYRAMB)  ","주신(酒神) 찬가의, 열광적인      2.    [명사]  (=DITHYRAMB)  ","주신(酒神) 찬가의, 열광적인      2.    [명사]  (=DITHYRAMB)  ",,"주신(酒神) 찬가의, 열광적인      2.    [명사]  (=DITHYRAMB)  ",주신,,주신,elevated
23,eddy,VBZ,"  회오리를 일으키다, 소용돌이치다 (=swirl)  ","회오리를 일으키다, 소용돌이치다 (=swirl)  ","회오리를 일으키다, 소용돌이치다 (=swirl)  ",,"회오리를 일으키다, 소용돌이치다 (=swirl)  ","회오리를 일으키다, 소용돌이치다 ",,"회오리를 일으키다, 소용돌이치다 ",swirl
24,elbow,VBZ,  (팔꿈치로) 밀치다  ,(팔꿈치로) 밀치다  ,(팔꿈치로) 밀치다  ,,(팔꿈치로) 밀치다  , 밀치다,, 밀치다,angle
25,emptins,VBZ,"  솔깃한, 구미가 당기는  ","솔깃한, 구미가 당기는  ","솔깃한, 구미가 당기는  ",,"솔깃한, 구미가 당기는  ","솔깃한, 구미가 당기는",,"솔깃한, 구미가 당기는",NaN
26,euphausiid,VBZ,  크릴새우류(類)(Euphausiacea)의.  ,크릴새우류(類)(Euphausiacea)의.  ,크릴새우류(類)(Euphausiacea)의.  ,,크릴새우류(類)(Euphausiacea)의.  ,크릴새우류의.,,크릴새우류의.,NaN
27,forfeits,VBZ,"  몰수[박탈]당하다      2.    [명사]  벌금, 몰수품  ","몰수[박탈]당하다      2.    [명사]  벌금, 몰수품  ","몰수[박탈]당하다      2.    [명사]  벌금, 몰수품  ",,"몰수[박탈]당하다      2.    [명사]  벌금, 몰수품  ","몰수 벌금, 몰수품",reward,"몰수 벌금, 몰수품",damages
28,graphologic,VBZ, graphologic,graphologic,graphologic,,graphologic,graphologic,,graphologic,NaN
29,intersperse,VBZ,  (…속에·사이에) 배치하다  ,(…속에·사이에) 배치하다  ,(…속에·사이에) 배치하다  ,,(…속에·사이에) 배치하다  , 배치하다,gather, 배치하다,pepper
30,lenify,VBZ,"  완화시키다, 부드럽게 만들다  ","완화시키다, 부드럽게 만들다  ","완화시키다, 부드럽게 만들다  ",,"완화시키다, 부드럽게 만들다  ","완화시키다, 부드럽게 만들다",,"완화시키다, 부드럽게 만들다",NaN
31,lenticularis,VBZ,[기상]  (구름이) 렌즈 모양의(을 한).  ,  (구름이) 렌즈 모양의(을 한),  (구름이) 렌즈 모양의(을 한),,  (구름이) 렌즈 모양의(을 한),,,,NaN
32,leonines,VBZ,[문예체]  사자 같은  ,  사자 같은  ,  사자 같은  ,,  사자 같은  ,사자 같은,,사자 같은,NaN
33,lewd,VBZ,"  외설적인, 선정적인 (=obscene)  ","외설적인, 선정적인 (=obscene)  ","외설적인, 선정적인 (=obscene)  ",,"외설적인, 선정적인 (=obscene)  ","외설적인, 선정적인 ",clean,"외설적인, 선정적인 ",coarse
34,liberticidal,VBZ,"  자유 파괴의, 자유 파괴자의.  ","자유 파괴의, 자유 파괴자의.  ","자유 파괴의, 자유 파괴자의.  ",,"자유 파괴의, 자유 파괴자의.  ","자유 파괴의, 자유 파괴자의.",,"자유 파괴의, 자유 파괴자의.",NaN
35,lithoid,VBZ,"  돌 모양의, 석질(石質)의  ","돌 모양의, 석질(石質)의  ","돌 모양의, 석질(石質)의  ",,"돌 모양의, 석질(石質)의  ","돌 모양의, 석질의",,"돌 모양의, 석질의",NaN
36,lop,VBZ,  (나무·나뭇가지를) 자르다[잘라 내다]  ,(나무·나뭇가지를) 자르다[잘라 내다]  ,(나무·나뭇가지를) 자르다[잘라 내다]  ,,(나무·나뭇가지를) 자르다[잘라 내다]  , 자르다,, 자르다,chop
37,loxodont,VBZ,  코끼리의.  ,코끼리의.  ,코끼리의.  ,,코끼리의.  ,코끼리의.,,코끼리의.,NaN
38,lumpy,VBZ,"  덩어리[응어리]가 많은, 혹투성이의  ","덩어리[응어리]가 많은, 혹투성이의  ","덩어리[응어리]가 많은, 혹투성이의  ",,"덩어리[응어리]가 많은, 혹투성이의  ","덩어리가 많은, 혹투성이의",,"덩어리가 많은, 혹투성이의",chunky
39,melancholiac,VBZ,  우울증에 걸린  ,우울증에 걸린  ,우울증에 걸린  ,,우울증에 걸린  ,우울증에 걸린,,우울증에 걸린,NaN
40,misshapen,VBZ,"  모양이 정상이 아닌, 기형의  ","모양이 정상이 아닌, 기형의  ","모양이 정상이 아닌, 기형의  ",,"모양이 정상이 아닌, 기형의  ","모양이 정상이 아닌, 기형의",,"모양이 정상이 아닌, 기형의",twisted
41,molten,VBZ,  녹은  ,녹은  ,녹은  ,,녹은  ,녹은,,녹은,glowing
42,niggardize,VBZ,"[고어]  인색하다, 다랍다 (be niggardly), 쩨쩨하다, 단작스럽다 (behave in a niggardly manner).      2.    ",Longer,Longer,,Longer,Longer,,Longer,NaN
43,nowaday,VBZ,"  오늘날의, 요즈음의  ","오늘날의, 요즈음의  ","오늘날의, 요즈음의  ",,"오늘날의, 요즈음의  ","오늘날의, 요즈음의",,"오늘날의, 요즈음의",NaN
44,oaken,VBZ,[문예체]  오크로 만든  ,  오크로 만든  ,  오크로 만든  ,,  오크로 만든  ,오크로 만든,,오크로 만든,NaN
45,octachordal,VBZ,"  팔현금(八絃琴)의, 전음계의.  ","팔현금(八絃琴)의, 전음계의.  ","팔현금(八絃琴)의, 전음계의.  ",,"팔현금(八絃琴)의, 전음계의.  ","팔현금의, 전음계의.",,"팔현금의, 전음계의.",NaN
46,parthenocarpic,VBZ,[식물]  단위 결실(單爲結實)(parthenocarpy)의.  ,  단위 결실(單爲結實)(parthenocarpy)의,  단위 결실(單爲結實)(parthenocarpy)의,,  단위 결실(單爲結實)(parthenocarpy)의,단위 결실의,,단위 결실의,NaN
47,phrase,VBZ,[문법]  (말글을 특정한 방식으로) 표현하다      4.    ,  (말글을 특정한 방식으로) 표현하다      4,  (말글을 특정한 방식으로) 표현하다      4,,  (말글을 특정한 방식으로) 표현하다      4, 표현하다 4,, 표현하다 4,idiom
48,plectognathic,VBZ,  유악류 물고기의.  ,유악류 물고기의.  ,유악류 물고기의.  ,,유악류 물고기의.  ,유악류 물고기의.,,유악류 물고기의.,NaN
49,premorbid,VBZ,[신조어]  질병이 생기기 전의  ,  질병이 생기기 전의  ,  질병이 생기기 전의  ,,  질병이 생기기 전의  ,질병이 생기기 전의,,질병이 생기기 전의,NaN
50,propitiatory,VBZ,"[격식]  달래는, 회유하는  ","  달래는, 회유하는  ","  달래는, 회유하는  ",,"  달래는, 회유하는  ","달래는, 회유하는",unrepentant,"달래는, 회유하는",contrite
51,rabic,VBZ,  광견병의.  ,광견병의.  ,광견병의.  ,,광견병의.  ,광견병의.,,광견병의.,NaN
52,randy,VBZ,[英 비격식]  (성적(性的)으로) 흥분한  ,  (성적(性的)으로) 흥분한  ,  (성적(性的)으로) 흥분한  ,,  (성적(性的)으로) 흥분한  , 흥분한,, 흥분한,lascivious
53,raser,VBZ,  (건물·도시 등을 아무 것도 안 남도록) 완전히 파괴하다[휩쓸어 버리다]  ,(건물·도시 등을 아무 것도 안 남도록) 완전히 파괴하다[휩쓸어 버리다]  ,(건물·도시 등을 아무 것도 안 남도록) 완전히 파괴하다[휩쓸어 버리다]  ,,(건물·도시 등을 아무 것도 안 남도록) 완전히 파괴하다[휩쓸어 버리다]  , 완전히 파괴하다,, 완전히 파괴하다,NaN
54,reconquer,VBZ,  재정복하다  ,재정복하다  ,재정복하다  ,,재정복하다  ,재정복하다,,재정복하다,NaN
55,redux,VBZ,  [명사 뒤에서] 돌아온  ,[명사 뒤에서] 돌아온  ,[명사 뒤에서] 돌아온  ,,[명사 뒤에서] 돌아온  , 돌아온,, 돌아온,NaN
56,remap,VBZ,[컴퓨터]  (컴퓨터 자판에 있는 키의 기능을) 재배치하다  ,  (컴퓨터 자판에 있는 키의 기능을) 재배치하다  ,  (컴퓨터 자판에 있는 키의 기능을) 재배치하다  ,,  (컴퓨터 자판에 있는 키의 기능을) 재배치하다  , 재배치하다,, 재배치하다,NaN
57,ribbonry,VBZ,  리본의[같은].  ,리본의[같은].  ,리본의[같은].  ,,리본의[같은].  ,리본의.,,리본의.,NaN
58,riffle,VBZ,  (종이·책장을 휙휙) 넘기다[대충 보다] (=leaf)  ,(종이·책장을 휙휙) 넘기다[대충 보다] (=leaf)  ,(종이·책장을 휙휙) 넘기다[대충 보다] (=leaf)  ,,(종이·책장을 휙휙) 넘기다[대충 보다] (=leaf)  ,,calm,,confuse
59,rue,VBZ,[구식 또는 격식]  후회하다 (=regret)  ,  후회하다 (=regret)  ,  후회하다 (=regret)  ,,  후회하다 (=regret)  ,후회하다 ,delight,후회하다 ,deplore
60,ruthenic,VBZ,"[화학]  루테늄의, 비교적 높은 원자가의 루테늄을 함유한  ","  루테늄의, 비교적 높은 원자가의 루테늄을 함유한  ","  루테늄의, 비교적 높은 원자가의 루테늄을 함유한  ",,"  루테늄의, 비교적 높은 원자가의 루테늄을 함유한  ","루테늄의, 비교적 높은 원자가의 루테늄을 함유한",,"루테늄의, 비교적 높은 원자가의 루테늄을 함유한",NaN
61,sinistrorse,VBZ,[식물]  왼쪽으로 감기는(opp. dextrorse)  ,  왼쪽으로 감기는(opp,  왼쪽으로 감기는(opp,,  왼쪽으로 감기는(opp,왼쪽으로 감기는(opp,,왼쪽으로 감기는(opp,NaN
62,spry,VBZ,  (=sprightly)  ,(=sprightly)  ,(=sprightly)  ,,(=sprightly)  ,,lazy,,brisk
63,tawie,VBZ,"[스코]  (온)순한, 다루기 쉬운  ","  (온)순한, 다루기 쉬운  ","  (온)순한, 다루기 쉬운  ",,"  (온)순한, 다루기 쉬운  ","순한, 다루기 쉬운",,"순한, 다루기 쉬운",NaN
64,topnotch,VBZ,"[구어]  일류의, 최고의  ","  일류의, 최고의  ","  일류의, 최고의  ",,"  일류의, 최고의  ","일류의, 최고의",inferior,"일류의, 최고의",finest
65,wanner,VBZ,"  창백한, 파리한, 힘없는  ","창백한, 파리한, 힘없는  ","창백한, 파리한, 힘없는  ",,"창백한, 파리한, 힘없는  ","창백한, 파리한, 힘없는",,"창백한, 파리한, 힘없는",NaN
