Column1,word,type,v1,v2,v3,유의어,v4,v5,반의어,v6,동의어
28,anchored,VBD,"  닻을 내린, [당구] (표적 공이) (쉽게 캐롬(carom)할 수 있을 만큼) 가까이 있는.  ","닻을 내린, [당구] (표적 공이) (쉽게 캐롬(carom)할 수 있을 만큼) 가까이 있는.  ","닻을 내린, [당구] (표적 공이) (쉽게 캐롬(carom)할 수 있을 만큼) 가까이 있는.  ",,"닻을 내린, [당구] (표적 공이) (쉽게 캐롬(carom)할 수 있을 만큼) 가까이 있는.  ","닻을 내린,   가까이 있는.",infirm,"닻을 내린,   가까이 있는.",robust
29,angulated,VBD,"  모가 있는, 각을 이룬  ","모가 있는, 각을 이룬  ","모가 있는, 각을 이룬  ",,"모가 있는, 각을 이룬  ","모가 있는, 각을 이룬",,"모가 있는, 각을 이룬",NaN
30,antiquated,VBD,[보통 못마땅함]  구식인 (=outdated),  구식인 (=outdated),  구식인 (=outdated),,  구식인 (=outdated),구식인 ,modern,구식인 ,archaic
31,antitank,VBD,[군사]  대(對)전차용의,  대(對)전차용의,  대(對)전차용의,,  대(對)전차용의,대전차용의,,대전차용의,NaN
32,antlered,VBD,"  가지진 뿔이 있는, 사슴뿔로 꾸민  ","가지진 뿔이 있는, 사슴뿔로 꾸민  ","가지진 뿔이 있는, 사슴뿔로 꾸민  ",,"가지진 뿔이 있는, 사슴뿔로 꾸민  ","가지진 뿔이 있는, 사슴뿔로 꾸민",,"가지진 뿔이 있는, 사슴뿔로 꾸민",NaN
33,appressed,VBD,"  바싹 밀어붙여진, 착 들러붙은  ","바싹 밀어붙여진, 착 들러붙은  ","바싹 밀어붙여진, 착 들러붙은  ",,"바싹 밀어붙여진, 착 들러붙은  ","바싹 밀어붙여진, 착 들러붙은",loose,"바싹 밀어붙여진, 착 들러붙은",tight
34,arched,VBD,아치 모양의,아치 모양의,아치 모양의,,아치 모양의,아치 모양의,,아치 모양의,domed
35,arrowheaded,VBD,화살촉 모양의,화살촉 모양의,화살촉 모양의,,화살촉 모양의,화살촉 모양의,,화살촉 모양의,NaN
36,arseniureted,VBD,[화학]  비소와 화합한.,  비소와 화합한,  비소와 화합한,,  비소와 화합한,비소와 화합한,,비소와 화합한,NaN
37,articled,VBD,[英]  (변호사·건축사·회계사) 수습 직원으로 채용된,  (변호사·건축사·회계사) 수습 직원으로 채용된,  (변호사·건축사·회계사) 수습 직원으로 채용된,,  (변호사·건축사·회계사) 수습 직원으로 채용된, 수습 직원으로 채용된,allowed, 수습 직원으로 채용된,enslaved
38,assigned,VBD,할당된,할당된,할당된,,할당된,할당된,indefinite,할당된,precise
39,assorted,VBD,"  여러 가지의, 갖은  ","여러 가지의, 갖은  ","여러 가지의, 갖은  ",,"여러 가지의, 갖은  ","여러 가지의, 갖은",same,"여러 가지의, 갖은",diversified
40,asteriated,VBD,"[광물]  성채의, 성채빛을 발하는  ","  성채의, 성채빛을 발하는  ","  성채의, 성채빛을 발하는  ",,"  성채의, 성채빛을 발하는  ","성채의, 성채빛을 발하는",,"성채의, 성채빛을 발하는",NaN
41,astonied,VBD,"[고어]  어리둥절한, 어안이 벙벙한, 놀라 어리둥절한(bewildered)  ","  어리둥절한, 어안이 벙벙한, 놀라 어리둥절한(bewildered)  ","  어리둥절한, 어안이 벙벙한, 놀라 어리둥절한(bewildered)  ",,"  어리둥절한, 어안이 벙벙한, 놀라 어리둥절한(bewildered)  ","어리둥절한, 어안이 벙벙한, 놀라 어리둥절한",,"어리둥절한, 어안이 벙벙한, 놀라 어리둥절한",NaN
42,atoke,VBD,[격식]  속죄하다 (=make amends),  속죄하다 (=make amends),  속죄하다 (=make amends),,  속죄하다 (=make amends),속죄하다 ,,속죄하다 ,NaN
43,attrited,VBD,마모[마멸]된,마모[마멸]된,마모[마멸]된,,마모[마멸]된,마모된,,마모된,NaN
44,auricled,VBD,"  귀가 있는, 귀 모양의 부분이 있는  ","귀가 있는, 귀 모양의 부분이 있는  ","귀가 있는, 귀 모양의 부분이 있는  ",,"귀가 있는, 귀 모양의 부분이 있는  ","귀가 있는, 귀 모양의 부분이 있는",,"귀가 있는, 귀 모양의 부분이 있는",NaN
45,avowed,VBD,"[격식]  공언한, 자인한  ","  공언한, 자인한  ","  공언한, 자인한  ",,"  공언한, 자인한  ","공언한, 자인한",,"공언한, 자인한",accepted
46,awned,VBD,까끄라기가 있는,까끄라기가 있는,까끄라기가 있는,,까끄라기가 있는,까끄라기가 있는,,까끄라기가 있는,NaN
47,azured,VBD,하늘색의,하늘색의,하늘색의,,하늘색의,하늘색의,,하늘색의,NaN
48,babied,VBD,"  어린, 작은(채소 이름 앞에 쓰여 아주 작은 품종 혹은 어릴 때 수확해서 먹는 것을 가리킴)  ","어린, 작은(채소 이름 앞에 쓰여 아주 작은 품종 혹은 어릴 때 수확해서 먹는 것을 가리킴)  ","어린, 작은(채소 이름 앞에 쓰여 아주 작은 품종 혹은 어릴 때 수확해서 먹는 것을 가리킴)  ",,"어린, 작은(채소 이름 앞에 쓰여 아주 작은 품종 혹은 어릴 때 수확해서 먹는 것을 가리킴)  ","어린, 작은",disappoint,"어린, 작은",coddle
49,backboned,VBD,"  등뼈 있는, 기골이 있는  ","등뼈 있는, 기골이 있는  ","등뼈 있는, 기골이 있는  ",,"등뼈 있는, 기골이 있는  ","등뼈 있는, 기골이 있는",,"등뼈 있는, 기골이 있는",NaN
50,backhanded,VBD,"  에두른, 돌려서 말하는  ","에두른, 돌려서 말하는  ","에두른, 돌려서 말하는  ",,"에두른, 돌려서 말하는  ","에두른, 돌려서 말하는",,"에두른, 돌려서 말하는",ambiguous
51,balanced,VBD,"[호감]  균형 잡힌, 안정된  ","  균형 잡힌, 안정된  ","  균형 잡힌, 안정된  ",,"  균형 잡힌, 안정된  ","균형 잡힌, 안정된",partial,"균형 잡힌, 안정된",fair
52,balustraded,VBD,난간이 있는,난간이 있는,난간이 있는,,난간이 있는,난간이 있는,,난간이 있는,NaN
53,banded,VBD,단결된,단결된,단결된,,단결된,단결된,uncombined,단결된,married
54,bangled,VBD,장식 고리[팔찌]를 낀,장식 고리[팔찌]를 낀,장식 고리[팔찌]를 낀,,장식 고리[팔찌]를 낀,장식 고리를 낀,,장식 고리를 낀,NaN
55,bannered,VBD,"  기를 갖춘, 기를 단  ","기를 갖춘, 기를 단  ","기를 갖춘, 기를 단  ",,"기를 갖춘, 기를 단  ","기를 갖춘, 기를 단",,"기를 갖춘, 기를 단",NaN
56,barefaced,VBD,"[못마땅함]  뻔뻔스러운 (=bald-faced, blatant)  ","  뻔뻔스러운 (=bald-faced, blatant)  ","  뻔뻔스러운 (=bald-faced, blatant)  ",,"  뻔뻔스러운 (=bald-faced, blatant)  ",뻔뻔스러운 ,quiet,뻔뻔스러운 ,arrant
57,barricade,VBD,바리케이드[방어벽]를 치다,바리케이드[방어벽]를 치다,바리케이드[방어벽]를 치다,,바리케이드[방어벽]를 치다,바리케이드를 치다,aid,바리케이드를 치다,blockade
58,basebred,VBD,"  천하게 자란, 막돼먹은.  ","천하게 자란, 막돼먹은.  ","천하게 자란, 막돼먹은.  ",,"천하게 자란, 막돼먹은.  ","천하게 자란, 막돼먹은.",,"천하게 자란, 막돼먹은.",NaN
59,basined,VBD,"  대야[물대접, 세면대]를 갖춘.  ","대야[물대접, 세면대]를 갖춘.  ","대야[물대접, 세면대]를 갖춘.  ",,"대야[물대접, 세면대]를 갖춘.  ",대야를 갖춘.,,대야를 갖춘.,NaN
60,bastioned,VBD,능보를 갖춘,능보를 갖춘,능보를 갖춘,,능보를 갖춘,능보를 갖춘,unguarded,능보를 갖춘,covered
61,battled,VBD,"  흉벽(胸壁)이 있는, 총안(銃眼)이 있는(embattled)  ","흉벽(胸壁)이 있는, 총안(銃眼)이 있는(embattled)  ","흉벽(胸壁)이 있는, 총안(銃眼)이 있는(embattled)  ",,"흉벽(胸壁)이 있는, 총안(銃眼)이 있는(embattled)  ",흉벽,make peace,흉벽,clamor
62,battlemented,VBD,"  총안의 흉벽을 갖춘, 꼭대기에 톱니꼴 벽이 있는.  ","총안의 흉벽을 갖춘, 꼭대기에 톱니꼴 벽이 있는.  ","총안의 흉벽을 갖춘, 꼭대기에 톱니꼴 벽이 있는.  ",,"총안의 흉벽을 갖춘, 꼭대기에 톱니꼴 벽이 있는.  ","총안의 흉벽을 갖춘, 꼭대기에 톱니꼴 벽이 있는.",,"총안의 흉벽을 갖춘, 꼭대기에 톱니꼴 벽이 있는.",NaN
63,bayoneted,VBD,총검으로 찌르다,총검으로 찌르다,총검으로 찌르다,,총검으로 찌르다,총검으로 찌르다,,총검으로 찌르다,pierce
64,beamed,VBD,(나무) 기둥이 있는,(나무) 기둥이 있는,(나무) 기둥이 있는,,(나무) 기둥이 있는, 기둥이 있는,, 기둥이 있는,
65,bedfast,VBD,몸져누운,몸져누운,몸져누운,,몸져누운,몸져누운,well,몸져누운,cramped
66,beefheaded,VBD,"[구어]  어리석은, 우둔한.  ","  어리석은, 우둔한","  어리석은, 우둔한",,"  어리석은, 우둔한","어리석은, 우둔한",,"어리석은, 우둔한",NaN
67,beetled,VBD,[英 비격식]  휑하니 가다 (=scurry),  휑하니 가다 (=scurry),  휑하니 가다 (=scurry),,  휑하니 가다 (=scurry),휑하니 가다 ,depress,휑하니 가다 ,bulge
68,beetleheaded,VBD,"  미련한, 멍청한  ","미련한, 멍청한  ","미련한, 멍청한  ",,"미련한, 멍청한  ","미련한, 멍청한",,"미련한, 멍청한",NaN
69,behold,VBD,[옛글투 또는 문예체]  (바라)보다,  (바라)보다,  (바라)보다,,  (바라)보다,보다,discard,보다,consider
70,belaced,VBD,뒤늦은,뒤늦은,뒤늦은,,뒤늦은,뒤늦은,,뒤늦은,NaN
71,belated,VBD,뒤늦은,뒤늦은,뒤늦은,,뒤늦은,뒤늦은,on time,뒤늦은,long-delayed
72,belfried,VBD,종루가 있는,종루가 있는,종루가 있는,,종루가 있는,종루가 있는,,종루가 있는,NaN
73,belt,VBD,"[비격식]  세게 치다, 강타하다      4.    ","  세게 치다, 강타하다      4","  세게 치다, 강타하다      4",,"  세게 치다, 강타하다      4","세게 치다, 강타하다 4",,"세게 치다, 강타하다 4",ring
74,belted,VBD,띠[벨트]를 두른,띠[벨트]를 두른,띠[벨트]를 두른,,띠[벨트]를 두른,띠를 두른,loose,띠를 두른,surrounded
75,bemazed,VBD,"[고어]  당황한, 혼란스러운  ","  당황한, 혼란스러운  ","  당황한, 혼란스러운  ",,"  당황한, 혼란스러운  ","당황한, 혼란스러운",,"당황한, 혼란스러운",NaN
76,bemedaled,VBD,훈장[메달]을 단[받은],훈장[메달]을 단[받은],훈장[메달]을 단[받은],,훈장[메달]을 단[받은],훈장,,훈장,NaN
77,bemused,VBD,어리벙벙한 (=bewildered),어리벙벙한 (=bewildered),어리벙벙한 (=bewildered),,어리벙벙한 (=bewildered),어리벙벙한 ,disinterested,어리벙벙한 ,absent
78,beneficed,VBD,성직록을 지급받는,성직록을 지급받는,성직록을 지급받는,,성직록을 지급받는,성직록을 지급받는,,성직록을 지급받는,NaN
79,benempted,VBD,BENAME의 과거 분사.,BENAME의 과거 분사.,BENAME의 과거 분사.,,BENAME의 과거 분사.,BENAME의 과거 분사.,,BENAME의 과거 분사.,NaN
80,benumbed,VBD,감각을 잃은,감각을 잃은,감각을 잃은,,감각을 잃은,감각을 잃은,,감각을 잃은,asleep
81,berthed,VBD,"  (배를) 정박시키다, (배가) 정박지로 들어가다  ","(배를) 정박시키다, (배가) 정박지로 들어가다  ","(배를) 정박시키다, (배가) 정박지로 들어가다  ",,"(배를) 정박시키다, (배가) 정박지로 들어가다  ", 정박지로 들어가다,take off, 정박지로 들어가다,settle
82,beshawled,VBD,숄을 두른,숄을 두른,숄을 두른,,숄을 두른,숄을 두른,,숄을 두른,NaN
83,besotted,VBD,(…이 좋아/…에 빠져) 정신을 못 차리는,(…이 좋아/…에 빠져) 정신을 못 차리는,(…이 좋아/…에 빠져) 정신을 못 차리는,,(…이 좋아/…에 빠져) 정신을 못 차리는, 정신을 못 차리는,, 정신을 못 차리는,cooked
84,bespectacled,VBD,[격식]  안경을 쓴,  안경을 쓴,  안경을 쓴,,  안경을 쓴,안경을 쓴,,안경을 쓴,NaN
85,bevelled,VBD,"  (면이) 비스듬한, 사면인  ","(면이) 비스듬한, 사면인  ","(면이) 비스듬한, 사면인  ",,"(면이) 비스듬한, 사면인  "," 비스듬한, 사면인",neglect," 비스듬한, 사면인",tend
86,bewigged,VBD,[격식]  가발을 쓴,  가발을 쓴,  가발을 쓴,,  가발을 쓴,가발을 쓴,,가발을 쓴,NaN
87,bewildered,VBD,"  He turned around, with a bewildered look on his face.      그는 얼굴에 어리둥절한 표정을 지으며 돌아보았다.  ",Longer,Longer,,Longer,Longer,clear,Longer,awed
88,biforked,VBD,두 갈래 진,두 갈래 진,두 갈래 진,,두 갈래 진,두 갈래 진,,두 갈래 진,NaN
89,bifurcated,VBD,(=BIFURCATE),(=BIFURCATE),(=BIFURCATE),,(=BIFURCATE),,,,bifurcate
90,bighearted,VBD,"  아주 친절한, 너그러운  ","아주 친절한, 너그러운  ","아주 친절한, 너그러운  ",,"아주 친절한, 너그러운  ","아주 친절한, 너그러운",,"아주 친절한, 너그러운",charitable
91,bigoted,VBD,편견이 아주 심한,편견이 아주 심한,편견이 아주 심한,,편견이 아주 심한,편견이 아주 심한,fair,편견이 아주 심한,chauvinistic
92,billed,VBD,[보통 복합어를 이루어] (어떤) 부리를 가진, (어떤) 부리를 가진, (어떤) 부리를 가진,, (어떤) 부리를 가진, 부리를 가진,, 부리를 가진,publicized
93,bistered,VBD,암갈색을 띤.,암갈색을 띤.,암갈색을 띤.,,암갈색을 띤.,암갈색을 띤.,,암갈색을 띤.,brunet
94,bladed,VBD,"  [보통 복합어를 이루어] (…의) 잎이 있는, (…의) 날이 있는  ","[보통 복합어를 이루어] (…의) 잎이 있는, (…의) 날이 있는  ","[보통 복합어를 이루어] (…의) 잎이 있는, (…의) 날이 있는  ",,"[보통 복합어를 이루어] (…의) 잎이 있는, (…의) 날이 있는  ",  날이 있는,,  날이 있는,NaN
95,blamed,VBD,"[미·속어]  [DAMNED의 완곡어] 지긋지긋한, 빌어먹을, 고약한      2.    [부사][구어]  몹시, 엄청나게  ",  [DAMNED의 완곡어,  [DAMNED의 완곡어,,  [DAMNED의 완곡어,[DAMNED의 완곡어,,[DAMNED의 완곡어,blasted
96,blanked,VBD,"[美]  왕따 당한, 따돌림 받는.  ","  왕따 당한, 따돌림 받는","  왕따 당한, 따돌림 받는",,"  왕따 당한, 따돌림 받는","왕따 당한, 따돌림 받는",fail,"왕따 당한, 따돌림 받는",clobber
97,blanketed,VBD,전반[전면]적,전반[전면]적,전반[전면]적,,전반[전면]적,전반적,let go,전반적,coat
98,blasted,VBD,[비격식]  빌어먹을,  빌어먹을,  빌어먹을,,  빌어먹을,빌어먹을,,빌어먹을,blamed
99,bleached,VBD,표백한,표백한,표백한,,표백한,표백한,brunet,표백한,golden
100,blight,VBD,"  망치다, 엉망으로 만들다      2.    [명사]  (곡식의) 병충해      3.    [명사]  어두운 그림자(를 드리우는 것)  ",Longer,Longer,,Longer,Longer,goodness,Longer,canker
101,blindfolded,VBD,눈가리개를 한,눈가리개를 한,눈가리개를 한,,눈가리개를 한,눈가리개를 한,,눈가리개를 한,NaN
102,blinkered,VBD,"[못마땅함]  시야가 좁은, 편협한 (=narrow-minded)  ","  시야가 좁은, 편협한 (=narrow-minded)  ","  시야가 좁은, 편협한 (=narrow-minded)  ",,"  시야가 좁은, 편협한 (=narrow-minded)  ","시야가 좁은, 편협한 ",,"시야가 좁은, 편협한 ",NaN
103,blobbed,VBD,단발인,단발인,단발인,,단발인,단발인,tighten,단발인,protrude
104,blockade,VBD,(특히 항구를) 봉쇄하다,(특히 항구를) 봉쇄하다,(특히 항구를) 봉쇄하다,,(특히 항구를) 봉쇄하다, 봉쇄하다,opening, 봉쇄하다,closure
105,blockheaded,VBD,"  멍청이 같은, 바보 같은.  ","멍청이 같은, 바보 같은.  ","멍청이 같은, 바보 같은.  ",,"멍청이 같은, 바보 같은.  ","멍청이 같은, 바보 같은.",,"멍청이 같은, 바보 같은.",dense
106,bloodied,VBD,피투성이의,피투성이의,피투성이의,,피투성이의,피투성이의,closed,피투성이의,bloodstained
107,blotched,VBD,얼룩진,얼룩진,얼룩진,,얼룩진,얼룩진,,얼룩진,dotted
108,blowzed,VBD,(=BLOWZY),(=BLOWZY),(=BLOWZY),,(=BLOWZY),,,,NaN
109,blurt,VBD,불쑥 내뱉다[말하다],불쑥 내뱉다[말하다],불쑥 내뱉다[말하다],,불쑥 내뱉다[말하다],불쑥 내뱉다,conceal,불쑥 내뱉다,babble
110,bobbed,VBD,단발인,단발인,단발인,,단발인,단발인,,단발인,cropped
111,bobtailed,VBD,꼬리를 자른,꼬리를 자른,꼬리를 자른,,꼬리를 자른,꼬리를 자른,,꼬리를 자른,NaN
112,boldhearted,VBD,"  대담한, 두려움을 모르는.  ","대담한, 두려움을 모르는.  ","대담한, 두려움을 모르는.  ",,"대담한, 두려움을 모르는.  ","대담한, 두려움을 모르는.",,"대담한, 두려움을 모르는.",NaN
113,bombed,VBD,[비격식]  고주망태가 된,  고주망태가 된,  고주망태가 된,,  고주망태가 된,고주망태가 된,straight,고주망태가 된,faced
114,booted,VBD,"  부츠[장화]를 신은, [속어] 해고당한, [조류] 정강이뼈에 깃털이 난  ","부츠[장화]를 신은, [속어] 해고당한, [조류] 정강이뼈에 깃털이 난  ","부츠[장화]를 신은, [속어] 해고당한, [조류] 정강이뼈에 깃털이 난  ",,"부츠[장화]를 신은, [속어] 해고당한, [조류] 정강이뼈에 깃털이 난  ",부츠 정강이뼈에 깃털이 난,,부츠 정강이뼈에 깃털이 난,brogan
115,bootied,VBD,"  부츠[장화]를 신은, [속어] 해고당한, [조류] 정강이뼈에 깃털이 난  ","부츠[장화]를 신은, [속어] 해고당한, [조류] 정강이뼈에 깃털이 난  ","부츠[장화]를 신은, [속어] 해고당한, [조류] 정강이뼈에 깃털이 난  ",,"부츠[장화]를 신은, [속어] 해고당한, [조류] 정강이뼈에 깃털이 난  ",부츠 정강이뼈에 깃털이 난,,부츠 정강이뼈에 깃털이 난,NaN
116,boozed,VBD,[비격식]  술을 진탕 마시다,  술을 진탕 마시다,  술을 진탕 마시다,,  술을 진탕 마시다,술을 진탕 마시다,straight,술을 진탕 마시다,faced
117,bothsided,VBD,"  양면이 있는, 양쪽에 듣는  ","양면이 있는, 양쪽에 듣는  ","양면이 있는, 양쪽에 듣는  ",,"양면이 있는, 양쪽에 듣는  ","양면이 있는, 양쪽에 듣는",,"양면이 있는, 양쪽에 듣는",NaN
118,bowed,VBD,"  굽은, 머리를 숙인  ","굽은, 머리를 숙인  ","굽은, 머리를 숙인  ",,"굽은, 머리를 숙인  ","굽은, 머리를 숙인",,"굽은, 머리를 숙인",rounded
119,bowlegged,VBD,"  내반슬의, 오각의  ","내반슬의, 오각의  ","내반슬의, 오각의  ",,"내반슬의, 오각의  ","내반슬의, 오각의",,"내반슬의, 오각의",NaN
120,branched,VBD,가지가 있는,가지가 있는,가지가 있는,,가지가 있는,가지가 있는,,가지가 있는,prorated
121,branded,VBD,유명 상표의,유명 상표의,유명 상표의,,유명 상표의,유명 상표의,,유명 상표의,scorched
122,brandied,VBD,"  브랜디에 담근, 브랜디로 맛을 낸  ","브랜디에 담근, 브랜디로 맛을 낸  ","브랜디에 담근, 브랜디로 맛을 낸  ",,"브랜디에 담근, 브랜디로 맛을 낸  ","브랜디에 담근, 브랜디로 맛을 낸",,"브랜디에 담근, 브랜디로 맛을 낸",NaN
123,brangled,VBD,유명 상표의,유명 상표의,유명 상표의,,유명 상표의,유명 상표의,,유명 상표의,NaN
124,brazenfaced,VBD,"  뻔뻔스러운, 염치없는  ","뻔뻔스러운, 염치없는  ","뻔뻔스러운, 염치없는  ",,"뻔뻔스러운, 염치없는  ","뻔뻔스러운, 염치없는",,"뻔뻔스러운, 염치없는",barefaced
125,breasted,VBD,"  [보통 복합어를 이루어] 가슴이 있는, 가슴 부분을 댄 ((갑옷 등))  ","[보통 복합어를 이루어] 가슴이 있는, 가슴 부분을 댄 ((갑옷 등))  ","[보통 복합어를 이루어] 가슴이 있는, 가슴 부분을 댄 ((갑옷 등))  ",,"[보통 복합어를 이루어] 가슴이 있는, 가슴 부분을 댄 ((갑옷 등))  "," 가슴이 있는, 가슴 부분을 댄 ",," 가슴이 있는, 가슴 부분을 댄 ",NaN
126,brocaded,VBD,양단으로 만든[장식한],양단으로 만든[장식한],양단으로 만든[장식한],,양단으로 만든[장식한],양단으로 만든,,양단으로 만든,NaN
127,bronzed,VBD,(햇볕에 보기 좋게 탄) 구릿빛 피부의 (=tanned),(햇볕에 보기 좋게 탄) 구릿빛 피부의 (=tanned),(햇볕에 보기 좋게 탄) 구릿빛 피부의 (=tanned),,(햇볕에 보기 좋게 탄) 구릿빛 피부의 (=tanned),,,,blowsy
128,brooked,VBD,[격식]  용납하지 않다,  용납하지 않다,  용납하지 않다,,  용납하지 않다,용납하지 않다,,용납하지 않다,branch
129,bruckled,VBD,"  작동을 안 하는, 무용지물이 된  ","작동을 안 하는, 무용지물이 된  ","작동을 안 하는, 무용지물이 된  ",,"작동을 안 하는, 무용지물이 된  ","작동을 안 하는, 무용지물이 된",,"작동을 안 하는, 무용지물이 된",NaN
130,brushed,VBD,"  잔털이 있는, 잔털 끝손질의  ","잔털이 있는, 잔털 끝손질의  ","잔털이 있는, 잔털 끝손질의  ",,"잔털이 있는, 잔털 끝손질의  ","잔털이 있는, 잔털 끝손질의",,"잔털이 있는, 잔털 끝손질의",stuffed
