Column1,word,type,v1,v2,v3,유의어,v4,v5,반의어,v6,동의어
37,dehumanize,VB,"  인간성을 말살시키다, 비인간적으로 만들다  ","인간성을 말살시키다, 비인간적으로 만들다  ","인간성을 말살시키다, 비인간적으로 만들다  ",,"인간성을 말살시키다, 비인간적으로 만들다  ","인간성을 말살시키다, 비인간적으로 만들다",,"인간성을 말살시키다, 비인간적으로 만들다",brutalize
38,dehydrogenize,VB,  =DEHYDROGENATE  ,=DEHYDROGENATE  ,=DEHYDROGENATE  ,,=DEHYDROGENATE  ,=DEHYDROGENATE,,=DEHYDROGENATE,NaN
39,demilitarize,VB,  (어떤 지역을) 비무장 지대로 만들다 (↔militarize)  ,(어떤 지역을) 비무장 지대로 만들다 (↔militarize)  ,(어떤 지역을) 비무장 지대로 만들다 (↔militarize)  ,,(어떤 지역을) 비무장 지대로 만들다 (↔militarize)  ,,,,shut off
40,demineralize,VB,"  (물에서) 염분을 제거하다, 탈염(脫鹽)하다  ","(물에서) 염분을 제거하다, 탈염(脫鹽)하다  ","(물에서) 염분을 제거하다, 탈염(脫鹽)하다  ",,"(물에서) 염분을 제거하다, 탈염(脫鹽)하다  ",하다,,하다,NaN
41,democratize,VB,[격식]  민주화하다  ,  민주화하다  ,  민주화하다  ,,  민주화하다  ,민주화하다,assist,민주화하다,even up
42,demonize,VB,  악마로 만들다[묘사하다]  ,악마로 만들다[묘사하다]  ,악마로 만들다[묘사하다]  ,,악마로 만들다[묘사하다]  ,악마로 만들다,celebrate,악마로 만들다,criticize
43,denationalize,VB,"  (국영으로 운영되던 기업·산업을) 비국영화[민영화]하다 (=privatize), (↔nationalize)  ",Longer,Longer,,Longer,Longer,,Longer,leave be
44,denaturize,VB,  (=denature)  ,(=denature)  ,(=denature)  ,,(=denature)  ,,,,NaN
45,depersonalize,VB,  몰개성화[비인격화]하다  ,몰개성화[비인격화]하다  ,몰개성화[비인격화]하다  ,,몰개성화[비인격화]하다  ,몰개성화하다,,몰개성화하다,NaN
46,depose,VB,  (특히 통치자를 권좌에서) 물러나게 하다[퇴위/폐위시키다]  ,(특히 통치자를 권좌에서) 물러나게 하다[퇴위/폐위시키다]  ,(특히 통치자를 권좌에서) 물러나게 하다[퇴위/폐위시키다]  ,,(특히 통치자를 권좌에서) 물러나게 하다[퇴위/폐위시키다]  , 물러나게 하다,obey, 물러나게 하다,dethrone
47,deputize,VB,  (보통 상급자의 직무를) 대행하다  ,(보통 상급자의 직무를) 대행하다  ,(보통 상급자의 직무를) 대행하다  ,,(보통 상급자의 직무를) 대행하다  , 대행하다,, 대행하다,authorize
48,deurbanize,VB,  (도시)에서 도시적인 특징을 없애다[빼앗다].  ,(도시)에서 도시적인 특징을 없애다[빼앗다].  ,(도시)에서 도시적인 특징을 없애다[빼앗다].  ,,(도시)에서 도시적인 특징을 없애다[빼앗다].  ,에서 도시적인 특징을 없애다.,,에서 도시적인 특징을 없애다.,NaN
49,diabolify,VB,  악마화하다  ,악마화하다  ,악마화하다  ,,악마화하다  ,악마화하다,,악마화하다,NaN
50,digitalize,VB,  (=digitize)  ,(=digitize)  ,(=digitize)  ,,(=digitize)  ,,,,NaN
51,diphthongize,VB,[음성]  이중모음화하다  ,  이중모음화하다  ,  이중모음화하다  ,,  이중모음화하다  ,이중모음화하다,,이중모음화하다,NaN
52,disimprove,VB,  악화시키다  ,악화시키다  ,악화시키다  ,,악화시키다  ,악화시키다,ascend,악화시키다,depreciate
53,disprove,VB,  틀렸음을 입증하다 (↔prove)  ,틀렸음을 입증하다 (↔prove)  ,틀렸음을 입증하다 (↔prove)  ,,틀렸음을 입증하다 (↔prove)  ,틀렸음을 입증하다 ,approve,틀렸음을 입증하다 ,confound
54,disqualify,VB,"  자격을 박탈하다, 실격시키다 (=bar)  ","자격을 박탈하다, 실격시키다 (=bar)  ","자격을 박탈하다, 실격시키다 (=bar)  ",,"자격을 박탈하다, 실격시키다 (=bar)  ","자격을 박탈하다, 실격시키다 ",allow,"자격을 박탈하다, 실격시키다 ",exclude
55,doeskin,VB,  암사슴 가죽(제)의  ,암사슴 가죽(제)의  ,암사슴 가죽(제)의  ,,암사슴 가죽(제)의  ,암사슴 가죽의,,암사슴 가죽의,NaN
56,economize,VB,"  절약하다, 아끼다  ","절약하다, 아끼다  ","절약하다, 아끼다  ",,"절약하다, 아끼다  ","절약하다, 아끼다",squander,"절약하다, 아끼다",cut down
57,eliquate,VB,"  액화시키다, 제련하다  ","액화시키다, 제련하다  ","액화시키다, 제련하다  ",,"액화시키다, 제련하다  ","액화시키다, 제련하다",,"액화시키다, 제련하다",NaN
58,embolize,VB,  (혈관)에 색전을 일으키다.  ,(혈관)에 색전을 일으키다.  ,(혈관)에 색전을 일으키다.  ,,(혈관)에 색전을 일으키다.  ,에 색전을 일으키다.,,에 색전을 일으키다.,NaN
59,epitomize,VB,"  완벽한 보기이다, 전형적으로 보여주다  ","완벽한 보기이다, 전형적으로 보여주다  ","완벽한 보기이다, 전형적으로 보여주다  ",,"완벽한 보기이다, 전형적으로 보여주다  ","완벽한 보기이다, 전형적으로 보여주다",,"완벽한 보기이다, 전형적으로 보여주다",embody
60,eulogize,VB,[격식]  칭송하다  ,  칭송하다  ,  칭송하다  ,,  칭송하다  ,칭송하다,criticize,칭송하다,commend
61,evangelize,VB,  전도하다  ,전도하다  ,전도하다  ,,전도하다  ,전도하다,,전도하다,proclaim
62,expurgate,VB,[격식]  (책이나 기록에서 부적당한 부분을) 삭제하다  ,  (책이나 기록에서 부적당한 부분을) 삭제하다  ,  (책이나 기록에서 부적당한 부분을) 삭제하다  ,,  (책이나 기록에서 부적당한 부분을) 삭제하다  , 삭제하다,open, 삭제하다,bowdlerize
63,extemporize,VB,[격식]  (연설·연주 등을) 즉흥적으로 하다 (=improvise)  ,  (연설·연주 등을) 즉흥적으로 하다 (=improvise)  ,  (연설·연주 등을) 즉흥적으로 하다 (=improvise)  ,,  (연설·연주 등을) 즉흥적으로 하다 (=improvise)  ,,prepare,,devise
64,factorize,VB,[수학]  인수분해하다  ,  인수분해하다  ,  인수분해하다  ,,  인수분해하다  ,인수분해하다,,인수분해하다,NaN
65,familiarize,VB,  익숙하게 하다 (=acquaint)  ,익숙하게 하다 (=acquaint)  ,익숙하게 하다 (=acquaint)  ,,익숙하게 하다 (=acquaint)  ,익숙하게 하다 ,disorder,익숙하게 하다 ,naturalize
66,filthify,VB,  더럽히다  ,더럽히다  ,더럽히다  ,,더럽히다  ,더럽히다,,더럽히다,NaN
67,finance,VB,  자금[재원]을 대다 (=fund)  ,자금[재원]을 대다 (=fund)  ,자금[재원]을 대다 (=fund)  ,,자금[재원]을 대다 (=fund)  ,자금을 대다 ,,자금을 대다 ,business
68,focalize,VB,[격식]  (…에 …의) 초점을 맞추다  ,  (…에 …의) 초점을 맞추다  ,  (…에 …의) 초점을 맞추다  ,,  (…에 …의) 초점을 맞추다  , 초점을 맞추다,separate, 초점을 맞추다,focus
69,foreignize,VB,"  이국적으로 하다, 이질적으로 만들다  ","이국적으로 하다, 이질적으로 만들다  ","이국적으로 하다, 이질적으로 만들다  ",,"이국적으로 하다, 이질적으로 만들다  ","이국적으로 하다, 이질적으로 만들다",,"이국적으로 하다, 이질적으로 만들다",NaN
70,fraternize,VB,  (특히 그래선 안 될 사람에게) 친하게 대하다  ,(특히 그래선 안 될 사람에게) 친하게 대하다  ,(특히 그래선 안 될 사람에게) 친하게 대하다  ,,(특히 그래선 안 될 사람에게) 친하게 대하다  , 친하게 대하다,ignore, 친하게 대하다,be friendly
71,frondose,VB,"[식물]  엽상체가 있는, 엽상체 비슷한. (또는 frondous)  ","  엽상체가 있는, 엽상체 비슷한","  엽상체가 있는, 엽상체 비슷한",,"  엽상체가 있는, 엽상체 비슷한","엽상체가 있는, 엽상체 비슷한",,"엽상체가 있는, 엽상체 비슷한",NaN
72,fulfiller,VB,  성취감을 느끼는 (↔unfulfilled)  ,성취감을 느끼는 (↔unfulfilled)  ,성취감을 느끼는 (↔unfulfilled)  ,,성취감을 느끼는 (↔unfulfilled)  ,성취감을 느끼는 ,,성취감을 느끼는 ,NaN
73,gentilize,VB,  유대인이 아닌 것처럼 만들다 (=gentilise)  ,유대인이 아닌 것처럼 만들다 (=gentilise)  ,유대인이 아닌 것처럼 만들다 (=gentilise)  ,,유대인이 아닌 것처럼 만들다 (=gentilise)  ,유대인이 아닌 것처럼 만들다 ,,유대인이 아닌 것처럼 만들다 ,NaN
74,gigantize,VB,"  거대한 (=enormous, huge)  ","거대한 (=enormous, huge)  ","거대한 (=enormous, huge)  ",,"거대한 (=enormous, huge)  ",거대한 ,,거대한 ,NaN
75,glorify,VB,[흔히 못마땅함]  미화하다      2.    ,  미화하다      2,  미화하다      2,,  미화하다      2,미화하다 2,criticize,미화하다 2,exalt
76,governmentalize,VB,  정부의  ,정부의  ,정부의  ,,정부의  ,정부의,,정부의,NaN
77,gowpen,VB," lift, clear      2.      (무장·장비 등을)      3.      (직위 등을)  ",Longer,Longer,,Longer,Longer,,Longer,NaN
78,hamletize,VB,  햄릿처럼 행동하다  ,햄릿처럼 행동하다  ,햄릿처럼 행동하다  ,,햄릿처럼 행동하다  ,햄릿처럼 행동하다,,햄릿처럼 행동하다,NaN
79,helpable,VB,  도울 수 있는  ,도울 수 있는  ,도울 수 있는  ,,도울 수 있는  ,도울 수 있는,,도울 수 있는,NaN
80,heparinize,VB,"[생화학]  (응고를 막기 위해, 혈액 또는 혈장(血漿)을) 헤파린 처리하다.  ","  (응고를 막기 위해, 혈액 또는 혈장(血漿)을) 헤파린 처리하다","  (응고를 막기 위해, 혈액 또는 혈장(血漿)을) 헤파린 처리하다",,"  (응고를 막기 위해, 혈액 또는 혈장(血漿)을) 헤파린 처리하다", 헤파린 처리하다,, 헤파린 처리하다,NaN
81,hermitize,VB,"  혼자서 살다, 은둔 생활을 하다.  ","혼자서 살다, 은둔 생활을 하다.  ","혼자서 살다, 은둔 생활을 하다.  ",,"혼자서 살다, 은둔 생활을 하다.  ","혼자서 살다, 은둔 생활을 하다.",,"혼자서 살다, 은둔 생활을 하다.",NaN
82,horizontalize,VB,  …을 수평으로 배열하다.  ,…을 수평으로 배열하다.  ,…을 수평으로 배열하다.  ,,…을 수평으로 배열하다.  ,…을 수평으로 배열하다.,,…을 수평으로 배열하다.,NaN
83,humanize,VB,"  인간답게 만들다, 인도적이 되게 하다  ","인간답게 만들다, 인도적이 되게 하다  ","인간답게 만들다, 인도적이 되게 하다  ",,"인간답게 만들다, 인도적이 되게 하다  ","인간답게 만들다, 인도적이 되게 하다",,"인간답게 만들다, 인도적이 되게 하다",tame
84,hybridize,VB,"[전문 용어]  잡종이 되다, 잡종을 만들다  ","  잡종이 되다, 잡종을 만들다  ","  잡종이 되다, 잡종을 만들다  ",,"  잡종이 되다, 잡종을 만들다  ","잡종이 되다, 잡종을 만들다",disconnect,"잡종이 되다, 잡종을 만들다",adulterate
85,hygienize,VB,  위생적인 (↔unhygienic)  ,위생적인 (↔unhygienic)  ,위생적인 (↔unhygienic)  ,,위생적인 (↔unhygienic)  ,위생적인 ,,위생적인 ,NaN
86,hypophysectomize,VB,[의학]  뇌하수체(腦下垂體) 절제를 하다.  ,  뇌하수체(腦下垂體) 절제를 하다,  뇌하수체(腦下垂體) 절제를 하다,,  뇌하수체(腦下垂體) 절제를 하다,뇌하수체 절제를 하다,,뇌하수체 절제를 하다,NaN
87,idealize,VB,  이상화하다  ,이상화하다  ,이상화하다  ,,이상화하다  ,이상화하다,,이상화하다,admire
88,idolize,VB,  숭배하다 (=worship)  ,숭배하다 (=worship)  ,숭배하다 (=worship)  ,,숭배하다 (=worship)  ,숭배하다 ,condemn,숭배하다 ,adore
89,idylize,VB,  목가[전원시]풍으로 하다.  ,목가[전원시]풍으로 하다.  ,목가[전원시]풍으로 하다.  ,,목가[전원시]풍으로 하다.  ,목가풍으로 하다.,,목가풍으로 하다.,NaN
90,immobilize,VB,"  (정상적으로) 움직이지[걷지] 못하게 하다, 고정시키다  ","(정상적으로) 움직이지[걷지] 못하게 하다, 고정시키다  ","(정상적으로) 움직이지[걷지] 못하게 하다, 고정시키다  ",,"(정상적으로) 움직이지[걷지] 못하게 하다, 고정시키다  "," 움직이지 못하게 하다, 고정시키다",allow," 움직이지 못하게 하다, 고정시키다",debilitate
91,immortalize,VB,  (특히 문학작품·영화·그림 등을 통해) 불멸하게 하다[영원성을 부여하다]  ,(특히 문학작품·영화·그림 등을 통해) 불멸하게 하다[영원성을 부여하다]  ,(특히 문학작품·영화·그림 등을 통해) 불멸하게 하다[영원성을 부여하다]  ,,(특히 문학작품·영화·그림 등을 통해) 불멸하게 하다[영원성을 부여하다]  , 불멸하게 하다,, 불멸하게 하다,canonize
92,incommensurate,VB,[격식]  (규모·중요도·품질 등이) (~와) 어울리지 않는 (↔commensurate)  ,  (규모·중요도·품질 등이) (~와) 어울리지 않는 (↔commensurate)  ,  (규모·중요도·품질 등이) (~와) 어울리지 않는 (↔commensurate)  ,,  (규모·중요도·품질 등이) (~와) 어울리지 않는 (↔commensurate)  ,,,,inadequate
93,inconsiderate,VB,"[못마땅함]  사려깊지 못한 (=thoughtless), (↔considerate)  ","  사려깊지 못한 (=thoughtless), (↔considerate)  ","  사려깊지 못한 (=thoughtless), (↔considerate)  ",,"  사려깊지 못한 (=thoughtless), (↔considerate)  ",사려깊지 못한 ,generous,사려깊지 못한 ,brash
94,inconsolate,VB,  슬픔을 가눌 수 없는  ,슬픔을 가눌 수 없는  ,슬픔을 가눌 수 없는  ,,슬픔을 가눌 수 없는  ,슬픔을 가눌 수 없는,,슬픔을 가눌 수 없는,NaN
95,increate,VB,"  [고어·시어] 창조되지 않은, (신(神)처럼) 창조되지 않고 본래부터 존재하는  ","[고어·시어] 창조되지 않은, (신(神)처럼) 창조되지 않고 본래부터 존재하는  ","[고어·시어] 창조되지 않은, (신(神)처럼) 창조되지 않고 본래부터 존재하는  ",,"[고어·시어] 창조되지 않은, (신(神)처럼) 창조되지 않고 본래부터 존재하는  "," 창조되지 않은,  창조되지 않고 본래부터 존재하는",," 창조되지 않은,  창조되지 않고 본래부터 존재하는",NaN
96,individualize,VB,"  개인[개개]의 요구에 맞추다, 개별화하다  ","개인[개개]의 요구에 맞추다, 개별화하다  ","개인[개개]의 요구에 맞추다, 개별화하다  ",,"개인[개개]의 요구에 맞추다, 개별화하다  ","개인의 요구에 맞추다, 개별화하다",combine,"개인의 요구에 맞추다, 개별화하다",ascertain
97,induce,VB,"[격식]  설득하다, 유도하다      2.    ","  설득하다, 유도하다      2","  설득하다, 유도하다      2",,"  설득하다, 유도하다      2","설득하다, 유도하다 2",discourage,"설득하다, 유도하다 2",breed
98,industrialize,VB,  산업[공업]화하다[되다]  ,산업[공업]화하다[되다]  ,산업[공업]화하다[되다]  ,,산업[공업]화하다[되다]  ,산업,,산업,equip
99,initialize,VB,[컴퓨터]  초기 내용을 설정하다  ,  초기 내용을 설정하다  ,  초기 내용을 설정하다  ,,  초기 내용을 설정하다  ,초기 내용을 설정하다,,초기 내용을 설정하다,load
100,inseparate,VB,  (…로부터) 나뉘어져 있지 않은.  ,(…로부터) 나뉘어져 있지 않은.  ,(…로부터) 나뉘어져 있지 않은.  ,,(…로부터) 나뉘어져 있지 않은.  , 나뉘어져 있지 않은.,, 나뉘어져 있지 않은.,NaN
101,intelligize,VB,  더 똑똑해지다  ,더 똑똑해지다  ,더 똑똑해지다  ,,더 똑똑해지다  ,더 똑똑해지다,,더 똑똑해지다,NaN
102,intensify,VB,"  (정도·강도가) 심해지다[격렬해지다]; 심화시키다, 강화하다 (=heighten)  ","(정도·강도가) 심해지다[격렬해지다]; 심화시키다, 강화하다 (=heighten)  ","(정도·강도가) 심해지다[격렬해지다]; 심화시키다, 강화하다 (=heighten)  ",,"(정도·강도가) 심해지다[격렬해지다]; 심화시키다, 강화하다 (=heighten)  ",,diminish,,aggravate
103,internationalize,VB,"  국제적인 관리[보호]하에 두다, 국제화하다  ","국제적인 관리[보호]하에 두다, 국제화하다  ","국제적인 관리[보호]하에 두다, 국제화하다  ",,"국제적인 관리[보호]하에 두다, 국제화하다  ","국제적인 관리하에 두다, 국제화하다",,"국제적인 관리하에 두다, 국제화하다",NaN
104,interwove,VB,  (실·털실 등을) 섞어 짜다[넣다]  ,(실·털실 등을) 섞어 짜다[넣다]  ,(실·털실 등을) 섞어 짜다[넣다]  ,,(실·털실 등을) 섞어 짜다[넣다]  , 섞어 짜다,untwist, 섞어 짜다,braid
105,irate,VB,"  성난, 격분한  ","성난, 격분한  ","성난, 격분한  ",,"성난, 격분한  ","성난, 격분한",happy,"성난, 격분한",enraged
106,iridize,VB,"  …에 이리듐을 씌우다, 무지개색[훈색]으로 하다. ~di·z?·tion  ","…에 이리듐을 씌우다, 무지개색[훈색]으로 하다. ~di·z?·tion  ","…에 이리듐을 씌우다, 무지개색[훈색]으로 하다. ~di·z?·tion  ",,"…에 이리듐을 씌우다, 무지개색[훈색]으로 하다. ~di·z?·tion  ","…에 이리듐을 씌우다, 무지개색으로 하다. ~di·z?·tion",,"…에 이리듐을 씌우다, 무지개색으로 하다. ~di·z?·tion",NaN
107,itemize,VB,"  항목별로 적다[말하다], 명세서를 작성하다  ","항목별로 적다[말하다], 명세서를 작성하다  ","항목별로 적다[말하다], 명세서를 작성하다  ",,"항목별로 적다[말하다], 명세서를 작성하다  ","항목별로 적다, 명세서를 작성하다",estimate,"항목별로 적다, 명세서를 작성하다",catalog
108,kaolinize,VB,"  (kaolinite를 함유하는 광물을) 풍화 작용을 일으키게 해서 카올린(kaolin)으로 바꾸다, 카올린화하다.  ",Longer,Longer,,Longer,Longer,,Longer,NaN
109,keep,VB,"  (특정한 상태위치를) 유지하다[유지하게 하다], (특정한 상태위치에)계속 있다[있게 하다]      2.    ",Longer,Longer,,Longer,Longer,fail,Longer,conduct
110,kenspeck,VB,"[스코·북잉글]  눈에 띄는, 명백한  ","  눈에 띄는, 명백한  ","  눈에 띄는, 명백한  ",,"  눈에 띄는, 명백한  ","눈에 띄는, 명백한",,"눈에 띄는, 명백한",NaN
111,kiddish,VB,  (=CHILDISH)  ,(=CHILDISH)  ,(=CHILDISH)  ,,(=CHILDISH)  ,,,,NaN
112,kittenish,VB,"[구식]  아양을 떠는, 교태를 부리는  ","  아양을 떠는, 교태를 부리는  ","  아양을 떠는, 교태를 부리는  ",,"  아양을 떠는, 교태를 부리는  ","아양을 떠는, 교태를 부리는",stiff,"아양을 떠는, 교태를 부리는",coquettish
