,question_num,right_ans
38,q20,"The kidneys filter, absorb, and re-release waste and produce urine. Hormones are secreted to maintain homeostasis, and diseases occur when such kidney abnormalities occur."
39,q20,"The kidneys produce urine through waste filtration, absorption, and re-secretion. Hormones are secreted to maintain homeostasis, and diseases occur when such kidney abnormalities occur."
40,q21,"The sympathetic nerves act, and the heart beats fast, and the muscles use a lot of energy, making breathing difficult for smooth oxygen supply. As a result, oxygen becomes insufficient, and waste is discharged to maintain homeostasis and sweat."
41,q21,"The sympathetic nerves act to speed up the heart rate, use a lot of muscle energy, and breathe quickly for smooth oxygen supply. As a result, oxygen becomes insufficient, and waste is discharged to maintain homeostasis and sweat."
42,q22,"As water vapor condenses, the weight of clouds increases and snow or rain falls, depending on the temperature difference, it snows when the temperature is low, and otherwise, it rains."
43,q22,"Water vapor condenses to increase the weight of clouds, and depending on the temperature difference, it snows when the temperature is low, and otherwise, it rains."
44,q23,"With the rotation axis tilted, the rotation and rotation are performed at the same time. At this time, the season changes depending on the distance from the sun. Due to the slope of the Earth's rotation axis, there is a difference in solar energy incident per unit area. "
45,q23,"The earth rotates with its axis tilted. At this time, the season changes depending on the distance from the sun. Due to the slope of the Earth's rotation axis, there is a difference in solar energy incident per unit area. "
46,q24,"Goryeo actively stayed with other countries and actively conducted trade activities to recognize and accept the culture of other countries based on excellent political power. As a result, Goryeo served as an opportunity for the development of commerce and trade."
47,q24,"Goryeo actively engaged in trade activities to recognize and accept their culture by actively interacting with other countries based on excellent political power. As a result, Goryeo served as an opportunity for the development of commerce and trade."
48,q25,The magnet is connected to the electrical circuit to form a strong magnetic field and apply strong electricity.
49,q25,"By connecting a magnet to an electrical circuit, it forms a strong magnetic field and then applies a strong electricity."
50,q26,Changing the direction of the current reverses the direction of the magnetic field and changes the direction of the needle on the compass.
51,q26,Changing the direction of the current reverses the direction of the magnetic field and changes the direction of the needle on the compass.
52,q27,"Hypothesis is established, experiments are conducted after experimental design, and conclusions are drawn through this."
53,q27,Hypothesis Setting - Experimental Design - Experimental - Conclusion Drawing
54,q28,Experimental results are derived through the process of interpreting the contents of specific data and exploring them.
55,q28,The contents of a specific data are accurately interpreted and the experimental results are derived through the process of exploring them.
56,q29,"The iron plate, whose temperature increases due to the heat of the iron, receives heat above the firing point and causes a fire. "
57,q29,"The iron plate, whose temperature rises due to the heat of the iron, catches heat above the firing point and fires. "
58,q30,The water caused the temperature to drop and the oxygen to shut off the fire.
59,q30,"Water sprayed on the iron plate lowered the temperature, blocked oxygen, and the fire was extinguished."
60,q31,"The rights of the people do not discriminate against people, anyone can have a job, and the right to claim a trial and human rights are guaranteed by the Constitution."
61,q31,"Anyone can have a job without discriminating against people, and the right to claim a trial and human rights are guaranteed by the Constitution."
62,q32,It exists to minimize possible damage due to unfair trials.
63,q32,It exists to minimize cases where damage can be caused by unfair trials.
64,q33,"It exercises judicial power to monitor the legislative parliament and the administrative government, and checks it so as not to be biased toward state power. To resolve conflicts, a trial is conducted and laws are enacted."
65,q33,"Through the exercise of judicial power, it monitors the legislative parliament and the administrative government, and checks it so that it is not biased toward state power. To resolve conflicts smoothly, trials are conducted and laws are enacted."
66,q34,"This is to maximize efficiency through the distribution of work because it is possible to check each other by distributing power, and each field is different."
67,q34,This is to maximize efficiency by distributing power and keeping each other in check and dividing work.
68,q34,This is to protect the freedom and rights of the people by checking and balancing each other so that power is not concentrated in one place.
69,q34,This is to protect the freedom and rights of the people by checking and balancing each other so that no single institution can handle important national affairs at will.
70,q35,Raise the temperature of the water in the beaker. Increase the amount of water further.
71,q35,Change the water in the beaker to hot water. Add more water.
72,q35,Raise the temperature of the water in the beaker. Add more water.
73,q35,Change the water in the beaker to hot water. Increase the amount of water further.
74,q38,"When the pressure is the same, as the temperature of the gas decreases, the volume decreases. As the temperature of the gas in the plastic decreases, the volume decreases, causing the plastic bottle to shrink."
75,q38,"When the pressure is the same, as the temperature of the gas decreases, the volume decreases. As the temperature of the gas in the plastic decreases, the volume decreases, causing the plastic to collapse."
76,q40,This is because the heat transfer speed of metal materials is faster than that of wood materials.
77,q40,This is because metal materials move heat faster than wood materials.
78,q40,This is because metal materials conduct heat better than wood materials.
79,q41,The oxygen in the plastic bag decreased and the carbon dioxide increased.
80,q41,There is less oxygen and more carbon dioxide in the plastic bag.
81,q41,"As humans breathe in oxygen and release carbon dioxide, there is less oxygen and more carbon dioxide in the plastic bag."
82,q41,"Because humans absorb oxygen and release carbon dioxide, there is less oxygen and more carbon dioxide in the plastic bag."
83,q43,"Fossil energy can be eliminated, but solar energy is not exhausted, and it is environmentally friendly."
84,q43,"This is because fossil energy is finite, but solar energy is infinite, and there is no emission of pollutants."
85,q43,"Fossil energy can be eliminated, but solar energy is not depleted and there is no emission of pollutants."
86,q43,"Because there is no difficulty in continuing to use it, and there is no pollution."
87,q45,"The wind blows from high pressure to low pressure, or from a place with a low temperature to a place with a high temperature, because the specific heat of the sand and the sea are different, which causes a temperature difference."
88,q45,"The difference in specific heat between the sand and the sea creates a temperature difference, which causes the wind to blow from high pressure to low pressure."
89,q45,"The difference in specific heat between the sand and the sea creates a temperature difference, which in turn creates a pressure difference and winds."
90,q47,The sunlight is too bright (strong) to see the stars.
91,q47,The sun is too bright to see the stars.
92,q47,The sun shines brighter than the stars shine
93,q49,"Sunlight is refracted toward the center of the lens and condensed in one place, and the place where the sun converges becomes hot."
94,q49,"The convex lens refracts sunlight and collects it in one place, and the place where the sunlight converges becomes hot."
95,q49,"As the sunlight passes through the convex lens, it bends toward the center of the lens and gathers in one place, and the temperature of the place where the sunlight gathers rises."
96,q54,"If the producer disappears, the consumer who eats the producer will die because there is no food, and the next level consumer will also die because there is no food, and the balance of the ecosystem is broken."
97,q54,"The producer becomes the food of the consumer who eats the producer, and the consumer becomes the food of the next consumer, maintaining the balance of the ecosystem."
98,q55,"Without decomposers, dead organisms and their excretions would not be broken down, and our surroundings would be full of dead creatures and their excretions."
99,q55,"Without decomposers, the corpses and excreta of living things will not be decomposed, and our surroundings will be filled with cadavers and excretions of living things."
100,q60,This is because it has evolved to fit the environment in which Sora lives.
101,q60,This is because each evolved differently depending on the environment in which Sora lived.
102,q60,"Where the current is not strong, there are no horns because there is no worry about it being washed away, and where the current is strong, there are horns to withstand the current."
103,q61,"This is because, unlike animals, flies have a cell wall, photosynthesize, have chlorophyll, and do not migrate, but grow on the ground like plants."
104,q61,"This is because, like plants, flies have cell walls, get their nutrients from sunlight, have chlorophyll, and do not migrate and grow on the ground."
105,q63,Cardiopulmonary resuscitation (CPR) delays brain damage by circulating blood even when the heart is paralyzed so that it can continue to supply oxygen to the body and brain.
