,Unnamed: 0,1) Let's talk about what plants need to make their own starch ,Unnamed: 0,",q53_sun,q53_water,""q53_carbon dioxide (CO2), air, "",q53_soil,q53_photosynthesis,q53_quantum,q53_chloroplast,q53_sun.1,q53_water.1,q53_carbon dioxide (CO2), air, .1"",q53_soil.1,q53_Photosynthesis1.q53_Cuteness1,q53_Chloroplast.1"
17,17,"Sunlight, water",17.0,"17,1,1,0,1,0,0, use light, provide water, plants must have carbon dioxide in the process of making their own nutrients"
18,18,"Water, soil, sunlight",18.0,"18,1,0,0,0,0,0 , you have to be exposed to light, you have to provide water, in the process of making your own nutrients, plants have to have carbon dioxide,"
19,19,Sunlight,19.0,"19,1,1,1,0,0,0, to be exposed to light, to be provided with water, in the process of making nutrients for oneself, plants must be provided with carbon dioxide"
20,20,"Carbon dioxide, water, sunlight",20.0,"20,1,1,1,0,0,0, use light, provide water, plants must be provided with carbon dioxide in the process of nourishing themselves"
21,21,"Carbon dioxide, sunlight, water, etc. will be needed.",21.0,"21,1,0,1,1,0,0, use light, water, plants need carbon dioxide in the process of making their own nutrients"
22,22,"I think we need soil, air, sunlight, etc.",22.0,"22,0,1,0,0,0,0,0 , need a lot of light , water , plants need carbon dioxide in the process of making their own nutrients"
23,23,Water,23.0,"23,0,1,0,0,0,0 , it needs a lot of light, it uses water, plants use carbon dioxide in the process of making their own nutrients,,,"
24,24,Water,24.0,"24,1,1,0,1,0,0, there should be light, using water, plants use carbon dioxide in the process of making their own nutrients"
25,25,"water, sunlight, soil",25.0,"25,0,0,0,0,0,0, there should be light, there needs a lot of water, plants use carbon dioxide in the process of making their own nutrients"
26,26,I don't know,26.0,"26,0,1,0,0,0,0, you need light, you need a lot of water, plants use carbon dioxide in the process of making their own nutrients"
27,27,Water,27.0,"27,0,0,0,0,0,0,0 , need light , need water , plants need carbon dioxide in the process of making their own nutrients"
28,28,I don't know.,28.0,"28,0,1,0,0,0, need light, need water, plants need carbon dioxide in the process of making their own nutrients29,1,1,0,1,0,0, you need light, you need water, plants use carbon dioxide in the process of making their own nutrients"
29,29,Pour water,29.0,"30,0,0,0,0,0,0, plants need light, water, plants use carbon dioxide in the process of making their own nutrients"
30,30,I feel the temperature by receiving sunlight and drinking water.,30.0,"31,1,1,0,1,0,1,0, plants need light, water, plants must absorb carbon dioxide in the process of making their own nutrients"
31,31,I don't know,31.0,"32,1,0,0,0,0 plants need sunlight, use sucked water, and in the process of making nutrients for themselves, plants need to absorb carbon dioxide"
32,32,"You should soak up nutrients, nitrogen, etc. in the soil under sunlight and get enough water. The temperature should be moderate",32.0,"33,1,1,0,1,0,0, plants need sunlight, use sucked water, there must be carbon dioxide in the process of making their own nutrients"
33,33,We need sunlight.,33.0,"34,1,1,1,1,0,0, plants need sunlight, roots need to suck water, carbon dioxide should be provided in the process of making their own nutrients"
34,34,"Water, sunlight, soil",34.0,"35,0,1,0,1,0,0, plants need sunlight, roots need to suck water, carbon dioxide in the process of making nutrients for themselves"
35,35,"the sea, soil, and air",35.0,"36,1,0,0,0,0, plants need light energy, roots must absorb water, use carbon dioxide in the process of making nutrients for themselves"
36,36,"Life, nature, water, soil, etc",36.0,"37,1,0,0,0,0, plants use light, roots need to absorb water, need carbon dioxide in the process of making their own nutrients"
37,37,grayish color,37.0,"38,1,1,0,0,0, plants use light, water sucked by roots, carbon dioxide in the process of making nutrients for themselves,"
38,38,the sun,38.0,"39,0,0,0,0,0,0, plants use light, use water sucked by roots, must absorb carbon dioxide in the process of making their own nutrients"
39,39,I did water and oxygen,39.0,"40,1,1,0,1,0,0, plants use light, use water absorbed by roots, use carbon dioxide in the process of making nutrients for themselves,"
40,40,Plants,40.0,"41,1,1,0,1,0,0 plants need light, use water absorbed by roots, plants need CO2"
41,41,"soil, sea, water",41.0,"42,1,0,0,0,0, plants need light, use water absorbed by roots, plants need CO2"
42,42,"water, sunlight, soil, etc",42.0,"43,1,1,0,0,0, plants use light, water absorbed by roots, plants need air, etc"
43,43,Sunlight,43.0,"44,1,0,0,0,0, plants use light, water absorbed by roots, plants need air,,,"
44,44,"The temperature should be low and sunlight, water, temperature, and nitrogen are needed.",44.0,"45,1,1,0,0,0, plants need light energy to make their own nutrients, utilize water absorbed by the roots, plants must have carbon dioxide"
45,45,The temperature should be low and sunlight is needed.,45.0,"46,0,0,0,1,0, plants need light energy to make their own nutrients, moisture, plants need carbon dioxide,"
46,46,"Temperature should be low and proper temperature, water, sunlight and nitrogen should be required",46.0,"47,1,1,1,0,0,0 , plants need light energy to make their own food , water should be sprayed in the process of making their own food , plants should be provided with carbon dioxide"
47,47,Photosynthesis,47.0,"48,1,1,0,1,0,0, plants need light energy when they make their own nutrients, they need to spray water in the process of making their own nutrients, plants need to be provided with carbon dioxide,,,"
48,48,"Water, air, sunlight",48.0,"49,1,1,1,1,0,0, plants need light to make their own nutrients, they use water to make their own nutrients, plants need carbon dioxide"
49,49,"water, sunlight, soil",49.0,"50,1,1,0,1,0,0 , plants need sunlight to make their own nutrients , use water to make their own nutrients , plants need carbon dioxide ,,,,"
50,50,Sunset debt air soil,50.0,"51,1,1,1,0,0,0, plants need sunlight to produce nutrients, they need to provide water in the process of making their own nutrients, plants use carbon dioxide"
51,51,"sunlight, water, soil",51.0,"52,0,0,0,0,0,1,0, plants need a lot of light energy when they make nutrients, they should provide water in the process of making nutrients themselves, plants use carbon dioxide,,,"
52,52,"Sunlight, water, air",52.0,"53,0,0,0,0,0,0, plants need a lot of light energy when they make nutrients, they have to water themselves in the process of making nutrients, plants use carbon dioxide"
53,53,nourishment,53.0,"54,1,1,0,0,0, plants must have light energy when making nutrients, use water in the process of making nutrients by themselves, plants use carbon dioxide,,,"
54,54,in order to survive,54.0,"55,1,1,0,1,0, plants have to have light energy when they make nutrients, use the water that they suck in in the process of making nutrients themselves, plants need carbon dioxide"
55,55,"Sunlight, water, carbon monoxide?",55.0,"56,1,1,0,1,0,0 , plants need light energy to make nutrients , they use water that they absorb in the process of making nutrients , plants need carbon dioxide ,,,,"
56,56,"Plants make their own nutrients by receiving sunlight, photosynthesis, and eating water.",56.0,"57,1,1,0,1,0, plants need light energy to make nutrients, roots must suck water in the process of making nutrients for themselves, plants need carbon dioxide"
57,57,"sunlight, water, soil",57.0,"58,1,1,0,0,0, plants need light to make nutrients, roots must absorb water in the process of making nutrients for themselves, plants need carbon dioxide, etc59,0,0,0,1,0, plants need a lot of light to make nutrients, use water absorbed by the roots in the process of making nutrients by themselves, plants use carbon dioxide, etc"
58,58,Plants photosynthesize using sunlight and water.,58.0,"60,1,1,0,0,0, plants need a lot of light to make nutrients, use water absorbed by the roots in the process of making nutrients for themselves, plants use carbon dioxide, etc"
59,59,Go ahead. Water oxygen,59.0,"61,1,1,0,1,0,0, plants must have light when they make nutrients, use water absorbed by the roots in the process of making nutrients themselves, plants must absorb carbon dioxide"
60,60,They make their own nutrients because plants photosynthesize Rice thief,60.0,"62,1,1,0,0,0, plants must have light when they make nutrients, spray water on plants in the process of making nutrients for themselves, plants must absorb carbon dioxide"
61,61,"Sunlight, water, etc",61.0,"63,1,1,0,0,0, plants need light to make nutrients, water to plants in the process of making nutrients by themselves, and CO2 in the process of making starch"
62,62,"water, sunlight, soil",62.0,"64,1,0,0,0,0, plants need light to make nutrients, they need water to spray plants in the process of making nutrients themselves, they need CO2 in the process of making starch,,,"
63,63,"Sea, water, oxygen",63.0,"65,1,0,0,1,0, plants need light energy to produce nutrients, water must be sprayed on plants in the process of making nutrients by themselves, and air is needed in the process of making starch"
64,64,"Sunlight, water",64.0,"66,1,0,0,1,0, plants need sunlight to make nutrients, water to plants in the process of making nutrients for themselves, plants need air in the process of making starch"
65,65,Sunlight,65.0,"67,0,0,0,0,0, plants need sunlight to make nutrients, they need water to make their own nutrients, plants need carbon dioxide to make starch"
66,66,Sunlight (photosynthesis),66.0,"68,0,0,0,0,0,0, plants need a lot of sunlight to make nutrients, they need to provide water to plants in the process of making nutrients themselves, they need carbon dioxide in the process of making starch,"
67,67,Sunlight (photosynthesis),67.0,"69,1,1,1,0,0, plants must have sunlight when they make nutrients, they must provide water to plants in the process of making nutrients themselves, they need CO2 in the process of making starch by themselves"
68,68,I can't organize it.,68.0,"70,1,1,1,0,0, plants need sunlight to make nutrients, water plants in the process of making nutrients for themselves, and CO2 in the process of making starch for themselves"
69,69,I don't know.,69.0,"71,0,1,1,0,0,1, plants need sunlight to make nutrients, water plants in the process of making nutrients for themselves, and air is needed in the process of making starch for themselves"
70,70,"Water, carbon dioxide, light energy",70.0,"72,1,1,1,0,0, plants use sunlight, plants need water in the process of making their own nutrients, plants need air in the process of making their own starch,,,"
71,71,"We need light, water, and carbon dioxide",71.0,"73,1,1,1,0,0, plants use sunlight, plants need water in the process of making their own nutrients, and plants need carbon dioxide in the process of making their own starch"
72,72,"Water, carbon dioxide, chloroplasts, various enzymes",72.0,"74,0,0,0,0,0,0 plants use sunlight, plants use water in the process of making their own nutrients, plants need carbon dioxide in the process of making their own starch"
73,73,"Light, water, carbon dioxide",73.0,"75,0,0,0,0,0, plants use sunlight, plants use water in the process of making their own nutrients, and plants need CO2 in the process of making their own nutrients"
74,74,"Light, water, oxygen, carbon dioxide",74.0,"76,0,0,0,0,0,0 plants use sunlight, plants use water in the process of making nutrients for themselves, plants need CO2 in the process of making nutrients for themselves"
75,75,"Sunlight, carbon dioxide, water",75.0,"77,0,0,0,0,1,0, plants use sunlight, plants use water in the process of making nutrients for themselves, plants need air in the process of making nutrients for themselves"
76,76,"Light, water, carbon dioxide",76.0,"78,1,1,0,0,0,1,0, plants use sunlight, plants use water in the process of making their own nutrients, plants need air in the process of making their own nutrients,,,"
77,77,"Light, carbon dioxide, water",77.0,"79,1,0,0,0,0,1,0, plants use sunlight, plants use water in the process of making their own nutrients, and plants must have carbon dioxide in the process of making their own nutrients"
78,78,Photosynthesis,78.0,"80,1,1,1,0,1,1,0, plants use sunlight, plants use absorbed water in the process of making nutrients for themselves, carbon dioxide should be provided in the process of making nutrients for themselves"
79,79,"We need sunlight, water and nourishment.",79.0,"81,1,1,1,0,1,0, plants use sunlight, plants use absorbed water in the process of making their own nutrients, plants need carbon dioxide in the process of making their own nutrients"
80,80,"You need nutrients in the ground, and you need solar energy when you turn them into starch.",80.0,"82, 1, 1, 1, 1, 0, 1, 0, plants use sunlight, plants use water sucked into their roots in the process of making their own nutrients, and plants need carbon dioxide in the process of making their own nutrients"
81,81,"A typical thing that plants make nutrients is photosynthesis. For this photosynthesis, light, water, and nutrients must be abundant. Carbon dioxide is also needed for photosynthesis.",81.0,"83,1,1,1,0,0, plants use sunlight, plants use water absorbed by their roots in the process of making their own nutrients, and plants use carbon dioxide in the process of making their own nutrients"
82,82,"In the process of plants making their own nutrients, light energy, carbon dioxide, and water are required because photosynthesis is required.",82.0,"84,1,1,1,0,0, plants need sunlight, plants use water absorbed by their roots in the process of making their own nutrients, and plants use carbon dioxide in the process of making their own nutrients"
83,83,"In order for plants to make their own nutrients, they need carbon dioxide and solar water because they get moisture and nutrients from the soil and use solar heat to photosynthesize, absorb carbon dioxide, moisture, and combine solar heat to create starch and oxygen.",83.0,"85,1,1,1,0,0, plants need sunlight, plants use water absorbed by their roots in the process of making their own nutrients, plants need carbon dioxide in the process of making their own nutrients"
84,84,"We need sunlight, carbon dioxide, water",84.0,"86,1,1,1,0,0,1, plants use sunlight, plants use water absorbed by their roots in the process of making their own nutrients, and plants use carbon dioxide in the process of making their own nutrients"
85,85,Sunlight and water oxygen are needed.,85.0,"87,1,1,0,0,0, plants use sunlight, plants use water absorbed by their roots in the process of making their own nutrients, and plants must absorb carbon dioxide in the process of making their own nutrients"
86,86,"We need carbon dioxide, light energy, and water.",86.0,"88,0,0,0,0,0, plants need a lot of sunlight, plants use water absorbed by roots in the process of making their own nutrients, and plants need CO2 in the process of making nutrients89,1,1,1,0,1,0, plants must have sunlight, plants use water absorbed by their roots in the process of making nutrients, and plants need CO2 in the process of making nutrients"
87,87,"Carbon dioxide, water, and solar energy are needed. When plants receive carbon dioxide, water, and solar energy, they turn it into glucose and oxygen in chloroplasts.",87.0,"90,0,0,1,1,1,1,0, plants need sunlight, plants use water that they absorb in the process of making their own nutrients, plants need air in the process of making their own nutrients,"
88,88,"Water, sunlight, etc. are needed.",88.0,"91,1,0,0,0,0,0 , the plant should be placed in a bright place, in the process of making its own nutrients, the plant uses the water it absorbs, the plant needs air in the process of making its own nutrients,,,"
89,89,.,89.0,"92,0,0,0,0,0,0 , keep plants in a bright place, plants use water absorbed in the process of making their own nutrients, plants need carbon dioxide in the process of making their own nutrients"
90,90,Plants use water and carbon dioxide as light energy to produce glucose and oxygen. This process is called photosynthesis.,90.0,"93,1,0,1,0,0,0 plants should be left in the light, plants use the water they absorb in the process of making their own nutrients, and plants need carbon dioxide in the process of making their own nutrients,"
91,91,"Absorption through nature is necessary, such as photosynthesis, absorption of nutrients through land and water.",91.0,"94,1,1,1,0,1,1, keep plants in the light, plants use the water they absorb in the process of making their own nutrients, CO2 is essential for nutrient production"
92,92,the sun's rays,92.0,"95,1,1,1,0,0, plants need light energy, plants use the water they absorb in the process of making their own nutrients, CO2 is essential for nutrient production"
93,93,.,93.0,"96,1,1,1,0,1,0, keep plants in the sun, plant roots suck water in the process of making their own nutrients, and air is essential for nutrient production"
94,94,"Carbon dioxide, light (sunlight) is needed. Carbon dioxide and sunlight are used to make various chemical changes (which require sunlight) to make starch after one process or another.",94.0,"97,1,1,1,0,0, keep plants in the sun, plant roots suck water in the process of making their own nutrients, and air is essential for nutrient production"
95,95,"We need carbon dioxide, water, and sunlight. This is because the elements necessary for photosynthesis in chloroplasts on plant leaves are presented above.",95.0,"98,1,1,1,0,1,0, plants must be left in the sun, plant roots must absorb water in the process of making their own nutrients, carbon dioxide is essential for nutrient production"
96,96,We need direct sunlight and carbon dioxide and water.,96.0,"99,1,1,1,0,1,0, keep plants in the sun, plant roots must absorb water in the process of making their own nutrients, carbon dioxide is essential for nutrient production"
97,97,"Because plants need to photosynthesize through light, water, and carbon dioxide to make nutrients, light, water, and carbon dioxide are needed in the process of making nutrients on their own.",97.0,"100,1,0,1,0,1,0, light energy is essential to the production of nutrients in plants, using water absorbed in the process of making nutrients by themselves, CO2 is required to make nutrients"
98,98,"Water is sucked from the roots, the water goes through the water pipe to the leaves, carbon dioxide is introduced through breathing, and the leaves react water and carbon dioxide with sunlight to make glucose and oxygen. The glucose clumps into starch.Plants make nutrients through photosynthesis. Water molecules and carbon dioxide molecules are recombined through solar energy to produce glucose. Therefore, plants need water, carbon dioxide, and solar energy to produce their own nutrients.",98.0,"101,1,0,1,0,0,1,0, light is essential for the nutrient production of plants, use the water absorbed in the process of making nutrients by themselves, and CO2 is required to make nutrients"
99,99,"Plants go through a photosynthesis process to make starch, which requires carbon dioxide, water, and light energy, which are necessary substances, to make nutrients through photosynthesis.",99.0,"102,1,1,1,0,0,0, light is essential to the nutrient production of plants, utilizing the water absorbed in the process of making nutrients by themselves, air is needed to make nutrients, etc"
100,100,Plants are known to produce nutrients through photosynthesis. But the factors that affect photosynthesis will be sunlight and carbon dioxide.,100.0,"103,1,1,1,0,1,0, sunlight is essential for the nutrient production of plants, water should be sprayed on plants, air is needed to make nutrients, etc"
101,101,"Light, nutrients, carbon dioxide",101.0,"104,1,1,1,0,0,0 , plants should be exposed to light , water plants , carbon dioxide is needed to make nutrients"
102,102,"Need carbon dioxide, water, sunlight",102.0,"105,1,1,1,0,0,0 , the plants should be exposed to light , water should be sprayed on the plants , carbon dioxide is needed to make nutrients"
103,103,"Photosynthesis with light, water, and carbon dioxide results.",103.0,"106,1,1,0,0,0,0, plants need light when they make their own nutrients, they need water, carbon dioxide"
104,104,"Carbon dioxide, water, light",104.0,"107,1,0,1,0,0,0 , plants need light when they make nutrients , they need water , they need a lot of carbon dioxide"
105,105,"Sunlight, Water, Carbon Dioxide",105.0,"108,1,0,0,0,0,0 , the plants should be exposed to the sun , provide water to the plants , need a lot of carbon dioxide"
106,106,"Sunlight, oxygen, water",106.0,"109,1,1,0,1,0,0 , the plants should be exposed to the sun, provide water to the plants, there should be carbon dioxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
107,107,light carbon dioxide,107.0,"110,1,0,0,1,0,0 , the plants should be exposed to sunlight , provide water to the plants , there should be carbon dioxide"
108,108,You'll need solar energy,108.0,"111, 0, 0, 0, 1, 0, 1, 0, 1, 1. Plants must be exposed to sunlight, water plants, carbon dioxide must be present"
109,109,There must be sunlight and water because plants produce nutrients through photosynthesis.,109.0,"112, 0, 0, 0, 0, 0, 0, 0, 0, 0, light energy is essential for nutrient production, water plants, carbon dioxide must be present"
110,110,Light is needed in photosynthesis,110.0,"113,0,0,0,1,0,1,0, light energy is essential for nutrient production, plants need water, carbon dioxide should be provided"
111,111,"Because photosynthesis is necessary, solar energy is needed and chloroplasts capable of photosynthesis are required.",111.0,"114,1,1,1,0,0,0, light is essential for nutrient production, plants need water, carbon dioxide should be provided"
112,112,I don't know.,112.0,"115,0,1,1,0,0,0,0 , light is essential for nutrient production , plants need H2O , carbon dioxide ,,,,"
113,113,Photosynthesis?,113.0,"116,1,1,0,1,0,1,0, sunlight is essential for nutrient production, plants need H2O, carbon dioxide"
114,114,"Light, water, carbon dioxide",114.0,"117,1,0,1,0,0,0, sunlight is essential for nutrient production, plants use water, carbon dioxide is needed,,,"
115,115,"First, we need carbon dioxide, we need water.",115.0,"118,1,0,0,1,0,1,0, you need light energy to make nutrients, plants use water, carbon dioxide119,1,1,1,0,0,0, need light energy to make nutrients, plants use water, carbon dioxide"
116,116,Water and light energy for photosynthesis,116.0,"120,1,1,0,0,0,0,0 , we need light energy to make nutrients , plants use water , carbon dioxide ,,,,"
117,117,Sunlight and carbon dioxide,117.0,"121,1,0,0,0,0,0,0 , need light to make nutrients , plants need water , use carbon dioxide ,,,,"
118,118,Solar energy is needed because starch is produced by photosynthesis,118.0,"122,1,1,1,0,0,0, you need light to make nutrients, plants need water, they use carbon dioxide"
119,119,"Light, carbon dioxide, water",119.0,"123,0,0,0,0,1,0, need sunlight to make nutrients, plants use water, need carbon dioxide"
120,120,"I don't think it was heat, light, or moisture.",120.0,"124,0,1,1,0,0,0,0, you need sunlight to make nutrients, plants use water, they need carbon dioxide,"
121,121,Sun debt,121.0,"125,0,1,1,0,1,0, the sun light, plants use absorbed water, carbon dioxide, etc"
122,122,"We need solar energy, carbon dioxide, and water",122.0,"126,1,1,1,0,1,0, should be placed in the sun, plants use inhaled water, carbon dioxide, etc"
123,123,need photosynthesis,123.0,"127,1,1,1,0,0,0 should be placed in the sun, plants should use water absorbed by the roots, absorb carbon dioxide, etc"
124,124,carbon dioxide and water,124.0,"128,1,1,1,0,0,0 use sun light, plants use water sucked by roots, carbon dioxide must be absorbed"
125,125,Carbon dioxide and water are used to photosynthesize to make nutrients.,125.0,"129,1,1,1,0,0,1, use sun light, plants use water absorbed by roots,,,,,"
126,126,"It's done through photosynthesis. Oxygen and glucose are made using light, carbon dioxide, and water, and glucose is accumulated to form starch.",126.0,"130,1,1,0,0,0,0 use sun light, plants use water absorbed by roots,,,,,"
127,127,"Light energy, water, carbon dioxide, enzymes",127.0,"131, 0, 0, 0, 0, 0, 0, 0, 0, using sunlight, plants use water absorbed by roots,,,,,,"
128,128,The sun needs light energy and carbon dioxide and water in the air,128.0,"132,1,1,0,0,0,0 shall be exposed to the sun, plants shall use water absorbed by the roots,,,,,"
129,129,"By solar energy, water and carbon dioxide from chloroplasts in plant cells produce glucose and oxygen. Because of this, glucose, a monosaccharide, makes its own starch.",129.0,"133, 1, 0, 0, 0, 0, 0, 0, 0, should be exposed to the sun, plants use water absorbed by the roots,,,,,"
130,130,Sunlight water,130.0,"134,0,0,0,0,1,0,0 use solar light, plants use water absorbed by roots,,,,,"
131,131,Sunlight,131.0,"135,1,1,1,0,0,0,0 use sunlight, plants use absorbed water,,,,,,,,,,,,,,,,,,"
132,132,Sunlight water,132.0,"136,0,0,0,0,0,0,0, need sunlight, plants use absorbed water,,,,,,,"
133,133,water and sunlight,133.0,"137,0,0,0,0,1,0,0, need sunlight, plants use absorbed water,,,,,,,"
134,134,Photosynthesis,134.0,"138,1,0,1,0,0,0, sunlight, plants use absorbed water,,,,,,,"
135,135,"We need to buy sunlight, water,",135.0,"139,0,0,0,0,1,0, should be placed in the sun, plants use absorbed water,,,,,,,"
136,136,I don't know.,136.0,"140,1,1,1,0,0,0 should be placed in the sun, plants use absorbed water,,,,,"
137,137,Photosynthesis,137.0,"141,1,1,0,0,0,0 use sunlight, plant roots must suck water,,,,,,,"
138,138,"air, sunlight",138.0,"142,0,0,0,0,1,1, use sunlight, plant roots must suck water,,,,,,,"
139,139,Photosynthesis.,139.0,"143,1,1,0,1,0,1,0, use sunlight, plant roots must absorb water,"
140,140,"Sunlight, water, air",140.0,"144,0,0,0,0,1,0, use sunlight, plant roots must absorb water,,,,,"
141,141,"Glucose, light, water",141.0,"145,1,0,0,0,0,0 use sunlight, plants have to spray water in the process of making their own nutrients"
142,142,Chlorophyll and photosynthesis,142.0,"146,0,0,0,0,0,0,0, using sunlight, plants must spray water in the process of making their own nutrients"
143,143,"""To make starch, there must be sunshine and waterIf the sun comb makes the plant glow,",143.0,"147,0,0,0,0,0,0,0 shall be exposed to the sun, and the plants shall provide water in the process of nourishing themselves"
144,144,"""In the process, nutrients are formed.""",144.0,"148,0,1,0,1,0,1,0, have to be exposed to the sun, and provide water for plants in the process of making their own nutrients149,0,0,0,0,1,0, use sunlight, and water plants in the process of making their own nutrients"
145,145,Photosynthesis is required.,145.0,"150,1,1,0,1,0,0, utilizing sunlight, plants need water in the process of making their own nutrients,,,,,"
146,146,Sunlight,146.0,"151,1,0,1,0,0,0, need a lot of sunlight, the roots must suck water in the process of plants making their own nutrients,,,,,"
147,147,I don't know,147.0,"152,1,0,0,0,0,0, you need a lot of sunlight, the roots have to absorb water in the process of plants making their own nutrients,,,,,,,"
148,148,I don't know,148.0,"153,1,0,0,0,1,0, there should be sunlight, plants use water in the process of making nutrients,,,,,,,"
149,149,photosynthesis and water ingestion,149.0,"154,1,0,0,0,0,0, there should be sunlight, plants use water in the process of making nutrients,,,,,,,"
150,150,need photosynthesis,150.0,"155,1,1,0,0,0,0, need sunlight, plants use water in the process of making nutrients,,,,,,,"
151,151,"Sunlight, water, manure, good land",151.0,"156,0,0,0,0,0,0, need sunlight, use water that plants suck in in the process of making nutrients,,,,,,,,,"
152,152,"Carbon dioxide, sunlight, etc",152.0,"157,0,0,0,0,0,0, need sunlight, use water that plants suck from their roots in the process of making nutrients,,,,,,,"
153,153,We need sunlight.,153.0,"158,1,1,0,0,0,0, you need sunlight, use the water that plants absorb from their roots in the process of making nutrients,,,,,"
154,154,It's solar photosynthesis.,154.0,"159,1,1,1,0,0,0,0 use water absorbed by the roots in the process of making nutrients,"
155,155,Sunlight,155.0,"160,0,0,0,0,0,0,0 , the water absorbed by the plant as a root in the process of making nutrients ,,,,"
156,156,We need sunlight and water.,156.0,"161,1,0,0,0,0,0,0 use water absorbed by plants in the process of making nutrients"
157,157,I don't know.,157.0,"162,0,1,0,0,0,0,0 , use water absorbed by plants in the process of making nutrients,,,,,"
158,158,Flour,158.0,"163,0,0,0,0,1,0,0 use water absorbed by plants in the process of making nutrients"
159,159,water.sunlight,159.0,"164,0,0,0,0,0,0,0,0... H2O is essential for nutrient production"
160,160,"We need sunlight, water, and carbon dioxide",160.0,"165,1,1,0,1,0,0,0,H2O is essential for nutrient production,,,,,"
161,161,I don't know,161.0,"166,0,0,0,0,1,0, water is essential for nutrient production"
162,162,need sunlight,162.0,"167,0,0,0,0,0,0,0, water is essential for nutrient production"
163,163,Water,163.0,"168,0,1,1,0,0,0,0 ,H2O is needed to make nutrients"
164,164,"""We need photosynthesis",164.0,"169,0,0,1,0,0,0,0 , we need H2O to make nutrients,,,,,"
165,165,"""",165.0,"170 ,1,1,1,0,0,0 , you need water to make nutrients ,,,,"
166,166,Are you my part-timer ????????????????????????????????????????????????????????????????????????????????????????????????,166.0,"171,0,0,0,1,0,1,0, we need water to make nutrients"
167,167,"Sunlight, water, soil",167.0,"172,1,0,0,1,0,1,0, use water that has been absorbed"
168,168,Photosynthesis,168.0,"173,1,0,0,0,0,0,0 , use water that has been absorbed,,,,,"
169,169,I don't know.,169.0,"174,1,1,0,0,0,0,0 , use absorbed water,,,,,"
170,170,6CO2 +12H2O->C6H12O6 +6H20,170.0,"175,1,1,0,0,0,0,0... using water that has been absorbed"
171,171,"carbon dioxide, oxygen",171.0,"176,0,0,0,0,0,0,0,0 use the water that you have absorbed"
172,172,water carbon dioxide sunlight,172.0,"177,0, 0, 0, 0, 0, 0, 0, 0, using absorbed water,,,,,,"
173,173,Photosynthesis,173.0,"178,0,0,0,0,0,0,0,,,,,,,179,1,1,0,0,0,0,0,,,,,,,"
174,174,"If you photosynthesize under sunlight, you will get starch.",174.0,"180,1,1,0,0,0,0,0,,,,,,,"
175,175,"""I don't know",175.0,"181,1,0,0,0,0,0,0,,,,,,,"
176,176,"""",176.0,"182,0,0,0,0,0,0,0,,,,,,,"
177,177,"Sunlight, water, affection",177.0,"183,1,1,0,1,0,0,0,,,,,,,"
178,178,solar water,178.0,"184,1,0,0,0,0,0,0,,,,,,,"
179,179,I don't know.,179.0,"185,0,0,0,0,0,0,0,,,,,,,"
180,180,Teacher told me to stop.,180.0,"186,1,0,0,0,1,0,0,,,,,,,"
