,Unnamed: 0,"10. The Earth is known to spin itself along its axis of rotation. This phenomenon is called the rotation of the Earth, and what are some of the natural phenomena that occur in the rotation of the Earth? Let's use our knowledge of Earth's rotation to explain it in detail. ",Unnamed: 0,q10_Daytime,q10_Byulilju,q10_Season,q10_Time difference,q10_Circulation,q10_Daytime.1,q10_Byulilju.1,q10_Season.1,q10_time difference 1,q10_cycle.1
49,49,I don't know,49,,,,,,,,,,
50,50,The earth is rolling,50,,,,,,,,,,
51,51,I see the moon and the sun,51,,,,,,,,,,
52,52,Day and night change.,52,,,,,,,,,,
53,53,"Seasonal change, day and night",53,,,,,,,,,,
54,54,"Seasonal change, day and night",54,,,,,,,,,,
55,55,The earth is rolling,55,,,,,,,,,,
56,56,Day and night occur.,56,,,,,,,,,,
57,57,Day and night are natural phenomena,57,,,,,,,,,,
58,58,The Earth's rotation changes the seasons,58,,,,,,,,,,
59,59,Seasons change?,59,,,,,,,,,,
60,60,Day and night occur.,60,,,,,,,,,,
61,61,Day and night occur.,61,,,,,,,,,,
62,62,Day and night are caused by the rotation of the earth.,62,,,,,,,,,,
63,63,Day and night are caused by the rotation of the earth,63,,,,,,,,,,
64,64,The earth is spinning fast,64,,,,,,,,,,
65,65,Night and day.,65,,,,,,,,,,
66,66,There are mornings and nights and seasons.,66,,,,,,,,,,
67,67,Natbam is changing and Nalsh is changing,67,,,,,,,,,,
68,68,The seasons change,68,,,,,,,,,,
69,69,Night and day occur,69,,,,,,,,,,
70,70,Night and day occur.,70,,,,,,,,,,
71,71,Day and night occur,71,,,,,,,,,,
72,72,Day and night come and a year comes,72,,,,,,,,,,
73,73,Day and night come. Seasons change,73,,,,,,,,,,
74,74,Day and night occur,74,,,,,,,,,,
75,75,"""1.Time changes.",75,,,,,,,,,,
76,76,"Day and night occur.""",76,,,,,,,,,,
77,77,Earth's rotation creates day and night.,77,,,,,,,,,,
78,78,Day and night are caused by the rotation of the earth,78,,,,,,,,,,
79,79,Night and day occur,79,,,,,,,,,,
80,80,Day and night occur and owls go hunting at night.,80,,,,,,,,,,
81,81,Night and day occur,81,,,,,,,,,,
82,82,Night and day form,82,,,,,,,,,,
83,83,Night and day.,83,,,,,,,,,,
84,84,Daytime and rooms are fresh and the seasons are born. And time varies from country to country,84,,,,,,,,,,
85,85,Night and day occur on Earth.,85,,,,,,,,,,
86,86,The rotation produces night and day,86,,,,,,,,,,
87,87,Day and night occur.,87,,,,,,,,,,
88,88,Seasons vary from country to country,88,,,,,,,,,,
89,89,Day and night occur,89,,,,,,,,,,
90,90,Day and night occur. (The part that receives the sun or the part that doesn't),90,,,,,,,,,,
91,91,A day goes round regularly with 24 hours.,91,,,,,,,,,,
92,92,Day and night occur.,92,,,,,,,,,,
93,93,Day and night occur.,93,,,,,,,,,,
94,94,Day and night come and time goes.,94,,,,,,,,,,
95,95,"The trees seem to be moving, and there are days and nights again",95,,,,,,,,,,
96,96,"When the earth rotates, day and night occur, so it affects our lives a lot.",96,,,,,,,,,,
97,97,I don't know.,97,,,,,,,,,,
98,98,Day and night occur by rotationDay and night occur and affect our lives.,98,,,,,,,,,,
99,99,"Through the rotation of the earth, the face changes at night.",99,,,,,,,,,,
100,100,"As the earth rotates, day and night occur, and day and night occur, the temperature decreases at night when the sun is not shining, and the low temperature that the sun shines rises",100,,,,,,,,,,
101,101,"The most obvious natural phenomena caused by the Earth's rotation are night and day. Daytime is the place where the sun shines, and night is the place where the sun does not shine. In addition, the Earth's rotation speed is due to the Earth's rotation, which occurs 24 hours a lap and for a day.",101,,,,,,,,,,
102,102,I don't know.,102,,,,,,,,,,
103,103,??103,"105,0,0,0,0,0,,,,,",,,,,,,,,,
104,104,Day and night change.,104,,,,,,,,,,
105,105,I don't know,105,,,,,,,,,,
106,106,to,106,,,,,,,,,,
107,107,Night and day occur.,107,,,,,,,,,,
108,108,There is day/night to explain in detail,108,,,,,,,,,,
109,109,I don't know,109,,,,,,,,,,
110,110,??110,"112,0,0,0,0,1,,,,,",,,,,,,,,,
111,111,the ebb and flow,111,,,,,,,,,,
112,112,There is a typhoon,112,,,,,,,,,,
113,113,"the growth of flowers, trees, and grass",113,,,,,,,,,,
114,114,Day and night occur,114,,,,,,,,,,
115,115,Night and day occur,115,,,,,,,,,,
116,116,Month,116,,,,,,,,,,
117,117,"If the earth doesn't go around, some places will continue to be cold and others will continue to be hot, making it difficult to live",117,,,,,,,,,,
118,118,The day is gone,118,,,,,,,,,,
119,119,night and day,119,,,,,,,,,,
120,120,"Night and day spring, summer, fall, and winter",120,,,,,,,,,,
121,121,from west to east,121,,,,,,,,,,
122,122,Japanese food,122,,,,,,,,,,
123,123,I don't know,123,,,,,,,,,,
124,124,Day and night occur.,124,,,,,,,,,,
125,125,I don't know much about the Earth,125,,,,,,,,,,
126,126,Japanese food,126,,,,,,,,,,
127,127,??127,"129,0,0,0,0,0,,,,,",,,,,,,,,,
128,128,even though I'm a loser,128,,,,,,,,,,
129,129,I don't know,129,,,,,,,,,,
130,130,I don't know.,130,,,,,,,,,,
131,131,"Day when the sun is visible and night when the sun is invisible occurs, and the season occurs.",131,,,,,,,,,,
132,132,He,132,,,,,,,,,,
133,133,The rotation of the earth changes the seasons,133,,,,,,,,,,
134,134,"Day when the sun is visible and night when the sun is invisible occurs, and the season occurs.",134,,,,,,,,,,
135,135,I forgot,135,,,,,,,,,,
136,136,A day goes by.,136,,,,,,,,,,
137,137,Day and night occur.,137,,,,,,,,,,
138,138,I don't know.,138,,,,,,,,,,
139,139,night and day,139,,,,,,,,,,
140,140,Day and night are achieved by the rotation of the earth.,140,,,,,,,,,,
141,141,"There are natural phenomena such as earthquakes, volcanic eruptions, tsunamis, and landslides",141,,,,,,,,,,
142,142,"On Earth's rotation, we can see night and day",142,,,,,,,,,,
143,143,I don't know,143,,,,,,,,,,
144,144,Night and day have come.,144,,,,,,,,,,
145,145,The natural phenomenon that occurs when the earth rotates is an eclipse,145,,,,,,,,,,
146,146,We can walk.,146,,,,,,,,,,
147,147,The moon rises and sets.,147,,,,,,,,,,
148,148,The earth rotates and the moon revolves,148,,,,,,,,,,
149,149,Day and night occur,149,,,,,,,,,,
150,150,night and day,150,,,,,,,,,,
151,151,Day and night repeat,151,,,,,,,,,,
152,152,Four seasons appear,152,,,,,,,,,,
153,153,"By the Earth's rotation, the sun, moon, and star appear to be visible from the east for a day and disappear to the west. Because day and night are caused by the rotation of the earth",153,,,,,,,,,,
154,154,"By the Earth's rotation, the sun, moon, and star appear to be visible from the east for a day and disappear to the west. Day and night are caused by the rotation of the earth.",154,,,,,,,,,,
155,155,Day and night are created by the rotation of the earth.,155,,,,,,,,,,
156,156,Day and night change,156,,,,,,,,,,
157,157,"By the Earth's rotation, the sun, moon, and star appear to be visible from the east for a day and disappear to the west. Day and night are caused by the rotation of the earth.",157,,,,,,,,,,
158,158,The rotation of the earth changes the altitude of the sun,158,,,,,,,,,,
159,159,Day and night occur,159,,,,,,,,,,
160,160,"There are four seasons in the mid-level region. The earth rotates and is fair around the sun, so there is a season.",160,,,,,,,,,,
161,161,?à„Ñ∑,161,,,,,,,,,,
162,162,the occurrence of day and night,162,,,,,,,,,,
163,163,"By the Earth's rotation, the sun, moon, and star appear to be visible from the east for a day and disappear to the west. Day and night are caused by the rotation of the earth.",163,,,,,,,,,,
164,164,The seasons change,164,,,,,,,,,,
165,165,The seasons change,165,,,,,,,,,,
166,166,"By the Earth's rotation, the sun, moon, and star appear to be visible from the east for a day and disappear to the west.",166,,,,,,,,,,
167,167,.,167,,,,,,,,,,
168,168,The seasons change,168,,,,,,,,,,
169,169,The plants differ from season to season,169,,,,,,,,,,
170,170,"By the Earth's rotation, the sun, moon, and star appear to be visible from the east for a day and disappearing westward. Night is caused by the rotation of the earth",170,,,,,,,,,,
171,171,The Earth's rotation shows changes in the shape of the moon and creates nights and days.,171,,,,,,,,,,
172,172,"Due to the Earth's rotation, the sun, moon, and stars begin to be seen in the east for a day and disappear to the west. Also, the Earth's rotation causes day and night.",172,,,,,,,,,,
173,173,The convection of air and sea water change the direction of circulation.,173,,,,,,,,,,
174,174,"By the Earth's rotation, the sun, moon, and star appear to be visible from the east for a day and disappear to the west. Day and night are caused by the rotation of the earth.",174,,,,,,,,,,
175,175,Day and night are created by the rotation of the earth.,175,,,,,,,,,,
176,176,The sun and moon seem to start to be seen in the east for a day and disappear to the west. Day and night occur.,176,,,,,,,,,,
177,177,"Day and night occur. The convection of the atmosphere is divided into Hadley Circulation, Ferrell Circulation, and Polar Circulation.",177,,,,,,,,,,
178,178,Night and day occur and star circulation occurs.,178,,,,,,,,,,
179,179,The seasons change.,179,,,,,,,,,,
180,180,"The earth rotates, resulting in night and day",180,,,,,,,,,,
181,181,"the ebb and flow, the movement of clouds, the sunset, the sunrise",181,,,,,,,,,,
182,182,Day and night occur.,182,,,,,,,,,,
183,183,I don't know.,183,,,,,,,,,,
184,184,Day and night occur,184,,,,,,,,,,
185,185,Night and day form as the earth rotates,185,,,,,,,,,,
186,186,Day and night occur,186,,,,,,,,,,
187,187,It's daytime when the sun is looking at and night when it's against the sun,187,,,,,,,,,,
188,188,Day and night occur as the earth rotates.,188,,,,,,,,,,
189,189,the occurrence of day and night,189,,,,,,,,,,
190,190,It revolves around the sun,190,,,,,,,,,,
191,191,"It's raining, windy, and snowing",191,,,,,,,,,,
192,192,"Day and night occur, and over time, animals and humans can live.",192,,,,,,,,,,
193,193,Day and night occur,193,,,,,,,,,,
194,194,We can go around once a year and have an earthquake,194,,,,,,,,,,
195,195,Day and night occur Clouds move,195,,,,,,,,,,
196,196,Daytime and night break out,196,,,,,,,,,,
197,197,It is night when you are facing the sun and day when you are looking at the sun.The seasons change,197,,,,,,,,,,
198,198,Day and night occur,198,,,,,,,,,,
199,199,Day and night occur,199,,,,,,,,,,
200,200,Night and day occur.,200,,,,,,,,,,
201,201,"As the bicycle freezes, day and night occur",201,,,,,,,,,,
202,202,"Due to the Earth's rotation, there are situations where day and night occur, and in some countries, there are situations where it can be day but in some countries it can be night.",202,,,,,,,,,,
203,203,The rotation causes day and night.,203,,,,,,,,,,
204,204,Change the time zone to create day and night.,204,,,,,,,,,,
205,205,Day and night occur,205,,,,,,,,,,
206,206,Night and day form,206,,,,,,,,,,
207,207,Day and night occur and there is a time difference between countries.,207,,,,,,,,,,
208,208,Day and night occur,208,,,,,,,,,,
209,209,Day and night change,209,,,,,,,,,,
210,210,Night and day come and day comes.,210,,,,,,,,,,
211,211,Day and night are caused by the rotation of the earth.,211,,,,,,,,,,
212,212,Day and night occur. The sun seems to be from east to west.Seems to be from east to west moon.,212,,,,,,,,,,
213,213,Causes day and night.,213,,,,,,,,,,
214,214,Day and night and weather and climate changes.,214,,,,,,,,,,
215,215,Night and day and every country is jet lag.,215,,,,,,,,,,
216,216,"""ÏßÄÍµ¨Ïùò ?êÏ†Ñ:ÏßÄÍµ¨Í? ?®Í∑πÍ≥?Î∂ÅÍ∑π??ÏßÄ?òÎäî ?†ÏùÑ Ï∂ïÏúºÎ°??òÎ£®(24?úÍ∞Ñ)????Î∞îÌÄ¥Ïùò Ï£ºÍ∏∞Î°??åÏ†Ñ?òÎäî ?ÑÏÉÅ?ºÎ°ú, Î∞§Í≥º ??ù¥ Î∞úÏÉù?òÎäî ?êÏù∏???úÎã§.",216,,,,,,,,,,
217,217,"The sun is starting to look in the east to west : what happens in the rotation of the earth seems to move is why the Earth's rotation by what happens. """,217,,,,,,,,,,
218,218,In some countries is which country the day and night if you don't do the rotation to the earth rotates.,218,,,,,,,,,,
219,219,Day and night in the rotation of the earth.,219,,,,,,,,,,
220,220,Day and night due to the rotation of the earth alternately to come.,220,,,,,,,,,,
221,221,I don't know.,221,,,,,,,,,,
222,222,The sun is standing up to him later.,222,,,,,,,,,,
223,223,Rise and shine in sttaga.,223,,,,,,,,,,
224,224,Let me clean the Earth.,224,,,,,,,,,,
225,225,Let me clean the earth.,225,,,,,,,,,,
226,226,I don't know.,226,,,,,,,,,,
227,227,..,227,,,,,,,,,,
228,228,I don't know,228,,,,,,,,,,
229,229,Unknowingness,229,,,,,,,,,,
230,230,"""Han is the best.""",230,,,,,,,,,,
231,231,"""I don't know in a word""",231,,,,,,,,,,
232,232,environmental pollution,232,,,,,,,,,,
233,233,Don't know,233,,,,,,,,,,
234,234,There is climate change in each country because the position of the sun changes as the earth rotates.,234,,,,,,,,,,
235,235,There is a chestnut sickle. There are four seasons,235,,,,,,,,,,
236,236,the moon circling the earth,236,,,,,,,,,,
237,237,the change of seasons,237,,,,,,,,,,
238,238,I don't know,238,,,,,,,,,,
239,239,I don't know,239,,,,,,,,,,
240,240,The plants helped me,240,,,,,,,,,,
241,241,I have no idea.,241,,,,,,,,,,
242,242,Planet,242,,,,,,,,,,
243,243,night and day,243,,,,,,,,,,
244,244,I have no idea.,244,,,,,,,,,,
245,245,the occurrence of day and night,245,,,,,,,,,,
246,246,the alternation of the sun and the moon,246,,,,,,,,,,
247,247,Day and night change.,247,,,,,,,,,,
248,248,"The earth rotates, resulting in day and night.",248,,,,,,,,,,
249,249,night and day waves,249,,,,,,,,,,
250,250,"The earth is moving, but we're still there",250,,,,,,,,,,
251,251,I don't know,251,,,,,,,,,,
252,252,Let's not interfere when the earth is spinning,252,,,,,,,,,,
253,253,The universe is a magnet.,253,,,,,,,,,,
254,254,"The sun rises, the moon rises, and the zodiac signs change",254,,,,,,,,,,
255,255,"Day and night occur, temperature differences during the day, and shadow length changes.",255,,,,,,,,,,
256,256,The bicycle wakes up and time goes by. Why is the morning and night coming?,256,,,,,,,,,,
257,257,"""There's no scientific explanation or interpretation It's generally spinning because of the sun",257,,,,,,,,,,
258,258,"Or, according to the Bible, it rotates for the sake of humans spring, summer, fall, winter)""",258,,,,,,,,,,
259,259,I don't know,259,,,,,,,,,,
260,260,Day and night occur,260,,,,,,,,,,
261,261,I don't know,261,,,,,,,,,,
262,262,Day and night occur,262,,,,,,,,,,
263,263,Day and night occur,263,,,,,,,,,,
264,264,Currents and winds are created.,264,,,,,,,,,,
265,265,"The seasons change.""",265,,,,,,,,,,
266,266,day and night,266,,,,,,,,,,
267,267,Day and night occur.,267,,,,,,,,,,
268,268,Day and night occur,268,,,,,,,,,,
269,269,Day and night occur,269,,,,,,,,,,
270,270,"Day and night come, the wind blows",270,,,,,,,,,,
271,271,It's all-nda,271,,,,,,,,,,
272,272,An atmospheric circulation occurs.,272,,,,,,,,,,
273,273,Day and night occur,273,,,,,,,,,,
274,274,Day and night occur on Earth.,274,,,,,,,,,,
275,275,Day and night change and tide ebb and flow.,275,,,,,,,,,,
276,276,"Atmospheric circulation, faces and nights arise.",276,,,,,,,,,,
277,277,Night and day are caused by the rotation of the earth,277,,,,,,,,,,
278,278,I don't know.,278,,,,,,,,,,
279,279,The movement of stars and the movement of the sun as an example of the Earth's rotation,279,,,,,,,,,,
280,280,"Sunrise, Sunset, Wind, Trade Wind",280,,,,,,,,,,
281,281,The sun rises and sets.,281,,,,,,,,,,
282,282,The sun rises and sets. Day and night occur. You can see the stars.,282,,,,,,,,,,
283,283,Day and night have come.,283,,,,,,,,,,
284,284,"There are changes in day and night, and various winds blowing on the earth.",284,,,,,,,,,,
285,285,a westerly wind,285,,,,,,,,,,
286,286,"Star circulation, atmospheric circulation, etc. occur.",286,,,,,,,,,,
287,287,"The circulation of the atmosphere and seawater stops, and the temperature imbalance becomes severe because one person receives too much sunlight or does not.",287,,,,,,,,,,
288,288,the circulation of the atmosphere,288,,,,,,,,,,
289,289,Daytime and night occur.,289,,,,,,,,,,
290,290,Day and night occur.,290,,,,,,,,,,
291,291,"The sun seems to rise and set, the circadian motion of the star, the forward force, the atmospheric circulation",291,,,,,,,,,,
292,292,Day and night occur.,292,,,,,,,,,,
293,293,"Day and night changes, stars dome in the sky",293,,,,,,,,,,
294,294,day and night changes,294,,,,,,,,,,
295,295,"Sunrise and sunset, atmospheric circulation, forward power, star circulation",295,,,,,,,,,,
296,296,Round and roundthe state of day and night being switched,296,,,,,,,,,,
297,297,Night and day.,297,,,,,,,,,,
298,298,Rotating makes day and night,298,,,,,,,,,,
299,299,night and day appearance,299,,,,,,,,,,
300,300,Day and night occur.,300,,,,,,,,,,
301,301,Day and night occur,301,,,,,,,,,,
302,302,night and day,302,,,,,,,,,,
303,303,Day and night occur.,303,,,,,,,,,,
304,304,Day and night occur,304,,,,,,,,,,
305,305,"The Earth's rotation changes the day and night of the world, and so does the moon we see.",305,,,,,,,,,,
306,306,Day and night create a time difference,306,,,,,,,,,,
307,307,Day and night occur and time difference occur.,307,,,,,,,,,,
308,308,Day and night occur and time difference occur,308,,,,,,,,,,
309,309,"""There's an earthquake. A day increases by four more hours, and alpine diseases come quickly.""",309,,,,,,,,,,
310,310,"""Now I feel alpine sickness at 1500km.""",310,,,,,,,,,,
311,311,Day and night change,311,,,,,,,,,,
312,312,Day and night change due to Earth's rotation.,312,,,,,,,,,,
313,313,The position of the moon changes during the day.,313,,,,,,,,,,
314,314,"Once a day, the Earth develops day and night, and the circadian movement of the celestial sphere occurs. And due to the rotation of the sphere, centrifugal force is generated on objects on Earth, and accordingly, the direction and magnitude of gravity at each point on the Earth change according to latitude.",314,,,,,,,,,,
315,315,"Night and day occur.Since the Earth goes around, the sun shines in the daytime, the dark side, the dark side, the night, and the white night occurs in the day for a year.",315,,,,,,,,,,
316,316,"When you calm down, you get day and night, and there's a time difference.",316,,,,,,,,,,
317,317,Every country has morning and night.,317,,,,,,,,,,
318,318,the occurrence of day and night,318,,,,,,,,,,
319,319,Rotating creates day and night and a time difference.,319,,,,,,,,,,
320,320,"When the earth rotates, the earth's day and rice are produced",320,,,,,,,,,,
321,321,Day and night occur.,321,,,,,,,,,,
322,322,Day and night occur,322,,,,,,,,,,
323,323,"Tides and ebb and flow occur, and days and nights occur",323,,,,,,,,,,
324,324,"As you rotate, day and night are created, day and night are warm and night are cold",324,,,,,,,,,,
325,325,"Four seasons are created, and temperature changes are large.",325,,,,,,,,,,
326,326,"When the earth rotates, the moon changes its position.",326,,,,,,,,,,
327,327,"the intersection of day and night, the difference between morning and night in the northern and southern hemispheres",327,,,,,,,,,,
328,328,Rotating makes day and night,328,,,,,,,,,,
329,329,"The sun rises in the east every day, passes through the southern sky, and sets in the west.",329,,,,,,,,,,
330,330,Causes day and night.,330,,,,,,,,,,
331,331,"Because the earth rotates, the positions of the sun and the moon change, and night and day exist.",331,,,,,,,,,,
332,332,I don't know.,332,,,,,,,,,,
333,333,M and D,333,,,,,,,,,,
334,334,Unknowingness,334,,,,,,,,,,
335,335,Time goes by,335,,,,,,,,,,
336,336,I don't know.,336,,,,,,,,,,
337,337,I don't understand.,337,,,,,,,,,,
338,338,I don't understand.,338,,,,,,,,,,
339,339,Unknowingness,339,,,,,,,,,,
340,340,M and D,340,,,,,,,,,,
341,341,I don't know,341,,,,,,,,,,
342,342,I don't understand.,342,,,,,,,,,,
343,343,Night and day change,343,,,,,,,,,,
344,344,Unknowingness,344,,,,,,,,,,
345,345,I don't know.,345,,,,,,,,,,
346,346,I don't know.,346,,,,,,,,,,
347,347,Causes day and night. The sun rises during the day and the moon rises at night.,347,,,,,,,,,,
348,348,Gravity,348,,,,,,,,,,
349,349,Day and night change and seasons change.,349,,,,,,,,,,
350,350,I don't understand.,350,,,,,,,,,,
351,351,I don't know.,351,,,,,,,,,,
352,352,Unknowingness,352,,,,,,,,,,
353,353,Night and day form,353,,,,,,,,,,
354,354,Don't know,354,,,,,,,,,,
355,355,The Earth's rotation changes the seasons,355,,,,,,,,,,
356,356,It creates a magnetic field that protects us from the sun,356,,,,,,,,,,
357,357,I don't know,357,,,,,,,,,,
358,358,I don't know.,358,,,,,,,,,,
359,359,Day and night shifts.,359,,,,,,,,,,
360,360,I don't know.,360,,,,,,,,,,
361,361,The day and night.,361,,,,,,,,,,
362,362,ÏßÄÍµ¨Í? ?åÎ©¥???úÏñëÎπõÏù¥ ÏßÄÍµ¨Ï†ÑÏ≤¥Ïóê Í≥†Î£®Í≥†Î£® ÎπÑÏ∂îÍ≤??òÎäî???ÑÎäî ?úÍ∞Ñ?¥ÏûáÍ∏??åÎ¨∏????≥º Î∞§Ïù¥ ?òÎâòÍ≤åÎêòÍ≥???óê???úÏñëÎπõÏù¥ÎπÑÏ∂îÍ∏??åÎ¨∏???∞Îúª?¥Ï?Í≥?Î∞§Ïóê???úÏñëÎπõÏù¥ ÎπÑÏπòÏßÄ ?äÍ∏∞?åÎ¨∏????óê ÎπÑÌï¥ Ï∂îÏõåÏßÄÍ≤åÎêú??362,"369,1,1,0,0,0,,,,,",,,,,,,,,,
363,363,?úÍ∞Ñ???êÎ•∏??363,"370,0,0,0,0,1,,,,,",,,,,,,,,,
364,364,"Atmospheric general circulation and flow of currents, etc.",364,,,,,,,,,,
365,365,"Atmospheric general circulation and the day and night, the earth rotates is classified into three layers of.",365,,,,,,,,,,
366,366,"Hadley circulation, the flow of air shall not apply.",366,,,,,,,,,,
367,367,ÏßÄÍµ¨Ïùò ?êÏ†Ñ?ºÎ°ú ?ºÏñ¥?òÎäî ?ÑÌñ•?•ÏùÑ ?µÌï¥ ?∞Î¶¨ ?ÄÍ∏∞Ïóê???ºÏñ¥?òÎäî ?ÄÍ∏??Ä?úÌôò???ºÏñ¥?òÍ≤å ?òÍ≥† ???ÄÍ∏??Ä?úÌôò???µÌï¥???úÏ∏µ ?úÌôò???ºÏñ¥??ÏßÄÍµ¨Ïóê ?ÑÎã¨?òÎäî ?¥Ïóê?àÏ???Í∑†Ìòï ?àÎäî Î∂ÑÏÇ∞??Í∞Ä?•Ìï¥ÏßÑÎã§. And warfare will be able to come the sun's light under the influence of the Earth.,367,,,,,,,,,,
368,368,"A day and night. Latitude the wind changed direction and according to the westerlies, trade, Polar easterlies is generated. At this time, rotation due to drag force came up before the wind changed direction.",368,,,,,,,,,,
369,369,Day and night continues.,369,,,,,,,,,,
370,370,A day and night. According to the latitude due to deflecting force wind direction changes.,370,,,,,,,,,,
371,371,"There are atmospheric circulation, seasonal formation, ocean current circulation, etc., and the rotation axis must be tilted to create a season. This is because sometimes the sun shines a lot and sometimes the sun shines a little. Then, there is a difference in solar radiation energy, making many days summer and few days winter. The oceanic cycle is what happens because of the atmospheric circulation. Because ocean currents are caused by the circulation of the atmosphere.",371,,,,,,,,,,
372,372,"Day and night occur and the sun, moon, and stars seem to move from east to west (because the rotation rotates from west to east).)",372,,,,,,,,,,
373,373,"Rotation creates a turning point on Earth. Therefore, it is not just atmospheric circulation, but it can create three atmospheric circulation cells and also play a role in creating the Earth's magnetic field.",373,,,,,,,,,,
374,374,"Because the Earth rotates with its axis tilted, it changes the climate because the forward force acts, causing four seasons and changing atmospheric circulation.",374,,,,,,,,,,
375,375,There is a distinction between day and night.,375,,,,,,,,,,
376,376,"Day and night occur through the rotation of the earth, and stars, moons, and suns move around.",376,,,,,,,,,,
377,377,Day and night are created by the rotation of the earth.,377,,,,,,,,,,
378,378,Day and night occur,378,,,,,,,,,,
379,379,The seasons change,379,,,,,,,,,,
380,380,have night and day,380,,,,,,,,,,
381,381,The Earth rotates itself once a day,381,,,,,,,,,,
382,382,I don't know,382,,,,,,,,,,
383,383,Day and night change,383,,,,,,,,,,
384,384,It's spinning,384,,,,,,,,,,
385,385,Day and night occur,385,,,,,,,,,,
386,386,It's 8??8cm,386,,,,,,,,,,
387,387,Day and night occur on Earth,387,,,,,,,,,,
388,388,Night and day change,388,,,,,,,,,,
389,389,Day and night occur,389,,,,,,,,,,
390,390,"When the Earth rotates, there are sun-lit and non-lighted parts, resulting in day and night.",390,,,,,,,,,,
391,391,Night and day occur,391,,,,,,,,,,
392,392,The shape of the moon changes.,392,,,,,,,,,,
393,393,"Because of the Earth's rotation, we know that day and night change every 24 hours and sleep at night",393,,,,,,,,,,
394,394,Unknowingness,394,,,,,,,,,,
395,395,"The earth revolves alone, so there are mornings and eveningsThere are days and nights",395,,,,,,,,,,
396,396,The earth rotates on its axis,396,,,,,,,,,,
397,397,I don't know.,397,,,,,,,,,,
398,398,Day and night occur as you rotate,398,,,,,,,,,,
399,399,The earth turns 360 degrees,399,,,,,,,,,,
400,400,"The more you rotate, the more time you have on Earth",400,,,,,,,,,,
401,401,Night and day occur,401,,,,,,,,,,
