,Unnamed: 0,"2. I bought a winter heating device, and I heard that it is better to install it at the bottom of the classroom, not on the wall of the classroom, to make the entire classroom warm. Let's explain in detail why it's good to install a heating device at the bottom of the classroom using our knowledge of the movement of heat in the gas. ",Unnamed: 0,q2_convection,q2_density difference,q2_convection.1,q2_density difference.1
43,43,This is because warm air goes up quickly like steam goes up and the heat spreads quickly.,43,,,,
44,44,I think it's because the whole classroom is filled with warm air when the heat rises from the bottom.,44,,,,
45,45,"That way, the wind comes out and the heat comes out, so it gets warm",45,,,,
46,46,I don't know.,46,,,,
47,47,"If you warm the floor first, the warm air spreads over the floor, making it warmer",47,,,,
48,48,I'm trying to be warm downstairs,48,,,,
49,49,My feet are cold,49,,,,
50,50,This is because the gas is warm air goes up.,50,,,,
51,51,The cold air goes down and the hot air goes up,51,,,,
52,52,"Because hot heat is low in density and goes up, it circulates and warms all the air",52,,,,
53,53,The hot air goes up,53,,,,
54,54,The hot air goes up,54,,,,
55,55,This is because the gas is warm air goes up.,55,,,,
56,56,This is because hot gases rise every time the convection occurs.,56,,,,
57,57,Warm air goes up and cold air. Because it goes down and circulates with each other,57,,,,
58,58,Because the cold heat goes down and the warm heat goes up,58,,,,
59,59,"The warm air goes up, so it's nice to be warmer from the top of us",59,,,,
60,60,The hot air goes up,60,,,,
61,61,"Because hot air is more dense than cold air, it heats up faster",61,,,,
62,62,"Warm air is light and floats upward, so when you install a heating device at the bottom, the warm air at the bottom rises and the air circulates, making it evenly warm everywhere.",62,,,,
63,63,heat transfer,63,,,,
64,64,"If you install the air conditioner on top, the cold air goes down, and if you install the stove underneath, the hot air goes up, so gas exchange occurs",64,,,,
65,65,Air goes up as the temperature goes up,65,,,,
66,66,This is because hot air goes down and cold air goes up and circulates.,66,,,,
67,67,I don't know,67,,,,
68,68,The heat goes up,68,,,,
69,69,This is because heat travels faster.,69,,,,
70,70,This is because warm heat is below and cold air goes up.,70,,,,
71,71,Warm heat goes up from bottom to top,71,,,,
72,72,Warm air goes up and cold air goes down,72,,,,
73,73,"Warm air goes down and cold air goes up, so to let warm air go down,",73,,,,
74,74,Warm air goes up to your teeth,74,,,,
75,75,Warm temperatures should be installed on the floor of the classroom because they are intended to go up.,75,,,,
76,76,"Since warm air circulates from bottom to top and cold air from top to bottom, heating devices must be installed at the bottom to move heat quickly.",76,,,,
77,77,"Hot air goes up, so you have to cover the cold air below",77,,,,
78,78,I don't understand.,78,,,,
79,79,"This is because the hot air goes up, so the air goes up and warms the entire classroom.",79,,,,
80,80,It's because hot things have the property of going up,80,,,,
81,81,The hot air goes up,81,,,,
82,82,The hot air goes up,82,,,,
83,83,"If the air goes up and down from the bottom repeatedly, it is quickly sublime and warms the entire classroom",83,,,,
84,84,Because cold air goes down and hot air goes up,84,,,,
85,85,Because the hot air goes down,85,,,,
86,86,Because hot air goes up.,86,,,,
87,87,Because warm air goes up,87,,,,
88,88,Because the heat moves upward,88,,,,
89,89,It's because hot gases go up in a gas,89,,,,
90,90,Because the heat moves up.,90,,,,
91,91,"This is because as heat is generated on the floor, the heat goes back and forth into the air, making the entire classroom warm.",91,,,,
92,92,Because the heat goes up.,92,,,,
93,93,Because warm air keeps spinning from bottom to top,93,,,,
94,94,"Because the air expands three times below, the air conditioner wind and air are raised to make it cooler",94,,,,
95,95,Warm heat goes up and goes around,95,,,,
96,96,"Warm air goes up, so it is installed on the Are side to raise the air.",96,,,,
97,97,"Hot air is light and goes up, so when installed underneath, hot air goes up and when the air above comes down, it circulates.",97,,,,
98,98,It seems to be because the warm gas came up from the bottom and quickly heated the large area in the classroom.,98,,,,
99,99,This is because hot air goes up.,99,,,,
100,100,"This is because hot air has the property of going up, so if you install it at the bottom, the air on the top gets warm, too",100,,,,
101,101,"Hot air tends to move up and cold air moves down. With this theory, hot air balloon lights were also be built.This situation is also because warm air comes out of the heating system, so it should be installed underneath to warm the entire classroom as the hot air circulates through the air.",101,,,,
102,102,I don't know.,102,,,,
103,103,??103.0,"104,1,0... Because warm air rises,",,,,
104,104,Heat circulates.,104,,,,
105,105,The hot air goes up,105,,,,
106,106,The electricity went by,106,,,,
107,107,The hot air goes up,107,,,,
108,108,Because the heat moves from bottom to top,108,,,,
109,109,It's because warm air has to go up from the bottom to the top to make the whole body warm,109,,,,
110,110,Warm air goes up,110,,,,
111,111,The heat goes from bottom to top,111,,,,
112,112,from bottom to top,112,,,,
113,113,The heat goes up from bottom to top,113,,,,
114,114,The hot air goes up,114,,,,
115,115,The hot air goes up,115,,,,
116,116,Warm air goes up and cold air goes down,116,,,,
117,117,The half-body can receive warm wind,117,,,,
118,118,Hot air goes up,118,,,,
119,119,Warm air goes up,119,,,,
120,120,The cold air is underneath to make the air underneath warm,120,,,,
121,121,"Hot things go up, cold things go down",121,,,,
122,122,"""The hot air goes up and warms up from the top",122,,,,
123,123,".""",123,,,,
124,124,Install on top,124,,,,
125,125,Hot air tends to go up,125,,,,
126,126,PARK JI HOON is so handsome,126,,,,
127,127,The warm air from the bottom comes up,127,,,,
128,128,It's warmer,128,,,,
129,129,The hot wind is going up.,129,,,,
130,130,This is because warm air goes from bottom to top.,130,,,,
131,131,"Since the hot air goes up, if you install it below, the warm air circulates in that space",131,,,,
132,132,"If it is hot, the gas will be lighter and will go up, so it is recommended to install it underneath.",132,,,,
133,133,"If you put the heater on the bottom, it's warmer",133,,,,
134,134,I think it is right to install it at the bottom because the warm wind goes from bottom to top.,134,,,,
135,135,"If it's hot, the gas will be lighter and it will go up, so it's better to install it underneath",135,,,,
136,136,"Because the cold wind moves downward, the cold air underneath is heated by installing a heating device underneath.",136,,,,
137,137,Hot air has the property of course.,137,,,,
138,138,This is because hot gases go up and cold gases go down.,138,,,,
139,139,The warm air goes up,139,,,,
140,140,"Since the warm wind blows upward,",140,,,,
141,141,"The warm wind blows upward, and the cold wind blows downward",141,,,,
142,142,"High air goes up, so it's better to install it below",142,,,,
143,143,You have to install it at the bottom so that the warm heat goes up and spreads evenly,143,,,,
144,144,"When warm air goes up and cold air goes up to the device, the classroom's appetizer becomes tingling as the cold air fills the bottom.",144,,,,
145,145,This is because the hot air gets lighter and goes up.,145,,,,
146,146,Warm air can be warm quickly because it moves upward,146,,,,
147,147,"As the air spreads to the right and left, warm air spreads throughout the classroom",147,,,,
148,148,Because heat transfer moves from bottom to top,148,,,,
149,149,Warm air goes up and cold air goes down,149,,,,
150,150,The hot wind goes from bottom to top,150,,,,
151,151,The warm air goes up,151,,,,
152,152,The warm air goes up,152,,,,
153,153,This is because hot air has the property of rising from bottom to top.,153,,,,
154,154,"The reason why heating devices should be installed at the bottom is that gases with high temperatures go up, so heating devices should be installed at the bottom. It's because hot air doesn't come down when it's installed on the top",154,,,,
155,155,The reason why you have to install the heating system at the bottom is because the gas with high temperature goes up,155,,,,
156,156,This is because hot air has the property of going from bottom to top.,156,,,,
157,157,"It is because warm air rises due to convection, and the room gets warm with the whole chuck",157,,,,
158,158,"The reason why heating devices should be installed at the bottom is that gases with high temperatures go up, so heating devices should be installed at the bottom. When installed on the top, hot air does not come down.",158,,,,
159,159,"Warm air rises upward, so it fills up from the bottom.",159,,,,
160,160,Because cold air circulates upward and warm air circulates downward,160,,,,
161,161,"This is because hot air goes up and cold air goes down, so when installed below, it is warm for a long time.",161,,,,
162,162,?à„Ñ∑,162,,,,
163,163,It's because the air flows from top to bottom,163,,,,
164,164,"Since the gas with high temperature goes up, the heating system is installed at the bottom  When installed on the top, hot air does not come down.",164,,,,
165,165,Because hot air goes up and cold air goes down,165,,,,
166,166,Because the hot air goes up,166,,,,
167,167,"Since air with high temperature rises, heating devices should be installed at the bottom.",167,,,,
168,168,.,168,,,,
169,169,Because the warm air goes up,169,,,,
170,170,Cold air has the property of going down and warm air has the property of going up That's why winter heating is installed below.,170,,,,
171,171,The air circulates because cold air goes down and warm air goes up.,171,,,,
172,172,"Due to the nature of cold air sinking down and warm air rising up, heating equipment must be installed under the classroom to circulate warm air and warm the entire classroom.",172,,,,
173,173,"Since the gas with high temperature goes up, heating devices should be installed at the bottom. If installed on the top, hot air will not come down.",173,,,,
174,174,This is because the air circulates up and down when it is hot and cold.,174,,,,
175,175,This is because gases with high temperatures go up.,175,,,,
176,176,This is because warm air goes up when the heating device is installed underneath.,176,,,,
177,177,"This is because warm air goes up. If the heating system is installed on top, the warm wind does not go down.",177,,,,
178,178,This is because warm gases go up.,178,,,,
179,179,"Because warm air is small density, so it goes up, and cold air is big density, so it sinks down",179,,,,
180,180,"This is a matter for consideration. If the only purpose is to heat up the entire class, installing a heating device at the bottom of the classroom is the right choice. This is because when the air expands by heat, it can generate a convection with the relatively cold upper air and circulate the air. But other problems would be really uncomfortable. First of all, your eyes will sting, the wooden floor will rot, and it will be uncomfortable to hide. So it's not a good choice.",180,,,,
181,181,Hot air goes up and cold air goes down,181,,,,
182,182,"""Because cold heat moves downward, air conditioners are installed on top",182,,,,
183,183,"But hot heat moves up, so installing it on the floor is a good idea",183,,,,
184,184,"It's an efficient way. It is understood that hot air balloons also used this principle.""",184,,,,
185,185,"The heat goes up, so if you put it underneath, it can all warm up.",185,,,,
186,186,"The ground is wide, so I want to make it warmer",186,,,,
187,187,It's burning up,187,,,,
188,188,Because the warm air goes up,188,,,,
189,189,Warm air goes up,189,,,,
190,190,"The cold air goes down and the warm air goes up, so as you go up from the bottom, the whole thing gets warm",190,,,,
191,191,"Warm gas goes up and cold gas goes down, so if you install a heating device at the bottom, warm air goes up, so the entire classroom gets warm.",191,,,,
192,192,"Warm air goes up, so it's better to install it at the bottom",192,,,,
193,193,"If you follow the bottom, it's warmer because it's hot.",193,,,,
194,194,"As the heat goes up from bottom to top, it gets warm",194,,,,
195,195,The heat goes up.,195,,,,
196,196,"The hot air goes up, so you have to install it below to warm the whole classroom",196,,,,
197,197,I think it's getting warmer as the heat goes up on the floor,197,,,,
198,198,"Warm air goes up, so you have to install it underneath to make the air rotate well",198,,,,
199,199,The hot air is light,199,,,,
200,200,"This is when the cold air goes down, and the warm air goes up, so it rotates with each other.",200,,,,
201,201,It's because the heat goes up,201,,,,
202,202,Because the heat goes up from the bottom,202,,,,
203,203,Cold air moves upward and hot air moves downward,203,,,,
204,204,"If you install it below, the warm air goes up and warms the classroom.",204,,,,
205,205,Hot energy is well above and cold energy is below.,205,,,,
206,206,It seems that the heat in the gas moves from bottom to top...,206,,,,
207,207,The heat moves up,207,,,,
208,208,"The movement of heat is the opposite of that of cold air, so it is installed underneath to allow the air of heat to go up.",208,,,,
209,209,Just getting warm,209,,,,
210,210,Install it below,210,,,,
211,211,Warm air goes to the bottom,211,,,,
212,212,"This is because warm air is lighter than cold air and goes up, and cold air is heavier than hot air and moves down.",212,,,,
213,213,"Heat has an upward tendency So, it warms the floor evenly",213,,,,
214,214,"Since the heat goes up, if installed underneath, the whole air can be warmed quickly.",214,,,,
215,215,"This is because warm air goes up and cold air goes down on the contrary, so it should be installed below to warm the bottom.",215,,,,
216,216,The warm heat comes up from under the classroom,216,,,,
217,217,Because heat moves upward,217,,,,
218,218,This is because heating equipment must be installed at the bottom of the classroom to warm the entire classroom as the warm temperature rises.,218,,,,
219,219,"The hot air is light, so it has to be installed at the bottom so it's warm from the bottom to the top, and if it's hung up, the warm air won't come",219,,,,
220,220,"""It is recommended that the heating system be installed at the bottom because the heat of the gas goes up from the bottom",220,,,,
221,221,,221,,,,
222,222,"""",222,,,,
223,223,You don't know?,223,,,,
224,224,"Since the heat of the gas rises from bottom to top, it is recommended that the heating device be installed below.",224,,,,
225,225,It is effective to place the heating device at the bottom because the heat in the gas is children from bottom to top.,225,,,,
226,226,I don't know,226,,,,
227,227,"If you install it underneath, the hot wind only goes up. :)",227,,,,
228,228,This is because warm heat comes up when equipment is installed at the bottom of the classroom. So it will be warmer.,228,,,,
229,229,My feet got warm,229,,,,
230,230,"When your feet get warm, your body gets warm.",230,,,,
231,231,"Because of gravity, people walk on the floor, and the temperature of their feet goes up to their heads",231,,,,
232,232,.,232,,,,
233,233,"The heat of the gas will go up and the heat of the gas will spread throughout the classroom, making it warmer.",233,,,,
234,234,burn to death,234,,,,
235,235,"""Because the hot air goes down and the cold air goes up, it's not like a person is flying in the sky, but because it's down there, it'",235,,,,
236,236,"It's okay if it's """,236,,,,
237,237,It spreads as the heat goes up,237,,,,
238,238,"""Even when there's a fire, the cold air is underneath, so I go down. Like that,",238,,,,
239,239,"""Since the cold air is underneath, the heater is installed underneath to create warm air underneath.""",239,,,,
240,240,"This is because warm air goes up and cold air goes down, so when attached to the top, the warm air stays only on the top.",240,,,,
241,241,"The hot one goes up, so it's green to set it down",241,,,,
242,242,"If you install it up, the heat doesn't go down, but if you install it down, the heat is still down",242,,,,
243,243,The warm air goes up,243,,,,
244,244,"If you attach it to the side, warm air spreads to only one side, but if you attach it to the bottom, warm air spreads to the classroom, so everyone can receive warm air.",244,,,,
245,245,"If you install it at the bottom, the hot heat comes up",245,,,,
246,246,"If you install a heating device, it keeps you warm in one place",246,,,,
247,247,"This is because warm air has the property of going up.  If the moth appliance is installed at the top, warm air gathers only at the top, so it is recommended to install it at the bottom.",247,,,,
248,248,I thought there would be a lot of people who would have lost their feet,248,,,,
249,249,Heat tends to go up,249,,,,
250,250,This is because warm air goes up and cold air goes down to and .,250,,,,
251,251,"The warm air has a habit of going up, so if you do it below, the classroom will warm up overall",251,,,,
252,252,The heat below warms up using air as it moves up,252,,,,
253,253,Hot air goes up and cold air goes down.,253,,,,
254,254,This is because warm air goes up.,254,,,,
255,255,Warm air travels from bottom to top,255,,,,
256,256,The floor got warm,256,,,,
257,257,Warm air has to come up from bottom to top to spread warm air throughout the classroom,257,,,,
258,258,My knowledge is not up to there,258,,,,
259,259,"Warm air goes up, so the circulation of the air makes the whole thing warm",259,,,,
260,260,"It's faster to go from bottom to top than from top to bottom, so it's warm when you're close",260,,,,
261,261,"When air is convection, cold air goes down and warm air goes up, so heating equipment is installed at the bottom of the classroom to warm up quickly from the lower air to the upper air.",261,,,,
262,262,"Hot air goes up, goes up from the bottom, and cold air goes down, so convection occurs well and warms up. If you install a heater on top, your feet feel warm and cold",262,,,,
263,263,"Since the hot air goes up,",263,,,,
264,264,I don't know,264,,,,
265,265,I don't know,265,,,,
266,266,The hot air goes up,266,,,,
267,267,This is because hot air flows up and cold air flows down.,267,,,,
268,268,This is because hot heat rises upward.,268,,,,
269,269,This is because warm gases go up.,269,,,,
270,270,Because warm air goes up,270,,,,
271,271,"Gas has the property of moving hot gas up and cold air down. Due to this convection phenomenon, if a heating device is installed at the bottom, the entire classroom can be heated.",271,,,,
272,272,Because warm air goes up,272,,,,
273,273,Because the hot air goes up,273,,,,
274,274,Because warm air goes up and then circulates and gets warm,274,,,,
275,275,I don't know.,275,,,,
276,276,"Warm air moves from bottom to top, so heating devices should be installed underneath to warm up the whole class",276,,,,
277,277,I don't know.,277,,,,
278,278,This is because the hot heat goes down and the cold air goes up.,278,,,,
279,279,The circulation of the gas causes warm air to go up and the air to go down,279,,,,
280,280,"Hot air expands and becomes dense, so it goes up and convection occurs.",280,,,,
281,281,"Due to convection, the hot air goes up, so the heater should be installed down",281,,,,
282,282,"Since the hot wind goes up, it is installed below so that the wind goes up from below",282,,,,
283,283,"The warmer the heat in the ghetto, the lower the temperature, so if installed below, the less the movement of the gas than when installed above, the warmer it gets.",283,,,,
284,284,"Hot air is low in density and goes up, so when installed on the wall, the air from the heating device stays above, making it less efficient.",284,,,,
285,285,"Air with high temperature has a high molecular motion speed, which increases the distance between molecules due to its small density, so convection occurs well only when installed at the bottom of the classroom.",285,,,,
286,286,This is because the air heated by convection sinks upward and the cold air sinks downward.,286,,,,
287,287,A gas with a higher temperature rises because it is less dense than a gas with a lower temperature.,287,,,,
288,288,"Since warm air (gas) is raised by convection, heat is spread evenly by installing a heating device underneath.",288,,,,
289,289,This is because high-temperature gases go up and low-temperature gases go down (due to density differences),289,,,,
290,290,"Since hot air rises due to convection, installing a heating device underneath is easy to heat the entire room.",290,,,,
291,291,"Since warm air has a small density, installing it at the bottom helps heat circulation.",291,,,,
292,292,"Hot air tends to go up by convection because it is lighter in density than cold air. Therefore, heating devices should be installed at the bottom.",292,,,,
293,293,"Hot air rises because of its low density. When installed at the top, only the upper air becomes warm, but when installed at the bottom, the air continues to rise, new high-yield is pushed in, heated, and the entire room circulates.",293,,,,
294,294,The heat goes up by convection,294,,,,
295,295,This is because air with high temperature goes up.,295,,,,
296,296,"Generally, it is explained that it is due to convection, but it does not matter in the actual environment.",296,,,,
297,297,Convection (heat transfer to convection),297,,,,
298,298,Convection (because the density decreases when it is hot),298,,,,
299,299,"Hot air is bulky and dense, so it goes up, so it circulates better.",299,,,,
300,300,You need to know the convection.,300,,,,
301,301,"Due to the density difference, the hot heat goes up and the cold air goes down",301,,,,
302,302,Because heat travels from top to bottom,302,,,,
303,303,circulation of air,303,,,,
304,304,"When the air gets warm, it goes up, so it's better to install a heating device underneath",304,,,,
305,305,This is because gases rise when they are heated.,305,,,,
306,306,Because the cold air is underneath,306,,,,
307,307,Warm air comes out of the bottom and it can heat up both the top and bottom,307,,,,
308,308,"Since hot heat flows only downward, heating devices should be installed at the bottom.",308,,,,
309,309,"Since hot heat flows only downward, heating devices should be installed at the bottom.",309,,,,
310,310,This is because hot air goes up and cold air goes down due to the characteristics of the gas.,310,,,,
311,311,Hot heat flows from the bottom,311,,,,
312,312,Because the hot heat only flows downward,312,,,,
313,313,Because the hot heat only flows downward,313,,,,
314,314,Warm air goes down and cold air goes up?,314,,,,
315,315,because the heat goes up,315,,,,
316,316,This is because heat has the property of going up from the bottom to the top ??,316,,,,
317,317,This is because the heat rises from the bottom to the top.,317,,,,
318,318,"If there is heat below, the air goes up, so even the air in the entire classroom gets warm.",318,,,,
319,319,"""Because the hot heat goes up and the cold heat goes down",319,,,,
320,320,"This is because when you blow up the fire from the bottom, it goes up and down again as it cools, and the air circulates.""",320,,,,
321,321,Hot heat flows down,321,,,,
322,322,"The reason why heating equipment is installed on the floor of the classroom is because hot air goes up, so it should be installed on the bottom so that hot air can move around the whole classroom",322,,,,
323,323,This is because the warm heat of the heating device rises from bottom to top.,323,,,,
324,324,Because the hot heat only flows downward,324,,,,
325,325,"""Because the warm heat of the heating system goes up from the bottom",325,,,,
326,326,"""",326,,,,
327,327,"Warm or hot air and heat go up, and cold or cool air and cold air go down.",327,,,,
328,328,"""Because we used the principle that heat goes up from bottom to top",328,,,,
329,329,"""",329,,,,
330,330,Because hot air goes up,330,,,,
331,331,"Since hot air has the property of rising upward, installing it below can warm the entire classroom.",331,,,,
332,332,Because heat used the principle of going up from bottom to top.,332,,,,
333,333,"When you put the heating device down, the heat rises, which warms the air throughout the classroom.",333,,,,
334,334,The heated air has a habit of going up from bottom to the top,334,,,,
335,335,"""If the temperature of the gas is high, it goes up, and if the temperature of the gas is low, it stays down",335,,,,
336,336,"Therefore, if you install it on the bottom, the high-temperature gas rises and spreads, warming the classroom.""",336,,,,
337,337,The entire classroom is warmed by the heat rising from bottom to top.,337,,,,
338,338,"""A hot gas is lighter because it has a longer particle distance than a gas. Hot gases rise above cold gases because hot gases are lighter than cold gases.",338,,,,
339,339,"For this reason, if the moth device is on the floor, it can warm the entire classroom.""",339,,,,
340,340,"Warm air goes up and cold air goes down, so you can install a heating device at the bottom so that the warm air goes up slowly and warms the entire classroom",340,,,,
341,341,I don't know.,341,,,,
342,342,"It's RYU. RYUO, RYUHYU",342,,,,
343,343,I don't know,343,,,,
344,344,I don't understand.,344,,,,
345,345,This is because the movement of heat goes from bottom to top.,345,,,,
346,346,I don't understand.,346,,,,
347,347,I don't understand.,347,,,,
348,348,I don't know,348,,,,
349,349,M and D,349,,,,
350,350,I don't know,350,,,,
351,351,I don't understand.,351,,,,
352,352,This is because hot air goes up.,352,,,,
353,353,I don't know,353,,,,
354,354,I don't know.,354,,,,
355,355,Because the hot air goes up,355,,,,
356,356,"Hot air has the property of going up, so it is better to install it at the bottom.",356,,,,
357,357,Because heat moves up,357,,,,
358,358,It is better to install it underneath because it has the property of heating up.,358,,,,
359,359,I don't understand.,359,,,,
360,360,I don't know.,360,,,,
361,361,I don't know,361,,,,
362,362,Warm air goes up and cold air goes down,362,,,,
363,363,Hot air should go up and down so that it moves evenly,363,,,,
364,364,"Hot air goes up, so it's much better to install it underneath",364,,,,
365,365,Cold air goes down and warm air goes up,365,,,,
366,366,"Because the heat goes up from bottom to top, it gets warmer faster",366,,,,
367,367,I don't understand.,367,,,,
368,368,"Heat goes up, so it is efficient to install it at the bottom",368,,,,
369,369,"""Starting from the bottom, slowly heat it up and open it up.",369,,,,
370,370,"""If you put it next to you, in front of you, or in the back, it will only warm up people close to the heating system.""",370,,,,
371,371,Warm air goes to U?Ö·Ö©,371,,,,
372,372,The hot air goes up,372,,,,
373,373,It goes from bottom to top,373,,,,
374,374,This is because hot air rises from bottom to top.,374,,,,
375,375,This is because warm air goes up and convets.,375,,,,
376,376,"Since relatively low temperatures tend to rise downward and high temperatures tend to rise upward, it is recommended that heating devices be placed below to achieve fast temperature equilibrium using large ratios.",376,,,,
377,377,"Cold air descends to the bottom, that is, the ground, because the movement of the molecules is not active, and warm air rises upward because of the active movement of the molecules. Therefore, if you install a heating device underneath the cold air, it is better to heat the cold air to make it warm.",377,,,,
378,378,"Warm air goes up and cold air goes down, so it is recommended to install heating equipment at the bottom because warm air comes out of the bottom and goes up and circulates to warm the entire classroom.",378,,,,
379,379,"Warm gases go up, so it is efficient to install heating devices underneath to make the entire classroom warm.",379,,,,
380,380,"The warmer the gas is, the more active the movement of the atoms goes up. In addition, the colder the gas, the lower the temperature, so the heating device must be installed at the bottom to warm the entire classroom.",380,,,,
381,381,"Warm air has the property of floating up because of its low density.  If you put it on top, it takes a long time for the air to warm up because it stays on top. So if you put it on the bottom, the warm air goes up, so it'll be efficient!",381,,,,
382,382,"Air from heating devices is warm air, so it has the property of going up. Therefore, in order for the temperature of the entire class to rise, it is installed at the bottom to create a warm environment from the bottom to the top.",382,,,,
383,383,"Convection is that warm air comes up and cold air comes down, and it is advantageous for warm air to go up from the bottom to spread the warm wind from heating devices throughout the classroom.",383,,,,
384,384,"Hot air comes out of the heating system when you make the classroom warm. Considering the convection of air, hot air tends to rise upward because it is relatively less dense and lighter than cold air. Therefore, in order to warm the entire classroom, warm air is allowed to rise up and spread throughout the classroom.",384,,,,
385,385,"Because warm wind goes up, when the heater is installed down, warm air goes up, so it pushes the cold wind above and descends, causing air circulation and spreading warm wind throughout the classroom.",385,,,,
386,386,"Warm air tends to go up because it is less dense than cold air. As a result, warm air spreads throughout the classroom, so it is good to make the entire classroom warm.",386,,,,
387,387,"Warm air has the property of going up. Therefore, if the heating device is left at the bottom, the cold air at the bottom goes up, and the air with a relatively low temperature compared to the heated air goes down. As this process repeats, it warms the entire classroom.",387,,,,
388,388,It is installed at the bottom of the classroom so that the air mixes well because it goes up,388,,,,
389,389,The heat goes up,389,,,,
390,390,The heat goes up from the floor,390,,,,
391,391,The wind can go up and get warmer,391,,,,
392,392,It warms the whole body by sending cold air up and warm air down,392,,,,
393,393,Because there is a device that acts as a boiler on the floor,393,,,,
394,394,It's because the wind doesn't work well if you install it on top.,394,,,,
395,395,Because the cold wind goes up and the warm wind goes up,395,,,,
396,396,"If you install it on the wall,",396,,,,
397,397,The hot air goes up,397,,,,
398,398,Because the hot heat goes down and the cold heat goes down?,398,,,,
399,399,This is because hot air goes up and cold air goes down.,399,,,,
400,400,"Hot air has the property of going up, and cold air has the property of going down. As the two air circulates around each other, eventually the entire classroom gets warm.",400,,,,
401,401,Hot air goes up and cold air goes down,401,,,,
402,402,0 Hot air is good to be installed at the bottom of the classroom because it tends to go up.,402,,,,
403,403,The movement of heat in a gas has the property of warm air rising up,403,,,,
404,404,Heat moves up,404,,,,
405,405,"From the bottom to this side, the hot wind goes",405,,,,
406,406,"If the heat is higher, the heat goes higher",406,,,,
407,407,Cold air goes down and hot air goes up,407,,,,
408,408,I don't know.,408,,,,
409,409,Warm air goes up and cold air goes down,409,,,,
410,410,"If you put it on the wall, it's warm only on the side, so if you put it on the bottom, it's front and side.Because it's warm in the back",410,,,,
411,411,Let's install the heating system on top,411,,,,
412,412,The heat goes up,412,,,,
413,413,"""Cold air goes from bottom to top",413,,,,
