,Unnamed: 0,"3. The butane gas fuel used to cook food outdoors is liquid in the butane gas cylinder, but when it comes out, it becomes a gas and catches fire. Why do we keep gas-based substances in a liquid state? Let's explain in detail using our knowledge of the state change of matter.",Unnamed: 0,q3_particle arrangement,q3_storage,q3_reactivity,q3_confirmation,q3_particle arrangement.1,q3_For storage.1,q3_reactivity. 1,q3_For checking.1
119,119,I'm afraid it'll come out of the gas tank,119,,,,,,,,
120,120,You can use it a lot,120,,,,,,,,
121,121,How do I know?,121,,,,,,,,
122,122,"""I don't know.""",122,,,,,,,,
123,123,"""",123,,,,,,,,
124,124,I don't know,124,,,,,,,,
125,125,"There should be burning substances, temperatures, and oxygen among the elements that catch fire, and keep them in liquid condition to prevent them from catching fire",125,,,,,,,,
126,126,PARK JI HOON is so handsome,126,,,,,,,,
127,127,I don't know,127,,,,,,,,
128,128,Use briquettes,128,,,,,,,,
129,129,?,129,,,,,,,,
130,130,This is because gases are in danger of exploding.,130,,,,,,,,
131,131,I don't know.,131,,,,,,,,
132,132,"This is because when stored in gas, it can escape through a small gap.",132,,,,,,,,
133,133,Yes.,133,,,,,,,,
134,134,"Since it has been liquid since I bought it, I store it with liquid.",134,,,,,,,,
135,135,"This is because when stored in gas, it can escape through a small gap.",135,,,,,,,,
136,136,This is because there is a risk of butane gas bursting if stored in a gaseous state.,136,,,,,,,,
137,137,Very cold air comes out and catches fire],137,,,,,,,,
138,138,I don't know,138,,,,,,,,
139,139,I don't know,139,,,,,,,,
140,140,"If you put it in a gas tank, you don't know if there's any butane gas fuel",140,,,,,,,,
141,141,"If you put it in a gas tank, you don't know if there's any butane gas fuel",141,,,,,,,,
142,142,"If you store it in gas, you don't know if it's small or not",142,,,,,,,,
143,143,Because it's easier to store with liquid,143,,,,,,,,
144,144,"When stored in a gaseous state, the gas comes out and butane gas cannot be used.",144,,,,,,,,
145,145,This is because butane gas explodes because of the fire next to it when it is used in a gaseous state.,145,,,,,,,,
146,146,Don't know,146,,,,,,,,
147,147,I don't know.,147,,,,,,,,
148,148,"If butane is in a gaseous state, it's dangerous",148,,,,,,,,
149,149,.,149,,,,,,,,
150,150,"When the state of a substance changes, the type and number of particles that make up the substance do not change, but only the arrangement of the particles changes. When butane gas is liquefied, the distance between the particles becomes close, resulting in a significant reduction in volume. This makes it easier to store.",150,,,,,,,,
151,151,in order to liquefy,151,,,,,,,,
152,152,There is a high risk that the gas can explode,152,,,,,,,,
153,153,"To prevent accidents from happening easily,",153,,,,,,,,
154,154,"When the state of a substance changes, the type and number of particles that make up the substance do not change, only the arrangement of the particles changes, and when butane gas is liquefied, the distance between the particles decreases significantly. That makes it easier to store",154,,,,,,,,
155,155,"When butane gas is liquefied, the distance between the particles becomes close, resulting in a significant reduction in volume. This makes it easier to store.",155,,,,,,,,
156,156,I don't know.,156,,,,,,,,
157,157,Liquefied for safe and convenient storage,157,,,,,,,,
158,158,"When the state of a substance changes, the type and number of particles that make up the substance do not change, but only the arrangement of the particles changes. When butane gas is liquefied, the distance between the particles becomes close, resulting in a significant reduction in volume. This makes it easier to store.",158,,,,,,,,
159,159,"Because it flies away,",159,,,,,,,,
160,160,"This is because when a liquid is heated, it turns into a gas",160,,,,,,,,
161,161,To use energy,161,,,,,,,,
162,162,?ˆã„·,162,,,,,,,,
163,163,It's because it uses fuel.,163,,,,,,,,
164,164,"When the state of a substance changes, the type and number of particles that make up the substance do not change, and only the arrangement of the particles changes. When butane gas is liquefied, the distance between the particles becomes close and the volume decreases significantly",164,,,,,,,,
165,165,Because it's safe and easy to store,165,,,,,,,,
166,166,It's because it's safe to store,166,,,,,,,,
167,167,"When the state of a substance changes, the type and number of particles that make up the substance do not change, but only the arrangement of the particles changes.",167,,,,,,,,
168,168,.,168,,,,,,,,
169,169,It is because the liquid is smaller in volume and can carry a lot,169,,,,,,,,
170,170,You have to store it in a liquid state to use it on time Gas must be preserved in a liquid state because it flies away quickly.,170,,,,,,,,
171,171,"When the state of a substance changes, the type and number of particles that make up the substance do not change, but only the arrangement of the particles changes. When butane gas is liquefied, the distance between the particles becomes close, resulting in a significant reduction in volume. This makes it easier to store.",171,,,,,,,,
172,172,"If stored as gas, it will catch fire, so it should be stored in a liquid state.",172,,,,,,,,
173,173,"When the state of a substance changes, the type and number of particles that make up the substance do not change. Therefore, only the arrangement of the particles is different. If butane gas is liquefied, as shown in the problem, the distance between the particles becomes close and the volume is greatly reduced. That makes it easier to store.",173,,,,,,,,
174,174,This is because vaporization easily occurs when there is a fever,174,,,,,,,,
175,175,The type and number of particles do not disappear.,175,,,,,,,,
176,176,"The type and number of particles that make up a substance do not change, only the arrangement of the particles changes",176,,,,,,,,
177,177,"When the state of a substance changes, the type and number of particles that make up the substance do not change, but only the arrangement of the particles changes. And when butane gas is liquefied, the distance between particles becomes close, and the volume decreases significantly, making it convenient to store.",177,,,,,,,,
178,178,"This is because when heat is applied to a liquid, it is easy to turn into a gas and the liquid is easier to store than the gas.",178,,,,,,,,
179,179,This is because gases exist in liquids without changing their physical properties.,179,,,,,,,,
180,180,be in danger,180,,,,,,,,
181,181,It is easy to store the particles because they are narrow,181,,,,,,,,
182,182,"""If you store it in a gas, it will increase in volume, so if you store it in a liquid state,",182,,,,,,,,
183,183,"be relatively advantageous for storage""",183,,,,,,,,
184,184,"If you store it in a gaseous state, it's hard to see it with your eyes",184,,,,,,,,
185,185,To store more,185,,,,,,,,
186,186,I don't know.,186,,,,,,,,
187,187,I don't know.,187,,,,,,,,
188,188,I want to add more so that the butane gas bottle doesn't explode,188,,,,,,,,
189,189,Gas can be carried into the air,189,,,,,,,,
190,190,This is because butane gas cannot be used because it can easily fly away if a substance is stored in a gaseous state It is stored in a liquid state because it does not fly away when stored in a liquid state.,190,,,,,,,,
191,191,"""",191,,,,,,,,
192,192,"""because it could catch fire",192,,,,,,,,
193,193,The gas is too strong.,193,,,,,,,,
194,194,I don't know.,194,,,,,,,,
195,195,Gas can fly away while carrying it,195,,,,,,,,
196,196,I don't know.,196,,,,,,,,
197,197,"Because the amount is getting smaller,",197,,,,,,,,
198,198,I don't know.,198,,,,,,,,
199,199,"The liquid is heavier than the gas, so to keep it healthy for a long time,",199,,,,,,,,
200,200,"When used as a gas, what comes out when the gas is on fire comes out as a gas, so it can catch fire right away, so it will fly away and survive after storing it as a liquid.",200,,,,,,,,
201,201,I don't know.,201,,,,,,,,
202,202,Butane gas can burst with heat,202,,,,,,,,
203,203,It can mix in the air and cause a fire,203,,,,,,,,
204,204,.,204,,,,,,,,
205,205,It's dangerous,205,,,,,,,,
206,206,"Because if used as a gas, the gas can escape",206,,,,,,,,
207,207,It's dangerous,207,,,,,,,,
208,208,I think it's because it's mixed with air.,208,,,,,,,,
209,209,This is because it can contain more gas in a liquid state.,209,,,,,,,,
210,210,To keep it safe,210,,,,,,,,
211,211,To store more fuel in butane gas,211,,,,,,,,
212,212,I don't know.,212,,,,,,,,
213,213,"When water meets heating, it becomes gas",213,,,,,,,,
214,214,I don't know.,214,,,,,,,,
215,215,"Liquid would be heavy (slightly...), but if you just store it as gas, it is more sensitive to sunlight, so there is a greater risk of explosion.",215,,,,,,,,
216,216,I have no idea.,216,,,,,,,,
217,217,Heat makes carbon dioxide,217,,,,,,,,
218,218,"This is because if stored in a gas state, the gas may be blown away or evaporated.",218,,,,,,,,
219,219,"Liquid is more dense than gas, so when you put it in a container of the same volume, it can be used more as a liquid than a gas",219,,,,,,,,
220,220,I don't know,220,,,,,,,,
221,221,I don't know,221,,,,,,,,
222,222,"If it becomes a gas, liquid or something like that",222,,,,,,,,
223,223,This is because it is harder to use than solid or liquid when it becomes a gas.,223,,,,,,,,
224,224,I thought it could cause a fire if I kept it in a gaseous state,224,,,,,,,,
225,225,Uh... I really don't know about this. :),225,,,,,,,,
226,226,This is because it evaporates from a liquid and becomes a gas.,226,,,,,,,,
227,227,I need to make water,227,,,,,,,,
228,228,To make water,228,,,,,,,,
229,229,I don't know.,229,,,,,,,,
230,230,.,230,,,,,,,,
231,231,I don't know,231,,,,,,,,
232,232,Butane gas explodes,232,,,,,,,,
233,233,I don't know!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!How do I know that!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,233,,,,,,,,
234,234,It's cooked with oil,234,,,,,,,,
235,235,I don't know.,235,,,,,,,,
236,236,To prevent it from flying away?,236,,,,,,,,
237,237,We don't know how much time we have left,237,,,,,,,,
238,238,2222,238,,,,,,,,
239,239,It's different when you with oxygen,239,,,,,,,,
240,240,I don't know,240,,,,,,,,
241,241,"When a liquid gets hot, it goes into a gaseous state",241,,,,,,,,
242,242,"If you use a continuous gas, it becomes steam, but if you use a liquid, it can become gas and ignite",242,,,,,,,,
243,243,"The reason is that if used as a gas, butane gas can burst, and if used as a liquid, there is a possibility that it will not burst at all.",243,,,,,,,,
244,244,"""",244,,,,,,,,
245,245,The liquid is comfortable,245,,,,,,,,
246,246,The volume of the liquid is less than the volume of the gas,246,,,,,,,,
247,247,"""The reason is that if you use it as a gas, butane gas can burst due to pressure, and if you use it as a liquid,",247,,,,,,,,
248,248,"It's because it doesn't""",248,,,,,,,,
249,249,It's dangerous to store it in gas,249,,,,,,,,
250,250,It's dangerous to catch fire,250,,,,,,,,
251,251,...........!,251,,,,,,,,
252,252,"If you keep it in a liquid state, you can store more.",252,,,,,,,,
253,253,It's easy to store,253,,,,,,,,
254,254,I don't know.,254,,,,,,,,
255,255,I don't know,255,,,,,,,,
256,256,My knowledge is not up to there,256,,,,,,,,
257,257,"If you do it with gas, it explodes and makes it into a liquid so that it can be used safely",257,,,,,,,,
258,258,I'm going to carry around a lot,258,,,,,,,,
259,259,"Because changing a gas into a liquid reduces its volume, it stores substances used as gases in order to store a larger amount inside.",259,,,,,,,,
260,260,"The volume and capacity of the gas vary depending on the container, but the liquid remains the same",260,,,,,,,,
261,261,There's fuel powder,261,,,,,,,,
262,262,I don't know,262,,,,,,,,
263,263,I don't know,263,,,,,,,,
264,264,The volume has decreased,264,,,,,,,,
265,265,It's easy to store when you use liquid as a gas,265,,,,,,,,
266,266,I don't know,266,,,,,,,,
267,267,It's to block the bond with oxygen,267,,,,,,,,
268,268,It's because it's hard to store it in a gaseous state,268,,,,,,,,
269,269,It is dangerous because it is more likely to catch fire when it is in a gas than when it is in a liquid,269,,,,,,,,
270,270,That's how it gets colder,270,,,,,,,,
271,271,I don't know,271,,,,,,,,
272,272,"If you do it with gas, it'll fly away",272,,,,,,,,
273,273,I don't know.,273,,,,,,,,
274,274,It's easy to store,274,,,,,,,,
275,275,I don't know.,275,,,,,,,,
276,276,This is because gases can expand and burst.,276,,,,,,,,
277,277,"When stored in liquid, it is easier to store than when stored in gas.",277,,,,,,,,
278,278,I'm going to keep a lot,278,,,,,,,,
279,279,I don't know,279,,,,,,,,
280,280,To prevent it from bursting,280,,,,,,,,
281,281,This is because it disappears quickly into the air when stored as a gas.,281,,,,,,,,
282,282,"Gas is much larger in volume than liquid, so larger dragons are needed to store it in a gaseous state, and larger containers are less efficient, such as material cost and container size.",282,,,,,,,,
283,283,"This is because the volume decreases when a gaseous gas is liquefied into a liquid state, so the amount that can be contained in the same volume increases.",283,,,,,,,,
284,284,"This is because in a gaseous state, the volume is enormous compared to the liquid state.",284,,,,,,,,
285,285,"The volume of the liquid is smaller than that of the gas, so it is good for storage.",285,,,,,,,,
286,286,"This is because in a gaseous state, the volume of the material increases rapidly, so it is more beneficial to store the material in a liquid.",286,,,,,,,,
287,287,It is because the volume is small.,287,,,,,,,,
288,288,Preserving a material in a gaseous state is also efficient because there are many moles that can exist per volume.,288,,,,,,,,
289,289,"Since the liquid is stable and the volume is small,",289,,,,,,,,
290,290,"Since the liquid is significantly smaller in volume than the gas, it is efficient to store it in a liquid state.",290,,,,,,,,
291,291,"Gas is much larger in volume than liquid. Therefore, it is stored as a liquid for portability, transportation, and storage convenience.",291,,,,,,,,
292,292,Because it's small,292,,,,,,,,
293,293,This is because it is dangerous and bulky due to its high reactivity in a gaseous state.,293,,,,,,,,
294,294,Because it is economical from an engineering point of view.,294,,,,,,,,
295,295,It is flammable in gaseous state.,295,,,,,,,,
296,296,It is because the volume is small.,296,,,,,,,,
297,297,This is because storing it in a gaseous state is a safety problem and inconvenient for transportation.,297,,,,,,,,
298,298,Airframe is unstable,298,,,,,,,,
299,299,To keep it liquid,299,,,,,,,,
300,300,I don't know,300,,,,,,,,
301,301,This is because it can reduce the volume when stored as a liquid.,301,,,,,,,,
302,302,"""",302,,,,,,,,
303,303,It is a gate that does not matter if it is compressed stably.,303,,,,,,,,
304,304,The liquid is more stable.,304,,,,,,,,
305,305,Because of the volume,305,,,,,,,,
306,306,It's more stable when it's liquid,306,,,,,,,,
307,307,It seems to be stored in a liquid state because it can explode or be dangerous if stored in a gaseous state.,307,,,,,,,,
308,308,It seems to be stored in a liquid state because it can explode or be dangerous if stored in a gaseous state.,308,,,,,,,,
309,309,"This is because you can throw it away without knowing that it contains gas, and if you store it as a liquid, you can feel the weight, and if the liquid vaporizes, it can become a gas.",309,,,,,,,,
310,310,It could explode if stored in a gaseous state,310,,,,,,,,
311,311,"If stored in a gas frame, it may explode, so keep it as a liquid",311,,,,,,,,
312,312,"If stored in a gaseous state, it may explode, so keep it in a liquid state",312,,,,,,,,
313,313,"""Transforming a liquid state into a gas to help fire more?",313,,,,,,,,
314,314,"""",314,,,,,,,,
315,315,Because the gas is invisible to the eye,315,,,,,,,,
316,316,"The liquid state is ?‰á…¡?¼á„ƒ??relatively smaller in volume than the gas, so it can store a larger amount at once.",316,,,,,,,,
317,317,"This is because when the gas in the liquid state is heated, the temperature rises and turns into a gaseous frame.",317,,,,,,,,
318,318,The liquid gas is heated and the temperature rises and becomes gaseous,318,,,,,,,,
319,319,"Because it can explode if stored in a gaseous state. If it explodes, you'll die or get hurt",319,,,,,,,,
320,320,"If stored in a gaseous state, there is a risk of bursting, so store in a liquid state of liquid.",320,,,,,,,,
321,321,It needs to be filled with liquid to hold a lot,321,,,,,,,,
322,322,This is because butane gas fuel absorbs heat from the outside air and vaporizes as it comes out.,322,,,,,,,,
323,323,"If stored in a gaseous state, it may explode, so keep it in a liquid state",323,,,,,,,,
324,324,"When the pressure inside the container is lowered as the gas exits, the liquid gas vaporizes and maintains the pressure",324,,,,,,,,
325,325,Because it vaporizes.,325,,,,,,,,
326,326,"""If we don't let it turn into a gas, the gas can escape little by little into a gap.",326,,,,,,,,
327,327,"""",327,,,,,,,,
328,328,Because it's more liquid than gas in a gas tank,328,,,,,,,,
329,329,"If you put it in a gas, the amount is small, so it is liquefied and stored in a liquid state.",329,,,,,,,,
330,330,"This is because if the liquid does not turn into a gas, the gaseous state can escape little by little into the gap.",330,,,,,,,,
331,331,The gas that was in a liquid state changes into a gaseous state when the temperature rises due to heat.,331,,,,,,,,
332,332,"When carrying or storing fuel gas, it is convenient to compress or liquefy the gas to reduce the volume",332,,,,,,,,
333,333,To keep a lot,333,,,,,,,,
334,334,The gas that was in a liquid state changes into a gaseous state when the temperature rises due to heat,334,,,,,,,,
335,335,"Since the liquid is smaller in volume than the gas, it can be used in a larger amount by storing it as a liquid and converting it into a gas.",335,,,,,,,,
336,336,"Butane gas is in a liquid state when pressurized to about 5 atmospheric pressure, and if the gas leaks out, it easily catches fire in a small impact, and if the container of butane gas is stored in a gaseous state rather than a liquid state, it expands and explodes when the temperature rises.",336,,,,,,,,
337,337,I don't know,337,,,,,,,,
338,338,h,338,,,,,,,,
339,339,I don't know,339,,,,,,,,
340,340,"""I don't know.",340,,,,,,,,
341,341,"""",341,,,,,,,,
342,342,I don't know.,342,,,,,,,,
343,343,I don't understand.,343,,,,,,,,
344,344,I don't understand.,344,,,,,,,,
345,345,I don't know,345,,,,,,,,
346,346,M and D,346,,,,,,,,
347,347,I don't understand.,347,,,,,,,,
348,348,I don't understand.,348,,,,,,,,
349,349,I don't understand.,349,,,,,,,,
350,350,I don't know,350,,,,,,,,
351,351,I don't know.,351,,,,,,,,
352,352,Take out all the liquid in the butane gas,352,,,,,,,,
353,353,It's because vaporizing catches fire better,353,,,,,,,,
354,354,To keep it efficiently,354,,,,,,,,
355,355,To make it easier to store,355,,,,,,,,
356,356,I don't understand.,356,,,,,,,,
357,357,I don't know.,357,,,,,,,,
358,358,I don't know,358,,,,,,,,
359,359,So that it doesn't go bad,359,,,,,,,,
360,360,I don't know,360,,,,,,,,
361,361,I don't understand.,361,,,,,,,,
362,362,by natural causes,362,,,,,,,,
363,363,I don't know.,363,,,,,,,,
364,364,I don't understand.,364,,,,,,,,
365,365,Matter usually shrinks in volume when it changes from gas to liquid,365,,,,,,,,
366,366,I don't know.,366,,,,,,,,
367,367,M and D,367,,,,,,,,
368,368,"Gas increases in volume as the temperature increases, so when stored as a gas, there is a possibility of explosion, so it is likely to be stored as a liquid",368,,,,,,,,
369,369,"in order to keep the gas from being strong,",369,,,,,,,,
370,370,More capacity can be stored.,370,,,,,,,,
371,371,"This is because the volume decreases as the gas changes into a liquid, making it easier to store.",371,,,,,,,,
372,372,This is to reduce the volume and increase the convenience of storage.,372,,,,,,,,
373,373,I don't know,373,,,,,,,,
374,374,"In the case of gas, there is a risk of explosion because the volume of butane gas fuel changes significantly depending on the surrounding temperature, but in the case of liquid, the volume of butane gas fuel does not change significantly depending on the surrounding temperature.",374,,,,,,,,
375,375,"The same mass of butane gas has a much larger volume in the gaseous state than in the exergonic state. Therefore, in order to store more butane gas fuel in a less bulky container, it is stored in a liquid state rather than a gaseous state.",375,,,,,,,,
376,376,"It is convenient to have a smaller volume when it is a liquid than when it is a gas, and when it is a gas, it is stored as a liquid because it is sensitive to the surrounding environment.",376,,,,,,,,
377,377,"When a gas is made into a liquid, the volume decreases to about one-thousandth. Therefore, it can be transported a lot by putting a lot in it can be transported a lot. That's why it is. ^^",377,,,,,,,,
378,378,"In the case of a gas, it can move freely, so it is inconvenient to carry it for use. In the end, people have to change it to a liquid state because it reduces mobility in order to carry it.",378,,,,,,,,
379,379,"The smaller the volume, the more advantageous it is to store in a container. In this regard, if the property of decreasing volume when changing from gas to liquid is used, it is advantageous for storage, so it is stored in a liquid state.",379,,,,,,,,
380,380,"Butane gas fuel is flammable, but to use it, it is lit in a gaseous state. However, since there is a possibility that gas may leak during normal storage, it is stored in a liquid state to minimize leakage and prevent damage even during leakage.",380,,,,,,,,
381,381,"Since the density of liquid is higher than that of gas, butane gas is stored in a liquid state because liquid is more advantageous than gas to store more gas in the same capacity when storing butane gas is stored in a liquid state.",381,,,,,,,,
382,382,"Gas is not easy to store because it is larger in volume than liquid. In order to store a large amount at once, gas is converted into a liquid state and stored.",382,,,,,,,,
383,383,"This is because substances have a smaller volume in a liquid state than in a gaseous state, so more substances used as gases can be stored if stored in a liquid.",383,,,,,,,,
384,384,"It's because if you spray a little liquid, it becomes gas",384,,,,,,,,
385,385,You need liquid to catch fire,385,,,,,,,,
386,386,"I don't know. There's liquid, so it catches fire",386,,,,,,,,
387,387,I don't know,387,,,,,,,,
388,388,"If it's gas, it's mixed with air?",388,,,,,,,,
389,389,"""Because gas is strong when stored in gas",389,,,,,,,,
390,390,"""",390,,,,,,,,
391,391,It's a problem that you can't just touch,391,,,,,,,,
392,392,I don't know,392,,,,,,,,
393,393,I don't know,393,,,,,,,,
394,394,"If you store it in gas from the beginning, it could explode",394,,,,,,,,
395,395,"When you take out a substance, it turns into a gas and flies away?",395,,,,,,,,
396,396,Because gases become underwater,396,,,,,,,,
397,397,I don't know.,397,,,,,,,,
398,398,Does a liquid turn into a gas?,398,,,,,,,,
